ガールズ&パンツァー,ガルパン
ひろ子,分かってるよ。分かってる。さっきは一軍のやつらを見返してやるって言ったけどね――。今年が最後の一年になるって決まってからは、一緒になってここまで頑張ってきたんだ。最後の戦車道、悔いの残るものにしたくなかったから。うちらは試合には出られないけど、大洗女子のためにできる限りのサポートをした。戦車の整備もやったし、練習では動く標的役にもなった。相手チームに偵察にも行った。ようやくここまで来れたんだ。最後にもう一回決勝戦の大舞台までたどりつけた。そしたら一軍のやつらがうちらの所まで頭を下げてきたんだよ。決勝戦に出てくれ。自分たちの想いを成し遂げてくれって。もうさ、やるしかないじゃん？別に一軍に馬鹿にされたことを全部許したわけじゃないけどさ
みほ,……
ひろ子,ちょっと辛気臭い話になっちゃったかな。来なよ！うちの子たちを紹介してあげる
みほ,わあっ、ちょっと
ひろ子,まずはこれが一番車。八九式だ。うちの隊長が乗ってる
みほ,これが隊長車なの？
ひろ子,変かい？
みほ,あ、いや……
ひろ子,この中では一番の最年長戦車だからね。チームの長たる隊長車にピッタリだろう！
みほ,ああ、そういう……
ひろ子,隊長チーム、みんな三年生なんだけどね、入ってからずっと八九式に乗ってるんだよ
みほ,へぇ
ひろ子,だから八九式への愛が半端じゃないっていうか、そりゃもう溺愛してるのさ
みほ,なんだかかわいいですもんね、八九式
ひろ子,おっ、そう思うかい？
みほ,はい。おしりのところとかアヒルさんみたいで
ひろ子,はっはっはっ！言われてみれば確かに！。次は二番車、ポルシェ・ティーガーだ。いやーこいつは強いぞー。なんたって88mmはうちらでも最強クラスだからな！。ただなぁ、こいつはよく壊れるんだ
みほ,あぁ……はい、なんとなく知ってます
ひろ子,うちらもしょっちゅうこいつを牽引するハメになるんだが。メカの知識なんてほとんどなかったのに、こいつのおかげで修理のプロになった。なんせポルシェティーガーのチームはその技術を活かして自動車部を結成したほどだ。だからうちらには欠けてはならない重要な戦車なんだ
みほ,へ、へぇ
ひろ子,三番車、三式だ。こっちもチームメンバーは全員三年生だ。同じ日本戦車だし、隊長の八九式とよく一緒につるんでるな。こいつの主砲はそこそこ強いから八九式の足りない火力をカバーするのにもってこいなんだ。あとしょっちゅう隊長とレースしてるけど毎回負けてる
みほ,ええ！スペック上は三式の方が速いはずじゃ
ひろ子,スペック？あんなのウソウソ、あてになんないって。それに隊長チームはいつもズルするから
みほ,そうなんだ……
ひろ子,四番車、M3リー。ここのチームはミリタリーマニアばっかり6人集まってて、戦車にもかなり詳しい
みほ,それは頼もしいですね
ひろ子,いや、こいつらはハッキリ言ってうちらでも一番のポンコツチームだった
みほ,え！？
ひろ子,みんなが自分の趣味に走って好き勝手なことをするし言うことも聞かなかったからな。相手の戦車のこともよく知ってるから作戦立案では欠かせないやつらだ。それに今では立派に戦えるように訓練した。いつでも試合に送り込めるよ。五番車、ルノーB1bisだ。このチームの車長はめちゃくちゃできるスーパーマンみたいなやつだ。なんたって主砲の装填、砲撃、通信まで兼任してて、それらを誰よりも上手くこなしてるからな
みほ,わぁ、すごい人なんですね
ひろ子,そう、本当なら一軍に行くべき人材なんだが、人間的に少々問題があってなぁ
みほ,問題って？
ひろ子,どうしようもないドスケベなやつでさぁ、みんなのスカートめくりがひどくて一軍を追放されたんだ
みほ,うわぁ
ひろ子,いや、全く悪いやつじゃないよ。うちらの大切な仲間さ。そしてこいつが六番車、IV号だ！
みほ,もしかしてひろ子さんが乗ってる戦車ですか？
ひろ子,その通り！よく分かったねぇ！
みほ,すごく嬉しそうに名前を呼んでいましたから
ひろ子,いやぁ分かっちゃうかぁー。私から湧き出るIV号愛を感じ取ってくれるとはねぇ
みほ,あはは……
ひろ子,うちも大洗女子に来てからずっとこの子と一緒にやってきたからねぇ。一軍にはもっとすごいドイツ戦車がいっぱいあるけど、うちにとってはもうIV号以外考えられないっていうか。もううちの家族みたいなもんなんだよ！。分かるかいこの気持ち！？。七番車、III号突撃砲だ。うちの一番のアタッカーって感じだね。砲塔が回らないが、この子もなかなか強力な主砲を持ってるからねぇ。ただしここのチームは暴走族みたいなやつらだから気をつけた方がいい
みほ,え、暴走族！？
ひろ子,単車から降りさせるためにうちの風紀委員が無理やり戦車道に入れたからな。戦車に乗せておけばバイクはやめるだろうってこと
みほ,それはなかなか……
ひろ子,こいつらの走りはかなりキレてていいぞぉ。みんな気概があるしうちは結構好きなんだけどなぁ。最後は八番車、38tだ。小さくてすばしっこいから、先行偵察用に使うことが多いなぁ。うちの一年生たちに乗せてるんだけど、こいつらがなかなかダメダメでなぁ……。最初は履帯が外れるたびにわんわん泣いちゃってたなぁ。その頃に比べたら今はずいぶんと立派になったもんだよ。あ、でもすぐに泣いちゃうのは今でもおんなじか！。あ！今みほ笑った！
みほ,え？
ひろ子,ようやく笑ってくれたぁ！。いやぁ、なかなか笑顔を見せてくれなくてあせってたんだよー。あっ、そうだ！。IV号に乗せてあげるよ！来て！
みほ,とても綺麗にしていますね
ひろ子,そりゃそうさ！。なんたって明日は晴れの舞台だからね！綺麗にしてやんなきゃ戦車が泣くよ！。さぁ行くよ！
みほ,あの、ひろ子さんちょっと待って
ひろ子,ん？どうした？
みほ,もしよかったら……私が操縦してもいいかな？
ひろ子,……。うん！いいよ！
元々IV号の操縦はあまりしていませんでしたが、,この子
みほ,みんなともこうして夜走ってみたいかも……
ひろ子,それじゃあ行くよ！みほ！しっかり掴まってて！
みほ,え？
ひろ子,いやっっほぉぉぉおおおう！
みほ,わっ、わっ、スピード出しすぎ！ひろ子さん危ないって！
ひろ子,大丈夫だって！ほぉーらっ！
みほ,わぁ、きれい……
ひろ子,どう？この景色
みほ,うん、すごくきれい……！
ひろ子,あれが明日の試合会場のある町さ
みほ,へぇ
ひろ子,港に着く前の夜はいつもこうして見に来るんだよ
みほ,それであの山林をあんなに速く走って来れたんだね
ひろ子,うん！道は完璧に把握してる
みほ,でもちょっとビックリしちゃった。ひろ子さんは操縦手をやってるんだね
ひろ子,いや、うちは車長
みほ,え、そうなの？
ひろ子,うん、みんなうちの操縦が怖いって言うから
みほ,あははっ！
ひろ子,あっはっはっはっ！。やっぱりみほも戦車好きなんだな！
みほ,そ、そう思う？
ひろ子,あぁ、目が違う
みほ,操縦してるときの私の目？
ひろ子,いや、戦車を見てるときの目。ずっとさ
みほ,もしかして私ずっと変な顔してた！？
ひろ子,あっはっは！安心しなって、みほはずっとかわいかったよ
みほ,かわいいなんて……
ひろ子,うちの仲間と同じ目をしてた。家族を見つめるような目だ
みほ,家族を……
ひろ子,戦車っていうのはさ、戦ってるときだけが戦車じゃないんだよ。動くように修理して、きれいに洗って、ピカピカに仕上がったら外に走らせにいく。たったそれだけのことをしてるとさ、なんだか一日がすっごく楽しいんだよね。うちらはチームも戦車もずっと一緒なんだ。寝るときや食べるときだって一緒のこともあるんだぞ。気持ち悪いって思う？
みほ,いいえ、全然
ひろ子,港に着いたら必ず降りてその町を走り回るんだ。IV号は全員がハッチから顔出せるだろ？。海沿いの道を流すと最高なんだよ。大洗に帰ったときは二軍の戦車全部でツーリングだってするぞ！。いい道はレディースチームのみんなが全部教えてくれたしな。あ、レディースチームっていうのはさっきのIII突の暴走族みたいなチームのことね。戦車で走っちゃいけない日に走ってめちゃくちゃ怒られたことも一度や二度じゃない。一軍のやつらはあきれてたけどな
みほ,あはは……それ、バイクはやめても結局暴走族やめてないんじゃ……。……でも、ちょっと楽しそうかも
ひろ子,そうさ、うちらはいつでも一緒。それが幸せの秘訣だ
みほ,いつでも一緒……か
ひろ子,そう一緒！さっきも言ったろ？うちらチームと戦車は家族なんだ。家族はいつでも一緒にいるもんさ！
みほ,ふふっ、なんだかとっても充実してそう
ひろ子,こう見えて戦闘の練習だってちゃんとしてるんだぞ。一軍の練習に付き合ったあとに二軍だけで練習するんだ。チャンスがあるたびに色んなところとも練習試合をした。本物の試合はまだしたことないけど、うちらは強豪校にだって負けない
みほ,勝つつもりなんだね。決勝戦
ひろ子,そうだよ。明日うちのIV号がフラッグ車をやる。この子が勝利のカギになるんだ。一軍のやつらはもう諦めムードみたいだけど。みんなが弱い戦車だって言うけど、この子たちは弱くなんかない。いや強いぞ！。それこそ超重戦車だって力を合わせれば倒せるんだ！。まぁ、倒したことはないけどな！
みほ,そうだね
ひろ子,あっ！信じてないな！
みほ,そんなことないって
ひろ子,いや！今笑ってたぞ！
みほ,もう、ひろ子さんてば
ひろ子,よし分かった！明日の決勝戦に必ず勝ってみせる！。勝ってうちの子たちの強さを証明するぞ！
みほ,うん
ひろ子,うちが言ったら絶対だ！今までだってそうしてきた！。そして西住みほ！うちらが勝ったらあんたは戦車道に入ること！
みほ,ええっ！？。いやいや！だって今年でもう戦車道終わっちゃうんだよ？
ひろ子,ふっふーん。それなら大丈夫。全国で優勝すれば戦車道の廃止が取り消しになる！。……と、うちは踏んでる
みほ,それって生徒会と約束したわけじゃないんだよね？
ひろ子,わけじゃない！
みほ,それじゃあ勝ったとしても……
ひろ子,分かってる。でもうちらに残された最後の希望がこの決勝戦なんだ。ここでうちらの強さを証明すれば、きっと頑固な生徒会も考えを変えるだろう。戦車道がなくなったらうちの戦車たちは売り飛ばされる。うちはうちの子たちを守りたい。最後まで一緒にいて、それで後輩に託したい
みほ,きっと大丈夫。ひろ子さんの戦車たちはとても強いと思う。だってこんなに愛情がこもってるから
ひろ子,応援してくれるんだ
みほ,はい。私も大洗の一員ですから
ひろ子,そうか。次会うときはぜひ戦車道の一員として迎え入れたいね
みほ,はい
ひろ子,家まで送っていこうか？
みほ,ううん、ここで大丈夫。ひろ子さんは明日のためにゆっくり休んで
ひろ子,仲間が帰ってきたらそうするよ。あいつらいつまで買い出しに行ってるんだか
みほ,それじゃあ、また
ひろ子,ああ、明日の試合も応援に来てくれよ
みほ,うん！
ひろ子,やっと帰ってきたか。一体何してたんだぁ？。お前らがいない間に戦車が好きだって言うお客さんが来てたから乗せてあげたんだよ。あ、ちょっと待て！まだすぐそこにいると思う！。おーい、みほー！みほー！。ふぅ、まぁいいか。また明日会えるだろう
麻子,昼寝しようと思ったら、先客とは珍しいこともあるもんだな
みほ,……あれ？。ここ、IV号の……中……
麻子,起きたか
みほ,あっ、麻子さん。もしかして私ここでずっと寝てた？
麻子,いつからかは分からんがな
みほ,……麻子さん
麻子,どうした？
みほ,麻子さんは戦車好きですか？
沙織,急にどうしたのみぽりん、生徒会室に行こうなんて
みほ,ごめんみんな付き合ってもらっちゃって
華,もしかして会長さんたちに殴りこみとか？
みほ,どうしても確かめたいことがあって
優花里,確かめたいことですか？
沙織,もう、麻子ったらさっきからケータイに連絡してるのに返事ないし！
みほ,麻子さんならIV号の中で昼寝してる
柚子,大洗女子の最後の試合？
みほ,はい、どうなったかを知りたいんです
杏,最後って、昔戦車道やってたときの最後の試合ってこと？
みほ,はいそうです
柚子,どうかなぁ。もう20年以上前の話だし、資料があるかどうか……
杏,河嶋！
桃,はい。この前一度学園艦を出て行く際にありとあらゆる資料を箱にまとめたんだが。昔の戦車道の記録もその時にごっそり見つかった。この中にきっと最後の試合の記録も残ってるんじゃないか
沙織,うわぁ、いっぱいだね……
優花里,それにすごく古くて埃っぽいです
華,それではみんなで手分けして探しましょう
みほ,みんなありがとう！
杏,それにしてもどうしたの西住ちゃん？。急にそんなことを知りたいだなんて
桃,西住も学園を想う心に目覚めて我が校の歴史に興味を持ったのでしょう
みほ,この新聞……日付の年……きっとこれだ。私たちの、最後の試合の記事
沙織,なになに見つかったの？
華,黒森峰対大洗と書いてあります
優花里,ということは私たちと同じく黒森峰と決勝で当たったんですね。負けたみたいですけど
みほ,……。そっか……負けちゃったんだ
華,ちょっとよろしいですか。えぇっと――。戦車道全国高校生大会の決勝戦は往年の覇者大洗女子学園と新たな刺客黒森峰女学院の対決となった。大洗はかつて多数の優勝を収めた強豪校であったが、現在では成績も芳しくなく名声も落ちる一方――。対する黒森峰は無名であるものの、今年から西住の流儀を本格的に取り入れることで一気に勝利の階段を駆け上がった――
優花里,この時から黒森峰の快進撃が始まったんですね
華,大洗はこの試合でたった8両の戦車しか揃えることができず、かつての隆盛も見る影なし
沙織,なんか随分な書き方ねー
華,大洗はその全車両を撃破される大敗を期した……と
みほ,ということは……フラッグ車、最後まで戦い抜いたんだ……
優花里,この試合のあとうちの戦車道はなくなってしまったんですね
華,この記事によれば決勝まで進んだのも久しぶりということですから、成績の悪化が戦車道廃止の原因だったということでしょうか。これが大洗最後の戦車道大会であると書いてあります。大洗が所持する戦車の大半は黒森峰が買い取ることがすでに決定しているとも書いてありますね
優花里,当時の大洗はドイツ戦車が主力だったみたいですね
沙織,それじゃあ黒森峰が使ってる戦車は元々私たちのものだったってこと？
優花里,まぁ一部はそうなんでしょう
沙織,なんかずるーい！ドロボー！
華,いえ、お金を払って購入してますから……
優花里,それに戦車を売ったおかげでうちの学園がつぶれずに済んだわけですし
沙織,でもなんか納得いかなーい！
優花里,あれ？五十鈴殿、新聞の間から何か落ちましたよ
華,え？
優花里,これ……西住みほ様へって、書いてあります……
沙織,ええっ！みぽりん宛て！？
みほ,ちょっとそれ貸して！
優花里,あわわっ、西住殿っ
華,どういうことでしょうか？同姓同名の方？
優花里,勝手に読んでしまうのはまずいんじゃ……
みほ,ひろ子さんだ……！
優花里,ひろ子さん……？
沙織,誰それ？
麻子,なんだ突然そんなことを聞いて
みほ,いや、なんというか……ちょっと気になっちゃって
麻子,超大好きだ
みほ,え！？
麻子,なんだ、おかしいか？
みほ,うん……ちょっと、意外だったかも……。そこまではっきり言うとは思わなくて……
麻子,ここはよく眠れるからな。IV号の中にいると落ち着く。みほは戦車好きじゃないのか？
みほ,好き……。……私、戦車が好き！IV号も大好き！
麻子,……。まぁ、そりゃそうだろう。嫌いとか言われる方がびっくりだ
みほ,そ、そうかな？
麻子,そうだろう
みほ,……うん、麻子さんありがとう！なんだかすっきりした！
麻子,そうか、それじゃあ次は私が一眠りしてすっきりする番だ
みほ,あっ、そうだ！。ねぇねぇ、麻子さん！
麻子,むぅ……なんだぁ？
みほ,私たちと戦車って家族みたいだよね！
麻子,んん……そうだなぁ……
みほ,それじゃあ、おやすみ！
麻子,おやすみぃ……。……。……家族？……家族か……。スゥ……
みほ,はい、生まれたときからずっと大好きです！
麻子からみほの呼び方は,みほ
さすがに親しい仲になったら,西住さん
