千川ちひろ,ふむぅ……
凛,大人だからの意味はよく分からないけど、こんな大人にはなりたくないって思ったよ
ちひろ,そうですか……。なら、凛ちゃんはこの上着を羽織らないってことですね
凛,……え？
ちひろ,だってこんな大人が彼ジャケではしゃいでる訳ですから
凛,そうだけど……。むぅ
ちひろ,いいの？自分のシャツを着てる女の子にトキメク……ひょっとしたらひょっとしますよ？
凛,……それジャケットだけど。ちひろさん女の子じゃないけど。そもそもこの特集、彼氏にしたいこと、されたいことだけど
ちひろ,おっと、攻撃的。凛ちゃん、ここよく見て。片思いの男の子にも効くからレッツトライ☆……ね？
凛,ね？じゃないよ。今のちひろさん馬鹿みたいだよ？
ちひろ,ズバッと言いますねぇ。でも、恋は人を馬鹿にさせるもんです
凛,恋って……。本気でプロデューサーのこと好きなの？
ちひろ,凛ちゃん……この歳で独り身だと、打算と妥協とフィーリングをひっくるめたものを恋と呼んでいいの
凛,良くないよ
ちひろ,やだ真顔……。けど、私は逃げません！例え馬鹿みたいと言われようがこの彼ジャケでプロデューサーさんをキュンキュンさせちゃいます！
凛,……ドン引きされても知らないから
ちひろ,いいんです。何事もチャレンジ！それになんか脱ぎ難いんですよね。まだしばらく着ていたいかなって
凛,……ふーん
ちひろ,……
凛,……
ちひろ,……着たい？
凛,……別に
ちひろ,そうですか。……ふふ
凛,……何？
ちひろ,いえ。早くプロデューサーさん帰ってこないかなぁ
凛,……
ちひろ,にしても、プロデューサーさんの匂いは安心しますねぇ。臭いって感じないのは相性がいいんでしょうね。良かったぁ
凛,っ……
ちひろ,ふふふ。……人間正直が一番ですよ？ほら、嗅いでみます？
凛,い、いらない！変態じゃないんだから！
ちひろ,ん～、嗅ぐって言い方じゃそうなるか……っと、内線だ。……はい、こちらアイドル部署です。……はい、はい。わかりました、すぐ伺います
凛,呼び出し？
ちひろ,えぇ、経理課から
凛,経理課……
ちひろ,凛ちゃん、その目はなぁに？プロデューサーさんが領収書を適当に出してたみたいですからそのフォローですよぉ？
凛,ごめんごめん。大変だね。頑張って
ちひろ,全くもう……。と、流石にこれは脱いでいかなきゃ
凛,……
ちひろ,……着る？
凛,き、着ないからっ
ちひろ,ふふ。じゃあいってきま～す
凛,……。…………。………………少しだけ。おっきいな……。確かに割とトキメクかも。匂いも……臭くない。むしろ……。プロデューサー！？ど、どうしよう！？どうすれば……！
美嘉,って、誰も居ないね
モバＰ,ちひろさんも居ないのか。ま、二人に奢ったのを理由にたかられそうだったから良かったかな
美嘉,ひどー。ちひろさんに告げ口しよー
モバＰ,やめてやめて
美嘉,じゃあ、また連れてってね？奢りでっ！！
モバＰ,はいはい。甲斐性見せますよ
凛,ロッカーに隠れちゃった……。普通に脱げばいいだけなのに……ぅぅ、私の馬鹿……。しばらく通気口から様子見よ……
卯月,あ、あの！
モバＰ,ん？
卯月,さっき私が言った事なんですけど……
モバＰ,あぁ、本気じゃない事は分かってるって。へこむなへこむな
卯月,……残念じゃないですか？
モバＰ,残念じゃないですよ。卯月はいい子
卯月,……。それじゃあ、私もまた連れてってください
モバＰ,わかったよ。全く……女って得だよなぁ
卯月,いえ、私は支払うので。美嘉ちゃんと違って私は支払うので
美嘉,あっ！
卯月,なんだかんだ言って美嘉ちゃんは奢られるのが当たり前に思ってるみたいですけど……私は支払うのでっ！！
美嘉,この子はっ！！
卯月,残念な美嘉ちゃんと違って私は支払うのでぇ！！
美嘉,このー！質の悪い復讐をしおってからにー！！
卯月,いふぁいいふぁい！ふぉうりょふはんふぁい！！
美嘉,復讐は復讐を生むんだふょ！？ひゃめっ！いひゃい！
卯月,みひゃひゃんふぁいふぇひゃいふふぇひょ！！！
美嘉,ふぁふぃひっへふふぉふぁふぁふぁんふぁい！！
モバＰ,ほっぺを引っ張り合うなって。子供の喧嘩か……と、あれ？俺、上着どうしたっけ
卯月・美嘉,ふぁ？
モバＰ,暑かったから脱いだ覚えがあるんだけど……俺、いつからこの格好だった？
美嘉,アタシ達が店の前でプロデューサーを捕獲した時にはカッターだけだったような？いや、上着も……ん～……？
卯月,あの時いかにプロデューサーさんをお店に連れ込むか、それに必死だったから覚えてませんねっ！
モバＰ,お、おぉ……そう自信満々に言われると逆に清々しいな
卯月,はい！美嘉ちゃんと違って私ははっきりしてる気持ちのいい女の子ですっ！
美嘉,そうやってまたっ！！プロデューサー！この子、性根が濁々っ！！清々しくなんかないっ！すぐアタシを貶める！！
卯月,ふふふ……復讐はまだ続いて……続いて…………性根が濁々は言い過ぎだと思う！！
美嘉,実際やり方が汚い、いふぁい！！ふぉふぉー！！
卯月,みひゃひゃんふぉふぁふぁー！！
モバＰ,……ほどほどになー。俺ちょっと店に忘れてないか行ってくるわ
卯月・美嘉,んにー！！
凛,くっ……あの二人、抓りあいに夢中でプロデューサーについて行かなかった……
卯月,ぅぅ……ほっぺが……
美嘉,ぉぉ……まだ引っ張られてる感じがする……
卯月,お互いこの戦い方は止めようね……
美嘉,うん……
凛,戦いって表現が妙にかわいく感じる……じゃなくて、どうしよう……出れないよ……
卯月,美嘉ちゃん、これから予定あるの？
美嘉,今日はな～し。卯月は？
卯月,私も
凛,あ！これは帰るなり遊びに行くなり……
美嘉,そうなんだ。もう帰るの？
卯月,ううん。暇だからプロデューサーさんにまとわりつこうかなって
美嘉,アンタ……
卯月,あはは、冗談だよ～。でも、少しここでゆっくりしようかな
凛,ちくしょう……！
美嘉,……
卯月,け、警戒してる……。ホントに冗談だよ？
美嘉,卯月ならまとわりつかねん……
卯月,そこまで奔放じゃないつもりだけど、なんだか私もまとわりつく気がしてきた
美嘉,なにそれ！……あはは！！
卯月,ふふふ
凛,なに和んでんの……！暇なら女子高生らしく仲良く買い物とか……！！くぅ……
美嘉,お？
卯月,どうしたの？
美嘉,変な雑誌発見。彼にしたいこと、されたいこと特集だって
卯月,ティーン雑誌感が凄いね。カリスマには必要ないものだ！
美嘉,まーねー
凛,コントが始まりそう……ぅぅ……誰かあの二人を連れだして……
卯月,ねーねー、カリスマー
美嘉,なんだい少年
卯月,なんでカリスマはカリスマなのー？
美嘉,それはね、溢れんばかりの魅力をあたりに撒き散らす天性の
卯月,ねーねー、カリスマー
美嘉,最後まで言わせろ？少年
卯月,カリスマはなんのカリスマなのー？
美嘉,それはね、ギャルだよ。だけど、それだけではないんだよ？アイドルの
卯月,でもでもカリスマー
美嘉,被せてくるなぁ少年は
卯月,知り合いのおにーちゃんが、俺的にギャルのイメージは凛みたいなこと言ってたよー？
凛,！？
美嘉,……マジで？
卯月,ひょ、表情が消えた……
美嘉,卯月。詳しく
卯月,い、いや……そんなに深刻な話では……
美嘉,いいから。早く
卯月,え、えっとね？第一印象の話をしてたとき……
マストレ,城ヶ崎ー！！城ヶ崎はいるかぁ！！！
卯月,わぁ！！ビックリしたぁ
美嘉,な、なに？
マストレ,いたな！一ノ瀬がレッスンをバックレた！！連帯責任でLiPPSのメンバーに特別レッスンを課す！！
美嘉,えぇ！？超理不尽！！
マストレ,あいつの失踪癖を治す為、直接怒らず仲間に罰を与えることにした。これでお前らに迷惑かけられないとあいつも真面目になるだろう！
美嘉,奴はそんなタマじゃないって！！ちょ、まって！！いや～！！離してぇ！！
マストレ,大丈夫だ！あいつなら分かってくれる！さぁ、行くぞ！お前らのレベルも上がって一石二鳥だっ！！
美嘉,い～や～！うづき～たすけてぇぇぇ…………
卯月,こ、こどものように引きずってった……
凛,駄々っ子を連れて行くお母さんみたい……。ついでに卯月も連行して欲しかった……！
卯月,……
凛,一人は寂しいでしょ！卯月、帰ろう！！
卯月,……ん
凛,あぁ！！テレビつけたぁ……
卯月,……
凛,しかもDVDを取り出した……がっつり見る気だ……
卯月,ふんふんふ～ん
凛,ご機嫌……何見てんのかな……。アルパカ……
卯月,……ふぇ～
凛,！
卯月,……！え゛え゛～～～
凛,ふ、ふふ……
卯月,ふ、ふ～ん？……ふ～～～～ん
凛,こ、これは……動画で保存しとかないと……ふ、ふふふ……
卯月,ん？
凛,しまっ！！
卯月,ロッカーから？
凛,っ……
卯月,……気のせいか
凛,……セーフ。こっちに来る気配は無し……ふぅ。……撮るのはやめとこ。盗撮はダメだよね。卯月がかわいそ
卯月,わっ！ロッカーを開けたら渋谷凛っ！！
凛,なに瞬間移動してんの！？。っ！入って！
卯月,え！？ちょ、せまっ
裕子,誰もいないですね。む～、サイキック失せ物探しを見せるチャンスなのに
モバＰ,あら、卯月達帰ったのか。テレビつけっぱなしじゃないか……と
裕子,あぁ！アルパカがぁ……
モバＰ,え？見たかった？
裕子,いえ。特には
モバＰ,なんだそりゃ
裕子,……プロデューサー。今なにか聞こえませんでした？女性のうめき声のような……
モバＰ,あぁ……聞こえちゃったか……。実はここな……
裕子,わぁ！わぁ！！何を言う気ですか！？私にはサイキックバリアーがあるんで怖がらせようとしても無駄ですよ！！
モバＰ,昔、髪の長いアイドルが……
裕子,なんで続けるんですかー！無駄って言ってるでしょー！！
モバＰ,無駄なら聞いても大丈夫かなって
裕子,サイキックパーンチ！！
モバＰ,おふっ！……物理やんけ……
裕子,もうっ！そんなことより上着を探さないと！
モバＰ,その子は他のアイドルとは一線を画す美しさでな……それ故に妬みや嫉みからくるイジメもあったんだ……。いつしかそれがエスカレートしていき
裕子,ハイキーック！！
モバＰ,おごっ！……もう語感だけじゃん……
裕子,上着っ！上着ぃ！！うーわーぎー！！
モバＰ,わ、わかったわかった。俺が悪かった。ただ、スカートでハイキックはやめような？パンツ丸見えだったぞ
裕子,……さ、サイキックサーチ！！むむむ～！！
モバＰ,ん。その強引な誤魔化し方、真っ赤な顔でかわいいだけだわ
裕子,～～！しーずーかーにー！！
モバＰ,はいはい
裕子,ムム！？そこですっ！！
モバＰ,………………どこです？
裕子,……光ったりしてないです？
モバＰ,何が？
裕子,上着がある周辺？
モバＰ,特に光ってるとこはないなぁ
裕子,……あれです。プロデューサーが怖い話をしようとして邪魔したから、集中力がふにゃふにゃになったんです
モバＰ,おー、そりゃ悪かった。……しかし、マジでどこで脱いだんだろ……
裕子,む～……もう一回！……ムムムっ！ぴぴっときました！！
モバＰ,トゥルっときたな。……はい、アイドル部署です。……え？経理課……はい……はい……。すいません！すぐ行きます！！
裕子,プロデューサー？
モバＰ,すまん！ちょっと呼び出しくらった！またあとでっ！
裕子,あ……行っちゃった……。……。…………。………………サイキックおトイレ！
和久井留美,お疲れ様です。……？誰かの声がしてた気がしたけど……気のせい？
凛,撮ってないけど。スマホ？……あ、なるほど
留美,彼にしたいこと、されたいこと？……面白そうね
凛,留美さんも雑誌に興味持っちゃった。マズイなぁ……あんまり長くなると卯月が……。謎の呼吸法をしてる……。どうしよう……
留美,お弁当……。どうせならあったかいものを食べさせてあげたいわね。けど、料理か。……上手くできるかしら。……。…………でっきるかな、でっきるかな、はてはてふむー
凛,わ、わくわくさん……！？ふ、ふふふ……
留美,ん？。……ふふ。いつも賑やかね
凛,た、たすかった……。呼吸法が変わった……
留美,ん～……格好つけて本格的なものにチャレンジしても、そう上手くはいかないわよね……。まずは簡単なもの……スープ？。スープ……スープ……。…………特別なスープをあーなたーにーあーげるー
凛,あったかいんだから……って、できるかなより全然新しいのに古く感じるな……。けど、今のは耐えれた！ていうか、留美さん急に歌わないで！！
留美,んん？。げ、元気ねぇ……
凛,危なぁ……。ありがとう、フレちゃんと愉快な仲間達。にしても、わくわく推しはダメだよ……。卯月がゴン太くんと化してる……限界か……。流石に恥かしがってる場合じゃないよね……よし！
留美,……壁ドンか。…………どう？Ｐ君。簡単なものだけど心込めて作ったわ。お口に合ったかしら？
凛,っ……なんか始まった！出るタイミングが……！！。卯月が艶めかしく……！
留美,温まった？ふふ、良かった。あら、片づけ手伝ってくれるの？それじゃ並んで洗いましょう。……夫婦みたいね。うふふ。え？お礼？そんなのいいわよ。そんなことより、あとはテーブルを拭いて……ひゃ！。……テーブル拭かないと。お礼が先？……ふふ、こうやって逃げられないようにするなんて、Ｐ君も男らしいとこあるのね……ぁ。んん……。もう……強引なんだから……。でも、そんなＰ君も素敵……。素敵よ……Ｐ……くん……ぁぁ……
凛,こ、これは……。私の名前が中国人みたいになってる……！ごめんね、タイミング云々じゃないよね！すぐ出るから！
留美,…………。今の私を誰かに見られたら死ねるわね。ていうか、殺すわね。そして私も死ぬわね。ホントどうかしてたわ……。けど……うふふ……
凛,ごめん卯月！私まだ死にたくない！！。！？
裕子,エスパーユッコ、只今帰還っ！あ、留美さん！お疲れさまでーす！！
留美,……！ゆ、裕子ちゃん。お疲れ様……お仕事だったの？
裕子,いえ！サイキックおトイレに行ってました！
留美,サイキックおトイレ……。アイドルらしくお化粧直しとかもっと言い方を……ん？あら……私も急に……
裕子,ふふふ……サイキックおトイレと言うと催してくるフィールドをこの空間に展開してたんです……かかりましたねっ！
留美,馬鹿にこと言わないの。ちょっと行ってくるわ
裕子,レコーディングですね！！
留美,……なぜ？流れからしてお化粧直しでしょう
裕子,レコーディングは音を入れるから音入れ……おトイレ！！これならアイドルらしくないですか？
留美,……その隠語はちょっと遠慮したいわね
裕子,ムム……難しいですね
留美,ふふ。それじゃ失礼するわ
裕子,はーい。……。……誰か来ないかなぁ。サイキック召喚っ！！……なーんて。ん？。え！？ロッカーが揺れて……まさか私のサイキックパワーがっ！！。え？え？な、なに……？。ひぃ！！。いやぁ！！さ、サイキックバリアー！！
卯月,あ゛あ゛あ゛！！風になれ私っ！！
裕子,ひゃあ！！う、卯月ちゃんが跳び出して……
凛,ゆう……こ……ゆう……こぉ！！
裕子,や……や……。いやぁ！！でたぁ！！！助けてプロデューサー！！うわぁぁん！！
凛,…………行ったか。ふぅ……咄嗟の貞子擬態成功……。良かった……なんだかんだ上手く切り抜けれた……ホント良かった……
モバＰ,ご、ごめ……！いたいいたい！駄々っ子パンチ意外に痛ぇ！！
ちひろ,ふんっ！！
凛,……喧嘩しながら入ってこられても、イチャイチャしてるようにしか見えないんだけど？
モバＰ,お、おぉ。居たのか……あれ？上着がある……なんで？
凛,……なんか落ちてたよ？机の下に。まゆが引きずり込んだんじゃないかな？
モバＰ,なにそのホラー。でも、まゆがそのまま放置するかな……
凛,い、いいじゃん。あったんだから……ね？
モバＰ,ま、そうだな
ちひろ,……なんでまだ着てないのかと思ったら無くしてたんですね
モバＰ,えぇ。結局机の下にありましたけど
ちひろ,ふ～ん。椅子に掛けてあった訳じゃなくて、机の下にですか……ふふ
凛,……
モバＰ,どうした凛。凄い汗だぞ
凛,ち、ちょっと暑いかな……
モバＰ,確かに今日は少し暑いけど……クーラーの温度、もう少し下げるか？
凛,だ、大丈夫
ちひろ,目が泳いでますね～
凛,ちひろさんっ！
ちひろ,うふふ、さあ仕事仕事
モバＰ,……？
留美,あら、人が増えてるわね。……ん？裕子ちゃんはいないの？
モバＰ,あ、お疲れさまです。そういえば居なくなってますね。経理課に呼び出された時には居たんですけど
留美,経理課？
モバＰ,ちひろさんがやらかしちゃいまして
ちひろ,あ！また蒸し返す気ですか！？いいですよっ！こうなったらトコトンやりましょう！たるき亭に予約入れておくんでそこで存分に戦おうじゃありませんかっ！奢りでっ！
モバＰ,シレっと奢りとか言ってんじゃないですよ！ドリンク代を経費で落とそうとしてる男にたかるとか、ホントいい性格してますねっ！
ちひろ,やだ……急に褒めないでくださいよ……もぅ……
モバＰ,なんだこの人！？
留美,……どうしたの？凛ちゃん。いつもならイチャつくなって怒りそうなのに
凛,いや……しばらくはちひろさんに頭上がらないって言うか……
留美,なにかあったの？
凛,な、なにもっ！？
留美,……ん～？
凛,……
モバＰ,……なんか、凛が留美さんにメンチ切られてるんですけど
ちひろ,凛ちゃんの目がバサロ……ん？裕子ちゃん？
モバＰ,……なに覗いてんだ？裕子？
裕子,あ、プロデューサーここに居た！うわぁぁん！怖いけど戻ってきて良かったぁ！！
モバＰ,おっと。どうした飛びついて。なんかあったのか？
裕子,プロデューサーが言ってた髪の長い女の子がぁ！！わぁぁん！！
凛,！？
モバＰ,よしよし。大丈夫大丈夫。泣くな１６歳
裕子,ロッカーから、ロッカーからぁ！！
モバＰ,ロッカー？
凛,ゆ、ゆうこ？無理して話さなくても……
裕子,サイキック召喚したら急にガタガタしだしてっ！中からダンダンって叩く音がしたと思ったら卯月ちゃんが跳び出してきたんですっ！！
モバＰ,……オッケー、ユッコ。突っ込み所があり過ぎてちょっと処理しきれない
裕子,プロデューサーが言ったんじゃないですかぁ！昔、髪の長い女の子がイジメられてって！！
モバＰ,あ～……あれ作り話なんだけど。卯月は幽霊じゃないから安心しろ？
裕子,で、でも！卯月ちゃんが跳び出した後に髪の長い女の子が出てきたんです！たぶん卯月ちゃんその幽霊に閉じ込められてたんです！！
モバＰ,……マジ？
裕子,はい！こう顔が隠れる感じで髪が前面でゆらゆらとしてて……格好はスーツのようなものを羽織ってて……！！
モバＰ,スーツ？
裕子,そう、大きめの……プロデューサーが着てるようなやつです！！
凛,……
留美,凛ちゃん、動いちゃ駄目よ。……裕子ちゃん。それ、いつの話？
裕子,留美さんがレコーディングに行ってすぐです！！
モバＰ,え？レコーディング？
留美,気にしないで。さて、凛ちゃん……行きましょうか
凛,……うん。……ねぇ、プロデューサー？
モバＰ,な、なに？なんでそんな優しい顔してんの？
凛,ただの好奇心だったんだよ？けど……こんな結果になっちゃった……
モバＰ,け、結果？留美さん？なにをしようと……
留美,ちょっと凛ちゃんの記憶を殺そうかと
モバＰ,は！？
留美,安心して。私のも殺すから
モバＰ,ホントどういうこと！？
凛,最期にプロデューサーのスーツ着れて良かったよ！……バイバイ！
モバＰ,凄ぇいい笑顔っ！なにこれっ！！
卯月,島村卯月、地獄から生還しました！！というより、あの解放感は天国にいるようでした！！
留美,それじゃ、もう一度天国へ行きましょうか
卯月,……え？留美さん？なんで私の腕を掴んでるんですか？
凛,好奇心は卯月をも殺す……
卯月,なに不穏なこと言ってるの！？
留美,卯月ちゃんもロッカーに居たのよね？
卯月,……あ！あ、あのあの！えっと……そう！ロッカーの中では自分との闘いで必死だったんです！だから壁ドンからの展開とか知らないです！！
留美,壁ドンからの展開？……うふふ
卯月,あぁ！！た、たすけてプロデューサーさん！！
留美,大丈夫。晶葉ちゃんなら痛くないように処置してくれるから
卯月,い～や～！！凛ちゃんに巻き込まれただけなのにぃ！！あぁぁ……プロデューサーさぁぁん…………
ちひろ,……留美さんって意外とパワフルですね
モバＰ,えぇ……。しかし結局なんだったんだ……
裕子,あ、あの……幽霊は……
ちひろ,あの様子だと除霊されちゃいますね
裕子,……？
モバＰ,不思議な顔で見られても俺にも分からんって。……さて、仕事しますかね
裕子,むっ！それでは私と一緒に超能力の特訓ですね！
モバＰ,それ俺の仕事なの？
裕子,当然です！力を合わせて幽霊になんか負けないサイキッカーなりますよ！ムムーン！！
モバＰ,ムムーン！！
ちひろ,付き合ってあげるんですね
裕子,ハァァァッ！！さいきっくぱわー、全・開・放！ムムムッ、ヌゥーンヌゥーン、ホイヤー！！
モバＰ,あ、それは無理だわ
裕子,な！？素に戻るの禁止っ！！
モバＰ,うははは！
裕子,なに笑ってるんですかっ！もうっ！！
ちひろ,今日も賑々しくて平和な事務所ですねぇ。ふふふ
美嘉,………………………………………………………………………………誰も来ねぇ！！
