鷺沢文香,急にお呼び立てして申し訳ありません……ありすちゃん
文香,翌朝目が覚めると、お腹が妊婦のように膨らんでいるではありませんか。……まあ大変
ありす,文香さんの言い方は大変に聞こえないです
文香,肥大化、細胞レベルで同化した触手は、もはや手術でも切り離せません。ありすちゃんはかけがえのないパートナーを手に入れました。めでたしめでたし
ありす,めでたいどころか、そんなことになったら自殺を考えます……
文香,腸内に寄生する触手は排泄物を食べてくれるので、お通じが良くなります
ありす,もっとまともな方法があると思うんですけどね……
文香,他にもメリットがありますよ
ありす,本当ですかぁ？
文香,触手先生の肉体改造であなたも魅惑のセクシーボディに。中出し5回から承ります
ありす,勘弁してください
文香,女性にとって最高の幸せとさえ言われる出産を、何度でもお手軽に体験できます
ありす,したくありません
文香,自分の産んだ触手に犯されたらとっても背徳的ですね
ありす,産みませんってば
文香,触手の形状についても説明しましょう
ありす,形状って、うねうねしてるだけでは？
文香,それはそうですが……凸凹の少ないシンプルなものから、ゴツゴツしたものなど様々です。個人的には、ゴムホースのような触手は気持ち悪さが足りないのでイマイチです。適度にコブがあったり、血管が浮き出ているような……魔改造された男性器、という感じが良いですね。口や目があれば、さらに不気味な印象を与えられます。E群――機械触手ならドリルや注射針も合うでしょう
ありす,ドリルなんて突っ込まれたら本当に死んじゃいますよ……
文香,……
ありす,なんですか？
文香,自分のなかにドリル触手が突っ込まれる妄想をしましたね？
ありす,し、してません！
文香,ありすちゃんはなんてエッチなんでしょう
ありす,文香さんには言われたくないです！！
文香,……さて、これで終了となりますが、触手について理解は深まったでしょうか
ありす,ええ、まあ、一応……
文香,では最後に、ここまで学んだことを使って、自分ならどのように触手を描くか教えてください
ありす,ええっ、私が考えるんですか！？
文香,はい、ぜひお願いします
ありす,うーん……
文香,あ……そうそう。触手の出自については、あまり気にしなくて良いですよ。ストーリーを盛り上げるために必要なら考える程度で
ありす,さっきの例を流用していいですか？
文香,……まあ、いいでしょう。いきなりゼロからは難しいでしょうから
ありす,じゃあ……。プロデューサーさんが謎のウイルスに感染して、腕が触手になってしまって。近づいた私は捕らわれてしまいます。それで、されるがままになってしまうのですが……その、えっと。一通り済ませると、触手化していた腕が少しだけ元に戻るんです。何度も繰り返せば完全に治ると考えて……。プロデューサーさんのため……乗りかかった船だから、と……。そして絆が芽生えた2人は完治後結婚……って、こんなこと言えません……！。こ、こんな感じで……どうでしょうか
文香,ベタですが……とても良いと思います。特に、ありすちゃんが自分で考えて。真っ赤になりながらも話してくれた、というシチュエーションは至福のひとときです。良い話と思わせて、実は触手ウイルスがありすちゃんに乗り移っていた。というエピローグで、さらなる陵辱を予感させますね……私なら
ありす,顔から火が出そうなくらい恥ずかしいです……
文香,これで私も本当の自分をさらけ出すことが出来ます
ありす,えっ、それって……。ま、まさか文香さんの身体は……すでに触手に蝕まれているんですか！？。道理でおかしいと思いました！
文香,ありすちゃん……
ありす,ああ、文香さん。きっと誰にも打ち明けられず辛かったでしょう。でも私に教えてくれたこと、嬉し――
文香,そんなことあるわけ無いでしょう
ありす,えぇ～っ
文香,私は触手が大好きな普通の人間です
ありす,これっぽっちも普通じゃないです
文香,一緒に触手創作物鑑賞会をしましょう
ありす,もう帰らせてください！
文香,プロデューサーさんも……参加されますよ？
ありす,……いや、帰らせてください！！
文香,ちょっと迷いましたね？
ありす,誰か助けて～～っ！！
