卯月,ええ！？そ、その……ええっと……。ママとパパが、コウノトリさんにお願いすると。は、運んできてくれるんですよ……
文香,はあ……それはとても長い旅でしたね。知的欲求を満たすため……多種多様なアイドルの方たちに聞いて回って。行き着いたのは、私のもと……。……ええ……お教えしますよ。ですが仁奈ちゃんはまだ小さいので……。言葉に充分気を配らなければいけませんね……私なりに尽力します。その前に……仁奈ちゃんが今まで質問したアイドルの方々を、許してあげてくださいね。嘘をついたり、はぐらかしたり……皆さんは困っていたんです……。……そうなんですか……余計な心配でしたね。慌てないでください……分かっていますから。説明の切り口はどうしましょうか……
仁奈,プロデューサー！
Ｐ,おはよう仁奈。今日も元気が有り余ってるなぁ
仁奈,えへへ。仁奈、じんたいのしんぴを知ったですよー！
Ｐ,人体の神秘？
文香,プロデューサーさん……実は……
Ｐ,文香か。なになに。あー……なるほどな
文香,直接的には伝えず、本人もはっきりと理解をしていませんが。信じきっているので……見守ってあげてくださると……
Ｐ,もちろんだ。ありがとうな文香
文香,いえ……
仁奈,２人で何を話してるですか？
Ｐ,ん？仕事の話だよ
仁奈,怪しいでごぜーます
Ｐ,本当だよ
仁奈,……あっ。文香おねーさん！仁奈、気づいたことがあるですよ！
文香,何でしょうか……
仁奈,この前、文香おねーさんが教えてくれたことが本当なら。プロデューサーと文香おねーさんも、赤ちゃんを作れるですか？
Ｐ・文香,！？
Ｐ,ふ、文香。どんな説明をしたんだ
文香,だ……男性と女性が一晩同じ布団で過ごすと……。……新しい命が生まれると……
Ｐ,文香！？頭から煙が出てるぞ！！
仁奈,違うですか？
Ｐ,いや、その……まあ……当たってるけどな。ただし、もう一つ条件があるんだ
仁奈,じょーけん？
Ｐ,そうだ、それはな。愛だ
仁奈,あい
Ｐ,うん。赤ちゃんを作ることは、男女の間で愛が無ければやってはいけないんだ。仁奈のママとパパも愛があったから成功した
仁奈,へぇー！奥がふけーですね！
まゆ,その説明が本当なら
Ｐ,！！
まゆ,まゆとプロデューサーさんなら、作れますよね。赤ちゃん
仁奈,作れるですか！？
Ｐ,いいや、一方的な愛ではダメなんだ。よく覚えておくように
まゆ,今一方的って言いましたか？
Ｐ,！！！
まゆ,そうだったんですね……でも。一晩一緒のお布団で過ごせば、プロデューサーさんも気が変わってくれますよ
Ｐ,俺をどこへ連れてく気だ！？
まゆ,愛の巣です♡
仁奈,仁奈も作るとこ見てーですよ！
Ｐ,子供は見ちゃいけませんッ！！大人になってからな！？。いいか仁奈、文香と今俺が言ったことをちゃんと守るんだぞ！！。プロデューサーとの約束だぞ！！……くっ、何でこんなに力が！？
まゆ,晶葉ちゃんにパワーアップの装置を作ってもらいましたぁ
Ｐ,放してくれぇぇぇ！文香！仁奈にしたように、まゆにも説明を！！
文香,ぁぅ……
Ｐ,文香ぁぁぁ！！助けてくれぇぇぇ！！
ちひろ,その後、まゆちゃんの隙を見て何とか脱出したプロデューサーさんは。まゆちゃんの暴走が収まるまで、隠れながら生活する日々を過ごしたらしいですよ
仁奈,ちゃんちゃん♪でごぜーます！
