先生,はーいテスト返すよー
ダイヤ,今日は浦の星女学院全学年のテストが返ってくる日でしたわね…善子さんの手元にもテストが返却されたはずですわ
善子,返ってきたけど…なによ
ダイヤ,スクールアイドルとして目指さなければならないものは文武両道！アイドル活動も大切ですが勉強をおざなりにすることはあってはならないのですわ！
善子,なに！？ダイヤは私のテスト結果が悪かったとでも言いたいの！？
ダイヤ,正直こんなことは考えたくありませんが、今までの貴女の素行から心配せざるを得ないのですわひきこもり堕天使！
果南,そうだよ！善子も一緒に怒られよう！
千歌,3人なら怖くないよ！
善子,フッ…
ダイヤ,なんですのその小憎らしい笑みは
善子,ｸｯｸｯｸｯ…ついにこの時が来たようね…
鞠莉,ヨシコ…テストの点が悪すぎてついに狂ってしまったのね
曜,ご愁傷様であります…
梨子,墓前で鎮魂曲を弾いてあげるわ…
善子,バカにできるのも今の内！これが私の堕天の力よ！刮目しなさい！！！
梨子,えっ
鞠莉,oh!
曜,わぁ！
千歌果南,そんなぁ！！
ダイヤ,軒並み高得点、特に数学は100点ですわ！？
善子,フフン、どうよ
千歌,そ、そんな…嘘だ…
果南,善子だけは私達の仲間だと思ってたのに…
千歌,裏切り者―！
善子,裏切った覚えはないわ！なぜなら最初から仲間じゃなかったのだから！
果南,私達3人生まれは違えど死ぬときは同じってみかんの木の下で誓ったじゃんか！
善子,そんな桃園の誓いver.アホを誓った覚えはないわよ！。ほらダイヤ！これでわかってくれた？
ダイヤ,ええ…これは認めざるをえませんわね…。ごめんなさい、善子さん。正直普段の生活態度から勝手に勉強が苦手なものだと思っていましたわ、お許しくださいませ。それにしてもとても良くできました、偉いですわ善子さん
善子,ちょっ///なでるなし！！///
ダイヤ,はっ…！すみませんつい、いつもルビィにやってる癖が…
善子,……まあいいけど…///
鞠莉,ネーネーダイヤ～？ワタシも英語満点だったんだけど～？なででくれないの～？
ダイヤ,うるさいですわ！///なでません！///
曜,善子ちゃんすごいね！見直しちゃった！！
梨子,以外だったけど、すごいわね
善子,そうでしょうそうでしょう！もっとヨハネを讃えなさい！
ルビィ,善子ちゃんすごい！
花丸,善子ちゃんすごいずら～
善子,アーッハッハッハッハ！！！
千歌果南,…
ダイヤ,ちかなんさん！どこに行こうとしていますの！？
千歌果南,！！
ダイヤ,お二人は今日からわたくしが直々に補習をして差し上げますわ！
千歌,テスト期間終わったばっかりなのに！？
果南,鬼！悪魔！ダイヤ！
ダイヤ,おだまらっしゃい！！！！さあ、これからみっちりと勉強しますわよ！！！
千歌果南,もうテストなんてこりごりだあーーー！！！！
ダイヤ,どうぞ
善子,失礼しまー…す
ダイヤ,あら？善子さん、いかがしましたか？今日は練習は無いはずですが…
善子,いや、部活のことじゃなくて…
ダイヤ,ではどういったご用件ですの？
善子,あの…なんていうか…
ダイヤ,はっきりと言ってくださいまし
善子,えっと…。今回のテストも…いい点だっ…た…///。あの…だから///
ダイヤ,あぁ、なるほど…堕天使にも可愛いところがあるではないですか。ほら、おいでなさい善子さん
善子,…///
ダイヤ,はい、今回もよく頑張りました。偉いですわ、とっても。この調子で頑張ってくださいね
善子,………っ///。……うん///。また次も頑張ろ///
善子：学年上位、地頭はいいのでやる気が出れば点数が取れるが授業態度が良くないので成績は少し下がる。得意科目は数学,ガリレオの湯川先生の真似して数式を解くのが好きだから
鞠莉：学年上位、ルー語と英語が得意、高校のテストに出てこない学問が強い,経営学とか帝王学とか
