五十嵐響子,今晩のご飯、何にしようかなー……
響子,アフリカの恵まれない子供みたいに言わないで！！！
美穂,ライラちゃんはアフリカじゃなくてドバイだよっ！
響子,そこのツッコミはいいですから！……あれ！？心読まれてる！？
卯月,美穂ちゃん、ラジオ、どうでしたか？
響子,あ、終わったのかな……
美穂,うん！楽しかった気がしなくもないような気もするよっ
響子,オブラート
智絵里,まああんなコーナーをやってるようじゃ１回で打ち切りでしょうけどねっ
響子,智絵里ちゃんがそれを言っちゃうの！？
美穂,２回くらいは平気だと思うけどな……
響子,だからそこはどうでもいいんですって！
卯月,私、食レポとかやってみたいんです！
美穂,いいねっそういう機会もきっと増えていくよね
智絵里,というわけで、今日は行列ができるラーメン屋へやってきました！
響子,始まるのが唐突すぎませんか！？
美穂,楽しみだね～
卯月,へいらっしゃい！！！
響子,なんで店主なの！？食レポしたいって言ったのは卯月ちゃんでしょ！！？？
智絵里,カツ丼１つ！
響子,邪道！
美穂,ら、ラーメン頼もうよ！
響子,そうですよ！
智絵里,おすすめはどれですか？
卯月,チャーハンです
響子,邪道！！！！！。ラーメンどこ行ったんですか！！！
美穂,じゃあチャーハンを
響子,さっき“ラーメン頼もうよ”って言ってた美穂さんはどこへ！？
智絵里,明日、またここに来てください。本当の冷やし中華をお見せしますっ
響子,品目が増えてく……
卯月,ごめんなさい、今日で閉店なんです！
響子,行列ができてるのに！？！？！？
智絵里,前向いていきましょう！明日があるさ！です！
響子,明日はお店が
美穂,チャーハン、まだですか……？
響子,空気読んで！！！。食レポの話題なのに料理が出てこない……
卯月,へいお待ち！シーザーサラダです！
響子,オーダーミス！！！
美穂,ち、ちょっと！違いますっ！私が頼んだのはシーザーサrrrrrrrrrrrァダですっ
響子,そっち！？巻き舌は必修科目なんですか！？
卯月,失礼いたしまむらっ！
響子,それ言いたかっただけですよね！？
卯月,もうっ！ラーメン屋さんなんですから、素直にラーメン頼んでください！
響子,シーザーサラダを出さなければよかったのでは……
智絵里,チャーシューメン、肉抜きでっ！
響子,邪道！！！……というか何をしたいんですか！？
美穂,もうボケが浮かばないよ……
響子,なんでボケる必要があるんですか！？美穂さんがしっかりしないと！
卯月,へいお待ち！ラーヌソです！
響子,な、なんて！？
智絵里,わぁ……ヌンとヌープが絶妙に混ざりあってる……。あっさりした中にコクもあり、呑み込んだ後に至るまでお互いが引き立てあってます……
響子,急に食レポっぽくなったけど何を食べてるか全然わからなくて怖い！！！
美穂,宝石箱やー
響子,美穂さんはボキャブラリーがゼロなんですか！？
卯月,星いくつですかっ！？
智絵里,０
響子,絶賛してたのに！！！
美穂,6.5：全体的にはよい動きであり、序盤は個人技から得点をアシストした。しかし後半は存在感が薄くなってしまい、フル出場ならず。サイドにも目を向けるべきだった
響子,サッカー！？
卯月,智絵里ちゃんは、どんなお仕事がしたいですか？
智絵里,はいっ！わたしは、お金が欲しいですっ
響子,全然かみ合ってない！
卯月,じゃあ、何か賞金の出る大会に出ましょう！
響子,お金儲けの話し合いになっちゃった……
智絵里,漫才やコントの大会がお似合いですっ！
響子,アイドルなのに最初にそこに目を向けるのはどうかと……
卯月,でも、私たち、全然面白いことなんて言えません……
響子,いやいやいやいや
智絵里,そうですね……
響子,え？自覚ないんですか？
智絵里,わたしたちじゃ、準決勝敗退がいいとこですよね……
響子,自信満々じゃないですか！！！
美穂,クイズ大会とかどうかな？
卯月,クイズ王を目指す流れは、もう凛ちゃんと未央ちゃんとやってしまったのでパスです！
響子,いや知りませんけど！？
智絵里,第1問！
響子,強行突破だ！！！
智絵里,京都の三大祭りといえば、葵祭、ぎ
卯月,時代祭！
智絵里,正解！
響子,普通にすごい！！！
卯月,今のは、少し早めに押して“ぎ”まで言わせて、祇園祭か時代祭を判断する読ませ押しっていうテクニックです！
響子,どこでそういうの覚えるの！？
卯月,まあ、私たちはアイドルですから。ちゃんとお仕事で稼ぎましょう！
智絵里,そうですねっ！お金を使いたくなるアイドルになりましょう！
響子,智絵里ちゃん！！！
美穂,せめて“使ってあげたくなる”でしょっ！
響子,そういう問題ではないんですってば！！！
卯月,では、第92回、ピンキーキュートミーティングを終わりにします！
響子,増えてるじゃないですか！！！！！。あっ
卯月,タ？
智絵里,ニ？
美穂,タ？
響子,タニタは関係ないです！！！
