ボコミュージアム内での様子は,戦車道のよこみち
麻子,――！皆、ちょっと見てくれ！
沙織,なになに？何か有った？
優花里,これは……
華,コンビニくじ……ですか？
麻子,ああ。500円で1枚ひけるんだが、その賞品が――
みほ,――B賞がボコのぬいぐるみ！？
沙織,うわっ！？びっくりした……
みほ,ああっ、ごめんなさい……
愛里寿,しかもこれ、新デザインの限定品……
みほ,そうみたい……どうしよう、ここでお金使い過ぎちゃうとこの後どこにも行けなくなっちゃうし……それにそもそも、今月のお小遣いもあまり残ってないし……
愛里寿,……
沙織,……
優花里・華・麻子,……
沙織,……6人いるから、それぞれ150円強出し合えば、みぽりんと愛里寿ちゃんの2回分は引けるわね……
優花里,正確には、一人頭166円になります
みほ,沙織さん！？優花里さんも！？
華,ここは一つ、運試しでもしてみましょうか？
麻子,……だな
愛里寿,みんな……
みほ,本当にいいの……？
優花里,はいっ！
華,折角ですから……ね？
愛里寿,ありがとう……
沙織,でもさっき華も言ったけど、当たるかどうかは運次第なんだから、当たらなかったら素直に諦めること！無駄遣いはお母さんが許しませんよ！
みほ・愛里寿,はいっ！
麻子,誰がお母さんだ……
店員,ありがとうございました～
沙織,――――で、確かに運試しとは言ったけど……
みほ,～～♪
愛里寿,～～♪
沙織,まさか2回とも当たるとは……
華,驚きましたね……
優花里,いや～西住殿はくじ運にも恵まれてるんですね！
沙織,いやいや、みぽりんがくじ運良かったら、全国大会で強豪校とばかり当たらなかったから……
麻子,まぁ色違いだが、お揃いの物が当たって良かったんじゃないか？いい思い出になっただろうし……
みほ,はぁ～やっぱりボコはかわいい！
愛里寿,うん♪
優花里,喜んでいただけたようで何よりです！
沙織,まぁね……んじゃあ次はアウトレットの方にでも行ってみようか？色んなお店あるから暇しないだろうし……
華,そろそろお昼も近いですしね
沙織,到着～
優花里,丁度循環バスに乗ることが出来て助かりましたね～
麻子,ずっと歩き通しで疲れたからな……
華,愛里寿さんは疲れていませんか？
愛里寿,うん。でも、こんなにはしゃいだのは久しぶり……
みほ,そうなの？
愛里寿,普段はこんな風に遊びに出たりしないから……
優花里,そうなんですか……
沙織,大学生ってそんなに忙しいの？
愛里寿,……大学生だからというか、休日も試合や合宿予定が組まれていて中々自由な時間が取れないし、私自身出不精だから……今回の短期転校も相当無理を言ってスケジュール組んでもらったし……
沙織,そっか～
みほ,……そういえば、どうして愛里寿ちゃんは短期転校を希望したの？
愛里寿,――！それは……
華,確か、自分から希望して来たんですよね？他の隊長さん達は文科省の命令で仕方なく――と言う形でしたけれど
麻子,仕方なくという割にはノリノリな人ばかりだったが……しかしわざわざ希望してきたからには、何か理由があるのか？
沙織,――っ！まさかうちの戦車の偵察を！？
優花里,いやいや偵察も何も、ウチで使用できる車両が８両だけってことは既に全国に知れ渡ってますし……
沙織,そっかぁ……でもじゃあどうして？
愛里寿,…………みほの事を知りたかったから
みほ,私の事……？
愛里寿,うん……
沙織,同じボコ好きとして？
愛里寿,うん、それもあるけど……羨ましいなって思って
みほ,羨ましい……？
華,みほさんがですか？
愛里寿,うん。みほはこんな風に友達も沢山いて、仲間の皆にも信頼されていて――凄いなって思って……
みほ,そんなっ、私なんか全然凄くないよっ！……それに、愛里寿ちゃんにもチームメイトの皆さんがいるんじゃ……
愛里寿,……確かに皆優しくはしてくれるけど……最近、それは私が島田流の家元の娘だからなんじゃないかって思えてきて……
みほ,そんな……
麻子,――――それで、西住さんに一度会ってみたかったと？
愛里寿,同じ家元の娘でも、皆に信頼されて、気兼ねなく仲良く出来ているみほの事を知れば、私も――――そう思って……
みほ,愛里寿ちゃん……
沙織,そういうものかなぁ……家元の娘ならここにもう一人いるけど……華はそんな風に感じたこと有る？
華,私はあんまり意識したことないですねぇ……
沙織,だよねぇ……
華,……ですが、華道というものは通常の学園生活では関わりのないものですから、勝手は違うかと思います。――愛里寿さんの場合は戦車道の選抜チームの隊長ですから、戦車道の家元の娘という肩書は、本人に重く伸し掛かってしまうのかもしれません……チームメイトの方にそう見られてると感じてしまうのも、致し方無いのかと思いますが……
優花里,試合ではあのように凛々しい愛里寿殿が、そのような深い悩みを抱えておいででしたとは……
みほ,うん……
沙織,う～んでもさぁ……
華,その悩みでしたら……
麻子,いらぬ心配だったと思うぞ……？
愛里寿,……？
優花里,そろそろお声掛けしましょうか？
華,そうですね……
みほ,皆、何を……？
沙織,よ～し！お～い、そろそろ出てきてもいいですよ～！
みほ,……？沙織さん、そっちには誰も……
愛里寿,！？
ルミ,――ちょ、押さないでよっ！
メグミ,ここまで来たら覚悟決めるしか無いでしょ！
アズミ,そうそう。怒られる時は三人一緒……ね？
ルミ,だけど……
みほ,選抜チームの……中隊長さん達っ！？
愛里寿,３人とも、どうしてここに……？
メグミ,いや～そのぉ……
アズミ,た、隊長が一人で大洗に行くっていうから心配で……練習すっぽかして来ちゃいました
ルミ,ずっとこっそり後ろで見守ってるつもりだったですが、途中でその子達に見つかっちゃって……
愛里寿,そうなの……？
沙織,二人がボコミュージアムに入った時、後ろからコソコソ～って誰かが近づいてくるのに気づいてね……
華,何やら嗅ぎ慣れない戦車の匂いもしましたので……
ルミ,えっ、そんなに体に染み付いてるかなっ！？
沙織,いや、華の嗅覚が異常なだけなんで安心して下さい……
華,酷い言われようです……
みほ,――！さっき言ってた確かめたい事ってその事だったんだ
沙織,そうそう！それで、楽しんでる二人に水をさすのもアレかな～って思って……
麻子,私達だけで確認しよう……と思った次第だ
愛里寿,そうだったんだ……
優花里,――で、お話を聞いててみると隊長が心配だから見守っていただけ、邪魔にはなりたくないので、出来ればこのまま知らんぷりをしていてほしいと頼まれましたので……
華,皆で黙っていたんです……
ルミ,勝手な事をして申し訳ありませんっ！でも――
メグミ,ボコミュージアムのリニューアルオープンの日に一度来ているとはいえ、知らない土地に隊長一人向かわせるのは心配で心配で……
アズミ,皆を代表して我々が来たんです……まぁいざ見てみれば、同好の士と仲睦まじくしていて安心できましたけど……
みほ,あはは……どうも……
愛里寿,…………
沙織,……とまあそんな感じなんだけど、どう？愛里寿ちゃん？
愛里寿,……？
沙織,――――戦車道に関係無い所でもこんなに心配してくれる人を見て、まだ家元の娘だから～って思う？
愛里寿,――ううんっ！そんなこと無い……３人とも！！
メグミ・アズミ・ルミ,はいっ！
愛里寿,…………ありがとう
メグミ,い、いえ私達は……
アズミ,隊長がお元気そうなら何よりです♪
ルミ,練習すっぽかしてここに来た罰は、謹んでお受けます！
愛里寿,そんなの必要ない……私も半分遊びに来ているようなものだし……
ルミ,そうですか！？良かった～
華,……一件落着、ですかね？
優花里,はいっ♪
麻子,……最初からいらぬ悩みだったようだしな
沙織,まったく……皆気にしいなのよね。もっと気楽に生きて笑顔でいないと、男の子も寄ってこなくなるよ！？
麻子,……まぁ人類皆沙織みたいだったら、世の中幸せなんだがなぁ……
沙織,やだも～、褒めても何も出ないわよ？
優花里,……多分、褒められてないと思います
ルミ,あ、それじゃあお邪魔になるのでそろそろ私達はこの辺で……
アズミ,そうねぇ、この子達ならば隊長の事、お願いできるしぃ……
みほ,あ、あのっ！
メグミ,はい？
みほ,……折角ですから、私達と一緒にこの町を見て回りませんか？
ルミ,えっ、いいの！？
メグミ,……でも、お邪魔になるんじゃあ？
みほ,いえっそんなこと無いです。……ね、愛里寿ちゃん？
愛里寿,うん。皆と一緒に見て回りたい……ダメ？
アズミ,そんな事無いです！
メグミ,じゃあ……お言葉に甘えて……
みほ,あ、ありがとうございます！
沙織,おお～みぽりんがナンパを成功させた……
みほ,な、ナンパじゃないよ～
沙織,まぁナンパは冗談として……引っ込み思案のみぽりんが珍しいなって思って
みほ,そうかなぁ……？
華,……愛里寿さんのため、ですか？
みほ,それもあるかな？……せっかく心配事も無くなったんだし、気兼ねなく仲を深めてもらいたいって……
優花里,もって事は……？
みほ,うん……私自身も愛里寿ちゃんだけじゃなくって、中隊長さん達と仲良くなりたいなって思って……
沙織,おお～みぽりんらしからぬ積極的な発言
みほ,あはは……せっかくのご縁だしね、これっきりにしたくないなって思って……この間の試合も、これまで出会った人達との繋がりに助けられちゃったし、大事にしていかないと……
麻子,一期一会……いや、西住さんの場合は友情は瞬間が咲かせる花であり、時間が実らせる果実であるだったか……？
華,座右の銘……でしたっけ？
みほ,うん……この言葉の解釈も色々あるんだけど、出会いの段階からどんな果実を実らせられるか――仲を深めていけるかは自分の努力次第って考え方もできるから……
麻子,だからこういうチャンスを無駄にしたくないと……？
みほ,うん……なんて、ちょっと自分勝手が過ぎるかな？
華,いいえ、素敵な事だと思いますよ？
沙織,そうだよね～町で格好良い人とすれ違うだけなら誰でもできるけど、彼氏を作れるかどうかは自分の頑張り次第だもんね！
麻子,そういう話じゃないだろう……
沙織,よーし、じゃあみぽりんに習って、お姉さま方との仲を深めていきますか！
あんこうチーム,おーっ！
アズミ,……でもこういう展望台みたいに何も無い所だと、会話が続かなくなっちゃいそうで誘う自信ないなぁ……
メグミ,う～ん分かるかも……
沙織,そこがポイントなんですよ！こういう場所では何もない状況でも気まずくならないかを見極められるんです！！
ルミ,……どういうこと？
沙織,つまりですねぇ……仮にその人と将来結婚する――って所まで見据えるとなると、当然結婚生活のことも考えなくちゃならないですよね？
アズミ,ふむふむ……そうよね
沙織,しかしですね、結婚生活においては圧倒的に何もない日常が大半を占めるんです！
メグミ,確かに……
沙織,レジャー施設やショッピングで盛り上がるのは――言ってしまえば当たり前。でもいざ結婚したとなると毎日そんな所に行ってられない……
メグミ,成る程……そういう先を見据えてのチョイスってわけね？
アズミ,だから、あえてこういう場所に来ることで見極める――と
沙織,はいっ！その通りですっ！その見極めこそが、恋愛を長く続けられるか否かのポイントになるんです！
ルミ,う～ん、深いわね……
みほ,……
愛里寿,……
華,……
優花里,……
麻子,…………で、あそこの盛り上がり具合はなんなんだ？
華,さあ……？
みほ,沙織さん、イキイキしてるなぁ……
愛里寿,うん……うちの３人も……
優花里,何だか、武部沙織のデート道講座と化してますねぇ……
麻子,まぁ、良いおもてなしにはなってるんじゃないか？沙織の知識が実践で役に立つかどうかはわからんが……
みほ,あはは……
沙織,――そういえば愛里寿ちゃんの肌って白くてキレイですよね～羨ましい
アズミ,やっぱり思うわよね！？隊長に美肌の秘訣を聞いても別に何も……としか答えてくれないし！
メグミ,隊長のお母様もキレイな方だったから……遺伝？
ルミ,遺伝といえば西住流の家元さんも――
麻子,なんかこっちにも話題が飛び火してきそうだな……
華,あらあら……
優花里,まぁとりあえずこれからご飯を食べるとして……その後はどうしましょうか？
みほ,そうだね……水族館――はこの間のエキシビジョンマッチで一部改修工事中だし……
華,最後の一撃、外してしまって面目ないです……
みほ,ううん、私が相手の作戦を読みきれなかったのがいけなかったんだし……
愛里寿,エキシビジョンなんてやってたんだ……
優花里,ええ！大洗・知波単連合対プラウダ・聖グロ連合で！残念ながら我々は負けてしまいましたが……
愛里寿,私……またみほと戦ってみたい！
みほ,私と……？構わないけれど、愛里寿ちゃんが乗る車両どうしよう……
アズミ,ああ、それなら一応持ってきましたよ？センチュリオン
優花里,本当ですか！？
メグミ,ええ。もしかしたら乗ることになるかもしれないと思って一応……
沙織,一応って……戦車って雨具感覚で持ってくるもんなんだ……
華,でしたら、私達のⅣ号戦車とタイマンしてみませんか？
ルミ,おっ、いいねぇ～どうでしょう？隊長！
メグミ,砲手や操縦手は我々が務めますので……
愛里寿,うん！……今度は負けないから！
みほ,じゃあ私達がいつも使っている演習場にでも……
優花里,既に生徒会に連絡をしておきました！使用許可もおりています！
沙織,さっすがゆかりん、仕事が速い！！そんじゃあご飯食べて……模擬戦やって……
麻子,終わったらまた温泉に入りたいな……
アズミ,へぇ～温泉まであるんだ？
優花里,陸地にあるのは化石海水を使った、湯冷めしにくいお湯だそうですよ？学園艦の艦橋にも露天風呂がありますし……
麻子,どちらもいいお湯だった……
メグミ,そういえば、港町だからやっぱり海産物が美味しいの？
華,はい……一番有名なのはアンコウでしょうか？艦内でしたら養殖していますから、いつでも美味しく食べられますよ？
沙織,……コラーゲン、豊富ですよ？
中隊長ズ,――！
愛里寿,皆したい事、やりたい事がいっぱい……時間、大丈夫かな？
みほ,……短期転校期間、まだまだあるからゆっくり回っていこ？学園艦の中も案内したい所いっぱい有るし
愛里寿,――うん！
メグミ,じゃあここで……
ルミ,隊長ともども、お世話になりました！
アズミ,また機会が有ったら……ね？
愛里寿,数日間、本当に楽しかった……
みほ,うん。私も♪ボコミュージアムに行ったり、足の踏み場が無くなるくらい、部屋いっぱいにボコのぬいぐるみを並べてみたり……ホントに楽しかった！
愛里寿,……♪
沙織,ボコの思い出ばっかりじゃん！！――ていうか、普段部屋に飾ってる他にも有ったんだ……
みほ,うん♪飾りきれないのがクローゼットの中にね――
優花里,それわかります！私も戦車グッズが飾りきれなくて押し入れにしまいこんでいます！
メグミ,……こんなに楽しそうな隊長、初めて見た……自腹切って最終日まで泊まった甲斐があったかしら？
ルミ,本当に……まぁウチにはボコの魅力が分かるメンバーいないから、嬉しくてしょうがないのかもしれないけど……
沙織,ああ、ウチもです……
華,しかし、模擬戦ではずっと負け通しでしたね……
麻子,センチュリオンを混ぜての紅白戦でも、毎回センチュリオンのいる側が勝っていたからな……中隊長達は普段と役割も車両も違うのによくやる……
優花里,でも、いい勉強になりました！
愛里寿,みほ……本当に有難う。このボコも大切にする……
みほ,ううん、こちらこそ……愛里寿ちゃんが喜んでくれたみたいで良かった～
愛里寿,この数日間……お姉ちゃんが出来たみたいで楽しかった
みほ,お姉ちゃん……？
愛里寿,うん……私一人っ子だから、とても新鮮だった……
みほ,……そっか
愛里寿,……また、遊びに来てもいい？
みほ,――勿論！いつでも歓迎するよ
愛里寿,うん♪じゃあ、またね！
優花里,はいっ！お気をつけ下さい！
華,どうかお元気で……
沙織,お姉さま方、また女子トークしましょうね～！
麻子,お前はそればっかだな……
みほ,お姉ちゃんか――
優花里,……行ってしまいましたね
華,ええ……
麻子,これで本当に短期転校期間も終わりだな……
みほ,……
沙織,――どしたのみぽりん？
みほ,あ――うん……ちょっとね……
４人,……？
まほ,着信？――みほから？。もしもし？。みほか……どうした？電話してくるなんて珍しい……。何だ？言ってみろ。――――成る程。選抜チームの隊長がそんな事を……それで？姉と慕われたはいいが、どうしたものかと不安になったか。……わかるさ、みほの事だからな
みほ…………私にとっての,お姉ちゃん
まほ,……。うん……まぁ、まず始めに言っておきたいのは――。選抜チームの隊長――島田愛里寿だったか？あいつも別にみほにそんなプレッシャーをかけるつもりで言ったわけじゃないと思うぞ？ただ純粋にみほに親しみを感じただけ……なんじゃないか？。だろう？……まぁ妹にその気はなくても、姉としては勝手にプレッシャーに感じてしまうものなんだがな。妹が見ているからしっかりしないと不甲斐ない姿は見せられない――と。……一般論だ。……何だ？
みほインタビューで勝利の秘訣を聞かれた時,諦めないこと、そして、どんな状況でも逃げ出さないこと
まほ,ああ……春先のテレビの取材だったか……？。……
みほお姉ちゃんの言葉と、支えてくれる仲間がいたからここまで来れた……だから私、頑張ろうと思う。――胸を張って立派な,お姉ちゃん
まほ,ああ……応援するよ。今か？散歩から戻るところだが……もうすぐ家に着く……。――みほ？……切れてしまったか。どうしたんだ、いきなり……丁度良かったとは――。まぁいいか。ホラ、もう着くぞ…………ん？玄関に人影が――
みほ,――お姉ちゃん！
まほ,――！みほ！？……どうしてここに！？
沙織,あはは……どうも～
華,お邪魔いたします
麻子,く～
優花里,ああっ、冷泉殿！寝ちゃダメですよっ！
麻子,む～朝から移動づくしで疲れた……
沙織,殆ど寝てたくせに……
まほ,君達は……Ⅳ号戦車の？じゃあさっきの電話は？
みほ,うん。家の前からかけてたの……
優花里,こそこそ作戦リターンズ、成功ですね！
沙織,あ～発案は私なんで、お叱りはお受けいたします……
まほ,いや、怒ってはいるわけではないが……しかし驚いたぞ？
みほ,ごめんね、突然来ちゃって……私の友達――お母さんに紹介しようと思って
まほ,お母様に？
みほ,う、うん……。……今回も学校の友人として案内した方がいいか？
沙織,学校の友人……？
みほ,あはは……この間ちょっとね……でも大丈夫。今日は学校の友人としてじゃなくて西住家の娘として来たんだから……
まほ,……この間帰ってきた時とは顔つきが違うな。あの時はまるで借りてきた猫のようだった
みほ,あはは……そうだったかな？
まほ,……これも立派なお姉ちゃんになる第一歩……といった所か？
みほ,うん……この間はお姉ちゃんに甘えちゃったし、それに対抗試合を取り付ける時、お母さんが尽力してくれたって会長が言ってたから、きちんとお礼をしたいと思って……
まほ,そうか……
みほ,あ、これお土産……
まほ,ああ……また干しいもか？
みほ,うん、会長さんのオススメだったんだけど……
沙織,あ～やっぱり中身干しいもだったんだ……
みほ,えっダメだったかな……？
優花里,西住殿、確かに茨城県はさつまいもの生産量第二位ですが、熊本県も名産地でして……更に一位はお隣の鹿児島県です
みほ,ええっ！？そうだったのっ！？
優花里,はい……干しいもとなると茨城県が生産量一位なのですが……
みほ,あわわ……じ、じゃあハマグリとかの方が――
優花里,……ハマグリに至っては、熊本県が生産量第一位です……
みほ,ふえぇっ！じゃあアンコウなら！？
華,アンコウ一匹丸ごととなると、運ぶのが大変そうですね……
沙織,いやいや、普通にお土産用に切り身がパックで売ってるからっ！
華,そうなんですか？
みほ,あ、でも菊代さんなら捌けるかも……？
麻子,アンコウが捌けるとは凄いな……
みほ,うん、うちの使用人さんで料理が上手な人で、私もよく……はっ！私が大洗に馴染めたのは、食文化が似ていたからなんじゃ……？
沙織,んなわけ無いでしょう！
まほ,というかアンコウ干しいもハマグリだと、試合前にお前の所の会長が言ってた作戦名になっているだろう……
みほ,そ、そっか……
まほ,……まぁみほが良いと思って持ってきたお土産だ。お母様も怒りはしないさ
みほ,お姉ちゃん……
沙織,しかし凄い家だね～
麻子,前に行った五十鈴さんの家に勝るとも劣らぬ広さ……
優花里,西住家は更に戦車演習場も有してますからね～敷地面積は相当だと思いますよ？
沙織,そういえば使用人さんの話が出たけど……華の家といい、家元って必ず使用人やら奉公人がいるものなの！？
華,そんな決まりは無いと思いますが……
まほ,……とりあえず中に入るか？
みほ,そうだね、近所迷惑になっちゃうし……
まほ,そうだ、改めて言っておかないとな……
みほ,……？
まほ,――――お帰り、みほ
みほ,――うん、ただいま！
