担任,今日の授業は以上です。寄り道せず帰りましょう。ではまた明日、さようなら
？？？,なに、気にするな。………ところでどうしてあんな危ない場所にいたんだ
リゼ,えぇと、森に入ったら道に迷ってしまって…
？？？,この場所に来たことは？
リゼ,いえ、ありません。おじさんの家ってこの辺りにあるの？
？？？,いや、海のど真ん中だ
リゼ,ど真ん中？どういう…
？？？,！？いかん、やつらが来た。先に俺の家に行ってろ
リゼ,ちょ、何ですかこれ！だいたい行けって行ったってどっちに行けば…
？？？,上だ
リゼ,は？
？？？,じゃあな
リゼ,ひゃああああああああああ！！！！。これが…家？
？？？,驚いたか？
リゼ,はい、とっても…
？？？,ははは、そりゃそうだろうな！なんたってボスと俺で築き上げた家だからな。そういえばお互い名前を聞いてなかったな。俺はカズヒラ・ミラー、よろしくな
リゼ,私は天々座リゼと申します。今晩よろしくお願いします。それにしてもおじさんの家って大きな軍事施設だったんですね
カズ,おじさん？ぷふっ、ああボスのことか
？？？,カズ、今戻ったぞ
カズ,噂をすれば…だな。おじさんのご帰還だ
？？？,おじさんはお前もだろう、カズ
リゼ,あ！おじさん！
？？？,空の旅はどうだった？最高だっただろう
リゼ,もう！空に上がるなら最初からそう言ってよおじさん！ビックリしたんだから！
？？？,はは、悪かったな
カズ,紹介しよう、彼はスネーク。ここの連中はボスとも呼んでるな
リゼ,スネーク…蛇？変な名前
スネーク,ん？そろそろ訓練の時間だな。今日はここでゆっくりしていくがいい。カズ後は任せた。俺は兵士達の相手をしてくる
カズ,はいよボス。今日はこの部屋でゆっくりしてってくれ。せまいかもしれないがそこは我慢してくれ
リゼ,いえ、ありがとうございます。ところであの…聞きたいことが。違います！っていうか覗こうとしてたんですか！？
カズ,ジョークだ。ジョーク
リゼ,私が聞きたいのはさっきスネークさんが言った訓練のことです
カズ,ん？もしかして興味あるのか？
リゼ,いえ、ただどんなことしてるのかなーって気になっただけで…
カズ,なら見学しに行ってみるか？
リゼ,え？
カズ,ここが俺たちの訓練場所だ
リゼ,へえ
カズ,すまないが俺はちょっとやることがあるから後は自由に見学していってくれ
リゼ,はい
カズ,ただし、訓練に巻き込まれてけがしないようにな、じゃあな
スネーク,ふん！
兵士A,ぐはぁ
スネーク,腰の動きがまだまだ甘い！
兵士A,はい！ありがとうございました！
兵士B,ボス！次お願いします！
兵士C,おい！俺が先だぞ！
スネーク,順番に相手してやるから落ちつけ
リゼ,皆から好かれてるなぁスネークさん
スネーク,今日の訓練はこれまでだ、後は各自で鍛えておけ。なんだいたのか
リゼ,うん、カズヒラさんが皆訓練してるって聞いてどんなことしてるのかなーって
スネーク,そうか
リゼ,…スネークさんって皆から慕われてるのね
スネーク,そんなことない
リゼ,そんなことある！それにとっても強い
スネーク,俺より強い奴なんてたくさんいる
リゼ,私も…スネークさんみたいな強い人になりたい
スネーク,なれるさ、本人のやる気と根性あれば
リゼ,でも女は男より弱いから勝てない。それは……たまたま才能があっただけでしょ？。……。……私ね、家出してきたの
スネーク,ん？。リゼは何のために強くなりたいんだ
リゼ,え？
スネーク,誰かを倒すためか？それとも自分のためか？
リゼ,うーん、あんまり考えたことない
スネーク,強くなってどうしたいのか、まずはそれを考えてみろ
リゼ,よくわかんない、でも……誰かを守れるような強さを持ちたいっていうのはあるかも
スネーク,誰かを守るため……ふっ、立派な理由じゃないか
リゼ,そう？
スネーク,ああ、それを自分で見つけて自分で気づいた
リゼ,それはスネークさんが教えてくれたから…！。…うん、わかった。スネークさんありがとう
スネーク,さ、今日はもう遅いから自分の部屋で休むんだ
リゼ,はい！………ボス！
スネーク,スネークでいい
カズ,そりゃあそうだがここは学校じゃないんだぞ！
スネーク,落ちつけカズ、それに彼女は自分の意志でここで居たいと言ってるんだ
カズ,しかし…。……わかった。ただ、どうなっても俺は知らんからな
リゼ,うりゃあ！！この！！
スネーク,全然だめだ！これじゃあチコにも勝てんぞ！
リゼ,はい！ボス！
兵士A,あの女の子すごいな、ここに来てちょっとしか経ってないのにどんどん技術を上げてきやがる
兵士B,もともとここに来たときからある程度の技術があったからな
兵士C,聞いた話だとまだ９歳らしい
兵士B,こりゃ俺たちも頑張らんとな…うかうかしてると先越されるかもな
兵士A,！！おい！さっさと続き始めるぞ！女子供に負ける兵士なんてMSFの恥だ！
兵士D,隙あり！！
チコ,うわぁぁ！！
アマンダ,…！へぇ～、あんたなかなかやるじゃない
リゼ,はい！ありがとうございます！
セシール,ﾋﾟｨｰﾋﾟﾖﾋﾟﾖ!!どう？鳥の真似？似てるでしょ？さあ、リゼも私の真似してみて！
リゼ,あはは…
セシール,あー！あそこにいる鳥はまさか！？
リゼ,あっ、待って下さい！
パス,貴方も学生なのね、私はパス・オルテガ・アンドラーデ。パスって呼んで
リゼ,私は天々座リゼ。リゼって呼んでくれ！
パス,うん、リゼ！よろしくね
チコ,よ、よう！こんなところで会うなんて奇遇だな
リゼ,お前は確か…誰だっけ？
チコ,チコだ！いい加減名前覚えろよ！
リゼ,はは、悪い悪い！人の名前を覚えるのあんま得意じゃなくてな
チコ,な、なあ？今暇か？
リゼ,え？まあ、暇だけど
チコ,今から図書室に行くんだけど……も、もしよかったらリゼもどうだ？//
リゼ,んー、別に構わないぞ？。何か調べものか？
チコ,うん、UMAのことについてちょっとね
リゼ,そういえばチコはUMAに夢中だったけな
チコ,後、銃のことについて調べようかと…
リゼ,何！？銃の本がここにあるのか！？
チコ,あ、ああ！。やっぱ男の兵士として技術だけじゃなく知識も身につけようと思って
リゼ,私の知らない銃もあるのか！？
チコ,多分あると思うよ
リゼ,本当か！くぅー、楽しみだ！！さ、早く行くぞチコ♪
カズ,なあ、リゼ。お前毎日レーションを食べているようだが無理しなくていいんだぞ？
リゼ,どうして？
カズ,どうしてって……栄養があるとはいえ味がひどいだろう？だから…
リゼ,何言ってるんだよこんなに美味しいのに！
カズ,え
リゼ,これってレーションって言うのか？
カズ,あ、ああ。そいつは携帯軍用食でレーションって呼んでる
リゼ,レーション…レーション！！なんか名前もカッコいいな！！
ヒューイ,君のお父さんはどんな人だい？
リゼ,普段は厳しいんですけど本当は優しくて茶目っ気があって眼帯をしてる変わった人です
ヒューイ,へぇ、まるでスネークみたいだね
リゼ,全然違いますよ、スネークと違ってあまり強くないし、好き嫌いは多いし、口うるさいし…。な！？//そんなことない！！。え？
ヒューイ,君が羨ましいよ…
リゼ,……
ストレンジ・ラブ,君は今好きな人がいるか？
リゼ,え？うーん、ここの連中は皆好きだぞ
ストレンジ・ラブ,…そういう意味ではないんだがな
リゼ,え？
ストレンジ・ラブ,では、憧れの人はいるか？。ほう…
リゼ,後……親父。……。………。はい…
ストレンジ・ラブ,それにしても……
リゼ,はい？
ストレンジ・ラブ,君は…セシールといい勝負、いやそれ以上になるかも…
リゼ,え？な、なんのことですか？。ひっ！
ストレンジ・ラブ,さあ。あ！…ちっ、逃げられてしまったか
スネーク,こんなところでどうした
リゼ,スネーク……ちょっと考え事してた
スネーク,そうか、あんまり思いつめるなよ？お前は少し考えすぎるところがあるからな
リゼ,はは、ありがとう
スネーク,………
リゼ,………
スネーク,………
リゼ,スネーク、私そろそろ帰らなきゃ
スネーク,そうか
リゼ,ここでずっと過ごすのも悪くないけどやっぱり私は…
スネーク,リゼの好きにするがいい
リゼ,え？。ああ、そうだったな。スネーク、本当にありがとう
スネーク,どうした急に。何度も言うが俺は何もしてない
リゼ,はいはい、どうもありがとな
スネーク,……むぅ、ところで帰るということは親に連絡とれたということか？
リゼ,あっ、まだとれてなかった
スネーク,………
リゼ,とスネークは言っていたが、どうすれば………考えても仕方ない、寝るか。な、なんだ！？。うっ！。ﾊｱﾊｱ……なんだこれ、直接…頭に………がぁ！。ZEKEって……な…んだ…よ。ん……こ、ここは。夢……？だったのか…？にしてはやけにリアルだったが。…………。…………。帰って親父に謝らなきゃ。ということが昔あってな
ココア,へー、不思議なこともあるもんだね。あはは。ねえリゼちゃん、もしこれから先何かあったら私たちの事守ってくれる？
リゼ,もちろんだ！
ココア,えへへ、やっぱりリゼちゃんは頼もしいなぁ。おっといけない、チノちゃんが呼んでる！行こリゼちゃん！
リゼ,ああ！
