大和亜季,――という相談をプロデューサー殿から受けたであります
鈴帆,プロデューサーが死んだら、誰がウチらをトップに導くと！？
そら,せめて頭と手だけは残して！
早苗,え？何？そこまでやらないわよ！
千鶴,とりあえず、落ち着いて話をしましょう
早苗,まずは千鶴ちゃんが落ち着こうか
Ｐ,あ、母ちゃん？俺だよ。俺。Ｐだよ。いやいや。詐欺じゃないから。ちょっと長い休みが取れたからさ。そっちに帰ろうと思うんだ。うん……お土産？ああ。ちゃんと買ってくるよ。ひよこ饅頭
亜季洋子そらアヤ千鶴鈴帆,
亜季,Ｐ殿
Ｐ,どうｓ―――――――ひぃっ！！
亜季,12時間ＢＢ弾の的にされるのと
洋子,7時間走った後に7時間走るぷちレッスンと
そら,そらちんぱわー手榴弾
アヤ,お人形さんごっこプロレス
千鶴,墨汁で固まった筆で両目を突き刺されるのと
鈴帆,一生、アイアンメイデンという名の着ぐるみの中に閉じ込められるの
Ｐ,フ、フルコースで錯乱
