姫川友紀,…行くよ、茜ちゃん
友紀,…あれ？と、智香ちゃん…？。ちょっ…
茜,大変です！智香ちゃんが！
友紀,上がってこない…！嘘でしょ！？
茜,もしやこの川…深いっ！？
友紀,いや、川じゃないから
茜,ならば、海でしょうか！？ぎゅらりゅるぅだけに！
友紀,さっきから何言ってんの茜ちゃん！？これ噴水だから！。そんなこと言ってる場合じゃないよコレ！
茜,ハッ！そうでした！智香ちゃん！
友紀,智香ちゃーーん！！
茜,今、助けに…！
友紀,…えっ？
茜,池の水が、光った……？！
友紀,だから池じゃなくて…って、そんなこと今は……！
茜,うわーー！
友紀,何か出てきたーーっ？！
茜,…へ？
友紀,……んん？
茜,…
友紀,…えーっと。泉ちゃん？
茜,大石泉ちゃん…ですよね？ニューウェーブの！
友紀,いやいや、どう見ても泉ちゃんでしょ。どこが…って。見た目がもうそっくり、というか…
茜,親切なまとめサイトさんなら、この辺に画像を貼ってくれてるハズですので！。面目ないっ！
友紀,でも、それくらいそっくりだよ？
茜,なんと！そっくりメンバーですかっ！。…そうですね！すみません！
友紀,…泉ちゃんじゃないなら、君は…？
茜,メガミ？
女神,そう。女神
友紀,…勝利の？
女神,勝利は司ってないけど
茜,私、ファンの方々からよく頂いています！
女神,それは手紙
友紀,…夏だ！
茜,マジ来い！
茜・友紀,ドンバッシャーン！！
女神,それは毛ガニ…じゃない、サマカニか。そうだな…木こりの泉って、聞いたことない？
茜,ありませんっ！
女神,…即答。随分直球だね
友紀,おっ野球知ってるの？どこの球団のファン？
女神,いや、今のは言葉の綾っていうか…
茜,金の斧のお話なら知っていますよ！！
女神,あぁうん、それで合ってるよ。…なんだ、知ってるんじゃない
友紀,好きな選手は？ポジションでも良いよ！？
女神,ぐ、グイグイ来るね、この人…すごいな…。えぇと…とにかく。私はその、泉の女神なの
友紀,泉って言ったよ、今
茜,やっぱり泉ちゃんなのでは…？
女神,…口が滑っただけだから。噴水、噴水の女神だよ
友紀,なんか語呂悪くない？
茜,噴水の女神だと、何かしら噴き出してるみたいですねっ！
友紀,女の子として、それはどうなのかなぁ
女神,…あぁもう！分かった、分かったよ！泉で良いから！
泉,さて、ようやく本題に…、。…あ、名前のところまで変わっちゃうんだ。…ま、いいや。ようやく、私の役目を果たせるね
友紀,役割？
泉,そう。私の、この噴水での役割
茜,先程、木こりの泉ちゃんと言っていたことですか？
泉,うん、そう。…いや、ちょっと待って？確かに泉で良いとは言ったけど、さっき言った木こりの泉と私の泉はまた別のカウントっていうか
友紀,…んん？
茜,なんと！では泉ちゃんは、木こりの泉ちゃんではなかったということでしょうかっ！？
泉,待って待って。合ってる、合ってるんだけど…誤解のないようにしてほしくって
友紀,話が進まないよぉ！！
泉,私のせいにしないでほしいなっ！。…えーっと、そう。つまりね、落し物を届けてあげるの
茜,落し物？
泉,そう。さっき、この噴水に落とした物があるでしょう？。それをあなた達に届けるのが、私の使命
友紀,落とした……ハッ！
泉,…やれやれ。やっと本筋に入れるよ。あなたが落としたのは、この…
友紀,落としたって、もしかして…
泉,金の若林智香さん？
金の智香,ふぇ？
友紀,あたしのボールのこと！！？
泉,…え？
友紀,ん？
金の智香,ちょ
茜,ほぁっ！？
銀の智香,…
泉,……えーっと
友紀,…あ、あは。あっはは！嘘うそ、冗談！
泉,…だよね、ビックリした
金の智香,…あの、泉ちゃん。銀色の私が
泉,あっヤバい、水に浸かりっぱなしだ
銀の智香,……
茜,…？？、？？？
泉,では改めて。あなたが落としたのは、金の若林智香さん？それとも、銀の若林智香さん？
金の智香,ど、どうも～？
銀の智香,…呼吸って素晴らしいですね☆
友紀,…
茜,…？？？？
友紀,増えてるぅ！！？
茜,智香ちゃんも２人いたんですかっ！？
友紀,…"も"って何？茜ちゃん
金の智香,あ、あはは…相変わらず、ちょっとだけズレてるっていうか…
泉,どっち？金or銀
銀の智香,アタシ、空気の美味しさに気付けましたっ！
泉,…それは良かったね
友紀,……タイム！
泉,タイムなし
友紀,ひどいっ！？
泉,だって、どっちか答えるだけでしょう？
友紀,そりゃそうかもしれないけど…頭の整理が…！
茜,…はいっ！
泉,はい茜さん早かった。どうぞ
友紀,ちょ、ちょっと茜ちゃん？
茜,…大丈夫です、友紀さん。どう答えるのが正解か…私、知っています！
友紀,…っ！本当？
茜,はい！答えは…
銀の智香,ねえ。水の中、どうだった？
金の智香,アタシ、すぐ出てきちゃったから…
銀の智香,小学校のプールの授業思い出したよ、アタシっ♪
茜,どちらでもありません！
泉,…
茜,私達が落とした…。というよりっ！落ちてしまった智香ちゃんは！。友紀さんのバットを抱えた、普通の智香ちゃんですっ！！
友紀,…
金の智香,普通って何だろうね？
銀の智香,うーん…？
泉,…うん、正解
友紀,おぉっ
泉,あなた達は、とっても正直なんだね
友紀,やったね茜ちゃん！
茜,…やりましたっ！
泉,ふふっ。正直な人、私は好きだよ
友紀,ということは…っ！
泉,そうだね、正直者には…。普通の若林智香さんと、金色の若林智香さんと、銀色の若林智香さん。全部あげちゃう
友紀,えっ
茜,あっ
智香,…ぷはっ
金の智香,あ、普通のアタシだ
銀の智香,光っていませんねっ
泉,じゃあね
友紀,や、ちょっ、ちょっと待って…
茜,智香ちゃんが、一気に３人に…！？
智香,……えっ？これは？
金の智香,どうも～…
銀の智香,増えちゃったね
友紀,えぇ…ナニコレ…。…状況を、整理しよっか
茜,はいっ
友紀,あたしの目が間違ってなければ…智香ちゃんが、
智香,ちょっと溺れてる間に、何が…
銀の智香,うーん…一言では説明できないかな
金の智香,だよね。どうしたものかなぁ…
友紀,…３人
茜,３人ですね！
友紀,智香ちゃんは…智香ちゃんだね
茜,バットはもう持っていません！普通の智香ちゃんですっ！
友紀,普通って何だっけ。金の智香ちゃんは…何というか
茜,縁取りが、ほんのり金色です！
友紀,SRの枠みたいだね
茜,対する銀の智香ちゃんは、これまた縁取りが銀色にキラキラしています！
友紀,Rの枠みたいだ
茜,こうして金とか銀とか言っていると、チョコボールを思い出しますねっ！
友紀,あ、懐かしい。あたし、いちごのヤツ好きだったなー！。……いや意味分かんないよっ！！
茜,友紀さん！？
友紀,泉ちゃんの泉だってそもそもよく分かってないのに！どういうこと！？
銀の智香,泉ちゃんがね、噴水の精霊で…
金の智香,いや、女神って言ってなかった？
銀の智香,あれ？そうだったっけ
智香,それでそれで？
友紀,向こうは向こうでなんか仲良くなってきてるし！
茜,お、落ち着いてください友紀さんっ！
友紀,落ち着いてなんかいられないよ！頭パンクしそうだもん！。金とか銀とか何なんだよぅ！なんでほんのり光ってるの！？キラキラ棒じゃないんだからさぁ！！
茜,友紀さん！それはサイリウムです！
友紀,ゴメン茜ちゃん！それは今どうでも良いんだ！
金の智香,かくかくしかじか
銀の智香,チアチアボンボン！
智香,…なるほどっ
金の智香,さっすがアタシ！
智香,えへへっ
銀の智香,ユニットパワーですねっ☆
友紀,チアボン関係ないじゃん！今あそこだけ智香ちゃん３人のユニットじゃんっ！！
金の智香,え、そんな…
智香,アタシがユニットに必要ないってことですか……？
友紀,あっ…いや、ちがっ
銀の智香,ちょっと、ひどいです…
茜,…友紀さんっ
友紀,…そういうつもりじゃなくって、あたしは……っ
茜,３人になっても、智香ちゃんは智香ちゃんなんですよ…っ？
友紀,…っ！…そう、だよね。ゴメンね、智香ちゃん…！
智香・金の智香・銀の智香,友紀さん…！！
友紀,シンクロしないで！！これじゃステレオどころかサラウンド智香ちゃんだよ！！！。…っていうかさ！智香ちゃんが増えてるってのに、なんでみんな自然に適応できてるのさっ！？
金の智香,…それ、友紀さんが言いますか？
友紀,へぁ！？ど、どういうこと？
銀の智香,前に友紀さんが増えた時も、アタシたち大変だったんですよ？
友紀,はぁ？前って……。…あっ！あたしが寝てる間に、みんなして増えてたとか何とか言ってた、アレ！？
茜,それです！
智香,まぁ、あの時も茜ちゃんが一番順応が早かったんだけどね…
友紀,嘘…。あれ、てっきり冗談か何かだと思ってたのに…
金の智香,嘘なんか付きませんよっ！
友紀,いや、だって…
銀の智香,だってじゃないですっ！あの時のこと、やっぱり信じてくれてなかったんですね？…
茜,智香ちゃんも、自分が増えてることに対して違和感ないんですねっ！
智香,…アタシは、まだちょっとだけ怖いけどね。あっちの２人は、そうでもないみたいで
茜,ほほう！考え方も、ちょっとずつ違うんですかっ
智香,うん。でも、実際目の前にしても、鏡を見てるみたいで割と平気っていうか。あ、こんな感じか～…って
友紀,なんでピカピカ光ってる智香ちゃんに挟まれてお説教食らってるんだろ、あたし…。……うん、分かったよ
茜,友紀さん？
友紀,とりあえず、ありのまま目の前の光景を受け入れる。今はあたしも、自分の目で見たものしか信じない！
銀の智香,…！
友紀,あたしだけ出遅れてるようじゃ、ダメだよね？最年長なんだし、ここはあたしがしっかりしなきゃ…！
智香,…じゃあ！
友紀,うん！。智香ちゃんを、元に戻して…、。…戻すって言い方で、合ってるのか分かんないけど。とにかく！今日は３人で、事務所に帰ろう！。あたしたち、３人揃ってチアフルボンバーズでしょ！？
茜,おぉーっ！
金の智香・銀の智香,友紀さん！！
友紀,あっごめん。同時に話しかけるのは、まだちょっと勘弁してくれないかな…
茜,…台無しですっ
智香,まぁ、らしいと言えば…
茜,…ややっ！また井戸が光って！
金の智香,井戸じゃなくて噴水だよ、茜ちゃん…
泉,どうも。また会ったね
友紀,あっ！泉ちゃん！
金の智香,どうしたんですか？
銀の智香,アタシたち、何も落としてないよ？
智香,忘れ物？
泉,…うん。同じ顔で喋ってるの、ちょっと不気味だね
友紀,誰のせいだと思ってんの！
泉,おまけにほんのり光ってるときたものだ
友紀,だからー！
泉,…もう、うるさいな。そんなに騒がしいと、返してあげないよ？
智香,返す？
茜,やっぱり、忘れ物だったんですかっ？
泉,うん。さっきボールが何とかって言ってたの、思い出してさ。探してみたんだ
友紀,…えっ？もしかして…
泉,あの辺に１つ転がってたから。これかなって
友紀,あー！それ、あたしのボールだよ！やったー！！
金の智香,良かったですね、友紀さんっ！
泉,…という訳で。あなたが落としたのは、どっち？
友紀,…えっ
泉,キャッツで大活躍、サカモト選手のサインボールと、
友紀,ふあっ！？
泉,この"カトーリョーゾー"って書かれたよく分からないサインボール
智香,…いやいや！それサインボールじゃありませんからっ！
茜,なぜそんなボールが水溜まりに…っ？
智香,…茜ちゃん、水溜まり呼ばわりは流石に…
友紀,はい！はいっ！
泉,友紀さん、どうぞ？
友紀,サカモト！あたし、サカモトのサイン超欲しい！！
茜,あっ
智香,えっ
泉,…本当に？
友紀,うん！
智香,ダメだ…完全に、目が野球モードになってる
茜,一足遅かった…！
泉,…。…うそつき
友紀,えっ、あれっ
茜,友紀さん…
友紀,わー！タンマ、今のなし！ボール返して！泉ちゃーん！
智香,こればっかりは…
茜,…ドンマイ！
友紀,あたしのボールーッ！!。ボール……
茜,何と声をかけたら良いか…
智香,…友紀さん。そんなところに体育座りしてたら、汚れちゃいますよ…？
友紀,…放っといてよぉ。どうせあたしは…欲にまみれた、汚い女だもん…
金の智香,…これは
銀の智香,重症ですね…
智香,…友紀さんは、汚い女なんかじゃありませんよ？
友紀,…
智香,さっきは、ちょっと素直すぎただけです。サインボール、欲しかったんですよね
友紀,……
智香,なら仕方ないですって！ボールなら、また別のを用意すれば良いじゃないですかっ☆
友紀,……ボール、
智香,えっ？
友紀,あのボール…プロデューサーから貰ったやつなんだ
智香,っ！そ、それは…
友紀,…こないだ、お仕事成功したご褒美にって。…あたしが我儘言って、帰りに１個だけ買ってもらったやつ…。使う度に、毎回磨いて…冷蔵庫にもしまって…
智香,冷蔵庫は関係ないんじゃ…
友紀,大事にしてた、つもりだったんだけどなぁ…
智香,うーん…。…どうしよう、茜ちゃん。友紀さん、けっこう参ってるみたいだよ…
茜,…っ！
智香,？茜ちゃ…
茜,智香ちゃん！！
智香,ひゃ、ひゃいっ！？
茜,あ、すみません！智香ちゃんというのは、あなたではなく！
智香,…へ？
茜,そちらのっ！金と銀の智香ちゃんの方です！
金の智香,…
銀の智香,…
智香,え？…えっ？アタシじゃないって…そっち？
茜,先程の、ボールの件を見ていて、思ったことがあります！
智香,はぁ…？
茜,智香ちゃん。金の斧のお話の、続きを知っていますか
智香,続き…？えっと…確か、もう１人の木こりが泉にやってきて…
茜,そう。欲に目が眩んだ別の木こりは…嘘をついた結果、自分の斧も取り上げられる！
友紀,うぐっ
智香,ちょっ、ちょっと茜ちゃん…
茜,分かっています！…すみません、友紀さんを叱咤するつもりではありません！。友紀さんだって、決して欲望に囚われたワケではありません！。私の知ってる友紀さんは、そんな心が汚れた人間じゃないからっ
友紀,…
茜,ちょっと…ほんのちょっとだけ、盲目になってしまっただけです！
友紀,茜ちゃん…
茜,…でもっ！結果として、嘘をついてしまった…ので！ボールも返って来なかった！童話の通りですっ！
智香,そう、だね…
茜,残念ながら…ボールは、もう戻って来ないでしょう！でも、やってしまったことをいつまでもクヨクヨしていられません！。私はっ！私にできることをやらなくては！！
智香,う、うん
茜,そこで、金の智香ちゃんと銀の智香ちゃんに用事があるのですっ！
金の智香,アタシたちに？
茜,はい！
銀の智香,…大体、分かっちゃった気がするな
茜,察しが良くて、助かります！
銀の智香,じゃあ、アタシから
智香,ちょっ、茜ちゃん？何を…
茜,さっき、友紀さんが言っていたことです
智香,え？
茜,"３人で帰ろう"って！
智香,！
茜,解決策が分かった以上…足踏みなんて、していられませんから！
智香,でもそれって…
金の智香,良いんだよ、アタシ
智香,…でも、
金の智香,アタシたち、もともとよく分からない噴水からやって来たんだよ？
智香,それは、そうだけど
茜,私の知ってる智香ちゃんも、友紀さんも、１人だけです！…なので！
銀の智香,うん。分かってる…じゃあね
智香,ぅ…あ……待っ…
泉,…やれやれ、またあなた達？
茜,何度もすみません！日野茜です！
泉,落としちゃった？
茜,はいっ。友紀さんのことを！！！
泉,っ！
茜,……友紀さんのことを悪く言うのは、私が許しません…っ
泉,…ふ、ふん、睨んだって、別に…
茜,…っ
泉,…まぁいいか。さて…あなたの落し物は、どっち？。[サマーバケーション]の若林智香さんと、
夏の智香,暑さに負けるなっ☆
泉,[スクールプール]の若林智香さん。あ、特訓後ね
スク水智香,…うぅ
智香,ちょっ
金の智香,うひゃ…
泉,さあ、どっちかな
金の智香,…ちょっと！
泉,どうしたの？
智香,水着統一はまだ分かるけどっ！なんでよりによって、ランドセルまで背負ったアタシなんですかっ！！？
泉,作者のお気に入りだよ
智香,恥ずかしいんだけど！？
金の智香,アタシも…
泉,大丈夫。似合ってるから
智香,嬉しくなーいっ！！
茜,……ッ！。…言え！言うんだ日野茜！。私が落としたのは…えぇと……。ええい、どっちでも良い！恥ずかしい方！ここは、ランドセルの方だ！
智香,…なんか、茜ちゃんまでヒドいこと考えてそうな気が
茜,へぁっ！？い、いえいえ、気のせいですよ！きっと！あは、あはは…
泉,…ふふっ。で、落としたのはどちら？
茜,ゎ…。ここで言うんだ！。…私が。これは綺麗な嘘！仕方のない嘘です！。たった２回！金と銀の智香ちゃんを泉ちゃんに返してあげて、済む話なんだっ。私が、落とした…のは、。嘘をつけば！銀の智香ちゃんは、湖に戻って…。…戻って、どうなる？
泉,…どうしたの？
智香,茜ちゃん？
茜,…っ。戻って、水に流して…流したら、智香ちゃんは…？。以前の友紀さんみたいに、いつの間にか消えて…そうしたら。もう、会えない…？。…ぁ、。…落……は、………す
泉,え？聞こえないよ
茜,…私が、落としたのは、。…どっちでもない…です
智香,…えっ
茜,落としたのは！銀色に光る、智香ちゃんですっ！
金の智香,…
智香,そんな…茜ちゃん…？
泉,…。…ふふ、優しいんだね。うん。正解だよ。正直者には、みんなプレゼント。よかったね。それじゃあ
銀の智香,ぷはっ
夏の智香,水浴びは楽しいですねっ
スク水智香,は、恥ずかしいぃ…
銀の智香,そんな…どうして
茜,…
銀の智香,どうして、言わなかったの？
智香,…
金の智香,一言、嘘をつけば全部終わりだったのにね
茜,…できませんでした。分かってて、嘘をつくのは…っ、私には、できませんでした…っ。…それにっ！金の智香ちゃんも！銀の智香ちゃんとも！私は、お別れなんてしたくありませんっ！
智香,…っ！
茜,３人になっても、智香ちゃんは智香ちゃんだと！最初に言ったのは私ですっ！。あんなことを言った手前、２人を目の前から消し去るようなマネ！私にはできませんでしたっ！！
智香,茜ちゃん…
茜,結局、いたずらに智香ちゃんを増やす結果になってしまって…。前と同じです…っ！やる気だけ空回って、皆さんにご迷惑を…ッ！。友紀さんが倒れた今、私がやるしかないって！。そう思って、歯を食い縛ったつもりだったのに…！
友紀,………っ
茜,できることをやるだなんて、大口叩いておいて…！私には、何もできなかった…ッ！。すみません…すみません……！
金の智香,…謝らなくっても良いよ
銀の智香,うん。ありがとう、茜ちゃん
茜,！２人とも…
銀の智香,…さっきは、ちょっと怖いって思ったけど
金の智香,茜ちゃんは、やっぱり茜ちゃんだねっ♪
茜,…っ！…っぐすっ、ずみまぜん…うぅ……！
智香,…ふふっ。泣いちゃう茜ちゃん、初めて見たかもっ。…さて。ちょっと落ち着いたところで
茜,…
金の智香,うーん…
銀の智香,改めて見回すと、
夏の智香,えげつないくらいアタシですねっ
智香,アタシが５人…いつの間にこんなに
スク水智香,あの…上着か何か、貸してもらえませんか？
智香,…ごめんね、今日はこれしか着てなくて
金の智香,…こういう言い方をするのは、何だけど
夏の智香,？なんでしょう
銀の智香,消し方…というか。消え方は、もう分かってるんだよね
茜,…ッ！、でも…！
金の智香,うん。できればあんまり…ってことも、分かってる
智香,だけど、他に方法なんて…
スク水智香,…後ろ向いてよっかな…でも、話も聞かなきゃ…
智香,あなたを見てるとこっちまで恥ずかしくなってくるなぁ
銀の智香,茜ちゃん
茜,はいっ！何か…
銀の智香,ありがとう
茜,…えっ
金の智香,それから、アタシにも。…えっと、一番最初の、アタシ
智香,はい？
金の智香,ありがとうっ！自分と会話するなんて、なかなかできない体験だったから☆
智香,…
金の智香,さっきの茜ちゃん見てたら、なんかすっきりしちゃって
銀の智香,それだけで、もう充分かなって。アタシは思いましたっ♪
茜,ですがっ…
金の智香,大丈夫。アタシは、若林智香だから
銀の智香,アタシも。…ちょっと、光ってるけどね
金の智香,目の前から居なくなっても…きっとアタシたちは、若林智香の中で生き続けるよ？
銀の智香,茜ちゃんのことも、アタシのことも、友紀さんのことも。アタシたち、忘れないから
智香,…そうだね
茜,智香ちゃん！？良いんですかっ？
智香,うん。アタシも、同じ考えだよ。ここにいる、アタシ以外の４人のアタシ。みんな、アタシなんじゃないかって思うんだ。だから、いつも胸-ココ-にある。いつでも会える。…そうでしょ？
金の智香,うんっ
銀の智香,はい！
夏の智香,…？よく分かんない流れだけど…はいっ
スク水,小学生らしく…小学生…？
智香,…約１名、全然締まらないけど…オッケー！
友紀,…そろそろ、あたしも混ぜてほしいな
智香,！友紀さん…っ
友紀,よっこいせっ、と
茜,もう…大丈夫、なんですか？
友紀,うん！チームの２人がセーシュンやってるの見てたら、ボール１つでしょげてるのがバカらしくなってきちゃって。あ、２人じゃないか。４人？５人？…うーん。…それに、。茜ちゃんがさっき、あたしの代わりにって立ち上がってたのが…なんかカッコよくってさ
茜,あ…いえ、代わりなんて、そんな、私では力不足で…！
友紀,まぁまぁ、細かいことは良いから♪。…とにかく、あたしだけ黙って見てらんないなって思ったんだよ！
智香,友紀さんっ！
友紀,…あと、これ以上見ていられなかったというか、。みんなの間ではシリアスなシーンが展開してるんだろうけど…。いっぱいいる智香ちゃんのせいで、離れて見てたらドタバタアニメみたいで…見るに耐えないというか。１人スク水だし、ランドセルだし。２人はほんのり光ってるし。…これは黙っておこう。うん
茜,…？
友紀,それにほら。ボールはまた、お仕事頑張って買ってもらえば良いし！あっはは！
智香,友紀さん……
茜,はいっ、そうですね！３人で、頑張りましょう！
友紀,やるぞー！
智香・茜,オーっ！
金の智香,ふふっ
銀の智香,やっぱり、アタシたちは３人じゃなきゃね
夏の智香,はいっ
スク水,あ、視線を感じない…良かった…
友紀,…じゃあ、もう一度おさらいするね？
智香,増えちゃったアタシたちと…友紀さん、茜ちゃん、そしてアタシ
友紀,みんなまとめて、噴水に飛び込む！
銀の智香,１人ずつ水に入っていては、その都度泉さんに質問されてしまいます
茜,…のでっ！全員で温泉に入って、陸地には誰も残らない状況を作ります！！
金の智香,茜ちゃん、噴水だよ？温泉じゃないからね
友紀,温泉かぁ～！湯船に浸かって、熱燗をクイッってやるのも、オツなんだよなぁ…
夏智香,…あの、友紀さん？
智香,こんなに大量の落し物があれば、流石の泉さんも少なからず動揺するはずっ！
金の智香,しかし、水面に上がってもそこには誰もいないっ
銀の智香,質問することもできないまま、泉さんには噴水の中に帰ってもらいます！
夏智香,そのまま一緒に、アタシたちも持ち帰ってもらおうっ☆
スク水,…ってことですよねっ
友紀,うおぉ…すごい、コンビネーション抜群だ…
茜,流石、チアリーディングをやっているだけありますね！
スク水,ただ…この作戦には、いくつか不安が残ります
智香,うん、そうだね
友紀,泉ちゃんが退散してくれるまでに、あたしたちの息が持つかどうかが１つ
銀の智香,そして…
茜,そもそも私たちが、無事に戻ってこれるかどうか…ですねっ！
智香,本当のことを言えば落し物が戻ってくるけど、嘘をつくと返してもらえない…
金の智香,では、泉さんの質問に答えなかった場合、どうなるのか？
スク水,返ってこなかったものは、一体どこへ行くんでしょうか？
銀の智香,それは、誰にも分かりません
夏智香,…もしかしたら、みんなまとめて噴水から帰って来られないかもしれない
金の智香,それでも、やるんですね？
茜,…私は、大丈夫です！。友紀さんと、智香ちゃん！２人がいれば、怖いものなんてありません…っ！
智香,…茜ちゃん
友紀,…智香ちゃんさ、
智香,え？
友紀,最初に水に落ちてる間、どんな感じだったか覚えてる？
智香,え…っと。なんだろう。あまり、はっきりとはしてないんですけど。溺れる…！って思ったけど、そんなに息苦しくなくて。そしたら…なにか、力がふわ～って抜けていくような…。不思議な感じだった、ような
友紀,…そっか。なら、きっと大丈夫だね！
智香,え？
友紀,もしあたしたちが帰って来れなくなっても、大丈夫！。苦しくないならラッキーだし、２人も一緒でしょ？
智香,友紀さん…
友紀,それにさ！噴水の中には…こんな感じで、智香ちゃんいっぱいいるかも！
智香,…う、うーん、それは…
友紀,あたしも茜ちゃんも、いっぱいいるかもしれない！そしたら、みんなで野球できるね♪
茜,友紀さん、友紀さん！ラグビーもできますかっ？
友紀,うんうん、できるできる！いっぱいチーム作って、みんなで遊べるよっ
茜,おぉーーっ！！
友紀,向こうでも、また一緒にアイドルやろ？
茜,もちろんです！
智香,…えへへ！
友紀,だから、ね？
智香,ふふ。おかしいなぁ…３人一緒なら、何でもできちゃうような気がする！
茜,では！
智香,ちょっと怖いけど…アタシ、やります！
金の智香,…良い仲間に恵まれたね、アタシ
銀の智香,そうだねっ！
友紀,よし。この作戦で、決まりだね
茜,はいっ！！
智香,うんっ！２人となら、大丈夫！
友紀,…それと、他の智香ちゃんたちと
金の智香,そうこなくっちゃ！
銀の智香,いつでも良いですよ☆
夏智香,水に入るのなら任せてください！
スク水,ランドセル、脱いでも良いかな
友紀,いや、置いて行かれても困るから…。…じゃあ、行こうか
茜,一番！日野茜、行きます！
友紀,あっ、ズルい茜ちゃん！１番はあたしなのにー！
茜,トラーーイ！！
金の智香,うわぁ、ド派手…
友紀,くぅ～、先を越された…。…あ、そうだ。智香ちゃんたち！
スク水,？
銀の智香,はい？
友紀,いつか、キャッチボールしようねっ！
夏智香,…っ
金の智香,…はい！
友紀,とりゃっ！
智香,じゃあ、アタシたちも
金の智香,…頑張ろ！
銀の智香,ファイトっ！
智香,…うん！！
泉,…ちょっと何なの、こんなにたくさんドサドサと！。もしかして不法投棄？ここはゴミ捨て場じゃないんだよ！？。もうっ！あなたの落し物は……っ！。…って、あれ？。誰もいない。もしもーし？……おーい。何だったんだろ…。せっかく落し物を届けてあげようかと…。…ん？これは…、。……ふーん。なんだ。落し物じゃなくって、水浴びだったのか。だったら、私の出番じゃないよね。ふふ。…大サービス。ここまで来たついでに、返してあげるよ。私、要らないし。…正直者のお友達に、感謝するんだね。さ、帰ろっと。今日は疲れたなぁ…あこー、さくらー……
茜,……ぷぁ。はぁ、はぁっ……。…公園……！ということは…！
友紀,っぷはぁ…っ。あー、…苦し…！ともかちゃん、うそつき……っ！。…はぁ…っ、はぁっ……あー、うそつきなのは、…あたしか……、なんちゃって……
茜,友紀さん！
友紀,…あ、茜ちゃん。元気？
茜,それはもう！……戻って、これたんですね！？
