和久井留美,和久井留美よ。趣味は仕事…と言いたいけど、昨日仕事を辞めたばかりだから、趣味すらない女よ
留美,何でもないわ
P,その後、妙に早い勢いで何かのメモを取る和久井さんがちょっと怖かったけど。無事に、ぬいぐるみ選びも終わった
留美,ふぅ…
P,すいません、思ったより時間かかっちゃいましたね
留美,それは私の台詞ね……ごめんなさい、選ぶのに時間かかっちゃって
P,いえいえ。こちらも暇でしたし
留美,色々見たけど…結局最初に見つけたやつに落ち着いたわね
P,ネコの新婚ペアですね
留美,ええ。それにしても……秘書をやっていた頃には考えもしなかったわ。こういうコト
P,仕事一筋な感じで？
留美,そうなのよ。猫を飼ってみたいとは思ったのだけれど、アレルギーで…
P,それは残念ですね…でも、ぬいぐるみなら体質は関係ありませんから。思う存分可愛がってやってください
留美,ありがとう。そうするわ
P,どうせなら名前も付けちゃうとか
留美,……それも悪くはないかもね。……実は、もう決まっているのだけれど
P,っと、仕事のメールだ……俺はそろそろ事務所に戻りますね。
留美,あら、そう……今日はどうもありがとうね。また今度埋め合わせをするわね？
P,いえいえ、俺も楽しかったですし。明日の仕事も頼みますよ
留美,それなら任せておいて。きちんとプロの仕事を果たすわ
P,はは、頼もしいなぁ……それじゃ、お疲れ様でしたー！。それから、というもの
留美,ねぇ、プロデューサー君……お弁当、作ってみたのだけれども
Ｐ,お、美味しそうですね……でも、なんか量が多くないですか？
留美,ええ、君の分もあるから
Ｐ,え？
留美,ちょっと作り過ぎちゃって。どうせだからと思って……それに、いつもコンビニで済ませてるでしょ？
Ｐ,はぁ…まぁ、確かに
留美,いつもお世話になってるお礼も兼ねて、ね？それとも嫌だったかしら
Ｐ,いえいえ！そんなことないですよ。ありがたくいただきます
留美,なら良かった。きっと口に合うと思うわ
Ｐ,バランスもよく、見事に好物ばかりが入っている。……というかこのニンジン、もしかしてハートマーク…？
留美,あ、プロデューサー君。デスクの周り、ちょっと散らかってたから軽く整理しておいたわよ
Ｐ,ありがとうございます。わざわざすみません
留美,気にしなくていいわよ。私がやりたかったから……でも、一つ聞きたいことがあるの
Ｐ,なんです？
留美,――この蘭子ちゃんとのツーショット、いつ撮ったのか、教えてくれない？
Ｐ,え、えーっと……それは…
留美,仕事の帰りについでに撮った……わけじゃないわね。プロデューサー君、私服だし。蘭子ちゃんのメイクも……いつも以上に気合いが入っているような。そして、この背景はどう見ても先日オープンしたテーマパーク……。ねぇ、アイドルとプロデューサーが、一体ここで何をしていたの？。まさかとは思うけど……。――ねぇ？
Ｐ,怒ってないのに、怒ってないのにめっちゃ怖い
留美,まぁ、君もわかっているとは思うけれど。プロデューサーとアイドルだし、ね？
Ｐ,……ええ、その、まぁ
留美,…まぁ？
Ｐ,……この前の仕事帰りに、どうしてもオフの日に連れて行ってほしいと頼まれて
留美,そう……ふぅん
Ｐ,……
留美,何も無いならいいんだけど……
Ｐ,それは誓って。決してやましいことは
留美,ならいいわ…………確かこの後は、午後から営業周りよね
Ｐ,はい……まだまだ時間に余裕があるので、ご飯を食べてからゆっくり移動しましょう。留美さんが、ちょっと重い。それから、和久井さんからのメールの回数が増えた。和久井さんとよく出勤のタイミングが被るようになった。和久井さんと休日によく会うようになった。和久井さんに誘われてよく一緒に食事に行くようになった。和久井さんと一緒に部屋の家具を選んだりもした。それから、それから……。……それから
留美,おはよう、プロデューサー君
Ｐ,……おはようございます
留美,寝癖、ハネてるわよ。早く顔洗って
Ｐ,…はい
留美,それと、仕事で夜遅くになったのはわかるけどＹシャツで寝るのは止めなさい。シワが酷くなるし寝付きも悪いから
Ｐ,……すんません。……俺が和久井さんの家に泊まったり、和久井さんが俺の家に泊まったり。半ば、同棲するようになっていた
留美,あの頃は、こんな生活をすることになるなんて思ってもみなかったけど…。こうしてみると、結構悪くないわね。アイドルとしての生活も、君と一緒にいることも。仕事一筋だった私を、ここまで変えたのは君。今更、言うことじゃないと思うけれど……。私の第二の人生……責任、取ってくれるわよね？。ねぇ、ちょっといつまであの子を見てるの？。今は私の仕事の番だから……ちゃんと、私だけを見なさい？。後でしっかりと、感想を聞かせて貰うから……
Ｐ,ふと気がつけば、我が家に彼女の着替えが置かれるようになっていた。玄関にハイヒールや女性物のサンダルが増えた。可愛らしいマグカップが食器棚に置かれるようになった。箸やスプーンの数が減った。あれ、和久井さん……それは
留美,ゼクシィだけど
Ｐ,あ、ああそうですか……ハハハ…
留美,ところで、どっちの場所がいいと思う？私としては、身内だけでやってもいいと思うんだけど…
Ｐ,いや、えっと…
留美,まぁ、まだ急がなくてもいいかしらね……来年の6月まで、待っても…
Ｐ,は、ははは……。よく見ると、枕元にあのペアのぬいぐるみが置かれていた。タグは…RUMIと…もう一つは………。和久井さん、今度の衣装ですけど……
留美,――留美
Ｐ,え？
留美,名字じゃなくて、名前で。そう呼んで欲しいのよ。もう長いんだし……ね？
Ｐ,そ、そうですね…留美、さん
留美,さん付けも駄目よ
Ｐ,
留美,それに、こんな衣装を私に着せたい、だなんて……。ふふっ……やっぱり、そういうことよね。ねえ――あなたって、呼んでもいいかしら？
Ｐ,。それから、さらに身の回りのものが増えていったが…。今までのように、ただ彼女の分が追加されているわけではなく…
留美,ねぇ、こんなのどうかしら。私にもあなたにも似合うと思うの。後、面白くてね。こうやって、二人並んで着てみると……ホラ、LOVEって文字が並ぶのよ
Ｐ,俗に言う、ペアルックだ
留美,あなたが変えてしまった、私の人生だけど。あなたと一緒なら……どこまでも、行けると思うの。ねぇ、プロデューサーさん。これからも、一緒に歩んでいきましょう？。アイドルとしても、それ以上の関係としても。どこまでも、どこまでも……。――それが、責任の取り方、でしょう？
Ｐ,留美の、愛が重い
