前作はこちらです。,これを読まなくても本作を楽しんでいただけると思います
花京院,では、僕はこれから営業に行ってきますので、菜々さんはゆっくり休んでいてください。
菜々,あ、はい、お仕事頑張ってくださいね！
花京院,分かりました、菜々さんはウサミン星からの使者という設定で売り出したいのですね.....
菜々,せ、設定じゃなくて、ナナはホントにウサミン星出身なんですよ～！
花京院,..........。ウサミン星とか言っていますが.....ウサミン星なんてありませんよ.....ファンタジーやメルヘンじゃないんですから.....と危うく言いそうになってしまった.....危ない危ない.....。大切なのは真実ではなく、菜々さんの気持ちなのだ.....。ええ、すみませんでした。菜々さんの言うことを疑ってしまい。
菜々,ウサミン星を信じてくれるんですね！ありがとうございます！
花京院,あなたのプロデューサーさんですからね。
菜々,これまで誰かにウサミン星のことを話しても、鼻で笑われるだけだったのに.....
花京院,や、やりましたよッ！菜々さん！CDデビューが決まりました！
菜々,ホントですか！？プロデューサーさん！
花京院,ええ、曲名はメルヘンデビューというものです。菜々さんらしい歌詞になっていますよ。
菜々,ナナもついにCDデビューなんですね.....ここまでくるのに、10年かかりま.....
花京院,ん？何か言いましたか？菜々さん？
菜々,はっ！な、なんでもありませんよ！ナナは17歳ですからねっ！
花京院,そうですか？何もなければ、これから打ち合わせをしたいのですが.....
菜々,ええ、はやく打ち合わせしましょう、プロデューサーさん！
花京院,分かりました。実は、菜々さんには、CDデビューにあたって、○△ショップで宣伝することになったんですがーー
菜々,フムフムーー
花京院,これが菜々さんにとってのはじめてのソロライブですね.....
菜々,ええ、初めてのソロライブですけど、ファンの皆さんにウサミンパワーを振りまいてきますね！
ファン達,ウーサミン！ウーサミン！
花京院,始まる前からあんなに歓声がありますね.....これも菜々さんの努力の賜物ですよ。
菜々,いいえ、プロデューサーさんのおかげですよ！
花京院,フフ.....あ、もう時間になりますね。それではいってらっしゃいませ。
菜々,はい！じゃあ、いってきますね！
花京院,頑張ってくださいね、菜々さん.....。本当にお疲れ様でした.....完璧でしたよ.....
菜々,プロデューサーさん、本当にありがとうございます！。ウサミン星なんて言っている痛いナナがここまでこれるなんて.....
花京院,いえいえ、先ほども言いましたが、菜々さんが努力したからです。
菜々,.....。プロデューサーさんはナナの本当の姿を知っても好きでいてくれますか？
花京院,.....本当の姿ですか？
菜々,はい、実は、ナナ.....。本当の年齢は27歳なんです.....
花京院,.....。知っていましたよ。
菜々,えっ！？もしかして、ナナ、独り言でバラしちゃっていましたか！？
花京院,それもありますがーー。僕は年上の人しか好きにならないんです。
菜々,えっ、それってーー
花京院,こんなことをいうのもなんですが恋をするとしたらーー守ってあげたいと思う.....元気なあたたかな笑顔が見たいと思うそんな女性がいいんです。それはあなたなんです、菜々さん。すみません、プロデューサー失格ですね。しかし、菜々さんがトップアイドルになるまではーー。この僕がプロデュースします。
菜々,え、えーと、いきなりでナナの頭は少し混乱しているんですけどーー。ナナも、プロデューサーさんーー、いいえ、花京院くんが大好きです！。でも、ナナの夢が叶うまでは、と思って我慢していたんです。だから、今は、これで我慢です！。えへへ、これからもよろしくお願いしますね、プロデューサーさん！
花京院,菜々さん、あなたのプロデューサーになることができて僕は本当に嬉しいですよ.....。これからも二人三脚で頑張っていきましょう！
菜々,はい！ナナがトップアイドルになるまで、ですね！
幸子,ほら、プロデューサーさん！あーん、ですよ！
ディアボロ,悪いな.....
幸子,どうです！美味しいでしょう！このカワイイボクがあーんしてあげたんですからね！
ディアボロ,ああ、うまかったぞ.....。しかし、うまかったのはお前があーんをしてくれたからではないな.....
幸子,な、なんですって！ボクのあーんが嬉しくなかったんですか！
ディアボロ,いや、違う.....。お前が天使のような笑顔だったからだ.....
幸子,プ、プロデューサーさん、いくらボクがカワイイからってからかうのはやめてくださいよ.....
