前スレ春香,仮面ライダーって寂しいね
美希,そんなの嘘だって思うな。だって、ミキはどれだけやっても人間だもん
響,は……？何言ってるさ、美希
美希,もう放っておいて欲しいな。お疲れ様なの
響,ちょ、美希！待って……
美希,離して！なの！
響,あ痛っ！
貴音,美希！
美希,な、急に掴んでくる響が悪いの
貴音,子供のような事を言わず、早く謝りなさい
美希,……ほっといてなの！
貴音,あっ……美希！
響,い、いいよ貴音。怪我したわけじゃないし
貴音,しかし……
響,自分より美希が心配さー。だって、あんな美希みたの初めてだぞ……
貴音,確かに、何か思いつめたような……どうしたのでしょうか
響,プロデューサーにでも相談してみるかなぁ……
貴音,真、心配ですね……
美希,ただいまーなのー
菜緒,おかえりー。どうしたの、今日は早かったね
美希,別に、なの
菜緒,ふーん……何か悩み事？
美希,そんな事ないの。ただちょっと色々面倒になっただけなの
菜緒,あっそ。まぁいいけどね、お姉ちゃんは。けどそんな顔してたらプロデューサーさんに嫌われちゃうんじゃないかなぁ
美希,は、ハニーは関係ないの！
菜緒,あら、本当みたいね。じゃあ別か……
美希,もうっ！ほっといてなの！
菜緒,はいはい。あ、私ちょっとお買い物行ってくるからお留守番お願いね
美希,わかったの、いってらっしゃいなの
菜緒,すぐ帰ってくるけどね。行ってきます
美希,……どうせ、レッスンしたって無駄なの。ミキはただの人間だから、あんなふうにキラキラはできないの。響……と、貴音には謝っておこうかな……一応……。明日ちゃんと謝るの、だからまずはメールしておくの。……ちょっと、お昼寝しよう。頭の中がもやもやなの。……あふぅ。んもう、うるさいの。もしもーし？。……え？お姉ちゃんが、えっ……なんで！？どうしてなの！？。わかったの！すぐ行くの！。うそだ、嘘なの……きっとからかってるの！。だから、確かめに行くの！そんなはずないの！
菜緒,……
美希,……。……もう、目を覚まさないなんて、嘘なの。お姉ちゃんは、きっと、また起きて、ミキに笑ってくれるの。罰なのかな、ミキがレッスンなんて無駄だって言ったから。ミキが怠け者だから、こんな……
春香,美希！
真,美希、大丈夫？
美希,……？どうして二人がいるの？
春香,えっと、その……
真,美希のお姉さんが、あそこに居たってわかったから……
美希,あそこ？どこ？
春香,あのね、美希。あの、本当に、謝ってすむ事じゃないと思うんだけど……ごめんなさい
美希,何を言ってるの、春香。全然わかんないの。わかるように言って欲しいの
真,……ボクら、また戦ったんだ。ショッカーの怪人と
春香,その、その怪人がね。あの……神経ガスを使ったテロをやろうとしてて
真,ボクらもそれを知って、急いで向かったんだけど……何人か、その
美希,待って
春香,本当に、ごめんなさい。私達が間に合っていれば……
真,最善は、尽くしたつもりだけど。それでも、言い訳は出来ない。ボクらが間に合わなかったから、美希のお姉さんは……
美希,待って、なの
真,ごめん。ボク達のせいだ
美希,待て、なの。それ以上言わないで欲しいの。二人、は、戦う力があって、なのに、間に、合わ……？何、言って、じゃあ、何のために
春香,……
真,……ごめん
美希,お姉ちゃんは、どうしてこんな、ミキと違って、マジメで、ちゃんと、なのに
春香,美希……
美希,黙ってて欲しいの。今、二人の声を聞きたくない気分なの
春香,ッ……
真,……これが、改造人間になって得た物だよ。仲間の家族も救えない。そんな程度だ
美希,黙れなの。美希の仲間は人間だけなの
春香,……あの、私、帰るね
真,そうしようか……ごめんね、美希
美希,……
春香,じゃあ、ね
美希,お姉ちゃん……
春香,……涙は、出ないんだけどなぁ
真,不便だね、この気分を流せないっていうのはさ
春香,間に合わなかったのは事実だし、私達のせいだけどさ。あは、キッツい……ねぇ
真,美希だって、本心でそう思ってるわけじゃないよ。今は、さ……
春香,わかってるけど、やっぱりね。真は平気なの？
真,ほら、見て
春香,……爪は切ろうよ。血、出てるよ
真,思い切り握ってないと、大声出そうだったから。耐えるのに必死
春香,どうして、私達なのかな……こんな、誰かを守る事すら出来ないような力……
真,本当に、不要な力だね。どうしてこんな体になろうなんて思ったのか、もうわかんないや
春香,……だけど、やめられないんだよね
真,もう、戻れないからね。これからもこんな思いをし続けるんだと思う
春香,だけど、やめちゃったら……戦えるのに、戦わなかったら
真,もっと後悔するよ
春香,もう二度と、こんな思いしたくない
真,だったら、出来る事をやろう
春香,……うん
美希,あの二人だけじゃ、ダメなの。やっぱり、ミキも……。次に怪人が出たら、そこに行こう。それで……改造してもらえばいいの。お姉ちゃん、きっとミキが……
千早,被害者の中に、美希のお姉さんがいたらしいわ
雪歩,嘘……美希ちゃん……
千早,また、私は何も出来なかった
雪歩,そんな事ないよ……
千早,戦えない私達にも出来る事はあるはず、そう思って色々考えたのだけれど、ね
雪歩,千早ちゃん……
千早,ごめんなさい、少し……一人になりたいの。帰るわね
雪歩,う、うん。気を付けてね
千早,ええ。雪歩も……
Ｐ,最近、事務所の空気が重い
律子,どうしたんですか急に
Ｐ,律子はなんとも思わないのか？
律子,……原因は何となくわかってますけどね
Ｐ,やっぱり……
律子・Ｐ,美希
Ｐ,だよなぁ……
律子,ですね……
Ｐ,まぁ、お姉さんの事があるから仕方ないとはいえ、な
律子,あの子だけじゃないんですよ。春香や真、それから千早に雪歩もなんだか気まずそうで
Ｐ,何かあったのかな、美希と……
律子,それを無理になんとかしようとして、やよいとあずささんが玉砕してますし
Ｐ,他のメンツは我関せずだな
律子,それが一番正しいんでしょうけどね。出来る事が無い以上、必要以上に干渉しても仕方ない
Ｐ,とはいえ、気にしてるのは確かみたいだな。全員どこか様子がおかしい
律子,仕事は今のところなんとかなってますけど……どこから綻ぶかわかりませんね
Ｐ,参ったなぁ……
貴音,その話……
響,自分たちに任せて欲しいさ！
律子,あら、二人ともいたの
貴音,今し方到着致しました。それで、美希の事ですが……
Ｐ,ああ。難しい問題だよなって話してたんだ
響,自分たち、美希と話して見るさー
Ｐ,お前達が？大丈夫なのか？
律子,ユニット組んでる三人ですから、他の子よりは良いかもしれませんよ
貴音,実を申せば、姉上の件より以前から美希の様子がおかしかったのです
Ｐ,あ、それは俺も思ってた。だけど元々ムラのある美希だからな……
響,あれはそんなもんじゃなかったぞ。だから、気になってたんだ
貴音,一度、私達に任せてもらえませんか
律子,悪化する可能性もあるわね。特に響は口さがないし
響,じっ、自分口さがあるぞー！
貴音,そうですよ。響は口さがないのではなく、つい隠している事を言ってしまうだけなのです
Ｐ,それもどうかと思うが。……わかった！好きにやってみろ！
響,本当！？
Ｐ,ああ。俺より美希の事を良くわかってるかもしれないしな。ダメだったら俺がなんとかするから、やるだけやってみてくれ
貴音,ありがとうございます。それで、美希は……
Ｐ,今日はレッスンだけだから、お前達と一緒にオフにしとくよ。処理は任せろ
響,それじゃ、自分美希呼び出すさ！
貴音,そうですね……なんとしても普段の快活な美希に戻ってもらわねば
律子,……いいユニットですね
Ｐ,だろ
美希,話って何？ふたりとも
貴音,いえ、大した事では無いのです。ねぇ響？
響,そうさー。最近三人で話することも無かったなって思ってさ！
美希,それでわざわざレッスン休んだの？
貴音,良いではありませんか。時にはこういった事も面白いのではないでしょうか
美希,……てっきり、ミキを励ますとか言うのかと思った
響,なっ、なんでわかったんだ！？あっ
貴音,響……
美希,やっぱりなの
響,あっ、えっと、その……
美希,わざわざ呼んでもらって悪いけど、“余計なお世話”なの。じゃあね
貴音,待ってください。いえ、待ちなさい、美希
美希,やなの。帰るの
響,待っ……待って欲しいぞ！
美希,……どうして二人はそんなに必死なの？ミキ的にはそれが不思議って思うな
響,どうしてって……だって、美希は同じユニットで、同じ事務所の仲間で……
貴音,心配なのです。仲間として、友人として
美希,ふぅん。でも美希はその仲間に裏切られたの。だから、仲間なんて信じない
響,仲間に……？やっぱり、春香や真と何かあったのか？
美希,別に、二人に言ってもわからない事なの。もう放っておいて欲しいの
貴音,無理です。美希がなんと言おうと、私は美希を仲間だと思っていますから
美希,だから……
響,あのっ、よくわかんないけど……春香も真も、自分達を裏切ったりなんかしないと思うぞ
貴音,響に同感です。結果として裏切る事になったとしたら、何か理由があったはず。そうではありませんか？
美希,うるさいの
貴音,美希も本当はわかっているのでは無いですか？
美希,……二人は、家族が酷い目にあった事が無いからそんな事が言えるの！他の事なんて考えてる余裕、ミキには無いの！
響,自分は、家族みんな元気だからわかんないぞ。だけど、美希だって家族と同じくらい大切だぞ！！
貴音,……私の仲間に、家族と仲間に序列を付ける人がいるとは思えません。美希にとって、仲間とは家族より軽んじるべき物ですか？
美希,そんな事……そんな事……
響,自分、美希のねぇねが大変だって聞いた時、悲しかった！自分の家族が辛いって時と、同じくらい悲しかったぞ！。自分にとっては美希だって大事な仲間で……家族みたいなものだって思ってたのに！美希は違うのか！？美希は……
美希,ほっといてなの！どうしてミキに構うの！？ミキはもう何も考えたくないの！
貴音,先程も申しましたが、心配だからです。美希が家族の事で頭がいっぱいになるように、私達も美希の事で頭が一杯だからです
響,美希がいつもみたいに明るくないと、なんかつまんないんだよ……いつもみたいに、自分を馬鹿にしてでも、それで笑ってて欲しいんだ
貴音,真っ直ぐ自分の道を行く美希が、私達は大好きなのですよ
美希,……帰るの
響,美希ぃ！
美希,今は、一人で考えたい事ばっかりなの。でも、二人の気持ちは……。！？
響,な、なんだぁ？
貴音,……アレを！
トリカブト(人間態),この場にいる人間は全て！ショッカーの戦闘員となる素材だ！逆らうと痛い目に遭うぞ！
響,なんだあれ！？なんかの撮影か！？
貴音,どうやらそうでは無いようです。響、美希、私達も逃げましょう！
響,そ、そうだな！美希、行こう……美希？
美希,二人は逃げて、なの
貴音,何を言うのです！美希も……
美希,美希はあの人に用があるの
響,何言ってるんさー！今は逃げなきゃ！
美希,いいから早く逃げて！！
響,美希ぃ……
貴音,……響、逃げましょう
響,貴音！でも美希を置いてなんか……
貴音,美希の目は、何か思慮のある目でした。信じましょう
美希,流石貴音なの。お見通しだね
響,でも、美希……
美希,いいから早く逃げるの。それで、安全なところまで逃げたら春香と真クンを呼んで欲しいな
貴音,わかりました。美希も、なるべく早く避難を
美希,わかってるの。響をお願い
響,貴音！自分も残るぞ！
貴音,なりません。行きますよ
響,美希！美希ぃ！後で、後で絶対、春香と真連れてくるからなぁ！
美希,あはっ、お願いなの！。……響、貴音。ごめんなの
春香,美希！
真,美希！大丈夫……か……
美希,げほっ、う……
春香,美希！どうして、どうしてこんな……
真,まさか、ショッカーの怪人に改造してくれって……
美希,ちが！……う、よ。ミキが、ちょっとでも気を引けば、春香と真クンが……来てくれるまで
春香,まさか、その時間を稼ぐ為に……？
美希,失敗して、逃げられちゃったけど、ぐっ、ごほっ！ね。でも、結構……たくさんの人、を、逃せたって……おも……
真,もう喋らなくていい！今、今病院に……
美希,ミキね、今日の朝まで……ほんのちょっと前まで、お姉ちゃんの、仇を取るんだって……そればっかり、考えててね
春香,美希！救急車……えっと……携帯……！
美希,でも、響と、貴音がね……ミキの事、家族みたいに思ってるって、言ってね……ミキ、わかったんだ。ミキだけがキラキラしたって、意味が……無いんだよね。765プロの、皆が……いて。お姉ちゃんが、いて。それで、ミキがいて。それで、みんなで……キラキラ、できたら。それが、一番……。だから、ミキは……誰かを、助けようって……思って……
真,春香、もう……
春香,まだ、まだわからないじゃない！
真,ボクらの“眼”ならわかるだろ！！
春香,だけど、諦められるワケ無いじゃない！！
真,どうすれば……。……そうだ、伊織！伊織に連絡して、一番いい環境を……
春香,そ、そっか！もしかしたら……
美希,ハニー……今まで……
千早,また！今度は仲間が……なのに、私は……
雪歩,だから、千早ちゃん。自分を責めちゃ……
千早,雪歩は悔しくないの！？今こうしてる間にも、美希は、もしかしたら……
雪歩,……それ以上ダメだよ
千早,っ……どうして、どうして私には……
Ｐ,まだ面会謝絶だってさ
響,そっか……大したことないといいんだけど……
貴音,きっと大丈夫です。今は信じて待ちましょう
Ｐ,そうだぞ。お前達までそんな顔してどうする
響,一番死にそうな顔してるの、プロデューサーだぞ
Ｐ,……まぁ、な
貴音,大丈夫ですよ、大丈夫。美希なら、きっと……
響,……うん、そうだよな！よし、帰ろう！
Ｐ,いいのか、もしかしたら……
響,美希は絶対大丈夫！だから、戻って来た時にちゃんと元通りキラキラできるように、自分たちがしっかりやっとかないとね！
貴音,響……ええ、その通りです。私達がきちんとしていなければ、戻ってきても居場所が無いなどという事態になりかねませんから
Ｐ,……よし！じゃあ帰るぞ！んで仕事だ仕事！頑張れ、お前ら！
響,おーい貴音ぇ。自分の鞄、どこか知らないか？
貴音,それでしたら確かここに……
Ｐ,ふたりとも、準備いいか？今日はそんなに大きいイベントじゃないけど、だからって……
響,もっちろん、手なんて抜かないさ！自分、完璧だからな！
貴音,美希無しでの舞台となってしまったことは残念でなりませんが……見事、こなして見せましょう
Ｐ,よし、その意気だ。俺は別の現場も回らないといけないから最後までは見ていけないけど、大丈夫だな？
響,安心していいぞ。だから早く他に行ったげてよ
貴音,あの、よろしければ美希の容態も……
Ｐ,ん、わかった。じゃあ、後は任せたぞ
響,わかったさー！
貴音,それでは……
響,……さって！美希の分も頑張るかー！
貴音,あれから一日……では、面会謝絶は解けませんでしたね
