ちひろ,……。みんな、一生懸命ですね……。プロデューサーさんの引き出し、溢れそうになってますよ。でも事務所の机にこんなもの入れてちゃ、めっ、です。きちんと、お家に届けておかないと。さて。そろそろ準備しましょうか……。ふんふふ～ん……
まゆ,ゆかりちゃん以外居ないと思ってたけど……
菜々,お、起こすといけないから……
まゆ,なるほど……優しいんですね、菜々さん
菜々,まゆちゃんはどうしてここに？
まゆ,菜々さんと同じですよぉ。ここでお茶でも飲んでちひろさんを待とうと思って
菜々,なるほどなるほどねー。うんうん
まゆ,……どうかしました？
菜々,ナンデモナイデスヨォ、マユチャン！
まゆ,そ、そう……。お茶、菜々さんもどうです？
菜々,いいの？じゃあ貰っちゃおうかなぁ……
まゆ,はぁい。お湯沸かしますね
菜々,……。い、今気付いたけど……。スカートの中で下着ずらしたままだ……
まゆ,～♪
菜々,直そうにもスカートが邪魔で……
まゆ,フンフフン……♪
菜々,ちょっと立てば……
まゆ,焦らなくてもすぐ出来ますよぉ
菜々,はいっ！！
まゆ,ふふ。菜々さんはせっかちさんですねぇ
菜々,ウサギだけに動きもラピッドなんですよ！
まゆ,楓さんの真似ですかぁ？うふふっ
菜々,まずい……下手に動くとばれます……。ずり下げた下着がスカートから見えるかも。もう少し長いスカート履いてくれば……。どうしよう……。……あれ。もしかして、このまま撮れば良いんじゃ。いやいや、ナナはそんな変態になった覚えはありませんよ！。それにシャッター音も……
まゆ,あら。洗い物が溜まってる。皆が使ったのかしら
菜々,……お？
まゆ,よいしょ……
菜々,コップを洗い始めた……。これなら水音に紛れて撮れるかも……。……ケータイ。……。ナナ、はしたない写真撮っちゃいます……。……
まゆ,～♪
菜々,ばれてない、よし……。……。……ん
まゆ,～♪
菜々,は、ぁ……
まゆ,あ、沸いたわね
菜々,……はぁ、はぁ……。と、撮った……何枚も……
まゆ,出来ましたよぉ。菜々さん……菜々さん？
菜々,は……はい、ありがとうございます……
まゆ,顔が赤いです……風邪ですかぁ？
菜々,い、いえ。お湯が沸いたからちょっと暑いみたいで………
まゆ,なら、窓開けますね
菜々,や、もう大丈夫ですよ、まゆちゃん
まゆ,……そう。そうですか。でも……。机の下でこんな写真撮ってる菜々さんは変態さんじゃないんですかぁ？
菜々,……え？
まゆ,うふふ……いけない子
菜々,な、なんでばれて……！
まゆ,まゆはなんでもお見通しですよぉ
菜々,そ、そんな……
まゆ,どうしてあげましょうか……ウサギさん♪
菜々,あ、あのこの事はどうか内密に……
まゆ,いいですよぉ。ただし、まゆの言うことを聞いてくれたら、ですけど……
菜々,き、聞きますぅ！ナナはメイドさんですからぁ！
まゆ,……いい子♪
菜々,あの……ゆかりちゃん運んできましたけど
まゆ,ええ、ありがとうございます
ゆかり,くぅ……くぅ……
菜々,ゆ、ゆかりちゃんに何するんですか？
まゆ,決まってますよぉ。菜々さんと同じ写真を撮ってあげるんです
菜々,そそ、それはダメですよー！起きちゃいます！
まゆ,制服のゆかりちゃん……可愛いと思いませんか？
菜々,……可愛いです
まゆ,脱がされるゆかりちゃん……見たいと思いませんか？
菜々,見たいです
まゆ,えっちなゆかりちゃん……撮りたいと思いませんか？
菜々,撮りたいです！
まゆ,じゃあ、決まりですね……♪
ゆかり,ん……
菜々,ゆかりちゃんって寝相良いですね
まゆ,すぐに悪くしてあげますよぉ……
菜々,も、毛布にヒーターにカイロ。暑い……
まゆ,うふふふふ……
ゆかり,……。……ん。……うぅん……。はぁっ……。ん……んー……
菜々,毛布のけましたよ
まゆ,汗、かいたかしら？
菜々,ソファーで寝てるのに、そんな寝返り打つと落ちちゃう……
まゆ,……見ていて
ゆかり,……ふっ……。……ふぁっ……ん……。……すぅ……すぅ
菜々,……
まゆ,……ね？
菜々,せ、制服のスカートがあられもない事になってますけど……
まゆ,これをＰさんが見たら……ということですよぉ
菜々,なるほどー……
まゆ,はい、携帯電話
菜々,あ、ありがとうございます……って、ナナが撮るんですか！？
まゆ,まゆも写らないといけないので……
菜々,あー。そうですか……
まゆ,ゆかりちゃんを撮って、後でまゆも一緒に。ね？
菜々,りょーかいですっ
まゆ,私はちょっと準備してますから……
菜々,まずはこのまま、まくれあがったスカート撮っちゃおう……。寝顔と下着……。ゆかりちゃんって下着も清純だなぁ……。ナナは思いっきり、勝負下着ですよ。すみませんゆかりちゃん。でも、これがゆかりちゃんを助ける一番の手段に。……なったらいいなぁ
まゆ,撮れましたかぁ？
菜々,ええ、ばっちり……ってうわあ！？
まゆ,なにか？
菜々,まま、ままま、まゆちゃん……ふ、服は……
まゆ,いりませんよぉ
菜々,いや、リボンだけじゃないですか！
まゆ,十分です
菜々,ほとんど裸です！つついたら取れますよ、リボン！
まゆ,それ……すごくいいですよぉ
菜々,へ、ヘンタイさんですっ……
まゆ,……ゆーかーりーちゃん？
ゆかり,すぅ……
まゆ,ネクタイ。外しても……いいわよね？
ゆかり,くぅ……
まゆ,うふふ……。菜々さん、どんどん撮ってくださいね
菜々,は、はいぃ……
まゆ,じゃ、次はブラウス脱いじゃいましょうか……
ゆかり,…………
菜々,ゆかりちゃん、下着だけになっちゃいましたね……
まゆ,まゆも負けないです……
菜々,まゆちゃん過激すぎですー……
まゆ,菜々さんには負けますけど……
菜々,私はヘンタイじゃないです！
まゆ,うふ。それじゃゆかりちゃん、今度は下着も取っちゃお……
ゆかり,うぅん……
菜々,……や、やっぱ下着はまずいんじゃ。起きちゃいます……
まゆ,困ったわね。服はすぐに脱がせられたのに……
菜々,気付かれないもんですね……下着はそうはいきませんよ？
まゆ,そうね……
ゆかり,……すぅ……すぅ
まゆ,もし、ゆかりちゃんを脱がせられなかったら……。Ｐさんは、まゆ達の写真の方を大切に使ってくれるかもしれません。……なんて
菜々,まゆちゃん？
まゆ,もう一回、試してみましょうか
菜々,……あれ、今度はすんなり脱がせられましたね
まゆ,うふふ。とってもいい子♪
ゆかり,…………
まゆ,さあ菜々さん。好きなだけどうぞ？
菜々,あわわ……み、見えてるぅ……
まゆ,むしろ……見て貰いたいんじゃないですかぁ？
菜々,ま、まっさかー……
ゆかり,……すぅ……すっ……。…………。…………
菜々,とっても幸せそうな寝顔ですねえ……
まゆ,よだれ、拭いてあげないとだめですよぉ
菜々,おっと。つい夢中になってました
まゆ,あ、よだれありの写真も……撮っておきましょうか？
菜々,……
まゆ,……
ゆかり,……
菜々,……１０枚ぐらい撮っときますね！
まゆ,はぁい♪
ゆかり,……
菜々,すっごく良いですよぉゆかりちゃん……
まゆ,寝返りはめっ、ですよぉ
ゆかり,……！？
菜々,そのアングル、もらいです！
まゆ,ふふ……ゆかりちゃん。もっともっと、いっぱい撮りましょう？
菜々,撮影はウサミンにお任せですよ！
ゆかり,………………
愛梨,う～ん……
ﾙｷﾄﾚ,んー……
愛梨,うぅ～……
ﾙｷﾄﾚ,んゃー……
愛梨,……なんですか今の声っ
ﾙｷﾄﾚ,い、いや。どんな声が出せるかな、って
愛梨,可愛いですね！
ﾙｷﾄﾚ,ありがとうございますっ……いやこんなことやってる場合じゃないんです！。これをもう一度、しっかり見てください！
愛梨,あう……
ﾙｷﾄﾚ,凛ちゃんの雪のような裸体！
愛梨,智絵里ちゃんのかよわい裸体……
ﾙｷﾄﾚ,藍子ちゃんのしなやかな裸体！
愛梨,美優さんに……美穂ちゃんに……きらりちゃん
ﾙｷﾄﾚ,これだけの写真が、プロデューサーさんの机にあったんですよ？
愛梨,あ、あんまり見るの良くないですよー！見なかったことに……
ﾙｷﾄﾚ,甘い、甘いです！甘すぎて虫歯になりますよ愛梨ちゃん！
愛梨,……ほとんどの甘味で虫歯にはなると思いますけど……あ、歯磨きはちゃんとしてますよ？
ﾙｷﾄﾚ,歯じゃなくて自分を磨かないと駄目です！でも磨きすぎてつるんつるんですね愛梨ちゃんは！
愛梨,よくわかりませんけど、プロデューサーさんの写真、戻しましょうよー！
ﾙｷﾄﾚ,そもそも小さいこと気にするのに、なんでそんな胸おっきいんですか！
愛梨,よ、余計なお世話ですよー！
ﾙｷﾄﾚ,ちょっと分けてください！
愛梨,お、お願いされても困るというか……
ﾙｷﾄﾚ,じゃなきゃ、こんな写真は撮れません……
愛梨,やっぱり、私たちも同じ方法でアピールするんですか……？
ﾙｷﾄﾚ,当然です。さもないとプロデューサーさん争奪戦に乗り遅れますよ！
愛梨,そ、それも困りますね……
ﾙｷﾄﾚ,それに、ここで私のトレーナーとしての勘が告げるんです……。皆と似たような写真じゃ勝てない、秘策が必要だと！
愛梨,わあ、たまにかっこいいですね、ルキトレさん！
ﾙｷﾄﾚ,えへへ。そんな褒められると照れますよー
愛梨,でも、どうやって差をつけるんですか？
ﾙｷﾄﾚ,……考えてなかったです
愛梨,……たまにかっこわるいですね、ルキトレさん
ﾙｷﾄﾚ,すみません……
愛梨,うーん……
ﾙｷﾄﾚ,うーん……
久美子,……Ｐの席でなにやってんの？
愛梨,きゃあっ！？
ﾙｷﾄﾚ,び、びっくりした……久美子さんか……
久美子,人を幽霊みたいに。で、二人は何してんのさ？
愛梨,実は……かくかくしかじかで……
久美子,はっはっは。まさかそれで伝わるとか思ってるのかな、愛梨ちゃんは？
愛梨,いひゃいでふ、ほっへひっぱららいでくらはいー！
ﾙｷﾄﾚ,遊んでる場合じゃないんですよ、久美子さん！一大事なんです！
久美子,一大事……ルキトレさんが焦ってるの、珍しいね
ﾙｷﾄﾚ,それぐらい大変な事態なんですよ。この写真を見てください……
久美子,んー？Ｐの浮気現場でも押さえたの？
愛梨,え……プロデューサーさん、もう彼女さんがいるんですか……！？
久美子,いや、冗談だよ……でもＰのコレクションを弄るのはやめてあげた、ら……。いやまあＰは欲求不満なんだから。こんなの持ってても、おかしくないって！
愛梨,違いますよ久美子さん、写ってる子が問題なんです！
ﾙｷﾄﾚ,どれも顔は写ってないんですけど……これ、凛ちゃんですよ
久美子,はは、まっさかー……
愛梨,こっちが智絵里ちゃんで、それが藍子ちゃんだと思います
久美子,……そ、そんな気がしなくもないけど。まさか、ねえ？
ﾙｷﾄﾚ,これ、皆が自分で撮ってプロデューサーさんに渡してるんですよ！
久美子,あ、あれー……知らない間にこんな段階の戦いが……？
愛梨,私たちもどうにかしないと……プロデューサーさんが取られちゃう、という話をしてたんです
ﾙｷﾄﾚ,でも、良い方法が浮かばなくて。負けるかも……
久美子,そっか……よし、お姉さんに任せなさい！
愛梨,久美子さん！
ﾙｷﾄﾚ,良い方法が？
久美子,うん！サウナ入ろう！
愛梨,サウナ！
ﾙｷﾄﾚ,サウナ！？
久美子,もともと、今日はそのつもりで来たしさ。一緒に入ろうよ
愛梨,良いですね！ご一緒します！
ﾙｷﾄﾚ,サウナて……どうするんですか？
久美子,まあまあ、聞いてよルキトレさん。楓さんや、早苗さんの番組は見たことあるよね？
ﾙｷﾄﾚ,ええ……温泉と銭湯を紹介する奴ですよね
久美子,あの人たち……色気、やばいよね
ﾙｷﾄﾚ,！！
愛梨,料理も美味しそうでしたよね。湯上りにアイス食べたいです！
久美子,愛梨ちゃんはちょっとお口チャック
愛梨,はひ……
久美子,つまり、サウナで女の色気を引き出せば……
ﾙｷﾄﾚ,良い写真が撮れる……
久美子,そういうこと。じゃ、支度しよっか！
愛梨,サウナ入るんですか？なんだか修学旅行みたいで楽しいです！
ﾙｷﾄﾚ,こ、ここで脱いだら駄目だよ愛梨ちゃん！
久美子,カメラ持ってきた？
ﾙｷﾄﾚ,ばっちり持ってきました！
久美子,バスタオル羽織った？
愛梨,暑いので脱いでもいいですか？
久美子,……
愛梨,ごめんなひゃい……
久美子,まずは着けて撮るの。Ｐが着衣フェチだったらいけないからさ
ﾙｷﾄﾚ,着衣フェチ……？
久美子,うん。例えば……。……とか
ﾙｷﾄﾚ,あぁぁ……
久美子,……ふふ。そうなるように、さっそく入ろっか
愛梨,皆でサウナはなんだか、修学旅行みたいで楽しいですね！
久美子,目的は不純だけどねえ
ﾙｷﾄﾚ,サウナなんて、久しぶりです
愛梨,お姉さんといかないんですか？
ﾙｷﾄﾚ,シャワーで済ますことも多いんですよー
久美子,忙しいんだね、わかるわかる
愛梨,でも、たまにはこういうのも良いですよ
ﾙｷﾄﾚ,折角だし、楽しんじゃいましょうか
愛梨,……
ﾙｷﾄﾚ,……
久美子,……
愛梨,……カメラ、大丈夫なんですか？
ﾙｷﾄﾚ,専用のだから……
愛梨,ああ、なるほど……
久美子,……口数少ないけど大丈夫？
ﾙｷﾄﾚ,へーきですよ……
愛梨,大丈夫です……。……
ﾙｷﾄﾚ,……
久美子,……
愛梨,これでプロデューサーさんを……
ﾙｷﾄﾚ,これならプロデューサーさんが……
久美子,この方法ならＰも……
愛梨,……
ﾙｷﾄﾚ,……
久美子,……
愛梨,……
ﾙｷﾄﾚ,……
久美子,……
愛梨,……暑いです
ﾙｷﾄﾚ,……汗かきましたね
久美子,よしよし……そろそろ撮影しよ
愛梨,脱いでもいいですか……
久美子,もうちょっとの辛抱だからね……
ﾙｷﾄﾚ,……ふぅ。一枚目いきます
久美子,はーい……愛梨ちゃん、胸元強調して
愛梨,はひ……
ﾙｷﾄﾚ,はいちーず……
久美子,どんどん撮っちゃってね
ﾙｷﾄﾚ,ええ、分かりました……
愛梨,はふ……。こんなのでいいんですか……？
久美子,ん、いいと思うよ。かなり色っぽいし……
愛梨,汗だくだし……少し恥ずかしいです……
久美子,あー……そのうち気にならなくなるよ、きっと
ﾙｷﾄﾚ,二人とも、もうちょっと寄り添う感じで……入りませんー
愛梨,あ、はい！
久美子,手とか繋いじゃう？
愛梨,いいですね、えへへ……抱っことかしますよ？
久美子,身長変わんないじゃんか……それに、するなら年上がするものなの
ﾙｷﾄﾚ,その構図、いいかも……。そのまま……そうそう。……。なんだか汗でぬるぬるしてて、やらしい光景です。…………。あっ……
愛梨,ルキトレさんが倒れました！？
久美子,ちょ、ちょっと、大丈夫なの？
ﾙｷﾄﾚ,す、すみません。少し鼻血が……
愛梨,のぼせちゃったんでしょうか？
久美子,……たぶん、別の理由だと思うよ？
ﾙｷﾄﾚ,……あ、治りました
愛梨,すぐに止まって良かったです
ﾙｷﾄﾚ,はい！
久美子,ルキトレさんって意外と……
愛梨,うー……
久美子,ん、どうしたの？
愛梨,もう暑くて我慢できませんー！
久美子,脱ぎたがりだなあ……でも、確かにもうタオルはいらないかもね
ﾙｷﾄﾚ,ぬ……脱いじゃうんですか？
久美子,そうだねえ……
ﾙｷﾄﾚ,……ごくり
久美子,……タオル取っちゃおっか？
愛梨,やったー！
ﾙｷﾄﾚ,はやっ！
久美子,ルキトレさんも早く、早く
ﾙｷﾄﾚ,ええ！？でも、そんないきなりは……
久美子,よし、脱がすね？
ﾙｷﾄﾚ,えっ
久美子,愛梨ちゃん、カメラよろしく！
愛梨,了解です！
久美子,逃がさないよー？
ﾙｷﾄﾚ,ひーん……助けてくださいー！
愛梨,ふっふっふ……シャッターいきます！
久美子,ルキトレさんの可愛い姿、Ｐにしっかり見てもらおうね
ﾙｷﾄﾚ,うう……
愛梨,ルキトレさん笑顔笑顔！あ、写しませんけど！。写真撮るのも、なんだかいいですねー
久美子,ルキトレさんの肌綺麗だよね。手入れしてるんだ？
ﾙｷﾄﾚ,それはまあ、人並みには……
久美子,Ｐに見せるため？
ﾙｷﾄﾚ,ち、違いますよー！
愛梨,喧嘩したらダメですよー！
久美子,可愛いルキトレさんの、可愛い裸。いっぱい見てもらえるといいね
ﾙｷﾄﾚ,そ……そんな……。…………
愛梨,ルキトレさん、なんだか幸せそうですね！
久美子,そうだね。きっと、私たちもそんな風になれるよ
愛梨,この写真をプロデューサーさんに見せれば……
久美子,……大成功ね
愛梨,……
久美子,……
愛梨,…………
久美子,…………
ﾙｷﾄﾚ,……。はっ……。い、意識がなかったみたい……。……愛梨ちゃん！？久美子さん！？倒れてどうしたんですか！？
愛梨,えへへへへ……
久美子,うふふふふ……
ﾙｷﾄﾚ,は、鼻血がすごいですよ二人とも！急いで外に……しっかりしてくださいー！！
ちひろ,…………。いよいよ、この時が来ましたね。この日のために、たくさんの時間と労力をかけました。待っててくださいね……。……プロデュ－サーさん♪。休日ですからね、家に居るでしょう。プロデューサーさん、お邪魔しまーす……。…………。プロデューサーさーん？
凛,……プロデューサーはここには居ないからね
ちひろ,！！。り、凛ちゃん……どうしてここに？
凛,ちひろさんを止めに来た。こう言えば、わかるよね
ちひろ,止めるって……ふふ。何かのお遊びかな、凛ちゃん
未央,すっとぼけはいらないよ、ちひろさん！
卯月,ネタはあがってるんです！
ちひろ,未央ちゃんに卯月ちゃんも……
凛,しらばっくれるつもりかな。全部わかってるんだよ、ちひろさん
ちひろ,な、何が……でしょう？
凛,ちひろさんは、私をはじめ、いろんなアイドルにある事をそそのかしたよね
ちひろ,……
凛,プロデューサーに写真を送ること。さすがに年少組には言ってないみたいだけど
ちひろ,……
凛,その目的は……
都,おっと！そこからはこの名探偵、安斎都にお任せあれ！
未央,わあっ！？いきなり後ろで声出さないでよー！
卯月,び、びっくりしました……
都,こ、これは失礼しました
凛,……お願いね、都ちゃん
都,あいあいさ！
ちひろ,……都ちゃん
