みんな,千秋ちゃん誕生日おめでとー！！
千秋,え？
美里,さっきの旅行セットに下着や歯ブラシが入ってるからぁ♪
千秋,そうなの、助かったわ
美里,お洋服は私の貸してあげるから大丈夫よぉ
千秋,悪いわね美里…
美里,いいのよぉ、じゃあさっそくお風呂に入ってきたら？私はもう入っちゃったからぁ…
千秋,そうさせてもらうわ
美里,ごゆっくりー♪。千秋ちゃん、着替えここに置いとくねぇ
千秋,美里！？う、うん、ありがとう///
美里,？どうしたの？
千秋,べ、別に何でもないわっ！！
美里,変な千秋ちゃん。千秋ちゃん
千秋,ん、なぁに？美里…
美里,お背中流しまぁす♪
千秋,えっ！？ちょっ、美里！？///
美里,女の子同士なんだからいいじゃない
千秋,でも…恥ずかしい…///
美里,照れない照れない♪サービスですよ！サービス！
千秋,なんなのその口調…わかった、お願いするわ…
美里,うふ、気持ちいい？千秋ちゃん
千秋,えぇ、とっても気持ちいいわ…
美里,よかったぁ、じゃあ背中終わったから今度は前を…
千秋,！前はいい、前は自分でやるわ！！//
美里,もぉ、照れ屋さんなんだから…じゃあ風邪ひかないようにちゃんと温まってきてねぇ
千秋,えぇわかったわ…//
美里,それではごゆるりと～♪
千秋,はぁはぁ…///。美里？お風呂ありがと…
美里,…
千秋,寝てる…まぁ、もう遅いし仕方ないか…。…可愛い寝顔ね。…。美里…//。ふふっ//
美里,素面でちゅーしてくれたのは初めてだねぇ
千秋,えっ！？あなた起きて…
美里,寝たふりして驚かそうと思ったのにぃ…。千秋ちゃんのえっちぃ♪
千秋,ななな…///
美里,でもぉ、千秋ちゃんがその気ならぁ…。もっとすごいことしてあ・げ・る♪
千秋,え？えぇ？？////
美里,今夜は寝かさなぁい♪
千秋,いやぁぁぁぁあああ///
