モバＰ,ニッチすぎるわ！！！！！
小梅,そういえば…プロデューサーは…どうなの…？
晶葉,おお！そういえばこんなところに身近なサンプルがいたのに気がつかなかった！
Ｐ,サンプルて
輝子,親友なら…大丈夫だよな…？
Ｐ,え！？あ、いや、その…
晶葉,よし、行くぞ！
小梅,あ…あれ…？
Ｐ,あああああのですねこれはその…
美玲,おいッ！どういうことだッ！！
輝子,ﾌﾋ…そうだよな…親友だと思ってたのは私だけか…うぅ…
Ｐ,違うんだ輝子！俺はテルコと打った方が楽なだけで…！
美玲,ショーコを泣かしたやつは近寄るなッ！ひっかくぞッ！
晶葉,言い逃れはできそうにないな
Ｐ,許してくれ！！！なんでもするから！！！
小梅,輝子ちゃんを悲しませたら…許さないよ……？
晶葉,あ！あれは！まさか本当にこの世に存在していたのか！業火のクソ力！！
輝子,小梅ちゃんの体が赤く燃えていく…
Ｐ,あ、俺死んだわ。だ、脱出できない！このままではモバＰではなくモバＡになってしまうッッ！！
Ａ,そう！Ａ(assistant)に！！
晶葉,あー、これはワンランク降格だな…
小梅,まだ……許さない……
Ａ,な、何ィ！？まだ下があるだとーッ！！
小梅,あなたは…モバＡ(audience)！！
Ａ,か、観客…！！！
小梅,長かった戦いよ、さらば！
晶葉,どうでもいいが、最後のセリフは兄じゃなくて弟の方だぞ
輝子,小梅ちゃん…！
小梅,輝子ちゃん…！
友紀,………
美玲,ウチがおかしいのかーッ！？誰か何とかしてくれー！！！
