袋,ﾋﾞﾘﾋﾞﾘｯﾄﾞｻﾄﾞｻﾄﾞｻｰ
翼,ええ～
P,ダメぇ？って言ってもダメだからな
翼,ぶーぶー！
P,それじゃあこれ。ほい
翼,これはどんな本なんですか？
P,俺と翼がみんなに内緒でこっそり付き合ってしまう話だな
翼,わたしと付き合う！。プロデューサーさんわたしと付き合ってくれるんですか///
P,本の中だけ本の中だけ
翼,これ読んでいいんですよね？
P,少しだけ少しだけ
翼,///
P,こ、こほん///
翼,プロデューサーさん
P,なにかな
翼,今なら誰も見てないですよ///
P,だ、ダメダメ！
翼,むーっ
P,ちなみに逆パターンもあるぞ
翼,逆パターン
P,俺が翼にグイグイ行くやつ
翼,ちょ、ちょっと恥ずかしいかも///
P,やはり本人とこういう本を読むのはよくないと思うんだ
翼,わたしプロデューサーさんに求められたいです
P,担当アイドルな上に未成年の女の子に手を出すわけにはいかないなあ
翼,これってこの後どうなるんですか？
P,俺の口からは言えない
翼,むーっ。他にもあるんですか？
P,あるよ。ほい
翼,恋のLessonマッサージ編
P,大きなライブ前の激しいレッスンで疲れ果てた翼を俺が揉みほぐす話だな
翼,プロデューサーさんわたしをマッサージしたいんですか？
P,したいですねぇ
翼,してくれていいですよ
P,色々まずいから遠慮しとくよ
翼,これも逆パターンあるんですか？
P,あるよ。翼が俺の肩とか腰とか他のところとか
翼,してあげましょうか？
P,それもちょっと危ないかなー。とりあえずこれで終わりかな
翼,あれ？静香ちゃんは4冊だったって
P,音無さんそんなことまで言ったんか
翼,わたしの方が静香ちゃんより少ないんですね…
P,い、いや、本当は翼のももっと頼んでたんだけど買えなかったみたいだ
翼,本当ですかー？。まあいいです。ところでプロデューサーさん。わたしコレ使いたいんですけど
P,コレ？こ、これは！。つい最近配り始めたばかりでまだ誰も使ったことがないけれどお仕事を頑張ったご褒美として何でも1つだけ言うことを聞いてあげるナンデモチケットじゃないか！(説明)
翼,はい。つい最近配り始めたばかりでまだ誰も使ったことがないけれどお仕事を頑張ったご褒美として何でも1つだけ言うことを聞いてもらえるナンデモチケットでーす(説明)
P,い、いったい何を要求するつもりだい
翼,そんなの決まってるじゃないですかー。今読んだ本と同じ事して欲しいなーって///
P,ダメ！ダメです！
翼,ええ～。プロデューサーさんはウソをつく人だったんですね…
P,そ、そんなことはないぞ
翼,じゃあしてくれます？
P,マッサージ程度ならともかくさすがにキスはちょっと
翼,大丈夫ですよー。お仕事の練習と思えばいいじゃないですかー
P,大丈夫…大丈夫なのか…？。……や、やっぱりダメ
翼,ええ～
P,何でもと言っても限度があるだろ。とりあえず唇へのキスはダメ
翼,唇以外ならいいんですか？
P,それならまあ
翼,わかりました～
P,それとチケット1枚につき1つのシチュエーションだけな
翼,ぶー
P,それでも良ければ今読んだ本の中から好きなのを選びたまえ
翼,それじゃあプロデューサーさんからグイグイくるやつで！！
P,多分そうだろうと思ったよ。仕方ない。ナンデモチケットを使われてしまったからな
翼,ちゃんと恋人みたいにしてくださいね？キスは首でお願いしまーす
P,よし。いくぞ。翼…
翼,きゃっ///
P,俺に元気をくれるか？
翼,や、やっぱり恥ずかしい///
P,どうした？やめようか？
翼,や、やだ。やめちゃヤです
P,かわいいよ、翼…
翼,あっ///あっ///。ああっ！///
P,どうだ？こんな感じで
翼,すごくドキドキしました///
P,それはよかった
翼,クセになっちゃうかも///
P,それはよくない。担当アイドルの首にキスをしてしまった…
翼,わたし嬉しいです///
P,他言無用でお願いします
翼,大丈夫ですよー。ところでプロデューサーさん
P,なんでしょう
翼,ナンデモチケットもう1枚あるんですよ
P,ま、まさか
翼,次はマッサージしてもらっちゃおうかなー///
P,こ、こいつっ…！。この後めちゃくちゃマッサージした。それ以上のことはしておりません。ちくしょう！柔らかい身体しやがって！。翼の奴…だいぶ大きな声出してたけど誰にも聞かれてないだろうな。まあ事務所は俺達だけだったし大丈…
半開きのドアから覗いている紗代子,………
P,ひええ…
紗代子,すみません。ドアの近くに来たところで変な声が聞こえてきて
P,あわわわ
紗代子,盗み聞きをするつもりは無かったんですけど色々聞こえてしまって
P,あばばば。ちなみにどこから
紗代子,プロデューサーさんが翼ちゃんを抱き寄せて首に吸い付いたところからです
P,ああ～(´`:)。かくかくしかじか
紗代子,なるほど。そういうことだったんですね。それじゃあ私ともよろしくお願いします///
P,そ、それはどっち？本？ナンデモチケット？
紗代子,両方で！
P,ですよね。元々紗代子とは一緒に読む約束だからな。それじゃあ…ほい
紗代子,この本は？
P,さよキスだな
紗代子,さよキス
P,ちょっとエッチな高校生Pくんがヒロイン達と知り合い仲良くなっていく話の紗代子編だよ
紗代子,学園ものですね
P,そんなところだ
紗代子,読んでいいですか？
P,うん。同じ高校同じクラスでいつも一緒にいるんだけれど付き合っているのかいないのかはっきりしないPくんと紗代子が2人で下校するシーンだな
紗代子,すごく距離が近いですね
P,でもきっかけが無くてなかなか先に進めないんだ。オッホーーー(^^)
紗代子,な、何でもしていいって何ですか！///
P,エッチなPくんをやる気にさせるにはこれ以上無いご褒美だ
紗代子,勉強を頑張る動機が不純です
P,きっとこの本の紗代子としても2人の距離を縮めるきっかけにしたかったんだろうな。イヤッホーウ(^^)
紗代子,ぷ、プロデューサーのエッチ！///
P,まだ何をするとは言ってないぞ
紗代子,だいたい予想がつくと思うんですけど
P,きっと紗代子が思ってるよりはソフトな内容だよ。Pくんを信じろ
紗代子,絶対エッチなことだよ…///
P,紳士なPくんがやり過ぎるはずはない
紗代子,思っていたよりは控えめでしたけど…なんか…その…///
P,Pくんはフェチなところがあるんだよ。後日脇腹以外にも色んなところにキスしてくるぞ
紗代子,や、やだ、もう…///
P,まあ読むのはここでストップだけどな
紗代子,えっ
P,これ以上はお見せできません
紗代子,ええ…？
P,大丈夫だ。この勉強会の後ちゃんと2人は彼氏彼女の関係になる
紗代子,そ、そうですか///。なんか最後まで読めないとモヤモヤします
P,すまん。Rだからさ
紗代子,他にもあるんですか？
P,あるよ。ほい
紗代子,巨大なタイ焼きかと思ったらプロデューサーだった
P,巨大なタイ焼きに擬態した俺が無防備にも近寄ってきた紗代子に襲いかかるんだよ
紗代子,？？？。よくわかりませんでした
P,二次創作にはたまにこういうノリの本があるのさ。とりあえずこれくらいかな。よし。それじゃあ俺はこれで
紗代子,待ってください
P,な、何かな？
紗代子,ナンデモチケットをお願いします
P,くっ、やはり使うのか。仕方ない。さあ、願いを言え
紗代子,さっきの本みたいに私の脇腹にキスして欲しいです
P,や、やっぱり
紗代子,恋人みたいにお願いします///
P,う、ううーむ。脇腹ならセーフか…？うん、セーフだな
紗代子,どうかしたんですか？
P,いや、大丈夫だ
紗代子,そ、それじゃあお願いします///それと今だけ本みたいにPくんって呼んでいいですか？
P,いいよ。じゃあいくぞ？。紗代子…
紗代子,Pくん…///
P,約束のご褒美、くれるか？
紗代子,うん…///いいよ…///
P,紗代子のここ、綺麗だよ…
紗代子,は、恥ずかしい…///
P,それじゃあ………
紗代子,ああっ！///
P,すまん。少し吸ってしまった
紗代子,す、すごく良かったです///
P,それはよかった
紗代子,クセになっちゃうかも///
P,それはダメです
紗代子,それではお仕事に行ってきます
P,気を付けてな。紗代子はお仕事に出かけていった。ナンデモチケットで何をしたかは2人だけの秘密だと言っておいたが大丈夫かな…。そして琴葉達がやってきました
琴葉,おはようございます
エレナ,おはヨー！
恵美,おはよープロデューサー
P,ああおはよう
琴葉,紗代子が満面の微笑みで何かを呟きながら歩いていったんですけど何かあったんですか？
P,い、いや。何にも無いよ
琴葉,そうですか。次のナンデモチケットは何してもらおうかな///って言ってたんですけど
P,高山紗代子ォ！！
恵美,多分例の本読んでるうちに盛り上がっちゃってチケットで再現することになった、みたいな感じでしょ？
P,恵美はエスパーかな
琴葉,ずるい！私もお願いします！
エレナ,ワタシもワタシもー
恵美,それじゃアタシもー
P,やはりこうなるのか。とりあえずチケットでできる範囲を正式に決めます
エレナ,何も言わないとみんな絶対チューとかしたがるもんネ
P,うむ。唇へのキスは禁止。チケット1枚につきシチュエーション1つな。あと後日ダメそうなのは追加する
琴葉,残念ですが仕方ないですね
恵美,まあ仕方ないね
琴葉,プロデューサーは今お時間平気ですか？
P,ああ。大丈夫だよ
琴葉,例の本、一緒に読んでもらってもいいですか？
P,うん。他の人が来ないうちに読むか
琴葉,やった///よろしくお願いします///
P,めっちゃ嬉しそうだなあ。それじゃあ誰からいく？
琴葉,ジャンケンで決めましょうか
エレナ,いいヨー
恵美,りょーかい
琴葉,それじゃあいくわよ！…ジャーンケーン
ことエレめぐ,ポン！
エレナ,ワタシ1ばーん
琴葉,私2番です
恵美,アタシ最後かー
P,エレナからか。了解した
エレナ,よろしくネ、プロデューサー
P,ああ。エレナは…これだな
エレナ,どんなお話？
P,恋人のエレナが仕事で手が離せない俺に口移しで甘いものを食べさせてくれる話だな
エレナ,エヘヘ、ワタシ達恋人なんだネ///
P,ほ、本の中の話だぞ？
エレナ,本の中だとしても嬉しいヨ？
P,エ、エレナ///
エレナ,///
P,そ、それじゃあ読むか///
エレナ,ウンそうだネ///
琴葉,空気が甘いわね
恵美,空気が甘い
P,甘ぁぁぁぁぁーい！！
エレナ,プロデューサー…恥ずかしいヨ///
P,正直俺も恥ずかしい
琴葉,プロデューサーと口移し…///
恵美,プロデューサーとキス…///
エレナ,プロデューサーはワタシに口移しして欲しいの？するヨ？
P,して欲しいけど遠慮しとくよ
エレナ,///
P,エレナを可愛がりたい
エレナ,ワタシもプロデューサーに可愛がられたいヨ///
琴葉,私も可愛がられたいです
恵美,アタシもアタシも
P,おーよしよし
恵美,違うそうじゃない
琴葉,よくないと思います
恵美,よくないと思う
エレナ,絶対よくないよネ
P,本の中、本の中だから
エレナ,本当にする時はベッドがあるところがいいナ///
P,エレナはかわいいなあ！
琴葉,私はプロデューサーの部屋がいいです
恵美,私もプロデューサーの部屋がいいかなー
エレナ,それならワタシもプロデューサーの部屋がいいナ
恵美エレナ,で？家はどこ？
琴葉,どこですか？
P,それは言えないなあ。おっと、ここまでだな
エレナ,もう終わり？
P,これ以上見せられないんだ
琴葉,にゃんにゃんが始まるんですね
恵美,にゃんにゃんを始めるんだね
P,まあそんな感じだ
エレナ,他の本もあるノ？
P,あるよ。あるんだけど過激なのが多くてちょっと見せられない
エレナ,プロデューサーのエッチ///
P,うぇへへ。それじゃあチケットはどうする？今無理して使わなくてもいいが
エレナ,もちろん使うヨー。プロデューサーに口移しで食べさせたいナ///
P,口移しはちょっとよろしくないかな。食べさせるとは違うかもしれないがポッキーゲームみたいな感じなら大丈夫だ。ちょうど長いやつがあるぞ
エレナ,ウーン、じゃあそれで！
P,キスはダメだぞ？直前で折るからな？
エレナ,わかってるヨー。でもワタシが折るからプロデューサーは折らないでネ？
P,ん。わかった
エレナ,それじゃあプロデューサー、いくヨ？
P,OK。さあ来い
エレナ,～♪
P,……
エレナ,……///
P,……
エレナ,……///
P,エ、エレナ。そろそろ
エレナ,……///
P,エ、エレっ
琴葉,ああーーーっ！？
恵美,ああーーーっ！！
エレナ,……エヘヘ///キスしちゃったネ？プロデューサー///
P,こ、こら！エレナっ！
琴葉,……
恵美,……
琴葉,プロデューサー。キスしましたね？
恵美,禁止なんじゃなかったっけ？
P,い、今のは事故だから
エレナ,えへ、ごめんネ///
P,これは反省していませんね。間違いない
琴葉,ぐぬぬ
恵美,むむむむ
P,さて、エレナは以上だな。次は琴葉か
琴葉,よろしくお願いします
P,それじゃあ琴葉は…ほい
琴葉,これは？
P,お互いに好きなんだけどアイドルとプロデューサーという関係に悩まされ気持ちを伝えられずにいる俺と琴葉がついににゃんにゃんちょめちょめ
琴葉,にゃんにゃんちょめちょめ！
エレナ,にゃんにゃんちょめちょめ！
恵美,にゃんにゃんちょめちょめ！
P,君たちテンション高いな
琴葉,よろしくお願いしまぁぁぁーーーす！！///
P,琴葉。琴葉しっかり
恵美,まあこうなるよね
エレナ,まあこうなるネ
琴葉,私達ついに結ばれるんですね///
P,とりあえずこの本の中ではな
琴葉,これ借りていってもいいですか///
P,見せられないシーンがあるからダメかな
琴葉,オッケーですぅぅぅぅぅぅぅぅぅ！！///
P,ほ、本の中だからセーフ
エレナ,この後合体するんだよネ？///
恵美,ページめくっていい？///
P,君たち興味津々だな。でもこれ以上はダ
琴葉,もう少しだけ！もう少しだけ！
P,こ、こら！
琴葉,琴葉恥ずかしいぃぃぃぃぃぃいぃ！！///
P,琴葉。声が大きい
琴葉,これはもうアレですね。結婚です
エレナ,エッチしたら結婚だよネ
恵美,責任取らなきゃね
P,これが現実なら取ってるんだがなあ
恵美,プロデューサー、子供は何人がいい？
エレナ,ワタシはたくさん欲しいナ
琴葉,2人っきりの時間も楽しみたいです
P,俺はまだ結婚する予定は無いぞ。そしてはい終了
琴葉,ああっそんなぁ
エレナ,仕方ないネ
恵美,もうちょっとだったのに
琴葉,他の本もあるんですか？
P,とても見せられないのがいくつかあるぞ。見せられないけど
エレナ,残念だネ
琴葉,残念です
恵美,いったいどんな
P,秘密です。さて、ナンデモチケットはどうする？使う？
琴葉,愛の告白から私の服を脱がすところまでお願いします！
P,そ、それならセーフかな。わかった。キスはどこがいい？唇以外で
琴葉,唇はダメなんですか？
恵美,エレナとはしたのに
P,あれは事故だから…
エレナ,エヘヘ
琴葉,それでは鎖骨周辺でお願いします！
P,了解した。琴葉…
琴葉,ぷ、プロデューサー…///
P,琴葉…。好きだ。愛してる
琴葉,きゃーっっ///きゃーっっ///。私も…！私も愛してます…！///
P,琴葉…
琴葉,ああっ///プロデューサーっ///
P,服…脱がすよ…
琴葉,ああもう最高ぉぉぉぉぉぉぉぉぉぉぉぉぉぉぉ！。はわあ～///
P,満足したようだな
恵美,見てこの緩みきった顔
エレナ,とても人には見せられないネ
琴葉,私幸せです///
P,そりゃよかった
琴葉,次もよろしくお願いします
P,前向きに検討するよ。さて、琴葉は以上だな。次は恵美か
恵美,よろしくねプロデューサー
P,恵美はどれを見せていいか迷うな
恵美,え？なんで？
P,エロいのが多いってことだよ
恵美,あー///
琴葉エレナ,あー///
P,これはどうかな…。レッスン後に恵美がシャワーを使おうとしたら故障していたのかお湯ではなくローションが噴き出してきた話
恵美,故障しててもローションは噴き出さない思う
P,そこは薄い本だから仕方ない
恵美,……
P,あっ、こら
恵美,うわっ///
P,はい没収
恵美,ああっ
P,これはやめておくか。それじゃあ…ほい
恵美,これは？
P,恵美がファミレスのドリンクバーで調合していたら偶然にもエッチな気分になる飲み物ができてしまい大変なことになる話
恵美,いくらアタシでもそんな調合はできないかなー
P,できたらマジで凄い。お、これなら大丈夫か。俺との勝負に負けた恵美が水着で膝枕耳かきしてくれる話
恵美,プロデューサーってさ、結構ヘンタイだよね
P,お、俺じゃない！本の中の俺だ！
恵美,はいはい
エレナ,そうだネ
琴葉,そうですね
P,ちくしょう！。私はヘンタイではありません
恵美,本の中のアタシにも言われてるじゃん！
琴葉,確かに水着になる必要は無いわね
エレナ,エッチな目的なのがバレバレだネ
P,くっ！反論できねえ！。恵美の生太ももで膝枕されたい
琴葉,欲望が漏れてますよプロデューサー
P,実際恵美ってすごく良い匂いするよな
エレナ,するネ
琴葉,しますね
恵美,恥ずかしいんだけど
P,はあ～マジで耳かきされてぇ～
恵美,あとでやってあげよっか？
P,えっ！？マジで！？
恵美,何その食いつき
P,水着で？
恵美,水着は着ない
P,そりゃ残念だ
琴葉,私がやってあげましょうか？
P,えっ！？マジで！？
エレナ,ワタシがやってあげるヨ
P,えっ！？マジで！？
恵美エレナ,で？誰にする？
琴葉,誰にするんですか？
P,うごごご
琴葉,恵美、どんな反撃するの？
エレナ,お返しにどこ触るノ？
恵美,いや、アタシ知らないし！///
P,恵美に反撃されたい
恵美,そもそもアタシは何の勝負で負けて水着で膝枕なわけ
P,恵美が全力で俺を誘惑してpが立つか立たないかだな
恵美,やっぱりヘンタイじゃん！。まあいくらプロデューサーでもアタシにかかればちょろいもんだけどね
P,いやあいくら恵美でも仕事モードの俺を立たせるのは難しいと思うが
恵美,……ふーん
P,……ほう
恵美,試してみる？
P,望むところだ。あああああああああ！
恵美,恥ずかしかった///
エレナ,メグミの勝ちだネ
琴葉,すごかったわね
P,3人はお仕事に出かけていった。くっ、恵美め…！次は負けん！。というか全アイドルの耳かきCD出したいんだけどどうかな。さて、とりあえずこれで薄い本の件を知っているアイドルは全員か。ひと段落ついたな
静香,おはようございます
志保,おはようございます
P,ああ、おはよう2人とも
静香,実はプロデューサーに謝らなくちゃいけないことがあるんです
P,ま、まさか
志保,プロデューサーさんが私のいやらしい本を持ってるって聞いたんですけど///
P,静香くん
静香,ごめんなさい
