城ヶ崎美嘉,卯月～、どうやったら意識してもらえるのかなぁ
志希,変なしーきにゃん、変なしーきにゃん……んっんっ……脱げない……
未央,聞いて？ほら……っしょ。どうやって着たんだ、これ。おも……
志希,ふぅ。ありがとー。これね、フレちゃんがうえきちゃんで盗聴するの楽しいよって言うからやってみた！
未央,……楽しかった？
志希,うん！
未央,いい笑顔だぁ……。もう、幸せそうで何よりだよ
奈緒,び、びっくりしたぁ……
卯月,私二回目なのにまたやられちゃった……
美嘉,はぅぅ……まだ余韻が……んふぅぅ……
志希,にゃははは。つんつん
美嘉,はぅん！！
未央,……
凛,ふぅ……。お茶美味し
未央,大物だね。しぶりん
美嘉,フンフンフフ～ン、おっつ～！プロデューサー、ちょっと話があるんだけどっ！
卯月,あ、美嘉ちゃん。おつかれさまー
美嘉,ちぃ！！卯月も居たかっ……！！
卯月,なんっ！？…………いや……美嘉ちゃんの企みなんてまるっとお見通しだよ！あの話でしょ！？
美嘉,ぐっ……凛！卯月にもアドバイスしたの！？プロデューサーの連れ込み方！！
卯月,えぇ！？そんな事しようとしてたの！？そんな……そんな事…………凛ちゃん、詳しくっ！！
美嘉,な！？カマかけたなっ！！凛、言っちゃ駄目だよ！アタシこれに勝負かけて……
モバＰ,ぉぉぉ……まだふらつく……
凛,……ふん
志希,う～、しびれる～
美嘉,……どうしたのコレ
卯月,私もさっき来たばかりだから分からないの。正座で反省してる志希さんに嫌な予感しかしなくて様子見してた
美嘉,そう言われるとアタシも突っ込みづらいなぁ……
志希,それは一時間前のこと
美嘉,いや、聞いてない！聞いてないよ！？
志希,認知している人物像を自分のパーソナリティと一時的に融合する為の臨床試験をするために、あたしは事務所へと向かったのだった……
卯月,あ、これ止まらないやつだ
志希,―――と、そんなこんなでトイレから帰ってくると同時にプロデューサーが崩れ落ちたのでした。ちゃんちゃん
美嘉,い……いやいやいや！何が起きたの！？ブーメラン投げたらカバで戻ってきたって言われてるようなもんだよ！？
卯月,……カバ？
美嘉,いちいち突っ込まない！
志希,にゃははは。何が起きたかは……それが志希ちゃんの正座につながるんじゃないかな？それはなぜでしょう？
美嘉,それを聞いてんのっ！
志希,ヒントは……カバ！
美嘉,この子はぁ！！！
志希,どうどう。お～よしよし
美嘉,いい゛～！！もぉぉ！！
卯月,プロデューサーさん。美嘉ちゃんのテンションが一人浮き始めたので、そろそろ教えてくれますか？
モバＰ,……やっぱり凛が変になったのはあの装置の所為だったか
卯月,プロデューサーさん……？
モバＰ,あぁ……すまん。え～と……凛。言っても？
凛,……は？
モバＰ,あ、いや……じゃあ、志希が正座してる理由だけ……
凛,……勝手にすれば？
モバＰ,……ッス
美嘉,…………え？なに？凛、ガチギレじゃん
モバＰ,そういう訳でも……
凛,う゛んっ！！
モバＰ,……志希の正座の件だったな。あれは別に強制してるわけじゃないから
卯月,そうなんですか？それはそれで不可解ですけど
志希,だって、反省しないと半径一メートル以内の接近禁止って言うんだもん。プロデューサーを嗅げないなんて、ほとんど拷問ってゆー
モバＰ,おまえは……ホントに反省してんのか？事務所で火を使う実験？をしようとした挙句、それを放置したまま席を離れるなんて……
志希,すぐ帰ってくるつもりだったし、まさか凛ちゃんが使うとは思わなかったんだもん
凛,……だって、いい匂いしそうだったし、これ火をつけたら凄い綺麗な光が見えそうな形状だったから……。実際見入っちゃうくらい綺麗だったし
志希,でしょー。そこが肝なんだよねー。特殊なパターンの光の屈折を……
モバＰ,志希？
志希,反省してます。ごめんなさい
美嘉,まあまあ。志希もアタシ達を喜ばせようとしてくれたことだしさ。アリガトね、志希
卯月,そうだね。ありがとうございます、志希さん！
志希,にゃはは。キミも二人に免じて志希ちゃんを赦して？
モバＰ,わかったよ。今後無いようにな。あと、人格に影響を与えるようなものは作らないこと！それでは解散っ！！
志希,解散っ！！散れ散れ～！！
卯月,わー……って、なんでやねん！！怒るでしかし！！
美嘉,……うん。一番気になるプロデューサーが崩れ落ちた理由を知りたいんだけど？
モバＰ,ちぃ！誤魔化せんかっ！！このメンツならイケると思ったのにっ！
美嘉,おいこら。どういう意味だ
卯月,……ど、どういう意味だー
志希,いいからいいから、二人共解散だよ解散
美嘉,ちょっ……なんで……
志希,多分だけど、二人きりにしたら理由がわかると思うから。事務所出たふりして覗いてみよ？
美嘉,……わかった
志希,よーし！三人で仲良く花をむしりに行こー！！
美嘉,むしる言うなっ！
卯月,あ、待って！
モバＰ,え！？ホントに行くの！？二人きりにされるのは……。……おおぅ。マジか
凛,プロデューサー……
モバＰ,っ！
志希,さてさて～。中途半端にまゆちゃんを取り込んだ凛ちゃんの行動は如何に～
美嘉,中途半端？卯月がしたノリ突っ込みみたいな？
卯月,そうそう……って、なんでやねん！！怒るでしかし！！
美嘉,さっきスベったのにめげずに天丼してきやがった……！
志希,にゃっは！……と、危ない。気付かれるから小声で
美嘉,ごめん。それで、なんで中途半端？
志希,まゆちゃんの愛の囁きだけを聞きながら作動させてたからねー。ホントならトレースしたい人のイメージをしっかりする前提だから、あの装置
卯月,……今さらですけど、害はないんですか？
志希,数日で催眠効果がきれるように配合してるから大丈夫。それを確信するための臨床試験だったんだけどね
美嘉,凛が意図せず被検体になってしまったと。……あ、凛が動いた。……あれは……誰……？
志希,かつて渋谷凛と呼ばれていた生命体だね
美嘉,衝撃的過ぎて、嫉妬する前に寒気を感じたんだけど……
卯月,対面座位だよ……あれ……
志希,ヘイ、卯月ちゃん。混乱するのは仕方ないけど、キャラ的に言ってはいけない事言ってるぜ？
美嘉,志希も変なキャラになってるよ……
志希,にゃはは。じゃ、もう少し様子を見てみようぜ？
卯月,わかったぜ？
美嘉,えー……。……そろそろザラメ吐きそう
卯月,私、冷や汗がハチミツになってそうだよ……
志希,ふむ……まゆちゃんのプロデューサーラブっぷりと、凛ちゃんのクールさがせめぎ合うとツンデレになるんだね
美嘉,ツンデレ？
志希,人前でツンツン、二人きりでデレデレ。最近じゃあまり見かけないタイプだねー
卯月,それはいいんだけど……余りの甘さっぷりに嫉妬心がムクムクっと……
美嘉,だね。正気に戻ってきたよ
志希,それは正気と言えるのかにゃ？ま、いっか。それじゃ、そろそろ突入する？
卯月,はいっ！
美嘉,これ以上は我慢できないからねっ！
志希,たっだいまー！！
凛,！
モバＰ,あっ！凛、待っ
凛,っ！！
モバＰ,おぶっ！は、鼻が……！ぉぉぉ……
凛,～～～！！
美嘉,……凛。何してんの？
凛,ぷ、ぷろでゅーさーがキスしようとしてきたから頭突きを……ぅぅ、おでこいたい……
卯月,……プロデューサーさん座ってたから、凛ちゃんが近寄ってたんじゃないの？
凛,そ、それは……目にゴミが入ったから見てもらおうとして……
美嘉・卯月,ふ～ん……
凛,な、なに？
美嘉・卯月,べっつに～？
志希,にゃーはっはっは！キミ、大丈夫？……実はコッソリ覗いてたから冤罪だってわかってるよ。安心してね
モバＰ,お、お前な～……。はぁ……、それより見てたなら凛の状態わかるだろ？大丈夫なのアレ
志希,うん。ちひろさん特製ドリンクをベースに香りを作ってるから、二、三日で元に戻るよ
モバＰ,……え？余計心配なんだけど
志希,あれ、万能薬的な何かだから。覚えあるでしょ？もう動けないはずなのに、飲むと体力全快しちゃったり。多少ハイになるかもしれないけど
モバＰ,そうだけど……万能薬って……そんな都合のいい……
志希,そうだねー。だからこれが製薬会社に知られたら、何が起きるか分からないよね。闇的な意味で。そもそもちひろさんはどこで
モバＰ,オッケー、そこまでだ。世の中触れちゃいけないものがある。無知は罪なんかじゃない。時には身を守る術でもあるんだ。アンダースタンっ？
志希,……Allrightまあ、そんな訳だから心配いらないよ。ただ、記憶は残るだろうから正気に戻ったとき、凛ちゃん恥ずか死するかも
モバＰ,おいおい……って、うおっ！鼻血出てきた。ちょっと洗面所で顔洗ってくる
志希,は～い。いってらっしゃ～い
凛,……
美嘉・卯月,どこ行くの？
凛,……喉かわいたからジュース買いに
美嘉,そこの冷蔵庫に各種取り揃えてるよ？
卯月,凛ちゃんは座ってて？取ってくるから。なにがいい？
凛,……やっぱりいらない
卯月,そっか
凛,……
美嘉・卯月,……
凛,……
美嘉・卯月,どこ行くの？
凛,……外の空気を吸いに
卯月,窓開けよっか
美嘉,エアコンつけっぱは体に良くないよね。開けてくるから、凛は座ってなよ
凛,……
美嘉・卯月,……
凛,……
美嘉・卯月,……
凛,……ぐすっ
美嘉・卯月,！！
凛,ぅぅ……ふぐぅ……
美嘉,や、やばっ！卯月っ！
卯月,わ、私！？美嘉ちゃんだって！
凛,すん……ぅぅ……
美嘉・卯月,ぁぅぁぅ……
志希,あーあー。凛ちゃん、メイク崩れてるよ。トイレで直したほうがいいよー。トイレで
凛,ぁ……うん。行ってくる……
美嘉・卯月,あぁ……
志希,今の凛ちゃんは普通じゃないんだから優しくしないと、めっ！だよー
美嘉,普通じゃなくなったのは志希の所為でしょ！！
志希,てへっ
卯月,ぅぅ～……また凄いイチャイチャするのかな
美嘉,……様子見るくらいならいいでしょ？
志希,うん、観察は大事だよねー
美嘉,あ！なんであんたが一番素早いの！もうっ！
卯月,待って～
美嘉,見て。今暖かいくらいなのに凄い鳥肌
卯月,あれは見慣れないね……
志希,まゆちゃんも二人きりになるとあんな感じになるのかなー？今度聞いてみよっ！
美嘉,まゆがあんな幼児化するとは思えないけど……
卯月,大変だよ、美嘉ちゃん！私、凛ちゃんのこと大好きだけど尋常じゃないくらいイラっとした！！
美嘉,うん、卯月は間違ってない。全然間違ってないよ。ってことで……ゴゥ！シマムラっ！！
卯月,イエス、マムっ！
モバＰ,なでなでとよしよしの違いとは……
卯月,ヘーイ！！
凛,！
モバＰ,な！？待っ
凛,シッ！
モバＰ,こっ！
凛,……ぁ
卯月,……綺麗に決まったね。ブーメランフック
凛,……うん。んぐぅぅ……うぁぁ……
未央,どうしたの？そんなに悶えて
卯月,未央ちゃん、今凛ちゃんは己と戦ってるの。そっとしといてあげて？……抱っこしてくれないと、許してあげない
凛,あ゛あ゛あ゛っ！！うに゛ぃ！！
未央,な、なに？しぶりんから別の生命体が出てきそうなんだけど
美嘉,未央……凛は自分と見つめ合ってるの……。見守る事も優しさだよ。……もう独りにしちゃやだよ？ずっとずっと一緒だよ？
凛,みゃ゛あ゛あ゛あ゛！！やだぁ！もぉ！！！
未央,……なんか、かわいいな。ホントどうしたの？大丈夫？
凛,うぅぅ……未央ぉ……二人が追い込んでくるぅ……
未央,う、うん。ヤクザな二人だね。よしよし
卯月,凛ちゃん凛ちゃん！！
凛,何！？
卯月,なでなでじゃなくて良かったね！！
美嘉,よしよしがいいんだもんね！！
凛,ん゛ん゛～～！！この二人はっ！！……もう、容赦しないからっ！！
卯月,ほう？どう容赦しないのかな？
美嘉,この三日間、プロデューサーを独占してきた凛には色々溜まってるからね！まだまだ引かないよ！！
凛,上等っ！！
未央,ちょ、ちょっと、落ち着きなよ。未央ちゃん完全に置いてけぼりだよ……
モバＰ,未央いるかー？仕事行くぞー
未央,あ、うん
凛,お疲れ様。プロデューサー
モバＰ,おー、凛。正気に戻ったん……だよな？……なんで未央、抱きつかれてんの？
未央,私もさっぱりだよ～。なんか三人が揉めてんの
モバＰ,……マジなやつ？
美嘉,違う違う。いつものじゃれ合いだから
凛,イジメる側がよく言うセリフだよね、それ！
卯月,あ！容赦しないって、そうやって私達の株を落とすこと？ふふん！そんなの全然効かない……もん……
未央,効いてる効いてる、めっちゃ効いてる
モバＰ,……まあ、仲良さそうで良かったよ。で、凛。今日からはもういいんだよな？正気に戻ったし
凛,そうだったんだけど……フッ
卯月・美嘉,？
凛,お父さんとお母さん、改めてお礼がしたいから今日も来てほしいって
モバＰ,別にいいのに。こっちこそ毎晩夕食ごちそうになって申し訳ないのに
凛,私が駄々こねたんだから気にしないで。それで、来てくれる？
モバＰ,了解。お邪魔させてもらうよ
凛,ふふ、良かった
美嘉,ちょちょっ！待って！！毎晩夕食ごちそうって何！？
モバＰ,この三日間、凛を独りにしたら泣きじゃくってどうしようもなかったから、家まで送ってたんだよ。それでご両親が気を遣ってくれてな
美嘉,んなっ……
未央,独りにしたら泣きじゃくる？しぶりんが？
卯月,詳しい話はまた今度！ごめんね、ちゃんみお！！
未央,お、おう……。しまむーが壊れた……
卯月,プロデューサーさん！まさか泊まってたんですか！？
モバＰ,んな訳ないだろ。……凛が寝るまでは居たけど
凛,ずっと手を繋いでてくれたよね？
モバＰ,お前が繋いでたの！
卯月・美嘉,
未央,え？え？
モバＰ,っと、時間だ。凛、もう一人で帰れるだろ？俺は仕事が終わり次第そのまま家に行くよ
凛,うん。待ってるね
モバＰ,はいよ。ほら、未央行くぞ
未央,う、うん……
凛,……と、いう事です
卯月・美嘉,
凛,二人がプロデューサーの事を好きなのは知ってたからいろいろ葛藤してたんだけど……もう容赦しないね？
卯月・美嘉,
凛,この三日間、あんな醜態をさらけ出してたのに親身になって付き合ってくれるとさ、やっぱ心に刺さるよね
卯月・美嘉,
凛,もちろん、それだけが理由じゃないよ？今までの積み重ねがあってこその気持ち。デートの真似事とか付き合ってくれたり、よくお店に来てくれたりね
卯月・美嘉,
凛,だから、まあ……本気でいくよ
卯月・美嘉,
凛,……何か言って？
卯月,り、凛ちゃん？落ち着こ？まだ志希さんのヘンテコ装置で混乱してるんだよ
凛,正直その可能性も捨てきれなかったから、ちゃんと聞いてきたよ。あれは性格をトレースするもので気持ちをどうにか出来るものじゃない。私に気持ちが無ければ、あんなにプロデューサーに依存しないって。……ちょっとたがが外れてたのは中途半端に作動したからみたい
美嘉,あぅ……。凛、謝るから容赦して？
凛,しません。本気でいきます
美嘉,っ！い、いいよ！どうせ凛にだってあのプロデューサーをどうこう出来ると思えないし！
凛,……美嘉。私が言ったこと覚えてない？
美嘉,な、なにさ
凛,今日、プロデューサーがうちに来ます。そして……私の両親、プロデューサーのことを大変気に入ってます
美嘉,……？…………あぁ！？
卯月,な、なに？ごはん食べるだけだよね？
美嘉,親と口裏合わせてお泊りの方向に……
卯月,！？
凛,ふふ……容赦しないから。両親公認のアドバンテージは大きいよ
卯月,そんな……
美嘉,まってよぉ……
凛,……二人がもっと優しかったらこんな手は使わなかったのに……残念だよ
卯月・美嘉,反省するからっ！！
凛,ま、どっちにしても全力でプロデューサーを堕とすけどねっ！！
卯月・美嘉,こ、このっ……！！
凛,今まで楽しかったよ……私、女になってくるね…………バイバイ
美嘉,なに感動ものっぽく演出してんの！？ま、まって……
卯月,行……ちゃった……
美嘉,……
卯月,～～～っ！！
美嘉,膝……大丈夫？
卯月,………………駄目
