本田未央,おっはろー！
未央,自分で言っといてなんだけどしぶりんの自由を奪えるほどの画期的さは微塵もないよ？
凛,どうする？靴を舐める？
未央,権力者は誰しも靴を舐めさせたいみたいな偏見やめなよ
凛,わかった、脱ごう
未央,鼓膜がないの？大丈夫？。ってか、しぶりんがお店にいないとダメだね、この作戦
凛,ホントだ、ゴミだね。靴舐めて？
未央,おおっとまさかの下剋上
凛,まったく、未央を信用した私がオダマキだったよ
未央,……え？
凛,あれ？わからない？
未央,う、うん。よく意味が……
凛,オダマキの花言葉は愚かなんだよ
未央,自虐を変化球にするのやめてよ！！ツッコミにくいよ！！
凛,もう私たちだけじゃアイデアも頭打ちだね
未央,よしんばあと１名が来ても好転するようには思えないんだけど……
島村卯月,こんにちは！フラワーデザイナー1級とガーデンコーディネーターの資格を持っている私に何か相談ですか？
未央,すでに概要を理解しているうえにスペックの自慢から入ってきた！！？？
凛,ちょうどよかった
未央,ちょうどよすぎるんだよ
凛,億万長者になりたいんだけど……
未央,趣旨が私利私欲に傾きすぎてるよ！？
卯月,FXですね！
未央,ニュージェネとしまむーはどこに向かうの！？
凛,詳しく聞かせて
未央,しぶりん絶対有り金全部溶かすタイプの人間だよ……
卯月,私にお金を渡せば2倍にして返しますよ！
未央,詐欺の常套句みたいなこと言い出した！？
凛,詳しく聞かせて
未央,ちょっとは疑おう！？。ちょっと！話が脱線してるよ！
凛,ああ、そうだったね。じゃあ改めて、今後の国際情勢についてだけど
未央,トピックが初耳なんだけど！？
卯月,アメリカの大統領選挙ですね！
未央,アイドルの守備範囲を軽く超えてるよ……
凛,スーパーチューズデー！
卯月,ク○ントンさんなら初の女性大統領！トラ○プさんならアメリカ最後の大統領！どっちも歴史的ですね！
未央,うわあジョークの切れ味がクレイジーだ
凛,スーパーチューズデー！
未央,語彙力！
卯月,と言うわけで、選挙にはお花がたくさん必要だと思うんです！
未央,えげつない角度から話題が戻ってきたね
凛,なるほど、アイドルを議員にして、そのなんやかんやの需要をモノにすれば……！
未央,議員なめてるでしょ
卯月,きっと、議員さんになった元芸能人の方々は相当な時間を費やして政治について学んだから議員になれたんでしょうね！
未央,今日のしまむーのキレはどうなってるの？
凛,あ、もしもし？志乃さん？
未央,なぜ真っ先にそこにオファーを！？
卯月,タレント議員が当選しやすい非拘束名簿式を採用している参議院の被選挙権が30歳以上だからですよね？凛ちゃん？
未央,ええ……
凛,……も、ももももちろんでごぜーますよ
未央,9歳のキャラを喰うほどの動揺が見えるけど？
凛,は、話がズレてるんじゃないかな？
未央,うわズルいな！
凛,例えばさ、卯月がなにかお店を出したいとするじゃん？
卯月,さおだけ屋とかですね
未央,よくその世界に殴りこもうと思うね
凛,その時に、アイドルとしてどんなアプローチができるかって話なんだよね
未央,やっぱり、宣伝とか、コラボ商品とかでしょ？現実的にさ
卯月,あ！700円のお買い上げごとに、レジのくじ引きで商品をプレゼントというのはどうでしょう？
未央,金額に既視感があるけど
凛,なるほど……。でも、700円は高くない？
卯月,そうですか？じゃあ、最初は50円にしましょう！
未央,え？
卯月,次は200円、300円、750円、1500円、3000円と上がっていく、名付けてステップアップガt
未央,はいアウト―！！！！！。ダメだよ！消費者庁から睨まれちゃうよ！
卯月,天井を作ればいいんです！
未央,発想がもう搾り取るサイドのそれだもん！！！
凛,スーパーしぶりんレア通称SSR
卯月,いいですね！たまに3％にすれば、みんな食いつきますよ！
未央,なんなのこの不特定多数から文句が来そうな会話は！！！
凛,2人とも、いろいろありがとね
未央,まって、ここで会話を切り上げるのは不安でしかないんだけど
卯月,頑張ってください！
未央,今は背中を押してあげる流れじゃないからね！？
凛,とりあえずは、ちひろさんに相談してみるね
未央,それは絶対やめて！！！
