ひのじゅん太,７４
ひの,それは秘密だよ。今の僕は身体だけでなく、気持ちも若返ったような気がするからな……
女性アナウンサーA,ひのさん！！
ひの,ハッハッハッ！！
女性アナウンサーB,全く、セクハラさえやらなければいい人なのに……
女性アナウンサーC,ホントにねぇ……
サラリーマンA,お……。今日のひのじゅん太、いつもより元気がいいなぁ
サラリーマンB,ああ。最近じゃ何もしゃべらなくて、置物のような状態だったのになぁ……
BAR,魔の巣
ひの,やぁ、喪黒さん。若身黒酢の効果は本物でしたよ！
喪黒,そのご様子からして、今のひのさんは前よりも健康になったのでしょうなぁ
ひの,もちろん！若身黒酢を飲むようになってから、僕の身体の調子はすこぶるいいんですよ！
喪黒,疲労の回復だけでなく……。若身黒酢の名前の通り、若返りの効果もあったはずですよ
ひの,ええ、そうですよ！いつもながら観察力がありますねぇ、あなた……
喪黒,今のひのさんは外見だけでなく、体内年齢も若返ったはずです
ひの,おかげで、この黒酢にすっかりハマってしまいました
喪黒,ひのさんがこうおっしゃることは予想していました。だから……。例の黒酢のストックはいくらでもありますよ。ここにある若身黒酢を、新たにプレゼントしますから
ひの,いやぁ……。ありがとうございます、喪黒さん！！これで、僕は仕事も遊びも怖いものなしですよ！！
喪黒,どういたしまして……。ただし、私の方から忠告しておきたいことがありましてねぇ……
ひの,どういうことですか？
喪黒,黒酢を飲んで若返りや健康の維持に努めるのも結構ですが……
ひの,まあ、それは一理ありますよね……
喪黒,だから、ひのさん……。あなたには、約束していただきたいことがあります
ひの,約束！？
喪黒,はい。若身黒酢の効き目は本物ですから……。あくまでも使用は、ほどほどにしておくべきです
ひの,わ、分かりました……
男性アナウンサー,な、なかなかやりますね……。ひのさん……
ひの,ハハハ！僕は、まだまだ体力や気力が有り余っているんだ！。若身黒酢の水割りはうまい……！しかも、飲めば飲むほど力がみなぎってくる……！。こうやって、若身黒酢が入った水筒をいつでも持ち歩いていれば……。もう大丈夫！。このお湯に若身黒酢を一滴入れて顔を洗うのも、なかなか気持ちがいいもんだ……！。なぁ、今日は風呂に例の黒酢を一滴入れてくれ
家政婦,えっ！？さすがにそれは、黒酢の無駄遣いでは……
ひの,心配するな。例の黒酢のストックはいくらでもある。僕は、黒酢の効き目を別の形で試してみたい
テレビ局関係者,ひのさん、おはようございます！！
ひの,おはよう！！。よし、これさえあれば元気百倍……！
喪黒,お待ちなさい！！。ひのじゅん太さん……。あなた約束を破りましたね
ひの,も、喪黒さん……！！
喪黒,私は言ったはずです。若身黒酢の使用はほどほどにしておけ、たしなむ程度にしろ……と
ひの,ええ……。僕は喪黒さんの言いつけを守って、黒酢はたしなむ程度に……
喪黒,じゃあ……、ひのさんが今持っている水筒は一体何ですかねぇ？
ひの,そ、それはその……
喪黒,私はあなたに忠告しましたよ。人間、一番いいのは自然な形で年を取っていくことだ……と
ひの,そうは言ってはいられません。僕はあの黒酢を飲んで、もっともっと若くなりたいんです！
喪黒,そうですか……。ではお望み通り……。あなたを、もっともっと若返らせてあげましょう！！。ドーーーーーーーーーーーン！！！
ひの,ギャアアアアアアアアア！！！
朝、銀河テレビ。いつも通り、情報番組,朝バズ！
ひの,大原なつみ選手、おめでとう！全米テニス女子の優勝、まさに快挙だ……。よ…………
男性アナウンサー、女性アナウンサー,ああっ！！
ひの,オギャーーッ！！！オギャーーッ！！！オギャーーッ！！！
喪黒,昔も今も……。人々の多くは、永遠の若さに対する憧れと、老いることに対する悩みを抱えながら生きています
