神谷奈緒,お疲れ様でーす
奈緒,ところで、プロデューサー。ある人からの依頼ってどういうことなんだ？
メメ,わかった。さて、電話しますか。阿良々木くん。快諾してくれたよ
奈緒,私からしたら、弱みを握られているとしか
メメ,すぐに来るとさ。
比奈,プロデューサー。ひどいっス。あの時期に連日でマストレさんのレッスン入れようとするとか
メメ,急ぐ理由を作っただけさ
奈緒,比奈さん。どういうことだ！？
比奈,阿良々木さんじゃないでスか。この状況を楽しんでいる
奈緒,ああ、もう。説明してくださいよ
比奈,ＢＧＭを流してもらえないスかね。やる気になれるのデスから
メメ,わかった。始まりは、俺がアニメの世界が現実になったらなぁと言ったことからだ。そうしたら、比奈が面白そうですネとウキウキな声で答えてくれた。それから、アニメのことについて比奈と小一時間話した。
比奈,話した後、この事務所っていろんな人の集まりですね。アニメの世界観とかすぐにできそうッスねと
メメ,それを聞くと、俺のいたずら心が刺激された。
比奈,あの時のプロデューサー、すごく楽しそうな表情だったッス
メメ,俺は、思ったことを比奈に話した。比奈は乗り気になったよ
比奈,誰かを標的にしたらより面白くなると2人で相談し
メメ,その答えが奈緒ということになった
奈緒,そう思ったことはあったけどさ、少しはな。実際に体験するとはなぁ
メメ,何を題材にしたらよいか比奈と話し合った
比奈,話し合った結果をもとにメンバーを募集したっス
メメ,その結果が今の状況さ
奈緒,みんな乗り気だな。あれ、千石役と神原役は？
比奈,千石役はＰさんが募集しなかったッス
メメ,神原役は…。阿良々木くんは誰かに神原役をやらせようと思っているのかい？
奈緒,神原はダメだ。やった人の精神が崩壊する
メメ,ということだ。君は察しがいいね。さてＢＧＭを変えて話を続けよう。集めたメンバーに趣旨を話した。みんな、引き受けてくれたよ
戦場ヶ原,みんなでアニメを見たとき、何か似てるねと思ったよ
羽川,私なんて…と思っていました。キャラクターがそっくりでしたのでやれそうと思いました
八九寺,風香お姉さんはそっくりでこぜーやした。仁奈もやる気でしたよ
忍,演技のレッスンダと言われたら、アニメを見ることだったワ。エンジョイネ
キスショット,私の魅力がＰさんを動かしたものね
メメ,というわけだ。募集した後、合同でのレッスンを秘密裏に行ったのさ
奈緒,そうだったのか
メメ,阿良々木くん。拍子抜けしたのかい
奈緒,ああ
メメ,では、先ほどのＢＧＭで八九寺ちゃんの家庭の事情を話すとしますか
八九寺,おうちの事情でこぜーますか？
奈緒,おい、やめろ
メメ,冗談だよ。さて、この場を終わらせられる人を呼びますか
奈緒,誰に電話したんだ
メメ,着いてからのお楽しみだ
のあ,Ｐ。来たわ
奈緒,のあさん。ナンデ？
メメ,早いな。アレ、歌ってくれないか
のあ,あなたの望みなら。
比奈,思った以上に雰囲気ピッタリじゃないスか
奈緒,私が歌ったのとは違うな。というか、ナンデ？
メメ,似合うと思ったからさ
奈緒,納得以外の言葉が浮かばない
メメ,さて、終わりとしますか。みんな。よーし、お疲れ様の会をしようじゃないか。比奈のおごりでな
比奈,ちょっ。待つッス。今月ピンチなんですから…
