透華,このSSは松実姉妹の平凡な日常を淡々と描くものですわ。過度な期待はしないでくださいまし！
玄,おねーちゃんは私だけのおねーちゃんじゃないからね、みんなのおねーちゃんだから
淡,ふーん、そういうものなのかー
玄,それに私はヤキモチより、おもちの方が・・・。おや？
淡,お客さん？
玄,誰だろ？穏乃ちゃんか憧ちゃんかな？
？？,淡！ここにいるのはわかってるんだぞぉ！
淡,！？。あっちゃー・・・この声は・・・
玄,はいはーい、どちら様ですかー？
誠子,どうも、うちの淡がお邪魔してます
玄,あっ、亦野さん
淡,げぇー、やっぱり誠子先輩だー
誠子,やっぱりここにいたか淡！今日はレギュラーミーティングだと言ってただろう！
淡,えぇ～、だってあれつまんないんだもん
誠子,つまんないとかそう言う事じゃなく、お前も白糸台のレギュラーならもっとその自覚を持て！。お前のせいで私が弘世先輩に怒られるんだからな・・・
淡,わかりましたー、もー行けばいいんでしょう行けばぁ・・・
宥,あれ？淡ちゃん帰っちゃうの？
咲,あっ、あの人も白糸台の人だ
誠子,どうも、うちの淡がいつもいつもお世話になって・・・
宥,いえいえ、淡ちゃんはとってもいい子ですよ
淡,だよねー宥
誠子,調子に乗るな！
淡,いったーい！なにも殴らなくてもいいじゃん！
誠子,調子に乗るお前が悪い！大体年上には敬語を使えと毎度・・・
淡,ええーん宥ー、痛いよー
宥,よしよし淡ちゃん、痛かったね
咲,あっ・・・いいなぁ、なでなでしてもらって
誠子,こっ、こら淡！
宥,亦野さん、たとえどんな理由があったとしても暴力はいけません
亦野,・・・・・・うっす、やりすぎました
宥,淡ちゃんに謝ってください
亦野,はい・・・淡、殴って悪かった
淡,も～これからは気をつけてよね！
亦野,・・・戻ったら、円形麻雀100局の刑だ
宥,でも淡ちゃん、亦野さんをあんまり困らせちゃ駄目だからね？
淡,はーい、ごめんなさーい
咲,優しいなぁ宥さん、まさに理想のお姉ちゃんだよ・・・
菫,・・・
照,相も変わらずまたストーカー・・・
菫,ストーカーではないと言ったはずだぞ照。それに照、今日私はある覚悟をしてここに来た
照,覚悟？また大袈裟な・・・
菫,これを見ろ
照,・・・何その重箱
菫,宥も気に入るあったか～い私特製弁当だ
照,そんな大量に・・・
菫,ほんとは鍋を持ってきたかったんだがな、さすがに無理だった
照,そりゃそうでしょ
菫,恋愛において胃袋を掴むことは、重要なことだ
照,そうだろうけど・・・。今のこの時間、絶対にそんなおなか減ってないと思うんだけど
菫,なんだ照、味見がしたいのか？仕方ないな
照,何にも言ってない・・・はぐっ
菫,どうだ味の方は？
照,・・・以外とおいしい
菫,以外とは余計だ、だがまぁよしとしよう
照,もうちょっと・・・
菫,ふふふふっ、この弁当を宥にも食べてもらうんだ、そして・・・。宥、どうだ私の作った弁当の味は？
宥,とっても・・・おいしいです
菫,そうか
宥,・・・ただ、一つだけお願いがあります
菫,お願い？なんだろうか？
宥,・・・してください
菫,えっ？よく聞こえないなぁ・・・
宥,私に・・・あーんってして食べさせてください
菫,宥・・・ふっ、全く仕方ないな。ほら、口を開けて・・・あーん。んふっんふっんふふふふふふふっ・・・
照,この野菜を鶏肉で巻いたやつおいしい
灼,あっ、白糸台の
照,あっ、阿知賀の部長さん・・・食べるこれ？
灼,えっ・・・えっと・・・
照,結構いけるよ？
灼,・・・じゃあ一つ。・・・ほんとだおいしい
照,でしょ？
灼,冷めてなくて、あったかいからなおのことおいしいですね
照,なんか特別なお弁当箱みたい
灼,これはご自身でお作りに？
照,ううん、私じゃなくてあっちにいる・・・
菫,はぁー・・・なんだか汗ばんできたな・・・
照灼,ぶうううううううーーーー！！
照,何やってるの菫！？
菫,なんだ照・・・騒がしいぞ？
照,そりゃあこうなるよ！なに脱いでるの！？ここ外だよ！？
菫,いやぁ急に汗ばんできてな・・・、まぁあったかい方が宥に好かれるしいいんだが・・・
照,それ以前の問題があるでしょうがぁ！？
灼,うわぁ・・・やっぱりこの人、気持ち悪い
菫,あったかいのはいいんだが、汗ばんでるのは流石に印象が悪いだろ？
照,だから！そういう問題じゃ無いって！。ほらっ！汗なら私が拭いてあげるから・・・
菫,やめろ照、そのくらい自分でできる
灼,チャンピオン宮永照は、面倒見がいいんだね・・・。私なら、あんな人と関わるのはちょっと・・・
菫,はっ！今ティーンときた！
照,どうしたの菫？
菫,私は松実宥に汗を拭いてもらいたい！
照,はぁ？
灼,やっぱ気持ち悪い
菫,例えばだな・・・。すまない宥・・・私が風邪を引いたばっかりに・・・
宥,気にしないでください、私が尽きっきりで看病させていただきますから
菫,そんな・・・悪いよ、風邪が移っちゃいけないし・・・
宥,菫さんを放っておく事の方が、私には出来ません
菫,宥・・・
宥,大分汗をかいてますね、汗を拭きましょうか・・・。服・・・脱がさせてもらいますね？
菫,ふなぁああああああああああああああ！！！！
灼,ひぃい！気持ち悪い！！！
照,菫！？大丈夫！？
菫,はー・・・はー・・・はー・・・・熱い・・・熱いぞ照・・・
照,ちょっと菫、ほんとに・・・
菫,体が熱い・・・燃えるようだ・・・そうまさにこれは！。燃えるような恋を体が表して・・・へっくちゅん！
照,菫、もしかして風邪？
菫,なっ！？照、お前私の心の妄想が見えるのか！？
照,はいっ？
灼,そりゃ屋外であんな格好してたら、風邪ひいてもおかしくないよ
照,とりあえずほら、早く服着て
菫,何故だ！私は今熱いんだ！服なんて着なくていい！
照,そのうちすぐ寒くなるよ！ほら、ひどくならないうちに・・・
菫,嫌だ！着たくない！私は恋に燃える女、バーニングシューター菫だ！
照,ほら！熱のせいで頭がおかしくなってるよ菫！
灼,元からじゃない？
菫,私があったかい人間だということをアピールするためにも、服なんて邪魔だ！。そんな物無くても私は・・・へっくっち！いっくしゅん！
照,菫～・・・、お願いだから服着てよー・・・
菫,やだ、・・・・・くちゅん
灼,どうしよこれ、このままじゃ人が集まっちゃうよ・・・
宥,どうしたの灼ちゃん？
灼,あぁ宥さん、実は・・・・・・えーっ！？宥さん！？
宥,何の騒ぎ？
灼,どうしよう！ここで宥さんとあの人が会っちゃったら、きっと大変なことに・・・！！。どうしよう！どうしよう！！どうしよう！！！
菫,へっくちゅん！いっくしゅん！ぴくしゅん！
宥,・・・あの人
照,ほら菫、やっぱりひどくなってる。ほんとはもう体が冷え切って、寒いんでしょう？
菫,・・・・・・寒くない、暑い・・・いっくしゅん！
照,うそつけ
宥,あの・・・大丈夫ですか？
菫照灼,！？
照,この人いつのまに！？
灼,終わった・・・カーニバルの始まりだ・・・
菫,・・・
宥,顔が真っ赤ですよ？こんなに汗もかいて・・・風邪ですか？
菫,・・・
宥,駄目ですよ無理しちゃ、風邪からべつの病気になることだってあるんですからね
菫,・・・
宥,あっそうだ、これ使ってください予備用のマフラーです
菫,・・・
宥,私が今しているのと色違いで青色なんです、あったかい色じゃないから私はあまり使わないんで
菫,・・・
宥,それじゃあ私はこれで、お体には気をつけてくださいね
菫,・・・
照,帰っちゃった・・・
灼,最悪の事態には陥らなかった・・・のかな？
菫,・・・
照,・・・菫？
照灼,！？
照,菫！・・・！すごい熱、救急車をお願い！
灼,はっはい！
照,菫！菫！しっかりして！菫！
菫,・・・
照灼,！？
菫,えへへへへへへへっ、宥とお揃いのマフラー・・・
照灼,・・・駄目だこれ
洋榎,ちゅうわけで、ちょっと早い気もするけどうちらの出番やでー
絹恵,・・・
洋榎,どうしたん絹？えらい元気ないやん？
絹恵,・・・なんでもないばい
洋榎,ぎゃーーー、絹が陰気なメガネ博多っ子になってしもたー
絹恵,・・・すいません
洋榎,なんなん！？うちが悪いん！？全部うちのせいにするわけ！？
絹恵,急にヒステリックにならんでも・・・
洋榎絹恵,・・・
絹恵,お姉ちゃん、これで良かったん？
洋榎,なんや知らんけど、おかわりってこんな感じらしいわ
絹恵,・・・・・・・・そうなん？
チョウテンマデアト～ヒトイキ～～♪,ED
玄,はいどうも、松実玄です！。家にはいろんな子がくるよねー。なんだか溜まり場？みたいになってきてるよね？。まっ、おねーちゃんも私もわいわいしてる方が好きだからね。最近じゃ、家に来るときお邪魔しますじゃなくてただいまって言う子がいるくらいだもん。・・・。ごめんなさい、今のは嘘です。というわけで次回、まつみけただいま。さてさて次回はあるのかな～？
宥,無いの？
玄,・・・さぁ？。予定は未定って言うしね
