財前時子,朝から、うるさいわね
久美子,えっと、二人も大興奮の品揃えです。というか、どういうテンションでいればいいのかしら、私……
恵磨,おーい、久美子ちゃん、こっちこっち！
久美子,ちょっと伸びたね
恵磨,もう２時かぁ、予定以上のお店は無理っぽいか
時子,そうねぇ
久美子,仕方ないけど、その分お昼休憩もゆっくりだし
時子,思ったんだけど
恵磨,なんすか、時子ちゃん
時子,今日の撮影、どれぐらいになるのかしら
久美子,いつも通りだと、午後の含めて１０分くらいかしら
時子,午前中からロケしてるのに短いわねぇ
恵磨,番組のコーナーの一つだもんね
久美子,他のコーナー含めた編集で、もっと短くなるかもね
時子,気にくわないわねぇ
恵磨,そうだねぇ
久美子,……
時子,メインの番組欲しいわね
恵磨,欲しい
久美子,旅番組がいい
時子,ええ
恵磨,うん
久美子,ＰａＰ、旅番組用意してくれないかしら
３人,……
時子,辛気臭いわ。美味しい豚が台無しだわ
恵磨,追加を頼もう！牛がいい！
時子,嫌よ、あんな乳臭い肉は。豚にしましょう
久美子,豚は美容にもいいもんね
恵磨,えー、じゃあ豚にする
時子,決まりね、そこの貴方！
店員Ｂ,はい、時子様！
時子,和豚盛り合わせを
店員Ｂ,か、かしこまりました！
時子,至急よ
店員Ｂ,よろこんで！
時子,それと、色紙持ってきなさい。サイン書いてあげるわ
店員Ｂ,なんと、なんと身に余る光栄です……。至急行ってまいります！
恵磨,時子ちゃん、よく自分のファン見分けられるね
時子,私を見る目が違うもの。ピーピー鳴きたそうな目をしてるわ
久美子,なんていうか、凄い
恵磨,なんだかんだ言って、時子ちゃんサービス精神旺盛だよねぇ
時子,まさか。私は崇められたいだけだわ
店員Ｂ,おまたせしました！
時子,あら、遅いわね
久美子,ものすごい早かったと思うんだけど……
店員Ｂ,サービスしておきました！
恵磨,おー、スゲェ！豚とは思えない霜降り
時子,へぇ、貴方もやればできるじゃない
店員Ｂ,ありがとうございます！これが色紙です！
時子,なんで、２枚あるのかしら？まさか、個人用？
店員Ｂ,よ、よろしくお願いします
時子,私に命令するの？
店員Ｂ,い、いえ、そんなことは……
時子,気分がいいから、許してあげるわ。お貸しなさい！
店員Ｂ,あ、ありがとうございます！
時子,ペンは？そんなものも用意できないの？
店員Ｂ,ただいま！
恵磨,美味しいね、この豚肉
久美子,柔らかくて甘みぎっしり
時子,貴方達、早いわよ！私の分はあるのかしら？
恵磨,もちろん！
久美子,もちろん♪美味しいから食べて
ＰａＰ,おー、お昼はどうだった？
久美子,美味しかったよ、ＰａＰ
時子,まあまあね
恵磨,ＰａＰは、お昼はいいの？
ＰａＰ,オレの昼飯はこれ
久美子,次のお店のやつだね、デザート
恵磨,てか、いくつ食ってんの？
ＰａＰ,５つ目
時子,食べすぎよ
久美子,お昼がわりとはいえ、というかお昼代わりにしてるのもおかしいけど
ＰａＰ,いや、君たちのためなんだよ
久美子,私達のため？
ＰａＰ,そうだ、君らが美味しそうに食べてたら、おそらくオレは涎を垂らしながら見るはめになる。そのうち歯を食いしばり始めて、はやく終われというオーラを出し始める。それだとスタッフさんもやりずらいだろ？
時子,ハァ
ＰａＰ,なら先に食べて満足してれば良い。おっと、そろそろ時間か。もう一つ食いながら、眺めてるから、頑張ってねー
恵磨,相変わらずだね
久美子,ええ……
時子,そう言えば、前ね、聞いたことがあるのよ
久美子,何を？
時子,好きな名古屋の食べ物
恵磨,なんて言ってたん？
時子,ういろうと小倉トーストとイチゴパスタ
久美子,……なんで、そんなチョイスなの
恵磨,……Ｐちゃん、ちょーやばーい
久美子,ねぇ、みんな、デザート食べたくない？
時子,そうねぇ、肉汁にまみれた口をリフレッシュしたいわ
久美子,そんなわけでこちらのお店をご紹介です。TatliTatlimさんです！
恵磨,じゃーん！
時子,じゃーん！
久美子,……ぷふ、ごほん、皆さん何語だと思います？
恵磨,おー、見て見て！すげー、アイス伸びてる！
時子,トルコアイス？
恵磨,そうそう、トルコアイスだ！
久美子,そう！Tatli,Tatlimはトルコデザートのお店なんです！甘くて、甘い人って意味なんだって
恵磨,あの兄ちゃん、トルコ人？
久美子,そう、トルコ人シェフが本場の味をお届けするお店なんですよ
恵磨,スゲェー、アイス以外もたくさんある！
時子,トルコ料理って、デザート豊富なのね、知らなかったわ
久美子,アイスだけじゃないんですよ、トルコ人は甘いもの大好きなんですよねー
恵磨,アイス練ってる兄ちゃんが親指立ててる
時子,フムン、イスラム圏は甘いもの好きって聞いたことあるわねぇ
恵磨,アイス食べよーよ、時子ちゃん！
時子,ショーケースに並んでるのも気になるけど、まずはそこね
久美子,味も豊富ですよー
恵磨,アタシはチョコ！
時子,私はバニラを
久美子,ふふ
時子,なによ、久美子。その堪えた笑いは
久美子,なんでもなーい、お兄さん、それください♪
時子,私のバニラね
恵磨,おー、練ってた棒とコーンにアイスが張り付いてる
久美子,水分が少なくて濃厚なんだよね
時子,ありがとっ、ん！
恵磨,ぷぷ、取る直前に回された。アイスが逆立ってるよ！
久美子,むふふ
時子,久美子の時は普通に渡したじゃない！大人しく渡しなさいよ！
恵磨,大人しく戻した
時子,それでいいの、よ
久美子,ぐふふ
時子,もう！渡し！てよ！
恵磨,アイスが欲しくて、必死に手を伸ばしてる！
久美子,目が真剣すぎるよ、ふふふん
時子,はぁはぁ、そういいのよ、大人しく渡せば
恵磨,すげっえ、嬉しそう
久美子,嬉しそう、ふふふぅ
時子,久美子、あなたの意外な一面が見えてよかったわ。覚えておきなさい
久美子,アイス、美味しい？
時子,美味しいわよ！憎たらしいくらい！
恵磨,お兄さん、ウィンクしてるよ
時子,ふん！
恵磨,おにーさん、アタシのちょーだい！
時子,くるしめばいいわ……
恵磨,おー、クルクル回る！
時子,ピョンピョン跳びなさい、恵磨……
恵磨,ありがと！お兄さん、大好き！
時子,なんでやらないのよ！
恵磨,おいしー！ちょー濃厚！
久美子,今日はイ○ンモール××店から、松山久美子と
恵磨,仙崎恵磨と
時子,財前時子でお送りしたわ
久美子,スタジオにお返ししまーす！
ＰａＰ,お疲れさーん
時子,疲れたわよ
恵磨,時子ちゃん、気にいったんだ
久美子,２戦目も良かったね
時子,なんであんな所で体力使わないといけないのよ！
ＰａＰ,ま、お約束みたいなもんだしさ。それじゃ、スタッフに挨拶してこいよー
久美子,わかった。ＰａＰは？
ＰａＰ,オレは主に自分と志保用のお土産を選んでるから、帰る時に呼んでくれ
時子,貴方やっぱりおかしいわよ
久美子,ただいまっ
恵磨,ただいま帰りました！
ＰａＰ,お疲れ様でーす
ちひろ,お疲れ様です
ＰａＰ,ちひろちゃん、書類貰える？
ちひろ,今日の報告書ですか？
ＰａＰ,そうそう
ちひろ,準備しますねー、少し待っててください
ＰａＰ,はいよー
恵磨,ふー、終わったねぇ
時子,なんか無駄に疲れたわ
久美子,少しゆっくりしていく？
ＰａＰ,よいしょ、っと。オレも休憩
槙原志保,あ、Ｐａさん♪お疲れさまです！
ＰａＰ,お、タトゥーリム
久美子,えっ……？
志保,タトゥーリム？
ＰａＰ,いや、なんでもない。そうお土産買って来たんだ
志保,これ、ブランマジェですか？
ＰａＰ,厳密には違うらしいよ、タウクギュース？とかいうトルコのデザート
志保,へー、美味しそう♪皆さん、一服しませんか？お茶いれますよ
恵磨,うん、ちょーだい
時子,私も貰うわ
ＰａＰ,オレもお茶頂戴。それも切り分けてよ
志保,はーい♪久美子さんはどうします？
久美子,え、ええ、私も貰う
志保,はい♪うーん、これに何があうかなぁ……
ちひろ,ＰａＰさん、書類は社内サーバーに置いておきました
ＰａＰ,ありがとー。ちひろちゃんも一服する？
ちひろ,いいんですか、なら遠慮なく。志保ちゃーん、手伝いますよー
時子,ふぅ、疲れたわね。ところで、貴方
ＰａＰ,なんだい？
時子,私達の番組取ってきなさいよ、一日撮影で１０分ないとか
ＰａＰ,欲しい？
時子,ええ
恵磨,うん
久美子,やりたい
ＰａＰ,いいよ
時子,……ハァ？
ＰａＰ,そこまで言われたらしかたがないね、ねじ込むよ。オレは３人が仲良くなってくれて、嬉しいよ
恵磨,プロデューサーって、実は凄いのか？
久美子,……わかんない
時子,なんか癪に障るんだけど
志保,みなさーん、コーヒーに入れてみました、あうと思います♪
ＰａＰ,ありがとう、志保。さてさて、デザートデザート
時子,認めないわ、ただの甘党じゃない
恵磨,極度のね
久美子,……
時子,どうしたの、久美子？
久美子,いえ、なんでもない
志保,はーい、切り分けてきましたよー。みんなで食べましょ♪いただきまーす♪
久美子,Tatlim、タトゥーリム、甘い人って意味のシャレよね
志保,おいしーい♪
ＰａＰ,次は案内するよ。品ぞろえ良かったよ
志保,ほんとですか？嬉しい♪
久美子,……やっぱりかぁ
志保,久美子さん、どうしました？
久美子,ううん、なんでもない。やっぱ、愛しい人か
恵磨,名古屋！いいね！
時子,嫌よ、何も楽しくない。海外がいいわ
恵磨,海外！いい！
久美子,……がんばろ
ＰａＰ,久美子ちゃんはどこがいい？
久美子,そうね、南国がいいかな、ＰａＰ♪
