島村卯月,※以下卯月表記
凛,……うん、そうだね……それで、どうしようか……
卯月,うーん……あっ、ちょうど楓さんがプロデューサーさんの近くにいるよ！ちょっと覗いて、参考にしてみようよ
凛,本当だ……どれどれ？
楓,プロデューサー、今日お仕事おわったら、飲みいきましょう
P,またですか？
楓,良いじゃないですか、今はそんなに忙しくないですし……それに、私はプロデューサーと飲むの好きですよ。……それとも……プロデューサーは私と飲むのは、嫌ですか……？
P,そんな訳ないじゃないですか……わかりましたよ
楓,良かった……ふふっ
卯月,……どう？凛ちゃん、参考になりそう？
凛,……うん……これだ……！。よし……今ここに居るのはプロデューサーと私だけ……よし。プロデューサー、今日仕事が終わったら飲みに行こうよ
P,は？何言ってるんだよ、凛は未成年だろ
凛,良いじゃん、別に……今はそんなに忙しくないし……それに私はプロデューサーと飲みに行きたい。……それとも……プロデューサーは私と飲み行くのは、嫌……？
P,凛
凛,何？
P,お前さっきなんて言った？
凛,えっ？
P,未成年だろって言ったら別に良いじゃんとか言ったか？
凛,あ、えっと……
P,凛
凛,うん
P,正座
凛,うん
P,さて、と……
凛,…………
卯月,凛ちゃん、どうだった？
凛,駄目だった……
卯月,そっかぁ……それじゃ、次はどうしようか考えようよ！
凛,……うん、そうだね……それで、どうしようか……
卯月,うーん……あっ、ちょうど加蓮ちゃんがプロデューサーさんの近くにいるよ！ちょっと覗いて、参考にしてみようよ
凛,本当だ……どれどれ？
P,あーなたーとはーなれてしまうともうもーどーれなーいー♪
加蓮,…………
P,ほらね♪なみだ♪ひとつーぶもでなーいー♪
加蓮,……っ！。んっ、けほっ！ごほ！
P,こころがっ……！？加蓮！？大丈夫かっ？どこか悪いのか！？
加蓮,……ち、違っ……ん、飲み物が変なとこに入っただけで……
P,本当かっ！？本当に大丈夫なんだなっ？
加蓮,プ、プロデューサー！？お、おでこに……手が……///
P,おい、赤くなってるじゃないか！それに、ちょっと熱もあるんじゃないかっ？
加蓮,ぁ……えと……うん……やっぱりちょっと、頭が……ボーッとする、かも……///
P,そうか……待ってろ、家まで送るけどその前にちひろさんに連絡して……それまで……ごめん！一度、仮眠室まで運ぶぞ！
加蓮,ひゃっ！？……あ……お姫様抱っこだ……えへっ
P,ごめんな……仮眠室に着くまでの間だけ、ちょっと我慢してくれよ
加蓮,ううん、平気っ♪
P,それじゃ、なるべく揺らさない様に行くけど、落ちない様に気を付けてな
加蓮,うんっ♪
卯月,……どう？凛ちゃん、参考になりそう？
凛,……うん……これだ……！。よし……今ここに居るのはプロデューサーと私だけ……よし
P,あのうーみあーのまーちーかどーはー♪
凛,…………。……あれ
P,おもいーでにーのこーりそうでー♪
凛,……！……！。……くっ
P,このこーいがーあそーびーならーばー♪
凛,…！…！…！…！。……なくなっちゃった……
P,わりきーれーるのーにー♪かんたーんじゃなーいー♪
凛,……どうしよう
P,うー、わっほい！
凛,……！。もう一杯飲めば良いじゃん、私ってば冴えてる……よしっ。プロデューサー……私、飲み物持ってくるけど何かいる？
P,じゃあねなんて……ん？あぁ、大丈夫だよ、ありがとう
凛,うん、わかった
P,そんな喉渇いてんのか……
凛,……準備出来た……。今度こそ……よしっ。…！…！…！。……んぐっ！？げほっげへっ！！がふ、ごほっ！うえほ！！ぐふっ！うえっっ！！
P,！？おいおいっ、大丈夫かっ！？
凛,けほっ……う、うん、大丈夫……こほっ……飲み物が、ちょっと変なとこに入っただけだから……
P,全く……気を付けてな？
凛,うん
P,……さて……わたしのものーにならなくていいー♪
凛,…………
P,そばにいるだけでーいーいー♪
凛,…………
P,あの子にもしもーあきたーらー♪すぐによびーだーしてー♪
凛,…………
P,こーわーれるーくーらーいにー♪だーきーしーめてー♪
凛,…………
卯月,凛ちゃん、どうだった？
凛,駄目だった……
卯月,そっかぁ……それじゃ、次はどうしようか考えようよ！
凛,……うん、そうだね……それで、どうしようか……
卯月,うーん……あっ、ちょうど雪美ちゃんがプロデューサーさんの近くにいるよ！ちょっと覗いて、参考にしてみようよ
凛,本当だ……どれどれ？
P,あおいーとりー♪
雪美,……P……
P,ん？おお、雪美か……どうした？
雪美,……抱っこ……抱いて……
P,あぁ、はいはい……おいで
雪美,んしょ……
P,よいしょ……これでいいか？
雪美,……ん……撫でて……
P,よしよし
雪美,……ふふ……
卯月,……どう？凛ちゃん、参考になりそう？
凛,……うん……これだ……！。よし……今ここに居るのはプロデューサーと私だけ……よし。プロデューサー
P,ん？おお、凛か……どうした？
凛,抱っこ
P,は？
凛,よいしょ
P,ちょっ！？おまっ……。……凛
凛,何？
P,一旦、離れようか
凛,……うん
P,ふぅ……さて……凛、俺が今なにをしてるか、わかるか？
凛,うん
P,何をしてる？
凛,仕事
P,そうだな……で、お前は俺に何をしようとした？
凛,抱っこしてもらおうとした
P,そうだな……言いたい事や聞きたい事は色々あるけど、まずは……
凛,うん
P,正座
凛,うん
P,さて……
凛,…………
卯月,凛ちゃん、どうだった？
凛,駄目だった……
卯月,そっかぁ……それじゃ、次はどうしようか考えようよ！
凛,……うん、そうだね……それで、どうしようか……
卯月,うーん……あっ、ちょうど乃々ちゃんがプロデューサーさんの近くにいるよ！ちょっと覗いて、参考にしてみようよ
凛,本当だ……どれどれ？
P,乃々ー、写真撮影の仕事行くぞー
乃々,……むぅーりー
P,ほら、そんな事言わずに……あそこは乃々を気に入ってくれてる人がいて、色々お世話にもなってるんだから……な？
乃々,……むぅーりー
P,はいはい……取り敢えず、時間無いから担いで行くな……よいしょ！
乃々,ひゃわっ！？ひ、人さらいー……
P,落ちるから暴れない……このまま車まで我慢してくれなー
乃々,……むぅーりー
卯月,……どう？凛ちゃん、参考になりそう？
凛,……うん……これだ……！
P,凛、今日は前やった所と同じファッション誌の写真撮影の仕事なんだけど……今日も手が空いてる人がいないから、いつも悪いけど電車かタクシーを使って貰って一人で――
凛,無理
P,行ってもら……え？なんだって？
凛,無理
P,……どうした？どこか悪いのか？
凛,え？えっと……ううん、別に……
P,……じゃあ、もしかして何か嫌な事でもあったか？誰かに何か言われたとか、何かされたとか……
凛,えっと……いや、大丈夫だよ……
P,本当か？何かあったら、すぐに言うんだぞ？
凛,本当に平気、あそこは前に行った時もすごく良くしてくれたし、大丈夫だよ
P,他の所も大丈夫か？
凛,う、うん……本当に大丈夫、どこも皆すごく良くしてくれるよ
P,……そうか、なら良かった……で、俺はこれから年少組を何人か送り迎えしないといけないし、手が空いてる人はいないから凛は悪いけど一人で――
凛,無理
P,……凛
凛,何？
P,正座
凛,うん
P,……あのさ、何考えてんのわかんないけど、俺も暇じゃないんだよ……これから年少組を――
凛,……ごめん
卯月,凛ちゃん、どうだった？
凛,駄目だった……
卯月,そっかぁ……それじゃ、次はどうしようか考えようよ！
凛,……うん、そうだね……それで、どうしようか……
卯月,うーん……あっ、ちょうど愛梨ちゃんがプロデューサーさんの近くにいるよ！ちょっと覗いて、参考にしてみようよ
凛,本当だ……どれどれ？
愛梨,ふぅ……外は寒いですけど、暖房のせいなのか、室内は上着きてるとちょっと暑いですね
P,ん、そうか？そんなに設定温度は高くないけどな
愛梨,という訳で脱いで良いですか？
P,……良いけど、脱ぎ過ぎるなよ？
愛梨,むっ、そんな事しませんよ！なんですか、人を露出魔みたいに……ふん
P,するから困ってるんだろうが……
愛梨,よいしょっと……
P,…………
愛梨,……ふぅ……まだ暑いかな……もう一枚……
P,………
愛梨,……うーん……もう一枚……
P,ストップ
愛梨,えっ？
P,それ以上は駄目だ
愛梨,えっ……あっ、本当だ……これ以上脱いだら下着だけになっちゃいますねっ、えへへ
P,本当にお前は目が離せない奴だな
愛梨,てへっ
卯月,……どう？凛ちゃん、参考になりそう？
凛,……うん……これだ……！。ふぅ……外は寒いけど、暖房のせいなのか、室内は上着きてるとちょっと暑いね
P,ん、そうか？そんなに設定温度は高くないけどな
凛,という訳で、脱いで良い？
P,ん？あぁ、別に俺に聞く必要ないだろ
凛,あれ……うん、そうだね
P,…………
凛,よいしょっと……
P,…………
凛,……ふぅ……まだ暑いかな……もう一枚……
P,…………
凛,……うーん……もう一枚……
P,…………
凛,……あれ
P,…………
凛,……も、もう一枚ぐらい脱いでも大丈夫かなー
P,…………
凛,……あ、あとまだ一枚は平気かな
P,…………
凛,……け、結構暑いなー、まだ大丈夫そうだね
P,…………
凛,……あ、あとこの一枚脱げばなんとかなるかな
P,…………
凛,…………
P,…………
凛,……寒っ！
P,んー？暖房の温度は変えて……っっ！！？？？
凛,プロデューサー、大丈夫！？
P,凛
凛,何？
P,……取り敢えず、俺は後ろ向いたまま部屋から出るから、着替え終わったら呼んでくれ
凛,うん。終わったよ
P,凛
凛,うん
P,正座
凛,うん
P,さて……
凛,…………
卯月,凛ちゃん、どうだった？
凛,駄目だった……
卯月,そっかぁ……それじゃ、次はどうしようか考えようよ！
凛,……うん、そうだね……それで、どうしようか……
卯月,うーん……あっ、ちょうどありすちゃんがプロデューサーさんの近くにいるよ！ちょっと覗いて、参考にしてみようよ
凛,本当だ……どれどれ？
P,ありすー
ありす,なんですか？後、私のことは橘って呼んで下さい
P,お前まだそんな事言ってんのかー……可愛くない奴だなー
ありす,……別にあなたに可愛いなんて、思われたくありません……で、何の用ですか？
P,いや、ちょっと暇だからありすと話したいなーって
ありす,だったら、私は忙しいのであとにして下さい……後、橘です
P,タブレットでゲームしてるだけだろ？ありすー
ありす,やめて下さい、そして橘です
卯月,……どう？凛ちゃん、参考になりそう？
凛,……うん……これだ……！
P,りーん
凛,何？後、私の事は渋谷って呼んで
P,明日の仕事の……凛？今なんて言った？
凛,私の事は渋谷って呼んで
P,え……凛、何言って――
凛,渋谷
P,…………
凛,…………
P,…………
凛,……あれ？
P,……そっかぁ……
凛,あれ……えっと、プロデューサー？
P,ごめんな……俺、今まで凛とはある程度お互いに信頼し合ってた思ってたんだけどな……
凛,あの、えと……その……
P,勘違いだったんだな……っ……ごめんな……っ、ぅっく……
凛,！？プロデューサー！違うの！これは――
P,……！……あぁ、ごめんな！明日の事はちひろさんから伝える様にするから、じゃぁな
凛,プロデューサー！待って！違うんだってば！プロデューサー！！
卯月,凛ちゃん、どうだった？
凛,泣かれた……
卯月,そっかぁ……それじゃ、次はどうしようか考えようよ！
凛,……うん、そうだね……それで、どうしようか……
卯月,うーん……あっ、ちょうど留美さんがプロデューサーさんの近くにいるよ！ちょっと覗いて、参考にしてみようよ
凛,本当だ……どれどれ？
留美,P君、これらの書類を確認してサインしてもらえる？
P,あぁ、はい。わかりました。……あの、留美さん
留美,何かしら？
P,事務仕事を手伝ってくれるのは非常にありがたいですが、俺がサインと押印する書類の中に婚姻届け混ぜるのやめてもらえませんか？
留美,あらごめんなさい、うっかりしてたわ
P,何故俺の名前以外記入済みの婚姻届けを、常に持ち歩いているかを小一時間問い詰めたい所でもありますけど。まずは取り敢えず、その月数十回のうっかりをやめて頂けると助かります
留美,ええ、気を付けるわ
P,たまに勢いで書きかけて、冷や汗出ましたよ……全く
留美,……ふふふ
卯月,……どう？凛ちゃん、参考になりそう？
凛,……うん……これだ……！
P,このーさかーみちーをーのーぼーるーたーびにー♪
凛,プロデューサー
P,あなーたが……ん？どうした、凛？
凛,これ……プロデューサーのサインが必要な書類、書いてくれる？
P,あぁ、学校と家関係のやつだな……わかった。……凛
凛,何？
P,この婚姻届けはなんだ？
凛,あぁ、ごめん。うっかりしてた
P,俺の名前以外記入済みなんだけど
凛,うん、うっかりしてた
P,凛
凛,うん
P,正座
凛,うん
P,さて……
凛,…………
P,凛
凛,うん
P,結婚ていうのは、法律上……男は18歳、女性は16歳にならないと出来ない
凛,……うん
P,例え、お互いがどんなに愛し合っていてもだ
凛,……うん
P,……だから、これはお前が責任を持って預かっていてくれ
凛,ん……？あれ、プロデューサー……これ、プロデューサーの名前が……
P,もし、1年経っても凛の想いが変わらなかったら……
凛,っ……
P,その時は……一緒にそれを出しに行こうな
凛,プロデューサー！
