モバマスより小日向美穂,たぬき
桃華,お二人にも皆さんにも、いつもお世話になっていますもの。せっかくの夏休みなのですから、これくらいはさせてくださいませ♪
Ｐ,おぉおぉおぉ……！
ちひろ,後光が、後光が見える……っ！
桃華,そんな！お二人とも、頭を上げてくださいまし。わたくしも旅行を楽しみにしていますのっ。皆さんの素敵な思い出になれれば、と……
Ｐ,桃華！
ちひろ,いい子！
桃華,きゃうっ……♡も、もう、わしゃわしゃしないでくださいましっ♡
ちひろ,皆さーん、旗のとこに集まってくださーい
一同,はーいっ
ちひろ,点呼を取りますよー。それじゃ楓ちゃんから順番に、どうぞ
楓,１♪
芳乃,にー、でしてー
茄子,３です～♪
美嘉,４★
みく,５にゃっ
こずえ,ろくー……
イヴ,７ですぅ！
藍子,８ですっ
卯月,９です！
凛,１０
未央,１１っ！
美穂,１２です！
幸子,１３です！不吉な数字でもカワイイボク！
響子,１４っ
小梅,じゅ、１５……
輝子,１６……フヒ
茜,１７！！！
奏,１８よ
フレデリカ,でぃすぬふ～♪
奈緒,２０！
加蓮,２１ー
蘭子,ⅩⅫ！
桃華,２３ですわっ
志希,とぅえんてぃーふぉー
周子,２５～
紗枝,２６どす～
菜帆,２７で～す♪
智絵里,に、２８ですっ
由愛,えと、２９です
アナスタシア,トゥリーツァチ♪
ライラ,３１……アイスクリーム屋さんみたいですねー
莉嘉,３２っ☆
まゆ,３３ですよぉ♡
美玲,３４！ウチで最後だなッ
ちひろ,はい、結構です。引率の私とプロデューサーさんを足して３６名、みんないますね！
Ｐ,ほぼ学校のクラス一つ分ですね。いやー増えたなぁ
楓,賑やかでいいですねぇ
ちひろ,それじゃ、お宿に荷物を置きに行きましょうか。ええと、確かバスが来るって……
Ｐ,あ、来た来た。あれですね
運転手,やあ、よく来たね。みんな楽しんでくれたまえ
Ｐ,この運転手さんやたらイケメンだな
こずえ,おんなのひとー……だよー……？
美穂,はぇぇええぇ……
周子,めっ……さ、ゴージャスやん
未央,こ、これ、ヴィラっていうんだよね！？
凛,こういうの初めて……
卯月,私も一回しか行ったことなかったです……！
未央・凛,一回あるの！？
ちひろ,ここで二泊三日、ヴィラ一室につき四人ですね。部屋割りはクジとかその他もろもろの都合で決めますよー
Ｐ,……なんとなくこうなる気はしてましたよ
楓,あら、それって期待してくれてたってことですか？
ちひろ,まあ大人組は一まとめということで……
茄子,夜が楽しみですね～♪
Ｐ,に、逃げ場が無い……ッ。と、ともかく。今えーと１２時前だから……水上ラウンジで昼飯を用意してくれてるそうです
ちひろ,食べたら夜まで自由時間です。それじゃ、行きましょうか
奈緒,うわぁぁああ……！？
莉嘉,すっごーい！こんなのテレビでしか見たことないっ！
茜,凄いです！！エビや貝やお魚がっ！！組体操をしていますっ！！
コック,ははっ、言い得て妙だな。なに、せっかくの南国だ、ひとつシーフードタワーをご賞味いただこうと思ってね
Ｐ,コックの人もやたらイケメンだな！
ちひろ,お世話になります、ええと……櫻井家の方ですか？
コック,生憎そうじゃないんだ。桃華の隣を取ってしまっては爺やに恨まれてしまうよ
奏,？……！？。真奈美さん。あなたも来ていたの？
真奈美,やあ奏、しばらくだな。そっちの活動も順調そうで何よりだ
Ｐ,え、なに知り合い？
奏,というより、先ぱ……友人ね
桃華,真奈美さんはわたくし達の大切なお友達なんですの。もちろん彼女のお宿も取っていますわ！
真奈美,改めて、木場真奈美だ。君の噂はよく聞いているよ、プロデューサー君
Ｐ,あ、ご丁寧にどうも。こちらこそわざわざこれほど立派なランチを用意して頂いて……
真奈美,いやいや。趣味の披露ついでにバカンスを楽しめるのだから、むしろ役得というものさ
Ｐ,本職じゃないんですか！！？
響子,このレベルのお料理で、趣味……！
真奈美,おや。君も料理に興味が？
響子,はいっ！あの、全部お一人でこれを作ったんですか？
真奈美,ああ。これほどの人数分を作るのは久々だが、手間分の味は保証しよう
みく,す、すごいけど、お魚祭り……
真奈美,もちろん苦手な子もいると思って、こちらに肉料理も用意してある。牛肉のタリアータはお好きかな？
みく,たりあ……？うわっおいしそう！やったにゃー！
茜,おーーーっ！おいしいですね！！。これはおいしいですよ！なんていったって、おいしいですからね！！。なんでしょう、一口食べた時こう思いました……おいしいと！！。まさしくおいしさで勝負してますね！！違う言い方をすれば、おいしいということです！！！
周子,語彙力
奈緒,とにかくすごくおいしいってことはひしひし伝わるな……あ、ほんとだおいしい！
美嘉,レベルたっか！これで趣味って半端ないじゃん……！
まゆ,本当……。まゆも、もっと頑張らなきゃ……！
真奈美,さて。大人の紳士淑女諸君には、極上のワインも用意しているが？
楓,あら、じゃあ早速……♪
Ｐ,いや昼からって……
楓,駄目ですか？
Ｐ,…………まあいいでしょう。せっかくのバカンスだし
楓,わーい♪
茄子,やった～♪
真奈美,高垣楓さん、会えて光栄だ。君の歌は何度となく聴かせて貰ったよ。陳腐な言い方だが、感服した
楓,こちらこそ。歌を歌う上で、真奈美さんの名前を知らない人はいません。それに、財団にこの者ありとまで称されるあなたですもの。私の方こそ、緊張の夏です……ふふっ
真奈美,はははっ、そこまでお見通しとはね。――それでは、素敵な出会いに
楓,ええ、乾杯
Ｐ,何の財団？ねえ何の財団なの！？
桃華,淑女の秘密を探るのはお行儀が悪くってよ、プロデューサーちゃま？
Ｐ,いや気になるでしょ！？
茄子,プロデューサー、このエビさん絶品ですよ～
Ｐ,モガガーッ！うまい
未央,改めて……海だーーーーーーーっ！！
Ｐ,あんま沖まで行き過ぎるなよー
未央,わーかってるって♪それにもし溺れかけたら――。茜ちんが助けてくれるよっ
Ｐ,もうあんなとこまで行ってる！？すげぇ！？
凛,それじゃ、私も泳ごうかな
奈緒,お、行くか？じゃあさ、競争しようぜ！
凛,いいけど……負けないよ？
フレデリカ,ではレフェリーはこの宮本が請け負いましょう
奈緒,……なあ、何に乗って浮いてんだ？
凛,それ絶対花じゃない
Ｐ,ん？そういえば美穂の姿が見えないな
美穂,うぅ～……
Ｐ,あ、いた。何してんの茂みに隠れて
美穂,それはそのぉ……は、恥ずかしくってぇ……
卯月,美穂ちゃんっ。せっかく着替えたんだから、泳ご？
響子,そうですよ！プロデューサーさんにも見て貰わなくっちゃ
美穂,ぽ、ぽこ……。あの……み、水着、着てみて……そのぅ
Ｐ,おぉ～……！。美穂は水着仕事はこれまでＮＧだったからな。スタイルに自信が無いからか……と最初は思っていたが違う。素肌を晒せるほどうまく人間に化けていられるか不安だったかららしいのだ
卯月,プロデューサーさんっ。どうですか、美穂ちゃんの水着姿？
響子,すっごく可愛いと思いませんか！？
Ｐ,だが実際に目にすれば、そんなものは杞憂もいいところで……。うん。めっちゃ可愛い……
美穂,え、ほ、ほんとですか？大丈夫ですか？。尻尾、ちゃんと隠せてるかなぁ……？
Ｐ,どれどれ……うーんナイスお尻ガン見
美穂,はっ！？ぽこー！！！
Ｐ,グワーッ抜き打ち尻尾ビンタ！！
卯月,えへへっ。ナイスだって、美穂ちゃん！
響子,お墨付きですよっ！
美穂,はぅぅぅ……///
Ｐ,
志希,しきちゃんはでんちぎれです
アーニャ,シキっ。遊ばないと、もったいないです！
志希,直射日光を浴びると溶けちゃうんだにゃ～……
イヴ,気持ちいいですけど、私もあんまり暑いのは苦手ですぅ
ブリッツェン,ブモ～ゥ……
周子,やー、こうやってだらだらするのもいいもんよー？
アーニャ,ンー……そうですっ。ライラ！
ライラ,こんなことあろうかとですよー
アーニャ,スパシーバ♪しゃりしゃりしゃりしゃり……っ
ライラ,ライラさんも、しゃりしゃりしゃりー
周子,……それ何してんの？
アーニャ,かき氷を作っていますっ
イヴ,おぉ～！即席で氷を作って～！
ライラ,シロップは、タケモトさんのお店で買ったものを持ち寄っていますですよー
アーニャ,これを食べて、元気を出してください♪
ブリッツェン,ブモモモモモモモモモモモモモモモ！！！
周子,バケツ一杯分を一気食い！？
イヴ,ん～っ！おいしいですぅ！生き返るぅ～
志希,んにゃにゃ……
アーニャ,シキ、あーんしてください。はいっ
志希,かぷっ。ちべたい
ちひろ,はっ、無限かき氷……！？
Ｐ,そこ商機を見出すな
藍子,ふぅ……のんびりですねぇ
紗枝,たまには太公望の真似事もええもんどすな～
芳乃,まこと、のどかな時なのでしてー
藍子,私、釣りって初めてだけど、結構性に合ってるかもです。こうやって糸を垂らして、のーんびり……
こずえ,んうー……
芳乃,南国の爽気を感じつつー、ゆるりといたしましょうー
みく,誰も釣りたいと思ってないのにゃ……！！
紗枝,大物が釣れ上がったら、お夕飯に出しましょか～♪
みく,み、みくはノーサンキューだからね！
藍子,うふふ。でも、確かに釣れなくたっていいのかも。見てください。海が底まで透き通ってるから、お魚さんの姿がよく見えて……
芳乃,故郷さと
紗枝,ええお天気どすなぁ～
藍子,ほんとに、ずっとこうしていたいくらい……♪
みく,……？。な、なんかお魚の動きがみんなスローになってるけど！？。波の動きも！？なんで！？こわ！
こずえ,ゆっくりー……きもちいいー……
芳乃,楽しい時ほど早く過ぎ去るとは申しますがー。時には逆も然りとー
みく,そういう問題にゃ！？
輝子,お……元気な、ポルチーニ君……
美玲,ショーコ、こっちのヤツはうまいキノコか？
輝子,あ、それ……食べたら死ぬやつ……
美玲,うわあっ！？
小梅,ねぇねぇ輝子ちゃん……このキノコは……？
輝子,それは、焼いたらおいしい……キープしとこう……フヒ
幸子,な、なぜ森でキノコ狩りをしてるんでしょう……
小梅,そんなこと言って……幸子ちゃんも、楽しそう……♪
幸子,ま、まあせっかく持ち込んだサバイバルキットがありますからね！役立つに越したことはありませんよ！
輝子,フヒ……装備なしで、森には入れないからな……
莉嘉,ねーねー見て見てー！すっごいおっきなカブトムシ取れたー！
美玲,うわデカッ！すごいなコイツ、ツノが三本もあるぞッ！
幸子,こ、これは、野生のアトラスオオカブトのオス！？こんなところにいるんですねぇ……！
美玲,知ってんのかッ！？
幸子,世界一周とサバイバル生活であらかたの虫は調べ尽くしましたからね！
輝子,昆虫博士……
小梅,つよい……
莉嘉,やったー幸子ちゃんかっこいいー！
幸子,かっこ……！？そ、そこはせめてカワイイと言って欲しいところですっ！。わ、悪くありませんけどねっ！
アトラスオオカブト,みんな……カワイイぜ……
輝子,お、おや……？
美玲,ショーコ？どうしたんだ？
輝子,見たことのないキノコが……もしや新種発見……！？。…………あ、違った。ただのメカだったよ……フヒ
美玲,なーんだメカか…………メカ？
幸子,なんですかメカって！？野生のメカなんてあります！？
輝子,あぁ、引っ込んじゃった……なんだったんだろうな……
桃華,～♪
由愛,桃華ちゃん……何か、書いてるの？
桃華,由愛さん！？あっいえっ、これはその……
菜帆,あら、絵日記かしら～？
蘭子,運命の岐路を紙片に綴る……それこそが我らの礎となるのよ！
智絵里,わぁ、上手……♪ここから見える景色なんですね
桃華,うぅ、お恥ずかしいですわ……。まだ人にお見せできるものでは……
由愛,そんなこと……そうだ、それなら一緒に描かない？
菜帆,何かいい景色が無いかな～って、私達お散歩してたんですよ～
蘭子,我が魔導書はここに！共に伝説を刻むもまた一興ぞっ
桃華,一緒に、絵を……？まあ、素敵！。ここはとっても見晴らしがいいんですのっ。ささ、お隣へ！
菜帆,風が気持ちいいですねぇ～
智絵里,本当……心までぽかぽかしちゃいそう……♪
桃華,由愛さん、とってもお上手ですわ……！
由愛,ぁ……えへへ、ありがとう
蘭子,類稀なる紡ぎ手に導かれて、幽玄の絵画世界が息衝くようね……！
桃華,一日目……皆様は、とても楽しそうにしていらっしゃいます。もちろん、わたくしも。これからが楽しみですわ♪
菜帆,あ、おっきな鳥さんが飛んでるわ～♪
智絵里,わぁ、ほんと…………なんだかメカっぽくないですか……？
桃華,そ、そういう鳥さんなんですわ！さ、描き進めましょうっ
美嘉,ん……そうそう、丁寧に塗ってね……♪。遠慮しないでいいって★サンオイル塗ってって言ったのはアタシなんだし……っ。あっ、やだっ♪もープロデューサー、今ヘンなとこ触ろうとしてたでしょー？。にしても、けっこー柔らかい手なんだね？すべすべで、小さくて…………。…………はっ！？違う、この手は！
まゆ,まゆですよぉ
美嘉,いつの間にっ！？
まゆ,サンオイルを塗らせることで、二人はドキドキ急接近……。美嘉ちゃんのキャラ的に、必ずそう出ると思ってました。だけどそんな手は使わせませんよぉ……
美嘉,くっ……流石にやるじゃん……。あれ？じゃあプロデューサーは？
まゆ,まゆが代わりますよってこっそり言った後、どこかに行きましたけど……
Ｐ,本当に大丈夫なのか？日陰にいた方がいいんじゃないか？
加蓮,もう、プロデューサー過保護すぎ！ちょっと立ちくらみしただけだって！
美嘉,あっ
まゆ,あっ
Ｐ,空気が良くてもやっぱり日差しは強いからな。そこのパラソルで休んだ方が……
加蓮,だから大丈夫だってばっ。そんなに心配すること――
美嘉,そわそわ
まゆ,ぐぬぬ
加蓮,何か向こうからすっごい視線感じる……。あ、閃いた。ちょっとからかっちゃお♪。あれ……？急に気分が悪く……
Ｐ,！！？？大丈夫か！？
加蓮,ごめん、ちょっとキツい……かも
Ｐ,こりゃまずい、医務室……って、あるのか！？桃華か木場さんに連絡すれば……！
加蓮,わ、お姫様抱っこされちゃった！
美嘉,
まゆ,
美嘉,加蓮、大丈夫！？アタシが運ぶよ！
Ｐ,翼！？
まゆ,日に当たりすぎるといけません、これを使いましょう！
Ｐ,シルク１００％の即席のヴェール！？
加蓮,わっとっと
美嘉,木場さんか桃華ちゃんとこ行けばいいんでしょ！？それじゃ飛ぶねっ！
Ｐ,い……行ってしまった
美嘉,フツーに元気じゃん！
加蓮,あははっ、ごめんごめん。何かした方が面白いかなーって思って♪
美嘉,面白くないってば！アタシはともかく、まゆがどう出るか……！
加蓮,いやぁ、傍から見たら美嘉も結構な顔してたよー？
美嘉,んぐぐっ……と、とにかく！なんともないなら降りるよ！
加蓮,いいじゃん、もうちょっと飛んでようよ。ほらすっごい景色！みんなあんなに小さい！
美嘉,わわ、あんまりはしゃぐと落ちちゃうってば！
加蓮,昔こういうの無かったからさ、憧れてたんだぁ。夏休み最高ーっ！
美嘉,……。わかった。じゃ、その辺ぐるっと回ってこうか！飛ばすよーっ★
加蓮,きゃーっ速ーいっ♪
まゆ,………………
Ｐ,まゆ……あの、まゆさん？至近距離からガン見するのやめてもらえます……？
まゆ,プロデューサーさんがみんなに優しいことはわかってます……。けど、おわかりですか？女の子って、それだと不安になっちゃうんですよぉ……？
Ｐ,近い近い近い近い
まゆ,はむっ
Ｐ,耳甘噛みしないで！？
美穂,あっプロデューサーさ……まゆちゃん何してるの！？
まゆ,おひおきれふよぉ
Ｐ,アイエエエ……。耳がふやけるかと思った……
茜,いやー泳いだ泳いだっ！！良い運動になりましたっ！！
Ｐ,あ、お帰り茜。どこまで泳いできたんだ？
茜,向こうに見える小島まで！！
Ｐ,遠いな！！
茜,そういえば、途中で大きなクジラと出会いました！！
Ｐ,クジラ！？クジラいんの！？
奏,……
茜,はいっ！こっちから……こっちまである大きさでしたっ！
Ｐ,うわっめっちゃでかい！こっから見えるかな！？どの辺だった！？
奏,クジラ……クジラ、ね……
真奈美,夕食は浜辺でバーベキューだ。下ごしらえは私がするから、どんどん焼くといい
響子,あの、木場さん！私もお手伝いしますっ！
真奈美,君は……いいのかい？結構な人数だから、楽じゃないぞ
響子,なんのこれしきですっ。いつも寮でみんなのお世話もしてますから！
真奈美,それは頼もしいな。では、そちらをお願いするよ
響子,はいっ！
奈緒,すごいなぁ、見ろよ！水平線の向こうに日が沈んでく！
由愛,本当に……絵画みたいです。綺麗……
Ｐ,焼けた奴からどんどん食ってっていいぞー
楓,バーベキューとなると、やっぱり……
ちひろ,ビール！
茄子,ですよね～♪
美穂,プロデューサーさんっ、どうぞ！
Ｐ,ああ、ありがとう美穂。……美味い！
周子,やっぱバーベキューは夏の醍醐味やねぇ
Ｐ,そうだなぁ。ジューシーな肉に新鮮なシーフード……
周子,お醤油の香るとうもろこし、パリパリのウインナー……
美穂,みずみずしいお野菜……
Ｐ,焼きそば……
美穂,焼きそば……
周子,焼きそば……
？？？,ヘーイ！
Ｐ,ハッ……こ、この声は！？。別部署のトップダンサーアイドル、ヘレンさん！！
ヘレン,ザッツ・ライッ！
真奈美,驚いたな。ヘレン、君も来ていたのか？
ヘレン,世界全てがこのヘレンのステージ……故に私がどこにいても驚くことはないわ、真奈美
Ｐ,な、なぜこんなところで焼きそばを……
ヘレン,それは――私が、ヘレンだから！！
Ｐ,くっ、なにかわからんが凄い説得力だ……！！
ヘレン,あなたもなかなかグレートなスケールのアイドルをプロデュースしているようね。さあ、ヘレンの焼きそばよ。あなたにはこれを食する資格がある……
Ｐ,いただきま……、……ッ！！。鉄板で絶妙に焼き上げた具の旨味が、コシのある麺にうまく絡まって……！。更にそれを香ばしいソースで一本の味にまとめ上げ、フワッとやさしいヴェールのような青のりが熱と味を封じ込める……！。総じてアツアツの情熱的な味を、よく浸かった真っ赤な紅ショウガのアクセントでキリッと締めている！。う……うまい！こんなうまい焼きそばは初めてだ！
ヘレン,エクセレント！あなたの舌は、また一つ世界の味を知ったわ！
茜,うーん、おいしいっ！これはおいしいですよっ！！。このおいしさは、言うなればおいしい！！なんというおいしさでしょうかっ！！。私にはおいしさしかわかりません。ですが、おいしいということはわかりますっ！！。染みわたるおいしさっ！！おいしいの更に上のおいしい、まさにおいしいですっ！！！
周子,だから語彙力
Ｐ,食べたら後は各自のヴィラで自由時間だ。出かけてもいいけど、暗くなる前に戻れよー
茄子,お風呂いただきました～
ちひろ,ものっすごいお洒落でしたね。お花浮いてましたよお花
楓,ジャグジーもあって、とてもスパらしいお風呂でしたね♪
Ｐ,
ちひろ,なんでチベットスナギツネみたいな顔してるんですか
Ｐ,風呂上がりの成人女性３人を前にしておっさんがどんな顔しろと
楓,あらまぁ
Ｐ,隅っこで般若心経唱えてますからお気になさらず
茄子,まあまあ、お気楽にいきましょうよ～。ちらっ♡
Ｐ,バスローブの胸元から谷間ーっ！？
ちひろ,またそんな生娘みたいな反応して……
楓,それでは、二次会ということで
Ｐ,やだ普通に一升瓶持参してるこの人
楓,あら？誰かしら……
桃華,……プロデューサーちゃま
Ｐ,桃華？どうしたんだ？
桃華,あの……これは、申し上げるかどうか迷っていたのですが。教えることで、余計な懸念をさせてしまわないかと……。ですがやっぱり、わたくしとプロデューサーちゃまはフェアな関係でいたいんですの！
Ｐ,？？？話が全然見えてこない。順を追って話してくれるか？
桃華,単刀直入に申し上げますわ。皆様をご招待したこの旅行――。実は、わたくし達の夏休みの自由研究を兼ねていますの！！
スタッフＡ,各システム、動作安定中です
スタッフＢ,映像、音声データ共に問題ありません
？？,むーっ……
スタッフＣ,……お嬢様？
？？,うずうずうずうずうず……っ！
ちひろ,ラジオ体操始めますよー
一同,はーい
？？？,ヘーーイ！！
Ｐ,なっ……この声は！？。専属Ｐとマンツーマンで覇道を進む、別部署のヘレンさん！！
ヘレン,イグザクトリィ！！。このヘレンが来たからには、ただのラジオ体操じゃ済まさないわ！。腕を大きく上げて――ダンシン・ウィズ・ミー！！
美穂,速いっ！？
茜,いちにっ！いちにっ！
未央,茜ちんが普通についていってる！？
周子,はぁ……はぁ……ラジオ体操ってこんなカロリー使うもんやったっけ……
真奈美,運動後は朝食の時間だ。さ、みんなこっちへ来たまえ
Ｐ,ゼェ……ハァ……よし行くか。それにしても、自由研究……か――――。自由研究？
桃華,そうですわ。既に島のあちこちに、皆さんが怪しいものを見つけておりますが……
Ｐ,そういえばメカっぽい何かがあったって幸子や智絵里が言ってたな
桃華,実はあれは、島の各所に設置された監視装置なんですの
Ｐ,監視装置って……映像とか音声を撮ってるってことか？
桃華,ええ。それはリアルタイムでここと別の拠点に送信されておりまして……。この島における皆さんのバカンス、その様子を観測すること自体が、わたくし達の自由研究なんですの
楓,うちには色んな子がいますからねぇ
茄子,見ているだけで飽きませんよね～♪
桃華,ごめんなさいっ！騙すような真似をしてしまって……。ですが、誓って悪いようにはいたしません！どうかお許しを……！
Ｐ,んー……そのデータって、どこかよそに流したりはしないのか？
桃華,決してそのようなことはありません！重要なデータは、こちらで厳重に管理いたしますわ！
Ｐ,そうか。だったらいいよ
桃華,……本当ですの？
Ｐ,まあ視線があると思えば気にはなるけど、ねぇちひろさん
ちひろ,そうですね。そもそもタダでこんないいところに来させてもらってるわけだし、バイトと考えても破格ですよ
Ｐ,逆に言えば、桃華達がいつも見守ってくれてるわけだしな。危険は起こらないってことだし、逆に安心じゃないか
桃華,プロデューサーちゃま……ちひろさん……！
Ｐ,ん？でも自由研究ってことはどっかに提出するんじゃないの？
桃華,その辺りは、重要なところをぼかして絵日記にするつもりですわ。研究自体はあくまで自主的なものですの
Ｐ,わかった、それなら問題は無いと思う。とはいえみんな気にしちゃうだろうから、ここだけの話ってことでいいか？
桃華,もちろんですわ！ありがとうございます、皆さん！
Ｐ,……ん？わたくし達？
茜,ビーチバレーをしましょう！！！！
未央,茜ちん昨日から水を得た魚だね！
美嘉,お、やる？負けないよー★
周子,美嘉ちゃん飛ぶの禁止ねー
美嘉,飛ばないしっ！？
Ｐ,平和だ……なにはなくとも
美穂,ほんとですねぇ……
Ｐ,美穂は泳ぎに行かなくていいのか？
美穂,はいっ。今は、日向ぼっこしたい気分っていうか……。プロデューサーさんの近くにいたい気分……っていうか……
Ｐ,ん？急に波が高くなって……
美穂,え、え？な、何か、大きいのが――――
クジラ,…………………………
一同,…………………………
未央,ぷ……プロデューサー
Ｐ,なんだいちゃんみお
未央,く……クジラ……だよね
Ｐ,そうだねぇ
Ｐ・未央,いやいやいやいやいやいやいやいやいやいやいやいや！！
美穂,ぽこーーーーっ！？
みく,にゃーーーーーーーっ！？
蘭子,ひょえーーーーーーーーっ！？
輝子,ヒィハァーーーーーーーーーーーーッ！？
茜,あ！！昨日会ったクジラですっ！間違いありません！！
Ｐ,なんでこんな浅瀬にクジラが！？打ち上げられたのか！？みんな巻き込まれてないか！？
こずえ,おー……
Ｐ,乗っとるーッ！？
卯月,こここ、こずえちゃん危ないですよぉ！早く降りてぇ～っ！
クジラ,………………
Ｐ,う、動き出して……！？
？？,ずるいですわっ！！
桃華,！！
Ｐ,クジラの口からお嬢様っぽい美少女が！？
奏,やっぱり完成していたのね、クジラ１２号……！
美穂,くじらじゅうにごう！？
奏,財団が保有するカムフラージュ用の動物ビークルよ。あれはクジラ型の最新鋭潜水艦ね
？？,ずっと見ていたのですけれど、やっぱり我慢できませんわ。私も桃華さんや皆さまと遊びたいんです！
桃華,で、ですがそちらのお家は、対象への過度な接触を禁ずると……！。よろしいのですか、琴歌さんっ！？
琴歌,構いませんっ。夏ですもの、私も思いっきりハメを外すと決めたのです！
周子,はー、桃華ちゃんの友達で……
Ｐ,財団関係者の……
琴歌,西園寺琴歌と申します。見ての通りの不束者ですが、以後お見知りおきを
美穂,すっごい綺麗な子……！
美嘉,桃華ちゃんもそうだけど、ザ・お嬢様って感じ……
Ｐ,というか、財団って複数のグループで構成されてるんですね
琴歌,ええ。西園寺や櫻井の他に、相原家や涼宮家、財前家や水本家など……。多くの家の共同出資によって運営していますのが、財団の極東支部ですの
周子,支部とかあるんや……
Ｐ,そもそも何なんですか財団って
琴歌,そうですわね……どこからお話しすればよいのか。この世界のありとあらゆる超自然現象、あるいは超古代オーパーツはたまたオーバーテクノロジーの……
真奈美,おほん。琴歌？
琴歌,あら失敬。単なる貿易商の一団とお考えください♪
Ｐ,サラッと凄いこと言いかけなかった！？
周子,あかん、これ以上は作風が変わる奴やわ……
琴歌,桃華さんからお話は聞かれていたと思いますが、実は私、ずっとあなたがたを見守っていましたの。それもこれも、夏休みの自由研究の為……。どうかお許しくださいませ
Ｐ,いやいや、それについては気にしないでください
琴歌,…………っ
Ｐ,……？西園寺さん？
琴歌,それで……それで、あのっ、あなたがプロデューサー様なのですよね！？
Ｐ,うわびっくりした！アッハイそうです
琴歌,桃華さんからお話をよく伺っております！ああ、本物ですわっ！本当にお尻がお好きそうなお顔をしていますのね！
Ｐ,どういう紹介してんの桃華ァ！？
琴歌,ずっとお会いしたかったのです！この日をどれほど心待ちにしていたことか……っ！
楓,琴歌だけに……ふふっ
琴歌,聞けばプロデューサー様の事務所は、連日連夜怪力乱神のお祭り騒ぎが行われるとてもユニークな場だとか！。熊本決戦に神様風邪の奇跡、うさぎさん大パニックや止まない春の雪、それに不思議な夜市のお話……！。どれもこれも報告書だけでは語りつくせない大事件ですわ！当事者の皆さまから、是非一度お話を伺いたかったんです！
Ｐ,近い近い近いこの子めっちゃグイグイ来る！
真奈美,ほら、琴歌。あまり迫るとプロデューサー君もついていけないだろう？
琴歌,あっ……ごめんなさい、私ったらはしたない
美穂,ぽ、ぽこ……
菜帆,あら～
茄子,まぁ～♪
由愛,し、知ってるんですね……
アーニャ,ちょっと、恥ずかしいです……
藍子,気になるなら、今度案内してあげたいなぁ
ライラ,おー。コトカさんではございませんかー
琴歌,まあ、ライラさん！まさかここでお会いできるなんて――
美玲,な、なに言ってるのかぜんぜんわかんないぞ！？
フレデリカ,わお！ライラちゃんお友達なのー？
ライラ,はいですよー。パーティーで何度かお会いしたことがありますです
美玲,ひょっとしてライラんちって、ほんとはすごくでっかいのか……？
琴歌,さて……聞きたいお話は沢山ありますが。まずは、一個人として皆様とお近づきにならなくてはいけませんわねっ
桃華,ですが水着は持参していますの？流石にそのお洋服のままでは……
琴歌,ご心配には及びません！
美穂,いきなり脱いだ！？
周子,サービスシーン！？
まゆ,ダメですよぉ
Ｐ,前が見えねェ顔面ぐるぐる巻き
