男,ん？もしもし……。メ、メリーさん！？。ち、近く！？。切れた……。も、もしもし！。ひっ！。振り込めば来ないんだね！？。分かった、すぐ振り込むよ！口座を教えてくれ！
メリー,たとえば……ネット上の都市伝説のサイトを開いて、怖がりな人を見つけたら。その人から電話番号を巧みに聞き出す……とか。そういうことをしてる人がいたら、その人が犯人の可能性が高いと思うの
刑事,……なるほど！。君、刑事になれるんじゃないか？
メリー,私、メリーさんなの！
刑事,ごめんごめん。じゃあ、片っぱしから都市伝説のサイトを見ていくか！
メリー,うん、特に掲示板なんかがあるサイトが狙い目だね
刑事,怖がりな奴に連絡先教えて下さいなんてアプローチしてる奴を探していくんだな。よぉし……。へぇ～、こんな都市伝説もあるんだ。今度女の子と飲む時使えそう。ハハハ、ミミズバーガー、こんなのあったなー
メリー,ちょっとちょっとちょっと
刑事,ん？
メリー,都市伝説に夢中になって、本来の目的を忘れないで欲しいの
刑事,えー、いいじゃん。都市伝説楽しいし。一緒に読もうよ
メリー,……
刑事,……真面目にやります。あー、もう目がクタクタだ。都市伝説を扱ってるサイトをいくつも回ってみたけど、結局都市伝説オタクになっただけだったな
メリー,うん……
刑事,そう落ち込むなって。着眼点は悪くなかったと思うぞ？。それより今見てるこのサイト、結構いいぞ。色んな都市伝説を面白おかしく解説してる
メリー,……
刑事,しかも、なんだこりゃ？。都市伝説撃退お守りの通信販売までやってやがる。一個100円って安いな！
メリー,ちょっと待って
刑事,？
メリー,そのお守りの購入画面に入ってみて
刑事,おう。名前、住所、電話番号を入力する画面になったぞ
メリー,……。ひょっとして、これじゃない？
刑事,へ？
メリー,こんなお守りを買うような人は、私からの電話が本当に来たらビックリするに決まってる。だから、このお守りを買う為に、今の情報を入力した人にターゲットを絞れば……
刑事,“メリーさん詐欺”は成功しやすい……！。ってことは、これに情報を入力すれば、あっちからアプローチをかけてくるかも……ってわけか
メリー,そうなの！
刑事,よーし、入力してみるか。品切れ……こんなもん買う奴がそういるとは思えないし、ハナから売る気がなかったと思っていいな。あくまで個人情報を入手したかったんだ
メリー,いよいよ怪しくなってきたね
刑事,よし……あちらから連絡があるか、待つとするか。……知らない番号だ
メリー,もしかしたら！
刑事,はい、もしもし。！。……かかったぞ
メリー,うん！ここからが大事だよ！
刑事,よし……怖がりなマヌケを演じないとな。は、はい。こっからが俺の腕の見せ所だ。メ、メリーさんって、あのメリーさんですかぁ！？。あ、あのっ！俺、口座への振り込み方とか……よく分かんなくて……。できれば現金でお支払いしたいっていうか……お願いできませんかねぇ、メリーさん？
メリー,いいねー、グーだよ
刑事,は、はいっ！ありがとうございますぅ！。……
青年,あのー……メリーさんの代理の者ですが
刑事,……来たか。お前……“受け子”だな？
青年,！？。やべっ！
刑事,逃がすか！
青年,ぐうっ……！
刑事,お前は“メリーさん詐欺”一味の一人だな？仲間のいる場所を吐いてもらおうか
青年,誰が……！
刑事,吐くつもりはないか。だったら本物にご登場願おうか
青年,本物？
メリー,私メリーさん、今あなたの前にいるの
青年,メリーさん？ふん、ただの女の子じゃないか――
メリー,……
青年,ぎゃああああああああああああああ！！！
女,あいつ、遅いわね
リーダー,金受け取った後、どっかで遊んでんじゃねえか？
メガネ,あり得ますね
リーダー,ったく、しょうがねえ野郎だ。にしても、お前の考えた“メリーさん詐欺”、案外引っかかるアホが多いな
メガネ,今の世の中においても、まだまだ幽霊や怪談の類を恐れる人は多いということですよ
リーダー,だなぁ、もうしばらくはこれで荒稼ぎできそうだぜ。お前も、メリーさん役に磨きがかかってきたしな！
女,ふふっ、まっかせて！
リーダー,お？もしもし……。は？。なんだ、お前――
女,どうしたの？
リーダー,いや……どっかのバカのイタズラだよ。もしもし！。てめえ、ふざけん――。なんなんだ、クソがッ！
女,どうしたのよ
リーダー,メリーさんって名乗る奴から電話がかかってきて……！
メガネ,メリーさん！？
女,メリーさん詐欺の犯人はあたしたちなのに、どうして電話がかかってくんのよ！
リーダー,知るか！どうせ同じこと考えた誰かが偶然うちに電話かけてきたんだろ！。またかよ！？。うし、ろ……？
女,へ？
メガネ,え？
メリー,……
リーダー,――ッ！。うわぁぁぁぁぁっ！！！
女,ひいいいいいいっ！！！
メガネ,逃げろぉぉぉぉぉ！！！
刑事,おっと、逃がさないぜ
リーダー,わっ、なんだ！？どけよッ！
刑事,私、刑事さん。今お前らの前にいるの
リーダー,け、刑事……！？
女,あ、ああ……
メガネ,してやられた……ってことですか……
刑事,そういうことだ。さ、観念しろ
リーダー,うぐぅ……
メリー,やったね！
刑事,おう！
課長,いやー、よくやった！“メリーさん詐欺”の一味を逮捕するとは！。普段はグータラだが、やる時はやるからなぁ、君は！さすがは俺の部下！
刑事,ったく、こういう時は調子いいんだからこの人は……。でも、今回の手柄は俺じゃなくて……
メリー,私メリーさん、今あなたの後ろにいるの
刑事,あくまで影でいたいってことか……。ありがとうございます、これからも頑張ります！
課長,うむ、期待してるぞ！
刑事,なぁ、メリーさん
メリー,んー？
刑事,これからどうすんだ？
メリー,特に決めてないの
刑事,だったらさ……正式なもんではないけど、刑事（デカ）にならないか？
メリー,え？
刑事,ぶっちゃけた話、俺と組まないか？
メリー,……！。いいの？私なんかが……
刑事,君の頭のよさや正義感、ひっそりと後ろに立つ能力、絶対刑事に向いてると思うんだ。それに君の助けがあれば、俺ももっと手柄立てられそうだからな！
メリー,んもー、下心が出てるの！。だけど……私も組みたいの！私、あなたの隣にいるの！
刑事,よーし、これからも二人でバンバン犯人（ホシ）を捕まえていこうぜ！
メリー,うん！
ひったくり犯,ひい、ひい、ひい……
刑事,待ちやがれーっ！
メリー,私、今あなたの後ろにいるの
ひったくり犯,ひええ、なんなんだ、あいつらは！？
刑事,とりゃあぁぁぁ！
ひったくり犯,ぐはっ！
メリー,私メリーさん、今あなたを逮捕するの
刑事,やったな！
メリー,うん！
刑事,さぁて、今日は帰りにラーメンでも食ってくか
メリー,えー、私はパスタの方が好きなの！
