ガヴリール,どうしたんだよ改まって
ラフィ,みんなが天使になって平和な世の中になることのなにがやりすぎなんですか？
サターニャ,そ、それは…
ヴィーネ,もう、その辺にしておいたらどうなの
ラフィ,フフフ、そうですね
サターニャ,え？なにがどうなってるの？
ガヴ,もう、バレてるんだよお前がカミングアウトしたの
サターニャ,え？うそでしょう？
ラフィ,実は、サターニャさんのバックに盗聴器を仕掛けていたんで会話はすべて筒抜けだったんですよ
サターニャ,そ、そんな。私どうなっちゃうの？
ラフィ,今回のことは許してあげます
サターニャ,ほ、ほんとうに？
ラフィ,ええ、但し条件があります
サターニャ,な、何よ条件って
ラフィ,サターニャさんはこれまで通り悪魔を演じて下さい
サターニャ,でも、これ以上みんなに迷惑掛けるわけにはいかないし…
ガヴ,私はそれでいいと思うぞ
ヴィーネ,そうね私もそのほうが親近感がわくし
サターニャ,ガヴリール…ヴィーネ…。わかったわこの条件受け入れようじゃないの
ラフィ,はい、これで私も言うこと無しです
ヴィーネ,もうこんな時間だし、そろそろ帰ろうか
ガヴ,そうだな
サターニャ,カミングアウトする時はどうなるかと思ったけどみんながわかってくれてよかったわ。結果としては悪魔の演技しだして正解だったのかもね。ねぇねぇ、メロンパンが美味しいお店見つけたんだけどさ…
ヴィーネ,ちょうどお腹も空いてきたわね
ラフィ,楽しみです
ガヴ,そういえば、今日犬の出番なかったな
サターニャ,不吉なこと言うな！
