雪歩＝白子,しろこ
千早,凛太郎はやっぱり…リズミカルな感じでいきたいわ。短めにパパパッ、って
春香,短い方が被害は少なそうだよね
真美,千早お姉ちゃんを甘く見すぎだよ、はるるん
千早,凛太郎の戒名は……
雪歩,か、戒名は……？
千早,居士居士くん
真,えっ！？
真美,ほらね……
春香,ごめん……
真,え、えっと…ガリガリ君…みたいな？
千早,居士居士くん
真,居士居士くん……
千早,アイスバーとは違うわ。大切な戒名よ
貴音,やはり説得力が皆無です……
真,げ、元気な感じでボクらしい…かな？あはは…はは……
小鳥,不憫……
千早,どんどんいきましょう。次は白子ちゃんね
雪歩,よ、よろしくね……
千早,白子ちゃんは儚くて脆いイメージ…お墓が似合うわ。あっ、おかしな意味ではなくて
響,おかしな意味しか無いぞ……
千早,そして詩…儚くて脆い詩……
伊織,それじゃ墓碑銘でしょうが……
千早,死んで居士になった私そしてあの日の雪、つまりあなた
雪歩,えっ！？
真,ごめん、ぜんぜん分かんない……
伊織,奇遇ね、私もよ……
千早,メタファーよ
律子,意味分かってないでしょ……
雪歩,は、はうぅ……
千早,ね？
春香,ほとんど脅迫だよね……
雪歩,と、とっても詩的なか、戒名？だと思いますぅ！
千早,ふふ…詩心にも目覚めてしまったのかしら……
響,そっちはずっと寝てておくれ……
千早,月麺、お待たせ
貴音,い、いえ
真美,お姫ちん、器大きいから……
響,今回も受け入れちゃいそう……
千早,月麺は和風で古風なイメージね。今回のテーマである戒名との親和性が高いわ
春香,それはちょっと分かる気がする……
千早,だけど、あえてそのイメージを崩したいわ。ガラリ、と
亜美,あ、お姫ちんも終わった……
千早,Iam居士
貴音,なんと！？
真,英語来ちゃった……
小鳥,よりによって貴音ちゃんのとこで……
伊織,つーか、誰に自己紹介してんのよ……
千早,グローバルよ。戒名も
貴音,ぐ、ぐろーばる、でございますか……？
千早,Yes！
貴音,なるほど、ぐろーばるですか…あなたの意志を尊重いたします
雪歩,さすが貴音さん…おっきいですぅ……
千早,アニ丸
響,う、うん！
千早,出番よ
響,う、うん……
律子,手懐けられてる……
千早,アニ丸…琉球アニ丸……
小鳥,ボンド、ジェームス・ボンド、みたいなノリね……
千早,うーん……
真美,おや？千早お姉ちゃんの様子が……
やよい,すっごい悩んでるね
千早,うーん…そうねぇ……
響,べ、別に無理に決めなくても
千早,あ…んー……そうね。こうしましょう
真,き、決まったの？
千早,沖縄居士
響,えっ！？
春香,めんどくさくなったんだね、千早ちゃん……
響,え、あの、沖縄の人はたくさんいるわけで、その
千早,ええ、たくさんいるわ。だけど沖縄居士なんて付ける人はいないハズよ
真美,なんてって言っちゃったよ……
雪歩,やっぱりめんどくさくなったんだね……
千早,どうかしら？
亜美,出たよ、どうかしら……
あずさ,何も言えなくなっちゃうのよね……
響,頂きます……
貴音,心を強く持つのですよ、響……
千早,次は…プル姉ですね。お待たせしました
あずさ,い、いえいえ～
真,ボク、たまにあずささんのことプル姉って呼びそうになるんだよね
響,実は自分も
千早,プル姉といえば…母性…柔らかくて温かな……
律子,間違ってはいないのよね……
千早,プルプル姉さんの居士院
あずさ,えっ！？
伊織,こ、居士院？孤児院じゃなくて？
千早,孤児院よ
あずさ,あ、あの～…どういう意味かしら……
千早,居士たちが温もりを求めて集う場所。それが居士院です
春香,怖いから……
千早,亡くなってなお、プル姉の母性は人を癒し続けるのです
律子,休ませてあげなさいよ……
あずさ,わ、私でお役にたてるなら
真美,優しい……
小鳥,私も集います……
千早,さぁ、メカネちゃんよ。いっぱいかけて☆メカネちゃん
雪歩,キャッチコピーは止めてあげて……
律子,か、覚悟はできてるわ
亜美,りっちゃんガンバ……
千早,メカネちゃんは…頑張っていると思うわ。とっても
律子,あ、ありがとう
千早,だから、お墓に入ったあとはゆっくりと休んでほしい……
貴音,心遣いはありがたいのですが……
千早,居士にはかけないで下さい。絶対にかけないで下さい
律子,えっ！？
真,押すなよ、絶対押すなよ、みたいな……
春香,フリだよね……
千早,これで大丈夫よ
伊織,何がよ……
律子,
美希,また飛んじゃったの……
真美,哀れだねぇ……
千早,ふふ。今回も喜んでもらえたみたいね。意識を失うほど
響,いつからそんなにポジティブになったんだ……？
千早,あと4人ね。次は雛テンパさん
小鳥,お、お手柔らかに……
千早,自伝のタイトルは上半期決算
春香,「そんなのもあったねぇ……
千早,同じ路線で考えてみようと思います。雛テンパさんの戒名は……
真,……
千早,居士単独決算
小鳥,えっ！？
響,単独のまま終わっちゃったのか……
小鳥,あ、あの、私、独りで？
千早,生涯守り抜いたんです。この時代にスゴいことです
雪歩,誉め言葉じゃないよね、この場合……
伊織,小鳥だからね……
小鳥,守り抜きます…生涯……
千早,きっと天国に行けるはずです。ふふ
美希,どうせなら生きてるうちに幸せになりたいな、ミキ……
千早,マミーポコ？一人で出来るもん！マミーポコ？
春香,だ、だから続けて言うのは止めて……
雪歩,もうお腹痛いよぅ……
真美,よ、よろしくね！
千早,マミーポコは相も変わらずイタズラ好き。一生そのままね、きっと
律子,人生の方向性を決められちゃったわね……
千早,色々と迷惑をかけた人も多いハズだわ
伊織,アンタに言われたくないわよ……
千早,だから戒名は……
真,さてさて……
千早,もう居士だし水に流してYo！
真美,えっ！？
やよい,オムツは流しちゃダメですー
春香,ぐ…ゲホッ…グホぉ……
雪歩,ガフぅ…ゲフぅ……
千早,みんな分かってくれるわ。ね？
真美,え、えっと……
真,分かってたけど、ドンマイ真美……
真美,あ、あははー……
響,今回もドンマイ、真美……
真美,そ、そっかー、みんな分かってくれるよね！あははー！
貴音,みな分かっておりますよ、真美……
千早,さぁ、あと二人ね
真,残りの被害者がね……
亜美,あ、亜美の番だね！
千早,そうよ海アーミー。あなたもまだまだイタズラ好きね
響,真美とおんなじってことはないよね？
雪歩,たぶん……
千早,だけど、竜宮小町に入ってからは多少改善された気がするわ
律子,そうかしら……？
千早,元気いっぱいな海アーミー…亡くなってもきっと……
伊織,余計な心配するんじゃないわよ……
千早,居士だよー！
亜美,えっ！？
美希,誰にアピってるの……？
真美,全国の兄ちゃんと姉ちゃんだよ、きっと……
千早,一目で海アーミーだと分かる戒名だわ
あずさ,分かるのかしら～……
小鳥,無理だと思います……
亜美,そ、そだね、死んじゃっても元気いっぱいじゃないとね！
春香,大人になったね、亜美……
千早,さて、いよいよ最後ね
美希,なの……
真,美希が途中で寝ないって相当だね
雪歩,ツッコミどころが多すぎて寝れないんだよ、きっと……
千早,寝るねは…永遠（とわ）の眠りという言葉が似合うわ。もちろんいい意味で
伊織,似合わない身体に生まれて良かったわ、私……
千早,居士になっても小悪魔なんでしょうね、きっと。でも実は寂しがりやで……
律子,だから、居士になってからの心配はいらないっての……
千早,そんな寝るねの戒名は……
やよい,う？
千早,居士、一人は寂しいな……
美希,えっ！？
亜美,恐いよ……
貴音,ま、まことに……
美希,むー。ミキ、一人で寝れるもん！
千早,お気に召さないかしら？それなら居士、いま裸だよ？アハッという選択肢も
雪歩,不謹慎すぎだよぅ……
美希,ミ、ミキ、さっきのがいい！
千早,ふふ…やっぱり気に入ってくれたのね
律子,もう何だっていいわ……
千早,そうそう。私の戒名は蒼鳥院優歌麗声居士と
一同,おいっ！！！
千早,私、みんなに戒名も付けたいのだけれど
