ジャイアント・トード,
アクア,そういう事だけで十分よ。でも、しんのすけは現実で寝ただけなのに、いつの間にこの世界に居たって所が気になるわね
カズマ,確か、異世界に転生するには一度死なないとダメだしな
しんのすけ,えぇーー、オラ死んじゃったの～！
アクア,あり得るわね。小さな子供でも突然死っていうパターンもあるし
カズマ,だけど、それで死んだなら女神に会うはずだろ？俺が死んでアクアと出会った時みたいに
アクア,プークスクス。そういえば、カズマさんって、勘違いによるショック死、いやむしろ無駄死にだったわねｗｗ
カズマ,今、それを言う事じゃねぇだろ！？ってか、トラウマなんだよ、思い出させんな！！
しんのすけ,なにそれ？
アクア,しんのすけも聞きたい？実はそこにいるヒキニートｈカズマ「わああぁぁーーー、幼稚園児に余計な事伝えるなぁ！？。まぁ、とにかく女神に会わずにここに来たって事は、しんのすけはきっと何らかのミスでこの世界に来た、と考えるしかないわね
しんのすけ,ほぉーほぉー
カズマ,で、どうすんだよ？死んでもいない子がここに居たらマズイだろ？
アクア,癪だけど、エリスに伝えるしかないわね。ミスって分かれば、何かしらの処置でもしてくれるでしょうし…
カズマ,それで頼むわ。じゃあ、その処置が施されるまでしんのすけはこの屋敷で大人しく待ってろよ？
しんのすけ,ほーい
？,ただいま～
カズマ,お、帰ってきたな。
？,戻りましたよ。あれ、カズマだけですか？アクアは？
カズマ,さっきまで居たけど、ちょっと用事だって外れたよ。
？,そうですか。ところで……
しんのすけ,おっ？
？,その子は一体、誰なんですか？見ない顔ですが？
カズマ,あぁ、この子は訳あって預かった、親戚の子だよ（ありのまま言っても信じて貰えねぇだろうし、とりあえず誤魔化すか）
？,ほぉー、カズマの親戚ですか…。ですが、顔は似ていませんね？
しんのすけ,当たり前だぞ。だってオラ、カズマと初ｍ……もがっ！
カズマ,あ、ははははっ。とにかく、親戚の子なんだ。よろしく頼むぞ、めぐみん
？,？
しんのすけ,よっ。オラ、野原しんのすけ。5歳。。で、そっちのチビッ子は誰？
？,チビッ子って言わないで下さい！？大体、貴方の方が明らかに私よりもチビッ子じゃないですか！？
カズマ,まぁまぁ。それより、めぐみんも自己紹介しろ
めぐみん,分かりました。我が名はめぐみん、紅魔族随一の魔法の使い手にして爆裂魔法を操る者…
しんのすけ,めくりん？？変なお名前ですなぁ～
めぐみん,めくりんではなく、めぐみんです！？。って、おい、私の名前に文句があるなら聞こうじゃないか
カズマ,年下に文句をぶつけるな！相手は5歳だぞ。
？,ただいま～
めぐみん,おや、この声はアクアではありませんね。という事は
カズマ,来たか。おい、しんのすけ。せっかくだから、もう一人紹介しｔ……ってあれ？
めぐみん,どうしましたか、カズマ？
カズマ,いや、しんのすけがいつの間にか居なくなってんだよ！どこにいったんだ？
めぐみん,トイレじゃないですか？
カズマ,だったら、一言ぐらい声を掛けるｈ？「な、何者だ、貴様は！？。って、今度はなんだ？！
めぐみん,廊下から聞こえますねぇ？
カズマ,あ、まさか！？。おい！
？,あ、カズマ、良く来てくれた！実ｈしんのすけ「おねいさぁ～ん、お風呂上りは牛乳、それともフルーツ牛乳～///
カズマ,やっぱ…ここに居たか
？,カズマ、この子は一体なんなのだ！？私が屋敷に入った途端、急に私の前に現れたから、びっくりしたぞ！？
しんのすけ,あっは～ん♡おねいさぁ～ん///
カズマ,うん、ダクネスが現れた事で確信したわ。アクアの時といい、しんのすけは美人に弱いんだな。
？,そうか。カズマの親戚の子だったのか…。
カズマ,あぁ。（とりあえず、誤魔化せた）
しんのすけ,オラ、野原しんのすけ、5歳。好きな物はおねいさんです。第一印象から決めていました
？,ははは。良く子供の相手をしているから子供に懐かれる事はあるが、ここまで好きだとはっきり言われたのは初めてだな
カズマ,とりあえず、しんのすけも自己紹介したし、お前も自己紹介しろ
ダクネス,あぁ。私はダクネス、クルセイダーだ。よろしくな、えぇと…しんのすけ？
しんのすけ,はい！ダクネスおねいさん！！
めぐみん,私の時よりも目がキリっとしている所が気に入らないのですが…
カズマ,だからって、怒ったりはするなよ。子供のやる事なんだしな
ダクネス,ところで、アクアはどうした？
カズマ,あー、アクアなら用事で外してるよ。多分、もう少ししたら戻ってくると思うがな
アクア,お待たせ！！
カズマ,お、戻ってきたな
めぐみん,どこに行ってたんですか？
アクア,あ、めぐみん、それにダクネスも。帰って来たんだ
ダクネス,あぁ。ところで、私もめぐみんと同じ疑問だが、どこに行ってたんだ？
アクア,しんのすけが帰れるかどうかをエリスに聞きにいってたのよ
めぐみん,？
ダクネス,おい、アクア、今エリスって言わなかったか？
しんのすけ,工口スっ//
ダクネス,え、工口スではない、エリスだ！？///
アクア,えぇ。確かに言ったわよ。テレパシーで天界のエリスと話をしたのよ
ダクネス,おい、いくら自称女神でもこういう嘘はよくないぞ。エリス様と話が出来るとされるのは、エリス教を最も信仰してる者だけ。お前はアクシズ教だろ？
めぐみん,そうですよ。エリス教のご神体に失礼な嘘は罰が当たりますよ、アクア
アクア,ちょっとぉ、私は本物の女神なんですけど！？
ダクネス・めぐみん,「という夢を見たのか…」
アクア,なんですよおおおおおぉぉーーーーーー！？
しんのすけ,ほぉほぉ。アクマは浣腸眼鏡かぁ～
カズマ,それを言うなら、アクアは自称女神な。ってか、子供からも馬鹿にされてるみたいだな…アクア
アクア,まぁ、それはおいといて。喜びなさい、しんのすけ。貴方の死はやはり天界のミスで、しかもまだ子供という事もあって元の日本に戻れることになったわよ
カズマ,やっぱり、そうだったか。良かったな、しんのすけ
しんのすけ,え～～～
カズマ,なんだ、嬉しくないのか？元の日本に戻れるんだぞ…親の元に帰れるんだぞ？
しんのすけ,だってオラ……。ダクネスおねいさんと離れたくないゾ///
アクア・カズマ,「ええぇーーーっ！？」
ダクネス,子供に離れたくないと言われるのも初めてだな
しんのすけ,えへへへ～///
めぐみん,それにしても、ダクネスは懐かれているというか、しんのすけの方がダクネスにデレデレのような気がしますが…
カズマ,なんだ、嫉妬か？
めぐみん,ち、ちがわい。私はただ、年下なのにませてる感じが気になっただけですよ
しんのすけ,もぉー、めぐみんちゃんもそうじきじゃないなぁ～
めぐみん,ちゃ、ちゃん！？
カズマ,しんのすけ、そうじきじゃなくて、正直な！
めぐみん,おい、年下の癖して私をちゃん付けする訳を聞こうじゃないか
しんのすけ,なんとなく
めぐみん,理由になってませんよ！？
アクア,ってか、そこでふんぞりかえる意味も分からないんですけど…
ダクネス,あはは。見ていて分かったが、しんのすけもカズマに似て中々見どころがありそうじゃないか♡
しんのすけ,いやぁ～、それほどでも
カズマ,褒めてないぞ、それ
ダクネス,そういえば、しんのすけは帰ると言っていたようだが、もう帰るのか？
しんのすけ,うぅん。オラ、ダクネスおねいさんの傍にいるゾ
めぐみん,後、私をおねいさん扱いせず、むしろダクネスだけおねいさん扱いという理由も聞こうじゃないか
しんのすけ,オラ、子供には興味ないから～
めぐみん,こ、子供！？わ、我が……子供………
カズマ,この光景、なんかデジャブを感じるな
アクア,しょうがないわね。じゃあ、半日だけアクセルの街を巡ってしんのすけが気に入ればここでの永住決定、逆に帰りたいと言ったら元の世界に戻るってことでどうかしら？
カズマ,お、おい、勝手にそんな事決めていいのか？！
アクア,だって、本人が戻りたくないって言っているのを、無理に帰そうとするのはよくないでしょ？
カズマ,だけど、動機がダクネスを気に入ったから離れたくないって言うのがどうもな…。それにまだ幼稚園児だ、このまま異世界で暮らさせるってのも、俺からしてどうかと思うがな…
アクア,だからこそよ。半日だけ猶予を与えて、異世界で暮らすか、日本に戻るのかを本人に決めさせるのよ
しんのすけ,おおぉぉーーー、オラそれにする！
アクア,じゃあ、半日だけのアクセル体験ツアー開始ね
カズマ,勝手にツアーにすんなよ
めぐみん・ダクネス,「？」
カズマ,んじゃあ、どこから巡るんだ？
アクア,おっと、その前に……ねぇ、しんのすけ？
しんのすけ,な～に？
アクア,貴方、アクシズ教に入信しなさい
カズマ,おい、おま、なに勧誘してんだよ！？大体、しんのすけがまだ異世界に暮らすとは限らねぇしよ！？
アクア,別にいいじゃないの。ほら…今、入信すれば名誉アクシズ教徒として迎え入れてあげるし、幸せも何もかも手に入るわよ。さぁ、アクシズ教に入るのよ、しんのすけ
しんのすけ,オラ、アシクサなんて、臭そうなの、嫌だゾ
アクア,なっ！？
カズマ,ぷっ！
アクア,失礼ね、臭くないわよ！？大体、アシクサじゃなくて、アクシズよ、アクシズ！！？
カズマ,ぷっ、くくくっ…///
アクア,まずはアクセルの街の活動拠点となる「ギルド」からよ
しんのすけ,おぉ～、キルト、キルト！
カズマ,ギルド、な
めぐみん,というか、小さい子を連れてアクセルの街を案内するなんて、初めてですね
ダクネス,仕方ない。カズマとアクア曰く、「しんのすけはアクセルに来るのは初めて」とのことだ
ウェイトレス,いらっしゃ～い
しんのすけ,おおおおおおぉぉぉぉーーーーーーーーーー！！！！！！/////
めぐみん・ダクネス,「！？」
アクア,うわっ、びっくりしたぁ！？それに、小さいのに足速っ！！
カズマ,あー、いきなり大声出して走ったのは、あれか
しんのすけ,おねいさぁ～ん、オラにおねいさんのハートを一つ～～///
ウェイトレスA,あら、ボク、見かけない子ね？ここには観光で来たのかしら～？
しんのすけ,はい。眼光で来ました
カズマ,眼光じゃなくて、観光な
ウェイトレスB,そうなの。ふふ、良く見たら可愛いわね♪
しんのすけ,おねいさんの方こそ、お美しいゾ
ウェイトレスC,あら、嬉しい事言ってくれるじゃないの、ボウヤ♡
しんのすけ,えへへぇ～っ///
カズマ,今度は綺麗なウェイトレス達に…。しかも小さな子供だから可愛くてモテモテとか羨ましいぞ、しんのすけ！！
ダクネス,こらこら、小さい子に嫉妬してどうするんだ、カズマ
アクア,プークスクス。小さい子相手に嫉妬とか、ちょーウケるんですけどｗｗ
めぐみん,まぁ、カズマはカズマですから…
荒くれ者,おい、ボウズ
しんのすけ,おっ？
荒くれ者,さっきから騒がしいが、もう少し静かに出来ないのか？
しんのすけ,アンタ、だれ？
荒くれ者,あぁん、アンタだとぉ？
アクア,ちょっとぉ、カズマさん、しんのすけがあのおじさんに絡まれるわよ
カズマ,う～ん。特に根は悪い人じゃないから大丈夫だとは思うけど、一応間に入るか。悪い。俺の知り合いが迷惑かけたみたいだな
しんのすけ,あ、カズマおにいさん
カズマ,ちゃんとお兄さんと呼んでくれて良かった。お前のボケからてっきり「おじさん呼ばわり」されるかと思ったが
荒くれ者,なんだ、お前の知り合いだったか
カズマ,ほんと悪かったな
荒くれ者,あーはは、気にしてないさ。むしろ、初対面の俺にアンタ呼ばわりするその度胸、なかなかのガキだと思ってな
しんのすけ,カキじゃないぞ、オラは野原しんのすけ。好きな花言葉は、可燃物だゾ
カズマ,カキじゃなくて、ガキな。後、そんな花言葉も無いからな
荒くれ者,あーはっはっは、面白いガキだ。気に入った……おい、ボウズ
しんのすけ,なぁ～に？
荒くれ者,お前、将来なかなかの大物になるかもしれないな
カズマ,えっ？
しんのすけ,おー、おじさん怖いけど、中身は優しいゾ
カズマ,おい、しんのすけ、一言余計じゃないか！？
荒くれ者,あーはっはっは、正直でいいじゃないか。ますます気に入ったぞ、ボウズ
しんのすけ,おじさんこそ
荒くれ者・しんのすけ,「あーはっはっはっは」
カズマ,どうやら、大丈夫のようだな…。。次はここだ。
アクア,ちょっと、なんでここなのよ！？巡る場所なんて他にあるでしょ？
カズマ,俺たちが良く出入りする所を巡るのが一番だろ。だったら、ウィズの店だって当てはまるだろ
アクア,よりによって、なんでクソアンデットの店なんか…
しんのすけ,おー、なにここ？
ダクネス,ここは、魔道具を売ってるお店だ。
めぐみん,特に、男たちがかなり訪れるって事で評判ですよ
しんのすけ,ほっほぉ～、男共が訪れるという事は……綺麗なお姉さんの店員がいるという訳ですなぁ～
カズマ,あぁ、その通り。それもとびっきりな！！
？,いらっしゃいませ♪
しんのすけ,おおおおおぉぉぉーーーーーーーーー、おねいさぁ～～～んっ/////
？,えっ、えぇっ！？
しんのすけ,ねぇねぇ、おねいさんは、納豆にネギは入れるタイプ、それとも入れないタイプ～？
アクア,しんのすけの奴、あんなクソアンデットにデレデレしちゃって…。
？,えっ、えっと！！？あのぅ…その…なっとうとかねぎ、というのは一体なんなんですか！？
カズマ,なんだ、怒ってんのか？
アクア,怒ってないわよ！ただ、あいつが子供とかに好かれてるのが気に食わらないだけよ！！
？,そうでしたか。カズマさんの親戚の方だったんですね
カズマ,悪かったな。いきなり自己紹介もせず、しんのすけが失礼したよ
？,いいえ、大丈夫ですよ。
カズマ,ほら、しんのすけ、挨拶しろ
しんのすけ,初めまして、オラ野原しんのすけ、5歳。趣味は人に優しく出来ること
めぐみん,それは趣味とは言いませんよ。むしろ、長所です
ウィズ,そうですか…しんのすけさんですね。私はウィズと言います、よろしくお願いします
しんのすけ,おぉーーー、ウィズおねいさん、よろしくだゾ///
カズマ,そういえば、バニルはどうした？
ウィズ,バニルさんは商品の仕入れに行ってます
カズマ,そうか。せっかくだから、バニルにもしんのすけを紹介してやろうと思ったが、留守ならしょうがないか
アクア,なっ、ちょっとぉ、カズマァ！！？
カズマ,なんだよ？
アクア,なんでクソアンデッドに会わせるのも嫌なのに、今度はクソ悪魔にしんのすけを紹介するなんてどういうつもりよ？
カズマ,別に。せっかく寄ったんだ。居たら、紹介するのが当たり前だろ
アクア,まったくこれだからヒキニートは…
カズマ,関係ないだろ！？
アクア,まっ、あいつが居なかったのはちょうど良かったし。それにウィズに紹介出来たのなら、もういいわよね。ほら、しんのすけ。こんなお店おさらばして、さっさと次の所に行くわよ
ウィズ,こ、こんなお店……
しんのすけ,えぇ～～、オラ、ウィズおねいさんとまだまだ居たいぞ！！
アクア,はぁっ！？
ダクネス,ははは、しんのすけは本当に美人に弱いのだな。まるで変態のカズマを見てるみたいで、退屈しない
カズマ,おい、誰が変態だ！？俺は鬼畜だが、変態じゃないぞ！！
めぐみん,おや、いっつもスティールで女性のパンツを盗っているのは、どこの誰でしょうか？
カズマ,うん。これ以上、何も言えない…。
しんのすけ,ウィズおねいさぁ～～ん/////
ウィズ,なんだか、よくは分かりませんが、懐かれているみたいですね。
アクア,くぅ～～。しんのすけ、いつまでもこいつにデレデレしてると、必ず襲われてアンデッドにされちゃうわよ！！
しんのすけ,おっ？
ウィズ,ええええぇぇーーーーーーっ！！？
ダクネス,お、おい、アクア。いくらウィズがアンデッドの王リッチーだからと言ってもそれは言い過ぎじゃ…
アクア,甘いわよ、ダクネス。このアンデッド、絶対に今まで美貌でたぶらかしてきた男共を裏でアンデッドにしてるに違いないわ
ウィズ,ひ、酷いですよ、アクア様！？確かにリッチーだから疑われても当然でしょうが、私は断じてそのような行為はしていません、それに私は人だって襲いませんし、アンデッドにする程の力も使えませんよ
アクア,どうかしら～？
ウィズ,うぅ……
しんのすけ,っ！
アクア,まっ、どのみちアンデッドは穢れた存在だし、そこのクソアンデッドだって見た目と言動は綺麗でも、どうせ心の中は穢れてるわよ。あぁ～、汚らわしい…
ウィズ,…………
めぐみん,あ、アクア…いくらなんでも言い過ぎでは…
しんのすけ,アクアちゃん！
ウィズ,っ！
めぐみん,っ！！
アクア,な、なによ……？（あ、アクアちゃん…ですって……！？）
しんのすけ,ウィズおねいさんは悪くないゾ。何も悪い事してないのに、なんで酷い事言うの！！
カズマ,おっ！
ダクネス,これは…
アクア,な、なに、しんのすけ…貴方、こんな奴、庇うの？貴方は知らないかもしれないけど、こいつアンデッド…つまり、貴方の世界で言う「ゾンビ」と同じ存在なのよ。それもこいつは、アンデッドの王で、リッチーなのよ！？
しんのすけ,ゾンビでもトンビでも、オラには関係ないゾ！！ウィズおねいさんは綺麗で、美しい。オラには分かるもん……ウィズおねいさんは心の中も綺麗で、優しいって事が
ウィズ,っ！///
アクア,初対面なのに、どうして分かるのよ！？
しんのすけ,綺麗なおねいさんは皆、そうだから
アクア,根拠になってないわよ！！
カズマ,いや、でもしんのすけの言う通りだ。いくらウィズがアンデッドとはいえ、偏見はよくないな
ダクネス,そうだな。誰もやらない墓地の除霊を自ら進んでやったり、仲間の為に人間を捨ててリッチーにまでなった。ウィズの場合は、優しいところだらけじゃないか
アクア,あ、アンタたちまで…。まるで私が悪者みたいじゃないの
めぐみん,もはや、そうとしか見えませんけど…
アクア,なんですよおおおおぉぉーーーーー！？アンデッドが悪い存在だって事は確かなのにーー！？
しんのすけ,人の悪い部分だけしか見ない人は駄目な奴だって、とうちゃんも言ってたゾ。アクアちゃんも、おんなじ。だから、見た目は良くても、中身はダメダメなんでしょ？
アクア,なっ！！？
カズマ,ぷっくくっ…///まさにその通りだｗｗいいぞ、しんのすけ…良い事言った、ナイスだ！！
アクア,うぅ………
めぐみん,アクアが落ち込んでしまいましたね
ダクネス,はぁー、しょうがない。もうおいとましようじゃないか
カズマ,そうだな。もうしんのすけに紹介出来たし、行こう
しんのすけ,えーーー
カズマ,いいから、ほら行くぞ、しんのすけ
しんのすけ,ほーい。まったく我が儘ですなぁ…
ウィズ,しんのすけさん
しんのすけ,おっ///
ウィズ,私を庇って下さって、ありがとうございます。
しんのすけ,いやぁ～、それほどでも///
ウィズ,また来て下さいね♪今度は、お礼にうちのお店の商品をぜひ
カズマ,ゲッ、ヤバッ！？
しんのすけ,今度とは言わず、今からでもウィズおねいさんの愛の商品をオラｎ///
カズマ,ほら、し、しんのすけ、さっさと行くぞ！？
しんのすけ,あ～ん、ウィズおねいさぁ～ん！！
ウィズ,あ……
カズマ,じゃあな、ウィズ。また来るぞ！！。ふぅ～。さて、次はどこｎ？「あれ、ダクネス？
ダクネス,お、クリスじゃないか
クリス,久しぶり。で、こんなところで一体、何しているんだい？
ダクネス,あ、いや、ちょっとな
クリス,んっ？
アクア,………
クリス,うわっ、どうしたのさ、アクアさん？！なんだかいつもと元気がないようだけど？
カズマ,なに、大したことないさ
めぐみん,どうせ、すぐに元気になりますよ
クリス,いや、余計気になるんだけど…んっ？
しんのすけ,………
クリス,もう一つ気になったけど、その子だれっ！？
カズマ,あぁ、こいつはしんのすけと言って、俺の親戚の子なんだ
クリス,えっ、君の親戚？
しんのすけ,よっ！
クリス,もしかして、アクア先輩がテレパシーで言ってた、異世界に迷い込んだ子って、この子……
しんのすけ,ところで、お兄さん、だれ？
クリス,お、お兄さん！！？
ダクネス,ははは、たまに男に間違えられる事があったな、クリスは
クリス,もう、ダクネス笑わないでよ！？それと君、あたしはクリスと言って、お兄さんじゃなくてお姉さん。ちゃんとした女性だよ
しんのすけ,ほぉほぉ。という事は、女装した人と同じですかぁ
クリス,話を聞いてたかな！？あたしは本当に女性だよ！？というか、女装した人ってだれの事かな？
しんのすけ,じゃあ、オカマ？
クリス,オカマじゃないって！？
しんのすけ,もぅ～、クスリお兄さんはいちいち注文が多いゾ…
クリス,クスリじゃなくて、クリス！それとお兄さんじゃなくて、お姉さん。しかも注文じゃなくて、訂正を促しているだけだからね！？
カズマ,クリスがしんのすけに相手に振り回されるよ
ダクネス,私もあそこまでツッコミを入れるクリスを、初めてみたぞ
めぐみん,これは、しんのすけ恐るべしと言うべきでしょうか…
クリス,とにかくあたしは正真正銘の女性だよ。
しんのすけ,ほぉほぉ
クリス,で、職業は義賊だよ
しんのすけ,きそく？
クリス,義賊！子供には難しいかもしれないけど、金持ちから金品を盗んで貧乏な人に分け与える盗賊…はやい話が、泥棒みたいなものかな
しんのすけ,おぉ、クリスちゃんって悪い人なんだ！
クリス,いや、クリスちゃんって、どうしてちゃん付け？それと、悪い人かもしれないけど、あくまでも正義な泥棒って訳で…
しんのすけ,なんで悪いのに、正しいの？ねぇ、なんで？
クリス,あ、いや、それは……
ダクネス,自分から説明しておいて、後から別の説明に困ってどうするんだ…
クリス,ちょっと面倒な子かも…。アクア先輩の言う通り急いで、しんのすけ君を元の日本に戻す手筈を整えないと…。あ、あたし今から大事な用があるから、これで。またね、ダクネス
しんのすけ,あ……
カズマ,おい、あれって…
ダクネス,あぁ、100％逃げたな
めぐみん,………
ダクネス,どうした、めぐみん？
めぐみん,いえ、ダクネスの知り合いと会ったという事は、私もなにやら何かに会うような予感が……
？,あーー、めぐみん！！
めぐみん,！？……やっぱり
ダクネス,んっ、この声は…
カズマ,まさか…
？,やっぱりめぐみん。ここで会う時は偶然ね。さぁ、今回も私と勝負しなさい
めぐみん,はぁー、またですか、ゆんゆん
ゆんゆん,何よ、その露骨に嫌な態度は！？
しんのすけ,おっ！
カズマ,ゆんゆん、久しぶりだな
ダクネス,久しぶりだ
ゆんゆん,カズマさん、それにダクネスさんに…
アクア,……
ゆんゆん,アクアさん、どうして落ち込んでいるんですか？
カズマ,まぁ、訳アリってヤツだ。余り、気にするな
ゆんゆん,そうですか…
しんのすけ,ほぉほぉ。見た目は幼いけど、そこはボインボインですなぁ
ゆんゆん,ひゃあ、な、なに！？
カズマ,やっぱびっくりするか、いきなり現れれば
ゆんゆん,そうなんですか。カズマさんの親戚の…
しんのすけ,オラ、野原しんのすけ、5歳。気軽にしんちゃんと呼んでもかまわないゾ
ゆんゆん,そうなの。あ、私はゆんゆん。そこにいるめぐみんのライバルよ。よろしくね、しんちゃん
めぐみん,まったく、誰が貴方みたいなぼっちを、ライバルなんかと…
ゆんゆん,酷いよ、めぐみん！？
めぐみん,酷くありませんよ。貴方は所詮ぼっち、ぼっちにライバルは不要でしょ？
しんのすけ,えぇー、ゆんゆんちゃんって、びっちなの？
ゆんゆん,しんちゃん！？び、びっちじゃなくて、ぼっちだよ、ぼっち！！。って、私…ぼっち、じゃないよ！？
カズマ,ノリツッコミが、凄いな
めぐみん,しんのすけが間違えたビッチに、ピッタリですよ、ゆんゆん
ゆんゆん,なんでよ？！
めぐみん,これですよ。このいやらしい脂肪の塊ですよ！！
ゆんゆん,ひゃあ！？
カズマ,おっ！
しんのすけ,うん。やっぱり、ゆんゆんちゃんって顔は幼いけど、お胸はたまりませんなぁ～
めぐみん,ほら、そこの二人も興奮していますよ。やっぱり、ビッチですよ、ゆんゆんは
ゆんゆん,違うから！？もう、自分にはないからって、八つ当たりは止めなよ！！
めぐみん,生意気ですよ、ボッチの癖に
ゆんゆん,ひゃあ！？。ぼっちじゃないから、私だって友達がいるんだから
めぐみん,じゃあ、言ってください、誰ですか？
ゆんゆん,え、えぇと…
めぐみん,やっぱりいないじゃないですか
ゆんゆん,いや、だから……
しんのすけ,しょうがない。ゆんゆんちゃん、オラが友達になってあげるぞ
めぐみん,えっ？！
ゆんゆん,しんちゃん！？
しんのすけ,なんだか、ゆんゆんちゃんが毛の毒に見えるから
カズマ,それを言うなら、気の毒な！
しんのすけ,そうとも言う～、サンキューフォーユ～
ゆんゆん,しんちゃん…ありがとう。
めぐみん,な、なんですか、これは！？
ダクネス,しんのすけ、優しいじゃないか
しんのすけ,えへへ～///ゆんゆんちゃんと友達になっておけば、将来きっと…///
カズマ,そういう事か…。しんのすけって案外、打算的なのか？
ゆんゆん,どう、めぐみん？私だってしんちゃん、という立派な友達がいるんだよ
めぐみん,ふん。面白くありませんね
ゆんゆん,負け惜しみかしら、めぐみん？
めぐみん,いつから勝負みたくなったんですか！！
ゆんゆん,気分がいいから、今日はこれで勘弁してあげるわよ
めぐみん,あ、こら！？
ダクネス,だが、友達と言っても、普通は同年代だろ？しんのすけは年下だから、どう考えても…
カズマ,言うな。ゆんゆんは、しっかり喜んでるとこだろうし！
？,サトウカズマ！！
カズマ,この声は…！
ダクネス,この無性に殴りたくなるような嫌な声は…！
めぐみん,爆裂魔法を撃ちたくないような声は…！
？,今、見つけたが、アクア様に何をしたんだ！？
カズマ,お前か…カツラギ
ミツルギ,カツラギって誰だ！！僕はミツルギだ、御剣響夜（ミツルギキョウヤ）！
カズマ,別に何もしてねぇよ…
ミツルギ,嘘をつくな。アクア様が、目の前で元気がないじゃないか！！
アクア,………
カズマ,大したことはない。以上
ミツルギ,終わらせられるか！？。大体、君は……んっ？
しんのすけ,ほぉー……
ミツルギ,だ、誰なんだい？
カズマ,あぁ。そいつは俺の親戚の子で、しんのすけって言うんだ
しんのすけ,よっ！
ミツルギ,親戚？もしや、この子も僕や君と同じく転生者なのかい？
カズマ,まっ、そんな感じだ！
しんのすけ,………
ミツルギ,え、えぇと…ボウヤ、僕の顔に何かついてるのかな？
しんのすけ,お兄さん、ひまが好きになるタイプかも
ミツルギ,へっ？
カズマ,ひ、ひま？
？,たあ～///。たたたたたっ///
カズマ,んっ、なんだ？
ミツルギ,な、何か小さなものが、こっちに…
しんのすけ,お～、あれは
？,たーやー///
ミツルギ,なっ！？
カズマ,子供…いや、赤ん坊！？
しんのすけ,おー、ひま！
ひまわり,へへっ///
ミツルギ,な、なに一体？！
ダクネス,なんだ、どうしたんだ？
めぐみん,よくは分かりませんが、あの可愛い赤ん坊が、スカした男にしがみついているようですね…。
カズマ,一体、どこから…。ってか、しんのすけ今、ひまって言ってたけど、お前の関係者なのか？
しんのすけ,そうだゾ。ひまは、オラの妹。野原ひまわりだゾ
カズマ,えっ、この子、お前の妹なのか！？
しんのすけ,うん
ひまわり,へへっ///
クレメア,キョウヤーーー！
