ブラックジャック,ポケモンマスター？｣レッド｢・・・
タケシ,あ、あれ？ゲンガー？
ジョーイ,助手です！！
グリーン,・・・・・
キリコ,・・・・・・
タケシ,どうなんですか先生・・・。息してますか？。ゴロウはゴロウは・・・。ゴロオオオオオオオオオオオ！！！！！！！
キリコ,虫の息だ
タケシ,ゴロオオオオオオオオオオオオオ！！！！！！！
ジョーイ,！！
グリーン,！！
タケシ,！！
キリコ,・・・！！
ゲンガー,・・・・・・ごほっごほっ
タケシ,お、おい！！触るなゲンガー！！
ゲンガー,ごほっ
タケシ,セキもしてるじゃないか！！風邪もひいてるんじゃないか！？
キリコ,・・・いや、待て・・・
ジョーイ,・・・・・！！
ゲンガー,・・・・・・
キリコ,驚いた・・・・
ジョーイ,このゲンガー・・・ずっと不思議だったんですけど・・・まさか人間まで・・・
キリコ,人間まで？
グリーン,！・・・・・
ジョーイ,このゲンガー・・・ポケモン達の治療を完璧にこなせるんです
グリーン,・・・・・・・・
キリコ,・・・・・・・どれ・・・
グリーン,・・・！
キリコ,私ができる処置はここまでだ・・・そのまま固定していたまえ
タケシ,は、はい！！
ゲンガー,べろべろべろべろ
タケシ,ありがとうございました先生！
キリコ,おいおいよしてくれ、私は何もしていない・・・
タケシ,ゲンガー！ありがとな！！
ゲンガー,・・・・・・・・・ごほっ
グリーン,・・・・・・・
ジョーイ,やっぱり・・・
キリコ,？
ジョーイ,このゲンガー・・・ここにいるのは・・・宝の持ち腐れだわ
グリーン,・・・！。ポケモンをお探しなんですか？先生
キリコ,・・・ああ
グリーン,このゲンガーは・・・ある人から特殊な訓練を受けたゲンガーなんです
ジョーイ,え？
キリコ,・・・・・
グリーン,きっと・・・もっとたくさんのポケモン達や、・・・人間達に関わるべきなのかもしれません
ジョーイ,・・・・・・・・。・・・・その通りね
ゲンガー,・・・・・・・
キリコ,その点なら心配ない、私を必要としている人間は大勢いる。きっとそのゲンガーも、もっともっと役に立つさ
グリーン,・・・・・・。ゲンガー・・・お前が決めるんだ
ゲンガー,！。・・・・・・・。べろべろ！
グリーン,行きたいか！よし！！
キリコ,・・・・・・・
グリーン,ゲンガーのことよろしくお願いします
キリコ,ああ・・・悪いようにはしないさ・・・
ジョーイ,・・・・・・・
グリーン(この人はどことなく・・・,あの人
キリコ,モンスターボール？どうやって使うんだ？
ジョーイ,え！？それはこうして・・・
グリーン,・・・・・・・・
キリコ,フフフフフ・・・・・それでは・・・
グリーン,え、ええ、またどこかで・・・
ジョーイ,あら？どうしたの？タケシ君
タケシ,・・・・
グリーン,どうした？タケシ
タケシ,・・・・・・。ゴローが・・・ゴローが・・・
ジョーイ,え・・・？
グリーン,！！。！！！！。脈がない・・・！！
キリコ,・・・・・・・。あれはもう・・・時間的に・・・ぎりぎり助からないね。それにしても・・・。生き物の生かし方を知っているのなら。死なせ方も知っているということだろう・・・？。フフフフフ・・・
ゲンガー,・・・・・・・
キリコ,・・・・おや？
コジロウ,うわ！もう帰ってきた！！
ムサシ,えー！！ちょっと早すぎー！！
ニャース,あぶないにゃあ、早く移動させてよかったにゃあ！！
キリコ,・・・・・？
ムサシ,残念でしたーここにはもうサカキ様はいませんよー
コジロウ,この地方のどこを探しても見つかんないぜぃ！！
ニャース,そ～なのにゃ！！あきらめて返金するのにゃ！！
キリコ,・・・・・
ムサシ,ほらほら早く！！お金を返してとっととうちに帰るのよ！！
キリコ,返金したいのはやまやまなんだが・・・このあたりに私のカードを使える銀行がなくてね・・・
ムサシ,はぁ？
キリコ,てっとりばやくコガネシティに向かう手段はないのかねぇ・・・
コジロウ,そりゃあ・・・
ニャース,とりポケモンに空を飛ばせるのが一番にゃあ！
キリコ,空を飛ばせる・・・？
ムサシ,だからぁその辺にいるポッポを捕まえてぇ、空を飛ぶを覚えさせんのよ！！
キリコ,・・・私にやって見せてくれないか？
ムサシ,はぁ！？
ニャース,なんでみゃあ達がわざわざおみゃあのためにそんなことするにゃあ！！
キリコ,いいんですかね？このまま返金しないで帰るかもしれないぞ・・・？
ムサ・コジ・ニャ,そ、それは・・・
キリコ,フフフフフ・・・
ポッポ,チュンチュン・・・
ムサシ,い～い？よく見てなさいよ？。ポケモンをゲットするには、こ～やんのよ！！
ニャース,今だにゃ！！
コジロウ,そぅれぃっ！！！
ポッポ,チュンチュンチュン！！！
ムサシ,なにやってんのよあんた達！！しっかり押さえなさいよ！！
ニャース,このポッポ、力が強いにゃあ！！
コジロウ,この・・・・っうわっ！！！
ムサシ,・・・あ～あ・・・
ニャース,逃げられてしまったにゃ
キリコ,・・・・・・・・・。このボールを・・・使うんじゃないのか？
ムサシ,あーーー！！！モンスターボール！！！
ニャース,なんでおみゃあがそんなもの持ってるにゃあ！！
コジロウ,俺達でも買えないってのに・・・！！
キリコ,・・・・・・。さっきある人からいろいろ譲ってもらってね・・・
ムサシ,いいから早く貸しなさいよ！！
コジロウ,ああ！ムサシィ！？
ムサシ,いけ！！モンスターボール！！
キリコ,・・・・・！
ポッポ,チュンチュンチュン！！
コジロウ,おお！？
ニャース,ムサシは豪腕なのにゃ！！
ムサシ,！！！
コジロウ,あちゃ、やっぱ元気ぴんぴんのままじゃ駄目かあ・・・
キリコ,弱らせれば・・・いいのかね・・・？
コジロウ,あ、ああ・・・そうだけど・・・
キリコ,・・・ゲンガー・・・
ゲンガー,・・・・ごほっごほっ
ムサ・コジ・ニャ,！！
キリコ,ゲンガー・・・・・
ゲンガー,・・・・・・
キリコ,少し痛めつけてやれ
ムサ・コジ・ニャ,！？
ゲンガー,・・・・・・
キリコ,おい・・・？
ムサシ,だめよぉ！そんな指示じゃ！！
ニャース,ちゃんと技を指示しなきゃ動いてくれないにゃ！！
キリコ,技・・・？
コジロウ,え、え～と・・・そのゲンガー、何を覚えてるんですかね？
キリコ,・・・？さあ・・・
ムサシ,さあ？じゃないわよあんた！！
コジロウ,きあいだまなんてどうだろう？
キリコ,きあいだま？
ニャース,いいからさっさと指示するにゃ！！
キリコ,・・・ゲンガー、きあいだまだ。・・・死なない程度にな
ゲンガー,・・・・・・・ごほっ
ポッポ,チュンチュンチュン！！！
ムサシ,わふぅ！！きまったぁ！！
キリコ,・・・よくやったゲンガー・・・
ゲンガー,！べろべろべろ！
ニャース,いまだにゃ！！モンスタボールを投げるのにゃ！！
キリコ,・・・・・・・・
ムサシ,やったわ～！！野生のポッポ、ゲットでちゅん
ニャース,はやく空を飛ぶを覚えさせるにゃ！！
コジロウ,え、え～っと、どこにやったっけな秘伝マシン・・・
キリコ,待て
ムサ・コジ・ニャ,は？
キリコ,治療が先だ
ムサ・コジ・ニャ,はぁ～！？
キリコ,・・・・・・
ムサ・コジ・ニャ,・・・・・・・
キリコ,・・・・これでよし・・・
ポッポ,ちゅん！
ムサシ,ちょっとちょっと～、ど～見たって殺し屋には見えないじゃないのよ～
ニャース,ポケモンには優しいのにゃ？
キリコ,人もポケモンも、楽になりたきゃ逝かせてやるさ・・・。フフフフフ・・・
コジロウ,いい人なのか悪い人なのかいまいち分かんないな
ムサシ,い～いこと！？あんたはポッポでアタシ達の気球の後を追ってくること！！
キリコ,なんだ・・・気球があるなら初めから・・・
ニャース,気球は定員オーバーなのにゃ！！
コジロウ,そ～いうことだ！！
キリコ,・・・・・・
ムサシ,空を飛ぶはポケモンが一度行ったことある町じゃないと迷っちゃうからね！
コジロウ,はぐれないようお願いするぜぃ！！
ニャース,逃げようと思ってもおみゃあの商売道具の医療道具は全てわれわれの気球にのっけたにゃ！！
キリコ,・・・・・・
ムサシ,じゃあしゅっぱーつ！！！
ニャース,はぁ～のどかだにゃ～
コジロウ,でもさぁボスがあんな状態なのにこれからどうすんのかね？
ムッサシ,知らないわよそんなこと
ニャース,そうなのにゃ、後のことはあとで考えればいいのにゃ
コジロウ,で、でも・・・
キリコ,・・・・・・・
ムサシ,あ、ポッポの大群
ニャース,大自然の神秘だにゃあ
コジロウ,お、おいちょっと待て・・・
ムサ・コジ・ニャ,あーーーー！！！！
ムサシ,なんで群がってくんのよこのポッポ！！
ニャース,だ、大自然の神秘だにゃ！！
コジロウ,なんだそれ！？
ムサ・コジ・ニャ,あ
キリコ,・・・・・・
ムサシ,これはもしかしして・・・
コジロウ,もしかすると・・・
ニャース,穴をあけられたにゃ
ムサ・コジ・ニャ,やなかんじーーーー！！！！！！！！
キリコ,・・・・・・・。・・・お前が、呼んだのか・・・？
ポッポ,チュン！
キリコ(私があいつらを,邪魔だ
ポッポ,チュン
キリコ,医療器具は・・・まあどこかで譲ってもらうか。幸い本当の商売道具はとりあげられずに済んだしねぇ・・・フフフフフ・・・。お前、コガネシティの場所が分かるのか？
ポッポ,ちゅん・・・
キリコ,分かった、ここでいったん降ろしてくれ
ポッポ,チュン！
キリコ,・・・・・・・
ウツギ,待ちたまえゴールド君！！。チャンピオンまで放り出して赤い髪の少年のところにいくって・・・。何？他にもやりたいことがある？なんだいそれは・・・
ゴールド,・・・・・・・
キリコ,？
ウツギ,ゴールド君！！
キリコ,おっと、失礼・・・
ウツギ,あ、すいません・・・
キリコ,今の少年は・・・？赤い髪の少年がどうとか・・・。もしかして・・・シルバーって子じゃないですかね・・・？
ウツギ,！！シルバー君を知ってるのかい！？
キリコ,ええ・・・今・・・・探している最中ですがね・・・
ウツギ,！！ちょうど良かった！ちょっと頼みごとを聞いてもらえませんか！？
キリコ,・・・ふむ・・・
ウツギ,さっき走っていった子、ゴールドっていうんですが。急にシルバー君のところに行くって言って飛び出して行っちゃったんです。あの子もついでに引き戻してくれませんか？
キリコ,フフフフフ・・・お安い御用だ・・・その代わり・・
ウツギ,？
キリコ,私に協力してもらえますかね？
ウツギ,はい？
キリコ,なぁに簡単なことさ・・・私は、まあ、医者のようなものなんですが。ポケモントレーナーとしては右も左もわからない初心者でしてね・・・
ウツギ,！はい！僕はこれでもポケモンの研究者でして！なんでも協力しますよ！
キリコ,フフフフフ・・・・ありがたい・・・
ウツギ,ちょっと手持ちのポケモン見せてもらえますか？
キリコ,・・・・・・・・
ゲンガー,・・・・・・
ポッポ,チュン
ウツギ,このポッポは？
キリコ,ええ・・・まあ・・・さっき捕まえた・・・空を飛ぶ要員ってところですかね・・・
ウツギ,こんな小さいポッポじゃ足につかまって飛ぶのが精一杯でしょう？。もっと大きな、背中に乗れるポケモンをお貸ししますよ！
キリコ,・・・・・・・・。いや・・・それは・・・
ウツギ,？
ポッポ,チュン
キリコ,・・・・・・。私は今・・・腕を鍛えてましてね・・・
ウツギ,はい？
キリコ,このポッポがちょうどいいんですよ・・・
ポッポ,チュン
ウツギ,・・・そうですか。それで、このゲンガーはと・・・
ゲンガー,・・・・・・ごほっ。・・・・・・・
ウツギ,失礼ですが、このゲンガーは？
キリコ,貰い物ですよ、ただの
ウツギ,そうですか・・・・
キリコ,何か？
ウツギ,いえ・・・あなたはバッジを持っていますか？
キリコ,バッジ？
ウツギ,はい。ポケモン達はジムリーダーに勝つともらえる、バッジという強さの証
キリコ,？さっきは従っていたぞ
ウツギ,まあ、そういうこともありますよ、気まぐれですから
キリコ,・・・・・・・・
ゲンガー,・・・・・・・ごほっ
キリコ,それでは・・・そのジムリーダーと呼ばれる人間を倒せばいいんですかね
ウツギ,まあ、そうなんですけど
キリコ,？
ウツギ,あなたの場合は、まず、あなたがポケモンについて知ることが先決でしょうね
キリコ,・・・・・
ウツギ,ああ、心配しないでください。私と研究員のみなさんがしっかりサポートすると思いますから
キリコ,！・・・
ウツギ,泊まる場所はそうだな・・・。ゴールド君の家に行ってみてください。彼を連れ戻すためだって言えば喜んで泊めてくれると思いますよ！
キリコ,・・・・・・・・・。どうもご親切に・・・
ウツギ,いえいえ、とりあえず、トレーナーの入門書です
キリコ,・・・・・・・。ついでに・・・
ウツギ,はい？
キリコ,ポケモンの医学書等も・・・お願いできますかね・・・
ウツギ,え？ええ、構いませんが、ああ、ゲンガーがセキをしてますね
キリコ,いや、まあ・・・これでも人間のほうは診れる・・医者なので・・・。しかし、もっといろんなポケモンの体内の構造が知れるような・・・専門書もありませんかね？
ウツギ,そうですね・・・・分かりました！明日の朝には届けましょう！
キリコ,何から何までありがとうございます・・・。感謝しますよ
ウツギ,いえいえ！
キリコ,フフフフフ・・・・それでは・・・。フフフフフ・・・・
ゴールドママ,あら！いらっしゃい
ママ,ウツギ博士から話はお聞きしてますわ！！
キリコ,お世話になります・・・
ママ,いえいえ！どうぞ、あがってください！
キリコ,フフフフフ・・・・。フフフフフ・・・・
ゴールド,・・・・・・
シルバー,！きたかゴールド
ゴールド,・・・・・
シルバー,ああ・・・すまない・・・。・・・おれの、オヤジだ
ゴールド,・・・・・
シルバー,！！。知っていたのか？
ゴールド,・・・・・・
シルバー,ロケット団のことまで・・・
ゴールド,・・・・・
シルバー,それでも・・・協力してくれるのか？
ゴールド,・・・・・
シルバー,・・・・・！！！。・・・ありがとう・・・
ゴールド,・・・
シルバー,だけど、無理するなよ。お前は、ポケモンバトルは強いけど、メンタル面が弱いからな
ゴールド,・・・・・
シルバー,それじゃあ。たのんだぞ
ゴールド,・・・・・・
サカキ,・・・・・・・
キリコ,それでは博士・・・ゴールド君のお母さん・・・ありがとうございました
ウツギ,困ったことがあったらまた寄ってくれ！
ママ,話し相手がいて楽しかったですわ
キリコ,フフフフフ・・・。地図も・・・ありがとうございます
ウツギ,最初に尋ねるのはアサギシティかい？
キリコ,ええ・・・まあ・・・腕試しですよ・・・。・・・では・・・
ポッポ,チュンチュン！
キリコ,・・・・・・・・。さっそく・・・ジムに向かうか・・・
男,そこのお方
キリコ,！
男,ジム戦の申し込みですか？
キリコ,・・・そうだが？
男,今はジムリーダーが不在で受け付けてないんです
キリコ,何・・・？。自分の仕事をほっぽりだして・・・今どこにいる
男,・・・たぶん、灯台にいると思います
キリコ,そうか・・・
ミカン,・・・
デンリュウ,・・・
ミカン,！
キリコ,こんにちは・・・お嬢さん・・・
ミカン,・・・ジム戦希望の方ですか？
キリコ,ええ・・・そうなんですがね・・・
デンリュウのアカリちゃん,・・・・・・・
ミカン,すみませんが今、あたしは手が離せないんです。ジム戦でしたらまた後日・・・
キリコ,・・・そこのポケモン・・・
ミカン,！
キリコ,病気かね
ミカン,・・・はい、それが何か
キリコ,私は医者のようなものでして・・・ちょっと見せてもらえませんかね
ミカン,・・・・・。どうぞ
アカリ,・・・・
ミカン,・・・・・・。薬が・・・効かないんです。なんでもなおしもタンバの薬も・・・。・・・・・・。専門のかかりつけ医も・・・さじを投げました。・・・・・・
アカリ,・・・・・・
キリコ,・・・少し休まれたほうがいい。あなたは少し・・・疲れているようだ
ミカン,いえ、あたしは・・・
キリコ,おっと。ほら・・・言ったとおりでしょう
ミカン,・・・・・
キリコ,おい！誰かいないか！！。！おいそこのお前！
通りすがり,ぼ、ぼくのことなんだな？
キリコ,ちょっとここまであがって来い
通りすがり,な、何か用なんだな？
キリコ,この娘をジムまで送りとどけてくれないか？
通りすがり,ぼ、ぼくが送りとどけるんだな！？
キリコ,そうだ・・・気を失っている・・・丁重に扱ってくれよ
通りすがり,ふ、ふひひ！！ミカンちゃんなんだな！！
キリコ,私はこのポケモンの看病をしなければならない。さあ、早くいけ
通りすがり,ミ、ミカンちゃんの肌、透き通ってるんだな！！
キリコ,さて・・・
アカリ,・・・・・・・・
キリコ,どうした？
アカリ,・・・・・・・・
キリコ,そうか・・・苦しいのか。見れば分かる
アカリ,・・・・・・・・
キリコ,・・・・・。・・・死にたいのか？
アカリ,・・・・・・・・。・・・・・・・
キリコ,残念ながら私はね・・・報酬がなければ仕事はしない主義なんだ
アカリ,・・・・・。・・・・・ジ・・・ム・・・。・・・・・・ジム・・・・
キリコ,・・・！。報酬は・・・。ジム戦か・・・！
アカリ,・・・・・・・
キリコ,・・・いいだろう。楽にしてやる
アカリ,・・・・・・・
キリコ,・・・ゲンガー
ゲンガー,・・・・・・ごほっごほっ
キリコ,・・・おいおい・・・まだ治ってないのか？体調管理はしっかりしろよ？
ゲンガー,・・・・・・・・
キリコ,催眠術だ
ゲンガー,・・・・・・・
アカリ,・・・・・・・・・
ミカン,アカリちゃん！！
キリコ,・・・・・・・・・。・・・今しがた・・・息を引き取りましたよ
ミカン,・・・！！！！！！。アカリちゃん！！アカリちゃん！！！
キリコ,・・・・・・
ミカン,アカリちゃん・・・！
キリコ,・・・・・・。・・・・・・。仕方のないことですよ・・・これがそのポケモンの・・・寿命だったってことさ・・・
ミカン,・・・！！
キリコ,最後に言ってましたよ。あなたに看病してもらって嬉しかったってね・・・
ミカン,・・・・・！！！。あなた・・・
キリコ,？
ミカン,・・・あなたがやったの・・・！？
キリコ,おいおいよしてくれよ・・・人聞きの悪い・・・。私はただ近くで看取っただけだよ
ミカン,・・・・・！！！！！！
キリコ,その証拠にそのポケモンを遺体解剖してみるといい。なんら人為的な痕跡が残っていないはずだ
ミカン,・・・・！！！！！！！！！！。あなたが・・・あなたが・・・
キリコ,それでは・・・明日ジムにうかがいます。今日はゆっくりお休みください
ミカン,・・・・・・・
キリコ,・・・よくやったぞゲンガー
モンスターボールの中,べろべろべろ！
キリコ,フフフフフ・・・。お前はもう立派な・・・私の助手だ・・・。やあどうも・・・
ミカン,・・・
キリコ,昨日は・・・
ミカン,アサギジムのジムリーダー、ミカンです
キリコ,・・・
ミカン,はがねタイプってご存知ですか？。とっても硬くて冷たくて鋭くて。強いんですよ
キリコ,・・・・・
ミカン,行って！メタグロス！！
メタグロス,オーン・・・
キリコ,行け・・・ゲンガー
ゲンガー,・・・・・・・・
キリコ,いいか？ゲンガー・・・教えたとおりにやるんだぞ？
ゲンガー,・・・・・・・・ごほっ
キリコ,・・まあいい・・勝手にやれ
ゲンガー,・・・
ミカン,メタグロス！コメットパンチ！！
メタグロス,オーン・・・
ゲンガー,・・・・・
ミカン,！
ゲンガー,ホノオノパンチ！！
キリコ,よーし・・・いいぞゲンガー
ゲンガー,べろべろべろ！！
ミカン,お願い！ドータクン！
ドータクン,―――――――
キリコ,ゲンガー
ゲンガー,ｚｚｚ・・・
キリコ,おい。フフフフフ・・・
ゲンガー,ホノオノパンチ！！
ジバコイル,―――――――！！！！！！
キリコ,フフフフフ・・・幸運というものは・・・続くものだねぇ・・・
ミカン,・・・・・・
キリコ,・・・よくやったゲンガー
ゲンガー,べろべろべろ！ごほっごほっ
ミカン,・・・・・・・。・・・スチールバッジです・・・。もっているとレベル７０までのポケモンが言うことを聞くようになります
キリコ,フフフフフ・・・たしかに・・・
ミカン,それでは・・・次のジム戦も、がんばってくださいね
キリコ,！フフフフフ・・・では・・・
ミカン,・・・・・・・・。・・・。・・・・・・・。・・・・・・・・・・・。・・・・・・・・。あの男・・・あの男・・・！。・・・・・・・・！！！！！！！！！。うぅ・・・。ぅぅ・・・。ぅぅぅぅ・・・・・
キリコ,さて、仕上げというか・・・一応最後のバッジまでとっておこうか・・・。ポッポ
ポッポ,チュン。チュン
キリコ,よせ・・・次はフスベシティだ
ポッポ,チュン
イブキ,わたしがイブキ！世界で一番のドラゴンつかいよ！。わたしはトレーナー！。どんな相手だって全力でぶつかってあげる！！
キリコ,・・・・・・
イブキ(しかもこの男・・・圧倒的な,運
キリコ,・・・・・・・
イブキ,まず、私に勝てたことはほめてあげるわ！
キリコ,ほぅ
イブキ,でも心が成熟していなければバッジを受け取る資格はない！！
キリコ,・・・？
イブキ,一つだけ答えてちょうだい。強くなるために必要なことは何？
キリコ,・・・さあ。優しさですかねぇ
イブキ,！！。合格よ！！受け取りなさい！！ライジングバッジ！！
キリコ,おいおい・・・ノーコンなら投げないでくれ
イブキ,・・・。そのバッジを持っていれば全てのポケモンが言うことを聞くようになる！！
キリコ,そいつはありがたい・・・。ああそうそう。私は今・・・人を探してましてね。そういうのが得意な方をどなたか・・・ご存じないかな？
イブキ,そうね・・・人探し・・・。！そうだ！。四天王のイツキがそういう占いとかよく当たるらしいわ！！
キリコ,占い？フフフフフ・・・そいつはいい・・・
イブキ,と、とにかく、行く当てがないならセキエイ高原を訪ねてみることよ！！
キリコ,そいつはどうも・・・
イブキ,・・・・・・。やっぱりいい人だったわ
キリコ,ふむ・・・やれやれ・・・。ちょっとすいません
ジョーイ,はい？
キリコ,四天王のイツキさんに会うにはどうすればいいんですかね
ジョーイ,四天王とお会いするにはバトルを申し込むしかありませんわ！
キリコ,・・・こちらから入ればいいのかね？
ジョ－イ,え、ええ、ですけど・・・
キリコ,！！
ジョーイ,ここから先は貴金属類の持ち込みは禁止となっております！
キリコ,・・・・・。その器具は大事な商売道具だ・・・なくすなよ？
ジョーイ,はい！がんばってくださいね！
キリコ,・・・！
イツキ,ようこそポケモンリーグへ！！。ボクの名前はイツキ！。僕は努力してようやくこの地位まで登りつめた！！。ボクはもっと強くなる！！。ここで負けるわけにはいかない！！
キリコ,・・・・・
シバ,・・・・・
キリコ,おっと待ってくれ
イツキ,！？
キリコ,私はここに戦いに来た訳じゃない
イツキ,？
キリコ,人を探していてね・・・。シルバーとたしか・・・ゴールドといったか
シバ,！！
イツキ,！！
ワタル,ゴールドだってぇ！？
シバ,！？
キリコ,！？
イツキ,！？。ワタル！！また覗き見してたのか！
ワタル,俺だけじゃない！皆いるぞ！
キョウ,ニンニン！
シバ,俺は覗き見など小ざかしいまねはしない。初めからどうどうと立っていた
イツキ,ああ、気づいてた
キリコ,・・・フフフフフ・・・四天王が勢ぞろいという訳か
ワタル,そうそ、してんの・・・じゃない！！俺はチャンピオンだ！！
カリン,繰上げチャンピオンだけどね！
