詳しくは→サトシ,ポケモンハンターXXか
あまっじょちゃん,次わたしサンダー狩りにいきたい。はねほしい
邪王魔神,我らギルドを与し者たちは日々格付けされている
サトシ,！
邪王魔神,クエストをこなした数、難易度、タイム……そして乙の数。様々な要素を元に格付けされているのだ。我は…このランキングの…ポケハンの頂点に立ちたい。。故に。あきらかに足を引っ張っている者はいらぬ。貴様らとは覚悟は違うのだ
トゲデンヂロボ,そんな…ランキングって
サトシ,俺が……ギルドの足を……
ホシ,気にしないでサトシ。ランキングなんておまけよ
あまっじょちゃん,誰も貼らないならわたしサンダーのクエ貼るね
海王牙,丁度いいじゃん
サトシ,海王牙……
海王牙,私もこんなギルマスの下はつまんねーと思ってたしいい抜ける機会だ
トゲデンヂロボ,ケンカはやめようよ
ホシ,そうよ。落ち着きなさい
海王牙,サトシ。私と一緒に新しくギルドを作ろう。ギルド名は決めてある。愛のバルーン…
サトシ,ごめんなさい
海王牙,サトシ。照れてるのか
サトシ,ごめん邪王魔神！俺、次からは乙らないように気をつける。だから
邪王魔神,そのセリフは何度も聞いた。……………今日はもうオチる。すまぬ
サトシ,邪王魔神……
ホシ,………
トゲデンヂロボ,……………
海王牙,サトシ。なんならギルド名はサトシが決めていいぜ
あまっじょちゃん,さっきからクエ貼ってまってる。早く準備して
リーリエ,…………ﾊｧ……
シロン,コーン
リーリエ,あっ、ごめんなさいシロン。私は大丈夫です
シロン,………………
リーリエ,！
ジェイムズ,お食事を持ってまいりました
リーリエ,…………すみません。そこに置いておいてください
ジェイムズ,畏まりました
リーリエ,………………。……………ﾌｩ…
黄色い液体が入ったペットボトルの山,
サトシ,みんな、アローラ！
ピカチュウ,ピカー
ロトム図鑑,ロトー！
マーマネ,あっ！サトシ来たよ！
サトシ,みんな……昨日はその……
スイレン,サトシ！昨日のことなら気にしないで
サトシ,え？
カキ,そうだぞ！ゲームなんだ。失敗してなんぼだ！。バトルと同じさ。その分クリアした時の喜びも大きくなるってもんだ
サトシ,スイレン……カキ……
マーマネ,僕はランキングなんかよりも、みんなでギルド組んで楽しくポケハンやってるのがいいんだよ
サトシ,マーマネ……
マオ,サトシ、リーリエは昨日少しピリピリしてただけだよ。本当はリーリエだってそんなこと思ってない！だから……気にしないで？
サトシ,マオ……。…………リーリエは…
マーマネ,リーリエなら休みだよ
カキ,なんか体調が悪いらしいな
サトシ,体調……？大丈夫かよリーリエ……
マーマネ,ねぇ！今日もまたみんなでギルドに集合して狩りにいかない？
マオ,いいね！私サンダー狩りたい！
カキ,そうだな！当然リーリエも誘って！
スイレン,うん！やっぱりみんなで一緒に楽しく狩りするのが一番！
アシマリ,アウア！
カキ,スイレン。お前昨日サトシと二人で新しいギルド作るとか言ってなかったか？
サトシ,…………
ピカチュウ,ピカピ？
ロトム図鑑,…………
サトシ,ふぅ…いい湯だったな？ピカチュウ！
ピカチュウ,ピカー
サトシ,………さてと
ロトム図鑑,サトシ。ポケハンをやるロト？
サトシ,ああ！もちろん！
ロトム図鑑,……………ロ？。……………サトシ。ギルドには行かないロトか？
サトシ,うん、今日は野良でやることにするよ
ロトム図鑑,サトシ……やはり昨日のことを気にして……
ピカチュウ,ピカピ……
サトシ,……みんなはああ言ってくれたけどさ？やっぱり俺が足を引っ張ってるのは事実だし……
ピカチュウ,ピカピ……
サトシ,…………でも、ギルドを抜けるわけじゃないぜ？
ピカチュウ,ピ？
サトシ,…………へへっ、いつまでもへたっぴなのは嫌だし……それに、ゲームだってやるからには上手くなりたい！。みんなとポケハンやるのは楽しいけどさ？それですっげー難しいクエストとかクリアできたらもっと楽しいと思うんだ！。だから……野良で修行して……上手くなってからギルドに戻るんだ！
ピカチュウ,ピカピ……
ロトム図鑑,……………
サトシ,えーっと……難しそうなクエストはっと…
ロトム図鑑,サトシ
サトシ,ん？
ロトム図鑑,"勲章"を知っているロトか？
サトシ,！。勲章………？
ロトム図鑑,サトシ。これを見るロト
サトシ,これ、邪王魔神(リーリエ)のトレカ(トレーナーカード)
ロトム図鑑,これのこのページをっと
サトシ,！。………すっげー……なんだこれ……リーリエのこのページ…マーク？みたいのでびっしり埋まってる
ピカチュウ,ピカー……
ロトム図鑑,これは勲章といい、ある特定の条件をみたしたら貰える謂わば上級者の証ロト。確実とは言えないロトが、この勲章が埋まっていればいる程実力者の印というわけロト
サトシ,つまりバッジみたいなもんか？
ロトム図鑑,まぁ、近いものはあるロト。ちなみにサトシの勲章のページは……
サトシ,うわぁ…スッカスカだ…
ピカチュウ,アッチャー
サトシ,へへっ！でも目標が決まったぜ！。つまりこのページを勲章で埋めればいいんだな？
ピカチュウ,ピッカー！
ロトム図鑑,サトシ！アマい！アマすぎるロト！
サトシ,
ロトム図鑑,サトシ！このページをサトシが全部埋めるのにどれだけかかると思うロト！
サトシ,………い、一週間くらい？
ロトム図鑑,ポケハンをナメてるロト！？
サトシ,………いっ！？
ロトム図鑑,勲章には闘技場……最大最小……武器開発…その他諸々。今のサトシに埋めるのは到底不可能なものばかりロト！
サトシ,そ、そんなのやってみなきゃ…
ロトム図鑑,ボクの計算だとサトシがこのページの勲章を全部埋めるにはざっと２年はかかるロト
サトシ,に、２年……
ピカチュウ,ピカァ……
サトシ,な、ならなんでこんなページを俺に見せたんだよロトム……
ロトム図鑑,……サトシ。サトシの持っている勲章……この勲章は何の勲章かわかるロト？
サトシ,！ネクロズマにソルガレオ……それにルナアーラ…カイオーガも……。………なになに？これはネクロズマを討伐したら貰える勲章で……
ロトム図鑑,……そう、それは伝説のポケモンを討伐したら貰える勲章……
サトシ,！
ロトム図鑑,この空白……他にも昨日のミュウツーや、ジョウトのホウオウ、ルギア。その他各地方の伝説のポケモンを討伐しても勲章は貰える
サトシ,………へへっ！なるほどなそういうことか！。つまり……この伝説のポケモン討伐勲章を埋めれば上手くなれるってことか！
ロトム図鑑,上手くなれるかはサトシ次第ロト。ただ……ここを埋めれば最低限レベルのハンターとしては認められると思うロト
サトシ,………へへっ、なるほどな…。燃えてきたぜ！
ピカチュウ,ピッカー！
サトシ,よしっ！そうと決まったら早速集会所作って伝説のポケモン狩るぞー！
ロトム図鑑,……やれやれロト。サトシ！集会所は作ったロトか？
サトシ,ああ！まずはイベルタルの討伐で作ってみた。！
ロトム図鑑,サトシ！早速誰か入ってきたみたいロト
サトシ,お、おう！
ピカチュウ,ピッカー！
るざみん☆,アローラ♪
サトシ,るざみんさん…女の人だ。アローラって言ってるってことはアローラの人かな？
ピカチュウ,ピカー
ロトム図鑑,TRも888……やはり伝説のポケモンがターゲットとなると高ランクも釣れるロトね
サトシ,アローラ！
るざみん☆,あら？その挨拶……あなたもアローラの人？
サトシ,はい
るざみん☆,私もなの☆運命ね(〃▽〃)。そのピカチュウ一式。可愛いわね？
サトシ,るざみんさんのピクシー一式も可愛いです
るざみん☆,(///ω///)♪
サトシ,るざみんさんイイ人っぽいぜ！良かったぁ
ロトム図鑑,……………………
るざみん☆,あなた可愛いわね？歳いくつ？どの島住み？。ちなみに私は18よ♪
サトシ,なんだこの人？歳？とかどこ住んでるのとか……
ピカチュウ,ピー？
サトシ,……ま、いーや……えーと、俺は10歳で……
ロトム図鑑,さ、サトシー！やめるロトー！
サトシ、ピカチュウ,
ロトム図鑑,このるざみん☆は出会い厨ロト！
サトシ,デアイチュウ？
ピカチュウ,ピカチュウ
サトシ,デアイチュウ？なんだソレ？
ピカチュウ,ピカ？
ロトム図鑑,サトシ！このるざみん☆はポケハンをゲーム目的でやっているワケではないロト？
サトシ,え？
ロトム図鑑,とにかく！この手のプレイヤーは早く追い出すに限るロト！
サトシ,い、いやでも……この人何も悪いことやってないし……
るざみん☆,ねぇ！早く住んでる島と年齢教えてよ♪
サトシ,ごめんなさい。教えられません。それよりクエスト
るざみん☆,クエストなんかよりお話しましょ？。そうだ！オフ会しましょ！オフ会
サトシ,えぇ……なんだこの人……
ロトム図鑑,ほら、言わんこっちゃないロト
ピカチュウ,ピカ
サトシ,な、なんか怖いしとりあえず部屋から出てってもら……。！誰か入ってきた！
るざみん☆,今フレンド申請を
海王牙,サトシ。なかなかギルドに顔出さないからむかえにきた
サトシ,！
ロトム図鑑,スト……スイレンロトー！
ピカチュウ,ピッカー！
海王牙,サトシ。早くギルド行って狩りしよう。なんなら二人でも…
るざみん☆,あら？知り合い？強そうな人ね。私はるざみん☆18歳よ。あなたにも今フレンド申請を
海王牙,あ？なんだこのババア
るざみん☆,ババア……？
サトシ,な、なぁロトム……なんかヤバそうな雰囲気じゃないか？
ロトム図鑑,そうロトね。早く集会所から追い出した方がいいロト
サトシ,どっちを？
るざみん☆,あら～ババアってなんのこと？。私まだ18よ？。でも生意気な子も嫌いじゃ……
海王牙,こいつもしかして出会い厨？キメェWW
るざみん☆,は？
海王牙,とっとと消えろよババア。ここはハンターたちがポケモンを狩る場だ。テメェみてぇな出会い厨はお呼びじゃねぇ
サトシ,スイレン……いいこと言うなぁ
ピカチュウ,ピッカー
海王牙,それにサトシには釣り好きで妹想いの可愛いガールフレンドが
サトシ,お、おい！なにしてんだよロトム！
ロトム図鑑,サトシがさっさと集会所から退室させないからボクが代わりにさせておいてあげたロト
サトシ,で、でも何でスイレンまで……
ロトム図鑑,サトシ。これはサトシのためロト
ピカチュウ,ピカピカ
ロトム図鑑,サトシ！誰か入ってきたロト！
サトシ,次はまともな人だといいな…
ピカチュウ,ピッカー
サトシ,アローラ！
プニちゃん,
サトシ,む、無視された……
ロトム図鑑,でもちゃんとクエストは受注してくれたみたいロト。このプニちゃんはTR999……おまけにつけている防具は作るのが困難とされている"ジガルデ一式"。サトシ。ボクの推理によるとプニちゃんはポケハン廃人ロト
サトシ,ポケハン廃人？
ロトム図鑑,リーリエみたいな人のことロト
サトシ,あー。TR999なんて凄いですね
プニちゃん,
サトシ,ま、また無視……
ロトム図鑑,サトシ！上手く行けばプニちゃんはクエストをいくらか手伝ってくれるかもしれないロト。多少のことには目をつぶるロト
サトシ,お、おう……。！また誰か入ってきた
ロトム図鑑,さすがは伝説のポケモン討伐クエ。食いつきがいいロト
ピカチュウ,ピッカー
サトシ,アローラ！
まどか,アローラってあんたアローラ地方の人？。子供ねぇ。イベルタルとかもう狩り飽きるぐらい狩ったし。あんた弱そうだから特別に手伝ってあげるわ。感謝しなさい
サトシ,な、なんだよこのまどかってやつ！
ピカチュウ,ピッカー！
ロトム図鑑,うーん……ボクの推理によるとこの"まどか"は恐らくニートか夏休みキッズのどちらかロト
サトシ,ニート？夏休みキッズ？
ロトム図鑑,まぁ、ランクや防具的にも戦力にはなりそうロト。クエも受注してくれたみたいだし、少しの間は我慢するロト
サトシ,お、おう…。クエ手伝ってくれてありがとうございます
まどか,イベルタルも一人で狩れないなんて子供ねぇW
サトシ、ピカチュウ,
ロトム図鑑,サトシ。我慢ロト
まどか,ちょっとアンタ
サトシ,なんですか
まどか,アンタじゃないわよ！そこのプニちゃんってやつ。少し考えれば誰に話かけてるかくらいわかるかなって。子供ねぇ
サトシ,ごめんなさい
ロトム図鑑,まどか…今度はプニちゃんに絡み始めたロト
サトシ,
まどか,プニちゃん！こっちが挨拶してるんだからよろしくお願いしますくらい言いなさいよ！
プニちゃん,
ロトム図鑑,まぁ、まどかが言うことも一理あるロト
サトシ,ハァ……これからクエ行くってのにケンカはやめてほしいよ
ピカチュウ,ピッカー
まどか,無視？。まさかプニちゃんって夏休みキッズ？。子供ねぇ
プニちゃん,
サトシ,うわぁ……プニちゃん安定の無視かよ
ロトム図鑑,おまけにその場で回り始めたロト
まどか,馬鹿にしてるの？
サトシ,ケンカはやめましょう
プニちゃん,
まどか,これだからキッズは。夏休みってイヤねぇ
プニちゃん,
サトシ,もう最悪だよ…
マツリボン,私たちはこれから一緒に狩りにいく仲間。仲良くいこうよ
サトシ,え！？この人は？
ロトム図鑑,そういえば、さっきまどかがプニちゃんに文句言ってる最中に入ってきてクエを受注してたロト
ピカチュウ,ピッカー
まどか,ちょっとアンタなによ。これは私とプニちゃんの問題よ。関係ない人は引っ込んでてほしいなって
プニちゃん,
サトシ,せっかくマツリボンさんって人が仲裁してくれてんのに……
ロトム図鑑,このまどかってプレイヤー…かなり面倒くさいロトね
マツリボン,関係なくはない
まどか,は？
マツリボン,私たちはこれから一緒に狩りにいく仲間なんだ。確かに私たちがこの集会所にこうして集まったのは偶然。元々はそれぞれみんな知らない人ばかりだ。でも。たとえ偶然だとしても私たちは。仲間。四人で一緒にポケモン狩りっていう絵を描く。四人で一緒に描く絵なら私は。楽しく絵を描きたい
サトシ,マツリボンさん……。………へへっ。マツリボンさんの言う通りだ。俺も……たとえ一度きりだとしても。偶然会ったこの仲間と一緒に楽しく絵を描きたい
マツリボン,おーおー
まどか,サトシ…マツリボン……わかったわよ。私が大人になってあげる。礼儀知らずの夏休みキッズも許してあげるわ
サトシ,まどか
プニちゃん,
サトシ,へへっ、マツリボンさんのお陰でなんとか空気が良くなったな
プニちゃん,。よろしくお願いします
イベルタル,ギャオオ！
サトシ,イベルタル発見したぜ！
まどか,オラオラー！
プニちゃん,
イベルタル,ギャオ…
サトシ,え！？イベルタルがもうボコボコになってる！？
ロトム図鑑,どうやらイベルタルを狩り飽きたと言うのも嘘ではないようロト。あの二人……イベルタルの動きも出現場所も移動先も完全に把握してるロト
サトシ,………へへっ、プニちゃんやまどかには負けてらんないな。俺もいくぜ！
ロトム図鑑,…………！サトシ！そんな馬鹿正直に突っ込んでは…！
サトシ,くらえ！俺のゼンリョク！！
イベルタル,フンッ
サトシ,ギャ。………………
ロトム図鑑,ほら言わんこっちゃない。早速１乙ロト
ピカチュウ,ピカピ
サトシ,。ハァ……１乙……。キャンプからか…………ん？
マツリボン,
サトシ,あれ？マツリボンさんなんでキャンプにいんだ？マツリボンさんも乙ったっけ？？
ロトム図鑑,マツリボン…まさか…
サトシ,え！？もう？はやっ！俺まだ復活したばっかだよ！
ピカチュウ,ピカ！
ロトム図鑑,サトシ！そんなこと言ってる場合ではないロト！。早くしなければイベルタルの素材を剥ぎ取りできないロト！
サトシ,やべっ！そうだった！
まどか,ちょっとアンタ。なんであんなとこで乙ってんのよ
サトシ,ごめんなさい
まどか,子供ねぇ。まぁ、アンタはまだいい。マツリボン。アンタあんだけカッコいいこと言っておいて。討伐中ずっとキャンプ待機。剥ぎ取りだけ参加。なにやってんのよ
マツリボン,絵を描いてた
まどか,しね
サトシ,なぁ、ロトム。マツリボンさんはなにを……
ロトム図鑑,サトシ。どうやらマツリボンは強いハンターに寄生し、報酬だけ貰っていく地雷だったようロト
サトシ,えぇ！？。あの…次はゼルネアスを…
まどか,行くわけないでしょ！子供ねぇ
サトシ,ああ！まどかが！
ロトム図鑑,これは惜しいハンターを逃したロト
サトシ,そ、そういえばプニちゃんは！？
ロトム図鑑,クエが終わった瞬間にとっくに退室したロト
サトシ,そんな…
ピカチュウ,ピカピ
ロトム図鑑,サトシ！とりあえず当初の目的、イベルタルの勲章はゲットしたロト！。気を取り直してゼルネアスで部屋を作り、新しいメンバーを集めるロト！
サトシ,あ、ああ……
マツリボン,早く次の絵を描きに行こう。ゼルネアスの絵を
ロトム図鑑,サトシ！誰か入ってき………ん？。サトシ！このハンターは！
ピカチュウ,ピッカー！
サトシ,え？
プリンセス,クエご一緒していいかなー♪
サトシ,え…………？。ぷ、プリンセスちゃん！？。あの喋り方にキャラの見た目…プリンセスちゃんだ……！間違いないよ！
ロトム図鑑,説明しよう。プリンセスちゃんとは。ポケハンXXでサトシが素人丸出しで野良オンラインをやった時にとっても優しくしてくれたハンターであるロト
ピカチュウ,ピカピカ
サトシ,へへっ
ロトム図鑑,………？サトシ、何をやってるロト？
サトシ,え？プリンセスちゃんに久しぶりってチャットしてる
ロトム図鑑,ま、待つロトサトシ！
サトシ,へ？。アローラ！久しぶり！プリンセスちゃん。探したんだぜ！俺のこと覚えてる？。あの時はごめん！
ロトム図鑑,うわぁ…やってしまったロト……
サトシ,え？なんかマズかった？
ロトム図鑑,マズいどころか最悪ロト
サトシ,いっ！？
プリンセス,えーと。あなた誰？
サトシ,…………え？
ロトム図鑑,もしプリンセスちゃんがサトシのことを覚えてなかったら………って…。もう遅かったロト
ピカチュウ,ピカピカ
サトシ,うあぁぁ！ど、どうしようロトム！
ロトム図鑑,どうしようもないロトサトシ。相手に自分のことを覚えているかも確認せずにあそこまでグイグイ行っては普通ならドン引きロト。今のサトシはるざみん☆と変わらないロト
サトシ,うわぁぁぁ！！
ピカチュウ,ピカピ
サトシ,あの…いきなり変なこと言ってごめんなさい。うぅ、とりあえず謝って…
ロトム図鑑,サトシ。あきらめロト
サトシ,うぅ…
プリンセス,ふふっ
サトシ,………へ？
プリンセス,なーんて、うそうそ。ごめんねー？ちゃんと覚えてるよ♪。XXの時のピカチュウ一式で初心者の子ね？。また会えるなんてすっごい偶然だねー♪ビックリしちゃった
ロトム図鑑,これは意外な展開ロト…
サトシ,プリンセスちゃん…
ピカチュウ,ピカピ……
サトシ,あの…あの時はその…
プリンセス,大丈夫だよー！気にしてないから♪
サトシ,でも…
プリンセス,そんなことより…またピカチュウ一式なんだね？。ピカチュウ好きなの？
サトシ,うん！俺の大切なパートナーなんだ！
ピカチュウ,ピカ///
プリンセス,えっへっへ、そっかー♪。実はプリンセスの友達にもピカチュウがパートナーの子がいるの。キミを見てると…なんかその子を思い出して安心するの♪
サトシ,へー、プリンセスちゃんの友達にもピカチュウがパートナーの子がいるんだ。プリンセスちゃんは今回ミミッキュ一式なんだね！
プリンセス,うん♪色ミミッキュ一式だよ～。ミミッキュはプリンセスにとって大切な友達だからねー。サトシくんとピカチュウと同じだね♪
サトシ,プリンセスちゃん、やっぱいい子だな。……へへっ、しかも俺とピカチュウと一緒か…。なんか……運命感じちゃうよ！
ピカチュウ,ピカ！
ロトム図鑑,サトシ。ボクは今ビビッときたロト。ある意味運命を感じたロト
サトシ,え？
ロトム図鑑,わからないならいいロト
プリンセス,サトシくん。少しはポケハン強くなったかなー？
サトシ,えーと……
ロトム図鑑,サトシ、カッコはつけずに素直に答えた方がいいロト
サトシ,そ、そうだな！。全然だよ。俺、下手くそで……所属してるギルドのみんなの足を引っ張ってるんだ。だから……野良で特訓して上手くなって。ギルドのみんなの足を引っ張らないように…
プリンセス,そっかー
サトシ,や、やべ！プリンセスちゃんがあっち向いた！まさか俺に呆れて退室するんじゃ…
ロトム図鑑,サトシ。少し落ち着くロト！所詮相手は画面の向こう側の人間ロト
サトシ,おいロトム！プリンセスちゃんの悪口言うなよ！
ロトム図鑑,サトシ…思ったより重症だったロト
プリンセス,ほらっ、早くゼルネアスの討伐いこうよ
サトシ,………え？
プリンセス,少しでも上手くなりたいんでしょ？。だったら色んなポケモンを狩って経験を積まなきゃねー？。プリンセスも手伝うよ♪
サトシ,い、いいの？
プリンセス,とーぜん！後輩ハンターを導くのも先輩ハンターの務めだからねー♪
サトシ,プリンセスちゃん…
ピカチュウ,ピカピ…
マツリボン,おーおー。私がいるの、忘れられてる？
サトシ,………………
ロトム図鑑,サトシ……見事に一人で３乙したロトね
サトシ,……うっ
ロトム図鑑,……カッコつけてプリンセスちゃんにいいとこを見せようと……
サトシ,言うなロトム
ピカチュウ,ピカー
サトシ,あの…。ごめんなさい
プリンセス,………………
サトシ,な、なぁロトム……プリンセスちゃん怒ってるかな？
ロトム図鑑,ボクに聞かれても……
プリンセス,もぅー！一人でつっこみすぎだよー
サトシ,ごめんなさい
プリンセス,プリンセスやマツリボンちゃんもいるんだからもっと仲間を頼って！
サトシ,え？
プリンセス,わかったかなー？
サトシ,う、うん！
プリンセス,よし！わかったならいいよ！反省会おわりー！。さ、気を取り直してもう一狩りいこうよー♪
サトシ,プリンセスちゃん…
マツリボン,サトシくん。キミ、ポケモンバトルは好き？
サトシ,！。大好きだけど……
マツリボン,ポケモン狩りもポケモンバトルと同じ。ただ闇雲に突っ込んでも勝てない。相手のポケモンの動きや様子を見て、どう攻めようかなって戦略を立てる。違うかな？
サトシ,！。ポケモンバトルと同じか……。へへっ、そうだよな……。ありがとうマツリボンさん！俺、なんとなくコツがわかった気がする！。もう一度、ゼルネアス狩りに挑戦するよ！
マツリボン,うんうん
プリンセス,マツリボンちゃんはまず、キャンプ待機してないで狩りに参加してね。あっ、そうだサトシくん
サトシ,なに？
プリンセス,良かったら……プリンセスとフレンド交換しないかな？
サトシ,！ロトム！
ロトム図鑑,良かったロトね。サトシ
サトシ,もちろんだよ！
プリンセス,えへへ！やったねー♪
サトシ,プリンセスちゃんのフレンドコード！ゲットだぜ！
ピカチュウ,ピッピカチュウ！
サトシ,でもプリンセスちゃんはなんでこんなに俺に付き合ってくれるの？
プリンセス,えへへ、言ったでしょ？後輩ハンターを導くのは先輩ハンターの役目だって……それに。プリンセスの友達にも大試練でボロクソに負けちゃった人がいたの。その人、ボロクソに負けたのに…それでも諦めないでゼンリョクで頑張って……また挑戦して見事大試練を達成したの
マツリボン,欲しい！レア素材が！
プリンセス,サトシくん。なんだかその人に似てるから応援したくなっちゃってねー
サトシ,プリンセスちゃん…
マツリボン,私もフレンド交換いいかな？
ロトム図鑑,マツリボン………サトシとプリンセスに寄生するつもりロトね
ピカチュウ,ピッカー
サトシ,う～眠ぃ……
ピカチュウ,ピカァ
ロトム図鑑,サトシー！ボクの忠告も聞かずに朝方３時までずっとポケハンしてるからロトー
サトシ,ははっ……。………でも、お陰でTRは大分上がったし、伝説のポケモンの勲章もカロス、イッシュ、シンオウの分は終わったぜ！
ピカチュウ,ピッカ！
ロトム図鑑,まぁ、確かにサトシもあれからそこそこ上手くはなったロト
サトシ,ああ！マツリボンさんのアドバイスのお陰だな！
ロトム図鑑,当のマツリボンはひたすらキャンプ待機からの剥ぎ取りのみ参加だったロトね
サトシ,それにプリンセスちゃん。へへっ、プリンセスちゃんも最後まで付き合ってくれてさ？本当にいい子だよな～
ロトム図鑑,サトシ
サトシ,なに？
ロトム図鑑,プリンセスちゃんについて何かこう……思うところはないロトか？
サトシ,え？いや、だからいい子だな～って
ロトム図鑑,わかったロト。サトシは本当に幸せな頭をしてるロト
サトシ,？？？
ピカチュウ,ピカピ……
サトシ,アローラー
カキ,サトシ！昨日なんでギルドに来なかったんだ！
サトシ,へ？
マーマネ,サトシ……やっぱりリーリエに言われたことを気にして……
サトシ,あー、違うんだよ！。へへっ、実はさ！今俺、野良で特訓してるんだ！
マーマネ,特訓？
サトシ,そう！特訓！強くなったらギルドに戻るからさ！楽しみにしててくれよ！
ロトム図鑑,サトシは昨日だけでだいぶ上達したロトよー
マーマネ,そうなの？
カキ,へー、それは楽しみだな
サトシ,へへっ
カキ,それにしても一言くらいは言ってくれ。心配したんだぞ？
サトシ,ごめんごめん
マーマネ,そうだよサトシー！サトシが来ないから昨日は僕とカキ二人でずっとクエを……
マオ,私いたよね
マーマネ,そ、その……３人しかいなかったんだから！
アマージョ,アマッジョ！
サトシ,ん？３人？。リーリエとスイレンは？。
スイレン,……………
サトシ,あ、アローラ……スイレン
スイレン,アローラ！じゃない！昨日なんで私を追い出したの！
アシマリ,アウアウ！
サトシ,い、いや……(そういえば……)
カキ,追い出したって何かあったのかあの二人
マーマネ,さぁ……よくわかんないけど、スイレンかなり怒ってるね
スイレン,私、昨日サトシが変なオバサンに絡まれてるの助けてあげた！
サトシ,い、いや……
スイレン,………最初は……何かの間違いかと思ってもう一度入ろうと思った。でも……。入れなかった……何回やっても。サトシ……３時ぐらいまでずっとやってたのに……
サトシ,え！？何で知ってんの？
スイレン,それに……サトシずっとプリンセスとマツリボンってやつとやってたし……。あいつら誰？サトシ、私のこと嫌いになったの？
サトシ,い、いや！違うんだよスイレン！(やべっ！スイレン泣きそうだ……ロトム！)
ロトム図鑑,サトシ、実は昨日はボクがスイレンが入ってこれないように特殊な電波で妨害したロト
サトシ,なにやってんだよロトム！
ロトム図鑑,サトシの成長の為には仕方のないことだったロト
スイレン,うぅ…
マオ,な、泣かないでよスイレン
アシマリ,アウアウ
マオ,サトシ！なんでスイレンにイジワルするのよ！
