―――,音無小鳥です！よろしくお願いします！
律子,はいはい、あずささんも早くしてください。遅刻しちゃいますから
あずさ,あら～残念ね～……プロデューサーさん、ビデオ撮っておいてくださいね
律子,行きますよー！あずささーん！
あずさ,は～い！
双子,「うあうあ～！！引きずらないでよりっちゃ～ん！！」
律子,それではプロデューサー殿、行ってきます
P,ああ、頑張れよー
双子,「うあうあ～！！」
P,と、いうわけで音無さんにいは着替えに行ってもらったわけだが……伊織、今日は珍しく竜宮小町は別々に仕事なんだな
伊織,そりゃたまにはこんな日もあるわよ、何よ？文句あるわけ？
P,いや、別にそういうわけじゃ……
伊織,このスーパーアイドル伊織ちゃんが見てあげるんだから感謝しなさいよね！
P,あー……うんまあそうだな
伊織,ちょっと！何よその言い方！馬鹿にするんじゃないわよ！
P,あ痛！ちょ！やめろ伊織！蹴るな蹴るな！痛っ！
美希,ちょっとでこちゃん！ミキのハニーを蹴らないでほしいの！
伊織,こいつがふざけたことするからよ！つーかでこちゃん言うな！
美希,でこちゃんはでこちゃんだって思うな
伊織,あんたねぇ～！
P,あ～もう！お前ら落ち着け！
千早,(音無さん早く来ないかしら……あ、高槻さん可愛い……カメラ付きの携帯電話にしてよかったわふふっ……）
小鳥,……ど、どうでしょう……？
美希,小鳥すっごくキラキラしてるの！
千早,素敵です、音無さん
伊織,ふん、まあまあじゃない
小鳥,あの……どうですか……？プロデューサーさん
P,よく似合ってると思いますよ。素敵です
小鳥,そ、そんな！す、すすす素敵だなんて……！
美希,むー！ハニー！浮気は許さないの！
P,いや、素直に感想をだな……
小鳥,！
美希,ハニーはミキだけ見てればいいって思うな
P,それは無理だろ……それに俺は今は音無さんのプロデューサーでもあるんだからな
