まどさやあんほむ,おじゃましましたー
まどか,お昼まであと一時間だよ、がんばろ？。ほむらちゃん、先生に呼ばれてるよ？
さやか,おや転校生、悪いことでもしたかな？
ほむら,少なくとも、あなたに対してよりはいい態度をとっているはずよ
さやか,ぐあっ！何か刺さった！
ほむら,そういうわけでちょっと席外すわ
さやか,う～ん……どうしたものかね。どうして転校生はまどかとアタシに対してこんなにも態度が違うのか
まどか,さやかちゃんは仲良くしたいんでしょ？
さやか,そう……なんだけどぉ……。なんか馬が合わないから、つい突っぱねた態度をとってしまうというか……
QB,いわゆる感情に左右されているのかい？
さやか,そういえるのかな？
まどか,まずは名前で呼ぼうよ！
さやか,それができたら苦労しないよ……
QB,……そうだ。二人とも、日記とか書いていたりするのかい？
まどか,ふぇ？日記？。私は書いてるよー
QB,さやかは書いてないのかい？
さやか,あたしはねぇー三日坊主になりそうで書いてないよ
まどか,うぇひひ……さやかちゃんらしいね
さやか,でも、どうしていきなり日記の事なんて聞くのさ？
QB,実はいろいろあってね、日記をかくことになったんだ
まどか,きゅ……キュゥベえが……
さやか,日記をかくぅ？
QB,そうなんだ。だけど、僕は日記というものを少ししか知らない。昨日も書いてみたんだけど、勝手がよくわからなくてね……。だから、君の日記を見せてほしいんだ
さやか,あほか
QB,きゅぷ！
まどか,さやかちゃん、変な人に見られちゃうよ……
QB,いきなりなんなんだい？
ほむら,日記というものは人に見せるものじゃないのよ
まどか,あ、ほむらちゃんお帰り
さやか,お、転校生。なんだったの？
まどか,特に何でもない用事だったわ
ほむら,ところでキュゥベえ、あなたはどこまで愚かなの？
QB,愚かなことだって？。僕はただ、鹿目まどかの日記を参考資料として見せてもらおうとしただけだ
ほむら,それが愚かだと言っているの。さっきも言ったけど、日記というものは見せるものではないの。ただ思ったことをかけばいいのよ
QB,でも、書き方が分からない以上、どうしようもないじゃないか
ほむら,書き方なんて、どうでもいいのよ。昨日の業務日誌のようなのだって、言おうとすれば日記と言えるわ
QB,なるほどね
まどか,本当にキュゥベえ、日記書いてたんだ……
QB,しかし暁美ほむら。君はどうして僕の日記の内容を……
ほむら,………
さやか,……転校生？
まどか,ほむら……ちゃん？
QB,暁美ほむら、君はまさか……
ほむら,………。気分が悪いから、保健室へ行ってくるわ
さやか,あ、逃げた！
まどか,わ…私保健係なんだけど……
さやか,学校終わったー！
まどか,さやかちゃん、ずっと寝てたのにね
ほむら,全く愚かね、美樹さやか
さやか,眠いもんは眠いの！
まどか,じゃあまた明日ね、ほむらちゃん！
さやか,またねー
ほむら,ええ、また明日
QB,やっと学校が終わったね
ほむら,それで、あなたは日記を続けるの？
QB,そうだね、続けるのも悪くないかもしれない
ほむら,そう
QB,人間が見られたくないという日記。つまりは、そこになにか個人的な思いが入っているんだろう？。未だ僕に感情、想いというのは理解できないものが多い。ただ、続けているうちに得るものがあるかもしれないね
ほむら,……そう。それなら、続ければいいと思うわ。今日はカップめんよ
QB,………。僕に、これを食べろというのかい？
ほむら,そうよ。料理、面倒だもの。お湯を入れているだけ、ありがたいと思いなさい
QB,……箸が持てない。麺類の食べ方が分からない……。今日はこんなところかな？。………。……昨日と大差がない気がするよ。人間たちはこういうのを徒然と書いているのかい？。理解がしがたいね
ほむら,…………。……ﾁｯハッキングがばれてるわ。インキュベーターの癖してやるわね。……日記を書くコツ？
QB,そうなんだ。書いている日記が昨日と大差なくてね
ほむら,そういう日もあるわ
QB,こんなのをずっと書いていくものなのかい？
ほむら,そうなってしまう日もあるわ。結局、その日の過ごし方によるのよ。なんでもない、普通と変わらない日々を暮していれば、同じような日記になるでしょうね
QB,一日に変化を持たせてみろと？
ほむら,強いて言えばそういう意味ね。逆に言えば、普通と違った事柄を記録する。それが日記なんじゃないかしら？
QB,なるほどね……
まどか,ほむらちゃーん
ほむら,……あら、まどか
QB,………。まどか！
ほむら,……？
QB,まーどーかー
まどか,きゅ……キュゥベえ！？
QB,僕と契約して魔法少女になって――きゅぶ！
まどか,わわわっ……？
さやか,でた！転校生の対キュゥベえ膝蹴り！
ほむら,……どういうつもり？
QB,日常に……変化を持たせてみただけだよ……
ほむら,なるほどね。ただし、変化を持たせたらその分何かが起こることも忘れないで
QB,きゅぶぶぶ……
まどか,ほむらちゃん……そのへんで……
ほむら,………
QB,たすかったよ、まどか
さやか,それで、変化って何さ？
QB,日記というものに書くのは、変かあるものだと聞いた。だからこうして、いつもとは違う行動をとってみたのさ
まどか,そういうことかぁ……
さやか,そういえば、最近キュゥベえまどかと契約しようとしてなかったもんね
QB,ほむらの阻止行動がひどくなってきたからね……
マミ,あらみんな、ここでなにをしているの？。それにキュゥベえも……
さやか,あ、マミさん
まどか,おはようございます、マミさん
マミ,ええ、おはよう。それで、みんな何をして……
QB,マミーーー！
マミ,ちょ……キュゥベえ！？どうしたの？
QB,まみーーー！
マミ,きゃっ！
まどさや,「―――！？」
ほむら,………
まどか,きゅ……キュゥベえ……
さやか,あの弾力に富んだ谷間に……
QB,もふもふ！もふもふ！
マミ,//////。ティロ・フィナーレ（極小）///！
QB,きゅぷ？
まどか,誰もいなくてよかったよ……
さやか,マミさんもテンパるときあるんですねぇ
マミ,キュゥベえ、あとでお説教よ！
QB,そんなぁ……
ほむら,当然の報いだわ
まどか,なんだかほむらちゃんの目がいつもより怖いよ
QB,いつもと違う行動をしただけなのに……
ほむら,先のことを考えずに行動するバカの間違えじゃないかしら？
さやか,……ホントはキュゥベえってただのバカ？
QB,そんなわけないじゃないか！
ほむら,誰が見てもバカにしか思えないわよ
まどか,うぇひひ！。でも、これで日記に書くことには困らないよね
さやか,あっはっは！確かにそれはそうだわ。マミさんの胸に入り込んだらティロフィナーレを食らいました！まる！ってね
QB,なるほど……そういう書き方もあるのか
さやか,あ、その前の転校生の膝蹴りも入れとこうか
ほむら,間抜け丸出しの日記ね
まどか,なんだか楽しそうな日記だね
マミ,でも、キュゥベえが日記を書くなんて意外ね
QB,感情の研究の一環だよ
マミ,へぇ、そうなの
さやか,まだ二日目だけどね
ほむら,今日で三日目ね。ふぅ、いいお湯だったわ
QB,………
ほむら,……あら、もう日記用のパソコンをつけてるの？。はやいわね
QB,うん。昨日おとといと、中身が似通っていたものだったからね。もうちょっと中身を練ってみようと思うんだ
ほむら,そう、好きにしなさい。牛乳、牛乳っと……
QB,………。さて、美樹さやかの発言を思い返してみよう
さやか,マミさんの胸に入り込んだらティロフィナーレを食らいました！まる！ってね
QB,この言葉から察するに、どうやら口語でもいいようだ。そして今朝の暁美ほむらの助言。あれは特記事項のみでよいということだ。つまり、前まで書いていたようなタイム表のようなところまで記録しなくていいんだね。それじゃ、書いてみよう！。……なるほど。変化が出るというのはこういうことか。昨日一昨日から一変して、なんだかすっきりした気がするよ。これが日記というものか……
ほむら,あら、もう書き終わったの？
QB,うん。今日の分は終わったよ
ほむら,昨日とかは悩んでいたようだけど……
QB,どうやら書くコツとやらがわかったみたいだからね
ほむら,へぇ……どんなのかしら？
QB,……みせないよ？
ほむら,ほむぅぅぅ……。……！十時！？。今日は……よかったわ。休日ね
QB,おはよう。今日は遅かったじゃないか
ほむら,まどかの夢に夢中になっててアラームに気付かなかったわ。せっかくまどかが起こしてくれるというのに
QB,それが夢に悪く作用してるんじゃないかい？
ほむら,………
QB,………
ほむら,……ひまね
QB,そうだね
ほむら,………。キュゥベえ、そこでどじょう掬いでもしなさい
QB,君はいつになく無茶なことを言うね
ほむら,宇宙人なら宇宙人らしく、地球人を驚かせなさいよ
QB,出会ったときに十分驚かせたと思うけどね
ほむら,……？
QB,来客だよ、ほむら
ほむら,まどかかしら？
杏子,よ！
ほむら,……宗教勧誘は間に合ってますんで
杏子,無視してんじゃねーぞコラ。飯を食いに来た
ほむら,人の家に上がって初めての言葉がそれ？
杏子,ちゃんと金払ってんだからいいじゃんか
ほむら,はぁ……毎週付き合わされる私の身にもなってちょうだい
QB,文句を言いながらも毎週作ってあげてる君も君だよね？
ほむら,杏子がバイトで稼いだ駄賃がもらえるからいいのよ
QB,どう見積もっても材料費の方が高いんだけどなぁ……
ほむら,それ以上喋ると、肉が追加されるわよ？
杏子,お、それいいな！
QB,やめてくれよ
ほむら,はい
杏子,おお、うまそーなチャーハンだな
ほむら,相変わらず食べるのが早いわね
QB,……うん、おいしいじゃないか
ほむら,はぁ……
杏子,ふぉふぇれふぁ
ほむら,食べて喋りなさい
杏子,ｺﾞｸ……それでさ、ちょいと手伝ってほしいことがあんだ
ほむら,……？。珍しいわね。あなたが協力を求めるなんて
杏子,使い魔は全員追っ払ったんだけどさ、魔女が早い早い。あたしじゃとてもじゃないけど追いつけないんだ
ほむら,早さなら美樹さやかの方が上のはずよ？
杏子,……さやかに手伝いを頼んだら馬鹿にされそうでさ。それに、あんたの時間止めの方が確実だろ？
ほむら,………。止められる時間は短いから、早めに終わらせて
杏子,言われなくてもそのつもりさ。これで終わりだよ！
ほむら,無事倒したわね……
杏子,よし、グリーフシードも落とした。今日はありがと。あとはあんたが使いな
QB,お見事だね。二人の協力は
ほむら,……そうさせてもらうわ。あなた……みてたの
QB,後ろから見物させてもらってたよ。なかなか相性がいいじゃないか
ほむら,……利害がたまたま一致しただけよ
QB,そういうことにしておこう……
ほむら,………
QB,ところで、どこに行くんだい？家とは違う方向だけど
ほむら,買い物によるわ。夜ごはんよ
QB,これが夜ご飯……ね。お昼のチャーハンの残りが夜ご飯になるとは想像しなかったよ
ほむら,昼のうちに夜の分も作っておいたら、楽でしょ？
QB,よく杏子が食べる分を計算していたね
ほむら,夜の分は分けて冷蔵庫に隠しておいたわ。これからこうするのもいいかもしれないわね
QB,次に杏子がきたとき、これを伝えておくのも面白いかもしれない……
ほむら,ごちそうさま
QB,きゅっぷい！
ほむら,それじゃ、私はお風呂に入ってくるわ
QB,わかったよ
ほむら,……覗かないでね？
QB,君の風呂場姿を覗くのにどれほどの価値があるのかわからないきゅぶい！
ほむら,………
QB,正直なことを言っただけなのに、わけがわからないよ。さて……。今日の日記はどのように書こうか。こんなものか。想像だけど、人間の日記というものはこんなのだろうか？。確認したいのは山々だけど、他人の日記を見てはいけないとくぎを刺されている。……！。暁美ほむらは僕の日記を一回見ている。ならば僕にだって、一度は彼女の日記を見る権利があるはず。………
ほむら,それじゃまたねって手を振って～♪
QB,……チャンスは今しかない。潜入に成功。あらかじめセンサー類の配置を把握しておいてよかったよ。さて、彼女の日記は……。……皮雑誌のこれだ。どれどれ……昨日の分か。………。……僕たちインキュベーターに日記というものは早すぎたようだ
ほむら,はぁ、いいお湯だったわ。キュゥベえ？どこいったのかしら
QB,まずい！ほむらがお風呂から上がった！。日記の初期位置はここ。インキュベーター、これより作戦海域より離脱！。きゅっぷい……おかえり、ほむら
ほむら,あら、そこにいたの。棚の上にいるなんてどうしたの？
QB,ゴキブリに驚いちゃってね
ほむら,……っ！ゴキブリ！？
QB,ああ、安心してくれていい。さっき外に投げ捨てておいた
ほむら,………
QB,どうしたんだい？
ほむら,ゴキブリを触れた体でこっち来ないでええ！
QB,きゅぷい！？
まどかに対する愛情,？
なお、脱出時の言い訳に,ゴキブリ
QB,やれやれだよ
ほむら,ほむぅ……
QB,おはよう、暁美ほむら
ほむら,おはよう、キュゥベえ。朝ごはんよ
QB,………。バナナ一本かい？
ほむら,ええ
QB,僕はいいとしても、君は足りるのかい？
ほむら,ええ、十分よ
まどか,ふわぁ……
ほむら,まどか、寝不足かしら？
まどか,んー……そうかも。私昨日遅く起きちゃって、夜寝れなかったんだ
ほむら,それはダメよ、まどか。休日だからって遅起きはダメ。生活サイクルは常に一定に保たないと
QB,同様の生活をしていた君に言われたくはないと思うね
ほむら,だまりなさい
QB,きゅぶ！
さやか,あれ？そのようすだと転校生も遅く起きた？
ほむら,昨日はたまたまよ
さやか,へぇー。転校生って、ロボットみたいに時間厳守でテキパキ動くイメージだったけど
QB,その認識は間違いだ、美樹さやか。彼女は君の思い描いている感じじゃない。むしろ、休日はだらけていて、ご飯もろくに用意しないようなきゅぶいい！
ほむら,その口を閉じろと言ってるの。わからないかしら？
まどか,ほむらちゃん、みんなにばれないようにキュゥベえ踏むのやめてあげてぇ！
QB,やれやれ……冷めるまでここは一旦逃げた方がよさそうだ
さやか,あ、マミさん！
まどか,あれ？杏子ちゃんも一緒だ
マミ,あら三人とも
杏子,めずらしいね、全員集合なんて
まどか,どうしたんですか？
杏子,いや、何の他愛もない話だよ
さやか,それより聞いてくださいよマミさん。なんとさやかちゃん、昨日一人で使い魔を三体も倒したのです！
杏子,魔女は？
さやか,それが見つかんなくって……
杏子,はぁ……使い魔を倒しただけじゃ意味ねーっての
さやか,使い魔だって危険なんだよ？。アンタまさか、また使い魔を意図的に放して……
杏子,してねーよ。ただ、安易にアテもなくソウルジェムを濁らすなって忠告だ。やるなら魔女まで一気に片付けときな
さやか,ぶぅー！
マミ,そうだわ。全員集まったことだし、私の家でチームプレイの話をしましょうよ
杏子,チームプレイだぁ？
マミ,そうよ。一人より二人、二人より三人、三人より四人で！。強い魔女に出会った時のために、今のうちから話し合っておかない？
さやか,あたしは賛成です！
杏子,なんかめんどくさそうだな……
さやか,マミさんの家だから、ケーキ貰えるかもよ？
杏子,……っ！仕方ないなぁ
まどか,ほむらちゃんはどうする？
ほむら,………
まどか,ほむら……ちゃん？
ほむら,………
まどか,どうしたの？気分悪いのかな？
ほむら,いいえ、違うの……。……あれ
まどか,本屋がどうしたの。―――！？
さやか,どしたの―――！？
QB,………
まどか,キュゥベえが、本屋で立ち読み……？
ほむら,人がいない本屋で。整理用の小さな脚立に乗って……。全然様になってないわよ
さやか,あの転校生が爆笑寸前だ……
まどか,何を読んでるのかな？
さやか,ぶはっ！。あっはっは！。あのキュゥベえが……小学生用の本！。あーおかしい
マミ,美樹さん……もうちょっと抑えないと変な人に思われるわ
さやか,でもあれ見てるとお腹が……
ほむら,ありえないわよ、普通なら
さやか,地球の文学に目覚めたとか？
ほむら,まさか……ありえないわ
まどか,じゃ…じゃあ聞いてみようよ！
QB,……おや、全員そろってるとは珍しいじゃないか
ほむら,あなた立ち読みなんて言う趣味あったのね
さやか,それも小学生の……ぷぷぅ
QB,笑われるのは心外だなぁ。これはれっきとした、感情の研究だよ。僕のこの個体には地球の物品売買は不可能だからね。立ち読みという行為で知識を収集していたのさ
さやか,その収集対象が“文章の書き方”ですかぁ
QB,言っただろう？僕は感情に関してはこの星のどの人類よりも知識が乏しい。だから人類が勉強する方法で学ぶのが、一番いいと思ったのさ
ほむら,一応筋は通っているわね
QB,君の助言に従ったまでだよ。人類の持っている感情を知りたいなら、人類が歩んできた過程を踏んでみればいい。そう考えたのさ
まどか,キュゥベえって、本当は勉強家なんだね
マミ,えらいわ、キュゥベえ
QB,きゅっぷい！
ほむら,それよりこれからここは人が多くなるわ。そろそろあなたは帰りなさい
QB,どうしてだい？ばれないようには読んでいたはずだけど
ほむら,……身長はあなたなりにがんばったのでしょうけど。ひとりでに本のページがめくれていくのは、見てて不気味よ。見る人によっては、怪現象と騒ぐかもしれないわ
QB,そうかい、それは望ましいことじゃないね。仕方ない、帰るとしよう。ところでほむら―――
ほむら,買わないわよ
QB,………。みんなはマミの家に行ってくるということだ。そういうわけで僕だけ帰ってきたけど。遅いな、ほむら。……！
ほむら,キュゥベえ、聞こえるかしら？
QB,ほむら？いまどこだい？
ほむら,巴マミの家よ
QB,テレパシーってこんなに届いたかな？
ほむら,気にしないで。いろいろあって、巴マミの家に泊まることになったわ
QB,そうなのか。なら僕も……
ほむら,あなたはそこにいるといいわ。せっかくのまどかと寝られる機会を、邪魔させないわ
QB,きゅぷ……
ほむら,晩御飯は冷蔵庫隣の引き出しに入っているわ。来ようとしても、周りにトラップがあるから無理よ
QB,ひどいよほむら！あんまりだ！
ほむら,……今度あの本買ってあげるから我慢しなさい
QB,……仕方ないなぁ。……一人で過ごすのか。こっちの方が気楽でいいのかな。ご飯の時間だ。冷蔵庫の隣……これだね。んしょ……んしょ……。ポン菓子と、リンゴ？。………。………。……ひもじいって、こういうことを言うのかな？。きゅっぷい……。……そういえばほむらは帰ってこないんだ。普段はダメって言われていたけど。ほむらが勝手にするなら、僕だって勝手にするよ！。きゅぷい……。風呂は人類の生み出した文化の極みだ。こんなのにほむらは毎日入っていたのか。この個体でも泳げるとは思わなかったね。……さて、そろそろ上がろう。きゅぷぷぷぷ！。んしょ、んしょ。ふぅ、すっきりしたよ。おっと、日記を書かないと……。今日の日記はどうしようか。………。……いつもより、文章量が多い気がするよ。日記の書き方に慣れたのかな？。………。……？
ほむら,………
QB,……ほむら？
ほむら,ずいぶん遅くまで起きていたようね？
QB,いや、いつもと同じ時間に寝たはずだよ
ほむら,パソコンがつけっぱなし。寝落ちしたみたいよ？
QB,……僕が？
ほむら,……ずいぶん長い文章を書いたみたいね
QB,わわっ！見ないでくれ！
ほむら,……？。珍しいわね、あなたがそこまで慌てるなんて
QB,……なんで僕は慌てたんだろう？
ほむら,今さらキャラ崩壊を避けるためにとぼけるの？
QB,いや、ほんとなんだ……。どうしてぼくは……
ほむら,………。理由が無いなら、見てもいいわよね
QB,だ、ダメだ暁美ほむら！。他人の日記を読むのは、日記の因果に対する反逆だ！
ほむら,どうして読まれたくないのかしら？
QB,それは、その……
ほむら,………。……ふふっ
QB,な……なんだい？
ほむら,わかってるじゃない
QB,……？
ほむら,私に見られたらまずいものでも書いているのでしょう？
QB,それは……。たしかに、ほむらに対する愚痴のようなものも書いているけど
ほむら,仕事上重要でもない、個人的に見られたくないものを書いているのでしょう？
QB,………
ほむら,いつもなら言葉を濁すのに、珍しいわね。わかってるじゃない。それが、“恥ずかしい”という感情じゃないかしら？
QB,これ……が？
ほむら,自分の内面をさらけ出して、正直に書いた日記。よほどの人じゃない限り、それは見せたくないものでしょう？。人に反感を買うかもしれない、自分の意外な一面を知られたくない……。そういう理由で、他人には見せたがらない。たぶん私への嫌味かなんかでも書いているのでしょう？
QB,……！
ほむら,ほら、慌てた。ほむらに撃たれるかもしれないという“恐怖”じゃない？
QB,これが……感情？。いつの間に僕はこれを……
ほむら,私だって、感情をいつ手に入れた？なんて聞かれても答えられないわ。しいて言えば、生まれ持ったものだし
QB,僕が感情を持った……
ほむら,………。そうそう、忘れてたわ
QB,これは……。あの時の本。約束を守ってくれたんだね
ほむら,私が約束を守らないとでも思ってたのかしら？
QB,やめてくれよ。今はなぜかその銃がとても怖いんだ
ほむら,あなたも、面白くなったわね
QB,きゅぷ……
ほむら,まさか、私もここまで日記が効果あるとは思わなかったわよ。最初は暇つぶしに書かせていたつもりだったのだけど
QB,なんだって！？
ほむら,本当はね、あなたの書く日記が見たくて提案したのよ。結局、一回分しか見れていないけど
QB,……あのことを思い出したら、なんだか何とも言えないもどかしい気分になったよ。ほむらに内緒でお風呂に入ってやったときみたいだ
ほむら,ふふ、ごめんなさい。お詫びと言ってはなんだけど、マミのケーキ、もらってきたわ
QB,本当かい！？
ほむら,ちょ……いきなり頭をあげないでちょうだい
QB,ごめんよ、ほむら。ほむら、はやくケーキの準備をしておくれよ！
ほむら,さっきからそればっかね……。少しは静かにできないのかしらこの淫獣は
QB,なぜだか手足が止まらないんだよ！。さぁほむら、僕のためにケーキの準備を！
ほむら,やれやれ……余計なことをしたわ。これじゃ、さらに手がかかりそうね
QB,日記をつけるよ！
