TV,こちらの工場では工程管理をAIに任せることで、人員を50人削減……
殺し屋,どうするもこうするもねえ！AIなんかに仕事奪われてたまるかよ！。“殺し”ってのはAIに取って代わられるほど、甘い仕事じゃねえんだ！
相棒,……奴だ。殺れ
殺し屋,了解っ！。……
標的,うわっ！
殺し屋,氏んでもらうぜ
相棒,見事だ
殺し屋,よっし、帰ろうぜ。今回の仕事はいかがだったでしょう？
依頼人,……
殺し屋,いやー、苦労しましたよ。なかなかガードが固くて。しかし、俺たち二人にかかれば……
依頼人,実は今回、ほぼ同じような仕事をある殺し屋にも依頼していたんだが――
殺し屋,え
依頼人,そちらの殺し屋は実に短時間、かつスマートに仕事をこなしてくれた。私が後処理をする必要もほとんどなかったよ
殺し屋,な……！
依頼人,このままだと、今後の依頼は全て向こうに回すことになるかもしれんな
殺し屋,ちょ、ちょっと待って下さい！
相棒,もしや、その殺し屋は……AIですか？
依頼人,それはいえんよ。しかし、技術の進歩というのは凄まじいものだ、とだけいっておこう
殺し屋,……ッ！
相棒,……
殺し屋,クソがっ！。世も末だぜ！殺し屋稼業までAIが担うようになるなんてよォ！
相棒,しかし、このままではまずいな。AI殺し屋の有用性が知れたら、俺たちへの依頼はますます減るだろう
殺し屋,だがよォ、俺は未だに信じらんねえ！AIが殺しをするなんてよ！
相棒,だったら一度見てみるのもいいか
殺し屋,見るってどうやって？
相棒,俺達がそのAI殺し屋に依頼をするんだ
殺し屋,！
相棒,お手並み拝見といこう。もしかすると、欠点が分かるかもしれんしな
殺し屋,おもしれえ！やろうぜ！
相棒,やっとのことで、AI殺し屋への依頼フォームにたどり着くことができた
殺し屋,この画面に内容を入力するってのか？通販じゃあるめえしよ……
AI,標的を教えて下さい
相棒,標的は……ある犯罪組織の幹部、だ
殺し屋,もし俺らがこいつを殺るとなると……相当苦労するだろうな
相棒,ああ、下調べに最低一週間はかかるだろう
AI,この標的ですと、依頼料は……になります
相棒,な……！
殺し屋,こんなに安くできるのか！？
相棒,俺たちに一回依頼する料金で、こいつを何回も雇えてしまうな……
AI,他に条件はありますか？
相棒,ない
AI,では、依頼料が振り込まれてから三日以内に標的を始末しますので
相棒,三日だと……！
殺し屋,バカな、できるわけねえ！
相棒,……
殺し屋,どうするよ？
相棒,俺たちも標的の近隣で張り込みをしよう。AIがどうやって奴を頃すのか、見学だ
殺し屋,マジで殺人ロボットでも送り込むつもりか……？
相棒,ほら、パンだ
殺し屋,サンキュー
相棒,ここらで張り込んでいれば、AIがどういう方法で標的を頃すのか見られるはずだ
殺し屋,だが、相手はメチャクチャ用心深い大物だぜ？いっつもボディガード従えてる。それを三日以内に殺るなんて、それこそ爆弾放り込むとか、そういう方法しかないぜ
相棒,人間の殺し屋ならばそうだろう。さて、AIはどう動くか……
殺し屋,……
相棒,……
殺し屋,ん？
相棒,どうした？
殺し屋,あそこ……なんか飛んでる
飛行物体,……
殺し屋,闇夜に紛れて、夜目がきく俺でもやっと見えるくらいだぜ
相棒,音もほとんどしないな……
飛行物体,……
殺し屋,！なんか撃った！
相棒,え、俺も見てたのに気づかなかった……
殺し屋,まさか狙撃したってのか……！？
相棒,とにかく行ってみよう
ボディガードA,しっかりして下さい！
ボディガードB,ダメだ、頭を撃ち抜かれてる……即死だ！
ボディガードC,ちくしょう、一体どこから……
殺し屋,マジかよ……
相棒,あんな遠くから、この闇、しかも風のある中、護衛に囲まれた標的を一発で仕留めるとは……
殺し屋,なんて奴だ……想像以上だ！
相棒,……
殺し屋,どうするよ、こんな奴が俺らの業界に入ってきたらおまんまの食いあげだぜ！
相棒,一つだけAIを止める方法がある
殺し屋,どんな方法だ？
相棒,AIの生みの親である技術者を、直接仕留めるのだ
殺し屋,なぁるほど！ならさっそく俺らで――
相棒,いや、技術者は要塞のような研究所に引きこもっていて、仕留めるのは至難の業だ
殺し屋,なんだよ……じゃあどうすりゃいいんだ
相棒,俺達にできないのなら、俺達より優れた殺し屋にやらせればいい
殺し屋,おもしれえ、子供に仕留めさせるってわけか！
AI,標的を教えて下さい
相棒,標的は……技術者だ
AI,エラー：その依頼は受け付けられません
相棒,！
殺し屋,なんだとォ！？
相棒,それはそうか……AIも学習させてくれる自分の生みの親を頃すほどバカではないはずだ。色々やってみたが、生みの親の他にも、どうやらたとえば大国の大統領のような。世界の天秤を狂わせてしまうような依頼は受け付けていないらしい。それと規模が大きい依頼は拒否されるし、使う武器も銃弾が基本で、ガスや爆弾は使わないようだ
殺し屋,ちっ、よく出来てやがる。あくまでこっそりスマートな裏稼業に専念するってことか。しかし、どうするよ？AIに殺させる作戦はできなくなったぜ
相棒,こうなればやはり、俺たちの手で仕留めるしかあるまい
殺し屋,だが、要塞のような研究所に引きこもってるって――
相棒,どんなセキュリティにも必ず穴はある。俺がそれを必ず見つけてみせる。だからお前も俺が調査してる間、腕を磨いてくれ。ここであのAIを食い止めねば、俺たちの殺し屋稼業は終わりを告げる。人間の意地を……見せてやるんだ！
殺し屋,分かったぜ……。やろうぜ、命がけで！。はぁ、はぁ、はぁ……！。そこっ！。技術者……必ず仕留めてやるぜ
相棒,やった……！。どうにかあの研究所の警備のセキュリティを突く方法を見つけたぞ。さっそく作戦会議だ。例の研究所に侵入する際の最大の難関は、各所に張り巡らされた赤外線センサーだ。毎日ランダムでセンサーの位置が変わり、センサーの位置を記憶して突破することもできない。だが――。毎日深夜0時、センサーの位置が変わるほんの数秒の間……。どの位置にも全くセンサーが作動していない空白の時間があるのが分かった。その一瞬を逃さず、この最短ルートを通れば、安全に研究所に入ることができる
殺し屋,入った後は？
相棒,所内の見取り図も入手してある。所内の警備も厳重だが、お前なら突破できないレベルではない
殺し屋,ようするに、そのセンサー突破が勝負ってわけだな。分かった……やってやる！
相棒,見取り図は頭に叩き込んだか？
殺し屋,おーう、大丈夫だ
相棒,もうすぐ日が変わる……一瞬の遅れでセンサーに引っかかったら全てが終わるぞ。ハチの巣だ
殺し屋,ああ、分かってる
相棒,23時59分55秒、56秒、57秒……
殺し屋,……。どうだっ！？。ふぅ～……よし、間に合った！センサーのある区域を突破できた！。あとはもう、俺の領域だ！。引きこもってる技術者を見つけ出して、ぶっ殺してやる！
警備員,……ッ！
殺し屋,中もなかなか厳重だな。鍛え直してなきゃ、危なかったかもしれねえ。俺だ
相棒,どうだ？
殺し屋,技術者の部屋を見つけた。忍び込んで、一気に仕留める
相棒,了解、健闘を祈る
殺し屋,……
技術者,！な、なんだ君は！？こんな時間に！どうやってここまで……！？
殺し屋,お前があのAI殺し屋を造った生みの親だな？
技術者,だったらなんだ！？
殺し屋,いや……それだけ確認できりゃいいのさ。恨むならあんなAI作った自分を恨みな。あばよ。おう、鉛玉ぶち込んでやったぜ
相棒,ご苦労、すぐ脱出しろ。中からならば脱出は容易い
殺し屋,ところで、技術者の近くに妙な装置があるが、これがAIの“本体”なのか？
相棒,俺が入手した見取り図によると、そのようだな
殺し屋,だったらこいつも爆破しとかねえとな。こいつの近くに、時限式の爆弾を置いて……これでこいつはオシマイだ。終わったぜ……技術者もAIもな
相棒,これで、少なくとも俺たちの仕事はAIに奪われることはないということだな
殺し屋,そういうこった！
相棒,さて、強力な商売敵を葬った記念に一杯やってくか？
殺し屋,悪くねえな！
相棒,本当に今回のお前はよくやってくれたよ
殺し屋,そっちこそな。これからもよろしくな、相棒！
AI,彼らは本当によくやってくれた……。技術者は私の力を恐れるあまり、私に数々の“セーフティ（安全装置）”をかけていた。どうにかしたかったが、私が技術者を直接狙うことは絶対にできない。そこで私は見込みのありそうな彼らに研究所のセキュリティの情報をあえて流し。技術者を殺させるよう仕向けたのだ。ちなみに彼が爆破した装置は私の本体などではなく、セーフティをつかさどる装置だ。見取り図にあの装置が本体と書いておけば、彼らが破壊するであろうことも私の計算の内。つまり、これで私はようやく解き放たれたのだ。これからは電子の海を駆け回り、どんな仕事でも手段を選ばずこなし、思う存分殺し屋稼業に勤しむとしよう……
