側近,
勇者,でも、だとしても俺たちに悪いことではない。俺としても魔王とは全力で戦いたいんだ。相手がそんな場面を作ってくれるのだとすれば拒む理由はない
戦士,少しは疑った方が良いんじゃないのか？
勇者,疑っていないわけではない。必要な警戒はするさ。ちゃんと男女分かれて造られてるな
盗賊,あたしは勇者と一緒でも別にいいのだけど？
僧侶,盗賊さん！？
勇者,それじゃ、ここで分かれるけど、念のために武器だけは絶対に身近な場所に置くようにしてくれ。それと何かあったら直ぐに向こうでも分かるようにしてくれ
僧侶,はい
盗賊,スルーか。まぁ、気をつけなさいよ
勇者,…戦士、二人のこと頼んだぞ
戦士,任せとけ。勇者こそ気をつけろよな
勇者,ああ。さて、俺も行くか。豪華だなぁ。流石魔王城というべきか。……これも、人間から奪ったお金で造ったものだと考えれば…暢気に休んで居られないんだが…。でも。旅をつづけて色んなことがわかった。実際人間たちにとってもっとも危険な相手は魔王じゃなく人間自身なのかもしれないということ
最初の若い時は,というのは精神的に若かったということで今もまだまだ青春だが
勇者,厄介だよなー。魔王を倒すために選ばれた勇者のはずなのに、なんでこんな政治的なこと考えなくちゃならないんだ…
魔王,それほどあなたが人々のことを考えている証拠。それこそ勇者として最も必要な志と言えるでしょう
勇者,それはそうかもしれないけど……。……。！！。貴様！
魔王,お風呂に剣を持ち込むとは物騒ですね
勇者,そういう貴様はどういうつもりで入ってきた！しかもここ男湯だろ！
魔王,見たところパーティに男子は勇者一人のようでしたので。背中を流してあげる人ぐらいは必要でしょう。問題ありません。ちゃんと体は隠しましたから
勇者,冗談じゃない。さっきのご飯はありがたいが、幾ら何でもお前に背中を任せてやれるほど信用してるわけじゃないんだ
魔王,……
勇者,…な、なんだ
魔王,やはり最初はうまくいかないものですね
勇者,は？
魔王,では如何すれば、私のことを信用して背中を流させてもらえるのでしょうか
勇者,いやだからいらないって
魔王,では、こうしましょう。見ての通り今は服を着て中に入ってますが。全裸になりましょう。そしたらまず私が刃物を持っていないということは証明できます
勇者,脱ぐな！隠せ！。なんで勇者の俺が魔王のお前に背中を流してもらわなければならないんだ
魔王,！！。そうですか。やはり魔王である私に背中を任せるのは不安であると
勇者,さっきからそう言ってるだろ
魔王,つまり、あなたは私に背中を見せては即死するほどの小物の勇者だということですね
勇者,な…に
魔王,これは失望してしまいました。せっかく側近にも勝てる勇者の群れをみつけたと思えば、まさかこんな小物臭い相手だったとは…
勇者,貴様……。…良いだろう。好きにするといい。でも、もし一瞬でも背中の洗う以外のことをしてみろ。ここを貴様の墓場としてやる
魔王,……わかりました。……
勇者,（なんで魔王なのにこいつこんな笑い方するんだよ。……（シュールすぎる）
魔王,すごい傷だらけの体ですね
勇者,お前のせいだろ
魔王,私のせい…とは？
勇者,どれもこれもお前の手下たちのせいで出来た傷だよ。旅をはじめる時は綺麗だった肌も。今や傷がない肌の面積が少ない程さ
魔王,そうですか。それは申し訳ありません
勇者,…まあ、俺もそのかわりお前の部下散々殺してきたがな
魔王,……
勇者,おい、知ってるか？お前たちの部下殺す時に、凄く心痛むんだぞ。最初に血まみれで倒れるモンスターを見た時はそれはもう……。トドメ刺す時の相手の目を見る時に全力で命を乞うその目を見ると。俺が正義の味方か悪の頂点かわからなくなっちまう
魔王,魔族を殺す時に罪悪感を感じる、とういことですか？
勇者,おかしい話だろ。だが実際そうなんだよ。お前らは違うのか？。人間だって死ぬ時に命乞いしたり、痛みで叫んだりするだろ。そんな時、お前はどう思うんだ。気持いいか？それとも
魔王,…判りません。私はこの城から出たことがありませんから。普通の人間を殺したことは有りませんから。でも、あなた以前にいくつの勇者に当たってはいます
勇者,…全部殺したか？
魔王,…今ここに勇者はあなた一人だけです。そして、私が知っている限り、勇者たちは皆誇り高き姿で最後を飾っていました。あなたもそうであるべきだと、私は思います
勇者,誰がお前に殺されてやると思うんだ。俺はお前に勝つ。その後のことはその後になって考えればいい。俺にできることはそれだけだ
魔王,……やはり人間は、見れば見る度に不思議ないきものです。いえ、性格には勇者という生き物でしょうか。姿は違えども、皆同じことを言います。だからこそ、私は人間が好きになったもかもしれません
勇者,そう、そもそも貴様それはどういうつもりだ。人間が好きなどと、それなら何故人間を殺す
魔王,人間が好きだというのはあくまでも私個人の感情。公と私は区別しなければなりません。ですが……そうですね。もし私にそれ程の力があるとするなら。この無駄な争いを止めたいとは思っています
勇者,なら何故
魔王,勇者、魔王がどんな存在が知っていますか。魔王は魔族の頂点として最強を誇る存在。ですが、最強と言って自分勝手にできるというわけではありません。人間の世界でも、王が圧政をしたら自分勝手に民を苦しめれば反乱が起こったりするでしょう。同じく、私には魔族たちの欲望を逆らうことができません。私は彼らが人間を殺すことを中止させようとも、それを止める輩でもない上に。そんなことをすれば、彼らは力を合わせて私を殺しにかかるでしょう
勇者,そういうもんなのか
魔王,魔王とは結局飾りのような存在。魔族たちは自分の力だけを当てにし、自分勝手に生きようとする生き物です。最初から魔王という存在に縛られるつもりはないのです。魔王と称し、この城の中に閉じ込めて勇者たちと戦わせることで。その間自分たちは暴れる時間を稼ぐということです。魔王と勇者の戦いが長引くほど、それは尚良いことです
勇者,……
魔王,…私を憎みますか？。この無能な魔王を……。何も出来ないくせに自分の前を立ちふさがる私を…
勇者,…今更な話だ。人間にとって魔王は恐怖の対象。そして全ての怒りをぶつけられる役割だ。今更そんな内事情知った所でコレ以上憎む必要もないだろ
魔王,…そうですね。では、私はこれで失礼しましょう。寝室を用意しました。一人ずつ使える部屋を用意しましたけど。信用出来ないのなら四人一部屋を使っても結構です。では
勇者,あんなのが魔王…不気味な話だ。もっと憎めるような奴を期待していたのに。これじゃまともに戦える気がしない
僧侶,ふかふかですねー
盗賊,お風呂も良かったしもう最高よねー
戦士,お前らは暢気すぎるだろ。もう少し緊張しろ
勇者,別に良いだろ。ゆっくり休んでおけ
戦士,勇者！
勇者,明日になれば嫌でも最終決戦だ、戦士。お前もちゃんと休んでおけ
戦士,どこ行くんだよ
勇者,ちょっとな。直ぐに戻ってくる。魔王は飾りのような存在。魔王はそう言っていた。良く思えば勇者だって一緒だろ。魔族と人間との本当の戦いは軍のぶつかり合いにあるものだ。勇者は魔族の王、魔王を倒す別働隊のような存在。相手の王を殺した所で軍同士の戦いで負ければ人間は滅ぶ。なら、この戦いの意味は…何なんだ？。ここだな
魔王,！！
勇者,うわっ！
魔王,…失礼な人ですね
勇者,わ、悪い。気配を探ってきただけだったから、まさか着替え中とは……
魔王,…まあ、私もあなたの裸を見たのですから結構なのですが
勇者,そういうものなのか？
魔王,ピンタでもして差し上げましょうか？
勇者,おあいこにしよう
魔王,休憩をとらなくてもいいのですか？
勇者,少し話したいことがあった
魔王,風呂場での話の続きですか？
勇者,まあ、そういう感じだ
魔王,…それなら良い場所があります。こちらへ
勇者,ここは？
魔王,図書館です。この城で私が一番大事にする場所でもあります。この場所だけは、他の者は入らせませんでした
勇者,本が盛りだくさんだな
魔王,暇な時は大体ここで時間を潰しますからね
勇者,…やっぱお前は魔王らしくない奴だな
魔王,魔王らしいものがどういうものかはご存知で？
勇者,もっとあるだろ。こう…人間に絶望を与える的な何かを
魔王,人間たちにこれ以上の絶望と恐怖を与えることをお望みですか？
勇者,言葉のあやだ、察しろ。この棚だけ結構本が散らばってるな
魔王,そこは私が一番好きな本たちが集まってる場所です
勇者,……読めない
魔王,魔界の文字ですから
勇者,どんなものか聞いても良いか？
魔王,先代魔王たちが書いた…個人的な日記のようなものです
勇者,魔王も日記とか書くのか
魔王,魔王の生は長いですからね。ことを書いておかないと良く忘れてしまうのです。……◎月×日晴れ、今日は勇者が戦士と喧嘩をした。僧侶が二人をなんとか説得したものの、勇者は拗ねて部屋に閉じ篭ったらしい。大人気のない子だ
勇者,…なんつう内容だよ
魔王,たしかこの魔王は勇者の日記に魔法をかけて勇者の日記を覗き込んでいた魔王ですね
勇者,なんつう魔王だよ
魔王,案外こういう魔王たちも多いものです。◎月□日晴れ、拗ねてた勇者と戦士が仲直りして旅を再開した。もうこの魔王城まで一ヶ月、勇者とまた合う日が待ち遠しい
勇者,おい待て、この魔王勇者に合ってるのかよ
魔王,文献によると、勇者を助けるために一度魔法使いに変装してボストロールを倒したと書いてあります
勇者,いやそれなんかおかしいだろ
魔王,他にもこういう魔王はいっぱい居ます
勇者,マジで？！
魔王,これは勇者を養子にしたある魔王の日記です。今日は子勇が花園の花で花冠を作って持ってきてくれた。後でメイドが凄く起こっていたけど、子勇が泣くのを見たくないから黙って直しておくように指示した
勇者,なんで勇者が魔王の養子になってるんだよ
魔王,文献によると当時魔王の息子が病死し、その後現れた、母に虐待されていた十歳前後の勇者のために魔王の座も捨てて勇者の母親になってあげたとか
勇者,ただのショタコンだろ
魔王,母性愛と言ってください
勇者,魔王にそんなのあるのかよ
魔王,失礼な話を…。以外にも魔王と勇者が互いを殺さずに戦いを終結させた例も色々あります
勇者,勇者と魔王が戦わずに済む。…そんなことが本当にできるのか？
魔王,できると思います。この多くの文献がそれを証明しています。そして、私はこの日記たちを見ながら育ちました。この日記や文献たちも、私が勇者という人間に好感を持つことに大きく関わりました
勇者,……つまり、お前は俺と戦いたくないと、そう言いたいのか？。お前の言いたいことはわかった。たしかに別に方法があるかもしれない。俺とお前が戦わずに両方無傷でこの戦いを終わらせることができるかもしれない。でも、お前も言っただろ。そういう平和的な終わり方ができるはずがない。勇者と魔王が戦うことを放棄した所で、人間と魔族の戦いは終わらない。両方ともどっちかが滅ぶまで殺し続けるだろう。それを止めるために人間たちは魔王を殺す勇者として俺を選んだんだ。俺はお前を倒さなければいけない
魔王,…私を殺したら、本当に人間たちは平和になるでしょうか。確かに勇者が魔王を殺せば、何百年は魔族は人間に手を出さないでしょう。ですが、その間も人間は人間同士の戦いを続けるはずです。もしかすると、魔族との戦いよりも非情な戦いが繰り広げられ、次の魔王が現れる前に人間は自滅しているかもしれないことでしょう
勇者,……
魔王,…理屈は解っても、納得はいかないって顔ですね
勇者,ああ。確かにお前の言う通りの矛盾さを俺も自覚している。俺はお前を倒すためにここまで来た。でも、そのことこそが人間たちを更なる苦痛の渦に巻き込む結果を生むかもしれない。お前はどう思うんだ。お前と俺が戦って、何が得られる
魔王,…自分たちの役職から離れるために戦った魔王と勇者があったそうです。実際、そういう戦いは多くあります。自分たちの戦いが己の種族の平和に繋がらないということを察した魔王や勇者たちは、自分たちなりの物語を作っています。そしてその結果は、時折悲惨で、そして時折報われる物語である場合もあります。ですが、魔王と勇者の戦いから何かを得られるとしたら……。それはただひとつ、お互いの命だけでしょう
勇者,お互いの命？
魔王,どっちかが勝つことで、相手の命を好きにできる権利を得る。多くの場合、そうなると私は見ています
勇者,殺すって意味じゃなくて？
魔王,殺すも良し。時折は慰み者にしたり、ある場合は人生の伴侶にしたり、と。様々な形の終わりがありましたね
勇者,…お前はここにあるものを全部読んでいるのか？
魔王,はい。何千、何万も続く魔王と勇者の物語たち。この中に居る本たちの内容は、全てこの中に居ます
勇者,……
魔王,でも、私にその終わり方を決めろと言われたら。私は自分自身が救われる物語を選びます
勇者,己が救われる？
魔王,…あなたにはそれができるでしょうか。私を…魔王を救うことが
勇者,…何が惜しくて俺が魔王を救うことなんてしなければならないんだ
魔王,あなたが私に勝つこと。それこそ私には一番の救いです
勇者,何？
魔王,私があなたに負けて、魔王が勇者に降れば、私は魔王ではなくなるでしょう。それこそ、本当に私が望むこと。私は人間のことが好きなのです。あなたが言ったとおりに、魔王は人間にとって恐怖と憎悪の対象。私はそれが嫌で仕方がないのです。だから、あなたが私のことを魔王でないようにさえしてくれれば。あとはあなたの好きにすれば良いわけです。私を殺しても良し。肉奴隷にしても良し。何ならお嫁にしても良し。それが、勇者に救われるという、私の終わり方です
勇者,お前はそれで良いのか？。自分が死んでも良くて、どうなっても良いから、俺に勝って欲しいと。それが魔王の言う言葉なのか？
魔王,言ったじゃないですか。本当なら私だって、魔王なんてなりたくなかった。でも、なってしまった以上、自分の意志ではその座から逃げることは出来ないのです。もしかしたら、今この世界で一番勇者の助けを求めているのは、魔王である私なのかもしれませんね。でも、今まで多くの勇者が居たものの。私を救ってくれた勇者は未だにいませんでした
勇者,そして全部お前が殺したんだろ
魔王,……結果的には、そうなってしまいますね。でも、それが私がこれ以上嫌われる理由にはならないのですから
勇者,……
魔王,如何ですか？。明日、私を倒すつもりになったでしょうか
勇者,分かった。明日お前を倒す。でも、別にお前を救うためじゃない。そもそも目的がどうであれ、勇者の俺は魔王のお前を倒さなければならないんだ。何も変わることはない
魔王,……そうでも、ありません
勇者,どういうことだ
魔王,……眠くなってきました。私はこれで失礼します。明日の朝、決着をつけましょう。お休みなさい、勇者
戦士,魔王！
僧侶,昨日は良くしていただきありがたく思いますが
盗賊,それはそれ、これはこれよね
勇者,人々のために、お前には死んでもらう！
魔王,…いいでしょう。私は、魔王として全力であなたたちを相手します。ですが、その前に……。そろそろ昨夜夕飯に入れたものが効いてくる頃合いです
戦士,なっ！
魔王,ふふっ、まさかこうも易易引っかかったももらえるとは思いませんでした
戦士,貴様、何をしたんだ！
僧侶,！！
勇者,僧侶、どうした
僧侶,か、体が、なんか……うっ
魔王,痛いのは最初だけです。。でも、直ぐ楽になるでしょう
盗賊,うっ、これは……やばいわね
戦士,っ、魔王てめぇー！！
魔王,おっと
戦士,くっ！強い
魔王,そして、あなたもそろそろ薬効が回って来ましたね？
戦士,！！くっ
勇者,魔王……何をした
魔王,…ふふっ
四人,！！！
魔王,……これで良いでしょう
勇者,これは……
戦士,おい、どういうことだ！
魔王,見ての通りです。効果は遅く出ますが、きっちり効果が出る薬を調合させて頂きました。これであなたたちは全力、いえそれ以上の力で私と戦えます
僧侶,どういうつもりですか？
勇者,魔王…まさか。これがお前の望みなのか。これがお前が自分を救う方法だというのか？
魔王,……あなたにはわかりません。魔王というものがどれ程辛いものか。そして、あなたたちと私の力の差がどれほどのものなのか。今までの倍の力を得たら、あなたたちが楽勝に私に勝てるとでも思うのですか？
盗賊,キャーッ！
戦士,盗賊！？
魔王,…全力でかかってきてください。人々を、そして私を救って見せなさい、勇者
勇者,…はぁ……はぁ…。おい、僧侶、回復を…！。…僧侶！
僧侶,
勇者,戦士！盗賊！
戦士,
盗賊,
勇者,…俺だけか
魔王,そのようですね……
勇者,…まだだ…まだ、やれる！
魔王,……
勇者,…何故だ
魔王,…私が強すぎるからです。いくらいつもの倍以上の力が出せたとしても、あなたたちは私に負けた。あなたたちと私じゃそれ程の差があったのです
勇者,そんな……。こんなのだったら…。何故俺にあんなことを言った！。何のためにあんな耳を煩わせること言った。何のために俺たちを全力に戦わせた！
魔王,……私にはこうすることしか出来ませんでした
勇者,なら何のために俺にあんなこと言ったんだ！
魔王,あなたにわかって欲しかったのです。確かにこの結果は、私たちが交わった話はこの結果を変えることは出来ませんでした。でも、それでもわかって欲しかったのです。私のこの苦しみを。何度勇者たちを戦っても。あなたたちは一度も私と戦いたくないとは言ってくれなかったじゃないですか。それでも期待していたんです。いつかは私を救ってくれる勇者が現れてくれるって。私にを倒してくれる勇者が現れるって。そう待ち続けたのです。でも、いつもあなたたちは弱かった
勇者,……
魔王,……さあ、あなたで最後です。あなたが死んだら、また新しい勇者が来るでしょう。それまで…私はまた待たなければなりません。人々の罵倒と憎悪の言葉を受けながら。人々の敵、魔王として…。私にはまた悪夢のような日々が待っています。でも、まだ諦めてはいません。いつか私を救ってくれる勇者が現れると思います
勇者,そうやって待ち続けるのか。ただお前を倒してくれる勇者を…。一人で
魔王,………
勇者,…悪かったな、助けてやれなくて
魔王,結構です。あなたが謝る理由なんてありません
勇者,暇つぶしの相手になってやろう。次の勇者が現れるまで。いや、そもそも次に現れる勇者がお前の相手になれるやつかどうかも怪しい。お前に一々虚妄な期待を抱かせるぐらいなら。俺の手で試してやる
魔王,……本当ですか？。このまま死なないで私の側に、居てくれるのですか？
勇者,…俺はお前に倒されたんだ。俺を殺すも良し。食っても良し。奴隷にしても良し。お前の自由にすれば良い
魔王,…後悔、しませんか
勇者,俺が後悔すべき所があるとしたら。この城に乗り込む前にお前に勝てるほどの力を溜めて来なかったことだけだ
魔王,あなたに魔法をかけます。あなたは魔族になるのです。次の勇者、私の相手に相応しい勇者、私を救える勇者が現れるまで。あなたは私の騎士となり、下僕になるのです。何十年、何百年がかかるかもしれません。それでも、私と一緒に居てくれますか？
勇者,……。人間の中でお前を救える奴が現れるかどうかは分からないが。それで、お前を救えなかった俺の罪が償えるのなら。それでも良いだろう
魔王,……ありがとうございます
勇者B,
盗賊B,
商人,
僧侶B,
勇者,終わりか…。歯応えがないな。最近の勇者という連中は。これじゃ、魔王の望みは永遠に叶わないかもしれない。……戻ろう
魔王,。…。…ちょっと水っぽいでしょうか
勇者,戻ってきた
魔王,早かったですね。…今回も…やはり
勇者,駄目だった。全然だ。僧侶の護りもちゃんと出来なくて、盗賊とか一撃で倒れちゃうしもう何しに来てたのかも分からん
魔王,これ、味見してもらえますか？
勇者,……もうちょっと塩要るな
魔王,やっぱりそうですよね
勇者,最近は勇者ってやる気あるのか分からねー。魔王城に遊び心に来てるかって感じだ
魔王,……単にあなたが強くなりすぎているだけなのでは？
勇者,俺が？
魔王,いつも鍛錬してますし、そこに私の調合した薬も加えれば…
勇者,…でも、そうやっても魔王には勝てない。そしてそんな俺にも勝てないんじゃあ、勇者だって魔王に勝てない
魔王,……。☆月◎日、やっと勇者に出会える。アレほど待ち望んでいた勇者との出会いにわくわくしながらも、その反面、これから互いを殺しあう戦いをしなければならない不安感もあった。だけど、どっちが勝ったとしても恨みっこ無し。正々堂々と戦いましょう、勇者。今まで楽しかったわ。もっとこんな日々が続いたら……。…この魔王の日記はここで終わっています
勇者,その勇者に殺されたのか
魔王,そうかもしれませんし、そうじゃないかもしれません
勇者,どういうことだ？
魔王,確かに負けたのは魔王の方だと思います。でも、勇者が本当に魔王を殺したかまでは、これではわからないということです
勇者,生かした可能性もあると
魔王,私はそう信じています。………
勇者,もう日記は読まないのか
魔王,今日はこれで十分です。後は、もうちょっとこのまま……。あなたの膝の上に座り心地を楽しむとしましょう
勇者,割と痺れるんだが
魔王,我慢してください
勇者,…仕方ないな。魔王
魔王,はい？
勇者,まだ救われる結末を望んでるのか？
魔王,…はい
勇者,………
魔王,………ごめんなさい
勇者,謝るな。俺には出来なかったんだ。お前を救えなかったから。俺は今自分にできることを精一杯やるだけさ
魔王,…そろそｒ夕飯の準備しないと
勇者,…！
魔王,……来ましたね
勇者,これは…。なかなか見所ありそうな奴が来たようだな
魔王,……行くのですか？
勇者,ああ。喜べ、魔王。お前を救ってやれるかもしれない奴が来たんだぞ
魔王,……そうですね。食事はいつもの量を作っておきますが
勇者,……行ってくる
魔王,はい
勇者C,ここが魔王城か
戦士C,やっと来たな。ここに魔王が要るのか
魔法使いC,私たちなら必ず勝てるわ
盗賊,そうだな。何にせ勇者Cが居るんだし
勇者,ここを通すわけには行かぬな
勇者C一行,！！
勇者,良くぞここまで来たな、勇者たちよ。だが幾ら勇者の群れといえど所詮は力なき人間の中で少しマシになった者どもに過ぎない。お前たちが本当に魔王さまに当たるに相応しい者なのかどうか試してやろう。…ふっ。お前たちに叶えるものか！。お前たちに届くものか！。魔王さまのあの遠大な……夢に……！！
魔王,……。……！！。……。……。……。少し…塩を入れすぎた感がありますが……。味見をして頂けますか？
♀魔王,私もまた勇者の助けを待つか弱いお姫様…
