ジャイアン＆スネ夫,のーびー太ーくん
のび太,わっ！！スネ夫が来た！！どうしようドラえもん！？
ドラえもん,あれだけ頑張って終わらなかったんだ、もうしょうがないよ。素直に僕らは行けないって謝るしかない
のび太,そんな～！ジャイアンに殺されちゃうよ～
のび母,のびちゃん、何をやってるの？スネ夫さん来てるわよ？
ドラえもん,僕も一緒に謝るから、行こう？
のび太,うぅ･･･
のび母,ふー、全く･･･宿題はどこまで終わったの？
ドラえもん,え････えっと、7割くらいまでです
のび母,7割？本当に！？
ドラえもん,え････え～と6割くらいだったかな～ドゥフフフフ
のび母,はー、まぁいいわ。昨日は張ってたみたいだし特別に許してあげる
のび太,ゆ、許すって････じゃあ遊びに行っていいの！？
のび母,ただし！！ちゃんと二学期までに残りを終わらせる事！！いいわね！？
のび太,えぇ！？後4日しかないじゃない！？それじゃ船の中でも勉強しろって言うの？そりゃないよ～
のび母,何か言った！？
ドラえもん,ドゥフフフフフ、分かりました！さ、行こうのび太くん！
のび太,う～
のび母,ちゃんと勉強するのよー！！
スネ夫,もう、遅いじゃないか！でも出てくるって事は宿題は終わったんだね
のび太,それがまだなんだ。船の中で勉強しろって････
スネ夫,えぇ！？あの豪華客船の中で！？
ドラえもん,あれ？スネ夫くん、ジャイアンは？
スネ夫,それが聞いてくれよ！！
ジャイアン,も～頼むよ母ちゃん！！
ジャイ母,駄目だって言ってんだろ！！宿題もロクに終わってないのに！ウダウダ言う暇があったら勉強しな！！
スネ夫,ジャイアン、のび太達連れてきたよ！
ジャイアン,おぉ心の友よ！お前達も母ちゃんを説得してくれ
ジャイ母,何が説得だい！諦めて勉強しな！
ドラえもん,あ、あの･･･実はのび太くんも宿題はまだなんです。ですので残り4日間、みんなを一緒に船の中で勉強させようと思いまして･･･
ジャイ母,勉強なら何も船の中じゃなくても出来るじゃないか！
ドラえもん,え･･･えぇ、それはそうなんですけど･･･
ジャイ母,ふぅ、まぁいいわ。ドラちゃんがそう言うなら許可してあげる
ジャイアン,えぇ！？本当に良いのか母ちゃん！？
ジャイ母,その代わり、ちゃんと船の中で勉強すんだよ！！二学期までに全部終わってなかったら承知しないからね！！
ジャイアン,わ････分かったよも～
ドラえもん,よし、じゃあ行こう！
ジャイ母,ドラちゃん、剛の事ちゃんと監督してちょうだいね
ドラえもん,は、はい！勿論です
スネ夫,みんな早くしないと出航時間に間に合わなくなるぞ！
のび太,出航時間って何時だったっけ？
スネ夫,前に12時って言っただろ！！
ジャイアン,それで、今何時なんだ？
スネ夫,もう10時だよ！急がないと！
のび太,ねぇ、スネ夫。その時計針動いてないよ？
スネ夫,なに！？わっ、本当だ！！
ジャイアン,えぇ！？じゃあ本当は今何時なんだよ！？
ドラえもん,普通の時計ー！えーと、只今11時20分
のび太,じゅ、11時20分！？それじゃもう12時までに行くのは無理だよー
ジャイアン,おいスネ夫！！お前の時計が壊れてるばっかりにみんな間に合わなくなっちゃったじゃねーか！！
スネ夫,元はといえばジャイアンが宿題をやってなかったのが原因じゃないか！
ジャイアン,うるせーー！！
スネ夫,イテッ！！
ドラえもん,は～、みんな何か忘れてない？
のび太,忘れてるって、何を？
ドラえもん,あのね～、僕は22世紀のロボットですよ！！
スネ夫,あっ、そうか！どこでもドアを使えばいいのか！
ジャイアン,そういえばそうだな。コロッと忘れてたぜ
ドラえもん,全く君達は････ﾌﾞﾂﾌﾞﾂ･･･どこでもドアー！
のび太,はー助かった！これなら出航に間に合うね
ドラえもん,一応聞いておくけど、みんな忘れ物はないね？
のび＆スネ＆ジャイ,ないでーす！
ドラえもん,では行きましょう！！いざ、東京湾！オーベロン号へ
キョン,はぁ～～～
古泉,おや、随分大きな溜息ですね。何か嫌な事でも？
キョン,溜息も出るさ、夏休みもいよいよ終わりだって時に急にこれだ。こちとら宿題も終わってないってのに、勘弁してほしいぜ
古泉,まぁ、確かに急なことではありましたね。涼宮さんから電話がかかってきたのが27日で僕達が神戸港を出港したのが28日。流石に準備に手惑いましたよ
キョン,急に電話してきて明日から31日まで豪華客船で遊ぶわよ！だもんな～。商店街のくじ引きで5枚もチケット当てちまうなんて、どうなってんだかなあいつは
古泉,涼宮さんがそう願ったからこそ、そのような奇跡的な芸当が出来たのでしょう。恐らく彼女はあのまま夏休みが終了する事が嫌だったのでしょう
キョン,夏休みに入ったと同時にお前の知り合いの別荘で充分楽しんだじゃないか。他に何が物足りないっていうんだあの女は？
古泉,さあ。それが分かるのは、恐らく涼宮さん本人だけだと思いますよ
キョン,ようやく折り返し地点か
古泉,帰路もこのまま何事もなければいいのですが･･･
キョン,それは無理な話だな。ハルヒの奴がいる限り必ず何かは起こる
ハルヒ,やっほーーーーーー！！！
キョン,噂をすればだ
古泉,あはは･･･
ハルヒ,何よあんた？私の噂してたの？
キョン,まぁな。偉大な団長様のお陰でこんな豪華客船に乗るとこが出来て光栄だって事を古泉と二人で話してたところだ。
ハルヒ,あらそう♪それより二人とも、外に行くわよ！
キョン,外？東京見物でもする気か？残念だがこの船はそう長く停泊しないぞ
ハルヒ,違うわよ！東京湾からも大勢の人が乗船するのよ！？その中に宇宙人や未来人がいるかもしれないじゃない！
キョン,お前はこんな所に来てまで不思議探しをするつもりか･･･
ハルヒ,当たり前じゃない！兵庫にはいなくても東京にはいるかもしれないのよ！？むしろ人口が多い分東京の方が不思議な奴がいる確率は高いと思うわ！
キョン,そういう確率が人口の多さに比例するとは初耳だが
ハルヒ,ごちゃごちゃ言わないでさっさと行くわよ！もしかしたら宇宙人や未来人以上のもっと凄いのが乗り込んでくるかもしれないわよ！！いえ、きっとそうだわ！！
キョン,はぁ～～、もっと凄いのってのは具体的にどんな奴なんだ？
ハルヒ,そうね～･･････未来から来たネコ型ロボットってのはどう！？
キョン,いや、どう？って言われてもな････
ハルヒ,いいから早く来なさい！先に行ってるわよ！
キョン,全く台風のような女だ･･･
古泉,･････････
キョン,ん？どうした古泉？
古泉,あ、いえ････少々気になることがありましてね･･･
キョン,気になる事？
古泉,大した事ではありませんよ。恐らく僕の勘違いだと思います
キョン,そうかい。それじゃ行くぞ、あんまり団長様を待たせると後が面倒だからな
古泉,はは、そうですね
のび太,うわ～～～～～～！
ジャイアン,すげー････俺達本当にこれに乗れるのかよ？
ドラえもん,いや～凄い！なんて大きな船なんだ････
スネ夫,ハハ、この程度で驚いてちゃ駄目だよ！中はもっと凄いんだから
ジャイアン,ところでスネ夫、東京湾を出航したら次は何処へ行くんだ？
スネ夫,ここを出たら終着点の神戸港までノンストップだよ
のび太,神戸港！？じゃあ僕らは神戸からどうやって帰るのさ？
ドラえもん,どこでもドアがあるでしょ！
のび太,あ、そうだった
スネ夫,今日が29日で神戸港到着は31日だから僕らは二泊三日さ
のび太,二泊三日！？そんなに遊べるなんて嬉しいなー！！
ドラえもん,のび太くん！！忘れてるの？遊ぶだけじゃなくて宿題を終わらせないと！！
のび太,わ、分かってるよ～
ジャイアン,嫌な事思い出させんなよな～
ドラえもん,僕は二人を監督するように頼まれてるんだ！絶対にやってもらうからね！
のび太,分かってるったら～
スネ夫,さ、早く船に乗ろうよ！もうすぐ出航だよ！
ハルヒ,いいことみくるちゃん！少しでも怪しい奴がいたらすぐに私に言うのよ！
みくる,は、はぁ～い
ハルヒ,有希もいいわね？
長門,･･･
キョン,はぁ、やっとここに来れたか
ハルヒ,遅いわよキョン、古泉くん！！
古泉,すいません、未だにこの船の大きさに慣れないもので。ここに来る途中道に迷ってしまいました
ハルヒ,大きいって言っても所詮船じゃない。私はもう慣れたわ
キョン,昨日朝比奈さんを連れまわして一日中船の中を探検してたんだろ？そりゃまぁ慣れるだろうよ
ハルヒ,結構いろいろな施設があったわよ！ボーリング場やカラオケ、カジノにプール、あとパターゴルフ場やバッティングセンターまであったわ！
キョン,全てを今日明日中に回るのは無理だな。どれかに絞ろう
ハルヒ,はぁ？何言ってんのよアンタ？全部回るに決まってるじゃない！
キョン,･････全部だと？
ハルヒ,当たり前じゃない！全部回ってこの船を満喫するまで、私は絶対に船を下りないわよ！
キョン,(お前が満喫しようがしまいが、神戸港に着いた時点で強制的に下ろされることになるんだが･･･)
ハルヒ,そんな事よりさっさとアンタも探しなさいよ！
キョン,はっ、ネコ型ロボットをか？んなもんいるわけないだろ
ハルヒ,いいえ、きっといるわ！私には分かるの！
キョン,万が一いたとしても、俺はそんな奇妙なもんと関わりたくないね
ハルヒ,いたわ！！
キョン,なに！？
ハルヒ,ほらほらあれ！！あの青くて丸い奴！！あれってネコっぽくないかしら？
キョン,いや、ネコというよりは寧ろタヌキに近いと思うが(というかそもそもあれは何だ？)
ハルヒ,この際タヌキ型ロボットでもいいわ！早速捕まえに行きましょう！行くわよみくるちゃん！
キョン,あっ、おいハルヒ！
古泉,ちょっと待ってください！
キョン,何だ！？今はあの馬鹿女の暴走を止めないと
古泉,その前に確認しなければならないことがあります。長門さん、あの青いのは人間ですか？
長門,･･････人間ではない
キョン,なに！？まさか本当にロボットって言うんじゃないだろうな？
長門,･････そう
キョン,なっ･･････
古泉,ネコ型かどうかはさておき、ロボットという事は確かなようですね。恐らく僕や朝比奈さんや長門さん同様、涼宮さんが望んだからこそ現れた存在と言えるでしょう
キョン,なんてこった･･･
古泉,問題は、涼宮さんがそれを認識してしまってる事です
キョン,どういうことだ？
古泉,僕や長門さんや朝比奈さんは、涼宮さんが望んでいる超能力者であり宇宙人であり未来人ですが、涼宮さんはそれを知りません。ただの人間だと思っています。ところが今回は･･･
キョン,おもいっきりロボットだって事を認識しちまってるか･･･。まぁ誰が見ても人間には見えないしな
古泉,ええ、これはかなり危険です。涼宮さんの望んだ事が実際に実現されている事を彼女が認識してしまったら、この世界がどうなってしまうか想像も出来ません。涼宮さんはあれで常識的な考え方の持ち主です。表では不思議な出来事を求めていても同時に頭の何処かでそんな事あるわけが無いという考えを持っている
キョン,そこに関しては議論の余地がある
古泉,しかし、このままネコ型ロボットなる物が本当に存在すると認識してしまったら涼宮さんの中にある常識的な部分が欠落し、より多くの不思議を求めることになるでしょうそうなったら、大規模な世界改変が起きる可能性もあります。
キョン,何であいつはこうも毎回トラブルを呼び込むのかね
古泉,とにかく、このままあのロボットと涼宮さんを接触させるのは危険です！我々で何とか誤魔化しましょう！
キョン,誤魔化すったってな～。アドリブで何とかなるようなもんでもないぞ？
古泉,それでも何とかするしかありません。とにかく急ぎましょう
キョン,長門はどうする？
長門,･････いい
キョン,そうか、じゃあお前はここで待っててくれ
長門,･････
のび太,うわー中も凄い綺麗だねー
ドラえもん,本当、まるで高級ホテルだ
スネ夫,この先に中央ホールがあるらしい！そこの受付で部屋を割り振られるらしいよ
ジャイアン,早く行こうぜー！
ハルヒ,見つけたー！！
ドラえもん,うわっ！何だ何だ！？
ハルヒ,遂に捕まえたわよ！！みくるちゃん、あなたも手伝いなさい！
みくる,ふぁ、ふぁ～い
ハルヒ,さぁ、大人しく私の所へ来なさい！
のび太,な、何言ってるんだよ～！ドラえもんから離れろ！
ハルヒ,へー、あなたドラえもんって言うの。なかなか可愛い名前じゃない
ドラえもん,そ、それはどうも････あの～、僕に何の御用でしょうか？
ハルヒ,ふふーん♪隠してるつもりかもしれないけど私の目は誤魔化せないわ！あなた、ネコ型ロボットでしょ？面白いから私と一緒に遊びましょう！
ドラえもん,････あなたは僕をネコ型だと思うんですか？
ハルヒ,勿論よ！他に何に見えるって言うのよ？
ドラえもん,うわ～ん(涙)いつもいつもタヌキと間違われるのに、一発でネコだって分かってくれる人がいてくれた！うわ～ん(涙)
ハルヒ,安心しなさい！私にはどう見てもネコにしか見えないわ！もっと自信を持ちなさい
ドラえもん,ありがとうございますぅ～(涙)
のび太,ドラえもん、泣いてる場合じゃないだろ！
ハルヒ,一応確認するけどドラえもん、あなたロボットよね？人間じゃないわよね？
ドラえもん,は、はい！僕は未来からきたネ
みくる,ふぁ～～～～～～～～～！！！
ドラえもん,わっ！ビックリした！
ハルヒ,もうみくるちゃん、今大事な事聞いてるんだから静かにして！で、何だって？
みくる,あわわわ････
ドラえもん,僕は未来から来た
キョン,未来から来た設定のマスコットキャラクターだ
ドラえもん,････えぇ？
ハルヒ,キョン！？マスコットキャラクターって何の事よ！？
古泉,どうやら彼はこの船のマスコットキャラクターのようですよ。先程受け付けの方がそう言ってました
ハルヒ,はぁ！？じゃあ何？これは着ぐるみだって言うの？
キョン,そりゃそうだろ。お前は本当にロボットだと思ってたのか？現代の科学でこんな器用に動いて喋れるロボットなんて作れるはずないだろ？
ハルヒ,未来から来たロボットかもしれないじゃない？
キョン,何でもかんでも無理矢理自分の解釈に合うような考え方をするな。こいつはこの船のマスコットだ。船員の人がそう言ったんだから間違いない！
のび太,ドラえもんがマスコット？
ジャイアン,スネ夫、マスカットって何だ？
スネ夫,ジャイアン、マスカットじゃなくてマスコット！イベントとかのシンボルみたいなもんだよ
ドラえもん,失礼な！！僕はマスコットなんかじゃ
ハルヒ,ちょっと、何で途中で止めるのよ！？最後まで言いなさい！あなたはロボットよね？
古泉,･････
ドラえもん,････いいえ、僕はこの船のマスコットキャラクターのドラえもんです！
スネ夫,えぇ！？
のび太,な、何言ってるんだよドラえもん！？
ジャイアン,遂にドラえもんが壊れたぞ！
ドラえもん,みんな静かに、きっと事情があるんだろうからここはあの人達に話を合わせて！
ハルヒ,な～んだ、つまらないわ。今回は本当にやったと思ったのに････
みくる,ふぅ～
キョン,だから言っただろう。まぁ気にするな、これ程精巧な着ぐるみなら間違えてもおかしくはない
ハルヒ,ねぇ、中の人顔見せてくれない？
キョン,急に何を言い出すんだお前は？
ハルヒ,だってこんなに小さいのよ？中に入ってる人は間違いなく子供じゃない！労働基準法に違反してるわ！雇い主を訴えましょう！さ、早く出てきなさい！
ドラえもん,イタタタタタタ！！！
ハルヒ,おっかしいわね～、全然取れないわよこの着ぐるみ！
キョン,止めろこのアホ！
ハルヒ,イタッ！ちょっとキョン、邪魔しないでよ！！
キョン,周りをよく見ろ、子供達がいるじゃないか。お前は彼らの目の前でドラえもんの着ぐるみを引っぺがすつもりか？
ハルヒ,････
キョン,中の人なんていない。ドラえもんはドラえもんだ。大人なら、子供達の夢を壊すようなことは勿論しないよな？
ハルヒ,フン、当たり前じゃない！まぁいいわ、せっかく知り合ったんだし今日からあなた達をSOS団の仮団員にしてあげるわ♪
のび太,何ですか、そのエスオーエス団って？
ハルヒ,世界を大いに盛り上げる為の涼宮ハルヒの団！それがSOS団よ！仮とは言え入団できる事を誇りに思いなさい！
スネ夫,冗談じゃないよ！そんなおかしな団に付き合ってる暇はないんだ！僕らは僕らで自由にこの船を満喫させてもらうからね！
ジャイアン,そうだそうだ！
ハルヒ,仮団員が団長様に意見するなんて500万年早いわ！私の言う通りにしなさい！
ジャイアン,へ、嫌なこった！
スネ夫,だいたい、その何とかって団に入って僕らに何のメリットがるのさ！？
ハルヒ,あくまで逆らうつもりね。いいわ、じゃあそこの大きい君！私と腕相撲しましょ
ジャイアン,腕相撲？
ハルヒ,そ、私が負けたらアンタ達は自由。私が勝ったら有無言わずSOS団に入ってもらうわよ
ジャイアン,おもしれぇ！年上だからって俺が女の子に負けるわけがねー！
スネ夫,ハハ！ジャイアン、ケチョンケチョンにしてやりなよｗ
ハルヒ,決まりね！古泉くん、審判やって！
古泉,分かりました
キョン,(まずい展開になってきたな･･･)
古泉,それでは両者右腕をこのテーブルに乗せてください。では用意はいいですか？いきますよ。レディー･････ゴー！！
キョン,(やっぱりこうなったか･･･)
ハルヒ,ふふーん♪私の勝ちね♪
ジャイアン,つ、強い･････
スネ夫,はー、ジャイアンが負けた
のび太,信じられない！
ハルヒ,約束は守ってもらうわよ！今日からあなた達はSOS団の仮団員！神戸港到着まで私と一緒に遊ぶの！いいわね？
ジャイアン,お、男に二言はないぜ
ハルヒ,随分潔いじゃない！それじゃみんなさっさと受付を済ませて部屋に荷物を置いてきちゃいなさい！それが終わったら中央ホールに集合！いいわね？
のび太,わ、分かりました
ジャイアン,分かった
スネ夫,も～、何でこうなるんだ！
ハルヒ,ところでキョン、有希は？
キョン,あいつならまださっきまで俺達がいた所にいるぞ
ハルヒ,そう、じゃあ私は有希を呼んでくるから！みんな早く準備しなさいよね！
キョン,はぁ～～～
古泉,何とか誤魔化せましたね
みくる,よかったですぅ～、あのままだったらきっと大変な事になってました！
ドラえもん,あの～
キョン,さっきは悪かったな。ああするしか無かったんだ。許してくれ
ドラえもん,それは別にいいんですが、その･･･
古泉,詳しい説明をしますので、部屋に荷物を置いたら待ち合わせ場所に行く前に僕の部屋に来てくれませんか？僕の部屋は6階のBエリアにある589号室です
ドラえもん,分かりました！それじゃみんな行こう！
キョン,これから先どうなる事やら････
古泉,涼宮さんが絡んでる以上、何事も無くというのはあなたの言う通りありえないようですね。どうぞ
ドラえもん,お邪魔します
のび太,お邪魔しまーす
古泉,お待ちしてましたよ。どうぞ、適当な所にかけてください
スネ夫,僕らの部屋とあんまり変わらないね
ジャイアン,何処も同じような作りなんだろ
ドラえもん,それでは説明をお願いします。どうしてあの人に嘘をついたんですか？
古泉,その説明をするにはまず、涼宮さんや僕についての説明をしなければなりません
ドラえもん,お願いします
古泉,では端的に説明しましょう。僕は超能力者です
のび太,えぇ！？
ジャイアン,超能力者？
古泉,そしてそこに立っている朝比奈さんは未来人。もう一人別の所には宇宙人もいます
ドラえもん,未来人に宇宙人････
のび太,急にそんな事言われても信じられないよ！
スネ夫,そうだそうだ！本当に超能力者だって言うなら、何か証拠見せてよ！
古泉,残念ながら、通常僕には何の力もありません。僕が特殊な力を発揮するのはある条件下にある時だけなんです
ドラえもん,それで、そっちの人は何なんですか？
キョン,ん？俺か？俺は普通の人間だ
古泉,えぇ、彼は普通の人間です。そして先程まで一緒にいた涼宮さんなんですが･･･彼女には不思議な力があります
ドラえもん,何ですかその力っていうのは？
古泉,涼宮さんには、自分の願望を現実に反映させる事が出来るんです
ドラえもん,どういう意味ですか？
古泉,例えば、涼宮さんが宇宙人や未来人、超能力者と一緒に遊びたいと願えば、そこに僕や朝比奈さんが集まり、ネコ型ロボットと遊びたいと思えば、今回のようにドラえもんさんがこの船に乗ってきたりする。これらの事に涼宮さん本人は無自覚ですがね
ドラえもん,僕がこの船に乗ったのは涼宮さんの力が原因だって事ですか？
古泉,それどころかあなたの存在自体、涼宮さんが願ったからこそこの世に誕生したという可能性もあります
のび太,そんなのおかしいよ！ドラえもんはず～と僕と一緒にいたんだ！
古泉,始めからそういった記憶を植えつけられているという可能性もあります。極端な話をすると、この世界自体が昨日出来た可能性だってあるんです。一人一人にそれまでの記憶を持たされた形で
スネ夫,そ、そんな事あるわけないだろ！
古泉,僕は昔まで普通の人間でした。ある日を境に急に自分が超能力者だという事に気づいたのです。恐らくこれは、その時に涼宮さんが超能力者の存在を願ったからだと思われます。もっとも、それに僕が選ばれたのは全くの偶然でしょうが
のび太,それじゃまるで神様じゃないですか？
古泉,そう、我々････と言ってもここにいる方々ではなく僕と同じ超能力者で結成されている機関という組織では、涼宮さんを神であるという考え方をとっています
ジャイアン,えぇ！？じゃあ本当にあの人は神様なんですか？
キョン,あまりこいつの言う事を信用しちゃいかんぞ。あいつが特殊な能力を持っているという辺りはその通りだが、神だなんて思ってるのはその機関の連中だけだ
古泉,仰るとおりです。涼宮さんが何者であるかという考え方に関しては、未来人、超能力者宇宙人、それぞれ全く別の考え方を持っています。少々持論を押し付けがましく展開しすぎましたね
のび太,ドラえもん、この話信用できるの？
ドラえもん,う～～ん
みくる,あのぉ～、ドラえもんさんって22世紀から来たロボットさんですよね？
ドラえもん,はい、そうですけど。どうして分かったんですか？
みくる,さっき古泉くんが言ったとおり、私も未来から来ましたから。と言ってもドラえもんさんよりももうちょっと先の未来からですけど
ドラえもん,22世紀よりも先の未来！？
みくる,22世紀ならタイムマシンもあるし、きっと分かると思いますけど今から約三年前の○月○日に大規模な時間振動があったのはご存知ですか？
ドラえもん,三年前って事は○○年ですよね。その年の○月○日････あっ！思い出した、確かロボット学校に通ってる時歴史の授業で習った！
古泉,僕はその時間変動と同時に自分が超能力者である事に気づきました。いや、正確には超能力者である事にされたと言うべきでしょうか。そしてその時間振動の中心にいたのが涼宮さんです。
ドラえもん,22世紀ではまだその時間振動が何だったのかや、誰によって引き起こされたものなのかどうかまでは分かってませんよ？
古泉,恐らく一般の方々が理解するにはもう少し時間がいるのでしょう。朝比奈さんは先程言った通りドラえもんさんよりも先の未来から来たそうですし。僕らががそれを認識できるのは････何故でしょうね。不思議な事に超能力者だと気づいた時からこれは涼宮ハルヒという人物による仕業だということが頭に入っていました。いかがでしょう？これまでに話した事を信じていただけますでしょうか？
みくる,信じてください。でないと････困りますぅ～
ドラえもん,分かりました、信じます。
古泉,ありがとうございます
キョン,いくらなんでも物分り良すぎないか？俺は諸々信じるのにかなり時間がかかったぞ？
古泉,彼は未来のロボットですからね。時間振動という一般の人間には決して知りえない情報が我々の口から出た以上、それだけで信じる事が出来るんですよ
スネ夫,信じられない････あの凶暴な女の子が神様だなんて
ジャイアン,どうりで強いわけだぜ･･･
キョン,おいそこ、古泉に毒されすぎだぞ
古泉,そこで、ここからが本題なのですが･･･この船に乗っている間我々に協力してくれませんか？
ドラえもん,協力って具体的に何をすればいいんですか？
古泉,簡単な事です。先程まで同様、ドラえもんさんにはあくまでこの船のマスコットキャラクターを演じてもらいたいのです
ドラえもん,それは別に構いませんけど･･･何でですか？
古泉,我々は主義主張さえ違えど、涼宮さんに自分の力を認識させてはいけないという点においては考えが同じなのです。ですから、ドラえもんさんをネコ型ロボットだと彼女に認識させるわけにはいきません。だから誤魔化す必要があるんです。
スネ夫,もしあの人が自分の力の事を認識しちゃったらどうなるの？
古泉,これまでに無い巨大な時間振動と共に、この世界全体を改変してしまう恐れがあります。我々としてはそれだけは何とか避けたいのです
のび太,せ、世界を改変？
古泉,ですから、どうかご協力をお願いしたいのですが
スネ夫,ドラえもん、協力しようよ！
のび太,そうだよ、世界を改変されたら僕達消えちゃうかもしれないよ！
ドラえもん,そうだね。分かりました、協力します！
古泉,ありがとうございます
キョン,ようやく話がついたな。じゃ、そろそろ中央ホールへ行くか。あんまり待たせてまた閉鎖空間でも出されたら敵わんからな
古泉,ですね
ドラえもん,閉鎖空間？
古泉,涼宮さんの精神状態が不安定になると現れる空間の事です。僕が超能力を使える唯一の空間でもあります。そこでお願いがあるのですが、極力涼宮さんの機嫌を損なうような行動や言動は控えてもらえないでしょうか？特にそちらの御二人は･･･
ジャイアン,その何とか空間ってのが現れるからですか？
古泉,えぇ。よろしくお願いします
スネ夫,神様かもしれない相手に口答えなんて出来ないよ。ね、ジャイアン？
ジャイアン,それにあの人強いしな～
古泉,ご協力感謝します
キョン,おい、いい加減いくぞ！本当に閉鎖空間が出現しちまう
古泉,そうですね、では行きましょう。
のび太,は～、またとんでもない事件に巻き込まれちゃったねドラえもん
ドラえもん,う～～ん
のび太,どうしたのさ急に唸りだして
ドラえもん,いや、前にも何か似たような事があったような無かったような･･･
のび太,あれ？そう言われるとなんだか僕もそんな気がしてきた
ドラえもん,ま、何かの気のせいだと思う。気にせず早く行こう
ハルヒ,あっ！やっと来たわねアンタ達！いったい何をしてたのよ！！
キョン,ちょっくら野暮用でな
ハルヒ,何が野暮用よ！下っ端団員がそれでいいと思ってるの？罰として今日の夜ご飯はキョン、アンタが全員分奢りなさい！
キョン,なっ･･･全員分ってこいつらも含めてか！？
ハルヒ,当たり前じゃない。この子達も仮とはいえもう立派なSOS団の団員なのよ？
キョン,orz
ハルヒ,それじゃみんな、まずは自己紹介から始めましょう！そこでうな垂れてるのがキョン！そして私はこのSOS団の団長涼宮ハルヒよ、よろしくね♪
古泉,古泉一樹です。よろしくお願いします
みくる,朝比奈みくるです。仲良くしてくださいね♪
長門,･･･････長門有希
ドラえもん,(この人が宇宙人か)
のび太,僕、野比のび太です！
ジャイアン,剛田たけし！ジャイアンと呼んでくれ！
スネ夫,骨川スネ夫です
ドラえもん,僕ドラえもんです！
ハルヒ,あら、ドラえもんはずっとその着ぐるみを着たままでいるの？
ドラえもん,え！？えぇ、まぁ
キョン,船に乗っている以上、寝る時以外は常に着ていろと言われてるそうだ
ハルヒ,随分徹底してるのね。流石はオーベロン号といったところかしらね
キョン,で、これから何をしようっていうんだお前は？
ハルヒ,ふふーん♪これを見なさい！
キョン,オーベロン号主催、第3回グループ対抗超人選手権？
ハルヒ,そっ♪どう？面白そうでしょ？
キョン,まさかこれに参加しようというつもりじゃないだろうな？
ハルヒ,勿論そのつもりよ！もう参加登録してきちゃったし
キョン,なに！？
ハルヒ,SOS団チームは9名で登録してきたわ！総合優勝賞金はなんと1000万円よ！
スネ夫,えぇ！？
ジャイアン,い、1000万円！？
ハルヒ,そう、だからアンタ達もやる気を出しなさい！絶対に優勝するの！
ジャイアン,おもしれ～！やってやろうじゃね～か！な、スネ夫！
スネ夫,オッケー！
ハルヒ,いいわ、その意気よ！
のび太,ドラえもん、優勝したらママに高価なプレゼントが買えるね！
ドラえもん,うん！頑張ろうのび太くん！
ハルヒ,安心しなさい！この私がいる限りもう優勝は確約されてるようなものなの！今の内に1000万の使い道を決めておくといいわ♪
キョン,(どこからそんな根拠のない自信が出てくるんだこいつは･･･)
古泉,ところで、チーム対抗というのは分かりましたが、どのような競技で競い合うのですか？
キョン,ここに詳しく書いてあるぞ
古泉,なるほど、全7種目ですか･･･結構多いですね
キョン,中にはこれで何を競うんだってツッコミを入れたくなるようなやつもあるな
