5歳ぼく,土地全部売って世界1周したいwww
俺,ｗｗｗｗｗ。地震大変だったンゴｗｗｗでもみんな無事でよかったｗｗｗ
先生,おうｗｗｗ
俺,死にたいって思ってたｗｗｗ
先生,やめーや。連絡取れなかったからみんな心配してたんだぞｗｗｗ
俺,まじかよｗｗｗ愛されてるｗｗｗ
先生,特に田中ｗｗｗ
俺,ｗｗｗ
先生,あと女子も心配してたぞｗｗｗ
俺,さっき喋ったｗｗｗいい子ｗｗｗ
先生,女の子と喋ってんの久しぶりに見たわｗｗｗ
俺,そうだっけｗｗｗでもやっぱり女の子怖いおｗｗｗ。また一緒かよｗｗｗ
田中,もう見飽きたわｗｗｗ
俺・田中,ｗｗｗｗｗ
女子,俺君クラス離れちゃったねｗｗｗ
俺,おうｗｗｗ
女子,俺君いないから静かｗｗｗ
俺,おうｗｗｗ
女子,俺君元気ー？ｗｗｗ
俺,おうｗｗｗ
女子,新しいクラスどう？ｗｗｗ
俺,田中がうぜえｗｗｗ
田中,うるせえｗｗｗ。お前最近女子と仲いいじゃんｗｗｗ
俺,そうでもないわｗｗｗ
田中,女の子怖いおとか言ってたのにｗｗｗ
俺,最近大丈夫ｗｗｗ
田中,ｗｗｗ
女子,部活どう？ｗｗｗ
俺,ぼちぼちやでｗｗｗそっちは？ｗｗｗ
女子,休みなくて死にそうｗｗｗ
俺,がんばれマネージャーｗｗｗ。試合勝ったよｗｗｗ
女子,おめでとｗｗｗ
俺,今度県大会だわｗｗｗ
女子,応援行きたいｗｗｗ
俺,その日授業やでｗｗｗ
俺・女子,ｗｗｗｗｗ
女子,引退したーｗｗｗ
俺,おつｗｗｗ俺も引退したｗｗｗ
女子,おつｗｗｗ
田中,お前ｗｗｗ女子のこと好きだろｗｗｗ
俺,は？ｗｗｗ
田中,俺といるときより楽しそうｗｗｗ
俺,ｗｗきめえｗｗｗｗｗ。あのさｗｗｗ
女子,ん？
俺,今度デートしね？ｗｗｗ
女子,ｗｗｗｗｗいいよｗｗｗｗｗ
俺,今日はありがとでしたｗｗｗ
女子,いえいえｗｗｗ
俺,あのさｗｗｗ。俺と付き合ってください
彼女,うん。
俺,女子と付き合うことになったｗｗｗ
田中,まじかよｗｗｗ良かったなｗｗｗ
俺,ｗｗｗ
田中,ｗｗｗ
俺,泣くなよｗｗｗ
彼女,昨日ママとご飯行ったｗｗｗ
俺,仲いいなｗｗｗパパは？ｗｗｗ
彼女,家で一人ｗｗｗ
俺,パパ大事にしてあげてｗｗｗ
彼女,苦手なんだもんｗｗｗ
俺,そっかｗｗｗ
彼女,？ｗｗｗ。パパが過保護ｗｗｗめんどいｗｗｗ
俺,大事にしてやれってｗｗｗ
彼女,えーｗｗｗ
俺,。
彼女,俺君さ、家族なんかあったの？ｗｗｗ
俺,えｗｗｗ
彼女,家族の話すると暗くなるからｗｗｗ
俺,。
彼女,。
俺,あーｗｗｗこれはまた振られるやつやｗｗｗ
彼女,。
俺,ちょｗｗｗ泣くなよｗｗｗどうしたｗｗｗ
彼女,俺君がそんなに抱えてるって知らなかったから。
俺,そりゃ隠してたからなｗｗｗ
彼女,ごめん。いっぱい傷つけちゃった。。俺君のこと理解してたって思ってた。なのにぜんぜん理解できてなかった。
俺,気にしないでｗｗｗ言わなかった俺も悪かったｗｗｗだから泣かないでｗｗｗ
彼女,。
俺,泣くなよ。。これからもいい思いしないだろうしさｗｗｗ別れる？ｗｗｗ
彼女,涙目で言われても困るｗｗｗ
俺,ｗｗｗ
彼女,あたしじゃ力不足かもしれないけど、俺君の隣にいちゃだめ？
俺,ｗｗｗｗｗ。これからもよろしくお願いしますｗｗｗ
彼女,はいｗｗｗ
俺,卒業ｗｗｗ
田中,やっと離れられるｗｗｗ
俺,お前学部一緒だろｗｗｗ
田中,ｗｗｗ
俺,お前に隠してたことあったわｗｗｗ
田中,えｗｗｗ浮気？ｗｗｗ
俺,できると思う？ｗｗｗ
田中,そんな度胸ないもんなｗｗｗ
俺,ｗｗｗ。俺の家大変なんだわｗｗｗ
田中,えｗｗｗ
俺,父ちゃんぶっ倒れてんのｗｗｗ
田中,え？ｗｗｗｗえ？。
俺,どうしたｗｗｗ
田中,気づいてやれなくてごめん。
俺,ちょｗｗｗ泣くなよｗｗｗ
先生,卒業おめでとｗｗｗ
俺,あざすｗｗｗ
先生,お前彼女できてからいい顔で笑うようになったなｗｗｗ安心して見てられたよｗｗｗ
俺,やめて恥ずいｗｗｗ
先生,よかったなあｗｗｗ本当に良かった。がんばれよ。
俺,
