体育教師,今日の体育はサッカーだ！
実況,日本、無失点のままワールドカップ出場を決めましたーっ！。鉄壁の守護神デブの神がかり的なセーブが、この偉業を成し遂げさせたといえるでしょう！
記者,ワールドカップ出場、おめでとうございます
デブ,ありがとうございます
記者,それにしてもなぜ、ここまで完璧なセービングができるのでしょうか？
デブ,サッカーのゴールはいわば、高さ244m、横732mの小さな長方形に過ぎません。この長方形にボールを通さないよう、常に最適な動きを心がけているだけですよ
記者,そ、そうですか。引き続き頑張って下さい！
デブ,はい、無失点で優勝してみせますよ。てやっ。えいっ。そりゃっ。さすがに今までのシュートとは一味違う……だけど守れないほどじゃない！
チームメイト10人,俺たち10人は安心して攻められるぜ！うおおおおっ！
記者,対戦相手である日本のゴールキーパーは、これまで一度もゴールを許していませんが
世界最強のストライカー,たしかに……彼は素晴らしいゴールキーパーだ。だが、彼にも弱点がある
記者,弱点？
世界最強のストライカー,その弱点を突き、得点を決め、我が国を優勝に導いてみせるさ。いくぞっ！
チームメイト10人,は、速いッ！あっという間に全員抜かれた！
世界最強のストライカー,とにかく攻めあるのみ！
デブ,くっ！
世界最強のストライカー,まだまだ！
デブ,うおっ！。なんてシュートだ……！一発止めるごとにスタミナを持っていかれる！。これが世界最強のシュート……！。だけど、止められないほどじゃない！――取れる！勝てる！
実況,世界最強のストライカー、何十発何百発とシュートを枠内に放っていますが。デブもその全てを止めています！。凄まじい試合だぁ～～～～～っ！！！
世界最強のストライカー,そろそろのはずだ……
デブ,ん！？ボクの体が……。みるみるうちに……！
ガリ,や、痩せてしまった！
世界最強のストライカー,全て狙い通りだ
ガリ,どういうことだ！？
世界最強のストライカー,君が素晴らしいキーパーでいられた理由は、あの肥満体型にあったんだ。肥満体型から引き起こされる引力がボールを引き寄せ。さらに極度の脂肪による瞬発力が好セーブを可能にしていたのさ。だから私はシュートを連発し、君にカーを消費させた。今の君はもはやただの痩せたキーパー……。もう私のシュートは防げない！
ガリ,ぐっ！。たしかに……今のボクじゃ、彼のシュートは取れない！どうすれば……！
チームメイト10人,デブ！
ガリ,みんな！？
チームメイト10人,まだ打つ手はある！今すぐ太ればいいんだ！
ガリ,っていってもどうやって！？食べ物なんかないよ！
チームメイト10人,食べ物ならここにあるじゃないか
ガリ,え？
チームメイト10人,……俺たちを食うんだ！
ガリ,な……！。そんなことできるわけないだろ！
チームメイト10人,デブ！俺たちの絆ってのはそんなもんだったのかよ！。俺たちはワールドカップ優勝のためなら命を捧げる覚悟もできてる！。俺たちを食って、優勝してくれ！
ガリ,……分かったよ。君たちを……食う！！！
世界最強のストライカー,チームメイトを一口で食べただと！？
デブ,みんなを食って……リバウンド！
世界最強のストライカー,まさか……チームメイトを食うとは！。まぁいい……ならば、純粋な実力勝負！。私のサッカー人生の全てを、この一撃にかける！
デブ,すごいシュートだ……！。今までのボクなら、絶対止められなかっただろう！。だけど、今のボクにはあの10人がついている！。でやぁぁぁぁぁっ！！！
実況,と、止めたぁーっ！！！。チームメイトを食べたデブ、世界最強のシュートを止めました！
世界最強のストライカー,私の……負けだ。まさか、チームメイトを犠牲にして、体重を増加させるとは……。流石はサムライだ……
デブ,……いや！。みんなはちゃんと生きてるよ
世界最強のストライカー,え！？
デブ,ほら
チームメイト10人,胃袋の中で生きてま～す！
デブ,ね？ボクは彼らを消化しないように食べたんだ！。生きたまま上から出すことも下から出すこともできる！
チームメイト10人,出来れば上からでお願いしますぅぅぅぅぅ！下は嫌ですぅぅぅぅぅ！
世界最強のストライカー,なるほど、ゴールもチームメイトの命も守ったというわけか。見事……！君は世界最強のゴールキーパーだ！
デブ,だけど、さすがに人間10人腹に入れると……ゲップ。あ
実況,ゴ～～～～～ル！オウンゴォ～～～～～～ル！！！。なんとゲップの風圧で、オウンゴールをしてしまったァ！。ここで試合終了のホイッスル！日本準優勝～～～～～！
デブ,ああ、やってしまった……
世界最強のストライカー,なるほど、自分からゴールを奪えるのは自分だけ、ということか。試合に勝って勝負に負ける、とはこのことだな……。見事……！君は宇宙最強のゴールキーパーだ！
