ヌメルゴン,いやいやいや、せんぱいじゃ数値足りてないですし
ヌメ,ヴェゼルとかエクストレイル買えばいいのにこの日本の狭い土地でハマーH1アルファとか乗り回すタイプじゃないですかやだー
マンダ,どの層への共感を求めてるネタなんだ……
フリャ,そりゃ休日に部下強制参加のBBQ大会やらかす系上司ネタだろ……
ヌメ,はい、ガブさんの本格インド風は却下してボンカレーになりました
マンダ,甘口がいい
フリャ,テメェ甘口って顔か！？
ヌメ,こういうのは甘口と辛口のルーを混ぜて使うとコクが出るんですよー
ガブ,せめてガラムマサラだけでも入れないか？
フリャ,まだインドに帰ってなかったのか？自分の皿だけにマサラ盛ってろよ
ヌメ,今は飴色玉ねぎもレトルトで売ってるから楽ですよねー、そうだ蜂蜜も入れましょうか？
マンダ,俺は食うの専門だからお任せで
ヌメ,じゃあ隠し味にチョコに、インスタントコーヒーと、あとヨーグルトも入れちゃいましょう！
フリャ,何女子力アッピルしてんの？お前オスだろ？
ガブ,…………うまいな
ヌメ,ね、変にこだわって作るよりもボンカレーですよ
フリャ,ふつーにうめぇとかつまんねーの
マンダ,食べ物にネタを求めんなよ、もったいないお化けが出るぞ
フリャ,もったいないお化けとかきょうび聞かねえな……
ガブ,あ、オーブン鳴ったな。スパイスどうしても使いたくてタンドリーチキン焼いたんだが
フリャ,何お前インドガチ勢極めたいの？ヨガパワーなの？
マンダ,タンドリーチキンうめぇ
フリャ,こっちもふつーに旨いとかなんなの？ネタにならないとコメントに困るだろッ！？
ヌメ,せんぱい何で美味しいもの食べて怒ってるんですか……？
ガブ,しかしあと一週間か……長かったような短かったような
ヌメ,一週間となると俄然浮き足立ちますよね
フリャ,そうか？俺はグリザイアやるので忙しいんだが
ヌメ,今はグリザイアがSwitchで遊べる時代ですかぁ……
マンダ,グリザイアってあの主人公がゼログラビティしてる？
フリャ,アニメ化しても未だにそっちのイメージなのか……あとゼログラビティは傾き前後逆じゃね？
ヌメ,ゼログラビティって今じゃマイケルの方じゃなくて映画を先に思い出すと思うんですが
マンダ,青単ムートピア絶許
フリャ,それはグラビティゼロ
ヌメ,デュエマといえばソシャゲ出るじゃないですか
フリャ,ああデュエルマスターズプレイスか、クローズドβテストの申し込み忘れてたんだよなぁ
ヌメ,正式リリース今冬でしたか、メダロットSのリリースと被りそうですね
マンダ,初期デュエマとメダロットとか年代バレる奴
フリャ,まあ忙しくなりそうだけどその頃にはポケモンマスターズも氏んでるだろうし回せるだろ
ヌメ,現時点であのゲームでやること何かありましたっけ……？
ガブ,ポケモン雑談でポケマスdisるのは止めて差し上げろ
フリャ,まあデュエマきたらシャドバとか他のDCGは放置でいいし、FGOも新章くるまでログボ勢で充分だし
ヌメ,ちょっとせんぱい、いったいいくつのソシャゲ掛け持ちしてるんですか……！？
フリャ,いいんだよ、スタミナ消費なんてアニメ流し見しながらやりゃいいんだから。今季は視聴継続アニメ多いから捗るぞ？
マンダ,現代社会の闇ェ……
ヌメ,それでSwitchでも遊んでるとかせんぱい流石ですね
ガブ,もっと健全な遊びはないのか
ヌメ,あ、じゃあ積んであるスナイプテラ一緒に組みません？。ゾイドワイルドシリーズはサクサク組めてギミックも凝ってるからプラモ好きな知り合いと一緒に組むと盛り上がるんですよ
マンダ,ステマァッ！！！
ガブ,ステルスしてないだろ、ダイレクトマーケティングだろこれ
ヌメ,アニメゾイドワイルドZEROはテレビ東京系列6局ネットにて毎週金曜日放送！！！
フリャ,ノリノリのところ悪いがプラモ組む気は無いぞ
ヌメ,じゃあ何かみんなでわいわい楽しめる系はないんですか？
フリャ,スマブラもマリカもスプラもモンハンも飽き飽きだろ
マンダ,カルドセプト新作はやくしろっ！！間に合わなくなってもしらんぞーーーーっ！！！
ヌメ,NintendnDirect出る度に裏切られ続けてもう半分諦めてます……
ガブ,いつものよくわからんボードゲームの類はどうした
ヌメ,いやー、ストックも尽きてて……最近遊べてないんですよね。あとはふるよにとかドミニオンぐらいですけど、やりこんでないから警察でてくるのが怖くて……
フリャ,ネタがないならヌメに流星群落として無理やりヲチつけよう
ヌメ,ぬわーーっっ！！
ガブ,特に理由のない暴力がヌメルゴンを襲う！！
マンダ,爆発オチなんてサイテー！！
ヌメ,いやせんぱいの流星群とか全く痛くないんですけどね！？
