魔族兵B,い、今“魔王”様って言ったのか？
魔王,うん、キミもボクもゲートを閉じたい。その利害は一致してるよね？そのためには人間と和平を結ばなければならないんだ
少年勇者,……。……生き残った仲間、いや捕虜となっている人間全てを解放しろ
魔王,それはキミが和平交渉を人間の王に掛け合って、魔族の捕虜と交換すればできるよ
少年勇者,……
魔王,……
少年勇者,わかった……ただ
魔王,うん
少年勇者,俺っちと一緒に捕まった女の賢者がいたでしょ？彼女はすぐに人間界へ帰してくれ
魔王,彼の大切な人なのかな……。わかったよ、彼女だけはすぐ解放する。人間界へ帰れるように手配するよ
少年勇者,感謝はしない……お前達は他の仲間を沢山殺した
魔王,お互い様でしょ。冥都を攻められ多大な被害を受けたのはこっちも同じだよ
少年勇者,あれは俺っちじゃない、“帝竜”だろ
魔王,帝竜？
少年勇者,うにゃ。俺っちは中央大陸“王都”の勇者なんだけど、彼は西大陸“帝都”の勇者……竜のように強い彼を人間界では“帝竜”という通り名で呼ばれていた
魔王,……たしかに本当に強かった。あの勇者が“帝竜”……まだ野放しのまま、またいつ攻めてくるかわからない。一刻も早く和平を結ばないと
少年勇者,人間の組織体制はバラバラだ。俺っちと同盟を組んだところで、他の勇者まで止めることはできないからな
魔王,わかってるよ、でもキミには最大限協力してもらうよ
少年勇者,俺っちは何をすればいい？
魔王,ボクは今“魔剣”を取りに向かっている途中だったんだ。手に入れたらキミは人間界へ行く
少年勇者,……持っていなかったのか
魔王,キミは人間の王を説得し、和平を結ぶ。停戦したら人間界の魔族は、魔界へ全員帰る
少年勇者,なるほど、その後“聖剣”と“魔剣”でゲートを閉じるってわけか
魔王,うん。今度は信用してくれる？
少年勇者,ふふん……信用はしない。ただ利害が一致してる間はお互い利用し合えばいい
魔王,ボクはキミを信用するよ
少年勇者,お前、そんなんだから部下に裏切られるんだよ。俺っちが魔王軍の情報を知っていたのを忘れたか？
魔王,そうだ……だれ？？！！裏切り者は？！。人間達を魔界へ招き入れ……ボクらの情報を流した者
少年勇者,あの境界都市にいた、ゲートの管理者。黒魔術師だ
魔伯爵,申し訳ありません……
魔王,黒魔術師は？？
魔伯爵,捕らえられませんでした。すぐ部下に連絡して拘束するよう命じましたが、時すでに遅く少年勇者が捕まったのを知って逃げたようデス
魔王,そうか～……
魔伯爵,申し訳ありません
魔王,あ、いや、魔伯爵さんのせいじゃないよ。それにしても何で裏切りなんか……
魔伯爵,野心の強い男でしたので、魔王様を不審に思い、勇者達を魔界へ連れ込み混乱させようと考えたのかもしれません
魔王,すぐ探し……
魔伯爵,すでに浮遊島を隈なく捜索中デス。ゲートや飛空船で逃げた可能性も視野に入れ、徹底的に探してマス……ゼッタイに逃がさん
魔王,魔伯爵さん……鬼のような目つきになってる。…………
魔伯爵,まもなく“最果ての町”に到着致しマス
魔王,ホッ……
魔伯爵,女側近がいないと不安デスか？ククク……
魔王,なんだかね、居心地悪くて
魔伯爵,戦用の船デスから、乗り心地は致し方ありません
魔王,まぁそーゆーことじゃないんだけどね
魔伯爵,兵士達デスか。先代魔王様が亡くなったと聞いて落胆している者も多いデス。特に前線で戦っている兵士達は先代魔王様の強さは憧れでしたので
魔王,父さんはそんなに強かったんだ
魔伯爵,それはもう。戦う兵士にとってこれ以上ない上官デス。圧倒的なチカラとカリスマ性、ブレない芯の強さ
魔王,迷ってばかりのボクとは比べられないな
魔伯爵,貴方は先代魔王様のご子息デス。面識がないのでその凄さが分からないでしょうが、先代魔王様のチカラは必ず何処かに引き継いでいるはずデス。誇りに思ってください
魔王,うん、父さんのように皆を引っ張れればいいんだけど
魔伯爵,しかし、昨日の演説以降は魔王サマの見る目は変わった者も多いと感じマスね
魔王,そうかな。分かってもらえたら嬉しいけど。魔伯爵さんはどう思った？
魔伯爵,我は魔王サマに従うのが仕事でありマス。それが今の魔界にとって一番いいはず
魔王,うわっ……魔少女さん
魔少女,まっおーーーーっさま～～！！。よかったあぁぁ……無事でよかったよーーーーふえぇん……
魔道化師,マオー！みんな生きてた！うひゃ！
魔王,ピエロっ！よかった！
魔少女,ふえぇぇん……
魔王,あれ？……女側近さんは？無事なんでしょ？
魔少女,グスンッ……それが……
魔王,え？！！。女側近さん……
女側近,魔王様……大変申し訳ありませんでした
魔王,自ら牢へ入ったって。どうして？
女側近,私奴は魔王様をお守りする義務があります。この度、それを全うすることが出来ず側近失格です
魔王,……
女側近,当然の罰です
魔王,そんな……
女側近,魔界を人間の脅威にさらし、新しい魔王様も危険に……私は……。私の権限を剥奪してください。どうか側近を別の者に
魔王,……
女側近,どうか……
魔王,それが……キミの意志なの？
女側近,……それは……
魔王,……でも、他の人が側近なんて考えられない
女側近,……私は……私の意志は。“魔王様”にあります。私の処遇は魔王様がお決めください
魔王,……。キミはちゃんと側近出来てるよ
女側近,……
魔王,自信を持って、今まで通り側近を全うしてほしい。これは命令ではないよ。ボクの願いだ
女側近,はい……
魔王,キミの意志で側近を辞めたいと思ったら……その時は遠慮なく言ってよ
女側近,……
魔王,それまではボクを助けてほしい
女側近,……かしこまりました、申し訳ございませんでした
魔王,魔伯爵さんには人間界に戻ってもらい、今まで通り領土を守ってもらう。うん。ボクらはまた4人で魔剣のある世界樹を目指そう
女側近,はい
魔道化師,飛空船の操縦なら任せてよーうひゃ
魔少女,まだ旅は終わってないよ、お姐ぇ
魔王,これで……
魔少女,冥都のまおーパーティ再結成だね！
魔王,うん！
魔道化師,うひゃ
女側近,はい
魔少女,ピエロはパーティに入ってないけど
魔道化師,な、ななななんでだよー！
魔少女,飛空船なくなっちゃったし
魔道化師,マオが新しいのくれるよー
魔王,え、どうなのかな？女側近さん
女側近,あ………ここ“最果ての町”からは徒歩での移動になります
魔道化師,えええええーーー！
魔王,うそうそ、城に戻ったら、ちゃんと弁償するよ
魔道化師,ホッ……
魔少女,ていうか、あの船ってピエロの船じゃないじゃん
魔王,あ、そうかサーカス団のか。じゃぁいっか
魔道化師,団長に怒られるぅぅー
魔王,ZZZzzz……。zzz…………ん……。ふぁわ……？
魔少女,あ、まおー様おはよー
魔王,ファァー！？！魔少女さんなんでボクのベットに……。……
魔少女,やっとまおー様と合流できたから離れたくないのー★。ギューしてください……
魔王,うん。本当に無事でよかった……。さ、魔少女さん起きようー今日からは歩きだから大変だよ
魔少女,はぁい
魔王,なんか寝坊しちゃったなぁ。いつもは女側近さんが起こしに来てくれるのに……どうしたんだろ？。ピエロおはよー！女側近さんは？
魔道化師,おはー！なんか朝早く細メガネのお偉いしゃんが来てどっか行ったよー
魔王,魔伯爵さんが？ふーん
魔道化師,マオ、ここの朝飯すっごい美味いぞ！食べようよー
魔王,先食べてて、ちょっと女側近さん探してくるっ
魔少女,……
魔道化師,いいんか？
魔少女,なにがよ？
魔道化師,あいつ、姐さんにベッタリじゃん。多分自分では気がついてないだろうけど、おそらく
魔少女,……わかってるわ。何も言わないで
魔王,女側近さん、何処だろう
魔族兵,魔王様！おはようございます！
魔王,おはよー。女側近さん見なかった？
魔族兵,あちらの泉の方へ行きましたが……
魔王,そか、ありがとー。女側近さん朝ごはん食べちゃったかな。それにしてもこの町は草木や植物がたくさん。最上層並みに綺麗な街だなぁ……魔界にもまだこんなところがあったなんて。うお！すごい綺麗な泉……。魔伯爵さん……
魔伯爵,無事でよかったよ。もっともキミがやられることはないだろうが
女側近,そんなことない、何度も危ない目にあったわ。魔王様を助けてくれてありがとう
魔伯爵,ふっ……キミらしくもない
女側近,本当に感謝してる
魔伯爵,仕事だ。気にすることはない。裏切り者の黒魔術師は我が必ず捕まえる
女側近,うん、私は魔王様のサポートを
魔伯爵,キミはもう少し自分で判断した方がいい。先代魔王様と今の魔王サマは根本的に違う
女側近,うん。近くに貴方もいないしね
魔伯爵,我を頼るな。キミがこの魔界のNo2なんだ
女側近,ごめんなさい、しっかりするわ
魔伯爵,……ああ、でも。我の前では強がらなくていい。甘えてくれ
魔王,……！！
女側近,？
魔王,……な、なに？このモヤモヤは。苦しい。なんだよこれ。拷問されたときみたいだ。なんなんだよ……
魔伯爵,それでは魔王サマ、お気をつけて
魔王,……うん
魔伯爵,ここから“魔剣”のある世界樹へは徒歩での移動になりマス。町を出てすぐ森があり、その奥が目的地デス
魔道化師,なるほどーだから徒歩。森で飛空船が着陸できないからかーうひゃ
魔少女,ピエロやることないじゃん
魔道化師,に、荷物持ちがいるでしょー
女側近,“魔剣”まではあと少しです。参りましょう
魔王,……
女側近,魔王様？
魔王,……あ、ごめん。うん。しっかりしなきゃ……。魔伯爵さん、少年勇者をお願いね。魔剣が手に入ったら和平交渉を始めるから
魔伯爵,お任せを
魔少女,ではでは……世界樹目指して
魔道化師・魔少女,レッツゴーっ！
魔道化師,うひゃひゃひゃー草原だなー
魔少女,お姐ぇ、なんでここは瘴気がないのー？
女側近,ここは魔界でも標高が高い位置にあります。冥都でいえば第5層の高さです
魔王,雨も降るしね、天然の雨なんて初めて見た
女側近,世界樹のチカラにより樹の魔力が広がっております。魔界の大地に草木が育つのはその為です
魔少女,あ！あれ森じゃない？
魔道化師,うひゃー本当だ木がいっぱい
魔王,あの奥に“魔剣”が……よし行くぞ！。あれ？？？
魔少女,真っ直ぐ森の中を進んでたのに外に出ちゃったよ……？？
魔道化師,ひゃ？しかもここ、さっき入った所じゃ……正面に町が見えるー
女側近,……
魔王,え、え、もう一回森に入ろう。えーーー？！
魔少女,なんで？？？また入り口にもどっちゃったよ？？？
女側近,ここは世界樹の森……森自体が行く手を阻むと言われております
魔王,むむむ……よし、じゃあ通った道に目印をつけながら進もう
魔道化師,うひゃ、オイラが木にナイフで印付けてくよ
魔王,あれ？？この木にも印あるよ……ここ通ったってことだよね
魔少女,えー？ずーっと真っ直ぐ進んでたのになんで？？？
魔道化師,ねぇさん、魔法で森を吹き飛ばしちゃえばいいんじゃない？
女側近,出来ないことはありませんが……
魔王,だめだめー！魔界の植物は貴重なんだから！
魔少女,でもどうするのよー？
魔王,うーん。木に印がない方向が通ってない。そっちが正しい道だ！
魔少女,うんうん！さっすがまおー様★
魔王,えーーー？！
魔道化師,また入り口もどっちゃったよー
魔少女,もうそこらじゅうの木に印が付いてて、訳わからないよ
魔道化師,うひゃ、不思議なダンジョン
魔王,どうしたら森の奥へ行けるんだ……？
魔少女,お姐ぇなんかいい方法ない？
女側近,……。森へ入ってしまうと知らぬ間に方向感覚がおかしくなってしまうんですよね。俯瞰で見ることができれば進みたい方向へ行けるのですが……
魔少女,お姐ぇ、魔法で空飛べないの？！
女側近,そんな魔法ありません
魔王,うーん。方角がわかればいいんだから……。女側近さんや魔少女さんは、離れていても魔力でお互いの位置がわかるよね？
女側近,はい。魔力の持たない魔王様以外でしたら、わかります
魔少女,あんまり離れすぎると分かりづらいけど
魔王,じゃ、魔少女さんは入り口で待っててもらおうかな
魔少女,えーーー！！なんで～？まおー様と離れたくないっ
魔王,魔少女さんが入り口にいてくれれば、女側近さんは森の中へ入っても入り口の位置がわかるよね？魔少女さんの魔力で
女側近,なるほど……そうですね。それなら入り口に戻ってしまうことはありませんね
魔道化師,うひゃひゃ、マオ頭いいな！よし行こう
魔少女,えーーー。待ってるのはピエロでいいじゃん
魔王,ピエロじゃ魔物が現れた時心配だしなぁ
女側近,二手に別れましょう、魔少女とピエロが入り口で待機。私達が森へ入り、魔剣へたどり着いたら魔法で合図を送るので、魔少女とピエロは私の魔力を目指して合流して
魔少女,うぅ……
魔王,よし行こう！。ハッ！
女側近,？
魔王,女側近さんと2人きり……気まずい。女側近さんの顔見ると、あの光景を思い出しちゃう。しっかりしろ魔王！“魔王”なんだぞ！
女側近,……ど、どうかいたしましたか？
魔王,……。な、なんでもないよー
女側近,何処か体調が悪いでしょうか？。熱がありそうですね……
魔王,そ、そそんなことななな、ないよ
女側近,失礼致します
魔王,甘えちゃダメだ……。ありがとう
女側近,……はぃ
魔王,行こう
女側近,……待ってください
魔王,え？
女側近,魔少女達が移動しています
魔王,え？！
女側近,何かあったのでしょうか？
魔王,モンスターかな？戻ろう！。魔少女さん！ピエロ！
魔少女,ありゃーやっぱり戻ってきちゃった……
魔王,あれ？
魔道化師,うひゃひゃ、どうしたマオ？
魔王,2人が移動するからモンスターに遭遇したのかと思って……
魔少女,え？ウチら動いてないけど
女側近,確かに2人の魔力が移動していたんですが……
魔王,……。どういうことだろう？何か不思議なダンジョンのカラクリがあるはず
魔道化師,ほらほら、ここ森の入り口。モンスターも出てないし動いてないよー？
魔少女,まおー様こそ、クネクネ進んじゃってアレじゃ迷っちゃうよ
女側近,私達は真っ直ぐ進んで、真っ直ぐ戻ってきただけですけどね？
魔王,……。森に入るとおかしくなる訳で。そうか、動いていたのは魔少女さん達じゃない。森の中のボクらだ！
女側近,どういうことでしょう？
魔王,森へ入ると、動かなくても勝手に移動しちゃうんだ。だから魔少女さん達が動いているように感じたんだ
魔少女,……うーん？
魔道化師,もっとわかりやすく説明してくれよー
女側近,なるほど。この間の“瘴嵐”の雲の中と同じです。瘴気の雲の中、飛空船に乗って真っ直ぐ前を見て進んでいたとしても、風や気流の影響で気がつかないうちに方向が変わってしまう
魔王,そう！森の中で真っ直ぐ前を見ていても、森の呪いせいで方向が変わっちゃうんだ
魔少女,ふーん？じゃどうすん？
魔王,また2人はここで待機してて！
女側近,魔王様、魔少女達の魔力が移動し始めました
魔王,うん。じゃ、僕たちは止まろう。この森のカラクリさえ分かってしまえば。動いているのは彼らじゃない。ボクらだ。何も感じないけど
女側近,2人の魔力が止まりました
魔王,よし、じゃぁ魔少女さん達はどっちの方向にいる？
女側近,あちらの方向です
魔王,てことは……入り口が向こうだから、その逆が進行方向
女側近,対角線上を2人の魔力から遠ざかるように歩いて行けばいいのですね
魔王,うおぉ……ついた
女側近,魔少女達にこちらにくるよう連絡しました
魔王,……すごいおっきな木だね。森を外から見たときは見えなかったのに
女側近,魔王様、服に汚れが……
魔王,あ、ありがとう
女側近,？。なんでしょう……私を避けていらっしゃいますか？
魔王,……。いやいやいやっ……そーゆー訳じゃないんだけど
女側近,申し訳ございません。何か私に不備がありましたらお申し付けください
魔王,不備なんてないよっ……ただあまり甘えないようにと思って
女側近,何故でしょう？
魔王,だって、女側近さん……あの、その
女側近,魔王様あぶないっ！
？？,魔王軍め……
魔王,だ、だれ！？
エルフ,女側近っ…おぬしを倒す！
女側近,はあああああっ！
エルフ,おおおおォッ！！
魔少女,まおー様っ！
魔王,よかった……無事合流出来たね
魔道化師,それより姐さんは誰と戦ってだー？
エルフ,ぐぅぅっ！
女側近,ぐうっ！－－－っあああ！
魔道化師,うひゃ、つよい……姐さんと渡りあってるー
魔王,あの女エルフは魔剣の守護者で、いきなり襲いかかってきたんだ。なんだか女側近さんのこと知ってるみたいで、話し合いに応じてくれない
魔少女,たしかに強いわ……けど、魔界でお姐ぇに勝てる奴なんていない
エルフ,があああっ
女側近,ふぅ……
エルフ,はぁはぁ……強過ぎる。森の加護を受けても、これ程の差があろうとはな。恐ろしい魔族じゃ
女側近,……
魔王,エルフさん！勝てないのはわかったでしょ？！話し合おう！
エルフ,話し合いじゃと？！わらわの一族にチカラずくで攻め込んできたお主らが言うことかっ
魔王,……え？
女側近,長年魔王軍は、エルフの森を侵略してきました
魔王,父さんが……？
女側近,はい。エルフ達は優れた魔法技術で森の場所を転々し、魔王軍から逃れています
エルフ,お主……あの“魔王”の息子なのか？
魔王,そうだよ。父は死んだ……新しい“魔王”はボクだ
エルフ,無属性の小僧が“魔王”じゃと？信じられん
魔王,女側近さん、武器を消して
女側近,はい｣ｼｬﾝ魔王は女側近を手で制すと、エルフに近づく。その眼は真っ直ぐ前を見つめている。迷い、恐れ、不安、そのような負の感情は一切見えない。姿こそ子供であるが、その出で立ちは間違いなく……女側近（本当に……本当に“魔王様”になられた）
エルフ,“魔王”が跪くじゃと……
魔王,新しい王として、父の行いにお詫びを。我らに争いの意思はありません。どうか歩み寄りを
エルフ,……。ふむ……お主は先代魔王とは違うようじゃな
魔王,……。はい。魔剣を求めているという点は同じですが
エルフ,……
魔王,……
エルフ,……よかろう
魔王,えええ？！信じてくれるの……？
エルフ,ああ
魔王,……
エルフ,ふん……エルフの瞳は特別じゃ。眼を見れば嘘か本当か分かるのじゃ
魔王,お、おお……
エルフ,お主の澄んだ瞳は信用できる。女側近の濁った瞳よりはな
女側近,……
魔王,ホッ……
エルフ,ついてきなさい
魔王,これが魔剣……
魔少女,やーーっとたどり着いたね★
魔道化師,黒い剣。かっちょいぃ！
エルフ,わらわは魔剣を奪われないように守っていたわけではない
魔王,？
エルフ,むしろ解放したいのじゃ
女側近,……
魔王,……よく分からないけど、もらっていいってことだよね？
エルフ,お、おい……
魔王,え？
エルフ,女側近、おぬし……新しい魔王に何も話しておらんのか？？
魔王,？
女側近,魔王様。魔剣は……持った者の精神を支配します
魔王,え？
エルフ,魔剣を手にした“魔王”は、強大なチカラを手に入れる代わりに、無秩序な破壊者へと変貌するのじゃ
魔王,えーーー？！
女側近,魔剣の暴走です
魔少女,な、なにそれ！武器として成り立ってないじゃん
魔道化師,ここまで来て使えないとか、意味ない、うひゃ
女側近,それゆえ、先代魔王様は魔剣を諦めました
魔王,……
女側近,……
魔少女,え、え……何しに来たのウチら
女側近,しかし、魔剣の暴走を止める方法はあります
魔王,おお！なんだ、先に言ってよー
魔道化師,うひゃ、そりゃそうだよねー
魔少女,で、どうするの？
女側近,魔剣に触れて……一旦身体を支配させます
エルフ,そして、お主自身が精神世界で魔剣の支配に勝つのじゃ
魔王,そんな………
女側近,……
魔王,ボクが夢の中で魔剣と戦うってことだよね……漠然としすぎて勝機が見えないよ
女側近,支配されている間の身体は暴走状態、暴れまわると予想されます。その間、私が魔王様を拘束しますが……
エルフ,長時間魔剣に支配されていると人格は消滅してしまう。もって１時間といったところかの
女側近,魔剣に触れて……１時間。その間に正気に戻れなければなりません
魔少女,危険過ぎるよ……
魔道化師,マオが1人で戦わなきゃいけないのかー
魔王,……。ボクに出来るのか？。魔剣が無ければゲートを閉じられない。戦争を終わらすことは出来ない。死ぬかもしれない。それでも……やるしかないよね？魔界を統治するには必要なこと
女側近,私に考えがあります
魔王,うん
女側近,魔少女はサキュバスです。夢の中、“精神世界”に入ることができます。彼女が魔王様を助け出す
魔少女,お姐ぇ……
女側近,できるわよね？
エルフ,なるほどのぉ、それなら格段に成功率を上げることができる
魔少女,うん
女側近,魔王様が魔剣に触れ、正気を失ったら私が全力で拘束致します。その間に魔少女が精神世界から魔王様を助け出す
エルフ,わらわも協力しよう
魔王,……
魔道化師,オイラやることない……
女側近,これが最善策だと考えます。どうでしょうか？
魔王,１つだけ質問があるんだけど
女側近,はい
魔王,父さんは……なぜ諦めたの？
女側近,……
魔王,絶対的なチカラを持ってて、誰より強かった父さんが魔剣を諦めたんだよね？この作戦をやらなかった理由は？
女側近,……
魔王,……
女側近,先代魔王様が魔剣に触れ、精神世界で魔剣と戦う
魔王,強い父さんがそれを恐れたの？
女側近,いえ、そうではありません
エルフ,そうか、精神世界で戦っている間は……身体は正気を失う
女側近,はい、正気を失い魔剣で暴走している先代魔王様を誰が止められるのでしょう？
魔王,父さんは魔界最強だった
女側近,はい、先代魔王様は自分が暴走したら誰も止めれないと考えたのです。貴方のお父様は自分のチカラしか信じてなかった。部下の誰も信用せず、絶対的なチカラで従わせる。そのような、王でありました
魔王,……父さんは部下のチカラを信じられなかった。仲間を信じられなければ、この作戦は成り立たない。ボクは……みんなを信頼してる！。やろう、魔剣を手に入れる！
魔道化師,うひゃ、せっかくここまで来たんだしな
魔少女,まおー様はウチが必ず連れて戻るよっ！
エルフ,うむ、誰かが魔剣を解放せねばならぬのじゃ
女側近,……魔王様を。……魔王様を、守ります
魔王,よし。……あ。ごめん！みんな、魔剣を抜く前にちょっとだけ女側近さんと2人だけで時間もらっていい？
女側近,はい？
魔少女,……！
魔道化師,ほぉ……うひゃ
エルフ,ふむ
魔王,伝えたいことがあって……。死ぬかもしれない、最後に言っておかないと
魔少女,－－－！！｣ｶﾞｰﾝ
魔王,うん、ごめん、ちょっとだけ時間下さい
魔少女,……ふ、2人きりで伝えたいこと？
魔道化師,うひゃー大胆っ！魔少女しゃん、エルフしゃん。行きましょ
魔少女,
魔王,ごめんね、急に
女側近,いえ。？
魔王,えーーと……。あのね
女側近,はい
魔王,ボクが魔剣に触れて1時間たったら……。迷わずボクを殺して
女側近,魔王……様
魔王,ボクごと魔剣を倒すんだ。そして、次の“魔王”は女側近さんがなるんだ。その後、魔剣を持って人間と和平交渉。ゲートを閉じるよう動いて欲しい。これは、命令です
女側近,……。魔王様、縁起でもありません
魔王,わ、わかってるけど、一応一応ね！頼んだよ
女側近,はい。魔王様の命令は絶対です……。……
魔王,うん
魔道化師,話おわったねーうひゃ。まったく
魔少女,……
エルフ,ふん
魔王,みんな、待たせてごめん
魔道化師,マオは何も気がついてないな
魔王,なにが？何の話？
魔道化師,何でもないよー。尖った耳は伊達じゃないひゃ
魔王,？
エルフ,では、始めるかの
魔王,よし……
女側近,ピエロは魔王様が魔剣に触れてからの時間を計りなさい
魔少女,あ、ウチ夢に入ると寝ちゃうから身体支えてね
魔道化師,あいさ！オイラの出番来た！
エルフ,女側近、魔王を氷で拘束するんじゃろ？わらわはその上から結界で閉じ込めるわ
女側近,私1人で十分よ
