コナンドイル,苦労して書いた歴史小説がちっとも売れへん・・・
出版社,本当ですか！ぜひ見せてください！
ドイル,これはワイが長年構想を練っていたとっておきの歴史小説でな、１７世紀フランスでフォンテーヌブローの勅令に端を発するカルヴァン派への残酷な弾圧と彼らの亡命について深く切り込んで・・・
出版社,……
ドイル,……その一生を重厚に描くこの小説は必ずや我がイングランド国民たちに真の誇りと愛国心を啓蒙すること必然で・・・
出版社,あの、先生
ドイル,ん、なんや？
出版社,そんなもんよりホームズの続編お願いします。
ドイル,・・・ホームズはもうええやろ。それより、この歴史小説の方がホームズの１００倍は面白いがな
出版社,その歴史小説よりホームズの方が１０００倍売れますって！
ドイル,あかん、あかん！ホームズはもう終わりや！ワイはあんなキモオタに媚びたラノベやなくて本物の文学を書きたいんや！
出版社,でも英国中の読者はホームズを求めてるんですよ！見てください、このファンレターの山を！
ドイル,そのファンってのが気に入らんのや、見てみいや、この手紙・・・。ぼくはどいるせんせーのおはなしがだいすきです。緋色の研究も四つの署名もシャーロックホームズの冒険も、せんせーの本は全部持ってます・・・
出版社,いいファンですねえ。嬉しいでしょう先生。
ワイの歴史小説,マイカ・クラーク」も「白衣の騎士団」も読んでないどころか存在すら知らんやんけ！
出版社,すみません、私も知りませんでした。
ドイル,頃すぞ！！！。どや、これがワイ渾身の歴史大河ロマン文学や！
読者,うん・・・まあ・・・。そこそこ面白い・・・かな・・・。で、ホームズの続編は？
ドイル,・・・どいつもこいつもホームズホームズか・・・
出版社,ほら～世間はやっぱりホームズを求めてるんですよ～。
読者,ホームズ読みたい！ホームズ読みたい！
出版社,ね～先生～歴史小説よりホームズ書いてくださいよ～ホームズ～
ドイル,あかんてゆーとるやろ。ラノベ書いてたら本業の歴史小説書く暇がなくなるんや。
出版社,そこをなんとか！お願いしますよ！何でもしますから！
ドイル,ほんましつこいわこいつ・・・こうなったら無理難題吹っかけて追い払ったろ。じゃあ、原稿料１０００ポンドよこせや。そしたらまた１年ホームズ連載したる。
出版社,１０００ポンド・・・？
ドイル,払えんか？ならお断・・・
出版社,払いましゅ～～～～～！！！
ドイル,！！！？？。ホンマに１０００ポンド振り込んできおった・・・。冗談で言ったのに、これでまた１年ラノベ書かんとあかんのか・・・。けど、ぶっちゃけもうトリックのネタがないわ・・・どないしよ・・・。しゃーない、トリックなしで適当に書くか・・・。まあミステリがいつの間にかファンタジーになるんはラノベじゃよくあることや。あとは回想とかでお茶を濁して・・・で、お約束のさすホム！
信者,ふああああ～～～ホームズしゅごい～～さすほむーーー！！！
ドイル,ほんまこの国の文学は終わっとるな・・・。さて、２度目の連載も来月で最後や。。今度こそ、この煽情的で低俗なジュブナイルともおさらば出来る。。けどストランドマガジンはどうせまた続き書けと言って来るやろ。。平民どももホームズ３期を当然のように全裸待機しとる。。このままでは永遠に便所の落書きを書き続ける羽目になり、我が人生の本道である歴史文学の追及が手につかなくなる・・・。・・・・・・そこでこのDoyleは考える・・・。続きを書きたくないのなら、書けなくしてしまえばいいのだ、と・・・。ホームズ頃すわ。。さて、ワイの作家としてのプライドと引き換えに大きな富をもたらしてくれたホームズ君、今までありがとう。。君にはこの世から退場してもらうことが決定しました。。で、最後の事件やが、まあチート主人公を頃すためにはチート悪役を出さんとな。。犯罪界のナポレオン・・・なんと、ロンドンで発生した犯罪の半分はこの男が黒幕だったのだ・・・。暗黒街の帝王・・・その名はモリアーティ・・・・・・。ホームズ並に書いてて恥ずかしくなるな・・・なんやこの厨二全開なキャラ設定は・・・。まあええ、これで最後やし。で、二人はライヘンバッハの滝に落ちて死にましたっと・・・。天才犯罪者のくせにやってることはただの脳筋とか、設定だけでその頭脳を一度も披露してないとか、最強の敵が最終話でいきなり登場とか・・・。厨房の黒歴史ノート並に突っ込みどころだらけになったが、もうどーでもええわ。。これでホームズものはめでたく終了。ワイはもうキモオタに粘着されることなく平穏が戻ってくるんや。。ほい、これが最後の事件な
信者,うぎゃあああああああああああああああああああああああああああああああああああああああああああくぁwせdrftgyふじこ！！！！？？
この間,今、時代はホームズだ!
……泣いてやるぅ･ﾟ･(ﾉД`)･ﾟ･私はあのおそろしく鋭い彼が,たとえド変人でもさ!ヘン!
キモオタB,愚かなアーサー・コナン・ドイルよ。お前は、われわれが偉大なる英雄シャーロックのご加護により、平和と安寧を享受する大英帝国ロンドン市民であり、お前の血を欲しがっているベイカー・ストリート・イレギュラーズであることを理解できていない。ドイル、人類史上最高の頭脳、イングランドの守護神たるシャーロック・ホームズを抹頃するというお前の大罪は、お前自身の苦痛と死によってしか贖うことはかなわぬ。このナイフは本日これより、お前が世界中のどこにいようとも虐殺をもたらすだろう。アーサー・コナン・ドイルの悪夢を今始めよう。
キモオタC,この最後の事件に関しては俺も動く。抗議デモだよ。具体的には普段はいがみ合ってる各シャーロキアンサークルと連絡を取り合い、短期の新チームを発足した自分でも驚いたが、豪華なメンバーが集まったロンドン最大のシャーロキアンサークルのリーダー、幹部３人サークルではないがパスティーシュ作家最大派閥のＮｏ２、Ｎｏ３界隈では有名な、連載開始以来１日もファンレターを送らなかった日がないという勇者犯罪者のフレが２００人いる人望の持ち主仕事辞めてホームズ研究家に転向した奴他に挙げたらきりが無いが、そうそうたるメンバーで総勢３０人を超えたロンドンでは皇帝、四天王、１０傑（俺含む）、３本柱などの超一流だなによりも強いのは、全員コナン・ドイルの自宅を取り囲んでデモをぶっ通しで何日も可能だ。リアル予定が・・・なんて奴は一人もいないはっきり言って、俺らが声を掛ければイギリス中のホームズファンは半数以上が動くだろう四天王の連中はアメリカ、フランスにも顔が利く。奴らの中にも海を渡って俺達に合流する奴はいるだろう協力して全員でドイル邸取り囲んでホームズ復活のストライキしたらさすがに黙ってられないだろう。
キモオタD,世界が壊れてしまったので死にます。さようなら
ドイル,たかが小説のキャラ一人殺しただけで誹謗中傷の嵐や・・・。キモオタから逃げたくてホームズ殺したのに逆に粘着が１００倍になったわ・・・。ストランドマガジンは雑誌の売り上げが１０分の１に激減したとかで発狂しとるし・・・。抗議と復活要望の手紙で毎日ポストがあふれかえっとる・・・。貴様に与えられた選択は二つ、ホームズの生か、貴様の死だ・・・こんな怪文書ばっかりや・・・。こないだなんかワイの家の前でホームズの葬式やりおったバカがいたし・・・。あかん・・・このままイギリスにおったらキチガイに殺される・・・スイスに移住するで・・・。おっしゃ、この新天地でワイはラノベ稼業とはおさらばや。これからは真の文学を書いて歴史に名を残すで！。売れへん・・・。なんでどいつもこいつもワイの歴史小説の面白さがわからんのや！!。世間じゃ、大衆に媚びへつらった中身スッカスカの娯楽小説ばっかりもてはやされとる・・・。低能ゆとりだらけの20世紀じゃ本物は評価されへんのか・・・・・・
書評,最近の英国文芸界は実に嘆かわしい。刹那的な享楽に耽る大衆とそれに迎合する商業主義一辺倒の出版社ばかりで・・・
ドイル,おっ、この評論家はなかなか分っとるやんけ。
書評,町から情緒あるガス燈の光が消え、けばけばしく下品な電灯に取って代わられたように、人々の心から感性という名の火が消えようとしている・・・
ドイル,せやせや
書評,そもそも、最近の若い作家は本物の文学を知らず、くだらぬ娯楽小説しか読んだことがない
ドイル,その通りや！ほんま最近の若いもんは！
書評,ところが愚かな大衆はこの手の連中が書き散らかしたカートゥーンまがいのペーパーバックを有難がり、挙って褒めちぎる。
ドイル,全く同感！
書評,最近の若手作家諸君、諸君らにはせめて１冊でも本物の小説というものに触れてから執筆活動を行ってもらいたいものだ。
ドイル,うむ！
書評,そう、たとえば・・・
ドイル,たとえば・・・？
書評,コナン・ドイル氏のシャーロックホームズ譚のような本物の小説に！
ドイル,なんでやねん！
出版社,先生、ホームズの単行本にまた増刷がかかりました！いまや翻訳されて世界中に輸出されていますよ！
ドイル,ああ・・・ワイの黒歴史ノートが世界中に拡散されていくんか・・・
出版社,１０年経ってもホームズ人気は衰えず、もはや伝説的な存在です。。推理小説マニアにとってドイル先生はもはや神です！
ドイル,やめろ・・・お前らキモオタの旗印にワイを担ぎ出すのはやめろ・・・
出版社,ま、それはそうと、次回作のことなんですが。
ドイル,おう、今度のはボーア戦争についてのノンフィクションでな、これの凄いところはワイ自身が実際に戦地へ行った経験をもとに南アフリカの戦闘の真実を描き・・・
出版社,そんなことよりホームズだ！
ドイル,何億回言ったら分かるねん！ホームズは死んだんじゃ！
出版社,復活させてくださいよ！ホームズ！ほーむじゅ！ほーむじゅ！
ドイル,４０歳超えてまた黒歴史ノート公開なんてやれるか！絶対書かんからな！
信者,ホームズたんの活躍読みたい～～～！ホームズ生き返って～～～！
出版社,ほらほら～世界中のファンもこう言ってますよ～～～ね～ね～てんて～
ドイル,お前らはいつまであんな糞ラノベに貼りついとるねん！このワイがもっと本気出した名作を書いたるっていっとるやんけ！
出版社,はっきり言って先生が本気で書いたものはつまらないんですよ。
ドイル,くぁｗせｄｆｒｔｇｙふじこｌ。とにかく、ワイはもう金輪際ホームズは書かん！キモオタ相手の商売からは足を洗ったんや！
出版社Ｂ,まあまあドイルサンそう言わずにー。話だけでも聞いてくだサーイ。
ドイル,なんやお前は
出版社Ｂ,アメリカのコリアーズ社デース。ホームズの原稿依頼に来ましたー。
ドイル,わざわざ海を渡ってご苦労なやっちゃな。けどワイはもうホームズ書かへんから。
出版社Ｂ,ワタシタチお金持ちのアメリカ人デース！ライミーなんかよりずっといい条件だしマース。
ドイル,金の問題やない、ワイの文学士としての誇りが・・・
出版社Ｂ,４０００ドル出しマース。
ドイル,・・・は？
出版社Ｂ,ホームズの短編１本につき４０００ドル出しマース。
ドイル,・・・書きます
出版社A,え？
出版社Ｂ,オウ・・・
ドイル,ホームズ復活します！
全世界,ほむほむきたあああああああああああああああああ！！！！！！！！！！！！！
信者Ａ,ぎゃあああああああああああああああ！！！！うれぴいいいいいいいいいいいいいい！！！！
信者Ｂ,ふにゃあああああああ！！！！復活くりゅ～～～～！！！！らめえええええいっちゃうううう！！！
信者Ｃ,ああああああああああああああああああああああああああ！！！！！！！！ほーむずしゃま～～～～～～～～～～～うれしすぎりゅううう～～にんしんかくじちゅ～～～（ﾌﾞﾘﾌﾞﾘﾌﾞﾘﾌﾞﾘｭﾘｭﾘｭﾘｭﾘｭﾘｭ！！！！！！ﾌﾞﾂﾁﾁﾌﾞﾌﾞﾌﾞﾁﾁﾁﾁﾌﾞﾘﾘｲﾘﾌﾞﾌﾞﾌﾞﾌﾞｩｩｩｩｯｯｯ！！！！！！！）
ドイル,あと１年だけや・・・これでホームズは今度こそ最後や・・・。ワイには世界一の作家になって英国文学史に名を刻むという大望があるんや・・・寄り道はこれっきりや・・・
アガサ・クリスティ,どいつもこいつもポアロ！ポアロ！
クリスティ,私はもうあんないけ好かないベルギー人の糞ジジイなんて書きたくないのよ！
読者,ポアロおじ様をもっと出して～～～クリスティてんて～～
クリスティ,ファンレターの８割はこの内容よ・・・・・・
出版社,先生、今度の新作も素晴らしいですね！
クリスティ,ああ、そうでしょ？このトリックには結構自信があってね・・・
出版社,で、ひとつ相談なんですが・・・
クリスティ,なに？
出版社,主人公をポアロに変更できませんか？
クリスティ,くぁwせrtgyふじこ
