ギルドの偉い人,つうわけでゴア・マガラ倒してきてね
城島,肉？料理なら任せ！そういうのなら得意や！
松岡,じゃあお願いしますよ。はい、これ肉焼き機
城島,なんやこれ…わしが知ってるのと違うで…？どうやって使うんや？。おーい、松岡。これどうやって…行ってしもた。上手に焼けましたー！！。なんやこれ、勝手に声が出てしまうわ。ようやっとコツ掴めてきたわ。なんか楽しゅうなってきたわ。それ、もう一回。お？松岡、リオレイアやっつけたんやな？
松岡,よっと
城島,うわ！びっくりしたなぁ！突然出てこんといて
松岡,モドリ玉ですよ。ハンターの基本でしょ
城島,なんかドラえもんみたいな世界やなぁ。ああ、そうや松岡。肉焼けたで！
松岡,お、リーダーありがとう。…って、一個だけ？
城島,なんや難しくてな。次からは上手くいくで
松岡,リーダー…やっぱ今日おかしいっすよ
城島,あんま言わんといてや…
長瀬,だーいじょうぶっすよ！俺くらいになるとラージャンなんて素手でも倒せるっすよ
看板娘,ヘーソウナンデスカー。スゴイデスネー。ワー
城島,まったく相手にされとらんやないか…
山口,お、リーダー！どこ行ってたの？
城島,ちょっと狩りにな…いてて
山口,へー、俺も行きたかったなー。久しぶりにリーダーの空中鬼人連斬見たかったなあ
松岡,それが…
山口,えっ！？リーダーやられちゃったの！？
城島,肉は焼けたで！食べる？
山口,あとで貰う！それよりリーダー、ほんとにどうしたの？
城島,どうした言われてもなあ…
長瀬,まさか、記憶喪失？
城島,えっ？ちゃんとお前らのことは覚えてるで？
山口,じゃあ何なんだろう
長瀬,リーダー！！
城島,なんや長瀬！びっくりするから大声出さんといて言うたろ！
長瀬,ごめんリーダー！！あの子、多分俺に惚れたっすよ！！！
城島,そ、そうか。そりゃよかったな
山口,なあ長瀬
長瀬,なんすか！？
山口,お前、双剣も使えたよな？
長瀬,まあ、得意っちゃ得意っすけど
山口,リーダーに教えてあげてくれないか？
長瀬,えっ！？リーダーの得意武器じゃないっすか！どうしたんすかリーダー！！
松岡,まあいろいろとな
長瀬,よくわかんねぇっすけど、リーダーの為ならがんばっちゃうよ！
城島,すまんなあ長瀬
国分,ニャー(俺出番なくね？)
長瀬,いいっすかリーダー！！
城島,あ、あんま大きい声出さんといてや
長瀬,双剣ってのは！こうやって。こうして。こうやるんすよ！！
城島,おー、ようわからんけどかっこええなあ長瀬。それどこで覚えたん？
長瀬,どこってリーダーに教えてもらったんすよ！
城島,そ、そうなんか？土の違いくらいしか教えた記憶ないけど
長瀬,それでこれが双剣の真骨頂！！
城島,聞いとらんな…なんやそのかっこいいポーズ？
長瀬,鬼人化！！
城島,うわ、長瀬なんか赤色に光っとるで！？大丈夫なんか！？
長瀬,鬼人化することによって、双剣最大の必殺技…
城島,なんやなんや？
長瀬,乱舞を繰り出せるようになります！！
城島,おおー！それめっちゃかっこいいわ！！…あれ？どないしたん？
長瀬,ｾﾞｰﾊｰｾﾞｰﾊｰ…鬼人化はスタミナが無くなると切れるんすよ
城島,そ、そうなんか？わし大丈夫やろか…
長瀬,わかりましたか！？
城島,いや、全然わからへん
長瀬,よろしい！ならば、ドスジャギィを倒して訓練終了としましょう！
城島,な、なんや！？頭の中に直接…！？。あ、なんか変なの押してもうた…
長瀬,双剣っていうのは！！
城島,も、もうええって！。なんかようわからんけど、ドスジャギィちゅうやつ倒せばいいんやな？
長瀬,そうっす！この先に居ますよ！俺は肉でも焼いて待ってますから！
城島,ドスジャギィ…なんか強そな名前やなぁ…ショットガンとか撃たへんよな？
長瀬,散弾のことっすか？モンスターはそんなことしてきませんよ！ここには子分のジャギィ達もいませんし、リーダーでも勝てると思います！！
城島,ほ、ほんまか？じゃあ行ってくるわ
ドスジャギィ,ﾍｪｰｲｗｗｗｗｗｗｗ
城島,あかん
国分とアイルー達,ニャーニャー
城島,うっ…ここどこや？
長瀬,リーダー！！！？？
城島,あれ、長瀬か？モドリ玉つこたんか？
長瀬,戻ってきたのはリーダーっすよ！！
城島,やられたんか…
長瀬,リーダー重症っすよ！
城島,やめて…なんか傷付くわ…
長瀬,仕方ないっすね！俺も一緒に行きます！！
城島,助かるわ長瀬
長瀬,その前に、はい。肉っすよ！
城島,なんや？今あんまりお腹減ってないで？
長瀬,食べないとスタミナつかないっすよ！いただきまーす！！
城島,志村けんさん並の食べっぷりやなあ
長瀬,うめえええええええ！！！
城島,もう食べたんか！？
長瀬,リーダー！！食べるの遅すぎっすよ！
城島,そんなん言われても…わしも歳かなぁ…
長瀬,どうっすか！？スタミナ付きましたか！？
城島,あー、なんや強よなった気がするわ。お腹いっぱいやけど…
長瀬,よっしゃー！行きましょうリーダー！！リベンジっすよ！！
城島,ま、待ってや長瀬！ちょっと胸焼けが…
ドスジャギィ,ｵｰｩｗｗｗｗｗｗｗ
長瀬,いいっすかリーダー！よく見てて下さい！！
城島,お、おう。見るのは得意や
長瀬,こうやって攻撃を誘って…
ドスジャギィ,ﾍｪｰｲｗｗｗｗｗ
長瀬,透きあらば攻撃！！
ドスジャギィ,ｷﾞｬｱｳｗｗｗｗｗｗｗｗｗｗｗ
長瀬,それそれ！！
城島,おー！！なんか長瀬が凄い頼もしく見える！！
長瀬,きた！鬼人強化！！
城島,な、なんやあのオーラ！？
長瀬,見てて下さいよリーダー！！はあっ！！。空・中・鬼・人・連・斬！！
ドスジャギィ,ｱｫｰﾝｗｗｗｗｗｗｗｗｗｗｗｗｗｗ
城島,な、なんてスタイリッシュなんや！
長瀬,チャンス！！
城島,乗った！？乗ってどうするんや！？
長瀬,乗り攻撃っすよ！オラオラ！！
城島,なんかえげつないなぁ…
ドスジャギィ,ｱｫﾝｯｗｗｗｗｗｗｗｗｗｗｗ
城島,お！ドスジャギィが怯んで倒れたで！かっこいいで長瀬！！
長瀬,今っすよリーダー！攻撃してください！！
城島,え？攻撃って、ドスジャギィをか？
長瀬,そうっすよ！早くしないと立ち上がっちゃいますよ！
城島,ええ、なんかちょっと可哀想なんやけど…ご、ごめんな！
長瀬,いっけええええリーダー！！
城島,お、重い…うわっ
ドスジャギィ,ｱｵｰﾝｗｗｗｗｗｗｗｗｗｗｗｗ。
城島,や、やったんか？
長瀬,さすがリーダー！飲み込み早いっすね！
城島,なんか腑に落ちんわ…
長瀬,山口君！もうリーダー大丈夫みたいっすよ！
山口,お、ホントか？よかったなリーダー！
城島,え？わしは…まあええか
松岡,おい皆、ちょっと聞いてくれ
城島,なんやなんや？
松岡,ゴア・マガラの目撃情報を入手した
山口,なんだって！？
長瀬,スゲー！！さすが松岡君！！
松岡,観測所によれば、ナグリ村付近に向かっているそうだ
城島,ナグリ村？どんなところなんや？
山口,火山の麓にある小さな村だよ
城島,火山！？大丈夫なんか！？
山口,そういえば、団長が船を作る為にナグリ村に向かっていたな…
松岡,なに？急いだ方がいいね
長瀬,でもダレン・モーランをやっつけたハンターも一緒なんでしょ？大丈夫なんじゃないっすかね？
山口,確かに凄いハンターだったけど、あまり過信は出来ないな。ゴア・マガラは俺たちも知らない未知のモンスターだ
松岡,そうだね。それはあのハンターも一緒だ
城島,昭雄さん、ここでもパワフルなんやなあ
山口,えっ！？もうここにはいない！？
城島,なんや、昭雄さんと話したかったんやけどな
松岡,リーダー。あのハンターの事知ってるみたいだけど…
城島,知ってるも何も、お前達もよう話とったやろ？そんなん言うたら昭雄さん悲しむで
山口,うーん…記憶にないなあ
松岡,俺も知らないね。リーダー、そのハンターとどこかで会ったの？
長瀬,きっと千里眼っすね！リーダースゲー！！！！
城島,ホンマにお前たち知らんのやな…
長瀬,じゃあ千里眼を持ったリーダーなら居場所がわかるんじゃないっすかね！？
山口,おいおい長瀬、流石にリーダーでも…
松岡,いや、もう直感に賭けるしかないね。時間がない
城島,ええー…千里眼とかわし持っとらんで？
山口,うーん、ナグリ村の人達も詳しくは知らないみたいだし
松岡,どっちにしろリーダーに委ねるしかない
城島,えっ？わしが決めるんか？
山口,リーダーでしょ
城島,そ、そうやな。じゃあ…あっち！。ホンマに行くんか…
団長,どうだい、大海原の空気は？
AKIO,いやー、海もいいもんだ。山では味わえん
団長,ははは！そうかそうか！我らのハンターは昔は何をしていたんだ？
AKIO,土いじり
団長,土いじり…農民か。それにしてもどうしてハンターに？
AKIO,気付いたら、このデカイ包丁を担いでいたんだ
団長,うーむ、その腕前は天賦の才ということかね
加工担当,…おい、あれは
団長,…うん？あれは…モンスターか！？我らのハンター！
AKIO,まかせろ
山口,まずい…！既に交戦しているぞ！
松岡,すごいねリーダー。よくこの場所がわかったね
城島,なんやろな、絆っちゅうやつやろか
長瀬,…！見て見て！スゲー！！！あのハンターまたやっつけちゃったよ！！
山口,本当に凄いな…
城島,昭雄さんホントパワフルやなぁ。わしら要らなかったちゃうか？
松岡,…待って！！ゴア・マガラはまだ諦めていない！！
山口,ゴア・マガラが…このままじゃ船に！！
城島,あ、昭雄さん！！
山口,リーダー！？
団長,くっ…我らのハンター！！
AKIO,おおうっ
看板娘,ハンターさん！！
城島,昭雄さあああああああん！！！！！
団長,筆頭ハンター！？
ゴア・マガラ,オオオオオ…！！
山口,リ、リーダー！なんて無茶を！
松岡,くっ、船が
長瀬,やべええええ！！
城島,こ、ここは…
村長,おやまあ、気付いたかい
城島,…ここはDASH島？
村長,チコ村だよ
城島,チコ…村？
山口,リーダー！！
城島,山口？一体何が…
山口,何って、リーダーが船をぶつけてゴア・マガラをおっぱらったんでしょ
城島,わしが…？なんかカーっとなってよく覚えとらん
山口,なにより無事でよかったよリーダー
城島,お、おう。すまんなあ山口
山口,あ、そうそう。我らの団ハンターがリーダーに話があるって
城島,昭雄さんが！？無事だったんか！。昭雄さーん！
AKIO,あんたは…筆頭リーダーさんかい？
城島,筆頭なんてガラじゃないですよ！それより昭雄さん、大丈夫ですか？
AKIO,ああ、あんたらのお陰で助かった
城島,よ、よかった。それで、昭雄さん
AKIO,んうん？
城島,僕の顔に見覚えないですか！？
AKIO,あんたを見たのはバルバレが最初だ
城島,そ、そうなんですか…
AKIO,ただ、それより前に会った気はする
城島,ほ、ホントですか！？
AKIO,ただどこかは思いだせねぇ
城島,そうですか…
松岡,もうすぐ船が直るみたいだよ
山口,そうか、それは良かった。長瀬が手伝ってくれたおかげだな
長瀬,照れるじゃないっすか！俺、なんか船の修理とか得意なんすよね！
城島,うーん
長瀬,リーダー！無事だったんすね！
松岡,よかった。でもリーダー、なんか元気ないね
城島,昭雄さんも覚えてなかったか…
山口,リーダー、気分転換に釣りにでも行く？
城島,ん？ああ、ええな
長瀬,あ、俺もいきたーい！！
松岡,長瀬と俺は船の修理を続けるよ
長瀬,ええええええ！！！！
城島,で、どこで釣りをするんや？たしかにここらなら美味い魚が釣れそうや
山口,そうだね。氷海にでも行ってみよう。珍しい魚が釣れるよ
城島,氷海？。さっぶ！！！！！！！！！！
山口,そりゃあリーダー、氷海だからね。ホットドリンクは持ってきた？
城島,なんやそれ…熱い缶コフィ的なものかいな？
山口,何ってハンターの基本でしょ？忘れたなら忘れたって言ってよ…ほら
城島,おお、すまんな。おお、寒ない！凄いなこれ！
山口,ははは、リーダー大袈裟だな
城島,なんやろ…なんかヌタウナギ思い出すわ…。それにしてもこんな寒いところで魚は釣れるんか？イワシとかかいな？
山口,シンドイワシなら松岡が喜ぶんじゃないかな。減気弾の調合にも使うし
城島,なんか元気が出そうな弾やなぁ
山口,何言ってるんだよリーダー、減気弾はモンスターのスタミナを奪う弾だよ
城島,そ、そうなんか？難しいなあ
山口,ほら、もうすぐ釣り場につくよ
城島,そうか。何が釣れるんやろ。…お？なんやこれ。こんなとこにもカエルがいるんやなあ。おー！凄い引きや！
山口,リーダーすげぇ！カジキマグロじゃん！
城島,カジキマグロ！？わしそんなん釣り上げたんか！？
山口,最近はカジキマグロを武器に出来るみたいだよ
城島,なんでもアリやなあ…。そうやこれ見て山口
山口,なに？…カエル？
城島,これ何か凄いの釣れそうやない？
山口,リ、リーダー。それはやめといた方が
城島,？何でや？
山口,あー…
城島,おっ！きたで！もの凄い引きや！！
山口,まあいっか。リーダーならすぐに倒せるよね
城島,な、なんやこのでっかい鮫はー！？
山口,ザボアザギルだよ
城島,ど、どうしたらええんや！？
山口,倒すしかないね
城島,倒すってあの鮫をか！？無理やろ！
山口,リーダーなら簡単に出来そうだけど…あれ？ザボアザギル、なんかくわえてるね
城島,…あ、あれは
国分,ニャ、ニャー
城島,国分！？
山口,見ないと思ったらこんなところに
城島,た、助けへんと
山口,アイルーああ見えて頑丈だから
城島,そ、そんなわけないやろ！行くで山口！！。とは言ったもののどうしたらええんや！
山口,とりあえず鬼人強化するために力を溜めたらいいんじゃない？
城島,ああ、なんや長瀬が言うとったな！やってみるわ！鬼人化！！。うわ…これ結構シンドイ、ワシ…ってな
山口,え？
ザボアザギル,ｷﾞｭﾌｫｵｵｵｵ！！
山口,そっち行ったよ
城島,わわ！なんや！なんか力が抜けて回避でけへん！！間に合わん！！
山口,リーダー！
城島,山口！助かったわ…それにしても山口力持ちやなあ。あんな巨体を受け止めるなんて
山口,ガード性能＋２だからね
城島,な、なんやそれ？まあいいわ。もう一回…鬼人化！！
山口,まってリーダー！スタミナがないとまたさっきみたいになっちゃうよ！
城島,ああそうか。ちょっと肉食べるから待っててな。もう食べきれんわ…
山口,リーダー遅いよ！はやくしないとやっつけちゃうよ
城島,なんか山口一人でも出来そうやけどな
ザボアザギル,ﾌｫｫｫｫｫﾝ！！
城島,な、なんや！？
山口,怒り状態だよ。ザボアザギルは氷の鎧を纏う力があるんだ
城島,こんなんがDASH海岸にこられたら、えらいことになるなぁ
ザボアザギル,ﾌｫｯ
城島,？なんか奇妙な構えを取って固まったで？
山口,…リーダー！ブレスくるよ！
城島,な、なんや！？う、うわああああ。なんやこれ…ホットドリンク飲んだのにめっちゃ寒いで…なんか力抜けるわ
山口,氷やられだよ
城島,なんか涼しそうやなそれ…あれ、今度はやられてないなわし
山口,むしろ一撃でやられるリーダーが異常だったんたよ
城島,そ、そうなんか？そういや上手く受け身を取れた気がするで！よーし、反撃や！
山口,あ、リーダー
ザボアザギル,ﾌﾇｯ
城島,えっ？。膨らむとか聞いてないで！？
山口,あーあ
城島,またやられてしもうた…
山口,大丈夫、リーダー？
城島,な、なんや！びっくりしたなぁ。ああ、またモドリ玉
山口,リーダー、ダメージを受けたら回復しないと
城島,回復？そんな直ぐ元気になるもんかいな？
山口,そうだね。今はダメージを受けてないから、これを飲んでみてよ
城島,なんやこれ？
山口,秘薬だよ。体力が最大まで回復するんだ
城島,なんか適当な名前やなぁ…まあ飲んでみるわ。ありがとな。おお！？なんや！力がみなぎる！！
山口,体力には気を付けてよねリーダー
城島,おう、今度から気を付けるわ！…って、さっぶ！！！！！！！
山口,やられたら薬の効果がなくなるんだよ
城島,また飲まないといけないんか…。なんか、お腹くだしそうやわ…。さあリベンジや！まってろ太一！！…ってあれ、いない！どこいったんや！？
山口,エリア移動したみたいだね。大丈夫、ペイントボール投げてたから
城島,ペイントボール？防犯用にコンビニにあるやつかいな？
山口,コンビニ？なんかよくわからないけど、ペイントボールは強烈な臭いでモンスターの居場所を教えてくれるアイテムだよ
城島,そういや微かに変な臭いがするなあ
山口,その臭いを追いかけて行ったらいいよ
城島,わし、臭いには敏感なんやで！こっちや！
山口,まあ、誰にでもわかるけどね
城島,おったな！ザボアザギル！
ザボアザギル,ｼｬｵｼｬｵ
城島,な、なんか食べとるで！？まさか…太一！？
山口,大丈夫だよ、アイルーは頑丈だから。多分、食事をして体力を回復しているんだろうね
城島,そうか、人間と同じなんやな
山口,リーダー、無防備な今がチャンスだよ
城島,なんか後ろからって気がひけるわなぁ…
山口,甘いこと言ってるとまたやられちゃうよ
城島,しゃあないか…後ろからごめんなー！
ザボアザギル,ｷﾞｬｵｯ!?
山口,いいね！リーダー調子が戻ってきたみたいだ
城島,それそれ！どうや！。な、なんや！？弾かれたで！？
山口,切れ味だよ！砥石で切れ味を回復しないと！
城島,そ、そんなんで大丈夫なんか！？水とかないと研がれへんやろ！それに砥石にもいろいろ種類が…
山口,リーダー！俺が乗り攻撃で隙を作るから、その間に！
城島,ちょ、山口！
ザボアザギル,ﾌｫ!?ﾌｫ!?
山口,リーダーはやく！
城島,しゃ、しゃあない！やってみるわ！。あ、あれ？意外と簡単に研げたわ…凄いなあ
ザボアザギル,ﾌｫｫｫﾎﾞｯ
山口,リーダー！研げた！？今がチャンスだよ！
城島,お、おう！やったる！鬼人化！！。うおおおおおお！！太一ー！
ザボアザギル,ｷﾞｬｵｵｵｵｵﾝ。
城島,やったんか…！？
山口,凄いよリーダー！もう勘は戻ってきたみたいだね
城島,なんかほとんど山口君がやった気がするけどな
太一,ニャー
城島,おお太一！無事やったんな！
山口,よかったなリーダー
太一,ニャー(俺の扱い酷くね？)。ニャー
長瀬,お、太一じゃん！！！！！
太一,ニャー(敬語を使えよ)
松岡,おかえりリーダー。どうだった？
城島,なんか凄い疲れた…まあ太一が見つかってよかったわ
山口,リーダーも調子が戻ってきたみたいで、釣りに行ってよかったよ
城島,ああそうや、釣りに行ってたんやな。はいこれ
長瀬,スゲー！！カジキマグロじゃないっすか！！
城島,凄いやろ？マグロだけにツナ渡りやったけどな…なんつって
山口,え？
城島,まあええ、船の調子はどうや？
長瀬,あとは少し手を加えるだけだね
城島,ほんまか！よかったな
長瀬,リーダーリーダー！見てこれ！カジキマグロ武器にしてみたよ！！
城島,なんか生臭いなあ…
伝書鳥,ﾋﾟｮｰ
団長,…？なんだ？ギルドからか？。何々…。そうか…筆頭ランサーを読んでくれるか？
看板娘,はーい
山口,どうした？
団長,これを読んでくれ
山口,なになに…。…！そうか、樹海に…ゴア・マガラが
団長,手を貸した方がいいか？
山口,いや、これは俺たちの仕事だからな。これ以上迷惑をかけるわけにはいかない
団長,ううむ
山口,団長たちはこのまま旅を続けてくれよ
団長,わかった。何か困った事があったならいつでも言ってくれ。我らは長い付き合いだからな！はっはっは
山口,ははは、いざとなったらそうさせてもらうよ。と、いうわけで、樹海にゴア・マガラが現れたらしい
松岡,なんだって？
長瀬,よっしゃー！チャンスじゃないっすか！！一気にやっつけましょうよ！
城島,まあそんな急かさんでもええやろ。わしらに負けた傷を癒してるやろ
山口,リーダー…
城島,なんや？なんかわし変な事いったか？
長瀬,やっとリーダーらしくなってきましたね！！
城島,そ、そうか？なんか照れるわ
松岡,よし、船が直ったら出発しよう
城島,そやな。みんな、もうひと頑張りや！。なんか久しぶりやなー
山口,そうだね。無事に帰れてよかったよ
長瀬,リーダーリーダー！！
城島,な、なんや！びっくりするいうとるやろ！
長瀬,すんません！！！あの、太一がリーダーを呼んでるみたいっすよ！
城島,太一が…？なんやろ、行ってみるわ
太一,ニャー(リーダー！)
城島,ニャー(太一か？なんでまたそんなかわいい姿に)
太一,ニャー(いや、俺もわかんないんっすよ！ゴチの収録に向かってたらいきなり…)
城島,ニャー(ああそっか、太一はゴチの収録やったな。岡村くんによろしゅう言うとってや)
太一,ニャー(わかりました！じゃ、なくて！どうしてこんな事になったんですかね！？)
城島,ニャー(なんでやろな…新しい企画かと思ったけどそうじゃないみたいやな)
太一,ニャー(手が込みすぎだよね。)
城島,ニャー(うーん、なんなんやろな一体)
太一,ニャー(なんなんすかねぇ…)
城島,ニャー(まあ成るようにしか成らへんちゃうか？)
太一,ニャー(リーダーらしいっすね。あー今日のゴチは負ける気しなかったんだけどなー)
城島,ニャー(太一はゴチ強いからなー)
松岡,リーダーがなんかニャーニャー言ってる…。リーダー
城島,なんや、今度は松岡か？どないしたんや？
松岡,いや、リーダーがニャーニャー言ってたから…じゃなくて
城島,なんやなんや？
松岡,ゴア・マガラの正確な居場所が割り出せたよ。今すぐにでもいける
城島,ほんまか！よーし、なんか行ける気がするで！
松岡,リーダー、そう言ってなんどもやられたじゃん
城島,細かいことはええんや！行くでえええ！！
太一,ニャー(気を付けてよリーダー)
城島,ニャー(わかっとる！)
松岡,リーダー…
山口,あれか…ゴア・マガラ
松岡,やるなら今だね
長瀬,よっしゃあああ！テンションあがってきました！！
城島,長瀬！声が大きい！気付かれるで！！。あっ
ゴア・マガラ,グオオ…？
山口,リーダーらしい失敗だね
松岡,ベタだなあ
長瀬,リーダーｗｗｗｗｗｗ
城島,そんなん言うてる場合ちゃうやろ！くるで！！
ゴア・マガラ,グオオオオオオオオオ！！！
山口,それっ
松岡,鬼神弾いくよ
長瀬,うおおおおおお！みなぎってきた！！いけっ猟虫！！
城島,あれって虫にも効果あるんか…？
山口,よし！トドメだ！！リーダー
城島,いくで、ゴア・マガラ！！！鬼人乱舞！！
ゴア・マガラ,ウオオオオオオ…オオォォ…
山口,ふう、大したことなかったね
松岡,拍子抜けだなあ
長瀬,よっしゃー！任務完了っすね！看板娘ちゃんに会ってくる！！
城島,…待って皆。なんか、上手く行き過ぎちゃうか？
長瀬,もー！リーダーは心配性すぎるんすよ！防御力下がっちゃいますよ？
城島,そ、そうか？…うん？なんやこの黒い霧は…
山口,リ、リーダー！！
松岡,ゴア・マガラが…！
ゴア・マガラ,オオオオオオオオ！！！
城島,ゴア・マガラが…蘇った！？それになんや、あの角と真っ黒な霧は…
山口,リーダー！！危ない！！。ぐっ…！
城島,山口！！
松岡,一旦退こう！これは想定外だ！！
長瀬,リーダーはやく！
城島,あ、あかん。足をやられてしもうた
山口,くそっ…リーダー！俺が囮になるからそのうちに！
城島,そんな！でけへんよ！
松岡,もうこうするしかない！全滅しちゃうって！
長瀬,山口君！俺も残るよ！松岡君ははやくリーダーを！！
松岡,すまん、皆！直ぐに助けを呼んでくる！
城島,ちょ、ちょっと松岡！待ってや！山口ー！長瀬ー！
ギルドマスター,そうか…そんな事が…
松岡,敵前逃亡とは情けない限りです…
城島,山口…長瀬…
ギルドマスター,やつらは筆頭ハンターだよ。そう簡単にやられたりはしない
松岡,そうですね…
城島,…
ギルドマスター,ほれ、城島。リーダーがそんな様子でどうするんじゃ
城島,あ、ああ。すみません…
団長,話は聞いたぞ
城島,…団長さん！？それに
AKIO,よう
城島,昭雄さんも！？
団長,うちのネコ太郎がいなくなってな…
城島,太一が…？
団長,一匹で筆頭ランサー達を助けにいくらしい
城島,な、そんな！無理ですよ！太一はネコですよ！？
AKIO,俺も行く
城島,昭雄さんも！？そんな、危ないですよ！！
AKIO,誰かがいかんと、駄目だ
城島,そうですけど…
団長,筆頭リーダー、お前はその体だ。今は休んでいろ。あまり無理はするもんじゃない。我らの団ハンターは、こう見えても凄く強いんだ
城島,…
AKIO,俺に任せとけ
長瀬,リーダー…気持ちはわかるけど、ここは我らの団のハンターに
城島,わしも行きます
長瀬,えっ！？
城島,長瀬、秘薬は作れるかいな？
団長,はっはっは！流石は筆頭リーダー！根性も一級品だな！
城島,秘薬を飲んだら怪我も治りました！！
松岡,凄い回復力だ…
AKIO,本当に行くのか？
城島,ええ、あいつらを放っておくわけにはいきません！
AKIO,好きにしな
城島,昭雄さんも負けないでくださいよね！
松岡,それなら俺も！
城島,松岡、お前はここで、万が一の事があった時…いや、ここで皆を待っていてくれへんか？
松岡,…わかりました
団長,準備は出来たようだな！なぁに、心配はいらない！お前さん達ならきっとできるできる！
城島,うおおお！燃えてきたで！！
AKIO,イノシシよりも、もんすたぁ狩るほうが楽だあ
団長,はっはっは！折角だ、翼を授かった新イサナ号で送ってやろう！
城島,たしか…あそこです
団長,よし、この辺りでイサナ号を降ろそう
AKIO,腕が鳴る
加工担当,…頑張れよ
加工場の娘,うう…二人とも気を付けてよね…。泣いてない！
団長,なに、気を付けろとはいわん。お前さんたちなら絶対にやり遂げられるからな
看板娘,未知が！ゴア・マガラが！ハンターさんを待ち受ける！！
AKIO,行くぞ、筆頭リーダーさん
城島,は、はい！
長瀬,山口君！大丈夫！？
山口,な、なんとか…
ゴア・マガラ,グルオオオ…
長瀬,くっそおおお！！このままじゃ…！
太一,ニャー
長瀬,太一！？
太一,ニャー(だから敬語使えって！)
山口,太一…来てくれたのか
太一,ニャー(当たり前だろ！ここは俺に任せて！)
ゴア・マガラ,オオ！？オオオオ！？
太一,ニャー(当たらないねー！)
城島,皆ー！！！
山口,リーダー！？
長瀬,リーダー！！やっぱリーダーはスゲー！！
