以前飛行機のスレ建てた時に,SS形式で紹介してくれ
彡(ﾟ)(ﾟ),こんな暴言離陸前に吐かれたら、新人君委縮するやろな
(´・ω・｀),クロスエア3597便墜落事故。メーデー名物の一つのナレーションに「無能
彡(ﾟ)(ﾟ),政府チャーター機が墜落したんご
(*^◯^*),暗殺や暗殺！！
彡(ﾟ)(ﾟ),一応パイロットの経歴も調べてクレメンス
(*^◯^*),無免許なんだ！！！！！
彡(ﾟ)(ﾟ),ファッ？！なんでこんな奴雇ったんだ
(´・ω・｀),2008年メキシコ内務省チャーター機墜落事故。前の飛行機に近づきすぎ、後方乱気流にやられて墜落した事故。パイロットの不審な行動に気付いた調査員が経歴を調べて無免許が発覚した
彡(ﾟ)(ﾟ),速度表示の異常が原因か
(*^◯^*),故障の原因を調べてきたんだ！！
彡(ﾟ)(ﾟ),おっいったいなんや！
(*^◯^*),ピトー管の中にハチが巣作ってたんだ！
彡(ﾟ)(ﾟ),ファッ？！
(´・ω・｀),バージェン航空301便墜落事故。ピトー管（風圧で速度を計測する装置）の中にハチが巣を作り正しい値が表示されなかった。何やかんやあって失速して墜落。ちゃんと大事な装置にはカバーをしましょうという教訓になったやで
彡(ﾟ)(ﾟ),巡航中にパイロット、乗客共に意識不明
(*^◯^*),えっ、本当にそんながばがばなことが？！
彡(ﾟ)(ﾟ),どうしたんや
(*^◯^*),整備士が飛行機降りる前に与圧をオフにしたらしいんだ！
彡(ﾟ)(ﾟ),えっそんなん与圧されなくて酸欠になるやんけ
(´・ω・｀),ヘリオス航空522便墜落事故。与圧（機内の空気を色々して高高度でも呼吸できるようにするあれ）の設定ミスで機内全員が酸欠で意識不明。自動操縦で飛び続けゴーストと言われた航空機事故
