道具屋,全部で２万ゴールドになります
盗賊,あぁ、やっぱこういう罠。うん、わかってきた。この時代の城は大体、地下を宝物庫にしていた。よし、早速地下を探そう。地下に到達、っと。道中、色々と金目のものがあったけど…それは後回しにして、早いとこ星神の冠を手に入れなきゃね～。…んっ！。怪しい場所には飛び込んでみなきゃね！たのもーっ！。…むっ！。あれは、まさか……。……！！。間違いない、これが星神の冠だ。よっしゃ！。早速、これを王子の元に……。な！？何これ…何の光！？。―――！！
王子,どうも落ち着かないな。待ち時間が長く感じる…盗賊は大丈夫だろうか
兵士,お、王子ーっ！
王子,どうした
兵士,これ…っ、星神の冠で間違いないですよね！？
王子,！！間違いない、星神の冠だ！盗賊は上手いことやってくれたのか！
兵士,そ、それが…これを持ってきたのは、盗賊様ではなく……
王子,何？盗賊ではない？
兵士,は、はい！星神の冠を持ってきたのは、その…こいつです！！
王子,！！
うさぎ,……
王子,……うさぎ？
兵士,はい、うさぎです！
王子,何の冗談だ？ん？
兵士,いやいやいや、本当なんですって！このうさぎが、星神の冠をくわえて出てきたのです！
王子,何だと……
うさぎ,………。そりゃ、おかしいと思うよねー
盗賊,―――！！
うさぎ,何じゃこりゃあああぁぁ！？
王子,いたか？
兵士,いえ…ダンジョン中を探索しているのですが、盗賊様の姿は見つからず……
王子,何てことだ…！まさか、罠にかかって……
うさぎ,そんなヘマしない…と言いたい所だけど、罠にかかってうさぎになっちゃったんだよねー。いやー参ったわ
兵士,王子……暗くなってきましたし、今日は引き上げた方が……
王子,人の命がかかっているのだぞ！我々が依頼して行方不明になったというのに、見捨てることができるか！
うさぎ,何て良い人。いや私なんかの為に、申し訳
兵士,ですが我々の探索能力では、これが限界でしょう。一旦引き上げ、探索能力に優れた方々に探して頂いた方がよろしいかと
王子,むむ……
兵士,それに…星神の冠が手に入ったことを報告もせねばなりません
王子,くっ。できれば、こんな気持ちで冠を手にしたくはなかったが……
うさぎ,気にしないでいいよー、私のヘマだし
王子,お前たちは冠を持って城に戻れ。俺はもう少し、ここで盗賊の帰りを待ってみる
兵士,わかりました。どうか、お１人で廃城に入らぬように
王子,わかっている。行方不明者が増えるだけだからな
うさぎ,王子も疲れてるだろうに。申し訳ないなー
王子,む。…心配してくれているのか、うさぎよ
うさぎ,えぇ、まぁ
王子,……うさぎ、か
うさぎ,ん？
王子,よし誰もいなくなった……もう我慢ならん！！
うさぎ,！？
王子,うさぎ…うさぎ………
うさぎ,え、え、何！？
王子,ふ、ふふふ……。あああぁぁぁぁ、うさちゃん可愛いいいぃぃぃ！！うさちゃんうさちゃんうさちゃんうさちゃんうさちゃんうさちゃんうさちゃんうさちゃんうさちゃんうさちゃんうさちゃんうさちゃん
うさぎ,ひいいいいぃぃぃぃ！？。王子…カタブツだと思ってたのに……
王子,ふわふわの、おめめパチクリで、可愛いねぇ～
うさぎ,誰も見てないとこうなのかよ！何かショックだわ！！
王子,うさちゃ～ん？どうちて、こんな危ないとこにいたのかなー？怖い魔物が、がおーってなるぞー？
うさぎ,赤ちゃん言葉まで使い出したよ！？
王子,うさちゃんパクッて食べられちゃうぞー。こわいこわい
うさぎ,いやお前の方が怖いっつーの！！
王子,…よし、うちに来るといいよ～。ずっとうさぎが欲しかったんだ～
うさぎ,……へ？。………おいしい！。きゅー
王子,そっか、来たいか～。うさちゃん可愛いなぁ～
兵士,トレジャーハンターに盗賊様の捜索を依頼しておきました
王子,何かわかればいいのだが……
うさぎ,わからん、わからん。そんなことよりニンジンうめぇ♪
王子,一杯食べるといい
兄,帰っていたのか、王子
姉,トラブルはあったようだけれど、星神の冠は手に入ったようね。お疲れ様
王子,兄上、姉上…
うさぎ,そういえば王子は第三子って言ってたっけ。勇者が末姫って言ってたし、四人兄弟かな？
王子,この白兎騎士団、微力ながら誠心誠意国に仕えるつもりです。何か御座いましたら、何なりとご命令下さい
兄,そうだな。盗賊の護衛のような、丁度いい任務を見繕っておく
うさぎ,は？
姉,あまり簡単な任務ばかりでも困りますわ、お兄様。王家の"格"が下がりますもの
兄,かといって危険な任務を任せれば、どうなるか目に見えているだろう？だから、丁度いい任務を見繕わねば
姉,まぁ、そうですわね
王子,……申し訳ありません、力不足で
うさぎ,王子……
王子,…はぁ
うさぎ,シャキッとせんかい！
王子,情けない所を見せたな。俺が無能なばかりに、２人には苦労をかけている
うさぎ,無能？王子が？
王子,才知に優れた２人に、武芸に秀でた末姫……俺１人が凡人なんだ
うさぎ,マジか
王子,少しでも国に貢献したいと思ってはいるのだが……なかなか上手くいかなくてな
うさぎ,うんうん、そういうこともあるよね
王子,護衛対象を守ることもできなかった……
うさぎ,いやいや気にすんなって！養ってくれりゃそれでいいって！
王子,俺は本当に…駄目な王子だ
うさぎ,……。そんなことないのに。それだけ思いやりのある人間が、下々の人間を気遣える人間が、駄目なわけがないじゃん
王子,あああぁぁ～、つらいよー！！俺をなぐさめて、うさちゃん！！
うさぎ,こういうとこは駄目だけどな！！
王子,うさちゃんは一杯食べるなぁ
うさぎ,高級食材うめええぇ！！生野菜も美味しく頂けるうさぎ舌万歳！！。あったけー……
王子,じゃぶじゃぶしたらブラッシングしようね～
うさぎ,やってもらうって楽チンだな～
王子,ああああぁぁ、サラサラしてるううぅぅ！！
うさぎ,おい、毛並みが乱れるだろ
王子,そうだ、リボンを買ったんだ。耳…に結ぶわけにはいかないから、首に……
うさぎ,お、どーよ？
王子,………！
うさぎ,ん？
王子,ああああぁぁ、可愛い可愛い可愛い可愛い！！
うさぎ,病気かこいつは
王子,良い天気だな
うさぎ,タンポポ食べたいなぁ～
子供,うさちゃんだー！なでなでしてもいい、王子様ぁ？
王子,あぁ、良いぞ
子供,わぁい、うさちゃーん！
うさぎ,愛想振りまかなくてもデレるんだから人間てチョロいよな～
王子,お休み、うさちゃん
うさぎ,ふかふかベッドはいいなぁ
王子,お休みのちゅー…
うさぎ,は、断る！！
王子,あたっ。怒ってても可愛いなぁ
うさぎ,チョロいにも程があるぞ。金持ちに飼われたペットって人生イージーモードじゃん…私、めっちゃ勝ち組
王子,むむぅ
うさぎ,どうしたんだろ王子、朝からソワソワしてるけど
末姫,おにーさまっ！ただいまぁ～♪
王子,うわっと！
うさぎ,おにーさま？あぁ、この子が勇者の末姫か
王子,ノックくらいしろ、末姫。全く……
末姫,えへへー♪お兄様、星神の冠ありがとうね～。とっても役に立ってるよ、あれ！
王子,……俺ではない。探してきたのは、そこのうさだ
末姫,あ、この子がうさちゃん！可愛いねぇ～♪
うさぎ,デレた時の笑顔はそっくりだわ、流石兄妹
末姫,でも、盗賊さんは今でも行方不明だとか……。心配だね
王子,お前が心を痛める必要はない。俺の責任だからな
うさぎ,いやいや、もう忘れてくれていいんだけどね
王子,ところで帰省とは珍しいな
末姫,うん…ちょっと、行き詰まっちゃって
王子,どうした？
末姫,神器"皇帝の鎧"を手に入れたんだけど……それ、どうも力を発揮しないの
王子,あぁ、聞いたことがある。神器によっては、他の何かと組み合わせて使用するものもあるそうだな
末姫,そう、それで調べに戻ってきたんだけど……あぁもう、最悪！！
王子,ど、どうしたんだ
末姫,鎧に"皇帝の黒真珠"っていうものをはめ込まないと使えないみたいなんだけど！その真珠がどこにあるのか、わからないのよ～
うさぎ,……ん？皇帝の黒真珠？
王子,そうか…。アイテム探しは不得手だからな、お前は。じゃあ、国のトレジャーハンターに依頼するしかあるまい
末姫,そうねぇ～。でも、うぅ～。手がかりなしじゃ行き詰まるよね～
うさぎ,それって確か……
王子,あ、うさ！？どこへ行く！？
うさ,ここに……
うさぎ,皇帝の黒真珠、綺麗だったからコレクションしてたんだよね。えーと…。あった！
王子,う、うさ！？
末姫,これって……皇帝の黒真珠？
うさぎ,どーよ
末姫,これで鎧が真価を発揮するわ！ありがとう、うさちゃん！
兄,信じられん……まさか、うさぎが黒真珠を持ち帰るとは……
うさぎ,そう、敬え
王子,うさ、お前凄いな。よし、今日はご馳走だぞ
うさぎ,その言葉が聞きたかった！！
姉,ねぇ…確かそのうさぎ、以前にも星神の冠を持ち帰ったのよね？
王子,はい。その時は偶然かと思っていましたが……
姉,もしかしたら、そのうさぎ…トレジャーハントの能力を持つの！？
うさぎ,いやいや、うさぎになった今じゃその能力も……
姉,……試してみる価値はありそうね
うさぎ,げ
姉,神器"守護天使の盾"は、邪神の神殿にあるという話よ
兄,強力な魔物、複雑な設計…プロのトレジャーハンターにとっても難易度の高いダンジョンと言われている
うさぎ,うん、私でも避けてたもん
姉,そのうさぎに、邪神の神殿を捜索させてみてはいかが？
うさぎ,無茶言うんじゃねぇ！
王子,危険すぎます！うさは、戦闘力もないただのうさぎなのですよ！
うさぎ,そうだそうだ！
姉,心配いらないわ、護衛をつけるから。うさぎに護衛、っていうのもまぁおかしな話だけど
兄,神器探しはうさぎの手を借りたい程に難航しているのだ
うさぎ,いいぃぃやあぁぁだああぁぁぁぁ！！
姉,それで、うさぎの護衛候補だけど…全員、出てきなさい
くじ男,白鯨騎士団団長、くじ男で御座います
カミ男,銀狼騎士団団長、カミ男で御座います
シャケ男,紅鮭騎士団団長、シャケ男で御座います
姉,我が国が誇る一流の騎士団達よ。どう、うさぎさん？
うさぎ,顔が生理的に受け付けん！！
王子,何か、嫌がってますね
姉,うさぎに嫌がるも何もないでしょ。とりあえず連れて行くわよ
うさぎ,いやだいやだいやだいやだいやだいやだああぁぁ！！
兄,むぅ。王子のズボンに噛み付いて離れないなぁ
王子,だから嫌がってると言ったでしょう
末姫,うさちゃん、お兄様と離れたくないのね～
姉,うさぎに頼るという考えが間違っていたのかしら
うさぎ,そうだそうだ！私はほのぼのうさぎライフを楽しんでいたいんだ！働きたくねぇ！
末姫,あ、それならさぁ
王子,ん？
末姫,白兎騎士団……お兄様が護衛につくってのはどうかな？
王子,……え？
うさぎ,……は？
末姫,うさちゃんは、お兄様のことが大好きみたいだし。お兄様と一緒なら、行くんじゃない？
うさぎ,いやいやいやいやそれは大きな誤解ですよお嬢さん！？
兄,…白兎騎士団に任せるのか……
姉,それはちょっと恐ろしいかも……
王子,……俺は恐れてなどいませんよ
うさぎ,ちょ、おま…
王子,だけど俺は、うさが嫌がることはさせたくない
うさぎ,お？
王子,兄上と姉上のおっしゃる通り、俺は力不足だ。けどそれ以上に、うさは俺にとって大事な存在で……
うさぎ,………
王子,才知に優れた２人に、武芸に秀でた末姫……俺１人が凡人なんだ。少しでも国に貢献したいと思ってはいるのだが……なかなか上手くいかなくてな。俺は本当に…駄目な王子だ
うさぎ,全く……これはチャンスじゃないかっての
姉,そう言うなら仕方ないわ、やっぱり別の方法を……
うさぎ,……
王子,ん、どうした？うさ？
うさぎ,とっとと来いっつってんだよおぉ！！
末姫,まさか、うさちゃん…お兄様に行こうって言ってる？
うさぎ,おう！
王子,な…待て、うさ！邪神の神殿は本当に危険な場所で…
うさぎ,わかってらい！
王子,いでっ！
うさぎ,だからこそ、汚名返上のチャンスじゃんか！この私が協力してやるんだから、上手くやれよ！
王子,うさ……。今より、我々白兎騎士団は邪神の神殿に乗り込む！全ては世界平和の為だ！
うさぎ,騎士団の皆、気合入ってるなぁ。私も頑張らないと
王子,うさ、怖くなったら俺に飛びつけよ
うさぎ,それはそれで怖いんだけどな
王子,さて、神殿内に入るか……
うさぎ,…！駄目だ
王子,どこへ行く、うさ！？
うさぎ,正面突破は危険な予感がする。別の入口は……あった！。あ、でも高いところにあるなぁ。ロープがあれば入り込めるんだけど…
王子,あそこから入れってか、うさ？
うさぎ,方法があるのかな？
王子,よし、俺の服の中に入れ。さて、と…
うさぎ,え、まさか……
王子,よいしょ、よいしょっと
うさぎ,おぉ凄い、わずかな凹凸を利用して壁をよじ登っている！
王子,全員、神殿内に入ったな。よし、探索にとりかかるか
うさぎ,うーん、道は３つか…。……ん？。まさか！ダンジョン内で迷ってる女がいるのか！？。こっちの道だ！
王子,うさが走り出した！全員、続け！
うさぎ,無事でいろよ…って！！
王子,どうした、うさ？
うさぎ,群れがこっちに来る！
王子,…！魔物だ、行くぞ！
うさぎ,この体、トレジャーハントには不便かと思ったけど、聴力と素早さが上がったのは割と便利。おぉ。白兎騎士団、結構強いじゃん。あっという間に魔物をやっつけた
王子,怖かっただろう、うさ？だが安心しろ、俺がお前を守る
うさぎ,……。全く、格好つけちゃって……本音はよしよし怖かったでちゅね、うさちゃ～んｽﾘｽﾘだろ。声が近くなっている。よし、助けられる！。！！
闇神官,私は闇神官。この神殿を守る者。人間風情がここまで来れるとは、正直驚きましたよ
うさぎ,だって罠、そんなに無かったよね？
闇神官,貴方達、分岐路の多い道から正確なルートを辿ってきましたね？そんなことができたのは、貴方達が初めてですよ
うさぎ,分岐路…あぁー、違ったルートだったら罠にかかってたのか。ナルホド
王子,俺たちは守護天使の盾を探している。そこをどいてもらおうか
闇神官,そうはさせませんよ……！！
王子,！！
うさぎ,！！
王子,大丈夫か、うさ！
うさぎ,な、何とか……
闇神官,この忌々しい神器、破壊どころか、我々魔物は触れることすらかなわない。なので私はここで、神器を求めて来る人間を排除しているのですよ！
王子,奴の攻撃、広範囲型か…数で押しても無駄だな。こいつは俺がやる！全員、物陰に避難して援護を！
闇神官,はああぁ！
王子,でりゃああぁぁ――ッ！！
うさぎ,すげぇ！魔法を一刀両断した！
闇神官,やりますねぇ！ですがこちらも魔王様にこの場を任された身、貴方には負けませんよ！
うさぎ,王子……！
闇神官,ふふふ！守るだけでは勝てませんよ！
王子,確かにお前の言う通りだな
闇神官,……！？
うさぎ,な、何あれ！？剣が光ってる！あの光って、闇神官の魔法そっくり……
王子,俺は魔法を切っていたわけではない。吸収していたのだ
闇神官,きゅ、吸収…！？
王子,お前のように、近づくことすら困難な敵には効果的だ。こうやって……
闇神官,カハ…ッ
王子,同じ性質の技を、倍にして返す。単純な話だろう？
騎士団の面々が姿を現して王子を気遣うが、王子は相変わらずの涼しい顔で,大丈夫だ
うさぎ,……。やるじゃん、王子…。どこが凡人だよ
王子,どうした、うさ。俺に見惚れていたのか？
うさぎ,～っ。そんなこたーどうでもいい！早く、声の主を助けないと。確か、こっち……。あれ？
王子,これは間違いない、守護天使の盾だ
うさぎ,それも大事だけど、人助けをしないと……。……へ？ありがとう？。まさか……。盾の声を聞いたってのか…？。どーよ！崇めてくれて構わんよ！
王子,全部、うさのお陰だ。今日はご馳走だからな
うさぎ,よっしゃあ！
兄,王子
姉,よく戻ったわね
王子,兄上、姉上
うさぎ,どうだ、見たか！あんたらがバカにしてた弟は見事に……
姉,……良かったわ
うさぎ,え？
姉,私、王子が無事なのか心配で心配で……
兄,あまり重要な任務はお前に任せたくなかったのだが……よくぞやった、王子！
うさぎ,…んー？
王子,俺が凡人なばかりに、２人から信頼を得ることができない
うさぎ,いや…あの２人、単純に王子の身を案じてるだけじゃないか？ちょっと伝え方が不器用なのと、過保護なだけで……
王子,今回だって、全部うさちゃんのお陰だよぉ～、俺は駄目なんだぁ～
うさぎ,甘えん坊だなー、こいつ
末姫,お兄様ーっ！
王子,コホン。おぉ末姫、どうし……
末姫,お兄様ぁ！
王子,！
うさぎ,わお
末姫,聞いたよお兄様、神殿のボスを１人でやっつけたんでしょ？えへへ、やっぱりお兄様は凄いなぁ～
王子,……俺など、凄くはない
うさぎ,いや凄いって。何でこんなに自信ないのかねぇ、王子は。あー、尻を叩いてやりたいわ
王子,…俺には、お前のような剣の才能はない。俺の剣術には、正攻法で勝つ力がない。……王族の者としては恥である、姑息な剣術だ
うさぎ,姑息……？。でも、あの剣術があったから闇神官に勝てたんじゃん！もっと自分を誇っていいよ！
王子,俺に、お前のような才能があれば……
うさぎ,そうじゃねぇっつーの！！ああぁ、言葉を伝えられないのがもどかしいーっ！！
末姫,お兄様は、凄いよ！
うさぎ,お？
末姫,それはお兄様が身につけた"技"だもん、十分に誇れるものだよ！もっと自信持ってよ、お兄様！
王子,末姫……
うさぎ,そうそう。……それ、私が言いたかったのになー。やっぱ、幻聴じゃないんだな…。うさぎの聴力って凄いんだなぁ。おかげで忙しいけど、まぁいっか
王子,うさちゃんは凄いなぁ～…
うさぎ,何せ私は、白兎騎士団以外の騎士団にはデレないもんね。そうやって王子の株上げに貢献してるんだぞ～
王子,どうして俺なんかに懐いてくれるのかな～？不思議だなぁ……
うさぎ,自分を卑下すんじゃねぇよ！
王子,あたた。…なぁ、うさちゃん
うさぎ,ん？
王子,正直、うさちゃんの能力についてずっと半信半疑だったけど、今なら言える。…その能力で、盗賊を探せないか？
うさぎ,！
王子,兄上達は、行方不明になってから日数が経っているから諦めろと言う。だが、俺は……
うさぎ,……
王子,いたたっ、な、何！？
うさぎ,もう、本当にこいつは…どうしてこんなに私なんかのことを気にかけるんだよ！
王子,うさちゃん……？」
うさぎ,もう"盗賊"はいないの！
王子,まさか…無理だ、って言ってる？
うさぎ,そう！
王子,………。うさちゃ～ん……
うさぎ,どうしたよ
王子,俺はつらい…誰も死なせたくないのに
うさぎ,この時代にそれは現実的じゃないぞ。死体とか飽きる程見てきたし
王子,……盗賊は、可愛らしい娘だった
うさぎ,な！？
王子,彼女の人生を思うと、つらい。貧しい生活を送り、最期はダンジョンの中で人知れず……
うさぎ,………
王子,…彼女に仕事を依頼した中央国に、大きな責任がある。俺も、加害者の１人だ
うさぎ,仮に死んでたとしても、私はあんたを恨まないのに
王子,加害者の俺が彼女を悼むのは偽善でしかない。だが…それ以外に何もできない。俺は無力だから……
うさぎ,……ほんとに、王子は弱いな。優しすぎるんだね、王子は。私が側にいるから、癒されなよ。盗賊よりうさぎの方が、ずっと可愛いだろ？
末姫,うさちゃあぁ～ん、助けてぇ～！！
うさぎ,何だよぅ
王子,末姫。確か神器を揃えて魔王城に向かったはずでは…
末姫,あのね、魔王城ね、色んな謎解きとか仕掛けがあって進めないの！もー、イライラするーっ！！
王子,なるほど、それはお前にとっては頭が痛い問題だな
末姫,だから、ね！うさちゃんに助けてほしいの！
王子,うさを連れて行くなら俺も行くぞ。足を引っ張るだけなので、魔王戦には参加できんが
末姫,オッケー、オッケー！よっしゃ、もう逃がさないよ魔王！
王子,魔王が逃げるわけないだろう
うさぎ,魔王城か…難易度ＭＡＸだろうなぁ
兄,王子が魔王城に…くっ、動悸が
姉,無理しないで、怪我したら帰ってきなさいね？
王子,俺は…何て信用がないんだ
うさぎ,２人のあの目は慈愛の目だろ、よく見ろアホ！！
末姫,じゃじゃーん、ここが魔王城でぇーっす！
うさぎ,うっわー。何かヤな雰囲気……
末姫,ん、何、戦士？え、疲れた？わかった。皆ぁ、各自休憩！
王子,呑気なものだな……
うさぎ,強者の余裕なのかねぇ。ま、流石に誇張してるだろうけどね
王子,うさ、怖くないか？木陰で少し休もうか
うさぎ,まぁ私は大丈夫……ん？
王子,魔物か！？
うさぎ,………
王子,………。う、う、うううぅぅうううううぅぅぅううぅぅぅ
うさぎ,あ、これヤバい
王子,うさくぁwせdrftgyふじこlp；！！！
うさぎ,うさ萌え野郎が発狂したぞ！！
王子,ああぁぁ可愛い可愛い可愛い可愛い
うさぎ,誰もいなくて良かったなー…
王子,幸せだ…もしこれが魔王の罠だったとしたら、俺は喜んで死ぬだろう
うさぎ,めっちゃ踏まれてるじゃん、うさぎの群れに
黒うさぎ,失礼
うさぎ,お？
黒うさぎ,貴方様はこれから…魔王城に乗り込まれるのですか？
うさぎ,まぁね。あ、うちのうさ萌え野郎がゴメンな
黒うさぎ,いえ。人間に癒やしを与えるのも、我らうさぎ一族の役目。我々も魔王の討伐と世界平和を望んでいるのです
うさぎ,そうなのか。うさぎも大変だねぇ
黒うさぎ,彼が、貴方様を守護する方ですか？
うさぎ,そう。あぁ見えて、頼れる奴だよ
王子,うさぁ～
黒うさぎ,微力ながら…我々うさぎ一族から、彼に祝福を……
王子,いて、いててっ！あぁもう、無邪気だなぁ！！
うさぎ,うさパンチかい。まぁ王子が幸せそうならいいけど
末姫,お兄様、土埃まみれだけど大丈夫？
王子,気にするな。転んだだけだ
うさぎ,自ら寝転がってうさぎに踏まれたんだけどな
末姫,でねー、前に来た時はこの行き止まりから進めなくなったんだけどねー
王子,割と早い段階だな
うさぎ,ん…？何か罠がある予感……
末姫,でね、このボタンをポチッと押したらね
うさぎ,ちょ、それ、罠！！。
末姫,こうやって巨大からくり兵が現れる仕掛けでね
王子,わかってて押すな！！……って、危ない！！
末姫,うっさいわ！
うさぎ,えっ
末姫,一杯倒したら次の道が開けるかな～と思ったんだけど、１００体倒しても駄目で。諦めちゃった
王子,多分、その攻略法間違っているぞ
うさぎ,ワンパンで倒した……
王子,うさ、わかるか？
うさぎ,これは……
末姫,どこ行くの、うさちゃん？
うさぎ,ここをこう行ってこう行って……
王子,…？さっきの場所からどんどん離れているな
うさぎ,ここだ
末姫,あ、階段
王子,……
末姫,ありがとう、うさちゃん！よし、新しい道が開けたわ！
王子,単純に道を間違っていただけかあぁ！！
末姫,何よー。こんだけ広いんだから仕方ないでしょー
うさぎ,このパーティーは全員、方向音痴かい。こりゃ魔王の所までお守りする必要あるな……。ん
王子,どうした、うさ
うさぎ,この壁……
王子,む、壁の間から光が漏れているな。これは隠し扉か
末姫,どうやって開けるの？
王子,見ろ、ここに数字盤がある。恐らく、この階のどこかにヒントがあるはずだ
末姫,めんどくさっ。何でわざわざそんなことするのよ？
うさぎ,魔王の遊び心だと思うよ
王子,不満を言っていても仕方ない、ヒント探しを……
末姫,イヤ。あんまり歩き回りたくない
王子,あのな…。仕方ない、じゃあお前はここで待って……
末姫,ううん、探しに行く必要がないのよ。見てて
王子,？
うさぎ,？
末姫,だりゃあああぁぁっ！！
うさぎ,
末姫,あちゃー、一擊じゃ無理かぁ。まぁ何度か殴れば破れるでしょ、おらああぁ！！
うさぎ,堅い壁を…破壊している……。大丈夫、回避できるポイントが……
末姫,よっと
うさぎ,片手で止めた…！！。火除けに、そこらにある岩を転がして……
末姫,らあああぁぁ！！
うさぎ,！？剣風で火を消しながら像に接近して……
末姫,あっついじゃないのよっ！
うさぎ,破壊したー！！
末姫,はいはい
うさぎ,あー、うん、舐めプだよね
王子,流石、末姫だ。それに比べ、俺は……
うさぎ,いやいやいや！末姫が異常だから！あれと比べて卑屈になるの絶対間違ってるから！！
末姫,何か、魔王に近づいていってる感じがするよー♪うさちゃんのお陰だねー♪
うさぎ,いやいやいや、それ以上にあんたが凄いから
末姫,あ、この扉も開かないね。よーし、破壊を……
うさぎ,やめい、この扉はそうじゃなくて……
王子,これも何度か見かけたことある仕掛けだな。魔法で開かない仕組みになっている
うさぎ,そうそう、力技じゃ無理
末姫,あ、それなら。任せて！
うさぎ,お、魔法？
王子,おぉ開いた。末姫、何をした？
