周りの人々,キャーお助けえー頃されるー
響,うーん……あ、生きてる！ねえプロデューサーこれって！
P,ああ。今日からオルフェノクの仲間入りだな
響,やったー！
高木,おめでとう我那覇くん。これは私からのプレゼントだ。受け取りたまえ
P,なんですかこのアタッシュケースは
高木,これはね、ファイズギアだよ
響,ふぁいずぎあ？
高木,我那覇くんはこれを装着すればファイズというオルフェノクと戦う戦士になれるんだ。これで悪いオルフェノクと戦いなさい
響,おお、正義の味方みたいでかっこいいな！
P,そんな、戦うなんて危険では……
高木,でも考えて見たまえPくん。もしそのファイズの正体が我那覇くんだと世間が知ったら……
P,正義のアイドルか……悪くないな
高木,さらにその正体がオルフェノクだということも知れ渡れば我々のような善良なオルフェノクも市民権を得られるというわけだよ
P,な、なるほど！さすが社長！
高木,では我那覇くん。まず手始めにオルフェノクを量産するために人間を頃したまえ。その中から人間を襲うようになったオルフェノクだけファイズの力で倒しなさい
響,ええっ！自分で仲間を増やして自分で頃すのか！？
高木,どうせ先程の我那覇くんのように力に飢えた人間はたくさんいるんだ。力を与えた上で生き残れないのならまさに下の下。違うかい？
響,な、なるほど……。確かにそんな奴は生きてても仕方ないぞ……
高木,さすがうちのアイドルは上の上だねえ
モブ1,なんか最近怪人が現れてるらしいよな。物騒だなあ
モブ2,ほんとほんと。八重歯がすごい尖ってる怪人って噂だけど、見つけたら俺が退治してやんよ
響,……
モブ1,ははっ、頼もしいなおい
モブ2,……
モブ1,ん？どうした？
モブ2,で、出たああああ！！！！
響,……
モブ1,ほひっ
モブ2,体が、は、灰に！？
響,ハズレだぞ…
モブ2,助けてくれ！誰かあああ！！
響,うるさいぞ
モブ2,ぐぇ！
響,おっ。こいつは来たな
モブ2,あ、あれ？生きてる？しかも、なんか力が……
モブフェノク,……この力があればあんなことやこんなことも思いのままじゃねえか！ヒャッホイ。そうときまりゃそこのコンビニに……。おらー！金出さんかい！！
コンビニ店員,うわああ！！ちゅ、ちゅうかなんだっつうのこの化け物！！
モブフェノク,やかましい！
響,……変身
モブフェノク,おめぇも灰にしてやんかぁ？
コンビニ店員,ちゅうかやめろ化け物！このばかあん！
響,待て待て待てーい！！店員さん、早く逃げて！このファイズがこんな化け物蹴散らしてやるさー！
モブフェノク,な、なんだお前！？
響,どっせい！グランインパクト！
モブフェノク,えんびっ
コンビニ店員,な、なんか知んねえけど、助かっちゃった……みたいな
響,じゃあね店員さん！アッ、故意ではない落とし物がっ！これは急いで逃げないといけないぞ！
コンビニ店員,おいおいおいなんか落としてったっちゅうの。ん？765プロ所属我那覇響……？
P,響！取材が山ほど来てるぞ！
高木,どうやら正義の行いが実を結んだようだねえ。我那覇くん、取材に答えてやりたまえ
記者,あ、我那覇さん！日夜オルフェノクと呼ばれる怪人を退治しているという噂は本当なんですか！？
響,ええ！？うー、バレたらしょうがないぞ……うん。実はそうなんだ
記者,や、やっぱりそうなんですね！？これはすごいニュースだ！早くあの怪人どもを根絶やしにしてくださいね！
響,……そのことなんだけど、実は、自分もオルフェノクなんだ……
記者,エエッー？！
響,で、でも、オルフェノクも悪い奴ばっかりじゃないんだぞ。困ってる良いオルフェノクもいっぱいいるんだ。だから……
記者,……わっかりました！俺、絶対オルフェノクを擁護する記事書きますよ！破壊行動をしない呼びかけのためにも！よーし！あ、これ差し入れの餃子です。これ食って頑張ってください！
響,うう……ありがとうだぞ……
P,いやああの記事のおかげで響の人気も鰻登りですよ。ファイズの握手会まで行われるなんて
高木,うんうん。さすが我那覇くんだ。これからは美しいオルフェノクの社会を築き上げていこうじゃないか
響,みんな一列に並んでくれー！こんなにごちゃごちゃしてたらアクセルフォームでもおっつかないぞー！
黒井,クソッ、高木め！
冬馬,おいおっさん！765プロに全部仕事とられてんじゃねえか！
黒井,あれは高木が仕組んだんだ！
冬馬,お、おっさん！オルフェノクだったのか！？
黒井,あれは私がまだ奴と共に働いていたころ、私は奴にこの姿にさせられたんだ……！
冬馬,な、なにい！？
黒井,奴はオルフェノクの力で芸能界でのし上がっていった。暴力の支配でな。そして仲間を増やすために私に手をかけたのだ……！
冬馬,そ、それじゃあいつも765プロが汚い手を使ってるっていうのは本当だったのか！でもなんでそれを公表しなかったんだ！
黒井,オルフェノクが差別されるからだ！この世には本当に良いオルフェノクもたくさん居る
冬馬,だ、だからって……！
黒井,オルフェノクを増やして人間を襲わせるのが高木の手口だ。頼む、何も言わずにこれを付けて765プロを倒してくれ……！
冬馬,これは……？
黒井,デルタギアだ……。これを付ければお前はあの我那覇とかいうアイドルと同等の力を持てる
冬馬,じゃあおっさんが戦えばいいんじゃ……
黒井,私はもう歳だ！
冬馬,そうか……。わかったぜ。でもなんでおっさんは765の社長に野放しにされてるんだ？
黒井,私の担当アイドルを差し出すことでどうにか高木の支配から抜け出したんだ。彼女には悪いことをした……
冬馬,クソッ、765プロ、許せねえ！
黒井,くれぐれも気をつけるんだぞ
冬馬,ああ、任せとけよ。俺はあんな連中に負けたりしねえ！
黒井,オルフェノクと人間の未来は頼んだぞ……！。（バカをやったな、高木。所詮正義のアイドルと言えどオルフェノク。本物の人間でなければ正義などとは言えんのだよ！）。（私は人間とオルフェノクの社会を牛耳ってやる……！ハーッハッハッハッハ！！）
響,最近はオルフェノクも増えてきたし、ファイズになって倒すだけだから楽になったなー
ババア,ひいふう……
トラック,ブオオオオン
モブ,あ、おばあちゃん危ない！
ババア,ひぇっ
モブフェノク,とうっ。居眠り運転か……。もう大丈夫だよおばあちゃん。
ババア,あ、ありがとねえ。良い物の怪もいるって本当なんだねえ
モブフェノク,いやあそんなこと
響,おいお前、そこのおばあちゃんから手を離せ！変身！
モブフェノク,えっ。誤解だ！俺は今おばあちゃんを助けて……
響,嘘をつけ！そんなこと言って、どうせ自分の手で頃す気だろう。死ぬがいいさ！
モブフェノク,ひいいい！
冬馬,変身！。おいお前逃げろ！こいつは俺がなんとかする！
モブフェノク,うわああああ
響,おいお前。正義の味方の邪魔をするとはどうなるかわかってるのか？
冬馬,何が正義だ！様子を見ててよかったぜ。この外道！おとなしく灰になりやがれ！
響,うがっ！？こ、こいつ、強いぞ……。勝負はあずけたさー！
冬馬,あ、待ちやがれ！逃げんな！
響,うぎゃー、社長！なんか黒いファイズみたいなのに襲われたぞー！
社長,黒いファイズ……？なるほど、黒井め、やはり来たか
P,なんなんですかその黒い奴は？
社長,黒井が持ってる変身ベルトだよ。デルタという戦士だ。みんな、黒井には注意したまえ。奴はオルフェノクと人間を同時に支配しようとしている
響,自分、そんな奴には負けないぞ！
社長,ああ。優れた生物しか生き残れないというのに、まったく困った奴だ
P,ところで、今日は新しくプロデューサーがもう一人増えるんですよね？
社長,おおそうだった、忘れていたよ。おーい、入って来たまえ
響,新しいプロデューサーかあ。どんな人か楽しみだぞ
草加,みなさん初めまして。草加雅人です。よろしくお願いします
響,よろしくなー。自分、我那覇響だぞ！
草加,ははは、存じ上げていますよ。それにしても、テレビで見るよりずっと綺麗だなあ……
響,えっ……
社長,仕事については先輩であるPくんに良く聞いておきたまえ
P,これからよろしくな草加くん
草加,ええ。精一杯頑張ります
響,（な、なんか悪人面だけど、ちょっとカッコイい人だな……）
P,よし、じゃあ今日は早速テレビ局まで響を連れていってもらおうかな。頼んだよ草加くん
草加,はい。では車を出します行きましょう我那覇さん
響,あ、うん！
草加,我那覇さんは悪いオルフェノクを倒してるんだって？すごいなあ
響,そんなことないぞ！やっぱり人間は守らないとね！
草加,オルフェノクでありながら、ね。でも、本当はオルフェノクのほうが人間より優れているのかもしれないね
響,え？///
草加,我那覇さんみたいなオルフェノクが増えたら、きっとみんなそう思うだろうなあ……
響,ま、まあ自分完璧だしな！それに、じ、自分もオルフェノクのほうが人間よりすごいって思うぞ！
草加,……。やっぱり、仲間が増えたら良いのに、とか考えたりするのかな……？
響,そうだな。いっそみんなオルフェノクになれば良いのになー。あははっ
草加,……！
響,うわ！どうしたんだ急にブレーキなんかかけて！普通の人間なら危なかったぞ！
草加,……やはり貴様もただのオルフェノクか……！
響,えっ……
草加,変身
響,うぎゃー！。お、お前も961プロの手下だったのかー！？
草加,961プロ……？なんのことだかわからないなあ……
響,（べ、ベルトはないからオルフェノクになって戦うしかないぞ！）
草加,いいやああああああああ！！！！
響,あぼっ
草加,俺はオルフェノクを許さない……！
P,あれ、もう戻ってきたのか？
草加,うう……
P,な、何があったんだ草加くん！そんなに傷だらけになって！
草加,オルフェノクを悪く言ったら……我那覇さんが急に……
P,なんだって！と、とりあえず響を探そう！
草加,俺も、行きます……ハアハア
P,無理だ！そんな体じゃ……
草加,大丈夫です……！行きましょう……！
P,……わかった。車を出そう。俺が運転する
草加,……ありがとうございます
車,ブーン
P,それで、響に襲われたのはどこなんだ？
草加,向こうの採石場です……
P,採石場……？まあいい、万が一のためにファイズのベルトも持ってきたし、なんとかなるだろう
草加,……765プロの社員は、みんなオルフェノクなんですか？
P,いや、みんながそうなわけじゃない。ここだけの話、俺と社長だけだ
草加,……そうですか
P,（響……いったいなぜ……）
草加,着きましたね。このあたりです
P,おーい響ー！どこへ行ったー！草加くん、君は向こうを探してきてくれ
草加,はい
P,（オルフェノクになって飛んで探すか。ここなら人目につかないだろう）。とうっ。うーん……人間はおろかオルフェノクも見つからないなあ……。ん、あれは！！。これは……響のイヤリング……？。なんでこんなところに落ちて……。やはり響の身に何かあったのか……！？
草加,変身！。フン！
P,ぐわあっ！！お、お前、何者だ！？
草加,ハッ
P,うおっと！くそう！
草加,飛べるタイプか……面倒だなあ……
P,（車にファイズギアを積んでおいてよかった！急いで取りにいかないと！）。あいつだけ剣みたいなの腰についててズルい！俺は二輪免許持ってないからバジンに乗れないんだぞ！。ファイズギア……あった！装着！。変身！
草加,（ちっ……ベルトを回収しておけばよかった）
P,待たせたな！戦う前に聞くが、お前の目的はなんだ！
草加,オルフェノクを根絶やしにする……！
P,（そうか！こいつが前に響を襲った例の黒い奴か！）。お前の好きにはさせん！
冬馬,あれは……ファイズ？たまたま採石場にきて良かったぜ！変身！。ファイア！
P,ひでぶ！く、クソ、仲間も居やがったのか！
草加,デルタ……！
P,ええい！。逃げる！
冬馬,あ、待て！待ちやがれ！クソーずるいだろあんなに速いの……
草加,……お前、オルフェノクか？
冬馬,違う。俺は765プロの悪行が許せないただの人間だ。あんな連中、人間にとってもオルフェノクにとっても敵だ。そういうあんたは？
草加,……俺も人間だ
冬馬,（変身を解いたな。信用しても良さそうだ）
草加,実は俺も765プロを潰そうとしているんだ。俺たち、気が合うんじゃないかな……？。そのベルトはどこで？
冬馬,……あんたには話しても良さそうだな。これは961プロの物だ
草加,961プロの？ああ、見たことがあると思ったら君はジュピターの天ヶ瀬冬馬くんじゃないか
冬馬,ケッ、よく知ってるな。最近は765プロに全部仕事奪われてるってのによ
草加,実は俺は765プロのプロデューサーなんだ
冬馬,なに？
草加,誤解しないでくれ。俺は765プロを中から潰そうとしているだけだ。感づかれて我那覇響に襲われたけどね
冬馬,そうなのか……。あの我那覇って野郎は罪のないオルフェノクまで手にかけようとしやがった。俺にはそれが許せねえ
草加,……もしかすると、961プロの社長はオルフェノクなんじゃないかな？
冬馬,そうだ。よくわかったな
草加,……。落ち着いて聞いて欲しい。君は利用されているんだ。黒井社長に
冬馬,おい！おっさんを悪く言うんじゃねえ！
草加,俺も今の話を聞いて信じたくはなかったが、俺は765プロで聞いてしまったんだ。高木社長と黒井社長が裏で繋がっていることを
冬馬,なんだと……？
草加,オルフェノクを良く思う人間とそうでない人間、両方の派閥をつくり、情報操作をしてこの世を支配するつもりなんだよ
冬馬,う、嘘だ……おっさんが……
草加,今は信じてもくれなくてもいい。まだ俺の正体もバレてはいないしね。けどもし君が……うっ！
冬馬,お、おい大丈夫か！？
草加,あ、ああ。すまない。大したことはないがさっきファイズにやられた傷がね……。俺は、オルフェノクと人間が共存できる世界を作りたいんだ……！
冬馬,！
草加,君もそのつもりなら、黒井社長の言うことを信じないほうが良い……。そろそろ俺は765プロに戻る。さよならだ
冬馬,……。（あいつの言うことが本当なら、そもそもオルフェノクはただの悪じゃないか……。でも、それならトラックからばあさんを救ったオルフェノクは……）。ちくしょう！！
P,あー死ぬかと思った。デルタってのはどっちなんだよ全く……。あ、草加くん置いて来たゃったな
社長,おお、戻ってきたかね君。我那覇くんは見つかったのかい？
P,見つかりませんでした。それより社長！ファイズそっくりの奴に襲われたんですよ！しかも二人！
社長,なんだと？ふーむ……。丁度良かったかもしれん。実はね、武力拡大をしたところなんだよ。これを見たまえ
P,このベルトは……
社長,これはファイズのベルトの量産型といったところか。ライオトルーパーという。我が社のアイドルたちに頑張って貰おうというわけだよ。全部で六本ある
P,す、すごい。これだけあればまたあいつらが襲ってきても……
社長,だが、用心はしてくれたまえよ
草加,ただいま戻りました
P,お、草加くん！悪かったな置いてきて。ちょっとアクシデントがあって……
草加,いいえ。ところでこのベルトは……？
社長,おおそうだ！草加くんにはこのベルトを二本預けよう。一つは君が使いたまえ。もう一つは君の担当アイドルに
P,それを装着すればファイズみたいな力を持てる。物騒だから宜しく頼むよ。万が一また響に襲われたらこれで対処してくれ
草加,なるほど……。わかりました。責任を持って預からせていただきます
P,（早く響の行方を知りたいが、今外を出歩くのはちょっと危険だな。今日は会社に泊まろう）
社長,我那覇くんは捜索願を出そう。有名人だからきっとすぐ見つかるはずさ。草加くん、今日は大変だったろうから家に帰ってゆっくり休みたまえ。後のことはこちらでなんとかしておこう
草加,ありがとうございます。それでは、失礼します。やあ、冬馬くん
冬馬,あ、あんたはさっきの……えっと……
草加,草加雅人だ。冬馬くん、君に渡したいものがある。このベルトだ
冬馬,な、なんだよこれは？
草加,新しいベルトだ。これを使って君は仲間と一緒に戦って欲しい。生憎俺は今自由に動けなくてね。君が持っていたほうがいいだろう
冬馬,そりゃありがたいが……
草加,確かジュピターは三人ユニットだったね。丁度よかった。どうだい？これで少しは俺のこと信用してくれたかな……？
冬馬,（……わからねえ、こいつ本当にオルフェノクと人間の共存だけが目的なのか？）
草加,じゃあ、また今度会うときにでも君の考えを聞かせてくれ。さよなら
冬馬,……
草加,（俺が……俺が必ずトップアイドルにしてやるからな……！）。真理……！
真理,草加くんっ、私ね、アイドル目指すことにしたの！
草加,へえ、良いじゃないか。真理なら絶対にトップアイドルになれるよ。俺が保証する
真理,ありがとう！美容師なんて儲からないしやってられないよね。さっそく今日芸能事務所に面接に行くんだ
草加,そうか。頑張れ、真理
真理,うん！
高木,うーん……。君、そのリスみたいな頬はどうにかならんのかね？ハッキリ言って芸能界に来ても苦しむだけになるだろう
真理,……
黒井,ハーッハッハッ！その餌袋みたいな顔をどうにかしてから出直してくるんだなあ！
真理,……。草加くん……私、アイドルにはなれないのかな……
草加,そんなことはない！真理、俺が必ず君を輝くステージに連れて行くよ。それまで待っててくれ！
真理,草加くん……！
草加,（真理の魅力がわからないなら、オルフェノクは存在しないほうがいい。幸いカイザのベルトは父さんが送ってくれたが……）。（スマートブレインは高木と黒井に乗っ取られた……！残りのベルトとともに……！）。許さん……あの二社を乗っ取って、俺と真理の楽園にしてやる！。そのためにはまずあの天ヶ瀬冬馬を抱き込まなければ……！待ってろ真理！今大人になる道の途中だ！
冬馬,北斗、翔太。話がある
翔太,どうしたの冬馬くん
北斗,怖い顔だなあ。女の子に逃げられちゃうよ？
冬馬,実は……
P,そういえば事務所に泊まるのって初めてなんだよなあ。確か毛布くらいはあったはずだが……。！？窓が割れた！？
冬馬,おいそこのおっさん！ファイズはどこだ？
P,あ、採石場で襲ってきた奴！こんなこともあろうかとスタンバイしといて良かったぜ！変身！
冬馬,そうか、我那覇響以外もファイズになってたんだな。まあいい、行くぞお前ら！
北斗,チャオ☆
翔太,本当に変身できるんだねー。僕驚いちゃった
P,あれ！？うちのライオトルーパーじゃん！つーか三対一は卑怯だって！
冬馬,さんざあくどいことやっといて言う台詞じゃねえなあ。覚悟しやがれ！
P,（俺はやってないのに……！万事休すか）
やよい,うっうー！へんしん！。プロデューサー、大丈夫ですか！？
P,や、やよい！？なんでまだ事務所に！
やよい,便秘です！それより早く逃げましょーう！
P,あ、ああ！つかまれやよい！
冬馬,あ、またそれかよ！ずるいだろやっぱり！
北斗,あーあ。でもま、敵の本拠地はわかってるんだし、また次があるだろ
翔太,うんうん。それに向こうはいっつも誰といるかわかんないんだし、草加って人もいるんでしょ大丈夫だって
冬馬,チッ……
P,ありがとうやよい。助かったよ
やよい,そんな、全然です！ところでプロデューサー
P,なんだ？
やよい,今まで響さんがファイズっていうのになって、あのおるふぇのく？っていう怪人をやっつけてるんですよね？
P,あ、ああそうだぞ
やよい,それって、もうファイズさんがやらなくても良いんじゃないかなーって
P,ん？どういうことだ？
やよい,だってこの前、美希さんが外で食べてましたよ？その怪人さんたち
P,はあ？。オルフェノクを食べてた？
やよい,はい！バリバリーって
P,なんだそれは……。社長に電話して聞いてみよう。あ、もしもし社長。実はかれこれこういう訳で
社長,そ、それは本当かね君！？もしそれが本当なら美希くんは私たちオルフェノクの王だよ！
P,オルフェノクの王？
社長,良いかね。我らオルフェノクはどうやら人間が進化した姿らしい。しかし急激な肉体の進化によってその寿命は大幅に削られてしまったんだ
P,初耳ですよ！じゃあ俺たちもうすぐ死ぬんですか！？
社長,ところが、オルフェノクの王が目覚めれば我らは死なない完璧な生物になれるんだよ。そしてその王が美希くんというわけだ
P,目覚めればって……どうなったら目覚めるんですか？
社長,オルフェノクのエネルギーを吸収するんだ。こうしちゃいられん。明日から美希くんのところへ適当なオルフェノクを送り込もう
P,やよい、どうやら美希はオルフェノクの王らしい
やよい,はわわっ、王様ですか？すごいです！
P,ああ、しかも美希が成長すればオルフェノクは死なないで済むらしいぞ！
やよい,ええー！ちょっとビックリかもですー！あ、でもでもー私たち人間はどうなっちゃうんですか？
P,え？
やよい,オルフェノクさん達、怖い人ばっかりだからちょっと心配ですー……私たち、大丈夫なんですか？
P,それは……
やよい,あ、でもでも、プロデューサーはファイズさんなんだから守ってくれますよね！うっうー、安心ですー！
P,……
やよい,……プロデューサー？
P,あ！お、おお任せとけ！
美希,おはようございまーす。あふう
社長,おお美希くん！待ちわびたよ。ささ、こっちの部屋に来たまえ
美希,えー、美希眠いのに。仕方ないなあ
モブフェノク達,グギギ……
美希,ひっ！？
社長,さあ！思う存分食べたまえ！いやあ、私も歳だねえ。この連中を集めるのに随分苦労したよ。痛めつけてあるから安心しなさい
美希,え……た、食べるって、どういうことなの……？
社長,ふーむ。自覚は無いのか。しょうがない
美希,え……社長……まで……
社長,おお……素晴らしい……
モブフェノク達,ギヤアアアアアアアアアアアア！！！！
美希,ウウアッ
冬馬,な、なんだこの声は！？765プロからだ！変身！
社長,いいぞ、王よ。もっと食べてくれたまえ
冬馬,おい！何してやがる！
社長,んん？ああ、黒井のとこの……
モブフェノク,あ、あんたあの時の……助けて……
美希,ンウウ
モブフェノク,えは
冬馬,（オルフェノクを……食ってる！？）
社長,王の前だぞ。静かにしたまえ
冬馬,う、うるせえ！それより今すぐそいつらを解放しろ！
社長,やれやれ若造め
冬馬,チェック！。うおおおおおおおお！！
社長,……ティン！
冬馬,グハッ！！バカな！これで倒せなかった奴なんて……
社長,私をそこらのオルフェノクと一緒にしないでもらいたいねえ
冬馬,（俺は……ここで死ぬのか……？）
社長,どうやら君は人間のようだ。私に頃されてオルフェノクになれば良し、でなければ、そこまでの命だったということだ
草加,変身！
高木,むっ
草加,ほら、デルタギアだ！
冬馬,あ、あんた……
草加,逃げるぞ！
高木,ま、待て！どこへ行くんだね！？我が765プロはいつでも君を待ってるぞー！
冬馬,……
草加,危なかったな。あの高木社長は特に強いオルフェノクらしい。無理もないさ
冬馬,あいつ、オルフェノクを食ってた……
草加,なに？
冬馬,奥に居たバッタみたいなオルフェノク……あいつが……
草加,どういうことだ？
冬馬,わからない。ただ、王とか呼んでた……
草加,王だと……？
P,あー！考え事してたら寝れなかったよ遅刻遅刻！
冬馬,ふん！
P,きゅう
草加,よし、連れて行こう
P,う、うーん……。ハッ、どこだここは？
冬馬,……
草加,廃工場だ。良いか、質問に答えろ。逆らったら命はないと思え
P,え、草加くん！？それにジュピターの……
草加,オルフェノクの王について知っていることを全て話せ
P,な、なんのことだ
草加,とぼけるな！
P,痛い！わかった、話す、話すから！かくかくしかじか
冬馬,オルフェノクが死ななくなるだって……？
草加,なるほど……。それであんなに大勢オルフェノクが事務所に居たわけか……
P,頼む、命だけは……
草加,良いだろう。その代わり条件がある
P,な、なんだ？
草加,俺と一緒に高木を倒せ。そして俺が765プロの社長になる
P,ええっ、社長を！？無理無理あの人超強いんだから！殴っても薔薇になって消えるし！
草加,なら今ここで死ぬか……？
P,や、やります……。た、ただこっちもお願いが……
草加,なんだ？
P,で、できたらデルタギアで戦いたいかなーって。一番強そうだし……
冬馬,ファイズギアはオルフェノクしか使えないんだろ？じゃああんたしか居ないだろ
P,はい……
草加,よし、それじゃあ行くぞ
美希,うーん……あれ？ミキ寝ちゃってたんだ
高木,起きたかね
美希,あ、社長。おはようございますなの。ミキね、社長が怪物になる夢見ちゃった
高木,ハハハ、おいおい人を勝手に怪物にしないでおくれよ。お、電話だ。Pくんか。もしもし
P,あ、社長。すみません、あずささんが採石場で迷子になっているらしいので迎えに出れませんか？
高木,うーむ仕方ないな。採石場だね。わかったなんとかしよう。おうい三浦くーん。人っ子ひとり見当たらないではないか
P,たあせいとうやあたあたあとう！！！。うおらあああああ！！！！
高木,ぬへっ
草加,いいやああああああ！！
冬馬,そおい！！！！
高木,ぽっ
P,あ、あれ？意外と倒せた……
草加,これで765プロは俺の物だ……！俺に服従してくれるかな？Pくん
P,は、はい。わかりました
冬馬,お、おい！それでオルフェノクの王はどうするんだよ！？
草加,ああ……。とりあえず奴さえ倒して放っておけばオルフェノクは滅ぶんだよな？
P,そうだが……まさか美希を頃すのか！？
冬馬,今更なに言ってんだよ。ほっときゃあんたも食われるぞ？
P,し、しかし……
草加,君みたいなのは人間からもオルフェノクからも嫌われるんだよ……
高木,げ、ゲフウ……死ぬかと思った……。なんとか薔薇ワープで事なきを得たが……
美希,……
高木,あ……
草加,星井美希はどこだ？
P,あ、あれ？いつもなら事務所で寝てるのに……
冬馬,外へ出たんじゃないのか？オルフェノクを食べに
草加,君は961プロの仲間を連れてきたほうが良い
冬馬,嫌だ。もうオルフェノクの居る会社になんか戻りたくねえ
P,しょうがない。探しに出よう
草加,それが良さそうだ。俺は海に探しに行く
冬馬,じゃあ俺はその辺
P,（美希……お前を倒しても倒さなくても俺は死ぬっぽい……許してくれ……）
草加,星井さーん！プロデューサーの草加でーす！。クソッ、波の音で聞こえやしないか。グハッ……お、お前は……。……
黒井,はっはっは、これは良い。まさか765プロにオルフェノクの王が居たとはなあ
美希,……
黒井,目覚めの時は近いな。道ばたで高木を食ってるこいつを見たときは胸が踊ったよ！
響,これで美希が目覚めれば、自分たち死なずにすむんだな！
黒井,ああもちろんだとも響ちゃん！
響,さすがに命が三つある自分ももう死ぬのは嫌さー！でも自分の仇は自分でとったぞ！
黒井,んー流石は響ちゃんだ！
P,草加さん遅いなあ……
冬馬,まさか何かあったんじゃないのか？
P,悲鳴だ！
冬馬,このマンホールの中だ！
モブフェノク,ギエエーたすけてー
美希,あむっ
響,ほらもっとたくさん食べると良いさー
黒井,焦らなくてもまだまだたくさん居るのだからなあ！
P,あれ、響！？
冬馬,おっさん！
黒井,来たな、裏切り者ども
美希,オッ？オッ？オッ？
黒井,おお……！とうとう王が目覚める……！
P,えっ、嘘！俺寝返りまーす
冬馬,テメエ！やっぱりオルフェノクだってことか……！
P,なんとでも言え！自分の命が大事なんだよ！！美希、俺だ！死なない力をくれ！
美希,……
P,あ！この黄色い光！これ死なない感じする！よっしゃあ！
響,えーズルいぞプロデューサー！自分も自分も！
美希,……あ
P,あれ、人間の姿に戻っちゃったぞ
黒井,王よ！私にもさっきみたいな力を！
美希,おにぎり……食べないと死んじゃうの……
P,な、何ぃ！？
響,どうするんだ黒井社長！？
黒井,お、おいお前！今まで面倒見てきたんだからもってこい！
冬馬,俺が持ってくるわけねえだろ！！
美希,あ……ふう……
P,し、死んでる……
響,えー！じゃあ自分たちオルフェノクは全滅なのかー！？
P,お、俺はセーフだよな？な？
黒井,嫌だ！死ぬのは嫌だ！……あっ、やばい寿命で手が……。あひょ
P,し、死んだ……
響,うぎゃー！自分まだ死にたくないぞー！
P,諦めろ響。きっとこれがオルフェノクの運命なんだ
響,も、もう人頃したりしないから誰か助けてくれー！！。よへ
P,死んだ……
冬馬,なんか知らんが、勝手に死んだみたいだな
P,いやあ一時はどうなることかと……
冬馬,まああんた自体は対して悪事も働いてなさそうだし、見逃してやるよ
P,ほ、ほんとに？あ、じゃあ代わりと言ってはなんだけど、うちで雇ってあげるよ
冬馬,悪いな、よろしく頼む
響,……
P,あれ、生きてる！
響,あれー？おっかしいな、死んだはずなのに……。ああ、なるほど、今ので二つ目の命が尽きたのか！じゃあまだ自分生きられるんだな！
P,なんか知らんがめでたいな！
冬馬,今日から765プロに入る天ヶ瀬冬馬です。よろしく
春香,よろしく！たまたま全員揃ってる日に来て良かったね！
亜美,えー？ミキミキがいないっぽいよー
真美,あり、本当だ
真,プロデューサー、今日は美希来ないんですか？
P,美希は……
響,……
雪歩,ど、どうしたんですかプロデューサー？
やよい,響さんも泣きそうですー……
P,みんな……実は
美希,遅れてごめんなさいなのー！
P,美希！？お前、死んだはずじゃ……
美希,なんかね、あの後遊牧民みたいなおじさんが来て、すまーとぶれいんのぎじゅつ？だかなんだかで治してもらったの！
響,そうなのか！？あ、そういえば灰にはなってなかったな……
P,いやあめでたいなあ
