俺,すみません、やめてもらえませんか？
友,……（絶対なんかあったな）
美少女,……
外国人,……
美少女,……
外国人,……
美少女,……
外国人,！？。（ホ、ホワッツ！？）。……（オゥ、マーベラス）
※マーベラス,marvellous
外国人,……。……（グッド、スメル）
オーナー,つまり、幸せというものは無限に増えるんだ
美少女,はぁ
オーナー,人々は幸せであるべきだ。私も過去に人から幸せをもらった。だからこうして人を幸せにする事業をしている
美少女,へぇー
オーナー,……君、聞いてるかね？
美少女,聞いてますとも！！こまり局長も食べませんか？お菓子
オーナー,こまり局長……？
上司,こまり局長……？
先輩,こまり局長……？
美少女,ただいま
母,おかえり
美少女,なにこれ
母,すごいでしょ
美少女,なにごと？
母,お父さんね、給料あがったの
美少女,なんで
母,私もよくわからないんだけど、会社でやってた事業が成功したんだって
美少女,よくわかんないけどすごい
母,なんやかんやあって、つまりお金に余裕ができたの
美少女,なんやかんやしたんだね
母,とにかく、おいしいもの食べられればおっけー
美少女,おっけー！
社長,ただいま
妻,おかえり、ごはんにする？お風呂にする？それとも業績再確認？
社長,ご飯にしようかな
妻,あなたすごいじゃない。今月の業績業界トップよ
社長,ああ、私がうかうかしてはいられないからな
妻,ふふっ……最近、いいことばかりね？
社長,いや、少し違うな
妻,違うって？
社長,良いことが、連鎖しているんだ
妻,連鎖？
社長,ああ。たかしは学校に行くようになった。なら私はその父として、今までよりも頑張らなければならないだろう？
妻,……
社長,結果は必然だ。すべてはたかしのおかげなんだ
妻,そんなところも好きよ
社長,知っている。我が家の守り神のお帰りだ
妻,ふふ
キモオタ,ただいま、今日もたくさん遊んできたよ。やっぱり外に出るのって悪くないね
社長,まさかお前がこんな時間まで帰ってこないとはな
キモオタ,まずかった？
社長,いや。むしろ逆さ。子供なんてそんなもんがちょうどいい
妻,さ、ごはんにしましょ
美少女,おつかれさまでーす
先輩,おつかれさま。休憩？
美少女,そういう感じです
先輩,どう？このバイト。慣れた？
美少女,はい。最近なんかいいことが多いので。楽しいです
先輩,偶然じゃないかもしれないわよ？
美少女,？
先輩,ふふ、なんでもないわ
美少女,そういえば最近、日本平和ですよね
先輩,もとから平和じゃない？
美少女,いや、この前、なんか喧嘩してた国と仲良くなったって聞きました
先輩,どこ？
美少女,なんたらかんたらってとこです
先輩,何一つわかってないわよね
美少女,そことなんやかんやしてたのが何やかんやでなんかうまいこといったそうです
先輩,そう……
美少女,やっぱり平和って素敵ですよね
先輩,……あなたのおかげかもよ？
美少女,……は？
先輩,……ううん？なんでも
外国人,日本は良い国だった……と
外国人Ｂ,またブログか
外国人,ああ、うちのやつらにも日本がどういう国かってのを教えてやらなきゃならない
外国人Ｂ,そんなに良い国だったっけか
外国人,ああ、ここは良い国だ、最高だ
外国人Ｂ,どうしたんだよお前
外国人,……いや、お前も体験すればわかる
外国人Ｂ,気になるな！
大統領,……。……やはり。やはり、日本はいい国なんじゃないか。前々から思ってはいたんだ、あかべぇそｯ……いやさまざまな文化、伝統にあふれた国だ。単に技術が進んでいて、富裕層が多いからと……。我が国民も、日本の生活を謳歌しているようだ……。これは、日本と友好関係を結ぶべきだ。おい
秘書,は、何でしょうか。たぬきそふとの新作はまだですが
大統領,違う、会見を開きたい
秘書,はっ
美少女,……（眠い）。……（あのバイト、実際寝てないから実は結構疲れるんだよね）。……（本当に寝ちゃいそうだよ）。（え？）
美少年,……
美少女,……。……。……（うん、このバイト、悪くないかも）。電車の中で寝たふりして、男の人の肩に寄りかかるバイト？
