J('ｰ`)し,ちょいと、後でお金払っとくから、スーパーでお肉買ってきて
彡(^)(^),よっしゃ！まずは１００万からや！
ボタン,ポチッとな
彡(ﾟ)(ﾟ),あれ？なんか、意識が遠のいて・・・
彡(○)(○),あああああああああああああああああああああああああ！！！！！！！！！！！！！！！
彡(ﾟ)(ﾟ),・・・って、あれ？ここ、どこやねん？。な、何やねん、こら？ボタン押すだけやなかったんか！？こんな見渡す限り何も無いところで・・・ウソやろ・・・？。原ちゃんもこうなったんかな？。・・・・・・
彡(^)(^),とりあえず出口探すンゴ！
彡()(),ハァハァ・・・
彡(ﾟ)(ﾟ),出口はどこやねん！？行けども行けども、同じ風景やんけ！！
結局、丸三日走ったところで,出口など無い
彡()(),それに、こんだけ走っても全く眠くならへん・・・この調子で、マジで５億年・・・？。ワイ、これから一体どうなるんやろ・・・帰りたいンゴ・・・
彡(ﾟ)(ﾟ),・・・・・・。じゃんけん、ぽん。左手の勝ちや。よいしょっと（ﾊﾞｷｯ!）
抜いた歯,ほな、さいなら
彡(^)(^),よーし、どこまで行ったんやろー？
彡(ﾟ)(ﾟ),しりとり・りんご・ごはんですよ・夜型人間・・・
彡(^)(^),あ！んが付いたンゴ！
また、ある時は,ひとりしりとり
女の子,もう、ダメだよぉ！下にお母さんがいるのにぃ！
彡(^)(^),ええってば、やっちゃえやっちゃえ
女の子,あんっｗそこはダメだって！ああんんっｗｗｗ
彡(^)(^),そこってどこやねん？。よーし、じゃあ今度はこっちをさわちゃうンゴｗああんんっ、ダメだってばぁｗｗｗ
彡()(),。。だいぶ・・・長い事・・・生きた気が・・・するンゴ・・・。あと・・・何年・・・こうしていれば、いいんやろ・・・。
彡(ﾟ)(ﾟ),ｶﾞﾊﾞｯ!。本当は、こっちが現実なんやないか？。一体、ココは何処なんや？宇宙の中なんか？それとも、宇宙以外の場所なんか？。ワイは、どうして前にいた所に戻りたいんや？昔いたアノ場所って、一体なんだったや？。ワイは昔、何も考えずに人間社会で生きとったンゴ。だけど、そこは一体、何であり、どういう所なのか・・・。ワイは、何も知らないンゴ！だいたい、宇宙って一体何やねん！？。そして、そんな訳の分からん宇宙の中の、地球の表面で生まれて、ちょっと生きたら死んでいく・・・。人間という生物の存在は一体、何やねん！？。・・・・・・
(*^◯^*),お疲れ様なんだ！約束の１００万円なんだ！
彡(ﾟ)(ﾟ),・・・え？
彡(^)(^),ホンマにええねんか？うひょー！１００万円ゲットだンゴ！！。なーにが５億年や？何も起こらなかったンゴ！！
(*^◯^*),だから、本当は５億年経験してるんだ！記憶が無いだけなんだ！
(´^ω^｀),よーし！次は僕の番だ！
ボタン,ポチッとな
(*^◯^*),お疲れ様なんだ！約束の１００万円なんだ！
彡(^)(^),次はワイの番や！もう連打しちゃうンゴ、１６連射ああぁぁぁああ！！
ボタン,ﾎﾟﾁﾎﾟﾁﾎﾟﾁ･･････
彡(ﾟ)(ﾟ),・・・・・・あれ？
