異世界貴族達,マヨネーズ最高ンゴオオオオ！！金貨払うから買わせろンゴオオオオ
悪徳貴族,かわいい女の子やん！ワイのヨッメにするンゴ！
女魔法使い,やめて！
ワイ,ワイの女に手を出すなンゴ！
悪徳貴族,なんやお前！ゆるさんで！？
ワイ,ワイの女に手を出すつもりか？
悪徳貴族,すごい迫力ンゴ、でもこのままじゃ済まさんンゴ！おぼえてろンゴ！
女魔法使い,ありがとうワイ
ワイ,あいつはなんやったんや？
女ぶとうか,あいつは有力貴族、嫌な奴に目をつけられちゃったね
ワイ,王様に泣きつくンゴ
王松,無理だぞ、あいつは俺でも手を焼いている貴族、下手には動けないぞ
ワイ,困ったンゴ
悪徳貴族,お前はすごい魔法使えるんだからこの国を脅かしてるドラゴンを退治するべきンゴ
王松,こいつの根回しのせいでワイ君がドラゴン退治に行かざるを得ない状況になったンゴ、すまンゴ、頼むンゴ……
ワイ,しょうがないンゴねぇ
悪徳貴族,これであいつは死んだも同然ンゴ！ざまあみろンゴ！女ぶとうかと即ハメボンバーや！
手を貸してくれる貴族,ドラゴン退治は危険ンゴ、ワイも支援するで
ワイ,助かるンゴ
魔法ギルドの偉い老師,お前さんみたいな有能な弟子を死なせるわけにはいかん、わしも手伝う
ワイ,老師……助かるンゴ
ドラゴン,お前にはわからんで結構
ワイ,ドラゴン強いンゴ！総力戦ンゴ！
ドラゴン,ノリ、野球がしたいか？
ワイ,死にかけたンゴ、でも現代知識を活かすンゴ！
ドラゴン,
ワイ,殺ったぜ。。ドラゴン倒したンゴよ！
王松,よくやったぞ
悪徳貴族,みとめんンゴオオオオオオオ！！！
王松,悪徳貴族がドラゴンを利用して殺人とかしたり悪徳してた証拠がいっぱいでたぞ、ドラゴンが倒された今これでお前は失脚だ
悪徳貴族,ンゴオオオオオオオ！！！！
王松,ドラゴンを倒したお前に褒美をやるぞ
ワイ,なんか領地貰えて貴族になったンゴ。これでもっと商売ができるンゴ！
領民,前の領主は嫌な奴だったけど今度のはどんなやつだろ？
ワイ,開拓するンゴ！現代知識、フル活用！ｗ
女魔法使い,現代知識魔法少しずつ覚えたわ、開拓するわ
ワイ,すごい勢いで発展するンゴ！
領民,ワイ様すごいンゴオ！一生ついていきますンゴ！！
ワイ,領地がすごい発達したンゴ
領民,なんか勇者が来てるンゴ
勇者,俺はいい奴やで！さあ好き勝手させろ！暴れさせろ！
ワイ,ファッ！？なんやこの勇者！
勇者,なんや？勇者の俺と戦うのか？
ワイ,ンゴ！
勇者,よっわ
ワイ,グエー負けたンゴ。なんやあの勇者、強杉内
女僧侶,勇者様は権力に溺れた悪い奴です
女ぶとうか,勇者に対抗できる魔王に話すしかない
ワイ,魔王か、怖いけど魔王城までいくンゴ。魔界についたンゴ
犬耳美少女,食べ物まずいです……
女魔法使い,環境最悪ね
女魔王,すまんな、私としてもなんとかしたいのだが……
ワイ,まずはこんなまずい料理よりワイの手料理食うンゴよ
女魔王,うますぎる！魔界のシェフになってくれ！
ワイ,餌付け完了したンゴ。ここ生活しにくいしインフラ整備してもええか？
女魔王,おお、頼む！
魔界の魔物,人間っていいやつだな！
ワイ,魔界の魔物とも仲良くなったンゴ！いい奴おおいンゴね！。インフラ整備できたンゴ！
女魔王,すごい快適！
魔物達,ワイ最高！
ワイ,魔物はやっぱ悪い奴じゃないンゴね
女魔王,人間の王ともそれなりに仲良くしてる
ワイ,あの王はいい奴やで、勇者が勘違いしてるだけンゴか
女魔王,それだけではない、勇者は帝国とつるんでいる
女魔法使い,私らの王国だけでなく他の連合国からも警戒されているあの悪名だかい帝国とつるんでいるの！？
ワイ,帝国が敵となると厳しいンゴ
女僧侶,帝国は魔物はみな完全なる悪と見なしているカルト的な国ですからね
ワイ,勇者もクッソ強かったンゴ、これは苦戦しそうンゴ
帝国が産み出した化け物,ンゴオオオオオオオ！！
女魔王,やばいのが来たぞ！
ワイ,なんとか倒したンゴ！
女魔法使い,帝国は偵察として送り込んで来たのね
帝国の幹部,やりますねぇ！でもうんたらかんたら！さらばです！
ワイ,帝国……かなり危ないンゴ……！
女魔王,私もお前に惚れた、ついていくぞ
ワイ,パーティがまた増えたンゴ！
王松,帝国は非道な近畿の術を使うぞ
女魔王,アンデッド化の術とかもつかってるっぽい
ワイ,ぐぬぬ。領民の私兵軍率いていくンゴ！
私兵軍隊長の転生直後から親しかった奴,いくンゴオオオ！！
女魔王,私兵でこれほどとは……
女ぶとうか,ワイの軍は国内最強だからね
領民のドワーフ,装備作るの大変ンゴ
ワイ,照れるンゴ、装備揃えるの楽や、開拓時に頑張ってよかったンゴ開拓時から一緒にいるドワーフのおっちゃん助かるで
ドワーフのおっちゃん,量産はできないがお前の言っていた通りの現代知識活かした武器、レギュラーメンバー分なら作れたぞ
ワイ,助かるンゴ！
犬耳美少女,この短剣、すごいです
女ぶとうか,この槍すごいね！炎がでる！
女僧侶,回復の魔石をこんな風に応用した杖なんてすごい！
女魔法使い,なんかすごい杖！
女魔王,私は魔力がすごいからいらないわ
皇帝,大軍率いるンゴ！
ワイ,状況がやばいンゴねぇ
味方の兵団,グエー死んだンゴ！。グエー壊滅ンゴ！
ワイ,ワイ軍私兵は大丈夫ンゴ！？
ワイ軍私兵団,犠牲は0やけど苦戦中や！
そこそこ人気あったワイ軍私兵の準レギュラー,グエー死んだンゴ！
女ぶとうか,ついにワイ軍私兵にも被害が……
女僧侶,そこそこ人気あったワイ軍私兵……
ワイ,うおおおおおおん！！ゆるせンゴオオオオオオオ！！！
女魔王,まて！
ワイ,はなせんご！
女魔王,ワイ！
ワイ,なにするンゴ！頃す気かンゴ！
女魔王,リーダーのお前が正気を失ってどうする！
ワイ,そうや……ワイが正気を失ったらだめなんや！。適切な指示するで！現代知識！チート魔法フル活用！総動員！そしてワイ覚醒による戦力増加！
皇帝,禁忌の魔法までつかったのに一気に押されてるンゴ！
ワイ,ワイと女魔法使いと女魔王で本陣の敵を討つンゴ！犬耳たちはここで頑張ってくれンゴ！。うおおおお！！
帝国側の大魔法使い,ワイはつよいぞ！
女魔法使い,こいつは私に任せて！
ワイ,女魔法使い、頼むンゴ！
皇帝,ンゴオオオオオオオ！
女魔王,こいつはもはや正気ではない、私に任せてお前は勇者をたおせ！
ワイ,頼むで！
味方本陣にいる犬耳,マスター大丈夫でしょうか……
無双してるギルドマスター,こいつらつええけど負けねえンゴ！
無双してる老師,この歳でまた戦うとはのう
勇者,ワイか、俺は闇のちからでさらに強くなった
ワイ,前は負けたけど今度は負けねえンゴ！守るべきもののために！
勇者,勝負ンゴオオオオオオオ！！
ワイ,ンゴオオオオオオオ！！！！
勇者,こんなところで……こんなところでえええ！！だが俺はやられん！
ワイ,すげえ化けもんの姿や！なんやそれ
勇者,くらえンゴ！
ワイ,苦戦したけど倒せたンゴ
勇者,この俺がああ！大天使！大天使！なんとかしろ！
大天使,うちはお前に力あげたけどもうようずみやわしにな
勇者,なぜだあああああ
ワイ,なんやこいつ
大天使,あんたがワイか、うちらはあんたらに手を出す気はないでただ計画の邪魔するつもりなら神様が容赦せんからそこんとこよろしく
ワイ,なんやあの天使！
女魔法使い,ワイ！無事だったのね！
ワイ,みんな、戦争には勝ったんやな！。で、なんやったんやあの黒子豚天使
女魔王,あれは天界の奴等だ、禁忌の術を帝国に教えたのも恐らくあいつらだ
ワイ,ファッ！？やばいやん！
女魔王,地上の人々をうんたらかんたらする計画をたてているのだろう私も遥か昔に挑んだが奴等は強大すぎる
ワイ,やばいンゴね！でも計画までには時間あるンゴ！準備というなの平和な日常を満喫するンゴ！
犬耳,はじめての買いものいきます、色々ありました
ワイ,貴族が将来有望なワイを狙ってかわいい娘とか送り込んで見合い話が絶えないンゴその後女仲間とかと色々あって仲間全員と婚約したンゴ
女魔法使い,ギルド関連で色々あったわ
王松,王国関連でもそれなりに色々あったぞ
ワイ,ついに天界との決戦ンゴ！
仲間達,うおおおお
天使達,うおおおお
パワーアップした女魔王,うん百年前は負けたが今度はそうはいかんぞ！
大天使,やられてもーたわー！うちもう引退やわ
ワイ,天界のこの世界の神、そしてワイの転生のきっかけを作った狙いもわかったで！
異世界天界神,なるほどね、そこまでわかるとはきみすごいよ、かかっておいで
ワイ,うおおおお！！！
異世界神,まって、僕を倒したら異世界の存在の君もこの世の理もうんたらかんたらなんだよ？それでもいいの？
ワイ,帝国の惨状とか今までの冒険みてそれは間違ってるンゴ！そんな理ここでなくすンゴ！
異世界神,グエー死んだンゴ
ワイ,終わった……
仲間達,ワイー！
ワイ,みんな、終わったで！。
女魔法使い,ワイが消えていく！
女魔王,なるほど、奴は異世界神を倒したらからだな
犬耳,そんな……マスターァ！！
女ぶとうか,嘘だろ……
王松,ワイがいなくなって一年か、領はどうなってるんだ
側近,ワイの仲間達がうまく治めています
王松,そうか、ワイはこの国の英雄だ、やつの伝説は語り継がれるだろう
女魔法使い,仕事仕事！大変ね
女ぶとうか,どうしたの？犬耳
犬耳,
女僧侶,まって！どうしたんですか！？
犬耳,
フードの男,ハハハ、相変わらず犬耳はかわいいンゴねぇ
女魔法使い,犬耳がこんなに喜んで抱きつくなんて……まさか！？
ワイ,みんな、ただいまンゴ
