店員,ご注文はいかがなさいますか？
サターニャ,もし目の前でガヴリールがこんな表情とポーズでいたら私我慢できないわ
ヴィーネ,これ襲われても文句言えないわよね
ラフィエル,思わず唇を奪っちゃいますよね～
サターニャ,あー……よく同性同士でのキスは気持ち悪いって言われるけど、私ガヴリールなら全っ然抵抗ないわ
ヴィーネ,わかるけど私たち悪魔じゃない。こんなに天使すぎるガヴにちゅーされたら昇天しないかしら
サターニャ,するわね。絶対するわ
ラフィエル,ではガヴちゃんとのキスは私の特権という事で
サターニャ,ざけんじゃないわよ
ラフィエル,そういえば私もガヴちゃんを待受にしてるんですよ
ヴィーネ,え？ほんと？どれどれ
ラフィエル,はいどうぞ
サターニャ,あれ、これって駄天前のガヴリール？
ヴィーネ,わあ！かわいい笑ってる～～！……でもこれ室内なのになんでこんな見下ろしアングルなの？
ラフィエル,ガヴちゃんの自然体を撮りたかったので壁に小さいカメラを
サターニャ,ってそれ盗撮じゃない！
ラフィエル,だって普通にカメラを向けるとどうしても硬くなってしまうんですもの
ヴィーネ,友達相手に盗撮するなよ……
ラフィエル,他にも天使学校時代のガヴちゃんのちょっと際どい写真とかありますよー
ヴィーネ,……あとで少し見せて
ラフィエル,サターニャさんはどんなガヴちゃんを待受にしてるんですか？
サターニャ,なんでガヴリールって決まってんのよ。……ガヴリールだけど
ヴィーネ,せっかくだからサターニャの見せてよ
ラフィエル,気になりますねー
サターニャ,………………やだ
ヴィーネ,え、なんで
サターニャ,いやよ。見せたくないわ
ラフィエル,見せないという選択肢はありませんよサターニャさん
サターニャ,別にいいじゃない普通の写真だから……ちょっとヴィネット来ないでやめなさい！
ヴィーネ,大人しくしなさいサターニャ
ラフィエル,サターニャさんのスマホゲットです
サターニャ,だめだめだめ！このアホ天使まっ……！！
ラフィエル,どんな可愛いガヴちゃんが写ってるんでしょうねー。…………
ヴィーネ,…………
サターニャ,…………
ヴィーネ,半裸のガヴね
ラフィエル,これ海の時のでしょうか
ヴィーネ,友達が友達の裸を待受にしてるってちょっとキツイんだけど
ラフィエル,サターニャさん、児ポ法で捕まりますよ？
サターニャ,
ラフィエル,これガヴちゃんにバレたら引かれますよね
ヴィーネ,確実に距離置かれるわね
サターニャ,私が言えたことじゃないけど、あんたらも見られたら普通に引かれると思うわ
ヴィーネの携帯,
ヴィーネ,あれ？ガヴからメールだ
ラフィエル,！
サターニャ,！
ガヴリール,今何してんの？暇だからちょっと遊ぼうぜ
ヴィーネ,かわいい
サターニャ,……
ラフィエル,……
ヴィーネ,暇な時一番に連絡する相手は私のようね。ごめんねガヴ。用事が入っちゃってて遊べないわ。今度一緒にお出かけしましょ
ガヴリール,わかったよ……。でもお出かけはいらない
ヴィーネ,おうちデートね。かわいい
サターニャの携帯,
サターニャ,！
ヴィーネ,！
ラフィエル,！
ガヴリール,おいサターニャ今すぐ勝負するからうちに来い
サターニャ,素直に遊びたいって言えないかわいい
ラフィエル,それサターニャさんも人の事言えないですけどね
サターニャ,悪いけど私は今忙しいのよ！そのうち遊んであげるから楽しみにしていなさい！
ガヴリール,は？遊びたいわけじゃねーし。このバカニキア
サターニャ,ぶっきらぼうかわいい
ラフィエルの携帯,
ラフィエル,！
サターニャ,！
ヴィーネ,！
マルティエル,お嬢様。今日のパンツは何色でしょうか？
ラフィエル,
ヴィーネ,……んぶふふっ
ラフィエル,……。着拒しますね～
ラフィエルの携帯,
ラフィエル,！
ヴィーネ,！
サターニャ,！
ガヴリール,らふぃー……今日あいてる？遊びたいんだけどどうかな？家掃除するから来てよ……
ラフィエル,すでに二人に断られてて弱気になってるかわいい。あとらふぃーって呼び方めっちゃかわいい
ヴィーネ,なんでガヴリールはラフィに対してはちょっと素直になるのよ
ラフィエル,信頼の差でしょうか～
サターニャ,あんたを信頼するなんて一番ありえないわ
ラフィエル,ガヴちゃん、ごめんなさい。ちょっと立て込んでいまして、後日埋め合わせをさせて下さい
ガヴリール,えーやだやだ！私より大事な用事なのかよ
ラフィエル,駄々こねてるかわいい
サターニャ,待ちなさいよ！なんでガヴリールはあんたにこんなに甘えるのよ！
ラフィエル,信頼の差でしょうか～
ヴィーネ,ずるい！！
ガヴリール,もういいよラフィエルなんか！バーカバーカ！！
ラフィエル,拗ねちゃいましたね
サターニャ,かわいい
ヴィーネ,かわいい
サターニャ,全員に断られた拗ねリールは今なにをしているのかしらね
ラフィエル,ふてくされてゲームでもやっているんじゃないですかね
ヴィーネ,あとはふて寝とか
ラフィエル,ちょっと千里眼で覗いてみましょうか♪
ガヴリール,ぐすっ……なんだよ、みんな断るとかありえないだろ。かまってよぉ……
ラフィエル,！？ガヴちゃんが泣いてます！！！
サターニャ,え！？
ヴィーネ,ガヴが！？
サターニャ,わたしガヴリールの家に行ってくるわ！！
ヴィーネ,ちょちょちょっと落ち着きなさいよ！そんな血走った目で家に行ったら恐ろしいわよ！
サターニャ,ガヴリールが泣いてるのよ！？！？！？
ヴィーネ,角と羽根出てるから！今のあんたが行ったら余計泣くわ！！。ラフィエルもサターニャを止めなさいよ―――
ラフィエル,
ヴィーネ,あれいない
ラフィエル,
ガヴリール,ぐすぐす……。うひゃあああああああ！？！？
ラフィエル,。
ヴィーネ,どこいってたのよラフィ
ラフィエル,ちょっと天使の祝福を
ヴィーネ,意味わかんないわよ
サターニャ,ごめんヴィネット、一発殴られたおかげで落ち着いた
ヴィーネ,それはよかったわ
ラフィエル,私がいない間に何が……
ラフィエルの携帯,
ラフィエル,おや……あっ、ガヴちゃんから電話ですね。ちょっとすいません
ガヴリール,らふぃ～～～……
ラフィエル,どうしたんですか？ガヴちゃん
ガヴリール,私のいえおばけいるかも……
ラフィエル,えっ
ガヴリール,さっきなんか抱きつかれた気がする……ぐすっ
ラフィエル,ガヴちゃんそれはお化けではありません。可憐な天使の抱擁です。抱きしめられた時安心したでしょう？
ガヴリール,ううん、生あたたかい肉感がすごく気持ち悪かった……
ラフィエル,
ガヴリール,ラフィ？
ラフィエル,て、てんしのちからでおはらいしておくのであんしんしてください
ガヴリール,えっ、うん、そんなことできんの？ありがとう
ラフィエル,もう出ませんから、ダイジョウブです……ゴメンナサイ
ヴィーネ,そういえば、最近こんな事があったんだけど
サターニャ,うん
ラフィエル,はい
ヴィーネ,ガヴリール！！いい加減お風呂に入りなさい！
ガヴリール,いいよ……2日前に入ったばっかりだし
ヴィーネ,お風呂は毎日入るものなのよ！きちんと身体の汚れを落としなさい
ガヴリール,天使が汚れるわけないだろ何言ってんだヴィーネ
ヴィーネ,現時点であんたの髪の毛が埃まみれになってるのよ……もしかして自分の羽とかも手入れしてないんじゃないの？
ガヴリール,めんどうくさくてしてないな
ヴィーネ,もう、ただでさえ洗いにくくて汚れやすいのに。しょうがないから私が綺麗にしてあげるわ
ガヴリール,いいって、そんなに使わないし
ヴィーネ,だめ。自分の天使部分をおろそかにしてたら本当に堕天するわよ。ほら早く羽出しなさい
ガヴリール,もーめんどうくさいな
ヴィーネ,……って、うっわ黒！はね黒！！すでに堕天しちゃってるじゃない！
ガヴリール,えっ！うそだろ？うわわわヴィーネたすけて！
ヴィーネ,ああー……真っ白で綺麗な翼だったのにこれじゃ。ん？べチャリ？
ガヴリール,ヴィーネぇ！私まだ大丈夫かな？魔界に行っても知り合い全然いないし元天使だから絶対いじめられるよぉ！悪魔になってもそばにいてくれるよねっ？
ヴィーネ,ガヴ……これ、埃とか脂とかなんか色々なもので汚れきってるわ
ガヴリール,ふぇ？
ヴィーネ,なにこれどうしたのよ！最近羽出したりした？どうしたらここまで汚れるの！？
ガヴリール,最近…………？あー、そう言えばなんか天使の状態で生活するとどことなく部屋が綺麗になるもんで頻繁に変身してた
ヴィーネ,それよ！！！！あんたの羽で部屋の埃が全部取れてたのよ！！
ガヴリール,まじか！！エンジェルパワーで綺麗になってたんじゃないのか！？
ヴィーネ,このバカリール！！今すぐお風呂に入るわよ！！！！
サターニャ,ほんとアホリールね
ラフィエル,ガヴちゃんの羽とっても綺麗なんですけどねー
ヴィーネ,そうそう掃除したらすっごく綺麗な羽になったの。悪魔の私でも惚れ惚れしちゃうぐらい。でね、その後。すごい……光り輝いてるわね
ガヴリール,ふふん、天使学校主席の羽はそこらの天使とは比べ物にならないぞ
ヴィーネ,洗う前の羽もそこらの天使とは比べ物にならないぐらい汚かったわ。ねぇ、触ってもいい？
ガヴリール,さっき散々ワシャワシャ洗ってたくせに今更確認取るの？別にいいけど
ヴィーネ,いやなんか心構えというか……
ガヴリール,ひゃんっ
ヴィーネ,…………
ガヴリール,…………
ヴィーネ,今どこから声出たの
ガヴリール,え？なんか聞こえた？私何も聞いてないけど
ヴィーネ,
ガヴリール,んっく……はぁん……
ヴィーネ,
ガヴリール,ちょっとヴィーネ！？なんでそんなやらしい手つきなんだよ！！
ヴィーネ,やらしくないわ
ガヴリール,ふぁ……///やめっ……あぁんっ///。だめだめだめ！！ヴィーネ！禁止！ヴィーネは私の羽に触るの禁止！！
ヴィーネ,私の羽も触っていいから！！
ガヴリール,関係なくない！？
ヴィーネ,角もサービスするから！！
ガヴリール,いらないよ！！
ヴィーネ,
ガヴリール,いやっ……ばかっ///ヴィーネのばかぁぁああんっ！///
ヴィーネ,完全に理性吹っ飛んでたわ
サターニャ,あんた結構自分の欲望に正直なところあるわよね
ラフィエル,私たちの羽は敏感ですから……ガヴちゃんの可愛い反応見たいですね
ヴィーネ,ちなみに触り心地は極上だったわ。なんとか頼み込んでガヴに羽を出したまま一緒に寝てもらったんだけど
ラフィエル,ガヴちゃんよく許してくれましたね
ヴィーネ,あまりの寝心地の良さに熟睡しちゃってガヴの方が先に起きてたわ
サターニャ,私もエンジェルモードのガヴリールと一緒に寝たい
ヴィーネ,次はやってくれなさそうね……
ラフィエル,あ、じゃあ私がガヴちゃんの代わりをするのはどうでしょう？
ヴィーネ,えぇ……？ラフィが……
サターニャ,なんか寝てる間に呪われそうだわ……
ラフィエル,お二人の反応にわたし超不服です
サターニャ,わたし妹が欲しい
ヴィーネ,なによ唐突に
ラフィエル,弟さんではダメなんですか
サターニャ,ていうかガヴリールを妹にしたい
ヴィーネ,…………
ラフィエル,…………
サターニャ,なによその顔
ヴィーネ,サターニャってあれよね。ガヴのことめちゃくちゃ大好きよね
サターニャ,そんなことないわ普通よ
ラフィエル,妹にしたい発言が普通ってサターニャさんの基準やばくないですか
ヴィーネ,普段ガヴリールの前では素直になれないからここでデレデレ部分が溢れ出ちゃってるのね
サターニャ,この前ガヴリールがうちに来たのよ
ヴィーネ,えっ、珍しいわね
サターニャ,傘を忘れたガヴリールを雨宿りさせてたの
ラフィエル,なるほどなるほど？
ガヴリール,うわもう最悪だよ。サターニャの家で雨宿りとか
サターニャ,文句言うなら出て行きなさいよ
ガヴリール,はぁ？お前こんな土砂降りのなか乙女を放り出すなんて悪魔かよ
サターニャ,悪魔よ！ほらタオルあげるから肩とか濡れたところ拭きなさい
ガヴリール,いいよ面倒臭いから
サターニャ,私が良くないのよ！！家の中が濡れるでしょ！？
ガヴリール,私この後風邪ひく予定だからこのままでいいしー
サターニャ,このアホ天使！合法的に学校休もうとしてんじゃないわよ！
ガヴリール,わぷぷぷ！やめろサターニャ
サターニャ,こら逃げるな！
ガヴリール,サターニャー、お腹すいた。なんかだせー
サターニャ,あんたずうずうしさ極まりないわね。ちょうど実家から送られて来たケーキがあるから食べなさい
ガヴリール,おおっまじか！よくやった
サターニャ,ちゃんと感想言いなさいよ！参考にするから！
ガヴリール,うまい。うまいぞサターニャ
サターニャ,あらそう良かったわ
ガヴリール,
サターニャ,まっ、別に天使の感想なんてあてにならないけどね？悪魔に売るんだもの
ガヴリール,…………
サターニャ,でもそんなに美味しいって言うならこれからもガヴリールに試食させてあげてもいいわよ…………ガヴリール？
ガヴリール,うぇへへへへ……さたーにゃぁ
サターニャ,ほあああああああああ！？！？
ガヴリール,今日は雨宿りさせてくれてありがとねー？私途方に暮れてたんだよー
サターニャ,え、あ、え、ん？あ、そ、そうなの、感謝しなしゃいよ？
ガヴリール,うんー！サターニャが誘ってくれて嬉しかったー。いつもいつも私にかまってくれてありがとねー
サターニャ,んああああああああああどういたしましてええええええええ
ガヴリール,んひゃ、くすぐったいよー
サターニャ,がガガガガヴリール……！私の事お姉ちゃんって呼んでみてくれない？
ガヴリール,？いいですともー。サターニャおねえちゃーん
サターニャ,ガヴリール！！！一生大切にするわ！！！！！！。そのケーキよく見たらブランデーケーキだったわ
ヴィーネ,酔いリールになっちゃったのね……
ラフィエル,酔ったガヴちゃんも可愛いですよね～
サターニャ,その後酔いが覚めても記憶は残ってたみたいで、しばらくの間ずっと睨みながら舌打ちされた
ヴィーネ,ガヴにとっては相当不本意だったでしょうね
サターニャ,その生意気さがまた私の姉心をくすぐるのよ！
ヴィーネ,わからなくもないけどね
ラフィエル,でも素直なガヴちゃんもとっても可愛いですよ？
サターニャ,素直なガヴリールを見る機会がそもそもほぼ無いじゃない
ラフィエル,そうですねー、天使学校時代のガヴちゃんはそれはそれは天使でしたよ
聖ガヴリール,ラフィ！一緒にお花畑に遊びに行きましょう？。ラフィ、私の今日のお弁当は自信作なんです！おかずの交換をしませんか？。ラフィ～！やっぱり丘まで早く着けるか勝負なんて無理です！私もう走れな……あうっ
ラフィエル,ああああどんなガヴちゃんも素敵ですっ。姉になって愛で穢したい！！
サターニャ,うっわ……
ヴィーネ,ラフィってほんとに堕天してないわよね……？。うーん私はやっぱり妹じゃない方がいいかな
ラフィエル,？ガヴお姉ちゃんの方がいいってことですか
ヴィーネ,ん～～そうじゃなくて
サターニャ,なによ？歯切れ悪いわね
ヴィーネ,その……あの……。姉妹だと……け、結婚できないから
ラフィエル,……
サターニャ,……
ヴィーネ,ちょっとそんな目で見ないでよ！！
サターニャ,ヴィネット、あんたガチね
ヴィーネ,ごめんサターニャに言われたくない
ラフィエル,ヴィーネさん、そもそも女同士では結婚できませんよ？
ヴィーネ,ほっ、法律が変わるかもしれないじゃない！！
サターニャ,悪魔と天使の時点でダメじゃないの？
ヴィーネ,じゃあガヴを堕とすか私が天使になるわ！！！！
ラフィエル,そんなこと考える時点で天使にはなれそうにないですね～
ヴィーネ,そろそろ出ましょうか
サターニャ,そうね、私もストレス発散できたわ
ラフィエル,やっぱりガヴちゃんが大好きって言えなくて溜まってたんですね
サターニャ,は？そんんあわけないでしょ？
ヴィーネ,噛んでるわよ
ラフィエル,じゃあガヴちゃんにこれから向かうって連絡しますねー
サターニャ,ええ、今頃寂しい思いしてるでしょうしね
ヴィーネ,あ、スーパー寄っていい？美味しいご飯作ってあげなきゃ
ガヴリール,はいはいどちらさま……。なんだ本当に来たのかお前ら。なんでいつも私の家に集まるんだよ、うっとおしいな……。いまネトゲしてるんだから邪魔すんなよ？。まあそこに3人もいると目立つし？とりあえず早く入れよ、ほら。私お腹すいたから早く晩ご飯作れよな
サターニャ,かわいい
ガヴリール,は？
