シャーリー,何の為に？
古泉,答を出さずにひたすら無視する。誰がどのような意図を持ってこのような行動をとっているのかは分かりませんが、涼宮さんや僕達機間の人間には的確な精神攻撃と言えるでしょうね
キョン,ちょっと待て、さっきお前は僕達でと言ったが、俺も行かなきゃならんのか？
古泉,出来れば御一緒していただきたいですね。申請書を出したのはあなたですし
キョン,今から行くのか？
古泉,えぇ。こちらとしては早い方が助かります
キョン,はぁ～、やれやれだ･･･
ミレイ,そういえばルルーシュ、この間来たクラブ申請の件はどうなったの？
ルルーシュ,申請？あぁ、SOS団とかいうおかしなクラブの事ですか勿論無視し続けてますよ。先日も言った通り、相手をしないのが一番ですからね
ミレイ,何でもいいけど、トラブルになるような事は避けてよね
ルルーシュ,分かってますよ
ミレイ,ん？誰かしら？どうぞー
キョン＆古泉,失礼します
ミレイ,あれ？あなたこの間の！
キョン,あ、どうも･････
ルルーシュ,会長の知り合いですか？
ミレイ,この子よルルーシュ、SOS団の申請書を持ってきたの
キョン,いや～、先日はどうも･･･
ルルーシュ,ほう、こいつが。で？用件は何だ？
ミレイ,ちょっとルルーシュ！
ルルーシュ,見たことろそちらの責任者は来ていないようだが･･･
キョン,え、えぇ･･･俺達だけです(何なんだこいつの威圧感は！？)
古泉,我々の提出した申請書への回答の方が未だに出されていないので直接聞きに来た次第なのですが
ルルーシュ,あぁ、そういえばそうだったな。すっかり忘れていたよ
古泉,そうではないかと思っていたのですよ。何せ提出したのは一週間も前の事ですからねいや～来てよかったです
ルルーシュ,こちらとしては出来れば永久に忘れていたかったんだがなくだらん申し出に一つ一つ答を出していられるほど、俺達は暇じゃないんだ
キョン,なっ･･･(いくら何でもそこまで言うか？)
古泉,という事は･･･やはり
ルルーシュ,あぁ、勿論却下だ。クラブとして認めてほしいのなら、もう少しまともな事を書くんだな
古泉,そうですか。分かりました、では我々は退散しましょう
キョン,あ････あぁ、そうだな
古泉,では我々はこれで
キョン,失礼しました
ルルーシュ,････もう少し粘ると思っていたが･･･案外あっさりしてるな
ミレイ,なかなか礼儀正しくて好感の持てる子達じゃない！二人とも良い男だし
ルルーシュ,それはどうでしょうね。見た目はともかく、終始ニヤついていた方の男はどうも仮面を被ってるように見えますが
ミレイ,仮面？
ルルーシュ,常に本心を隠し自分を取り繕っているような、そんな印象です
ミレイ,それあんたと同じじゃない
ルルーシュ,一緒にしないでください。俺は常に自分をさらけ出してますよナナリーの前では特にね
ミレイ,あぁ････そう･･･
キョン,はぁ～、何なんだあの異様に威圧感のある男前男子は
古泉,1年5組ルルーシュ・ランペルージ。生徒会の副会長です
キョン,1年だと！？同学年じゃないか。俺はてっきり上級生だとばかり････
古泉,そう勘違いされるのも無理は無いですね。何しろあの物言いですし
キョン,ちょっと待て、1年って事はまだ入学して半年も経ってないじゃないか！何でそんな奴が生徒会の、それも副会長なんてのをやってるんだ？
古泉,生徒会長のミレイさんが推薦したそうですよ。あ、先ほど生徒会室にいたお綺麗な女性の事です
キョン,あの人が会長だって事くらいは知ってるさ。それにしても、本当に綺麗な人だったな･･･
古泉,何はともあれ、生徒会から明確な返答をいただいたわけですから後はこの事を涼宮さんに伝えれば万事解決ですね
キョン,本当に解決するのか？結局生徒会室に乗り込むなんて事になりそうな気もするが
古泉,少なくともここ最近多発している閉鎖空間の出現はおさえられます。その後の涼宮さんの行動については何とも言えませんね
キョン,無責任な奴だ。どうなっても知らんぞ
-------------次の日,早朝東京租界
貴族,おい貴様！何処を見て歩いてる！！
みくる,へ？あ･･･す、すいませぇ～ん
貴族,私の服が汚れてしまったではないか！このイレヴンが！！どう責任をとるつもりだ！？
みくる,ひ･･･ひぇ～、許してくださ～い
貴族,誰が許すか！！弁償だ！金を出せ！！
みくる,ふぇぇ～
貴族,ん？よく見ると貴様イレヴンの割にはなかなか整った顔をしているな。それにスタイルも悪くない････よし、奴隷にしてやる。仕方が無いからそれで許してやろう
みくる,へ･････へぇぇぇ！？
貴族,嫌ならこの服を弁償しろ。上下合わせて1000万はするぞw
みくる,ふぇぇぇ、誰か助けて～
？,いいかげんにしなさいこの変態！！
貴族,な、何だと！！
みくる,す、涼宮さん！！
ハルヒ,みくるちゃん、私が来たからにはもう安心よ！こんな奴の言いなりになる必要なんてないの！自分より立場の弱い人間に威張り散らす事でしか自己を保てないような薄っぺらい人間なんだから！
貴族,き、貴様！！！誰に向かって言っているのか分かっているのか！？
ハルヒ,えぇ分かってるわ。あんたよ、あ・ん・た！！
貴族,くっ･･･イレヴン如きが男爵である私に････いい度胸をしているじゃないか！！
ハルヒ,男爵だろうが知ったこっちゃないわ！みくるちゃんは大事なSOS団の団員なのあんたみたいな男の奴隷なんかにさせてたまるもんですか！
貴族,口の減らない餓鬼だ･･･私を怒らせた事を後悔させてくれる！おいお前ら！このイレヴン共を取り押さえろ！！
ハルヒ,ちょ、ちょっと！！放しなさいよ馬鹿！！
貴族,フハハハ、私に暴言を吐いた罰だ。お前も私の奴隷にしてやるｗ
みくる,ふ、ふぇぇぇ～！涼宮さ～ん
ハルヒ,誰が奴隷なんかになるもんですか！放せー！！
取り巻きA,な、何て力だこの女！
取り巻きB,コラ、大人しくしろ！
貴族,放すなよ。屋敷に連れてって貴族がどれだけ偉く、お前らイレヴンがどれだけ下等かをたっぷり教え込んでやるｗ
ハルヒ,くぅ･･･
？,ほぅ、それは是非俺も教えてもらいたいですね
貴族,んん？何だ貴様は？
ルルーシュ,ただの学生ですよ。それより、教えてくれませんか？貴族とやらがどれだけ偉いのかを
貴族,何を言っている。貴族が偉いのは当たり前だろうｗ
ルルーシュ,フン、肩書きと既得権益にすがりつくだけの無能者が･･･そこの連中を連れてとっとと消えろ！！
貴族,･･････あぁ、分かった。お前ら、帰るぞ
取り巻きA,し･･･しかし、この者達はよろしいのですか？
貴族,構わん。帰るぞ！
取り巻きA,は、はい！
ハルヒ,みくるちゃん大丈夫？怪我はない？
みくる,はい大丈夫です･･･でも怖かったですぅ
ハルヒ,それにしても何なのあいつら？さっきまで私達を奴隷にするとか言ってたのに急に人が変わったように･･･
ルルーシュ,飽きっぽい連中なんだろう。貴族なんてのはそんなもんさ
ハルヒ,あ･･･そうだ、お礼言わないとね！助けてくれてありがとう！あなた名前は？見たところ私達と同じ学園の生徒みたいだけど
ルルーシュ,ルルーシュだ。ルルーシュ・ランペルージ
ハルヒ,ルルーシュ、良い名前じゃない！それにしても凄いわねアンタ！威張り腐ってた貴族を一言で退散させちゃうなんて！いったい何者？もしかして宇宙人とか！？
ルルーシュ,はぁ？(何なんだこの女･･･)
ハルヒ,あっ！自己紹介が遅れちゃったわね、私は涼宮ハルヒ！よろしくねルルーシュ！
ルルーシュ,す、涼宮ハルヒ！！？
ハルヒ,何？私の事知ってるの？
ルルーシュ,ま･･･まぁな(こいつがあの涼宮ハルヒだと？クソ、厄介なのと絡んでしまった･･･)
ハルヒ,じゃあ当然SOS団の事も知ってるわよね？
ルルーシュ,え？････あぁ
ハルヒ,だったら話は早いわ！ルルーシュ、あなたをSOS団の団員として迎え入れてあげる！
ルルーシュ,･･･はぁ？
ハルヒ,だから、あんたをSOS団6人目の団員として迎え入れてあげるって言ってるの♪
ルルーシュ,結構！！俺は生徒会の副会長をやっていてな。悪いが他の部にかまけてる時間はない
ハルヒ,あら、あんた生徒会の人間だったの。時間なんて無理矢理作ればいいのよ他の部と掛け持ちしてる人なんて生徒会の中にも一人くらいいるでしょ？問題ないわ！今日この時をもってあなたをSOS団の新入団員とします！終わり
ルルーシュ,おい、勝手に終わらせるな！！
ハルヒ,それじゃあね！今日の放課後他の団員にも紹介してあげるから生徒会室に行く前に絶対先にこっちに顔を出すのよ！来ないと死刑だから♪
ルルーシュ,おい！！俺の意見は無視か！！。待て、だいたい何処に行けばいいんだ！？
ハルヒ,文芸部室よ！副会長なら場所くらい分かるでしょ。それじゃあ放課後ね♪
みくる,待ってますねルルーシュさん
ルルーシュ,お、おい待て！！。････な、何て自分勝手な女だ
ハルヒ,みんなちゅうも～く！今日は我がSOS団にとって素晴らしいニュースがあるわよ！
キョン,何だ来て早々。その素晴らしいニュースとやらの前に、古泉が報告する事があるらしいぜ
ハルヒ,報告？何古泉くん？
古泉,昨日、涼宮さんが下校された後に生徒会の方が来たのですがどうやら部の申請の件は許可できないそうです
ハルヒ,何だ、いいわよそんな事どうだって。元々大して期待してなかったし
キョン,意外な反応だな。お前の事だからどうせまた生徒会室に乗り込むだのと言い出すのかと思ったが
ハルヒ,そんな物騒な事言うわけないじゃない！私は無駄な争い事は嫌いなの
キョン,(昨日と同じ口が言っているとは思えんな)
古泉,それで、ニュースというのはいったい何でしょうか？
ハルヒ,ふふ～ん♪実は我がSOS団に新入団員が入る事になりました！！
キョン,なに！？
古泉,ほお･･･
キョン,(嫌な予感しかしないな････宇宙人未来人超能力者ときたら遂に今度は異世界人の登場か？勘弁してほしいぜ)
古泉,非常に興味深いですね。新入団員とはいったいどなたですか？
ハルヒ,それはまだ秘密♪もう暫くすれば来ると思うわ。実はみくるちゃんは知ってるんだけどなかなか良い男だし、何となくだけど古泉くんとは話が合いそうな気がするわ！
キョン,(女の線は消えたか･･･）何で朝比奈さんは知ってるんです？
みくる,今朝あたしと涼宮さんはブリタニアの貴族の人に絡まれてしまったんです･･･その時助けてくれた男の人がいて
ハルヒ,そいつを私がスカウトしたってわけ♪
キョン,貴族に絡まれたって、怪我とかしませんでしたか！？
みくる,はい。その人が助けてくれましたから
ハルヒ,困ってる人を助ける。それも相手は貴族だっていうのになかなか出来る事じゃないわ！キョン、あんたも見習いなさい！
キョン,(是非見習いたいもんだ。それにしても、貴族に絡まれていた人を助けるとは･･･仮にその新入団員とやらが異世界人やエイリアンだったとしても少なくとも悪い奴ではなさそうだな)
古泉,素晴らしい正義感の持ち主のようですね。我らが団長と麗しき朝比奈さんを窮地から救い出した方とあらば、お礼の言葉を送らなければなりません
キョン,まぁそうだな。お前はどうか知らんが、貴族を相手にするなんて少なくとも俺には到底無理だ。尊敬するぜ
ハルヒ,でしょ！頭も良さそうだし正義感は抜群だし良い男だしSOS団の団員たる資格と資質を十分に兼ね備えた逸材だと思うわ！
キョン,(はて、ハルヒは俺にもその団員たる資格や資質を見出しているのだろうか？)
みくる,きっとキョンくん達ともすぐに仲良くなれると思いますよ！
キョン,はは、そうですか。朝比奈さんが言うなら間違いないでしょうね
ハルヒ,あっ！来たみたいよ！！入っていいわよ！
ルルーシュ,････
ハルヒ,よく来てくれたわ！みんな紹介するわね、彼が新入団員のルルーシュ・ランペルージ君よ！
キョン,なっ････
長門,････
古泉,これは驚きましたね。まさか新入団員が彼だったとは
ハルヒ,古泉くんルルーシュの事知ってるの？
古泉,えぇ、昨日初めてお会いしたばかりですが
キョン,おいハルヒ、その人は生徒会の副会長だって事知ってるんだろうな？
ハルヒ,勿論知ってるわよ！何か問題でもあるの？
キョン,いや････別にないが(昨日まで生徒会を目の敵にしてただろうが)
ルルーシュ,言っておくが、俺はこんなわけの分からん部に入るつもりなどないからな
ハルヒ,はぁ！？何よそれ！！話が違うじゃない！！
ルルーシュ,話が違うも何も、お前とまともな話をした覚えなどない！人の意見も聞かず一方的に話を進めただけじゃないか！
キョン,(だろうと思ったぜ。この人が自ら入団を希望するなんてとても思えんからなまぁこの人に限らずそんな物好きはこの世に一人としていないだろうが)
ルルーシュ,だからここでキッパリと言っておく！俺はお前の部には入らない！諦めるんだな！
ハルヒ,そんな勝手は通用しないわ！だいたい入団したての新米が団長に意見しようなんて100万年早いのよ！
ルルーシュ,勝手を言っているのはお前の方だろ！それに俺は入団などしていない！
ハルヒ,ふーん、どうしても入らないつもり？
ルルーシュ,当たり前だ
ハルヒ,キョン、そこにあるデジカメとって！それとみくるちゃんちょっとこっち来て！
みくる,へ？あたしですか？
キョン,おいハルヒ、お前まさかまたあれをする気じゃ･･･
ハルヒ,フフーン♪
ルルーシュ,あれというのはコンピュータ研の部長を陥れた際に使った策の事か？
ハルヒ,！？
ルルーシュ,フン、図星のようだな
ハルヒ,どうしてアンタがそんな事知ってるのよ！？
ルルーシュ,ここに来る前にお前がこれまでにとった奇行愚行の数々を調べただけだ。俺にはそんな安い手は通用しない
ハルヒ,くぅぅ･････
キョン,(あのハルヒが完全に押されている･･･やるな副会長)
ルルーシュ,打つ手無しといったところかな？では俺はこれで失礼する
ハルヒ,待ちなさい！じゃあ将棋で勝負しましょう！！
ルルーシュ,将棋？
ハルヒ,そう！アンタが勝ったら入団の件は諦めるわ。ただし私が勝ったら
ルルーシュ,入団というわけか
ハルヒ,そう！
ルルーシュ,いいだろう、面白い！将棋というゲームには前から興味もあったしな
キョン,興味があったって･･･やった事ないのか？それじゃゲームにならんだろう
ルルーシュ,駒の動かし方と基本的なルールさえ把握できれば後は何の問題もない
キョン,問題ないって･･･将棋には定跡ってものがあってだな駒の動かし方が分かっただけじゃ話にならんぞ？
古泉,大丈夫だと思いますよ。彼はチェスのエリア大会で何度も優勝している猛者です駒の動きを理解しただけでも十分な実力を見せてくれると思いますよ
キョン,そうなのか？
ルルーシュ,あぁ。6連覇中だ
キョン,ろ、6連覇だと･･･
ハルヒ,相手にとって不足無しね！古泉くん、ルルーシュに駒の動かし方教えてあげて
古泉,かしこまりました
ルルーシュ,理解した。早速始めよう
キョン,もう全部の駒の動きを把握したのか？ややこしい動きをする奴もあるから俺なんかはちゃんと理解するのに結構時間がかかったが
ハルヒ,アンタとルルーシュとじゃ頭の出来が違うんでしょ
キョン,あぁそうかい
ハルヒ,先手は私ね！
ルルーシュ,お好きにどうぞ(確か将棋は取った相手の駒を使用できるんだったなチェスよりもいろいろな策を組めそうだ。完膚なきまでに叩きのめしてやる)
ハルヒ,王手！！！！
ルルーシュ,なっ！？
キョン,おぉ！
ハルヒ,勝負ありね！私の勝ち♪約束通りSOS団に入ってもらうからね！
ルルーシュ,ありえない･･･俺がこの手のゲームで負けるなど･･･それもこんな奴に
ハルヒ,フフーン♪まさか今更ゴネたりしないでしょうね？
ルルーシュ,･･･フン、約束は守るさ
ハルヒ,それでこそ男だわ！SOS団にようこそ！今更自己紹介ってのもあれだけど一応しとくわね、私が団長の涼宮ハルヒ！そこにいるメイド服の子は朝比奈みくるちゃん、ずっと本を読んでるのが長門有希！
みくる,ルルーシュくん、よろしくお願いしますね
ルルーシュ,え･･･えぇ
ハルヒ,そんでそこに立ってる格好良いのが古泉くん！冴えない顔をしてるのがキョンよ！
古泉,古泉です、よろしくお願いします
ルルーシュ,キョンというのは？
キョン,勿論あだ名だ
ハルヒ,みんなそう呼んでるから、アンタもそう呼ぶといいわ
ルルーシュ,団員の顔と名前は分かった。ただ最後に一つだけ聞きたい事があるんだが
ハルヒ,なに？
ルルーシュ,生徒会室で申請書を見たときから謎だったんだが、この部･･･いやSOS団というのは具体的に何をする団体なんだ？これまでの活動内容なども加えて教えてくれると助かるのだが
ハルヒ,いいわ、教えてあげる！それはね
ルルーシュ,(まさか本当に宇宙人その他と一緒に遊ぶなどというふざけた理由じゃないだろうな･･････)
ハルヒ,宇宙人や未来人、超能力者を見つけて一緒に遊ぶ事よ♪
ルルーシュ,････冗談だろ？
ハルヒ,この場面で冗談なんて言うはずないじゃない。大マジよ
ルルーシュ,くっ････(俺の学園生活が･･･)
C,それで結局そのSOS団とやらに入る事になったのか
キョン,心中察するぜ。ハルヒと関わっちまったのが運のつきさ。諦めろ
ルルーシュ,･･･あぁ
C,良かったじゃないかルルーシュ。新しい友達ができて
ルルーシュ,ちっとも良い事などあるか！
C,だがお前の話を聞く限りではなかなか面白そうな奴じゃないかその涼宮ハルヒという女は
ルルーシュ,何処が面白いんだ。俺にはただの馬鹿としか思えん
C,その馬鹿に将棋で負けたお前はいったい何なんだろうな
ルルーシュ,今になって考えるとあの対局はおかしかった･･･上手く説明できないが、身体が頭で考えてる事と間逆の行動をとっていたようなそんな感じだった。あれはいったい･･･
C,何を意味の分からん事を言っている。言い訳とはらしくないな
ルルーシュ,言い訳じゃない！確かにあの時、そんな感覚があったんだ･･･
C,そうか、そんなに悔しかったのか。次は勝てるといいな坊や
ルルーシュ,くっ････。取り敢えず、生徒会と黒の騎士団を両立しなければならない俺にとって現状は好ましくない
C,二つも三つもさして変わらんだろ
ルルーシュ,普通の部活ならな。残念ながら涼宮ハルヒは勿論の事SOS団なる団体もかなり異質と言わざるを得ない。たった一日関わっただけなのに既に俺の頭はあの馬鹿女のせいでパニック状態だ。長く付き合えば必ず黒の騎士団の、ゼロとしての活動の弊害となるだろう
C,ではどうする？ギアスを使うか？
ルルーシュ,フン、取り敢えず暫く様子を見て判断するさ
C,そうかそうか、お前はいろいろと大変だな。ところでルルーシュ
ルルーシュ,ん？何だ？
C,宇宙人や未来人、超能力者とやらは本当にこの世に存在すると思うか？
ルルーシュ,何だ急に？いるわけがないだろ。あの女の脳内にしか存在しないさ
C,普通の人間から見れば、ギアスを使えるお前は十分超能力者に見えるんじゃないか？
ルルーシュ,･････何が言いたい？
C,いや、ただお前がSOS団に入ったのは偶然ではなく必然だったのかもしれないと思っただけさ
ルルーシュ,気味の悪い事を言うな。偶然だ
C,だといいな
ハルヒ,じゃあさっき分けた班ごとに行動しましょう！キョン、古泉くん、何か不思議なものをみつけたら直ぐに私に連絡すること！いいわね？
キョン,あぁ、わかったよ
古泉,了解しました
ルルーシュ,待て！どうせなら俺もキョンや古泉の班に入りたいのだが･･･
キョン,そうだな、この際男女で分けた方がいいんじゃないのか？
ハルヒ,駄目よ！ルルーシュは今日が始めての不思議探しなんだから最初は私がしっかり基礎を教えてあげないとね
キョン,(何の基礎があるっていうんだ･･･)
ルルーシュ,(奇天烈女に無口女･･･まともに話せるのは朝比奈みくるだけか･･･)
ハルヒ,今9時だから、12時半になったらいつもの喫茶店に集合ね！それじゃ解散！！
ルルーシュ,で、不思議探しとは具体的に何をするんだ？
ハルヒ,特別何かをする必要はないわ！ただ街を歩くだけよ
ルルーシュ,そんな事だろうと思ったが、だったら俺が向こうの班に行っても問題なかっただろ･･･
ハルヒ,何処か行きたい所とかある？
ルルーシュ,ない
ハルヒ,有希は？
長門,ない
ルルーシュ,(そういえばこいつの声を聞いたのは初めてな気がする)
ハルヒ,みくるちゃんは？
みくる,新しいお茶の葉を買いたいんですけど
ハルヒ,いいわよ！じゃあ駅前のデパートに行きましょう！
ルルーシュ,はぁ･･･
キョン,さて、何処で時間を潰したもんかね
古泉,少しよろしいでしょうか？
キョン,何だ？トイレか？
古泉,いえ、そういう事ではなくて。ルルーシュさんの事をどう思いますか？
キョン,ルルーシュ？どう思うって言われてもな。入団以来毎日部室に顔を出してるし、今日だって休日だってのにああやって集合してるんだ悪い奴ではないと思うぞ
古泉,えぇ、僕もそう思います。しかし
キョン,しかし、何だ？
古泉,涼宮さんが宇宙人や未来人や超能力者と一緒に遊びたいと望んだ結果僕や長門さんや朝比奈さんが集まりました。では彼は何者なのか？と思いませんか？
キョン,思わんね。俺みたいにただ単に集められただけなのかもしれないだろ
古泉,言っておきますが、アナタはただ単に集められたわけではありませんよ普通の人間である事は間違いありませんが、涼宮さんがそう望んだ以上必ず理由がありますその理由に関して個人的な見解があるのですが、お聞きしますか？
キョン,聞きたかないね
古泉,そう言うと思いました。何か理由あがあるはずなんですよ。涼宮さんがルルーシュさんをSOS団に入れたのには必ず
キョン,窮地のハルヒと朝比奈さんを助けたってのは理由にならんのか？
古泉,そのくらいで涼宮さんが目をつけるとは到底思えませんね
キョン,だったら何だ、あいつは異世界人だとでも言いたいのか？
古泉,勿論その可能性はありますが、まだ何とも。一応調べてはいるのですが
キョン,調べる？ルルーシュをか？
古泉,えぇ。何しろ急に現れた新団員ですからね。徹底的に調べてますよ
キョン,だったら何か分かってるんじゃないのか？
古泉,それがさっぱりでしてね。ここ数日、複数の機間の人間が彼を監視していたのですが、目ぼしい情報はこれといってありませんでした
キョン,だったら普通の人間なんだろ。お前の早とちりだ
古泉,そうかもしれませんね。監視係は揃って何も異常はないばかりですしただそれ以外にも気になる事があるんですよ
キョン,何だ？
古泉,現在の彼の状況です。現在彼は妹さんと一緒に学園内にあるクラブハウスで生活しています。両親はおらず、アッシュフォード家が経済的な面での支援を行っているようです
キョン,何でアッシュフォード家がルルーシュ兄妹の支援をしてるんだ？
古泉,不明です。出生や経歴を調べようにも情報が全く出てきませんでしたそれらの事を踏まえて考えても、やはり僕には普通の人間という風には思えません
キョン,いっその事直接本人に聞いてみたらどうだ？
古泉,それは少々危険な気がしますね。なんというか、彼に大しては慎重に対応した方が良いように思います
キョン,他には何かないのか？
古泉,監視初日にあがってきた情報なのですが、どうやら彼は同棲しているようです
キョン,なに！？お前さっきは妹と二人暮らしって言ってたじゃないか
古泉,表ではそういう事になっていますが、実際は違うようです彼自身その事実はオープンにしていません
キョン,同棲だと･･･相手はどんな奴だ？可愛いのか？
古泉,とびっきりの美人だとの報告を受けています
キョン,くそっ････なんて羨ましい奴だ
古泉,おや、あなたもそのような願望をお持ちなのですか？
キョン,そりゃ俺も健康な男子だからな。人並みには持ち合わせてるつもりだ。そういえば、ルルーシュが入団するキッカケになったあの対局の事なんだが･･･あれにはやっぱりハルヒパワーが絡んでたのか？
古泉,えぇ、恐らくそうでしょうね。普通にやれば涼宮さんがあの手のゲームで彼に勝つ事は到底無理でしょう。何としても勝ちたいという強い思いがあの結果を生んだのでしょう
キョン,俺でも分かるようなあからさまなミスを連発してたもんな、あいつ。なるほど、やっぱりハルヒの力が原因だったわけか
古泉,彼に関してはもう少し調査を続けようと思ってます。何か新しい事が分かったらすぐにあなたにお教えしますよ
キョン,その事なんだがな、長門の意見も聞いてみたらどうだ？あいつならお前が掴んでないような情報も知ってるだろうよ
古泉,先日尋ねてみましたが、我々同様調査中との事です統合思念体でさえ彼の調査には苦労しているようですね
キョン,そうなのか。朝比奈さんは？
古泉,朝比奈さんに関してはそれらの事を疑ってすらないでしょうね彼に何の疑問も感じず過ごしている様子を見る限り、未来から特別な指示や連絡は受けていないのだと思います。･･･と、もうすぐ12時です、そろそろ戻りましょう
キョン,そうだな
C,おかえりルルーシュ。あまりに帰りが遅いから勝手にピザを頼ませてもらったぞ
ルルーシュ,･･･お前、また許可なく人のキャッシュカードを使ったな
C,仕方ないだろ。私に餓死しろとでもいうのか？
ルルーシュ,一食抜いたくらいで餓死するわけないだろ
C,全く、うるさい男だ。それにしても随分と遅かったな不思議探しだったか？成果はあったのか？
ルルーシュ,あるわけないだろ。一日中街中を歩き回ってただけだデパートでお茶の葉を買ったり、図書館で本を読んだり、喫茶店で食事をしたり･･･
C,まるで小学生の休日だな
ルルーシュ,同意してやる。まったく、貴重な休みを潰された気分だ
C,そんなに嫌なら何故毎日甲斐甲斐しく部室に顔を出す？それに今日は休日だいろいろと理由をつければ回避する事だって出来ただろう？
ルルーシュ,少々興味のある事があってな
C,興味？何の事だそれは？
ルルーシュ,涼宮ハルヒ
C,･･･涼宮ハルヒに興味があると？
ルルーシュ,ああ
C,やれやれ、散々文句を言っておきながらほの字と言うわけか
ルルーシュ,おい、勘違いするな。興味があるとはそういう意味ではない
C,じゃあどういう意味だ？
ルルーシュ,お前には黙っていたが、俺はここ数日間何者かに監視されていてな
C,監視？まさかブリタニアの！？
ルルーシュ,最初は俺もそう思った。だから黒の騎士団を使い監視している者を一人拘束し、ギアスを使って尋問をしてみた。どうやら俺を監視しているのはブリタニアとは無関係の機間と呼ばれる組織の人間らしい
C,機間？
ルルーシュ,そして俺の身近にその機間とやらのメンバーがいる事もわかった
C,それが涼宮ハルヒか？
ルルーシュ,いや、あいつじゃない。古泉一樹だ
C,こいずみいつき？誰だそれは
ルルーシュ,SOS団の副団長。今では涼宮ハルヒの太鼓もちと化してる男だ
C,その太鼓もちの所属する組織がお前を監視する理由は何だ？
ルルーシュ,どうやら機間とやらは俺だけじゃなく涼宮ハルヒも監視しているらくてな
C,何の為にだ？
ルルーシュ,あの女には自分の願望を現実に反映させる能力があるようだ
C,願望を現実に？
ルルーシュ,これまでも無意識の内に数多くその力を発揮しているようだ。宇宙人や未来人、超能力者を見つけて一緒に遊ぶ･･･実はこの願いも既に成就している
C,ほう
ルルーシュ,SOS団にいるメンバーの内、長門有希は宇宙人で、朝比奈みくるは未来人そして機間に属している古泉一樹は超能力者との事だ
C,SOS団ってのはお前を含めて6人じゃなかったか？残りの1人は何者なんだ？
ルルーシュ,キョンの事か？あいつはただの人間らしい。何故涼宮ハルヒによって召集されたかは謎だそうだ
C,お前は超能力者枠か？
ルルーシュ,･･･まぁ、そうなるだろうな
C,何となく分かってきた。要するにその機間とやらは唐突に涼宮ハルヒの前に現れたお前が何者なのかを調べているという事だな？
ルルーシュ,あぁ。機間の中には涼宮ハルヒを神だと主張する者までいるらしくてな、神経質にならざるを得ないのだろう
C,自分の願望を現実世界に反映させる能力か。確かにまるで神だな
