その名も――,モンスターバトル
スライム,うるせえよ……てめえももうちょい段階踏んだ対戦相手にしろよ……。フツー、練習試合なら同じくらいの相手とやらせるもんだろ……
少年,いきなりハイレベルな相手にぶつけるのは失敗だったか
スライム,自覚ありかよ！タチ悪いなオイ！。ピィ……。あーあ、あのガキ、昔はもっと俺に優しくしてくれてたのに。モンスターバトルとやらをやるようになってからはすっかり鬼コーチだ。いや、鬼コーチというよりはブラック企業のクソ上司だな。このままじゃ、俺はずっと化け物どもと戦わされ続けることになる！。そんな人生は断じてゴメンだ！。こうなったらあのガキに反旗を翻して、自分の人生を取り戻すんだ！。あのガキはどこにいる！？。お、いたいた――
母,あんなスライム、もう処分しちゃいなさい！
少年,ダメだよ、絶対ダメ！
母,あんなのいくら鍛えたって強くなんかならないわよ！。エサ代ばかりかかって……あれなら犬や猫を飼った方がまだマシよ！。それに、あんたもあんたよ！
少年,！
母,一流のモンスタートレーナーになるっていうけど、大会ではいつも二回戦か三回戦止まり。こんなんじゃ、とてもプロになんてなれないわよ……。プロになれないんなら、モンスターバトルなんてやってても意味ないわ！。他の子は、勉強していい学校通ったり、スポーツで頑張ってるのに……
少年,他の子は他の子じゃないか！ボクはまだ子供だし、絶対一流になるよ！
母,無理よ、トップのプロトレーナーは子供の頃から大会で優勝を重ねてるものなのよ
少年,だから……これから頑張るから……！
スライム,……
少年,あ、スライム……ここにいたの
スライム,ピィ……
少年,君を処分なんか絶対させないからね！。ボクももっと戦い方を勉強して、頑張るから……
スライム,あーあ、あんな光景見せられたら、こいつをボコるわけにもいかねえなぁ。こいつがこんなになったのは、あの母親が原因だったか。だったらあの母親に痛い目見せれば……
母,ねえ、あなた聞いてよ。あの子――
父,子供のことはお前に任すっていってあるだろ
母,だけど……
父,それより、あんなヒステリックに怒鳴り散らすんじゃねえよ。あんなのが妻なのかって、ご近所での俺の評判まで下がっちまうだろうが……え？
母,でも……。ご、ごめんなさい
父,分かりゃいいんだ
スライム,この父親もとんでもねえな。だったらこいつを……
父,もしもし！あっ、専務ぅ～！。いえいえ、とんでもない！専務のお声を聞けて、小躍りしちゃいましたよぉ！。え、また飲み会で逆立ち回転腹踊りをやれ？……もちろん、やらせていただきますぅ～！。専務のためなら、たとえ火の中水の中、がモットーですので！。はいっ！はいっ！……ありがとうございます、専務！
スライム,……。ああ……なんとなく分かったような気がする。俺はモンスターだけが戦い戦わされてると思ってたが――そうじゃなかった。人間だって同じだ。人間だって常に誰かと戦い、誰かに戦わされてるんだ。それが試合場なのか、家なのか、学校なのか、会社なのかって違いだけだ。あの専務だってきっと、家族とか社長とかに戦わされてるに違いない……。社長だって……大統領だって……。いやモンスターと人間だけじゃない。みんな、みんな……
少年,スライム！
スライム,ピッ？
少年,次の大会はもっといい成績残さなきゃまずいんだ……だから特訓しよう！
スライム,ピィィッ！。おーし、やったろうじゃねえか！
少年,サンドバッグに体当たりだ！
スライム,ピイィッ！
少年,おおっ、すごい！サンドバッグがいつもより揺れてる……
スライム,ピッ！
少年,なんだかボク……やっと君と心が通じ合えたような気がするよ
スライム,俺もだよ
少年,尻尾攻撃が来る！ジャンプだ！
ティラノ,ギャウ！
スライム,ピイッ！
ティラノ,ギッ！？
少年,体当たりでひるませてから……
スライム,ピッ！
ティラノ,ギャウッ！
少年,口の中に入って、喉を詰まらせてやれ！
スライム,ピィーッ！
ティラノ,ギャッ！……っ！……っ！。……
審判,勝負あり！
実況,これは大波乱！少年とスライムのコンビが、上位入賞の常連、ティラノを破りましたァ！
少年,やったね、スライム！
スライム,ピイッ！。俺はしょせんスライムだし、どこまでいけるか分かんねえけど……。どんな生き方しようと、どうせ戦わされるってんなら、とことん戦ってやろうじゃねえか。このガキと一緒にな！
