母,じゃあ、姉妹三人で仲良くするのよ
めがほむ,私達は姉妹なんですよ！？。辻褄合わせかも知れませんもしかしたら血が繋がってなかったりするかもしれません。でも、ここで貴方達が私が関係ないからなんて言ったら。あなた達はこれから誰に頼れるっていうんですか！？
リボほむ,
めがほむ,姉妹に頼れなくてどうして赤の他人に助けを求めることが出来るんですか？
リボほむ,それは、信条の違いよ。もう誰にも頼らないそれが彼女の生き方であり、やり方
めがほむ,でも！
リボほむ,そう思うのなら
めがほむ,！
リボほむ,あなたが、彼女を助けたいと思うなら。私に言うべきじゃない、そうでしょ？
めがほむ,。
リボほむ,待って。紅茶でも買っていってあげなさい。貴方はまだ違うかもしれないけど、あの子は。暖かい紅茶が、大好きだったから
めがほむ,
ほむら,。。。。嫌よ。私をお姉ちゃんなんて呼ばないで。あなたにそんなふうに親しみを込めて呼ばれると吐き気がする。あなたが嫌いだからよ。分かったなら出ていって！
めがほむ,
ほむら,。その、眼鏡を外しなさい。鬱陶しい三つ編みをやめなさい！。あなたを見ていると本当にいらいらする！！
めがほむ,。弱虫
ほむら,は？。言うに事欠いて弱虫ですって？
めがほむ,だって、そうでしょ？。わ、私が貴方達の過去ならその姿を見たくないお姉ちゃんはただの弱虫だよ。気弱な私を認めたくないただの。きゃあ！
ほむら,今ここで、あなたを殺してもいいのよ？
めがほむ,
ほむら,私は、あなたを捨てたのよ。その眼鏡を外してね。そうまでしないとまどかは救えない！！。何も知らないあなたが！知った口を！
めがほむ,分かるよ！！！
ほむら,！
めがほむ,だ、だってお姉ちゃんは私なんでしょ？。今にも辛くて泣き叫んで逃げ出したい！。あなたの気持ち痛いほど分かるよ！
ほむら,っ
めがほむ,私だってお姉ちゃん程じゃないにしても辛い事沢山あった。そんな時、私どんな顔するか知ってる？
ほむら,
めがほむ,決まって、そんな顔するんだ
ほむら,
めがほむ,辛いよねさみしいよね。誰も分かってくれないよね
ほむら,う、あぁ！
めがほむ,頼ってよ今は私達姉妹でしょ？
ほむら,ううぅううぅぅぅ！！！
リボほむ,。私たちが捨てたのは弱さじゃなくて。他の大切なものだったのかもしれないわね
ほむら,ぐすっぐすっ
めがほむ,
ほむら,
めがほむ,泣き止んだ？
ほむら,ごめんなさい
めがほむ,ううん、いいよ
ほむら,あなたは、強いのね
めがほむ,強くなんて、無いよ。ただ、私は姉妹3人でご飯を食べたかっただけ。温め直すよ一緒にご飯食べよ？
ほむら,うんうん！
さやか,おっはよー、ほむらｽﾞ。あれ？一番上のほむらは？
ほむら,彼女は基本的に不登校なのよ、昨日は来ていたけど
さやか,何じゃそりゃ引きこもり？
ほむら,まぁ、そんな所ね
さやか,それにしても、二人何かあった？
ほむら,？
さやか,いや、壁がなくなってる気がしたからさ、そっちのほむらも、おはよ！
めがほむ,あ、そのおはようございます
ほむら,そう、かしら。まどかは？
さやか,んー、今日は風邪で休みだってさ
ほむら,そう
めがほむ,残念ですね
さやか,何をー、見滝原１の美少女さやかちゃんじゃご不満かー？。
ほむら,さ、さっさと教室に行きましょう
めがほむ,うん
さやか,あ、あははーまどかー辛いよー
リボほむ,はぁっ！。はぁはぁ！。っつ。また、その夢ね。。私だって救いたかったわよ。。気分でも変えに外にでも出ようかしら。。私の服は。そうだったわねあんまり私服持っていなかったかしら。どうしよう。魔法少女姿でうろつくのはまずいしかと言って制服だともっと。まぁ、いいかいざとなれば魔法を使って逃げれば
まどか,けほっけほっ
リボほむ,！！
諄子,ほらまどかー、足元気をつけな
まどか,う、うん！
諄子,全く、昨日腹出して寝てたんじゃないだろうな？
まどか,そ、そんな事しないよぉ
リボほむ,。っ。ぐぅぅぅぅぅううう！！！。っ！！！！
さやか,いんやー、すっかり遅くなっちゃったね
ほむら,あなたどこそこ連れ回しすぎよ
めがほむ,わ、私はすっごく楽しかったです！
さやか,へへー、一番下のほむらは素直だなー、姉ちゃんにも見習えって言っといて
ほむら,余計なお世話よ
さやか,ほんじゃ、また明日。うん、次はまどかと一番上のほむらも一緒にねー
ほむら,
めがほむ,
ほむら,楽しかった？
めがほむ,うん
ほむら,そうだったら、いいわ。っ
めがほむ,？。どうしたの？
ほむら,貴方はここにいて決して動いてはダメよ
めがほむ,え、えぇ？
ほむら,いいから！。帰ってきたら私のことも含めて必ず話すから！
めがほむ,。行っちゃった。綺麗な満月だな。あれ？。。ひゃあっ！？
ほむら,私に向けられている魔力からして、魔女だと思っていたけれど。それにしては、随分な殺気を感じるわ。あなたは、誰？
リボほむ,
ほむら,っ！？。あなた！何をして！
リボほむ,。決めたの。私は、あなたを殺して。もう一度まどかを救う！
ほむら,ぐぅっ！！
リボほむ,ずっとあなたに張り付いていれば、時間停止は使えないそうよね？
ほむら,このっ！。何を考えて！
リボほむ,私、彼女を救いたかった。だけど救うことが出来なかった。でも、今そのチャンスが巡ってきた。あなたを殺して、私はあなたに成り代わる
ほむら,何を馬鹿なことを！そう長くここにはいられないと言ったのはあなたで！
リボほむ,そんな事、誰が決めたの？
めがほむ,な、ななななな何ですか？。月が割れてえ？。あ、あなたは。あなたは、一体なんですか？
デビほむ,悪魔とでも読んで頂戴
リボほむ,こうして馬乗りになってしまえばあなたは何も出来ない
ほむら,
リボほむ,ふふふ、そうよ、簡単な事だった。もう一度まどかを救いたいならいくらでもやりようがあった。知らない少女を騙してその願いを使えばよかった。こんな風に、あなたを殺してしまえばよかった。ふふふふ、あははははははははは！！！
めがほむ,悪魔ですか？
デビほむ,えぇ、そうよ
めがほむ,あなたも、巻き込まれたんですか？
デビほむ,。私の場合は、少し違うわね。巻き込まれたのは、人生の選択の分岐点になった３人。まどかに救われた私と。まどかを救おうとしてる私と。まどかを救えなかった私よ
めがほむ,じゃああなたは
デビほむ,私？そうねあなた達になぞらえて言うなら。まどかを巣食ってしまった私よ。なんて、言葉遊びが過ぎるかしら
めがほむ,？
デビほむ,勘違いしないで欲しいんだけど、私はただ見に来ただけよ。この不思議な可能性の時間軸を
めがほむ,不思議な可能性？
デビほむ,本来なら有り得ない、この時間軸は、存在しない。だけど彼女が救おうとしてる私が、繰り返し続けた事で。因果の糸が限界まで集約して、特異点となった。その結果他の平行世界の可能性をも引き込んでしまった。そんな、天文学的確率からなる時間軸。それが、ここよ
めがほむ,？？？？
デビほむ,だけど私は俯瞰的存在。この世のあらゆる可能性を俯瞰から眺めることの出来る存在。少し気になったの。この世界で、あなた達はどんな選択をして、どんな結果が起こるのか
めがほむ,。よく分かんないですけどあなたは神様ってことですか？。私、神様になっちゃうんですか？
デビほむ,さぁ、私があなたの末路を認識しなければ私にとってはあなたは今のままよ。良ければ、あなたの未来を教えてあげましょうか？
めがほむ,要らないです
デビほむ,釣れないのね
めがほむ,あなたは！何をしにここに来たんですか？。あの二人があなただったとしたらあなたは！
デビほむ,私が、彼女達を救うことは、出来ないわ
めがほむ,っ！
デビほむ,私は、彼女に救われた私の、救おうとしてる私の、そして救えなかった私の末路。仮に私が彼女達を助けて救ったとして私が消えるわけではないけれど。そもそもそんな事は、出来ない。それは、言うなれば運命という力が影響してるから
めがほむ,
デビほむ,悪魔にも、出来ないことはあるの
めがほむ,
デビほむ,どう？理解出来た？
めがほむ,出来ません
デビほむ,
めがほむ,自分のことなのにあんなに辛い顔してる人のことなのに。まるで映画でも眺めるような感じで楽しんでるあなたが！！
デビほむ,。私は、眼鏡を捨てた。盾を捨てて、そして、彼女との約束も捨てた。そうして全てを見捨てて鹿目まどかを救うことが出来た。いえ、完全には救えてはいないけれど。そんな私が、あなた達をまるで映画でも眺めるような感じで見ていたら、いけないの？。私は出来ることは、したわよ？
めがほむ,。あの2人は人当たりが強くて勘違いされやすい人だけど。あなたは違う！あなたはただのクズだ！！！
デビほむ,。そう。後々影響を与えそうだから、私はこれで消えるわね。ヒントは与えてあげる、私のことは金輪際忘れることね
めがほむ,あれ？。私、誰と話してたんだっけ？
リボほむ,はははははははははははは！！！！！！！。今すぐあなたを殺して私があなたに成り代わる！！。まどかもきっとよろこんでくれる！！！。何度繰り返しても救うことの出来ないあなたより、私の方が！！！
ほむら,。それで、いいの？
リボほむ,何ですって？
ほむら,あなたは、それでいいの？
リボほむ,
ほむら,まどかを救えなくて、辛かったわよね。だからと言って、あなたはまどかとしたはずの約束を、捨てていいの？
リボほむ,っ。ぅぅああ。うううぅ！
ほむら,それであなたが満足なら、殺せばいい。私を殺して、間違った道を歩めばいい
リボほむ,黙れ黙れ黙れ黙れ黙れ黙れ黙れ黙れ黙れ黙れ黙れ！！！！。そんな約束ないも同じなの！！。私は、彼女の居ない世界には耐えられない！！。彼女が居ないと私は。寂しいの
ほむら,。。。まどかは。絶対に、貴方のことを忘れたりしない
リボほむ,っ！！！
ほむら,まどかがそういったなら、あなたは私は。それを信じるべきじゃ、無いの？。辛かったわよね、寂しかったわよね
リボほむ,ぅ、あ
ほむら,まどかが居ない世界なんて、きっと私も辛い。でも、あなたはただ１人の。まどかの事を覚えている友達なんでしょう？
リボほむ,あぁうううぁああああ！！！！
ほむら,あの子に見られたら、怒られるわよ。私を、忘れないでって
リボほむ,ううううううううぅぅぅぅぅぅ！！！
ほむら,。見てて頂戴。あなたはこの盾を捨ててしまったかもしれないけど。それでも、この祈りの結晶は、捨てたもんじゃないんだから
魔女,ｱｱｱｱｱｱｱｱｱｱｱ！！！
ほむら,私をここまで泣かせた罪は、重いわよ！
デビほむ,。ふふ、でも約束は破るものでしょ？。さぁ、あなた達はどんな選択をするのかしら？。何を選んで、何を捨てるのかしら
私は、それを,まるで映画でも眺めるような感じ」で、見ていてあげる
デビほむ,ワルプルギスを、迎えるところまでね。あら、そこのあなた。あなたも、出歯亀かしら。ふふ、なんてね。ふふ。つくづく巫山戯た存在だわ、因果を外れた存在と言うのは。せいぜい頑張ることね、3人とも
ほむら,
リボほむ,
めがほむ,あの
ほむら,どう？。落ち着いたかしら
リボほむ,そのごめんなさい
ほむら,全くよ、あなたはとても愚かだわ
リボほむ,
ほむら,私を殺そうとした事がじゃないわ、そんな事、私が一番知ってる。目的のために手段を選ばない、その気持ちを、私は知ってる。私が気に食わないのは、あなたがまどかの願いを蔑ろにしようとしたことよ
リボほむ,。ごめん、なさい
ほむら,
めがほむ,
ほむら,別に、怒ってなんか居ない。ただ
リボほむ,
ほむら,。ただ私だって姉妹でご飯を食べたかっただけよ
めがほむ,
リボほむ,ありがとう
めがほむ,あ、今日のご飯は何がいいですか？
ほむら,
リボほむ,唐揚げ
ほむら,私も
めがほむ,は、はいっ！。～♪。～♪あとは余った野菜の切れ端でよし。あ、ついでに片付けも済ませておこうかな
ほむら,
リボほむ,
ほむら,あれは、過去の私なのよね？
リボほむ,ええ、間違いないわね
ほむら,何よあの女子力
リボほむ,あなた、唐揚げの作り方分かる？
ほむら,。鶏肉を、油であげるのよね？
リボほむ,多分違う
ほむら,くっ！
リボほむ,どうしてあの子だけあんなに私たちと知識が異なるのかしらね
ほむら,。あなただって、私のことを知っているんでしょう？。私が繰り返してきた世界には一つとして全く同じ世界なんて存在しなかった
リボほむ,という事は
ほむら,ええもしかしたら彼女は魔法少女にならない世界の私、なのかもね
リボほむ,でもそれは、おかしいじゃない？。それだと、あなたは、生まれない
ほむら,もしかしたら、世界の運命は既に決まっているのかも
リボほむ,
ほむら,全てが台本通りに進む世界が無数にあって、それがこうして重なり合って
リボほむ,それだと、あなたがまどかを救えないのも台本通りになってしまうわよ
ほむら,
リボほむ,運命は決まっているんだとしたらあなたが台本を書き換えようとしていると言うことすら、台本通りになってしまう
ほむら,そう、かしら
リボほむ,もしかしたら、この事態すらも台本通りなの？
ほむら,
めがほむ,出来ました～
ほむら,
リボほむ,
めがほむ,あの何でそんな悔しそうな顔するんですか？
ほむら,
リボほむ,
めがほむ,。また、二人でお話してましたね
ほむら,んぐっ！
めがほむ,私、昔から体が弱くてああなた達なら知ってますね。だから、普段からのけ者にされててそれが嫌なんです。あの私はそんなに役に立たないでしょうか？。そんなに、頼りないでしょうか
ほむら,
リボほむ,
ほむら,そんな事、無い。だけど、あなたはまだ魔法少女になっていない。私たちは知っているのよ、魔法少女にならず、人間として生きていけることが、どれだけ幸福なことなのかを
めがほむ,
ほむら,はっきり言うわ、私はあなたに関わって欲しくない。例え、過去の自分だとしても関係の無い人間を巻き込むのはゴメンよ
めがほむ,そう、ですか
リボほむ,。。あ
ほむら,？
めがほむ,？？
リボほむ,そう言えばまどかが言っていたわ。今の私には、過去と未来全ての可能性の私が見える、って
ほむら,俯瞰的存在それじゃあ、あなたのまどかは文字通り本当の神様になったのね
リボほむ,ええ。そう考えると。あなたと私は別の可能性の私、なのかしら？
ほむら,？
リボほむ,確かに同一人物、今のあなたの成れの果てが私そう思っていたのだけれど。そもそも、単なる同じ可能性の時間軸の過去と未来の私が集まっても、辻褄が合わないと思わない？
ほむら,辻褄？
リボほむ,だって、この子は魔法少女にならない可能性の私、なんでしょう？。そして、私は魔法少女
ほむら,確かに、矛盾してるのかしら
リボほむ,そうよ、私達は単に同一時間軸或いは同可能性時間軸の過去と未来、そして現在の暁美ほむらじゃない。私達は姿形は一緒でも全く違う道を歩んだ。過去と未来だけじゃない並行する世界の、同一人物
ほむら,もっと分かりやすく言ってちょうだい
リボほむ,。つまりあなたは、私とは別の結末を迎えることになるかもって、事よ
めがほむ,？？？
ほむら,。私の魔法はあの時の世界と同じ地点まで飛ばしてくれるものだと思ってたけれど
リボほむ,今考えると、それもおかしいわね。そもそも平行世界なんて、お互い干渉しあえるものではない。魔法少女ならそれもできるかもしれないけど、そもそもあなたの願いはそうじゃない。まどかとの願いをやり直したい、でしょ？
ほむら,
リボほむ,だとしたら、考えることが出来るのはやっぱり。あなたは、単に時間を巻き戻している。それが、あなたの魔法、それ以上でも、それ以下でもない
ほむら,じゃあ、私が繰り返してきた世界で全く同じ世界なんて存在しなかったのはどうして？
リボほむ,さぁ。あいつの言葉を借りていうなら、あなたが繰り返したことによる因果律云々って奴なんでしょうね。でも、過程はどうあれあなたは、最終的には同じ末路を辿った
ほむら,っ！！。つまり、私にまどかは救えないそう言いたいの！？
リボほむ,いいえ。そうは言っていない。むしろ、道は開いたと見るべきよ
ほむら,？
リボほむ,あなたがここまで繰り返してきたことは、完全なる予定調和だった。あなたは、この世界を何度も何度も繰り返して、それこそ無意味に思える時間をやり直した。あなたの言うイレギュラー要素なんて、些細なものだったのよ。本当のイレギュラー要素は、私達。あなた自身の人生に、私たちは存在しないとするなら。本当の不確定要素は、私達。私達だけがあなたの台本を書き換えることが出来る。かも
ほむら,。でも、あなたは手伝うつもりなんて無いんでしょう？
リボほむ,ええ、そうね。でもそれは、あなたを手伝うことによって私の存在に矛盾が生じてしまう可能性があったから。でも、今の理論が正しいならそんなことは起こり得ない。だってあなたは、厳密には私じゃないんだもの
ほむら,っ！
リボほむ,。きっとね。まどかは、ここで私が立ち止まることを良しとしないと思うの。グダグダと、御託を並べたわね。私にも、あなたを手伝わせて頂戴。魔法少女でもない彼女が、あなたをこんなにも心配してくれている。ふふ、一番上の姉が手を貸さないわけには、行かないでしょ？
めがほむ,
ほむら,ええありがとう
さやか,おはよー、ほむら達
まどか,おはよ、ほむらちゃん
ほむら,おはよう
めがほむ,おはよう、ございます
まどか,あれ？一番上のお姉ちゃんは？
さやか,あー、まどか、一番上は不登校なんだってさ
まどか,ええ？
ほむら,そういう事なの
さやか,はー、今日は6人でご飯でも食べようと思ってたのにさー。仁美も来れないっぽいし全くさやかちゃんは悲しいよ
ほむら,あら、私達は行かないとは言っていないわよ
さやか,えっ？嘘！？一番上の姉ちゃんも連れてくる！？
ほむら,ええ、誘うつもりよ
さやか,よーっし、さ、どこ行く？どこ行く！？
ほむら,
さやか,あ、待って、その前にCD屋寄っていいかな？買いたいものあるんだよねー
まどか,いいよ
めがほむ,良いですよ
ほむら,ええ、私も構わないわ。さ、あなたもそろそろ出て来なさい。嘘はいけないわね、後を付けてくるだけじゃ彼女達はあなたのことを何も分かってくれないわよ
さやか,ん？なんだあれ？
ほむら,？。！。あなた達はここにいて
さやか,へ？
ほむら,絶対に、ここから離れてはダメよ
さやか,夢でも見てるの？
まどか,ほ、ほむらちゃんが消えちゃった
めがほむ,
さやか,ね、ねぇ焔は何か知ってるの！？。あれって、何！？あいつどこに行っちゃったんだよ？
めがほむ,私は。私は何にも知りません
さやか,ほ、焔？
めがほむ,。わ、私ってそんなに頼りないでしょうか！
さやか,！
めがほむ,あの２人はきっと辛いことを抱えてる。昨日、あの2人の会話を聞いていたんです。で、でもっ私には何のことだか分からなくてっ！。わ、私が力になるって言ってもお姉ちゃんはうんっていってくれなくて！
さやか,お、落ち着きなよ！
