王1,近頃魔物たちが行商などを襲撃しており相当の被害を受けておる。そしてその魔物はすべて魔王と呼ばれる存在が人間を生贄にして生み出したものだという。。さらに奴はわしの娘をも攫っていった。勇者よ、魔王を倒してまいれ！
勇者,敵に情けをかけられるなんて…ｸｿｯ
風,私に勝ちたければもっと鍛えなさい。何なら私が手伝ってあげてもいいけど
勇者,敵を強くする気かお前は？
風,ええ、今のところはそうなるわね
勇者,今のところは？
風,それはいずれわかるわ
勇者,それを今教えろ！！
風,今話しちゃったら面白くないのよ
勇者,ｸｿｯ！
風,…飛ばしちゃった。ただいま魔王
側近,おかえりなさい、風さん
魔王,無事だったか風の四天王
風,まだまだ弱いけど土ちゃんの時よりはだいぶ進歩してるわね。魔王のところに辿り着く頃には倒せるようになってるかもしれないわ
魔王,倒された時は倒された時だ。その時は四天王、そして側近。お前達に任せる
土,そんなことはまずないと思うけどね
風,土ちゃんじゃない久しぶり！
土,久々ね、風
風,久々に5人で集まりたいわねぇ
側近,そうですね
魔王,思い出話はここでするな
土,わかってるわよ
魔王,次は人間の国4に火の四天王を向かわせろ
側近,承知しました
魔王,…勇者がすでに人間の国4にいる…だと！？
側近,まさか風の四天王…
風,勢いに任せてふっ飛ばしちゃったわ♪
魔王,何をやってるんだお前は
勇者,ここは…どこだ…。あ、城だ…。ここはどこだ？
町人A,ここは城下町4よ…それがどうしたの？
勇者,そうか、ありがとう。(城下町4か…だいぶ遠くまで吹っ飛ばされたんだな)。なんだあれは？…ふむ、依頼掲示板か。ふむふむ…近隣の動物が謎の男に操られ凶暴化、そいつを倒して沈静化させてくれか…受けてみよう。はじめまして。俺は勇者だ
依頼人,私は依頼人だ
勇者,よろしく、依頼人さん
依頼人,よろしく頼む、勇者さん
勇者,では依頼内容を詳しく…。ふむ、洞窟に潜む男を倒せ、だけか。わかりやすい
依頼人,その通りだ。勇者さんには簡単だろう？
勇者,そうだな。では明日行こう
依頼人,明日か、頼んだぞ
勇者,ふんっ！
猫又,ﾆｬﾝ！？
勇者,はっ！
リザードマン,ｸｪ！
勇者,この下に標的がいるのか…？。行くぞ悪者！…依頼人！？
依頼人,騙して悪かったな、すまぬ
勇者,どういうことだ！
火の四天王,俺の本当の名は火の四天王だ
勇者,魔王の手下か
火,そういうことだ
勇者,だが他の奴と違ってお前は男じゃないか
火,ああ、俺ともう一人だけが男だ。正直ものすごく疎外感があrうおっと！？
勇者,そんなことはどうでもいい！俺はおまえに聞きたいことがある！
火,それは答えられる範囲で答えてやる。だからとりあえず剣をしまえ
勇者,ああ、いいだろう。では質問だ、お前は俺の敵か
火,否。お前が敵意を出さないのなら俺は攻撃をする気はない
勇者,ふむ、ではお前は先代勇者の仲間の戦士か
火,…答えられない
勇者,図星みたいだな
火,バレたのなら仕方ない。そう、俺たち魔王直属の四天王、そして側近は以前は先代勇者一行と呼ばれていた。俺はお前の予想通り戦士で土は魔法使い、風は賢者、水は僧侶
勇者,！！
火,そして側近が勇者だ
勇者,姉さんが…魔物…。そんなこと…信じられるか！！！
火,剣で俺に勝てるとは思わないほうがいいぞ？
勇者,うぉおおおおおおお！！！
火,まあ落ち着け
勇者,くっ…
火,言っておくが魔物になったのはいろいろわけがあってだからな？
勇者,信じ…られるか！
火,魔物になってなけりゃ全員死んでいた
勇者,なんだと？
火,まあそれは水の四天王…もといお前の姉に聞け
勇者,…そうさせてもらおう
火,ちったあ落ち着いたか。これ持って帰って宿屋でもっぺん考えな
勇者,ふざけるな炎の四天王！！。ｸｿｯ、逃げられた！！！
火,やっぱり衝撃の真実って信じられにくいんだな
魔王,おお帰ってきたか火の四天王よ
風,一気に情報与えすぎなのよ
火,あいつの弟だから物分かりはいいほうだと思っていたらこれだからな…
側近,いや仕方がないでしょうこれは
土,そんなもんかしらねぇ
魔王,勇者の性格の話はここでするな
風,ちぇ、わかったわよ
魔王,よろしい。側近、人間の国5に水の四天王を向かわせろ
側近,承知しました
勇者,火の四天王が言っていた…
火,魔物になってなけりゃ全員死んでいた
勇者,あれはどういうことなんだ？魔王が先代勇者一行を助けたというのか？その前に誰に頃されかけたんだ？。そしてこの伝説の剣…正真正銘の本物だ…。洗脳されてると思ったほうが自然なくらいだ。けどなんだかんだで未だに本気で襲われたことがないし…。本当に敵意がないのかもしれないな。よし、次は魔王城に向かおう。そのためには船着場のある国5へ行かないと。ここが城下町5か…運河が街中に張り巡らされているのか、面白い
人魚,いらっしゃい旅の人、ここは城下町5よ
勇者,(運河があるお陰でこの手の水棲の魔物には適した環境なのかもな)
人魚,ぼーっとしてどうしたの？行きたい場所があるなら案内するけど
勇者,船着場に行きたいのだが
人魚,あー、それならこの川をああいってこういってこう
勇者,川を泳いで渡れ、と？
人魚,あ、忘れてたわ。渡しのおっちゃん呼んでくるからちょっと待ってて。渡しのおっちゃーん！…あれ、お姉さん？まあいいや、お客さんだよー！
渡し,今行くからちょっと待ってて。はいお待たせ、でどこに行きたいの？
勇者,船着場へ行きたいのですが
渡し,わかったわ。乗ってちょうだい
勇者,あっちに大きい船が見えてるんですが本当にこっちで合ってるんですか
渡し,こっちのが近道なのよ
勇者,そうですか。どう見ても奥の方に来てるんですが
渡し,私を信じなさいな
勇者,は、はい
渡し,はい到着
勇者,明らかに違うだろここ！
渡し,あなたの目的地は船着場じゃなくて魔王城…
勇者,…！
水の四天王,そうでしょ勇者？
勇者,姉さん！…いや、水の四天王！！
水,別に言い直さなくていいのに
勇者,本当に姉さんか？そう安易には信じられない
水,それは残念、5年ぶりの再会なのに再会したと信じられないなんて。まあそのへんは後回し。今から魔王城に行くわよ！準備はできてる？
勇者,ちょ
水,準備万端そうね、えいっ！
勇者,待っ！？。(うん…このせっかちさ、どう考えても姉さんだ)
水,到着よ
勇者,着いた…のか
水,あの城の一番奥で待ってるわ。じゃ私はお先に失礼！
勇者,ちょ、ま！？。置いてかれた…。仕方ない、買い物していくか。城下町5で買い物しそこねてるし
水,ただいま
魔王,よ、よく帰ってきたな水の四天王
土,いくらなんでも早すぎやしない？
水,だって魔王城に連れて来いとしか言われてないしドンパチする場所なかったし
火,自分の弟に手を出したくなかったんだろ？
水,それはないわ。あの時の恨みはまだ晴らせてないし
風,ｺﾞﾆｮｺﾞﾆｮ(土、水と勇者の間に何かあったの)
土,ｺﾞﾆｮｺﾞﾆｮ(子供の頃にプリンを勝手に食べられたらしいわ)
風,
側近,と、とりあえず勇者がいつ来てもいいように用意しませんか？
魔王,うむ、そうだな。側近、竜とミノタウロスを呼んでこい
側近,承知しました
饅頭屋(スフィンクス),美味しい饅頭いかがですにゃー？
鍛冶屋(ゴーレム),武器…つくる…やすいよー
薬屋(アルラウネ),やくそうー、やくそう1枚10Gー
ラーメン屋(人間男),冷やし中華はじめました
勇者,(なかなか繁盛してるな。ほとんど魔物だけど人間もちらほらいるな)。…ラーメン食おう。おっちゃんラーメン一つくれ
ラーメン屋,へいおまち！
勇者,(超美味そう)。ごちそうさま
ラーメン屋,600Gだ
勇者,へい600G
ラーメン屋,まいどあり！
勇者,そういやラーメン屋
ラーメン屋,どうしたんだいお客さん
勇者,あんたはどうしてここで店やってるんだ？
ラーメン屋,昔住んでた国6が国1に滅ぼされた時に魔王さんたちに助けてもらったのさ。で帰る国もないからここで俺が唯一できるラーメン屋をやってるってわけよ
勇者,なるほど、有難う
ラーメン屋,またのお越しをー！
勇者,(魔王が人を救った…！？)。(でもなぜ…？)
側近,魔王様が人間を救ったと聞いて勇者がすごく困惑してますね
魔王,そりゃそうであろうな。実際当初は皆頃しの予定であったしな
側近,じゃあなぜ私たちを助けたりしたのです？
魔王,ラーメンだ
側近,はぁ！！？！？
魔王,我がこの世界に来て最初に人間界の街を偵察がてら巡ったのだよ。ここが人間界とやらか
ラーメン屋,へいらっしゃい！
魔王,そこの男、ここはなんの店だ？
ラーメン屋,あっしにいってるんですかい？ここはラーメン屋ですぜ旅の人
魔王,ラーメンとはなんだ？
ラーメン屋,こんな旨いものを知らないなんて人生損してますぜ？
魔王,食物か。では空腹になってから来るとしよう。前言撤回、今いただくとしよう
側近,…でそのラーメンの味に感動して人間を滅ぼすのをやめた、ということですか？
魔王,うむ、そういうことだ
側近,もしかしてそのラーメン屋って…
魔王,今は城下町でやっているラーメン屋だ。美味いだろう？
側近,
勇者,来たぞ魔王！！
竜,勇者様、魔王城へようこそ。わたくし竜が城内をご案内いたします。勇者様、こちらでしばらくお待ちください。準備ができ次第ご案内いたします
勇者,わかった
プリン,食べて、どうぞ
勇者,お、プリンが置いてある。けど罠かもしれないな
プリン,食べて、どうぞ
勇者,やっぱりな
水,ちぇっ、引っかからなかったのね
側近,さっき厨房から火さん専用激辛ソースを借りてたのはこの為ですか
水,ええ。ここでプリンの恨みを晴らそうとしたのよ
側近,
竜,準備が出来ました、こちらへどうぞ
勇者,わかった
魔王,よく来たな勇者よ。我が魔王だ
側近,どうも、先代勇者改め側近です
勇者,お前が魔王か！！
魔王,そうだ。が我はお前と戦いたいわけではない。食事でもしながら話をしようではないか
勇者,ちょっとその前に
魔王,なんだ？
勇者,姫はどこだ？
魔王,ああ姫か
勇者,その首飾りは1王家のものだ！さてはお前！！
魔王,(え、これそうだったのか！？側近！)
側近,(あ、確かにそうですね)
魔王,(これのせいであらぬ疑いかけられてるみたいだから今すぐに姫連れてきて！)
側近,(こんな事もあろうかと呼んでおきました)
魔王,(ありがとう側近)出てこーい姫ー
姫,魔王ーどうしたのー？
勇者,姫！！ご無事でしたか！？
姫,誰この人
魔王,この人は勇者だ
姫,勇者…ってことは…。やだやだ！お城やだ！！！。わたし魔王といっしょにいたい…
勇者,姫…なぜ！
姫,お城にいたらぶたれる…
勇者,え…
魔王,姫、ちょっとその上着を脱いでくれ
姫,わかった…
勇者,…何だその傷と痣は！？
姫,お父様とお義母様が…
勇者,なんだと…！
魔王,最初は取引のために攫ったのだがどうも城では愛されていなかったようでな
勇者,ふむ、では姫は魔王の元から離れたくないようだと伝えておこう
魔王,頼んだ。では姫、食事にしよう。今日のはたんと豪華にしたから期待するがいい
姫,♪
魔王,ミノタウロス！食事の用意だ！
ミノタウロス,はい！
勇者,で魔王よ
魔王,なんだ勇者よ
勇者,なんで姉さんたちが魔物になってお前の下についてんだ？
魔王,聞いてなかったのか？
勇者,聞く前に頃られたりいなくなったりぶっ飛ばされたりでまだ聞けてないんだよ
魔王,そうか…では我が説明してやろう
6門番,敵襲！！！
王6,誰の襲撃だ！！
6兵A,国1です！
王6,国1だと！？どう考えても勝てぬではないか！今すぐに逃げよ！！
6兵B,総員退避！！！女子供を優先せよ！！！
町人B,たす…
1兵A,1国民にあらずんば人にあらずだぜヒーハー！！！
町人B,ひいっ
1兵B,野蛮な6国民は皆頃しだぜぇ～ワイルドだrうれえろお！！
1兵A,Bっ！？誰のしわざdあぷぱ！！
先代勇者,宿屋で寝ていたら敵襲ですか…
先代僧侶,けどこれ魔王軍じゃないよね？
先代賢者,明らかにこれ国1の紋章ね
先代戦士,町人を助けるために2人ほど頃ったからもう抗戦しかないな
先代魔法使い,こうなっちゃ仕方ないわね、そおりゃ！
1兵軍団,ぶげ!!あーーーがが…はか…は～～はあ
先魔,私の魔法は特別よ！
先戦,魔法使いに負けてられないな！うおおおおおおお！！！
1兵軍団,ぶ!!ぶげぐうぎじじじ
先賢,すごいわね…じゃあ私も！
1兵軍団,う…はあぐ!!なっぐああああはぎゃああ!!
先僧,みんな強いなー。勇者やっちゃって！
先勇,わかりましたっ！
1兵軍団,やめてとめてやめてとめてやめてぇ!!とめった!!
先勇,だいたい倒せましたかね？
先戦,あれは…増援！？
先魔,しかもさっきよりはるかに多い！
先賢,もう魔法ほとんど使えないわよ？
先僧,もう…だめみたいね
1兵3,死ね逆賊！！
先勇,(防御が間に合わない！！)。あ…が…
1兵3,勇者討ち取ったり！！あとは首を切って王様に献上だ！これで大出世dあおが!!
？？,人間界観察してたら人間が頃し合いをやりだした
勇者,お…ま…
魔王,我は魔王だ。生きたいか？
勇者,なか…ま…
魔王,すでに全員保護してある。がもう危ないな
勇者,みな…を
魔王,わかった、ふんっ！
1兵全員,ぼげぶげぺぷちゃべはぶらばらびィえかぴぷあぶたびぎょへ!!
先勇,…ここは…
魔王,我の城、魔王城だ
先勇,助けて頂いてありがとうございました。うーむ、体に少々違和感が…
魔王,当たり前だ、今のお前たちは魔物だ
先勇,！！
魔王,ほれ鏡だ
先勇,目の色が…あと髪の色も…。私に何をしたのですか！
魔王,死にかけのお前を使って魔物を創った。姿形記憶全部元のまま残るとは思っていなかったがな
先勇,なるほど、で皆は！？
魔王,全員助かった。無論全員お前と同じく魔物の体にはなっているがな
先魔,勇者！！
先勇,先魔！みんなも無事だったのか！！
先戦,見た目はちょっと変わってしまったけどな
先賢,魔王、このたびは助けていただいてありがとうございました
魔王,いえいえ、たまたま目の前で死にかけていたからな。(錬成術式の実験が一気に5回もできたしな)。して勇者よ、これからどうする気だ？
先勇,どうしましょうかね？魔物討伐はされる側になってしまいましたし
魔王,まだ魔物お前たちしか創ってないけどな
先僧,えっ
魔王,あの時あそこにいたのは侵攻のための下見だからな。だがあの町のラーメンとやらは最高に美味であった
先魔,はぁ？
魔王,だから我々魔王軍は人間との共存を目指そうと思う
先魔,そう…
先戦,軍とはいってもまだ1人もいないんじゃ？
魔王,だから勇者たちよ、我の仲間となってほしい
先僧,わかったわ、手伝ってあげましょう
先勇戦魔賢,！？！？！？！？
先戦,まあいい、あんたみたいなの嫌いじゃないぜ
先賢,僧侶がああ言うならしかたないわね
先魔,もう知らない！
先勇,命の恩人ですしね
魔王,ありがとう。ではここに魔王軍結成を祝して。乾杯！。…あれ？
先勇戦魔賢僧,
魔王,そんな金すらなかったのだったな我々には…。と言った感じで彼らは四天王&側近として頑張ってくれているのだ
勇者,側近があんたに対して敬語なのは…
魔王,あいつの性格だろうな
勇者,はぁ。姉さん
水,…！！
勇者,姉さん…？
水,5年ぶりに姉さんって呼ばれた…しかも2回も！
勇者,やっぱり水の四天王って呼ぼう
水,…
勇者,で本題。さっきのプリンってもしかして姉さんが置いたの？
水,…！
勇者,やっぱり。で何かしら変なもの入れてたでしょ、激辛ソースとか
水,…！！
勇者,だと思った。でなんであんなことを？
水,…プリンの恨み
勇者,未だにそんなの引きずってたのかよ！？ほれプリン
水,許す
魔王,あっさり過ぎやしないか水の四天王よ…？
水,プリンの恨みはプリンでのみ晴らされるのよ
魔王,そ、そうか
水,じゃあプリンいっただきま～す！。ヘゲェ!!。
魔王,もしかして
プリン,ざまぁみろby勇者
魔王,因果応報…だな
勇者,そういや魔王、俺を呼んだのなんでだったっけ
魔王,ああ忘れていたな、我がお前をここに呼んだのは…。2つほどおつかいを頼みたいのだ
勇者,へ？
魔王,まず一つ目はこれの解読を頼んできてほしい。古代の人間の言語で書かれているのだが我にはすべての解読ができなかった
勇者,これには何が書かれてるんだ？
魔王,魔物を創る方法だ
勇者,ふむふむ魔物を…ぇええええ！？。じゃあ今までのあの子たちはどうやってたの！？
魔王,読めなかった箇所を独力で埋めた
勇者,お、おう…
魔王,その結果非力な女しか生まれないのだと我は思うのだ
勇者,な、なるほど
魔王,そして二つ目の頼み事は王1と話がしたい
勇者,なぜ？
魔王,国6のことだ
勇者,そうか、わかった
魔王,勇者よ、瞬間移動魔法は使えるか？
勇者,残念ながらできない
魔王,そうか。風の四天王よ、勇者とともに人間の国1へ向かってほしい
風,わかったわ
魔王,よろしく頼む
研究員,お久しぶりです勇者様。魔王討伐の道中で面白いものでもありましたか？
勇者,ああ、これだ
研究員,これは…魔物錬成術！？ｽｹﾞｪ！！今すぐにでも解読してきます！！！
勇者,ちょっと待て
研究員,なんですか勇者様？
勇者,ｺﾞﾆｮｺﾞﾆｮ(くれぐれも王様には内緒で頼む)
研究員,ｺﾞﾆｮｺﾞﾆｮ(了解です)。我が世の春が来たー！！！
勇者,おーたのんだぞー
風,大丈夫なのあの人
勇者,いい意味での変態だから問題ない、きっと
風,きっとって…
王1,よくぞ戻った勇者よ！してその女は誰じゃ？
勇者,旅の途中で仲間にした賢者です
風,風と申します。よろしくお願いいたします
勇者,このたびは王様に頼みがあって参りました
王1,なんじゃ
勇者,王様に会いたいというものがおりまして
王1,何者かね
勇者,それは明かせませんが信頼の置ける人物であると保証します
王1,うーむ…まあお主が言うなら信用しようではないか。あす連れてまいれ
勇者,ありがとうございます。では
王1,兵よ、勇者を捕らえよ！
勇者,えっ！？
王1,研究所のある研究員が魔物の製造法を解読しておったのを別のが発見してな。尋問したら勇者に貰ったと言っておったわ
勇者,風！ここの牢の場所知ってるよな？
風,ああ、なるほどね
勇者,そういうことだ
王,逃げられた！！
研究員,解読は完了した！！が教える相手がいない！！！
看守,そうだ貴様はここで死ぬ身だからnうい!!ぽあ
勇者,研究員！無事か？
研究員,勇者様！例のアレは解読しましたよ！！
勇者,ありがたい！がとりあえずここから逃げるぞ！
研究員,分かりました！
勇者,風！魔王城まで頼む！
風,わかったわ！
勇者,危うく処刑されるところだった…
魔王,交渉の余地なし…か
研究員,…おそらくこれがこういうことだと思います
魔王,おおなるほど！ではいきなりだがやってみるとしよう。研究員よ、そこのコウモリの入った籠をとってくれ
研究員,はいっ！
魔王,ではいくぞ？。…ﾌﾝｯ！
吸血鬼♂,…魔王様？
魔王,成功だ！
研究員,うぉおおおお！コウモリが人型に！！
吸血鬼♂,
魔王,研究員よ、このたびは感謝する。これからも我と共に研究をしてみないか？
研究員,是非！
魔王,勇者よ
勇者,なんだ？
魔王,明日の朝に四天王や側近とともに人間の国1へ向かおうと思う。そこで勇者、お前にもついてきてもらいたい。お前を頃そうとした罪は重い
勇者,ありがとう、もちろん付いて行く。が魔王
魔王,なんだ
勇者,姫は置いていくのか？
魔王,どちらもそれは望んでいるまい
勇者,それもそうだな
風,直接王の間に行くわ。みんな準備はいいかしら？
魔王,うむ
側近,はい
火,おう
水,ええ
土,ええ
勇者,ああ
風,じゃあいくわよ！
王1,勇者の懸賞金は1億Gでいいかなー…おおうっ！？
魔王,どうも王1、我が魔王だ。我が友を捕らえようとするとはな
王1,魔王が何用かね？
魔王,貴様の玉座を貰おうかな
王1,兵よこいつらを頃れ！！
近衛兵,くたばれ魔王！
土,あんたたちは寝てなさい！
近衛兵,はへぇっ
土,永眠の誘いやっちゃっていいかしら？
側近,頃しちゃダメですよ。じっくり傷めつけないともったいないでしょう？
土,側近怖い
側近,そうですかね？
魔王,もう兵は使えないぞ王1よ
王1,ぐぬぬ…お前は何が目的なのだ！
魔王,うーむ…国6を滅ぼした償いと先代勇者の本当の最期の公表、だな
王1,国6は我の父がやったことだ！我は知らぬ！！
勇者,お前の即位は13年前だったよな王様さんよ？！
魔王,大人しく国を明け渡すがいい。さもなくば姫がどうなろうと知らぬぞ？
王1,姫を頃すなら頃せ。むしろ好都合だ。国民よ！姫は魔王に頃された！そしてその魔王は今ここにいる！裏切り者の勇者も一緒だ！頃したものには報奨金10億だ！！。繰り返し告ぐ！魔王と勇者を頃したものは報奨金10億！！
魔王,風、そして側近よ
側近,はい
風,なに？
魔王,ｺﾞﾆｮｺﾞﾆｮ(姫を連れてこの国の一番目立つ所へ行け。そして姫に王の悪口を言わせろ
風,ｺﾞﾆｮｺﾞﾆｮ(わかったわ)
側近,ｺﾞﾆｮｺﾞﾆｮ(承知しました)。姫
姫,どうしたの側近
側近,国1に戻ります。そこでお父さんに対する文句を人前で大いに言ってください
姫,戻りたくない！けど文句は言いたい！
側近,じゃあ行きましょう。水、頼みます
風,いくわよ！
市民,魔王を頃せ！勇者を頃せ！。魔王とか絶対強いじゃないか。でも10億だぜ10億
側近,風さん、拡声お願いします
風,準備万端よ
側近,ありがとうございます。では行きますか。国民の皆さんこんにちは、先代勇者です
市民,先代勇者！？5年前に魔王に頃られたんじゃなかったのか！！？。本当に先代勇者だ！！
側近,私たちは5年前、国6という国で休息をとっていました
市民,魔王軍に滅ぼされたところだったっけな
側近,そしてその時、国1の大軍が攻めてきたのです
市民,！？
側近,そこで私たちは国6を守るために戦い、そこで瀕死の重傷を負いました。そこで6国民と私たちを助けてくださったのが魔王です
市民,魔王！？
側近,そして今魔王城下町で彼らは暮らしています。私が言いたかったのはこの国6の真実だけです。では姫、どうぞ
姫,えー、国民の皆さん、姫です
市民,姫だ！！。姫死んでないじゃねえかーッ！
姫,わたしはお城で暮らしている間ずっとお父様やお義母様に打たれたりいじめられたりしていました。これが証拠です
市民,ひでぇ…
姫,でも魔王が助けてくれました
市民,魔王スゲー
姫,今では友達もできて楽しいです！
市民,姫が笑ってる！。かわいい！
姫,私からは以上です♪
市民,姫を守るぞー！
側近,うまくいきましたね
風,じゃあ王の間へ行きましょ。姫はここで待っててちょうだいね
姫,わかった
魔王,側近、風、姫。用事は終わった。帰るとしよう
風,え
袋,なにわ!!らぎゃあ!!
側近,もしかしてそれ王1ですか
