課長,ｶﾞﾐｶﾞﾐｶﾞﾐｶﾞﾐｶﾞﾐｶﾞﾐ…
男,うむ。もし俺が敗北した場合、弔い合戦などするでないぞ
兵士,はい、その場合は反乱軍に降伏いたします。あっ、反乱軍リーダーがやってきました！
男,来たか……。む！？。お前は……同僚！？
同僚,王が代わったと聞いてまさかと思ってたが、やっぱりお前だったか
男,お前が反乱軍リーダーだったなんて……
同僚,俺は腐りきったペレペーニョを立て直すために立ち上がった。しかし、お前とは戦いたくなかった……
男,だからあの時、俺の王位継承を止めようとしたのか……
同僚,その通りだ……だが、こうなってはもう仕方あるまい！決着をつけよう！
男,望むところ！。でやぁぁぁぁぁっ！
同僚,だあぁぁぁぁぁっ！
男,うりゃぁぁぁぁぁっ！！！
同僚,ぐふっ！さ、さすがだ……。気迫が違ったか……
男,同僚！
同僚,これでこの国は……お前の、ものだ……。ペレペーニョを……いい国に、してくれよ……
男,ああ……約束するッ！世界中から羨ましがられる国にしてみせる！
同僚,頼んだぜ……リュウメイ……
男,同僚ッ！。同僚ォォォォォォォォォォォッ！！！
