老界王神,おめぇ、セルって知っとるか？
セル,だがやはり、貴様らに良いようにされるのは気分が悪い。孫悟空、大会に参加するには条件がある。もしこの第７宇宙が優勝した時には、地球にあるドラゴンボールで私を蘇らせてもらおう。無論只でとは言わん。試合に勝ち、全てが終わった時、私が貴様を打ち負かした時に、な
悟空,おめぇも自信あるみてぇだな
セル,当然だ
悟空,いいぜ、約束してやる
セル,よろしく
悟空,えぇ！？ベジータの奴、また入口壊しちまったんか！？
デンデ,一応修理は完了してますが…大丈夫なんですか？セルと修行なんて…
悟空,力の大会で勝ち抜くためには、こうするしかねぇさ
ポポ,修行出来て二時間…そっちじゃ一ヶ月もない
悟空,なんとかすっさ、な？セル？
セル,思わず期待に応えすぎてしまうかもしれんぞ
悟空,それならオラはさらにその先を目指すさ
セル,ふん…。これは…何もない空間…？。空気が薄い、重力も地球の十倍はあるな
悟空,精神と時の部屋ってんだ。ここでなら、１日で１年分の修行が出来る
セル,そうか…あの時、ベジータやトランクス、貴様達親子が急激な成長を果たせたのもこの部屋あってのものという訳だな？
悟空,へへ…まぁな
セル,通りで未来のトランクスや孫悟飯では１７号達にすら及ばん訳だ。だが今はこの最高の修行場所を私自身が使うことが出来る
悟空,…やっか？
セル,時間がないのだろう？早速始めようじゃないか
悟空,じゃあ…。はぁっっ！！
セル,超サイヤ人３か…
悟空,まずはこいつを乗り越えてもらわなきゃな
セル,ふっ…お手柔らかに頼むよ、コーチ
ビルス,遅ーーっっい！！何をやってるんだあの馬鹿はー！？
悟飯,父さん…。…！デンデ？
ピッコロ,どうした？まさか、悟空に何か…？
悟飯,父さんが、セルと修行！？
ピッコロ,へっ、あの野郎、また勝手な事を
悟飯,でも、父さんらしいです
悟空,だあっ！！！
セル,遅いっ！！
悟空,何！？
セル,はぁっっ！！
悟空,うああぁぁぁあっ！！。はぁ……はぁ……
セル,どうやら、三日前とは逆になってしまったようだな
悟空,やっぱすげぇな、おめぇは…オラが超サイヤ人３になんのに何年もかかったってのに、その壁をたった三日で超えちまうなんて
セル,すでに私の力は超サイヤ人３の遥か先にある。もういいだろう？さっさとブルーとやらに変身しろ。私が現世に戻ったからには、本気の貴様に勝たなければ意味はない
悟空,仕方ねぇな。けどまだまだ。おめぇには乗り越えなきゃいけない壁が残ってんだぜ…
セル,何？
悟空,はああぁぁぁ……！！。あああぁぁぁッッッ！！！
セル,その姿は！？。孫悟空の気を感じ取れなくなった、しかも赤髮…ブルーとは違う変身なのか…！？
悟空,超サイヤ人ゴッド、ブルーの一個前の変身だ
セル,一個前だと？
悟空,悪りぃがセル、今度はちょいとばかり厳しいぞ。こいつは今までの超サイヤ人とは次元がちげえからな
セル,くっ…！
悟空,さあ、第２ラウンド始めっか。ついてこれっかな？
セル,消えた！？ぐはっ
悟空,だあっ！！
セル,ぐはっ
悟空,まだまだっ！！
セル,ぐあああぁぁぁっ！！。し、信じられん…パワーもスピードも超サイヤ人３とは桁違いに上がっている！そして何より気を感じ取れない…！。はぁ……はぁ……
悟空,…………
セル,ちっ…！
悟空,でやっ！
セル,ぬんっ
悟空,波ぁぁーーっ！！
セル,くっ…！！
悟空,全部避けられたか…大分ゴッドのスピードに慣れてきたじゃねぇか、セル
セル,はぁ……はぁ……そいつはどうも。だがまさか、神の領域がこれほどまでとは……もっとも今の私には、超サイヤ人ゴッドのスピードを捉えるのだけで精一杯だがな
悟空,落ち込むことはねぇよ、オラだって他のサイヤ人の力借りなきゃここまで来れなかったからな。胸張っていいと思うぜ
セル,１７号達を探す時も思っていたが、気が捉えられないというのはやはりやりにくいな…
悟空,おめぇにはオラ達の細胞が入ってんだろ？だったら神の気を纏う事も出来るんじゃねぇのか？
セル,随分と簡単に言ってくれるじゃないか。が、神の気か…少し興味が湧いてきたぞ
悟空,期待に応えてくれんだろ？
セル,そうだったな。応えすぎるくらいにならねば
悟空,そうこなくっちゃ。まだまだいくぞ！
セル,ふん…
悟空,はぁっ！
セル,でやっ！
悟空,ぐっ！
セル,後ろだ！
悟空,だろうな！
セル,はぁ……はぁ……
悟空,はぁ……はぁ……
セル,ははは……どうだ、孫悟空
悟空,はぁ……はぁ……ああ、やっぱ、追いつかれちまったな。まさか三日で超サイヤ人３を超え、二週間でゴッドと互角にまでなるとはな……ザマス、強え奴の身体が欲しいって言ってたおめぇの気持ちがオラにもちょっとわかったぞ…
セル,このままゴッドと戦い続けるのもいい修行になりそうだが……
悟空,ああ、時間がねぇからな……本番いくぞ……
セル,ようやくか……
悟空,はあああぁぁぁっ！！
セル,ふんっ
悟空,お待たせ！
セル,待っていたぞ、超サイヤ人ブルー…。ならば私も…
悟空,？
セル,はああぁぁぁ……！！
悟空,な！？
セル,うあああぁぁぁっ！！
悟空,この気は、まさか……！？
セル,待たせたな
悟空,おめぇ、そのオーラは……まさか……！
セル,流石に全身を金色にするのは芸がないからな。が、一度戦った貴様ならわかるだろう？このみなぎるパワーが
悟空,ゴールデン……フリーザ……！？
セル,ふふふふ……。まさかこれほどの力が……流石は宇宙の帝王というだけある。感謝するぞ、貴様があの時地球に来なければ、ここまでの進化はなかった。そして孫悟空、貴様もだ
悟空,へ……へへへ……。こりゃあマジでやべぇかもしんねぇ、ベジータやブルマには怒られるだけじゃすまねぇな。でもよ、やっぱり…！。いくぞ、セル！オラすげーワクワクすっぞ！
ビルス,ぐ……ぬぬぅ……！。えーーいっ！もう３０分を切ったぞ！まだなのかあいつは！？
界王神,作戦の事もありますし、そろそろ来て頂かないと間に合いませんよ
ウィス,いえ……もう……
悟空,おっすっ、待たせたな！
クリリン,悟空！それと…
１８号,ふん…
セル,おやおや、随分なご挨拶じゃないか。１８号。それに……
悟飯,セル…！
１７号,天使の輪が似合ってるじゃないか、セル
セル,随分な言われようだな、これから共に戦う仲間だというのに
ベジータ,仲間だと？所詮貴様など単なる数合わせに過ぎん、たかが一カ月近くの修行で…
ピッコロ,挑発するな、ベジータ。悟飯から言われてるだろう？試合勝つ為にはチームワークが…
セル,そうだな……重要なのはチームワークだ……
ベジータ,な…！？
ビルス,おっ
ウィス,なんともまあ
セル,危うく大事なチームメイトを殺してしまうところだった。チームワーク、実に素晴らしい作戦だと思うぞ、孫悟飯
ベジータ,バカな、いつの間に俺の背後に…！
悟空,気ぃつけろよ、ベジータ。セルの奴、やっぱりオラの想像を遥かに超えてやがったかんな。部屋から出てくる前に一勝負やったんだけどよ、ブルーの状態での２０倍界王拳でやっと抑えつけたぐれぇだからな
ベジータ,なんだと！？
クリリン,ブルーの状態での２０倍界王拳って、悟空がやっと完成させたっていう奥の手の中の奥の手じゃ……
亀仙人,あやつ、たった一カ月でそれ程までの力を……
ビルス,へぇ……
ウィス,これは期待以上ですね。素直に喜んでいいのかは微妙ですが
セル,しかし、他はともかくクリリンに天津飯、武天老師か……第七宇宙は相当な戦力不足のようだな
天津飯,何？
セル,なんなら今すぐセルジュニアを産んでやるぞ。少なくとも今の奴らなら、超サイヤ人ゴッドの孫悟空と互角以上の戦闘力になるだろうからな
亀仙人,ほほ……言ってくれるわい……
クリリン,セルジュニア……あいつか……
悟空,この大会はただの力比べじゃねぇ、クリリンの機転のきいた戦い方やじっちゃんの経験は無駄にはならねぇさ。それに覚えてんだろ？天津飯だって、あの時点のオラ達が手も足も出せなかったおめぇを足止めしたんだぜ？
セル,だといいがな
ピッコロ,いや、セルジュニアの存在は我々にとって大きなアドバンテージになるはずだ
悟飯,あれはセル自身の能力、力の大会のルールには反していないはずですからね
ベジータ,ふん……せこい作戦だ
ビルス,なんだかわからんが、希望が見えてきたかもな
ウィス,悪人とはいえ、彼をチームに入れたのは当たりだったようですね。それでは皆さん、手を繋いで輪になって下さい
ベジータ,な…！
悟空,よーし！皆、行くぞ！
ベジータ,お、おい！
セル,ふふ……本日は宜しく頼むよ、孫悟飯
悟飯,…こちらこそ、力を貸してくれて助かりました。今日は互いが互いを庇い会える戦いを心がけましょう
セル,…ああ、もちろんだとも。今日は、な……くくく……
ベジータ,ぐうっ……
ウィス,早くして下さい、ちゃんと輪にならないと行けませんよ
ベジータ,よりによって、セルなんかと……
セル,おやおや、チームワークではなかったのかね？まさか、この私に恐れをなしたのか？超ベジータともあろう者が
ベジータ,貴様……！！
ビルス,だ・か・ら！！チームワークだと言ってるだろうがっ！。ほら、これでいいだろう？
ベジータ,くっ……
ウィス,大神官様、第七宇宙、選手達が揃いました
ブルマ,頼んだわよ、みんな！
セル,全王、大神官、天使、破壊神……確かに一筋で行く相手ではない。だが、超ドラゴンボールを手に入れれば必ずや私が全宇宙の頂点に君臨するチャンスがやってくる。孫悟空、孫悟飯、貴様達はその時にゆっくり味わってやるぞ……
悟空,１０人目の戦士はおめぇだ」セル「よろしく
