阿笠,かまわん、続けるんじゃ
ジン,俺は焼いている間に洗い物をする。なに、大した量もない、すぐに終わるさ
ウォッカ,兄貴…！｣ｳﾙｳﾙ64:2014/01/01(水)05:08:5857ID:b5fDlt8G0こんな面倒見のいい先輩とコンビ組みてえ65:2014/01/01(水)05:10:2895ID:+mCmE5ux030分後ﾋﾟﾛﾘﾛﾘﾛﾛﾋﾟﾛﾛﾛﾘﾛｰ
ジン,あぁ、開けていいぞ
ウォッカ,お、焼き上がったんですかい？。おぉ！…おぉ？。いざ、ご開帳！
ジン,どうした？。いや、ブラウニーはこれでいいんだ。表面のひび割れはちゃんと熱が通った証拠だからな。それに冷蔵庫で冷やせば多少しぼんで目立たなくなる
ウォッカ,兄貴、表面がひび割れちまってますぜ、もしかして失敗ですかい？
ジン,だが念のため竹串で中まで固まってるか確認しとこう。生っぽい生地がついてこなければ大丈夫だ
ウォッカ,ほんとですかい？よかった～。兄貴、大丈夫みたいですぜ！。…｡
ジン,そいつは良かった。。あとは粗熱をとって、上からラム酒を刷毛で適量塗る
ウォッカ,適量ってどんくらいですぜ？
ジン,表面全体に塗り渡ればそれでいい。ラム酒を塗ることでほのかに香る大人のお菓子になるんだ。さて、あとはこいつを冷蔵庫で一晩寝かせれば完成だ
ウォッカ,大人の、お菓子…。結構簡単なんですね！
ジン,あぁ、ブラウニーは基本的に分量と工程をレシピ通りにすれば初心者でも比較的簡単に作れる。かく言う俺も初めて作ったお菓子はこのブラウニーだからな
ウォッカ,えぇ、兄貴の手作りお菓子第一号ってことですか？
ジン,そういうことになるな
ウォッカ,初めて作ったお菓子が兄貴と一緒って…なんか嬉しいですぜ！
ジン,これでバレンタインは大丈夫なんだろうな？
ウォッカ,任せてくだせい！
ベルモット,ねぇジン～
ジン,どうした、ベルモット？
ベルモット,今度バレンタインじゃない？それで私もたまには手作りで何か作ろっかな～って。だから私にお菓子作り教えてちょーだい？
ジン,…。
ウォッカ,兄貴！お菓子作りを教えてくだせい！」ジン「ほう
