盗賊のお頭,お前の今日の給料だ。
スライム,おもしれーな！俺こうみえて元盗賊だし、盗んでやるよ！ガッハッハw
スライムB,その言葉、言ったな？
スライム,おう！早速行こーぜ！
スライムC,勇者？勇者なら俺を倒してマラボウノ村の宿屋に泊まったらしいけど。
ドラキー,サンキュー！行くぞ！
勇者,じゃあ、ここに泊まらせて貰うよ。
村人,どうぞどうぞ！
スライムB,いたぞ。情報は本当だったんだな。
スライム,この様子じゃ、深夜にならないと盗めねぇなぁ。
ドラキー,なんなら、この村にいる魔獣Bさんと酒を飲もーぜ！
スライム,おいおいw昼間から酔っぱらうのかよw
村人A,むっ！魔物だぞ！倒せぇえぇ！
勇者,なんだと！ってお前は初めの草原の！
スライム,そうさ俺等は勇者一味にやられたスライムさ！この前のカリを返さしてもらうぜ！
魔獣B,グルル…スライムタチヨ…ドイテロ…ワタシヲエンゴシロ…
ドラキー,はっ！
勇者,ヒェーッ戦士ぃい！賢者ああ！。えっ…
魔獣,キッシャアアア
勇者,いでぇえぇ！
スライム,今ならチャンスだ！行くぞぉ！
勇者,さっきまで弱かった魔物が強くなってるぞ！
ドラキー,そうさ！俺達はあのあと冒険者を倒し、強くなってるからなぁ！
勇者,なんだと！けしからねぇっ！
スライム,
スライムB,スライムゥゥ！
魔獣B,ヨクモワシノナカマヲ…
宿屋の店員,起きてください賢者様と戦士様！
戦士,グゥグゥ…
賢者,ﾌﾐｬｱ…
魔獣B,むぅっ!!
ドラキー,うおおお！。
魔獣B,ガルル…
スライムB,凄いぜ魔獣殿ぉ！
魔獣B,コノクライ容易イワイ。オットランクAニ昇格カ。ジャアナ。
村人C,ああ…勇者様…
賢者,ﾝｯ
戦士,ンガッ
魔王,やられてしまったのか…蘇生魔法！
三人,「「俺等の500G…」」
ドラキー,まぁ次の冒険者倒せばいいっしょ！
スライムB&スライム,そだな
斧使い,出たな魔物め！みどもの石の斧で成敗してくれる！
スライム,斧とか怖い…。けど負けねーぜ。
斧使い,どけっスライム風情が!!生意気だ！
スライム,あぶねっ
ドラキー,うりゃ！
斧使い,そこだ！
ドラキー,うりゃあ！
斧使い,くっ！。そこだっ！
スライムB,くっ！
斧使い,うらぁっ！
スライムB,
スライム,ﾁｯ!ドラキー！キックだッ！
斧使い,この雑魚がアー！！！！！！！
スライム,ウガッ！。
斧使い,へっ…へへ…一騎討ちってヤツかい…
ドラキー,ああそうだよ！
通りかかった冒険者,むっ
ドラキー,
魔王,通りかかんなよ…蘇生魔法！
勇者,いたぞ！スライム一味だな！！
ドラキー,へーw今は単独かよw昇格と大金チャンス！
スライムB&スライム,うらぁっ！
ドラキー,へへっ！
勇者,この野郎！。氷結魔法！！
ドラキー,くっ！動けねぇ…
勇者,こうなればハンターフライの巣だ！。雷撃魔法！
スライム,くっそぉ！。へっへっへ！
勇者,あっ…意識が遠く…
魔王,おぉっ！あと蘇生魔法！
ドラキー,勇者倒してるじゃねーか！遂にか！。ちょうど良い。送ってってやるよ！二人とも乗れ！。このまま魔王の城までひとっ飛びだぜ！
スライムB,俺は見物するだけだけどなw
スライム,楽しみだぜ！
魔王,よくぞ勇者を倒した！手柄としてEクラス昇格だ！
スライム,うーむ俺的にはアルミラージでいいや！w
ドラキー,ふーん時給は70G、給料は1400G、か。
スライムB,しかも可愛いじゃんかw
スライム,こりゃいいな。アルミラージで！
魔王,よかろう。
アルミラージ(元盗賊(スライム)),お前ら世話になったな。また会えるといいな。
ドラキー,ああ、いつでも待ってるぜ。
スライムB,気をつけろよ～
魔王,うむ！では、転移魔法！
アルミラージ,ここは…洞窟？
まほうつかい(魔物),あﾞ？テメェアルミラージかよ。目障りなんだよ。消えろやゴミ
おばけありくい,キモ。
アルミラージ,な、なんだと！炎魔法！
おばけありくい,あっぶねぇ！。上の輩に向かってなんだ！この態度は！
おばけありくいB,お前ら何やってんだよ。
まほうつかい,いやーすんまへんw
おばけありくいB,…
アルミラージ,ひっ
おばけありくいB,この洞窟ではまほうつかいと俺を除くおばけありくいがここに就いたアルミラージ達を責めてる感じなんだ。この洞窟でアルミラージな以上、仕方ないぜ
アルミラージ,ありがとうございます！助けてくれて！
おばけありくいB,とんでもねぇよw
冒険者,ここが洞窟だな！魔物達よ！かかってこぉーい！
アルミラージ,うりゃあ！
冒険者,Zzz・・・・
おばけありくいB,今だ！やっちまえ！
おばけありくいC,おう！
アルミラージB,うぉおぉ！
冒険者,ｹﾞｯﾌｪ…。
アルミラージE,スゴいぞ！
アルミラージC,ヒューヒュー！
アルミラージF～I,スゲー
アルミラージ,…
アルミラージE,どうした？何か悩みでもあるのか？
アルミラージ,実はな、俺がスライムの頃なんだけど、スライムBとドラキーってヤツがいてよ、
アルミラージE,へぇ、仲が良かったのかい？
アルミラージ,もう大親友さ。時々悩み事も聞いてくれたり、戦闘ではいつも協力してくれて、暇潰し何かにも付き合ってくれた
アルミラージE,へぇ、まさに大親友だな、けどよ。大親友でもさ、いつかは別れを告げないといけないものだ。
アルミラージ,…
アルミラージE,俺にもがいこつって大親友がいたな、確か俺がゴーストの頃だ。いつも俺を笑わしてくれて、戦闘なんかでは心強かった。お前と似たような感じだな。。けどさ、がいこつが冒険者を倒したとき、がいこつは昇格しちまった。けどな、最後俺に今までありがとよって言ってくれたんだ。それは心がこもった最後の言葉だったな。だからさ、いつかそうやって会えるなら…いつかいつかの親友として心に永遠に残ってたら…いや、必ず残っている。心の親友だからな。最後まで。ずっと
ドラキー,ああ。いつでも待ってるぜ。
スライムB,気をつけろよ～
アルミラージ,ありがとう、少しわかった気がするぜ
アルミラージE,おう！
アルミラージの長,これからアリアハンへ冒険者達を刈る準備をしろ！いいか？眠れる霧を連発して角で突き刺せ！
アルミラージ、アルミラージB～S,うぉおぉ！
アルミラージ,何この行事…
アルミラージE,これは冒険者刈りだよ。遠出して東部に迷いこんだ奴をラリホー&突き刺し&他の魔物の攻撃でやっちまうのさ
アルミラージ,へぇ～
アルミラージの長,ついたぞ！ここで冒険者をタコ殴りだ！
兵士1～3,いました！忌々しき魔物達の群れです！
剣士,コイツら切って肉にしてやるよ！
上級者狩人,狙った獲物は逃さない。確実に
賢者(♂),コイツら全員丸焼きにしてやろうか？ﾋｯﾋﾋw
兵士4～15,突撃！
剣士,ふっ華麗な剣捌きを見たか
弓使い,…
アルミラージH,
賢者,おらよ！ﾋｯﾋw
アルミラージN,
アルミラージB,
アルミラージM,
スライムF,
おおがらすB,
アルミラージ,こっちだってやられてねーぜ！眠れる霧(ラリホー)！
兵士2,Zzz・・・・
弓使い,くっ睡魔が…Zzz・・・・
兵士11,Zzz・・・・
剣士,ﾁｯ喰らえ！剣の裁き！
アルミラージE,ｵﾗｧ!!
剣士,くっ肩が！剣が掴めない!!
スライムF～K,ピギイイイ！
賢者,目障りな、氷付けにしてくれる！氷結魔法！
スライムF～K,ぷるぷるぅ…
賢者,トドメ！
スライムたち,
おおがらす、いっかくうさぎ,ｶｧｶｧピィ！
賢者,くっ…頭は弱いんだ…
兵士長,撤退！撤退だ！
兵士,う、うわあああ
弱った兵士,くっ…
スライムL,ぷるぅー！
弱った兵士,
剣士,いでで…
弓使い,くぅっ
剣士,
弓使い,
兵士12,オラ！
いっかくうさぎB,
おおがらすE,
アルミラージ,おい…逃げたほうがいいんじゃねーの…
アルミラージZ,
アルミラージR,
アルミラージO,
アルミラージの長,逃げろ！撤退だ！
兵士長,撤退だ撤退！
兵士8,最後に一発おみまいしてやる！
おおがらすK,
アルミラージE,逃げろ！逃げろ！一アルミでも倒されないように逃げろ！。今回の戦は引き分けって感じか…
アルミラージ,これで引き分けなのか…
アルミラージE,慣れればわかるさ。
アルミラージ,そんなもんかね……
ドラゴン,お前、炎でイチコロだからつまんねーや
キースドラゴン,お前みたいな奴は魔王軍失格だよw
スライムB、ドラキー、アルミラージE,やめろぉ!!
アルミラージ,はっ！夢か…
アルミラージE,どした、悪い夢でも見たか？
アルミラージ,ああ…ちょっとな…
冒険者,こいやぁ！
アルミラージV,眠れる霧！
冒険者,おぉっと
アルミラージ,眠れる霧！
冒険者,あっやべZzz・・・
アルミラージ,今だ！！
アルミラージS,ウラァ！
アルミラージ,うぉおぉお！
冒険者,
アルミラージS&V,おぉっ！
ひ弱冒険者,
リア充冒険者,
アルミラージE,でさぁ、スターキメラがほうおうに見ま違えられた時の反応がなんと「ヘル(減る)(コント)るって言ったんだってよw
アルミラージたち,！
まほうつかい,！
アルミラージ,わっ！
アルミラージE,うぉっ魔王様！
魔王様,二人は手柄だ、1600Gと、Cクラス昇格さしてやろう
アルミラージ&アルミラージE,おぉっ！魔王ちゃん太っ腹！
二人,「キメラでしょ」
魔王,ハハハwどこまで気が合ってるのだかw
二人,「ハハハw」
魔王,よかろう、二人共(二匹共)岩の洞窟に行ってくるがよい。
キメラ(盗賊),よっしゃ
キメラ(アルミラE),やったな！
魔王,緊急事態だ、蘇生魔法が使えなくなった。
キメラ(盗賊),マジかー…
キメラB(元アルミラE),やべぇじゃん…
魔王,実は使えなくなった理由なんだが、勇者の女神の加護を魔法で打ち切ったら全魔力無くなっちまった
キメラ,ありゃりゃ、引き換えってヤツか。
キメラB,やべぇよやべぇよ…
勇者,ここだな！岩の洞窟は！
戦士,賢者はやられちまったがって！あのキメラ、賢者やったアルミラEの顔じゃねーか！
勇者,しかもそっちのキメラはスライム一味の!!。加護が切られたがお前ら氏ねやあ！
戦士,よくも賢者を！
キメラ,ひっ…
キメラB,くっ…でもお前のことは…
キメラ,もう、いいんだ、使えよ…
キメラB,すまん。帰って来たら一生の礼を言う。
キメラ,行ったか…
ドラゴン,オマエラコロス…
勇者,俺はコイツを相手する！戦士はキメラを！
戦士,了解！。氏ねぇ！
キメラ,よっ！
戦士,にゃあにぃ？キメラ風情がっ！
キメラ,ハンッキメラ風情？お前なんか所詮敵には回らねェ…
戦士,なんだとォ！
キメラ,ああ、お前も所詮、戦士、勇者のオマケだあッ！
戦士,こんな攻撃、当たらねぇよ、アホがw
キメラ,ホントは、自分が王だと思ってるんだろ？そこの“仲間”なんかどうでも良いと思ってるんだろ？この筋肉バカがよ！
戦士,ﾚ…ｺ…ｾ…ﾊﾞ…ｼ…ｾ
キメラ,なんだァ！
戦士,俺を怒らせたバカがよ！氏に晒せや！
キメラ,はっ、やってやるよ！お前の孤独の力を見せてみろ！自分だけが強いという自意識で戦ってミロヤァ！
戦士,こぉのゴミガアア！
キメラ,殺るかぁ!!
戦士,俺の鎧が…このゴミィ！
キメラ,ああ俺はゴミだ！だがお前なんかよりのゴミではねぇえぇ！！！！！
戦士,氏ね！
キメラ,ｶﾞｯﾌｫｹﾞｪﾌﾞｪｯﾌｪェ…
戦士,トドメダアアアア！お前は弱い！弱すぎたアアアアアアアアアアアアアアア！！！！
キメラB,助けにきたぞぉっ！
キメラ,キメラB！
キメラB,これで助け合っただろ？
キメラ,そうだな、お前に何度も助けられたぜ…ｳｯ最後までやってやるよ！
キメラB,ウリャおりゃあ!!
キメラ,オラオラァ！！！
戦士,この野郎！。こんなショボい炎、切り裂いてやrうっ！？！
ドラゴン,グラアアアア！
勇者,氏ね！
キメラ,お前もなぁ！
勇者,う、うわあああ！
キメラ,俺はこの時初めて知ったぜ、仲間は助け合って闘い、護る、だから、だから勝てたのさ。俺は魔物になって後悔はねぇよ…だってよ…こんなにも、“仲間”に…恵まれたんだからよぉ！いつもこんな俺を相手にしてくれた！いつもいつも感謝してたよッ！仲間に！全てに！
キメラB,…！
戦士,…ナマイキダゾォッ
勇者,ジバクマホウ
ジジイ,という勇者を倒し自分たちも散った名も知れない二人の話だ。
スライムB,へぇそのキメラって誰なんだろ？
ドラキー,遠い昔、に会ったような、そんな気がするな…
ジジイ,確か、その名も知れない者二人、一人はある盗賊がスライムになったと記録されてたのぉ…
