男,うわ…雨降ってんじゃん。お、丁度傘一本だけあるじゃんパチってこw
たかし,ちっ…おい起きろよ
J('ｰ`)し,
たかし,…は？
J('ｰ`)し,
たかし,おい
J('ｰ`)し,
たかし,嘘だろ…ババア起きろよ…！
J('ｰ`)し,
たかし,…そんな。はぅ…！きゅ…救急車…！。…
J('ｰ`)し,たかし来てくれたのねごめんね母さんお仕事しすぎたみたい
たかし,…
J('ｰ`)し,あら可愛い花ねわざわざありがとう
たかし,…
J('ｰ`)し,たかし？なんで泣いてるの？
たかし,…ごめん
J('ｰ`)し,どうして謝るの？母さんこそ迷惑かけてごめんね
たかし,…なんで謝るんだよ…
J('ｰ`)し,…
たかし,…
J('ｰ`)し,母さんはたかしがこうやってお見舞いに来てくれただけで幸せなのたかしが小さい頃にお父さんが死んじゃって母さん一人しかいないことで悲しい思いをしてるの分かってたから
たかし,…。母さんこれからは俺の事気にしなくていいよ俺もう一人でも生きていけるから
J('ｰ`)し,…
たかし,ちゃんと仕事探して自分で生きられるようにする。母さんの治療費も払えるようにするし母さんが欲しいものがあれば何でも買ってあげるよ
J('ｰ`)し,…たかし…
たかし,今までありがとう
J('ｰ`)し,母さんほんとに嬉しいよ…
たかし,俺は今まで何をやっていたんだろう。ダメだいくらバイトをしていてもこれだけの給与じゃもう今月もたない…！。このままじゃ母さんが…。ありがとうございます！！。これを落としたら終わりだ…これが最後のチャンス。初めての面接か…でも大丈夫しっかりやり方も調べたし練習もしてきた。よし行くか。そういえば今日雨降るんだっけ。…スーツが汚れちゃいけないし…勿体無いけど買おう
店員,アリザーシタァ
たかし,よしこれで完璧。そろそろだな緊張してきた。緊張してきたらトイレ行きたくなってきたどっかないかな。時間もまだ大丈夫だし…あのコンビニのトイレ借りよう。ここに傘入れてと
店員,シャーセェ
たかし,ふぅ間に合ったぁ。えぇ…企業への志望動機は…こうで…。よし完璧そろそろ出るか
店員,アザァシタァ
たかし,うわ…むっちゃ雨降ってる天気予報当たってたんだ。良かった傘買っておいて…あれ？。そんな…ここに置いたのに。なんでないんだ…！。仕方ないもう一本買うしか…。…ないなんで売ってないんだよ。すいませんここ傘売ってないんですか？
店員,あ、サーセンw売ってないッスネ
たかし,そんな…。今から他をあたってる時間はない…。走り抜けるしかないのか…。なんとかカバンを傘にして。…。ダメだせっかくのスーツが…！。うわっ！。くっそ…久ぶりに走ったせいで足が竦んじまった。ああ！スーツが泥だらけに…！。…くっそ取り敢えず会社まで走り抜けよう。はぁはぁ…やっとついた
受付,え、なにあの人ヤバくない？w
受付2,やばwきたなw
たかし,…
受付,ぷっw…ええと…どういったご用件で…w
たかし,こちらの企業への面接で
受付,え、あぁ面接でしたら二階に登った突き当たりにある部屋ですw
たかし,ありがとうございます。…
オッサン,あぁ君がたかし君？
たかし,あ、はい！
オッサン,面接ならこの部屋だから
たかし,え…あ、はい失礼します！
面接官,…え？なにその格好！？
たかし,あ、申し訳ありませんここへ来る途中で雨が降って…
面接官,ちょっと床が汚れてるから！なんで傘持って来てないの！？
たかし,いやすいません買ったんですけど…
面接官,あぁあぁもう取り敢えず汚れるからスーツ脱いで
たかし,あ、はいすいません
面接官,あ、社長彼がその面接を受けたいと言っていた…
たかし,え？あぁすいません本日はよろしくお願いします！
社長,…。もういい帰りなさい
たかし,…え？
社長,社会人たるもの先を見通して行動するものだ天気予報の確認くらいできただろうそれになぜタクシーを使わなかった
たかし,いやしかし…
社長,私だって仕方なく君の面接を受け入れたんだあの時はさぞ誠意のある者だと思ったが
たかし,申し訳ありませんしかし雨が降ることは予想しておりまして…
社長,言い訳なんか聞きたくない潔く帰りなさい
たかし,そこをどうにかお願いします！
社長,ダメだ私もそんなに暇じゃないんだ失礼するよ
たかし,社長！！
社長,…
たかし,…
面接官,ということなんで…お疲れ様です
たかし,そ…そんな…。…。うわああああああああああ！！
受付,うわさっきの人だよw
受付2,なにあれ走ってきたキモｗｗ
たかし,くそおおおおおお！！うわああああああああ！。…。…あぅ……。ごめん母さん………。…。
秘書,社長こちら言われていた書類です
社長,ご苦労
秘書,そういえば今日は面接があるんじゃ
社長,あぁ取り消したよ酷い格好した奴が来てなw
秘書,そうなんですか？
社長,やっぱりニートは頭の悪いクズばっかりだw
秘書,そうですか社長そういえばさっき歩いて飲み物を買って来られたんじゃ急な雨だったんで濡れたんじゃないですか？
社長,あぁ大丈夫大丈夫その辺にあった傘貰ったからｗｗ
