第一話,三すくみな奴ら
ヘビ,よぉ～し、俺らの凄さをたっぷり教育してやるか！
メダカ先生,今日は、皆さんのために三すくみの方々が来てらっしゃいます！。お三方の授業をしっかり聞いて下さいね！
ヘビ,川で泳ぐガキどもにヘビーな授業をしてやるぜ！
カエル,つまらない授業で生徒達が帰るような事態は避けねばな
ナメクジ,ナメられないようにしなきゃ……！
ヘビ,え～、皆さんこんにちは！。今日は皆さんに、俺が好きな言葉を教えましょう。それは長いものには巻かれろです！。まあ、この自然界、どうしても勝てない相手ってのはいるわけで……。ようするに勝てないと思ったら、とっとと尻尾を巻いた方が……
子メダカたち,…………
ヘビ,ふぅ、どうだった？
ナメクジ,全然ダメ！
ヘビ,え、なんでよ！？
カエル,子供にあんな夢のないこと吹き込んでどうする。完全に白けていたぞ
ナメクジ,そうだよ！これから川でめいっぱい活躍しようっていう子供達に……
ヘビ,だってぇ、世の中ってヘビーだし……
カエル,他人になにかを教えられるほど、実のある人生を歩んではいないが。こうして教壇に立ったからには、君たちに何かしら残して帰ることにしたい。今日はみんなに歌を歌いたいと思う
子メダカA,カエルの歌だ！
子メダカB,ゲロゲロクワックワッてやつ？
子メダカC,楽しみ～！
カエル,故郷を飛び出し幾星霜～♪。帰るとこなど俺にはないのさ～♪。いばらの道を突き進む～♪。ゲロ吐き、桑の実を食べ、生きろ～♪
子メダカたち,…………
ヘビ,なにこの歌……つか、無駄に美声だし
ナメクジ,一応、ゲロとクワ要素はあるね……。二匹ともダメだなぁ～。子供に授業するってことがどういうことか、全然分かってない！
ヘビ,いうじゃねえか。なら、どういうことか教えてくれよ
ナメクジ,そりゃもちろん、本当に大切なことを教えるってことさ！。幼少期に刷り込まれた知識ってのは、大人になっても残るからね！
ヘビ,まあ、正論っぽくはあるな……
カエル,お手並み拝見といこうじゃないか
ナメクジ,任せてくれよ！。いいか、みんな！。カタツムリは敵だ！カタツムリは悪だ！カタツムリは害だッ！。カタツムリはこの世から一匹残らず駆除すべきなんだッ！！！。メダカ諸君、もしカタツムリを見かけたら……
子メダカたち,…………
ヘビ,完全に私情で授業してるじゃねえか！目ぇ血走ってるし！
カエル,露骨すぎるプロパガンダだな……
ヘビ,お前らの授業おかしいんだよ！もっと真面目にやれよ！
カエル,それは私のセリフだ。お前たちの授業はまるで子供達のためにならん
ナメクジ,ふん、ボクの授業が一番いいに決まってるじゃんか！
ヘビ,やるか！？
カエル,望むところだ
ナメクジ,二匹とも蹴ってやる！
ヘビ,……もう、やめよっか
カエル,ああ、これ以上は我々の恥になる
ナメクジ,もう十分恥かいたような気もするけどね……
子メダカA,……すごいや！。あんなバラバラなのにもう仲良しになった！
子メダカB,さっすが三すくみ！
子メダカC,ぼくたちも見習わなきゃいけないね！
ヘビ＆カエル＆ナメクジ,……へ？
メダカ先生,やっぱり三すくみを呼んで正解だった……いい“授業”になった
第四話,毒蛇になりたいヘビ
マムシ,こないだ、オレ様の毒牙で獲物を仕留めてやったぜェ！
ハブ,ワシもマングースを泣かせてやったぞ！
コブラ,俺はゾウを仕留めてやった……
マムシ,すっげぇ～！さっすがコブラ！
ヘビ,…………
ナメクジ,ねえねえ
ヘビ,ん？
ナメクジ,どうだったの、ヘビ会。色んなヘビが集まって、おしゃべりしたんでしょ？
ヘビ,ああ……あれか。やっぱり……毒が欲しいって思ったよ
ナメクジ,毒？
ヘビ,ヘビ会に来てたヘビは、毒を持ってる奴が結構多くてさ。だけど、俺は無毒だから……肩身が狭くてな
ナメクジ,毒のないヘビなんてただの紐みたいなもんだしね
ヘビ,いいすぎだろ。全国百万の無毒ヘビの皆さんに謝れ
ナメクジ,ごめん、つい
ヘビ,あ～あ、毒が欲しいなぁ～……そうすりゃもっと簡単に餌にありつけるのに……
カエル,だったら毒を摂取してみるのはどうだ？
ヘビ,毒を……摂取？
カエル,生物毒というのは生まれつき持ってるものと思われがちだが。生物の中には食物と一緒に毒を摂取して、毒化する者も多いんだ
ヘビ,へぇ～、そうなんだ
カエル,だから、お前も毒を摂取すれば、毒蛇になれるかもしれん
ヘビ,なるほど！
カエル,今ここに、知り合いのヤドクガエルからもらった毒がある
ナメクジ,なんでそんなもの持ってるの……
カエル,試しに飲んでみるか？
ヘビ,……飲む！。し、死ぬ……
ナメクジ,し、しっかり！
カエル,やはりこうなったか……解毒剤を飲ませてやらんとな。どこにしまったか……
ナメクジ,はやくはやく！死んじゃうよ！
ヘビ,あ……今なら最高の脱皮ができそう……
ナメクジ,わーっ！体からなにかが飛び出してる！
カエル,お、見つけた
ヘビ,なんつうヘビーな毒だ！死ぬかと思った！
カエル,すまんすまん。しかし、やはり毒を摂取して毒を得るというのは危険すぎるな
ナメクジ,毒をナメちゃいけないね
ヘビ,ホントだよ！毒蛇目指して毒で死ぬなんてギャグにもならねえ！。あーあ……だけど毒蛇って憧れるよなぁ……
ナメクジ,そうだ、だったら“毒舌”の方向性にしたらどうだろ？
ヘビ,毒舌？
ナメクジ,ようするに、相手の悪口をいったりするんだよ。それで怒らせたところをバクッてやれば、立派な毒じゃない！
ヘビ,それなら危険はなさそうだな。さっそく毒舌を身につける特訓だ！。やい、カエル！
カエル,なんだ
ヘビ,お前なんかド根性ガエルみたいに潰されちゃえよ！
カエル,根性のないお前にいわれたくない
ヘビ,はぁう！？
ナメクジ,はい、KO～
ヘビ,やい、ナメクジ！
ナメクジ,なんだよ
ヘビ,お前、ヌメヌメしてて気持ち悪いんだよ！やーい、やーい！
ナメクジ,毒がないくせに偉そうに
ヘビ,あぐぐ……
カエル,ギブアップ？
ヘビ,ま、まだだ！まだ終わってねえぞ！。お前なんか貝ないじゃねえか！
ナメクジ,あ！？。サマーソルトキック！
ヘビ,ちょっ……毒舌勝負なのに、蹴るのダメ……
カエル,物理的にKOされたか……
ヘビ,毒を摂取するのは危ないし、毒舌の才能はからっきし……。どうせ俺なんて……
トカゲ,お？ケケケ、ヘビの奴落ち込んでやがるな
スズメ,どうしたんだチュン？
ウサギ,まーた三すくみで喧嘩でもやらかしたか？
ヘビ,みんな……ありがとう！
ナメクジ,ヘビって食物連鎖で上位のくせに、妙にみんなから世話されるとこがあるよね～。心配になるというか、放っておけないというか……
カエル,あの“気の毒さ”は、あいつの立派な武器だな
第五話,貝が欲しいナメクジ
エスカルゴ,ボンジュ～ル！
ヘビ,なんだあいつ？妙にオシャレなカタツムリだな
カエル,エスカルゴといって、フランスから来日したカタツムリらしい
ヘビ,フランスぅ～？ご苦労なこって
カエル,ちなみに“エスカルゴ”というのはフランス語で“カタツムリ”を意味するそうだ
ヘビ,へぇ～。さて、ナメクジは……
ナメクジ,なぁ～にがエスカルゴだよ！みんなあんなのチヤホヤしてバカじゃねーの！？。フランスなんてドイツに占領されてたくせによ……！
ヘビ,うわぁ……
カエル,カタツムリ憎しでフランスまで憎くなっているな
ヘビ,あいつ、相変わらず“カタコン（※）”こじらせてんなぁ。ナメクジの機嫌が悪いと、いつ蹴りが飛んでくるか分からねえから怖いんだよな
カエル,たしかにな。ずっとイライラされてると、こっちも困る。エスカルゴといざこざを起こして、国際問題になってもまずい
ヘビ,なんとかカタコンを解消させられないかなぁ……
カエル,といっても、貝がなくてもいいじゃんなどと言おうものなら即サマーソルトだぞ
ヘビ,貝か……。だったら貝をプレゼントしてやるってのはどうだ？
カエル,ふむ、いいアイディアかもしれんな
ヘビ,そういや、お前と二匹きりで旅するなんて初めてだな
カエル,そうだな
ヘビ,しりとりでもやる？
カエル,いいぞ
ヘビ,じゃあ、スイカ！
カエル,カエル
ヘビ,ル……ルンバ！
カエル,バール
ヘビ,ル、ルーマニア！
カエル,アイドル
ヘビ,る攻めやめてくんない！？
カエル,戦略だ
ヘビ,着いた！海は広いし、大きいな～
カエル,井の中の蛙大海を知らず、だな。初めて海を見た時は、心を打ちのめされたものだ……
ヘビ,ふうん、お前でもそんなことあるのか
カエル,そりゃあるさ
ヘビ,そういや、お前の出身って――
カエル,さ、貝を探そう。急がねば日が暮れてしまう
ヘビ,お、おう。ちぇっ、はぐらかされちまった。お、この巻貝なんていいんじゃないか？
カエル,ああ、大きさもちょうどいい。これを持ち帰るとナメクジも喜ぶだろう
ヘビ,よっしゃ、じゃあ――
ヤドカリ,待てや
ヘビ,なんだお前？
ヤドカリ,ここらの貝は全部オレのもんやでぇ～。持ってくなら、なんか価値のあるもん置いてってもらおか！
ヘビ,がめつい野郎だな……
カエル,いさかいを起こしてもしょうがない。素直になにか渡そう
ヤドカリ,お、細長いのとちごうて、ケロちゃんはよう分かっとるやんけ。さ、ゼニ出しや
ヘビ,細長いの……
カエル,ケロちゃん……
ヘビ,じゃあ……。脱皮した皮やるよ。いい財布になるぜ
カエル,私は油をやろう。少々の傷なら治せる
ヤドカリ,ほう……。ま、ええやろ。出血大サービスや！貝持ってってええで！
ヘビ,よっしゃ！
カエル,これでナメクジのカタコンを治せればいいがな
ヤドカリ,おおきに！
ヘビ,おーいナメクジ！
ナメクジ,……なんだよ？
ヘビ,今日は俺たちからプレゼントがあるんだ
カエル,受け取ってくれ
ナメクジ,プレゼント？悪いけど、今ボクはなにも受け取りたくない気分なんだけど
ヘビ,まあ、いいからいいから
カエル,これだ
ナメクジ,！！！。これは……巻貝！？
ヘビ,ちょっとヘビーかもしれないけど、今日からこれつけろよ
カエル,きっとみんな、カタツムリになったお前に振り返ると思うぞ
ナメクジ,二匹とも、ボクのためにわざわざ……？。あ、ありがとう！とても嬉しいよ！
ヘビ,なぁに、いいってことよ
カエル,存分に貝を背負ってくれ
ナメクジ,そうさせてもらうよ！
巻貝,…………。サザエでございまーす！
ヘビ,え！？
カエル,！？
ナメクジ,わっ！？
サザエ,あら、眠ってる間に変なとこ来ちゃったわ。やぁ～ねぇ～。あんたたちが連れてきたの？もうこんなイタズラしないの！。じゃーねー！
ヘビ,中身入ってたのか……
カエル,気づかなかった……
ナメクジ,もしも人だったら国民的アニメの主人公になりそうな貝だったね……
ヘビ,あのヤドカリ、とんだもんをつかませやがって！。きっと今ごろ……
ヤドカリ,あのドシロートども、見事にだまされおったわ！まったくボロイ商売やでぇ！
ヘビ,とかなんとか笑ってるに違いねえ！今度見かけたら食ってやる！
カエル,そう怒るな。よく確かめなかった我々も悪いんだ。すまんな、ナメクジ……
ナメクジ,…………。ううん、いいよ
ヘビ,え？
ナメクジ,二匹がボクのために貝を持ってきてくれた……そのことが嬉しいよ。ボクもカタツムリに対する劣等感をなくすようにするよ。なるべくね
カエル,ナメクジ……
ナメクジ,それにさ、ボクが貝背負っちゃったら、三すくみじゃなくなっちゃうじゃない！
カエル,ふっ……それもそうだな
ヘビ,貝がないのに甲斐甲斐しいこといいやがって……
ナメクジ,あ！？
ヘビ,ひいっ！早くカタコン治してくれぇ！
第六話,羽ばたきたいカエル
ヘビ,もうすぐ巣穴だな
ナメクジ,今日はいい塩をゲットできたなぁ
ヘビ,体溶けてんぞ
ナメクジ,ボクが溶けるってことはいい塩ってことさ。ああ～たまらん！
ヘビ,絶対いつか塩で溶け切っちゃうよ、お前……。……ん？
ナメクジ,どうしたの？
ヘビ,俺らの巣穴に、ものすごい数のカエルがいるんだよ
ナメクジ,あ、ホントだ！何があったのかな？
カエル兵A,若殿様！
カエル兵B,こんなところにおられたとは！
カエル兵C,捜しましたぞ！
カエル,みんな……
ヘビ,うおっ……！？みんな、カエルにひざまずいてる！どうなってんだ！？
ナメクジ,カエルって、あんなに偉い立場だったんだ……
ヘビ,どうりで妙に堅苦しい喋り方するわけだ……。ていうかあいつ、トノサマガエルだったのか？。油出すし、てっきりガマガエルかと
ナメクジ,殿って呼ばれてるからって、トノサマガエルとは限らないよ。ヤドクガエルを名乗ったこともあったし、雨乞いしてたこともあったような
ヘビ,結局あいつ、何ガエルなんだ？
ナメクジ,うーん、謎は深まるばかりだね……
父ガエル,息子よ、久しぶりだな
妹ガエル,お兄様……
カエル,父上、妹……
ヘビ,うわ、でかっ！なんだありゃ！？勝てる気がしねえ……
ナメクジ,ヘビがいう台詞じゃないよね
父ガエル,ワシの一族は代々、カエルの聖地である≪古井戸≫を統治してきた。なのに、後継者であるお前は井の中の蛙で終わりたくない羽ばたきたいといい。井戸を飛び出した……
カエル,…………
父ガエル,だが、大言を吐いたわりに、今のお前はどうだ？。聞いているぞ。ヘビやナメクジなどという連中とつるみ、無為な日々を過ごしておると。そんなことで“羽ばたいた”といえるのか！？
ヘビ,あいつ、故郷を飛び出してきてたのか……！
ナメクジ,そういえば、そんな感じの歌を歌ってたこともあったね……
父ガエル,……帰ってこい。やはりお前は井戸で暮らすべきだ。ヘビやナメクジなどと暮らしていても、なにも返ってくるものはない！。カエルは羽ばたきたいなどという高望みをせず、狭い井戸で暮らすのが一番幸せなのだ！
カエル,一つだけいわせてくれ、父上
父ガエル,なんだ？
ヘビ,帰っちまうのかなぁ……
ナメクジ,いくらカエルでも、あの迫力に逆らえないよ……
ヘビ,だよなぁ？それに帰ったら井戸の王子様だぜ？絶対そっちのがいいもん
ナメクジ,うん……
カエル,ヘビとナメクジをバカにするような言い方はやめてもらおう
父ガエル,！
カエル,あの二匹は……ヘビとナメクジのくせに、ゆで卵や塩が好きな変わり者だが。それゆえ私もあの二匹には何度も驚かされた。世界は広い、こういう奴らもいる、と思い知らされた。私はあの二匹との三すくみを無為な生活とはこれっぽっちも思っていない。ヘビとナメクジのおかげで、今私は羽ばたけているのだ！
ヘビ＆ナメクジ,カエル……！
父ガエル,……まぁいい、今日のところは帰るとしよう
妹ガエル,お父様……
父ガエル,だが、納得したわけではない。やはりお前が“羽ばたけてない”と判断したら、今度という今度は――。強制的にお前を井戸に連れて帰る
カエル,……ああ
父ガエル,行くぞ！
ヘビ,…………
ナメクジ,…………
ヘビ,ただいま～
ナメクジ,ただいま！
カエル,遅かったな
ヘビ,い、いやぁ～、今日も平和だったなぁ
ナメクジ,う、うん！そうだね！
カエル,？……何かあったのか？
ヘビ,いやいやいや、なんにも！
ナメクジ,な～んにもないよ！ねえ、ヘビ？
ヘビ,くっ、俺たちの方が動揺してどうすんだ！。実はさ、俺たち……三匹でできる新しい技を考えたんだけど……
ナメクジ,ちょっとやってみない？
カエル,新しい技？なんだか唐突な話だな
ヘビ,そ、そうかな？
ナメクジ,世の中って、何事も唐突なもんだよ！
カエル,……まぁ、かまわないが
ヘビ,ここじゃなんだから、外に出ようぜ！
ナメクジ,まず、カエルが頬を膨らませて
カエル,こうか
ナメクジ,で、ボクが粘液をいっぱい出して、カエルの上に乗る！
ヘビ,んでもって、俺がナメクジを接着剤にしてさらに上にくっついて――。尻尾をプロペラみてえにブン回す！
カエル,おお……飛んだ！
ナメクジ,やったぁ！
ヘビ,うまくいったな！。うおおおおおおおっ！！！
ナメクジ,いけいけぇ！
カエル,私たちは飛んでいるのか……
ヘビ,あっ、でも、ダメだ！……もう疲れた！
ナメクジ,ちょっ！この根性無し！
ヘビ,うわぁぁぁぁぁっ！
ナメクジ,あぁぁぁぁぁっ！
カエル,…………ッ！
ヘビ,いてて……！
ナメクジ,だ、大失敗だね……
ヘビ,カエルが膨らんで浮力を得て、ナメクジでくっついて、俺がプロペラになる……。いいアイディアだと思ったけど、やっぱり鳥みたいに羽ばたくのは難しいなぁ……
カエル,！。そうか、お前たち……さっきの私と父上たちとのやり取りを聞いていたな？
ヘビ,あ、いや……
ナメクジ,それは……
カエル,別にかまわんさ。あんな大勢のカエルが押しかけていたら、何が起こってるのか立ち聞きするのは当然だ。謝らなければならんのは、こっちだ。すまなかった
ヘビ,あ、いや……
ナメクジ,でさ……やっぱり帰っちゃうの？
カエル,…………。いや、まだ帰るつもりはない。いずれは帰らねばならんだろうが、私はまだ世界の広さを学びたい。それに井戸社会も変わらねばならない時が来ているからな
ナメクジ,世界の広さを学んで、井戸社会に新しい風を吹かせたいんだね
ヘビ,お前のいう羽ばたきってのは、そういう意味だったのか！
カエル,まぁな。しかし――。今お前たちとやった“羽ばたき”……楽しかったよ。またやろう
ヘビ,おう！
ナメクジ,今度はもっと高いところまで！
最終話,俺たち三すくみ
ヘビ,……ん？
ナメクジ,ウサギがボロボロになって走ってるよ！
ウサギ,はぁ、はぁ、はぁ……
ヘビ,おい、どうした！？
ナメクジ,何があったの！？
カエル,喋らせない方がいい。とにかく、巣穴に運び込んで手当てしよう
ウサギ,カメが……さらわれた
ヘビ,カメが！？誰にだよ！？
ウサギ,人間だ……。あいつ、結構珍しい種類のカメらしくて……それで……
ヘビ,人間だとぉ！？
ナメクジ,ここに入り込んでくる人間なんて、今までめったにいなかったのに……
ウサギ,情けないが、俺は逃げるので精一杯だった……ちくしょう！
カエル,カメのことは我々が何とかする。今はとにかく休むことだ。それにしても、人間とは……周辺の動物や虫たちにも危害を加えているかもしれんな
ヘビ,みんなのとこを回ってみるか！。……なんだとォ！？ドジョウが捕まった！？
ドングリ,うん……。ぼくも一生懸命転がっていったんだけど、人間にあっさり蹴散らされて……
カエル,ドジョウも人間からすれば珍しい生き物と聞くからな……狙われたんだろう
ナメクジ,ひどいことするなぁ……！
ヘビ,こりゃあ、他のところもやべえかもな……
子メダカA,先生がさらわれちゃったの！
子メダカB,こんなでかいメダカ珍しいって！
子メダカC,うぇ～ん！
ヘビ,エスカルゴも捕まったみたいだな……！
カエル,貝までターゲットとは……
ナメクジ,不思議だよ……。あんなに憎かったのに、今は助けたくて仕方ない！
カエル,…………
ヘビ,どうした？
カエル,もしかすると、私の故郷である井戸も……
ヘビ,行ってみようぜ！
カエル,…………ッ！
ヘビ,これはひでえ……！
ナメクジ,メチャクチャに荒らされてる……！
カエル兵A,ううっ……！
カエル,おい、しっかりしろ！
カエル兵A,あっ、若殿様……来て下さったのですか……
カエル,何があった！？
カエル兵A,人間が、井戸を襲って、父君と妹君を……。我々も飛びかかったのですが歯が立たず……も、申し訳ありません……！
カエル,いや、よく戦ってくれた。今はみんなで体を休めてくれ
カエル兵A,は、はい……！
ヘビ,……いったいなにがどうなってやがる！
カエル,ここの手つかずの自然に目をつけた人間が。人里では見ないような虫や動物を手当たり次第に捕まえているようだな
ヘビ,くそっ、絶対助け出してやる！
ナメクジ,だけど、人間がどこにいるかすら分からないよ……
カエル,もしも、もう人里に引き返したとすると、追いつくのは絶望的だな……
ヘビ,ちっ！
トカゲ,はぁ、はぁ、はぁ。ぐっ！？。なんとか……逃げ切らなきゃ！。あっ、三すくみ……！
ヘビ,トカゲ！？お前、尻尾切れてんじゃねえか！まさか――
