男子の集団,おい、おまえら
かよ子,このバドミントンの羽は？
野口,安全性……強く当てても初速だけだから。取りに走る手間も省けて効率的
かよ子,な、なるほど……
たまえ,そっちのアルミホイルは？
野口,それは……いざって時の切り札ってとこ
一同,？？？
野口,ま、野球のフォームは地道な反復練習で固めるもんだけど、感覚を一時的に馴染ませる作業だって決して無駄じゃぁないからね。付け焼き刃でも、どこまで昇華できるかはあんたら次第ってこと。クックックッ
城ヶ崎,や、やってやるわ！
男子A,お、何だよあいつら、生意気に道具揃えてやがる
男子B,見てみろよ、バットの持ち手が上下逆だぜ
男子C,ド素人じゃねえか
男子D,こりゃ余裕だな
男子達,よく逃げずに来たな。それだけは褒めてやる
まる子,ふん、あんた達こそ覚悟しな！こっちにゃ心強いエースがいるんだからね
男子達,ほ～、そいつは楽しみだ
野口,……
城ヶ崎,私たちが勝ったら土下座で謝りなさいよ！
男子達,そっちこそ忘れんなよ！
たまえ,い、いよいよだね……
かよ子,ききき緊張してきたぁ～……痛つつつ
冬田,山根みたい
かよ子,うん……今思った
まる子,野口さん、そんなヘボＰやっちゃいな！
城ヶ崎,ぶちかますのよー！
一同,野口さーん頑張ってー！
男子B,ピーピーうるせえな
男子C,これだから女は嫌いなんだよ
男子A,へへっ、ビビんなくてもいいぜ。少しは手加減してやるよ
野口,……
男子A,そらよっ
野口,あ～あ、嫌だね……少し詰まっちゃった
一同,きゃー！野口さん、やったやったぁー！
男子A,ま、まぐれだろ。加減してたしな。出会い頭を叩かれただけだ！
城ヶ崎,景気づけの一発ありがと
野口,クックッ、相手は手頃な癖球だよ。手筈通りにやんな
城ヶ崎,さあ、来なさい！
男子達,ぎゃははははっ、何だあの構え！ゴリラ女だ！
城ヶ崎,なっ！？何ですって～！！///
一同,城ヶ崎さん頑張ってー！
野口,お尻を突き出し過ぎだよ。ま、打てるなら自己流で構わないけどね
男子A,おらぁ！
城ヶ崎,引きつけて、引きつけて……
一同,おおお、大きいよ！
男子A,そんなっ！？
野口,テニス研究会の時に思ったよ。なかなか良い上半身の使い方してるってね。押し手主導（トップハンド）の打ち方のほうが性に合ってると思ったけど、まさかこうも短期間でコツを掴むとはね
今しがた城ヶ崎さんが実践してみせたバッティングは,トップハンド・トルク
冬田,頑張って笹山さん！
まる子,流れは完全にこっちだよ！
笹山,がんばる！
男子A,ナメてんじゃねえ！
笹山,きゃっ！
城ヶ崎,ちょっと、どこ投げてんのよ！
たまえ,いま顔面狙ったんじゃないの！？
まる子,危ないじゃないのさ！
野口,ブラッシュ(威嚇)かい……初回から荒れちゃって無様だね
まる子,笹山さん、大丈夫！？
笹山,平気っ
男子A,平気なら、もっかい喰らえ！
笹山,んっ！
男子B,おいおい、何がどうなってんだ……
男子A,何で……何で当てられた！？あんなド素人に！
野口,本来こねるのは厳禁だけど、それは本格的な競技内の話……急造素人ならこれで十分だね
まる子,ほいさ！
冬田,えいっ！！
たまえ,えいっ！
かよ子,ええいっ！
男子A,くそっ！
男子B,なっさけねーな。女ごときに何してんだ
男子A,うるせえ！だったら次お前がやってみろ！
男子C,まあまあ、落ち着けって
男子D,打線で注意すべきは１・２番だな。あいつら素人じゃねえ
男子E,球審目線で見てて判ったけど、あのコケシ女、只者じゃないぞ。木製バットの“しなり”を利用してやがった……！
男子F,スイングスピードが尋常じゃないってことか……
野口,ふん……
男子A,なん……だとぉ……
男子B,同じリリースポイントで緩急を操るなんて……
男子C,本当に小学生なのか……？
まる子,こりゃ間違いなく勝ったよ！
野口,コールド制じゃないのが悔やまれるね
かよ子,こおるど？
笹山,寒いってことかな？
野口,ブプッ！
男子A,おい、このままじゃ負けちまうぞ！
男子E,落ち着け
男子A,落ち着けるか！女子に負けたなんて噂がたってみろ、生き恥だぜ
男子E,ひとつ、球審をしてて判ったことがある
男子達,？？？
男子E,あのキャッチャーだよ
野口,……おかしいね。三回からやけに振り抜いてくるようになったよ。こりゃぁ確実に盗まれてるね……
男子A,へっ、次にどんな球種が来るのか判ってりゃ
男子B,あんなやつ屁のカッパよ！
野口,それなら泳がせてカウント稼ごうかね
男子達,打て打てー！打ってこうぜー！
野口,今のステップ……明らかにチェンジアップを待ってたね
男子達,打ってけ打ってけー！
野口,スローカーブも……やっぱり緩い球に張ってたか
かよ子,ひええ～……出番ないと思った途端に打たれ出したよ～！
城ヶ崎,山田さん、早く、早く！
かよ子,ええいっ
男子達,よっしゃ！外野大穴狙ってけ！
野口,……
かよ子,ご、ごめ～ん！つつつ次はちゃんとするから！
男子達,いけいけ！いったれ！
かよ子,ひえええぇぇ……
野口,なるほどね。「いけ」は速球で、「打て」が緩い球か……クックックッ。ま、何にせよ対処法はいくらでもあるんだけど……。さくらさんには酷だけど、慣れてもらうしかないね
男子達,おっしゃ打てよぉ！
まる子,！？
男子C,なっ……
男子E(球審),何ぃ！？
男子達,ス、ストレートじゃねえか……
野口,無駄なあがき御苦労さん
かよ子,ていっ！
たまえ,かよちゃん、まだ一回もヒット打ててないね……
城ヶ崎,さっきからダブルプレーばっかりよ
笹山,守りでも大穴呼ばわりされて……
野口,すくえないね。ザルだけに
キートン,酷い言われようである
冬田,山田さん、気を落とさないで
かよ子,冬田さん……
冬田,恋する者同士、一つ教えてあげる
男子D,スイングスピード０のバッティングならどうだ。嫌でも当たるぜ！
野口,バスターかと思いきやプッシュバントかい……小物らしく良いかもね
男子A,速球速球で一つ挟んで外にカーブ……最後はインハイ直球か？
野口,フッ……！
男子A,外一杯の真っスラ（カットボール）……
まる子,２アウト、２アウト～！
城ヶ崎,打球が来ないからって緩んじゃダメよ！締まっていきましょ！
内野陣,おー！
かよ子,まるちゃんも城ヶ崎さんも、みんな、様になってるなぁ……。杉山君……
笹山,山田さん、行ったわよ！
男子達,凡フライだけど、あいつなら１点確定だ。ラッキー！
かよ子,冬田さん……この際やってみるよ。今度は……消しゴムなんかじゃなくて、ちゃんとしたボール！
男子達,回れ、回れ！
かよ子,今度こそ、捕ってみせるからっ！。とぉりゃああああああああああ
一同,かよちゃん！
かよ子,あたたた……
城ヶ崎,ボールは！？
かよ子,と、捕った！！
野口,……やるじゃん
冬田,山田さん、手当てしないと
かよ子,痛っ……これくらい大丈夫だよ
たまえ,でも、所々擦り剥いてるよ
かよ子,えへへっ、今すごくスッキリしてるんだ！だから平気！
一同,？？？
まる子,さあ六回表は１番からだよ！終盤だしトドメ刺そうかね！
野口,あ～あ……
笹山さん,野口さん？
野口,あたし帰るよ
一同,ええぇーーっ！？
まる子,ちょ、ちょいとあんた！ここまできて、そりゃないよ！
野口,ラジオが始まるから。録音しなきゃいけないよ
まる子,野口さん抜けたら誰が投げりゃいいのさ！？
たまえ,それに守備の人数だって……！
野口,ま、最後は自分らでケリつけな。この中でまともな球投げられるのは、城ヶ崎さんだね
城ヶ崎,わ、私！？
笹山,……うん、適任かも
冬田,ドッヂの時すごいボール投げてたものね
まる子,うんうん、確かに！城ヶ崎さんの球威に関しては、あたしが顔面で受けたからよく分かるよ！
城ヶ崎,さ、さくらさん、その話は止してってば！///
野口,テニスの要領で振り下ろしゃ形になるよ。それと、アルミホイルを思い出しな
城ヶ崎,……
野口,教えたはずだよ
一同,城ヶ崎さん、お願い
城ヶ崎,わ、分かったわよ……やるわ。やってやるわよ！
男子A,あの女、どっか行っちまったぞ
男子B,揉めてたし帰ったんだろうぜ
男子C,何にせよ、これで戦力ガタ落ちだな！
一同,城ヶ崎さーん！頑張ってー！
城ヶ崎,もっと追加点が欲しいって時に……！。ちょっと！恥ずかしくないの！？
男子達,……！！
城ヶ崎,あれだけ大口叩いといて、女相手にノーアウトから敬遠だなんて！！
まる子,まったく、情けないったらありゃしないよ！！
城ヶ崎,……
男子達,なっ……！？
男子C,な、情けねえのはそっちだクソコロネ！
男子D,あからさまなボール球をわざとらしく振りやがって……！黙って一塁に歩くほうがよっぽど潔くて格好いいだろうがよ！
まる子,男子の口ぶりは腹立つけど、城ヶ崎さんも城ヶ崎さんだよ。何で振るかねぇ？
笹山,違うわ
まる子,えっ？
笹山,城ヶ崎さんは先を見据えているのよ
一同,？？？
笹山,もし、少しでも打てそうな敬遠球が来たら……？その為に打つ構えは捨てない……多分、その延長としての空振りなのよ！
城ヶ崎,……
男子B,バカッ、どこ投げｔ
一同,やったやった城ヶ崎さん！ソロホームラン(左中間)よ！
男子B,どこ投げてんだよバカヤロー……
男子A,ククククッ
男子B,な、何がおかしいんだよ？
男子A,フンッ、むしろ打たれてホッとしてやがる
まる子,さあ、今の一撃でピッチャー動揺してるよ！
笹山,うん、私も続くね！
男子C,あのコロネ女が継投するみたいだぜ
男子E,今さら先発以上のピッチングが出来るとは思えないな
男子A,まずは早打ち禁止で、右狙いで繋げてくぞ
まる子,しまっていくよー！
城ヶ崎,テニスの要領で……アルミ、アルミ……
男子B,来い、ゴリラ女
城ヶ崎,やぁぁあ！
男子達,コ、ココ、コケシ女より速いんじゃねーか……？
まる子,くぅ～、強烈だね……
男子達,ど、どうだった？
男子B,とんでもねえ癖球だ……
男子A,ゴクリッ……
城ヶ崎,そーぉれッ！
男子A,……！！。間違いない、シュートだ
城ヶ崎,直球と同じ感覚で、人差し指で縫い目にプレッシャーをかけ……回転数を殺す！
男子A,ぐうっ！
男子B,今度こそ敬遠だ。絶対に気ぃ抜くなよ！
城ヶ崎,また歩かせるつもり？
男子A,……。わりーな、B
男子B,？？？
城ヶ崎,……そうこなくっちゃ
男子B,おい、A！ふざけんなよ！
男子A,B、座って構えろ
男子B,おまえ正気か！？
男子A,いいから座れ
男子B,うっ……でも
男子A,座れ
男子B,……わかったよ
城ヶ崎,まっすぐ……！。微妙に逃げた……今のは真っスラ？今までのヌキスラ(緩い球)含めて２種類あったのね。でも、速球系は強く振り抜いて飛ばしたことで使いづらくなった筈
男子A,これで奴は緩いのを頭に浮かべるかな。お次は……。布石は打ったぜ。大好きな外で思いきり引きつけてぇだろ？
城ヶ崎,外から内連投の目付けで、次は……
男子A,今度のは目一杯インステップで、ワンテンポ溜めてから……
城ヶ崎,速球っ！
男子A,そのオープンじゃ絞りにくい、内角ボールゾーンからかすめるように入る真っスラだ！
城ヶ崎,くっ……
男子A,しゃあッッッッ！！
男子D,凌いだな
男子E,ナイピー！
男子B,だけど、もう最終回だぜ！どうすんだよ！
男子C,このままじゃ公園使えなくなっちまう！
男子A,ああ、元々そういう趣旨だっけ……
城ヶ崎,いよいよラストよ！締まっていきましょ、さくらさん！
まる子,バッチコーイ！
男子C,うぁら！
男子A,C、走れ！振り逃げできるぞ！
男子F,俺じゃミートするのは無理だ。選んでかないと……
まる子,くぅうっう……！
たまえ,まるちゃん！
一同,さくらさん！。さくらさん、大丈夫？
まる子,だ、だいじょぶだよ！ちょっとよそ見しちゃってさ！
たまえ,まるちゃん、手を見せて
まる子,ええ？だいじょぶだって
たまえ,いいからっ！。今までポケットに突っ込んで隠してたね……！何で言わないの！
まる子,大袈裟だね。このくらい……
たまえ,バカッ！！！！！
一同,！？
たまえ,深刻な後遺症になったらどうするの！！まるちゃんはよくても私が許さないよ！
城ヶ崎さん,穂波さん……
まる子,ちょっとくらいさ
一同,……
まる子,ちょっとくらい、あたしにも格好付けさせとくれよ……
たまえ,もう、じゅうぶん格好ついてるよっ
まる子,もう最終回なんだし、右手で捕ってみせるよ
たまえ,まるちゃん……
男子A,……おい、左用グラブ持ってこい
男子D,おっしゃ、打ち頃！
男子B,もうスタミナ切れか？
男子A,……
かよ子,ひええぇぇぇ
たまえ,城ヶ崎さん……
城ヶ崎,やっぱりダメ……いくら逆の手と言っても、無意識にセーブしちゃう……
男子達,勝てる勝てる！このままサヨナラだぁー！
まる子,大丈夫だよ城ヶ崎さん、思いっきり投げちゃってよ
城ヶ崎,くっ……そう言われても……
男子A,B、キャッチャーやれ
男子B,おう！……って、はああ！？
城ヶ崎,！？
男子,代わってやれ
男子B,おまえ正気かよ！？
男子A,やれ
男子B,……わかったよッ！
城ヶ崎,あんた……
男子A,勝ち逃げするんじゃねーよ
男子B,まあいい、Aが何と言おうと、Aの得意なコース要求してやる
男子A,B……
男子B,なんだよ
男子A,お前は指示するなよ。あいつ(城ヶ崎)自身の意思でやらせなきゃ意味ねえからな。わかったな？
男子B,……わかったよッ！
男子A,ってなわけで、来やがれ！
城ヶ崎,ふんっ……臨むところよ！
男子B,ええい、この際やけくそだ……締まってくぞぉぉお！
城ヶ崎,ふふふっ
男子A,……何だ？
城ヶ崎,ううんっ、何でもない
一同,バッチコーイ！！
城ヶ崎,……野球も悪くないかもね
男子A,やっぱり、あくまで真っ向か
城ヶ崎,せえぇいっ
男子A,ぐっ！。外か？
城ヶ崎,ふえい！
男子A,内っ……！。遊び球は無い。全部ストライク狙いで来てやがる！
城ヶ崎,そぉりゃああああああ
男子A,速っ……！
男子達,まだだA、走れ！振り逃げできる！
男子B,もたつく振りして時間を稼いでやれば……
男子A,……
男子B,なぜ走らねぇぇぇ！
冬田,きゃっ！
城ヶ崎,冬田さん、落ち着いて！間に合うわ！
男子達,まだだ！じっくり見てけよー！
まる子,２アウトだよみんなー！あと１人あと１人！
男子A,！！
男子達,よしよし、選んでいけー！
男子A,そうか、あの時……。オカッパを気遣って手を抜いた時、コツを掴んだのか
一同,やったやったぁあーー！
冬田,一時はどうなることかと思ったけど！
笹山,私たち勝てたのね！
かよ子,疲れたぁぁ～！
まる子,みんな、かっこよかったよ！
たまえ,まるちゃんもね！
城ヶ崎,みんな！本当に、本当にありがとう！
男子A,おい
一同,あっ……
男子A,見ての通りお前らの勝ちだ。正直完敗だったぜ。約束どおり出ていくよ。二度と此処には近付かないようにする。それと……
城ヶ崎,何やってんのよ！
男子A,何って、どげｚ
城ヶ崎,バッカじゃないの！？なに本気にしてるのよ！
男子A,……
城ヶ崎,私たち、使用権利なんてどうだっていいの！此処はみんなの場所なんだから、みんなで譲り合って使えばいいのよ！
男子A,……。ああ、本当、その通りだよ
城ヶ崎,わかってくれれば良いのよ。それに……
男子A,？？
城ヶ崎,野球、楽しかったし！ねっ、みんな！
一同,うん！！
男子A,……。う、うううっ……ぐすっ！
まる子,あらら、この人は……。泣いちゃったよ
笹山,泣かないで……
男子A,俺、女には出来ないって、バカにして……！
一同,大丈夫だって！過ぎたことなんだからさ！
男子A,本当に、ごべんなﾞっ……！
男子達,ごめんなさい！！
まる子,折角の休み時間だってのに、何本ダッシュすりゃ気が済むのかね
城ヶ崎,男子A達、野口さんに師事したそうよ
たまえ,へぇ～、野球うまいもんねぇ
冬田,メモに練習メニューがびっしり書かれてるんだって
かよ子,大変だぁ～
笹山,野口さんも乗り気だし、良い事ね
男子A,コーチ……ダッシュの次は何だって！？
男子B,タイヤ引き……
男子達,うわああ～……
野口,クックックッ！
