雪歩＝白子,しろこ
響,あ、あんまり待ってないけど…
千早,アニ丸の一人称も独特だわ…自分…
亜美,なんとなくそこに行く気がしてたよ…
千早,アニ丸の武器は総合力だと思うの。全てにおいて高水準。つまり、完璧…
伊織,えらく高評価ね
千早,アニ丸…自分…完璧…
あずさ,あらあら～？
千早,自分、完璧ですから…琉球アニ丸…
響,えっ！？
伊織,なんで高倉健ちっくなのよ…
真美,琉球アニ丸って渋めのキャラだったんだね…
響,え、えっと…
千早,大丈夫よアニ丸。あなたは"完璧"という言葉に負けていないから
やよい,そういうことじゃない気がしますぅ…
響,い、良いんじゃないかな？あはは…
千早,私も歌ばかりでなく、他の分野を伸ばさなくては…
真,やる気になってる…
千早,お次はプルプル姉さんですね？
あずさ,はい～。よろしくね、千早ちゃん
真,やっぱりボク、プルプル姉さんがツボみたいだ…
亜美,実は亜美も…
千早,プルねぇは…
春香,その縮め方はやめて…
千早,やはり迷子という大きな特徴を活かすべきだわ…
美希,嫌な予感なの…
千早,迷ラープルプル姉さん…
あずさ,えっ！？
真,ま、迷ラー？
小鳥,マヨラーとかけているみたいだけど…
響,迷子になるのが趣味の人みたいだね…
あずさ,え、ええっとぉ…
千早,いかがですか、プルねぇ？
春香,だからその略し方は…
あずさ,か、可愛いと思うわ～
千早,ふふ…そう言っていただけると思っていました
亜美,その自信はどこから…
千早,お次はメカネちゃんね
律子,そうみたいね…
千早,メカネちゃんは可愛らしさを前面に出したいわ。☆印なんかを使って
春香,もうアイドルじゃないのに…
千早,アイドル時代の持ち歌は…"いっぱいいっぱい"と"魔法をかけて"…
律子,すでに懐かしいわ…
千早,いっぱいいっぱい…魔法をかけて…
真,その２つを繋げれば済むような気が…
千早,いっぱい…かけて…
小鳥,ち、千早ちゃん？
千早,いっぱいかけて☆メカネちゃん…
律子,えっ！？
伊織,何言ってんの？あんた何言ってんの？
やよい,えっと…どういうこと
春香,やよいは知らなくていいの！
やよい,う、うぅ？
千早,可愛らしいわ、すごく…
律子,…
亜美,り、りっちゃん？
千早,ふふ…あまりの可愛らしさに言葉を失ったみたいね
響,ヒドい…ヒドいぞ…
千早,いいリズムだわ。どんどん行きましょう
小鳥,よ、よろしくね…
千早,雛テンパさんは…事務員ながらライブでのアナウンスも担当してくれています
小鳥,ま、まぁ…
千早,それにピアノバーで素敵な歌声も聴かせてくれました
あずさ,たしかに上手でしたね、小鳥さん
千早,事務員に改良を施したような存在、それが雛テンパさん…
春香,機械みたいに言わないであげて…
千早,事務カスタム雛テンパさん…
小鳥,えっ！？
亜美,ガンダムに出てくるやつだよね、それ…
千早,事務スナイパーやデザート事務にも改良可能よ
伊織,事務員に砂漠で何しろっていうのよ…
小鳥,う、うん…カッコいいと思うわ
雪歩,律子さんの後だから…
響,ものすごくマトモに思えるね…
千早,さぁ、あと３人ね
真美,よろしくね、千早お姉ちゃん…
千早,マミーポコは…亜美と離れて１人で活動しているわ
やよい,やっぱり紙おむつですぅ…
小鳥,そこには触れないでおいてあげましょう…
千早,最初は悪戦苦闘していたみたいだけれど、今ではちゃんと１人で活躍しているわ。だからマミーポコは…
響,だ、だから…？
千早,１人で出来るもん！マミーポコ
真美,えっ！？
春香,紙おむつなのに…
雪歩,紙おむつなのにぃ…
真美,え、えっと→…
響,ドンマイ…
真美,あ、あはは
真,ドンマイ、真美…
真美,ま、真美、気に入ったよ！
千早,そう。それは何よりだわ
真美,あ、あはは→！あははは→！
貴音,不憫な…
千早,さぁ、海アーミーの番よ
亜美,ら、らじゃ→！。だ、大丈夫だよ！
千早,子供…チャイルド…
小鳥,チャイドルとかでは無さそうね…
千早,でも、ちゃんとお金を稼いでいる。いわば子供からの脱却期…
伊織,展開が読めないわね…
千早,チョイルド海アーミー…
亜美,えっ！？
千早,ちょっと子供、だから"チョイルド"よ
雪歩,考えるのに苦労した感じがするね…
真,どことなく投げやり感が…
響,だけど今までの中ではマシな方だぞ
亜美,えっと…
美希,微妙過ぎて反応に困ってるの
春香,声が大きいわよ、美希
亜美,良いと…思うな
千早,ふふ…良かったわ
伊織,煮え切らないわね…
千早,さぁ、いよいよラストね
美希,もう少しで寝ちゃうとこだったの
千早,ねるねる寝るねは…おにぎりよね、やっぱり
真,相変わらず"やっぱり"の意味が分からない…
千早,それと、プロデューサーのことをハニーと呼ぶわ。ハニー、つまり蜂蜜…
真,何で訳すんだろ…
千早,おにぎり（蜂蜜）ねるねる寝るね…
美希,えっ！？
春香,蜂蜜入りのおにぎりってことだよね？
響,マズそうだぞ…
美希,むー。そんなのおにぎりじゃ
真美,みきみきぃ
亜美,空気読もうよ
千早,お気に召さないのなら、寝にぎりを転用しても
美希,お、おにぎり（蜂蜜）で良いの！
千早,そう。気に入ってくれて良かったわ
やよい,こんどハチミツ入りのおにぎり作ってみますぅ！
伊織,止めときなさい…
甘味たっぷり・すってんリボン,今回もなかなかハードだったね…
３月だぴょん！・もやしちゃん,律子さんのはどういう意味
闇太子・凛太郎,や、やよいは気にしなくていいから！
いっぱいかけて☆・メカネちゃん,…
事務カスタム・雛テンパさん,律子さんが帰ってこない…
チョイルド・海アーミー,亜美、マシな方だったんだね…
ツンツンデレデレツンデレレ・ピンク嬢,何も考えたくないわ…
萩原掘ーるディングス・白子ちゃん,わ、私もマシな方でした…
迷ラー・プルプル姉さん,マヨネーズ美味しいわよね、うふふ
わたくし立・月麺着陸,何やら食欲をそそりますね…
自分、完璧ですから…・琉球アニ丸,自分、自意識過剰な人みたいだぞ…
１人で出来るもん！・マミーポコ,真美もだよ…
おにぎり,蜂蜜）・ねるねる寝るね「あふぅ…
千早,そうそう。私のことはブルー・ディーバちぃちゃんと
一同,おいっ！！！
千早,私、みんなにニックネームを付けたいのだけれど。私、みんなにキャッチコピーも付けたいのだけれど
