第一話,転んだのは誰？
男,あ、ああ……。もうこいつの顔をまともに見れない……見れるわけがない……。俺はスポーツマンとして取り返しのつかないことを――
テレビ,スポーツニュースの時間です。本日、オリンピック男子マラソン代表が発表されました。まず選ばれたのは、悲運の転倒アクシデントから復活を遂げた、ライバル選手！。一方の男選手は、まさかの選考漏れ！。男選手は、ライバル選手の転倒事故があったレース以降、精彩を欠き……。選考から漏れた男選手は、本日現役引退を表明し――
転ばし屋,…………。どうやら、他人を転ばせたつもりが、自分が転んでしまったようだな……
第二話,転んでもただでは起きぬ
ダンサー,ヒャッホーッ！
司会,決まったぁーっ！見事なダンスを披露してくれました！。これは高得点が期待できそうです！
富豪,標的は、私の息子です。息子が大会でダンスをしている最中、最も盛り上がるところで転ばせて欲しいのです
転ばし屋,理由を聞かせてもらえるか？
富豪,息子にダンスを諦めさせるためです。息子とは“今度の大会で優勝できなければ会社を継げ”と約束しました。つまり、転ばせて息子の優勝を阻止して欲しいというわけです
転ばし屋,なるほど……だが、転んでも優勝する可能性はあるぞ？
富豪,今度の大会はレベルが高く、転倒したらまず優勝はありえません。なので、転ばせてもらいさえすれば、息子の優勝はなくなります！どうかお願いします！
転ばし屋,分かった、引き受けよう
司会,さぁ、続いてのダンサーの登場です！
息子,イエーイッ！
転ばし屋,この青年が……依頼人の息子――標的だな。下馬評では優勝候補ともいわれているし、ダンスの才能はホンモノのようだ
息子,さあ、踊るよー！。ヘイヘイヘ～イ！
司会,ノリのいい、素晴らしいダンスを披露してくれています！
転ばし屋,…………
息子,ハァッ！
転ばし屋,ダンスが最高潮の――今だ！
息子,うあっ！？
転ばし屋,よし……転んだ
息子,ハァ～イ！
観客A,すげえ！転んだと思ったら、そのままダンスしてやがる！
観客B,いや、これって元々そういうダンスだったんじゃね？
観客A,あ、そういうことかぁ！
転ばし屋,…………
司会,優勝は……アフロ選手だぁっ！
アフロ,ヤッホーッ！みんなサンキューッ！
息子,……くっ！。親父……ご覧の通りだ。俺はダンスはきっぱりやめて、会社を継ぐよ……
富豪,…………。いや……。お前がダンス中、転んだ後の立て直し……見事だった。最後までよく踊り切った
息子,えっ！
富豪,もし、あのまま諦めてしまうようなら、約束通りダンスをやめてもらうところだったが。今のお前なら、十分独り立ちできると分かった。会社を継ぐ必要はない！プロダンサーになれ！それも世界一のな！
息子,親父……！
転ばし屋,なるほど、依頼人は息子に本当にプロダンサーを目指す気迫や根性があるのかどうか。見極めたかったというわけか
第三話,転ばし屋と女頃し屋
標的,――ん？。うわっ、うわっ、うわっ！？。うわぁぁぁぁぁっ！！！
転ばし屋,これでよし。さて、いつものバーに寄るか。…………
女頃し屋,はぁい
転ばし屋,久しぶりだな。景気はどうだ？
女頃し屋,おかげさまで悪くないわ。って、なんでバナナなんか食べてるの？
転ばし屋,体にいいからな
女頃し屋,せっかくのムードがブチ壊しだわ……。あなた、いい加減“頃し屋”になればいいのに。転ばせるより頃す方がよっぽど簡単だし、あなたならすぐ一流になれるわよ
転ばし屋,そのつもりはない。俺はあくまで転ばし屋……転ばせるのが仕事だ。頃しは趣味じゃない
女頃し屋,頑固ねえ。じゃあもし……私がこの場であなたを頃そうとしたらどうする？
転ばし屋,…………
女頃し屋,…………
転ばし屋,お前を転ばせて逃げる
女頃し屋,ふふっ……。あなたらしい答えだこと
転ばし屋,そりゃどうも
女頃し屋,さ、二人で飲みましょ。マスター、いつもの頼むわ。ふぅ、少し酔っ払っちゃった。星が綺麗な夜だし、ちょっと外歩かない？
転ばし屋,ああ
女頃し屋,今、私は酔っ払ってるんだから、何かあったら守ってよね
転ばし屋,プロの頃し屋を守る必要なんてないだろう
女頃し屋,頃し屋だけど、私は女よ？男女平等の時代とはいえ、男は女を守らなくっちゃ
転ばし屋,そこらの男よりよっぽど強いくせに、よくいう……
暴漢,あ～……ムシャクシャする！
転ばし屋,！
暴漢,ムシャクシャしたら誰か殴りたくなってきた！ぶん殴ってやる！
転ばし屋,なんだ、このジャイアンみたいな奴は……
女頃し屋,さぁ、こういう時、転ばし屋さんはどうしてくれるのかしら？
転ばし屋,それはもちろん――
暴漢,オラァッ！
転ばし屋,転ばせるだけだ
女頃し屋,何かを道に捨てた？あれは――。バナナの皮！
暴漢,わっ！？。うぎゃあ！。むぎゅう……
女頃し屋,なるほど、こういう時のために、バナナを食べてたのね
転ばし屋,ああ、バナナの皮は優れた武器になる。もちろん、捨てた皮はちゃんと拾う。お前も雇ったこの男に、ちゃんと治療費ぐらい払ってやれよ
女頃し屋,あら、バレてたのね
転ばし屋,バレないと思ってる方がどうかしてるだろ
女頃し屋,そういえば……。あなたが“転ばし屋”になったのは、ドラえもんに出てくる“ころばし屋”に憧れたからよね？
転ばし屋,そうだ。俺と違い、たった10円で標的を三回も転ばせてくれる凄腕だ
女頃し屋,面白そうね、今度ドラえもん読ませてくれない？
転ばし屋,ころばし屋が出てくるのは、てんとう虫コミックスの13巻だ。今度といわず今貸してやろう
女頃し屋,……いつも持ち歩いてるんだ
転ばし屋,この巻は俺にとっての聖書（バイブル）だからな
第四話,転ばし屋はつらいよ
転ばし屋,標的を転ばせるのは、この地点だったな。よーく写真を撮っておこう。あと路面の状態もしっかり調べて……。交通量も確認しておかないと……。それと決行予定日の天候も調べて……
商人,でしたら、このオイルなんてどうです？
転ばし屋,ちょっと触らせてくれ。おお。こりゃいい。ポリタンク一杯分購入しよう
商人,毎度あり～！
転ばし屋,この地点で、猛スピードのバイクを転ばせたら運転者はどう転ぶ？
学者,ふむ……。仮に100km/hとすると……運転者はバイクから放り出されてここに頭から激突するね
転ばし屋,なるほど……。万が一にも間違いがあってはならない。専門家と打ち合わせ、綿密なシミュレーションを重ねないと……。だいたいデータは揃った。オイルはこの地点に撒くことにして……。このあたりに葉っぱで作ったクッションを置いておこう。もちろん、俺もバイクを走らせて、実際に実験した方がいいだろうな
若者,ヒャッホーッ！。この峠でバイク走らせてると、ホントスカッとするぜー！。親父は危ない運転やめろなんてうるせえけど……。バイクの天才であるこの俺が事故るわけないっつーの！。わっ！？。わあああああああああっ！？。あ……周囲がゆっくり見える……。もしかして、これが走馬灯ってやつか……？。そうか俺、死ぬんだな……。…………！？。俺……生きてる……？。た、助かったぁ……。そうか、ちょうどいい具合に葉っぱがクッションになって助かったんだ……。もうこんな怖い思いは懲り懲りだ……！反省しよう……！
依頼人,いやぁ～、今日は改めてお礼にうかがいました！。おかげで息子がバイクでの暴走行為をやめました！ありがとうございます！
転ばし屋,うまくいってなによりだ
依頼人,それにしても、さすがは転ばし屋ですなぁ！。“息子を傷つけないよう転ばせる”なんて依頼をいともたやすくこなしてくれるなんて！
転ばし屋,いともたやすく、ね……
第五話,最も下らない依頼
転ばし屋,…………
女頃し屋,はぁい
転ばし屋,なにか用か？
女頃し屋,ううん、今日は軽く雑談でもしようかと思って
転ばし屋,雑談、か……
女頃し屋,あなたが今までに受けた依頼の中で、最も下らない依頼ってなに？
転ばし屋,下らない依頼か……。まあ、アレだろうな
女頃し屋,アレって？
転ばし屋,お前になら話してもいいだろう。あれは何年か前……
ブス,私を転ばせてちょうだい！
転ばし屋,……分かった
ブス,思いっきり頼むわよ！手加減抜きで！でなきゃ意味ないから！
転ばし屋,ああ、そうさせてもらう
ブス,じゃあ……当日は頼んだわよ！
転ばし屋,任せてくれ
ブス,ついにアメリカ大陸を発見したわぁ～～～～～！！！。さあ、転ばせてちょうだいな！
転ばし屋,合図……今だ！
ブス,あらぁぁぁぁぁっ！。いたたたたた……！。これがホントの転んだブス！
転ばし屋,……ぷっ。俺としたことが……ちょっと笑ってしまった
女頃し屋,アハハ……たしかに下らないわね。で、その彼女はどうなったの？なんでそんなことしたの？
転ばし屋,…………
女頃し屋,スマホ？
転ばし屋,この番組を見てくれ
スマホ,本日のゲストは今大人気の“転んブス”！。今日も私のギャグでみんなを笑い転ばせてあげるわぁ～ん！。ｱﾊﾊﾊﾊ…ﾜﾊﾊﾊﾊ…
転ばし屋,実は彼女を転ばせたのは、お笑い芸人のオーディションでのことだったんだ。今はこの通り、立派な芸人になってるよ
女頃し屋,あら、すごい！
第六話,転ばし屋vs女頃し屋
女頃し屋,はぁい
転ばし屋,またあんたか。このところよく会うな。今日も雑談でもしにきたのか？
女頃し屋,ううん……今日はとっても大事な用事があるの
転ばし屋,嘘ではないようだな……で、いったいどんな？
女頃し屋,あなたを頃しに来たの
転ばし屋,……どういうことだ？
女頃し屋,詳しくはいえないけど、あなたに転ばされて不利益があった人からの依頼でね。今日ここで氏んでもらうわ
転ばし屋,…………
女頃し屋,さあ、どうする？
転ばし屋,前にいったとおりだ。転ばせて、逃げる
女頃し屋,いうのは簡単だけど、そう上手くいくかしらね？。…………
転ばし屋,…………
女頃し屋,拳銃を――
転ばし屋,足払いで――
女頃し屋,きゃあっ！。いたた……。悔しいけど、私の負けね……。私が拳銃を抜いても迷いなく転ばしに来るなんて……あなた、銃が怖くないの？
転ばし屋,撃つ気のない銃は怖くないさ。お前が撃つ気だったら、今頃俺の額か胸の風通しがよくなってたかもな
女頃し屋,あーあ、またお見通しだったってわけね
転ばし屋,で、本当の用件は？
女頃し屋,これ、返しに来たの
転ばし屋,ドラえもんの13巻……
女頃し屋,うん、ずっと借りっぱなしだったでしょ？バイブルなのにごめんなさい
転ばし屋,いや、かまわないさ。もう何冊か持ってるし
女頃し屋,アハハ、保存用とか観賞用ってやつ？。ところで私、ドラえもんにすっかりハマっちゃって！。その巻以外の巻も全部買ったし、大長編やアニメも見たりしてるの！
転ばし屋,ほう？
女頃し屋,ちなみに私が一番好きな道具は“絵本入り込み靴”かしら
転ばし屋,ちょっと意外……
女頃し屋,今夜は大いにドラえもんを語りましょ！それが今日の用事よ！
転ばし屋,ああ、いいぞ。やれやれ、今夜は長い夜になりそうだ……
最終話,転ばし屋が転んだ
青年,デート中、彼女が転んだところを助けるというシチュエーションをやりたいんです。公園で彼女を転ばせて下さい！
転ばし屋,分かった、引き受けよう
青年,ありがとうございます！。デートは次の日曜ですので、どうかお願いしますね！
転ばし屋,なかなか初々しい依頼だな……好感が持てる。依頼人と標的がデートをしている……。今だ！
女,きゃっ！
青年,あっ、大丈夫かい！？
女,…………
青年,あ、あれ……？。ああ……彼女が動かない！。まさか、転んだ時に打ちどころが悪くて……！？
転ばし屋,…………！。そんな……転ばせるはずが、頃してしまった……！？。転ばし屋であるこの俺が……
女頃し屋,はぁい
転ばし屋,…………
女頃し屋,？
転ばし屋,ふぅ……
女頃し屋,あら、珍しい。ため息なんてついて。どうしたの？
転ばし屋,俺は……転ばし屋だというのに、人を頃してしまった
女頃し屋,え……！ど、どういうことよ！
転ばし屋,実は――。――というわけだ。そのまま依頼人の恋人は帰らぬ人になってしまった。俺としたことが……取り返しのつかないしくじりを……
女頃し屋,…………。ねえ、その死んじゃった女性の葬儀ってどうなったの？
転ばし屋,明日にでも開かれるはずだが……
女頃し屋,だったら私、ちょっとそこに行ってくるわ
転ばし屋,え？どうして？
女頃し屋,なんとなーく、臭うのよね。人の死を無数に見てきた私なら、なにか違う事実が分かるかもしれないわ
転ばし屋,そんなものがあるとは思えないが……よろしく頼む
女頃し屋,私、生前彼女と親しくしていた者です
遺族,おおっ、そうなのですか
女頃し屋,一目だけでも、ご遺体を拝見させていただいてもよろしいですか？
遺族,どうぞ……ぜひご覧になって下さい
女頃し屋,すみません。これが彼女の遺体ね……。…………。こ、これは……！
遺族,どうかしましたか？
女頃し屋,いえ……何でもありません。どうもありがとうございました
遺族,こちらこそ
女頃し屋,すぐに転ばし屋に知らせないと！
転ばし屋,首筋に針で刺されたような跡が……！？
女頃し屋,ええ、きっと針に猛毒でも塗ってあって、それで死んじゃったのよ。私でやっと気づけたぐらいだから、普通の人じゃまず分からない。しかも、大勢が彼女が派手に転んだところを目撃してるから。転んで打ちどころが悪かった事故死、で処理されちゃったんでしょうね
転ばし屋,なんということだ……
女頃し屋,それと、あなたに依頼した青年、実は彼女と別れたがってたらしいわ。だけど、なかなか別れられないから――
転ばし屋,俺を使って、事故死に見せかけて頃したってわけか……
女頃し屋,うん……そういうこと
転ばし屋,俺としたことが……まんまと利用されてしまったな
女頃し屋,……どうするの？
転ばし屋,もちろん、このままで済ませるわけにはいかない。俺にだって、転ばし屋としてのプライドはあるからな
女頃し屋,手伝おうか？
転ばし屋,いや……ここから先は俺一人でやらせてくれ
女頃し屋,後始末が済んだら、またここで会いましょ
転ばし屋,ああ、世話になった
女頃し屋,ドラえもん貸してくれたお礼よ。気にしないで
青年,フフフ、転ばし屋のおかげで、あのしつこいバカ女を始末することができた。転ばし屋なんてギャグみたいな職業でも、使い道はあるってことだな――。うおあっ！？。いてて……！なんでこんなに滑るんだ……！？
転ばし屋,…………
青年,お、お前は！？
転ばし屋,お前がやったことはもう分かっている。ちょっと付き合ってもらおうか
青年,ぐっ！。な、なんだよ、俺をどうする気だよ！頃すつもりか！？
転ばし屋,いや、頃すつもりはない
青年,な、なんだこりゃ！？
転ばし屋,特殊なオイルだ。お前はもう、ずっと転び続けるしかない
青年,な、なんだと……！。立てない……！
転ばし屋,ここから出たければ、今すぐ警察に電話して“真相”を話せ
青年,だ、誰が！。うおあっ！
転ばし屋,なら、お前は転び続けるだけだ
青年,腹減った……
転ばし屋,食事だ、食え
青年,…………？。メシ、食わせてくれるの？
転ばし屋,俺はお前を死なせるつもりはないからな。当然餓死もさせない。ただ、ずーっとずーっと、転ばし続けるだけだ
青年,……ひっ！。うひゃあっ！。た、立てない……！。わわぁ！。ハァ、ハァ、ハァ……
転ばし屋,…………
青年,なんて目だ……！。こいつは本当にただ俺を転ばし続けるだけのつもりなんだ……！。俺が全てを明らかにしない限り、ずうっと……。ハァ、ハァ、ハァ……
転ばし屋,…………
青年,す、すみませんでした……
転ばし屋,…………
青年,許して下さいっ！警察には自首しますからっ……！。だから、ここから出して下さいっ！
転ばし屋,なら、このお前のスマホから警察に連絡しろ。ただし、余計なことをいったら、今度は永久に転び続けることになるぞ
青年,は、はいぃっ！。もしもし、警察ですか……。実は女性が転倒死した事故についてお話が……！
転ばし屋,おかげさまで、奴は逮捕されたよ。俺の気も幾分かは晴れた
女頃し屋,ふふっ、お疲れ様
転ばし屋,今回は助けられたよ、本当にありがとう。しかし……こうもまんまとしてやられるとは……本当に不覚だった。これも全て、人を転ばせるという行為を甘く見ていた結果だ。俺はもう、“転ばし屋”を廃業すべきなのかもしれないな。いっそ、“頃し屋”に――
女頃し屋,ちょっとなにいってんの！。今まで散々人を転ばせた男が、一度転んだくらいでへこたれないでよ！。人生七転び八起きっていうじゃない！転んだら立ち上がればいいのよ！
転ばし屋,……そうだな。俺はこれからも、人を転ばし続けるよ。憧れの“ころばし屋”のように！
女頃し屋,そうそう、その意気！。それじゃ、これからも転んでも起き上がれるように、乾杯！
転ばし屋,乾杯
