主人公,おい、そこまでにしておけって。
アカネ,はーい！あたしアカネちゃん！（中略）えーーーーーーん！！
プレイヤー,ほい。バッジゲット、と。
ジムトレーナー１,はい、終わりましたー。お疲れさんでーす！
ジムトレーナー２,いやー立ってるだけで肩こるもんだねー。じゃあ私たち先に上がるんで、アカネさん。後よろしくお願い―す！
アカネ,…はい。
ゴールド,…手伝いましょうか？
アカネ,いえ、いいんです。ここを汚したのは私の所為ですし……
ゴールド,響きがイイ。
アカネ,え？
ゴールド,いえ、なんでもありませんよ。モップはあの端にあるロッカーの中ですよね？
アカネ,あ…ありがとうございます。
ハネッコ,（…で、私たちはいつになったら外に出られるのかしら。）
ゴース,（おやおや、無粋な。あなたも♀の端くれならば、男女の仲の睦まじさについては幾分か理解しているでしょう。たとえ、外で繰り広げられている出来事が三文ドラマ並みの展開であるとしても、あなたは感動して涙を流すというものが筋というものですよ。）
ハネッコ,（得体の知れないガス状の塊にそんなことを言われる日が来るとは、思いもよらなかったわ。）
ゴールド,またこないだの“綺麗事”でも抜かすのか、お前は？
ワニノコ,コガネシティのビルというビルからのライトアップも美しかったけど、エンジュシティの、この心を落ち着かせるような街並みも綺麗だね。
ゴールド,…いっそ詩人にでもなったらどうだ。
ワニノコ,詩人は稼げるのかい？
ゴールド,稼げるさ。
ワニノコ,じゃあ詩人とやらになろう。
ゴールド,ただし、設定上、俺はお前の飼い主である故に、お前の詩人として稼いだ取り分はそっくりそのまま俺に献上される。この世界でもあの世界でもきっと適用される規則だ。それは。
ワニノコ,規則を守らないお前に規則うんぬん言われるとはね。
ゴールド,ほっとけ、ペットよ。
ワニノコ,飼い犬に手を噛まれる、って言葉があるよね。
ゴールド,ワニだろ。
ワニノコ,まあね。じゃあ詩人はやめるよ。向いてない。
ゴールド,芸術家というものは所詮才能ありきの世界だ。金なんて二の次だ。お前みたいに金銭目当てでその道に飛び込む奴は、どんなに工面してもどのみち長続きしないさ。その点では良い判断をしたんじゃないか。
プレイヤー,さて、と。そろそろいいかな…
ゴールド,…
オタチ,（“奴”がポケモンセンターのパソコンを起動したぞ！）
コラッタ,（ろくにポケモンもつかまえていないのにな！こないだなんかウソッキーさんを捕まえる前に倒してしまって若干涙目になっていたというのに！）
プレイヤー,そろそろいらない奴をおくるか…見てて、いたたまれないからな。
オタチ,（なんだって！！ついにこのパーティ内から脱落者が出てしまうのか！！）
コラッタ,（そんな！パーティメンバは全員が全員切磋琢磨してレベル上げを行ったはずなのに！ああ、そんな！！）
ポポッコ,（…）
ゴースト,（…）
アリゲイツ,（…）
プレイヤー,えと、こもの１とこもの2を、と。
コラッタ,（ああああああ！！きさま、ビルゲイツ！！）
オタチ,（覚えてろよ！！ボックスの中から業績不振の呪いをかけ続けてやる―――）
アリゲイツ,（…時代はlinuxだと何度言えば。）
ゴールド,…
ガーディ,貴様らが、今日から我と寝食を共にする同士か。我が名はエセキング。我が名の由来は自らの預かり知らぬことではあるが、この一帯では唯一王と呼ばれていたガウ。どちらの名で呼んでも構わぬが、貴様らは常日頃から我を敬い、我にひれ伏すがいいガウ。
ポポッコ,また小物臭がするわね…
アリゲイツ,なあ、仲間という表現は駄目でも、同士という表現はいいのか？
ゴールド,…その話は後だ。
ガーディ,やまびことやらに訊きたいことがあるガウ。
ポポッコ,ええどうぞエセキングさん。私はどこかのガス状より饒舌ではないけれど、答えられる範囲でよければ応じるわ。
ガーディ,ここは本当にゲームの世界であるのか？
ポポッコ,おかしなことを言うのね。そうよ、ここは向こうの世界にいる“奴等”が創り上げたもの。周りの家も、この広大な空間も、そして恐らく私たちもね。
ガーディ,いささか不思議な感覚を覚えるガウ。ここに存在している我が創られたものであるというものは、いささか奇妙でもあるし恐怖を覚えるガウ。
ポポッコ,あら。向こうの世界でも、神という存在に創られた生き物であると信じている“奴等”が中にはいるみたいよ。
ガーディ,我には信じられんガウ。こうして自分の意志で生活しているというのに、大元を辿れば、どこの馬の骨とも知れぬ奴等によって為された存在が我であるとは…
ポポッコ,馬の骨と言えば、神とやらは馬小屋で育ったらしいわよ。
ゴースト,おやおや、エセキングさんはどうやらナイーブでな方のようだ。
ポポッコ,げ。あんたはお呼びじゃないわよ。
ゴースト,そんな苦虫を噛むような顔をしなさると、せっかく整えた身だしなみが崩れてしまいますよ、お嬢さん。
ポポッコ,御忠告、ありがたくうけとるわ。
ガーディ,ゲンガーよ。貴殿は今我が述べた意見について何か思うところはないのか。
ゴースト,人間は人間、プログラムはプログラム、ですよ。ここで私たちがどんなに騒いでもこの関係は変わることはない。私から言えることはそれだけですよ。ああ、それと。
ガーディ,どうしたガウ。
ゴースト,私は存在が曖昧であるガス状の塊なので、この件に関して大した興味を抱いていないのかもしれないので。それを付け加えておきましょう。
ポポッコ,…嫌味な野郎ね。
プレイヤー,エンジュのジムリーダーも倒したし、次は…うん？タイムカプセルってなんだ？
ゴールド,…
プレイヤー,おおタカシか。え？そうそう。今エンジュまで進んだよ。それでさ、タイムカプセルっていうのが使えるらしいんだけど、俺今赤版どっかいっててさ。お前のピカ版でよければよ…
ガーディ,（電話越しだというのに相手の声がでかいガウ。）
プレイヤー,よし、じゃあそっちの赤版とつないで…こっちからはゴーストでお前からはキャタピーな。
プレイヤー2,了ｗｗ解ｗｗ
アリゲイツ,（こちらからの人柱はゲンガーのようだね。）
ガーディ,（悲しいガウ。もうお別れだと思うと…）
ポポッコ,（…にやけが止まらなくなるわ。）
ガーディ,（貴様、同士が一人旅立つというのに何たる態度をするガウ！）
ゴースト,（お嬢さん。そんな般若のような顔をしなさると、せっかく整えた顔が…）
ポポッコ,（般若に謝りなさい。）
アリゲイツ,（さて、交換が終わったね。）
キャタピー,（こ、ここはどこでごわすか！？何で周りが色つきなんでごわす！！）
アリゲイツ,（…また個性的な。）
ポポッコ,（待ちなさい。キャタピー、今あなた、何て言ったの？）
キャタピー,（あれ、どうしてこんなところにお面が…）
ポポッコ,（あなたゲンガー張りに失礼ね…）
キャタピー,（ここはどうして色彩豊かなんでごわすか。おいどんが居たところは色なんて僅かしかない、おおよそ白黒の世界でごわした。）
アリゲイツ,（白黒！？）
ガーディ,（白黒とは…では周りが全てセピア色だったということであるガウ。）
キャタピー,（おや、おいどんは緑色でごわしたか。そういえば向こうのフシギバナさんがカラーの世界に行ってきたと言っておったが、まさかここがそうとは…）
アリゲイツ,（フシギバナさん？）
キャタピー,（ああ、どうやら旅だった世界でメタモンと卵を―うおっ！！）
プレイヤー,よし、じゃあまた送り返すからな。
プレイヤー2,了ｗｗ解ｗｗ
アリゲイツ,（“奴等”、もう一回交換をするようだ。）
ポポッコ,（どういうこと？）
ゲンガー,（皆さまの熱いご声援にお答えして、舞い戻って参りました。）
ポポッコ,（…ついに頭の中身までも、ガスになってしまったのかしら。）
ゴールド,…なあ一ついいか。
ゲンガー,ええ、どうぞ。
ゴールド,なんでいつもそうやってニタニタしてるんだ。
ゲンガー,おやおや。図鑑の顔のままにしているだけの話ですよ。
ゴールド,他の奴等は、図鑑の写真は証明写真やモデルの撮影をとっているようなものと同じで、いつもあんな顔のままいるわけじゃない、と口を揃えて言っているぜ。
ゲンガー,私にとってこの顔は営業用スマイルではなく、固定されたものなのですよ。他の表情をしろ、と言われても無理な話ですね。
ゴールド,そうかい。…ところで、お前は赤版とやらの世界を覗いてきたんだろう。
ゲンガー,ええ。皆さまの予想通り、向こうは白黒の世界でしたよ。瓜二つと言っていいほど、ここと似通っていた世界でした。ただ、システムはここと微妙に違いましたね。
ゴールド,へえ、例えば？
ゲンガー,向こうでは皆さんは、道具を持つことを禁じられているようです。
ゴールド,そいつは不便だな。ここだと皆、きのみやなにかを常備しているのにな。
ゲンガー,ただ、皆さんの荷物が主人公のリュックの中にこれでもかというほど、詰められている光景を目にすることができました。皆さん、それほど不便ではなさそうでしたよ。
ゴールド,…本当に不便だな。。向こうの奴等とは話をしたのか。
ゲンガー,話をする前に時間がきてしまったもので。
ゴールド,そうか？結構時間はあったと思ったんだけどな。
ゲンガー,私は設定上、存在しえない存在のため周りの皆さまには見えなかったのかもしれませんね。
ゴールド,面白くないジョークだ。
ガーディ,時に、ゴールドよ。
ゴールド,…なんだ。
ガーディ,我の加入歓迎パーティはいつ執り行われるのだ。いくら豪勢に振る舞うと準備に精を出しても構わないが、程度の良いところで妥協するべきガウ。
アリゲイツ,…
ゴールド,…そんなものは行わねえよ。
ガーディ,ほう？耳が遠くなってしまったようだガウ。もう一度だけ、貴様に機会を与えるガウ。
ゴールド,…何様のつもりだ、お前は。
ガーディ,勿論、同士でもあり“仲間”であるガウ。
ポポッコ,あなた、あれ程、その言葉は控えなさいと！
ゴールド,お前の入れ知恵か、やまびこ。
ガーディ,関係ないガウ。いいか若造、我々は仲間だ。どのような状況下においても、お互いがお互いを助け合いながら道のりを進んでいくことそれ即ち、個々が相手を仲間と見なしてのことだ。貴様は、本質でそれを理解している。理解していながら、自らの決めた下らない方針や信条に縛られているがために、我の言うことに決して貴様は肯定をすることはできない。どうだ、若造？我の言うことは筋違いであるか？
ゴールド,…チャームポイントの口調を忘れているぜ。
ガーディ,おお、これは失礼したガウ、ガウガウー！
アリゲイツ,…肝心なところを締めないよね、あんた。
ライバル,……なんだおまえか
ゴールド,なんだ、おまえか。
ライバル,なんだとは、なんだよ。元気だったかゴールド。
ゴールド,よおマック。久しぶりだな、元気だったか。
ライバル,俺の名前はスティーブだ！というか少し前にも顔を合わせただろ。
ゴールド,あれ、そうだったか。まあいいや。じゃあな、またコガネシティでな。
ライバル,ちょっと待って！久しぶりに対面したんだからさ、もうちょっと話を広げようぜ。
ゴールド,なんだよ、このポケモン泥棒。
ライバル,う。それはストーリー上の話だろ。本当はちゃんとウツギのおっちゃんに話しをつけてだな―
ガーディ,ゴールドよ。“奴”が休憩を終えて入ってくるガウ。元の座標の位置に着くガウ。入口から左１、上２の場所だガウ。
ゴールド,ああ、わかった。ほら、さっさとここから出ろよ。“奴”はここを探索するつもりなんだからよ。
ライバル,…お前なんかスティーブされてしまえばいいんだ。
ゴールド,…
ポポッコ,（随分と辺境の地まで足を運んでしまったみたい。日差しが強くてたまらないわね、ここは。）
アリゲイツ,（ここに紫外線は存在しないよ。全てプログラムだからね。）
ポポッコ,（あら、わからないじゃない。ここには本当に紫外線が存在するのかもしれないわよ？）
ネイティ,（いやあ皆、今日から君たちと同じ屋根の下で過ごすことになったネイティ、おっと失礼、もとい、アメリカンだ。今日からこの狭いボールの中で余生を過ごすと思うと、震えが止まらないよ。え？閉所恐怖症じゃないかって？いやだな、逆だよ、逆。高所ならぬ広所恐怖症さ。だから、外ではあんな仏頂面してトゥートゥーしてた、ってわけさ！オー！）
アリゲイツ,（…この殺伐とした旅をいやす、一服の清涼剤になってくれるのかな、彼は？）
ポポッコ,（こんなうるさい清涼剤があるものですか。誰彼構わず刺しまくる紫外線よ、彼は。）
ミカン,そのようなわけで、これから海を渡ってくださいね。
ガーディ,海なんてどのようして渡ればよいのだガウ。
ゴールド,お前は馬鹿なのか。それとも、ボールの中で昼寝でもして説明を聞き逃したのか。
ポポッコ,いびきがうるさいのよ、彼。
ガーディ,待て、貴様ら。我は昼寝などしておらぬガウ。そうだろう、アリゲイツ。
アリゲイツ,ふふふ。ストーリー上仕方ないとは言え、皆を乗せてこの広い大海原を横断しなくちゃいけないのか。ああ、肩が凝るや。ふふふ。
ポポッコ,航海する前から後悔だらけのようね。
ガーディ,くそ、こやつは使えないガウ。ええい、新入り。貴様はどう思う？
ネイティ,寝るときは鼻に綿でも詰めた方がいいぜ、ガーディの爺さんよお。いびきなんぞかいたら、鼻から空気の泡と一緒に魂も抜き出ちまうからな！
ガーディ,…話にならんガウ。それに我はまだまだ若いガウ。ここは、やはりゲンガ―殿、我が頼れるのは貴公をおいて他にいないガウ。
ゲンガー,御老体、アイマスクをかけて寝るといびきをかかなくなると風の噂で聞いたことがありますよ。
ガーディ,周りは敵だらけガウ。
アリゲイツ,…ああ、海の周りは敵だらけさ。
プレイヤー,おー。やっとそらをとぶ、もらえたよ。長かったなぁ。。ポポッコには…覚えさせられないのか。まあ知ってたけどな。そのためのアメリカンだし。あー、波乗りで帰ることにならなくてよかったぜ。
ネイティ,（アメリカン・エキスプレスってか！！）
ポポッコ,（お前黙れよ。）
プレイヤー,さてさて、では早速アサギシティまで…なんだよ、母さん。ちっ…飯か。しょうがない。アサギシティに、ポチっとな。
ゴールド,…
ガーディ,（…“奴”は去ったようであるガウ。）
ポポッコ,（移動先の候補地をアサギシティに決定したと同時に、このゲームを置き去りにしていったようね。）
アリゲイツ,（電源はまだついているようだし。…と、いうことは。）
ガーディ,（“奴”が戻ってくるまでに、アサギシティのポケモンセンター前に全員が終結していなくてはならない、ということガウ…）
全員,…
アリゲイツ,（何も気にすることはないさ。ただ、ゲームで行われていることをそのまま再現すればいい。さあアメリカン、さっさと全員を連れて飛び立とうぜ。）
ガーディ,（アメリカンがボールの中にいないガウ。）
アリゲイツ,（！！どこにいったんだ、あいつ！）
ゲンガー,（あそこですね。水道の中間地点の辺りを飛行しています。）
ゴールド,…
アリゲイツ,おい、どうするんだよ。あいつが俺たちを運ばないと、すぐに戻れないじゃないか！
ガーディ,…ごほん。ゲイツ、お前には重大な責務が課せられたガウ。我もお前の安定しない船旅に同船することは本意ではないが、この際いたしかたない。すぐに船旅の準備をするガウ。
アリゲイツ,待ってくれ。ここからアサギシティへの片道だけで30分以上かかるんだぞ。そんな時間をかけていたら、それまでに“奴”が戻ってくるかもしれないじゃないか。
ポポッコ,その点は心配いらないわ。“奴”が見てない手前、敵とのエンカウントもトレーナーと目があっても不用意に戦闘に突入することはないわ。その分の時間短縮は十分望める筈よ。あなたはただ、海を横断していればいいの。
アリゲイツ,好き勝手言い放題だな。…ゴールド。あまり期待はしていないけど、一応お前の意見も聞いておくよ。
ゴールド,…
ガーディ,こやつ、先程から地蔵にでもなったかのように顔の筋肉すら動かさないガウ。
ポポッコ,こうして見てみると、変な顔ね。
ゴールド,…
ガーディ,焚きつけても眉ひとつ動かさないとは。
アリゲイツ,あ。ゲームの電源が切れてないから、ゴールドはまだ“奴”に体を支配されたままの状態なのか。
ゲンガー,ふむ、今の彼は糸を垂らされた人形と同じことですね。
ガーディ,いきなり会話に加わってこられるな、寿命が2，3年縮まったガウ。
ポポッコ,プログラムだから寿命は…そんな話はどうだっていいわ。事態はどうやら一刻を争うようね。さっさと、そこの金ぴか地蔵ものせて出発しましょう。
ゴールド,…
アリゲイツ,…ああ。わかった。。…それで、だ。
ポポッコ,どうしたのかしら。遠慮なく言って頂戴。
アリゲイツ,…なんでお前ら全員、同乗しているんだ。
ポポッコ,あら、サービスが悪いわねこの船。乗り心地もよくないし、食事も出ないし客室もないわ。それに加えて船長自身が文句を言うようでは、C級客船もいいところだわ。
アリゲイツ,いったい、どこを見渡せば客船が見えるんだ。お前ら、せめてボールの中に戻ってくれ。
ポポッコ,外の空気を味わいたいのよ。空気はないけれど。
アリゲイツ,はぁ。お前は飛べるだろ。それに、ゲンガー
ゲンガー,おや。私にも何か不満がございますか。
アリゲイツ,…お前も飛べるよな。
ゲンガー,はなたれ坊やは何か思い違いをなさっていますね。ゴーストというのは、あくまでガス状を原子単位で分解した末に見えるほんの僅かな―
アリゲイツ,…うがあああああ！！全員降りろ！！肩が凝るんだよ！！
ポポッコ,あら。つれないわね。アサギシティは目と鼻の先だというのに。
ゲンガー,全く持ってその通り。感情のおもむくままに行動をしているようでは、はなたれ坊やはいつまでも、はなをたらしたままですよ。
ガーディ,我はどうして海面に叩きつけられたのか…解せぬ。
ゴールド,…
ポポッコ,私たちは先にアサギシティに向かわせてもらうわね。安心なさい、アメリカンを見つけたらブラックにでもしておいてあげるわ。
アリゲイツ,…その前に俺たちが対岸につければ、だけどな。
ポポッコ,努力なさい。
ガーディ,ゲイツ、大変ガウ！ゴールドが潮の流れにのって、町の方向に向かって流れていってしまったガウ！
アリゲイツ,…よかったじゃないか。じゃあ俺たちも進むぞ。
ガーディ,我だけでも、後ろに跨がせてほしいガウ。
アリゲイツ,あんたは犬かきだ。
ガーディ,老体を労らない者には空から天罰が下るガウ。
アリゲイツ,あんた、前に自分は若いって言っていたでしょうに。
アサギ市民,おい！なんだあれ！海岸に何かうちつけられているぞ！
市民,なんだ、あれは！マネキンか？
アリゲイツ,…ああ、ずっと電源がついたままでいいのに―
ゲンガー,私は時々こう考えます。
ゴールド,洞窟を抜けて、息も絶え絶えになっている男が深く感心するような話か？
ゲンガー,私自身がこう言うのもおかしなことですが、お金を払ってでも聞く価値はあると思いますよ。
ゴールド,よし、じゃあここに講演会を設けようじゃないか。
ゲンガー,“奴”と呼称される彼が、住んでいる世界と我々がいる世界、それは当然ですが別物です。
ゴールド,当たり前だ。
ゲンガー,我々はそれを当然理解しています。だが、本質においては理解していない。我々は彼らが日常で行われていることを模倣することによって、向こうの世界とこちらの世界を隔てている壁をなくそうとしているからです。
ゴールド,残念だが、言っている意味がこれっぽちもわからないな。
ゲンガー,彼らは人間、我々はプログラム。この戒めがあってこそ、我々はあと一歩の所で踏みとどまっているのです。。坊や、あなたには分かっていてほしいのです。我々が彼らに近づいても構わない。だけれども、我々は所詮プログラムの一端に過ぎないというこの認識を、他ならぬ坊やに持ってほしかったんですよ。はてさて、本日の講演会はこれにてお開きとさせていただきましょう。
ゴールド,わかっているさ、そんなこと。おいおい、金を払う価値があったのか？
ゲンガー,理解していると思っていることほど真の意味で理解できておらず、基本的な物事ほど、よく見逃すものなんですよ。プログラムは、どうやらそのような点まで真似ようとしているらしい。矛盾を抱える生物、矛盾を抱えてはいけない創作物。この定義が取り払われてしまっては元も子もないのですよ。
ウツギ博士,はっはは。マネキンか。そいつは最高に良い酒の肴だな。今日はよく眠れそうだよ。
ゴールド,笑い事じゃないんですけど。
ウツギ,何はともあれ、ジムバッジ8個制覇おめでとう。残すはでんどういりだけだね。
ゴールド,全く長いようで短くて、短いようで長い道のりでしたよ。
ウツギ,うんうん。
ゴールド,…ところで、あいつらはどこにいるんですか？
ウツギ,おんやー？
ゴールド,なんですか。
ウツギ,いやね、ゴールド君が彼らを気にするなんて、今まで目にしたことがなくて、ついね。
ゴールド,…あいつらが何処で何をやっているか把握していないと夜もぐっすり眠れない、それだけの話ですよ。
ウツギ,うんうん。そうかい。彼らなら、君の家で君のお母さんと壮行会を開いているよ。
ゴールド,眠れやしねえ。。…
オーダイル,星を眺めているのかい。
ゴールド,…言葉をかける相手を間違えたな。どこぞの♀にでもかけてこい、その歯の浮いたセリフを。お前に備わっているそのドでかい歯が活躍できるだろうさ。ん？ライターを持っていないか。
オーダイル,はぁ。だから、前々から言っているだろうけど、改めて言うぞ。いい加減にやめたらどうだ。
ゴールド,お前に俺の個人的な趣味・動向にまで干渉してくる権限はないね。
オーダイル,まるで子供だな。言っておくが、ワカバタウンはこの春より全面禁煙だ。
ゴールド,それこそ子供じゃないか。お前は戻らなくていいのか、壮行会とかやらに。
オーダイル,皆、酔いつぶれた後さ。俺は外に涼みにきただけ。
ゴールド,ここに気温なんて概念はないのにな。
オーダイル,それを言うなら、この今のほろ酔い気分や、お前が今くわえて美味しそうに吸っているというお前自身の感覚、水の冷たさ、食い物の旨さも全て、外の世界の“奴等”に倣っているだけで、結局は俺たちの妄想なのかもしれない。ただ、それでもいいじゃないか。無いのは概念だけさ。概念がなくても、ここには心念がある。
ゴールド,図体はでかくなってもお前は本当に相変わらずだな。
オーダイル,俺から見たら、お前はどんどん小さくなっているよ。
ゴールド,勝手に言っていろ。…明日は俺たちを背負って、滝を上るんだろ。早めに寝ておけよ。
オーダイル,他人の心配をするなんて、どんな風の吹きまわしだ？
ゴールド,さあな。…俺も酔いがまわったのかもな。
プレイヤー,もうポケモンリーグか。今回は、割とはやかったな。戦力が十分とはいえないけどな…ブツブツ
ワタッコ,（本当に、よくここまで来られたと思うわ、このレベル帯で。）
オーダイル,（パーティメンバ五体で回復も無しに、よくここまで来られたよな。…まあ、実質四体だった気が…）
ガーディ,（ごほん。何か言いたいことがあるのなら、遠慮せずに物事を述べるといいガウ。）
プレイヤー,…よし、あいつを呼ぶか。ピカ版もこないだ見つかったことだし。
ネイティオ,（おいおい！どうやら、“奴”は巷で噂の、あのタイムカプセルを使って一山あてようって魂胆だぜ！）
ワタッコ,（人柱はキャタピーあたりかしら。ああ、可哀想に。）
プレイヤー,これで、よしと。
サイドン,（うっす。自分、ピカ版から来ましたまさると言うっす。皆さまとご一緒できると思うと、自分、わくわくするっす。どうぞよろしくっす。）
ガーディ,（我とキャラがかぶっているだと…）
ワタッコ,（安心なさい。誰もそんなことを思ってなんかいないわよ。）
ゴールド,お前が今度入ってきた奴か？
サイドン,そうっす。まさるっす。よろしくっす。
ゴールド,…あ、ああ。よろしく。もしかしてお前、ここに来る前は違う世界を転々としてたか？
サイドン,は、はいっす！転々としてたっす！とは言っても、世界はここで3つ目っすけど。よくわかったすね。
