ひとよんで、,笑ゥせぇるすまん
エスデス,ふむ、イモ臭い感じはするがなかなかの覇気を感じる。おまえとはいい戦いができそうだ
喪黒,ホホホホ・・・さっそく一戦交えますか？
エスデス,いや、あいにく仕事の時間が来たのでな。北の異民族が強力な帝具を手に入れたらしい。悟空よ、今度ゆっくり楽しもう
悟空,なあ、いみんぞくとかてぇぐってなんだ？
喪黒,ホホホホ・・・みなさんいろいろな事情を抱えていらっしゃるのですよ
？？？？？,もぐろおおお・・・久しぶりだなあ
悟空,おお、なんかいかついやつが出てきたぞ！声がセルみてえだ
喪黒,おや、バルバトスさん
バルバトス,そいつは新入りか？
喪黒,はい、バルバトスさんもきっと満足していただけるかと
バルバトス,そうか、相手がいなくて退屈していたところだ・・・やろうぜ
悟空,話がはええなあ！いいぜ！
バルバトス,さあ、来いよ！微塵切りにしてやるぜ！
喪黒,ホホホホ・・・お待ちください。悟空さん、こちらの会員証をお受け取りください。これがあればいつ何時でもこちらに出入りして心行くまで戦いをお楽しみいただけます
悟空,おう、サンキュー！
喪黒,それと、こちらで戦っていただくには一つルールがございます。戦いに興じるのは結構ですが、絶対に相手を殺めるようなことがあってはいけません
悟空,まあ、ほどほどにしろってことだな
バルバトス,さあ、御託は終わりか・・・やろうぜ？
悟空,おう、楽しもうぜ！
喪黒,ホホホホ・・・それではお楽しみください
悟空,かめはめ波アアアアアアア！！
バルバトス,ジェノサイドブレイバアアアアアアアアア！！
悟空,はあはあ・・・あんた強えなあ・・・
バルバトス,貴様もなかなかやるな・・・
喪黒,悟空さん、そろそろ夜が明けますよ
悟空,やっべえ！チチが起きちまう！内緒で抜け出してたんだ。わりぃな、バルバトス！この勝負はお預けだ！
バルバトス,フン、まあいいだろう・・・俺もそろそろエルレインのもとに戻らねばな
赤屍,あなたが期待の新人ですか・・・私は赤屍蔵人。運び屋をやっております
悟空,あんたはどうやって戦うんだ？
赤屍,それはやってみてのお楽しみですよ
神威,やあ、こんなところでジャンプの大先輩と出会えるなんてね
悟空,ジャンプってなんだぁ？
神威,とぼけちゃって
更木,なかなかのタマじゃねえか！卍解！
悟空,おわあっ、刀が斧になりやがった！
更木,いいじゃねえか、最高だぜ！
エスデス,この時を待っていたぞ！悟空！
悟空,うわっ手からつららが出てきたぞ！
エスデス,私は氷を自由に操れるのだ！さあ、貴様の闘気で溶かしてみろ！
悟空,いやー、喪黒さんありがとうよ。おかげで毎日楽しいぜ
喪黒,ただし、くどいようですが決して相手の命を奪うようなことがあってはいけません
悟空,でぇじょぶだって。少なくともあっさり死んじまうような奴なんかいねえよ
喪黒,そうですねえ・・・しかし、くれぐれもお気を付けくださいね
悟空,うわー、なんかすげえのがいるなあ・・・。へえー、こいつも戦うのかよ
？？？？？,いいや、そいつは単なるロボットさ。俺が乗り込んで戦うんだよ。アルケーガンダムっていうんだ。いかしてるだろ。あんたが期待の新人さんだな！もっぱらの評判だぜ
悟空,じゃああんたがパイロットか
？？？？？,ああ、アリー・アル・サーシェスっていうんだ。傭兵をしている
悟空,オラは孫悟空だ。よろしく頼むぜ
サーシェス,ところで相談なんだがよ・・・。俺さ、今夜でここ卒業するんだよ
悟空,えっ、そりゃあ突然だなあ・・・
サーシェス,俺には家族がいてなあ・・・妻と５歳の長男と０歳の長女・・・それと犬だ。傭兵は稼ぎがいいんだが、何かと家族を心配させるのさ。で、傭兵なんかやめてサラリーマンにでもなって家族とゆっくり暮らそう思うんだ。だからさ、期待の超新星のアンタと戦って有終の美を飾りたいわけよ
悟空,いいぜ、あのどでかいロボットとやりてえと思ったんだ
サーシェス,はははは、そいつぁよかった！よろしく頼むぜ！。それじゃあ行くぜ兄ちゃん！
悟空,でりゃああああああああっ！。こんなもんじゃねえだろ・・・おめえの実力は
サーシェス,やるじゃねえか！あれを全部落とすとはなあ！戦いはこうでなくっちゃな！。さあ、始めようぜ！人とガンダムのすさまじい戦いってやつをよぉ！
悟空,ようやく本気になりやがったか。じゃあオラも・・・
突如、悟空がオーラをまとい、髪が金色へと変わる。悟空の本気モード,スーパーサイヤ人
サーシェス,それが噂のスーパーモードか！！
悟空,くっ、やべえな・・・そろそろ夜が明ける時間だ。チチに外泊がばれたらえれえことになるぞ・・・。サーシェスにはわりいけど、そろそろ勝負を決めねえと。でもこのロボット滅茶苦茶かてえぞ・・・どこを狙えばいいんだ・・・。胸にあるってことはあれがエンジンにちげえねえ・・・あそこを狙うぞ
サーシェス,オラオラァ動きが鈍ってんぜ！サイヤ人さんよぉ！。どうやら俺の勝ち逃げで決定だなあ！
悟空,いや、そうでもねえぞ！いくぜサーシェス！フルパワーだ！
サーシェス,悟空！あんたってやつは最高だぜ！
悟空,おめえもなあ！行くぜえ！。かーめーはーめー波ああああああああああっ！！
サーシェス,うっ・・・
悟空,や、やべえ・・・やりすぎたかな・・・
神威,すごい音だね・・・
エスデス,なにかあったのか？
悟空,いやあ、ロボットの胸を打ち抜いたら爆発しちゃってさあ・・・
エスデス,これはサーシェスのガンダムだな。あれをここまで破壊するとは・・・
神威,さすが悟空だね。ところで、サーシェスはどこ行ったのかな？
悟空,あっ、そうだ！サーシェス！でぇじょぶかあ！。サーシェス！でぇじょぶか！？
サーシェス,
悟空,サ、サーシェスが息してねえ！
エスデス,落ち着け。神威、赤屍を呼んでこい。あいつは確か医者だったな
神威,わかったよ
赤屍,だめですね・・・完全にこと切れています
悟空,え、じゃあ・・・
赤屍,ご臨終ですね・・・おもしろい方だったのですが・・・
バルバトス,ふん、己の肉体で戦わぬ弱者にはお似合いの結末だな
更木,ちげえねえ
神威,うわあ、二人とも容赦ないねえ・・・
エスデス,それよりも問題は悟空がルールを破ったことだ
悟空,ま、待ってくれよ！わざとじゃねえんだ
喪黒,ホホホ・・・孫さん・・・約束を破ってしまったようですねえ・・・
悟空,ま、待ってくれ！でぇじょうぶだ！ドラゴンボールがあれば生き返るさ！。ブルマに頼めば一週間ぐらいでなんとかよぉ・・・
喪黒,孫さん、ここはあなたの世界とは勝手が違うのです。ですからドラゴンボールとやらで蘇らせるのは無理な話です。何より、あなたはルール違反を犯してしまった。ですからここからは永久追放です
悟空,ま、待ってくれよ！そこを何とか頼むよ！
喪黒,あなたはルールを守れない・・・ルールを守れない大人は赤ん坊からやり直しなさい。ドーーーーーーーーーーーーーーーーーーーーーーン！！
悟空,うわああああああああああああああああああああっ。あーあーばぶー
悟飯,お父さん、おむつを取り替えますね
悟空,きゃっきゃ
チチ,悟空さ・・・どうしてこんなことに・・・
悟天,ねえ、お父さんいつもとに戻るの？ねえ？
悟飯,大丈夫だよ、今みんなが必死にドラゴンボールを探してるから。ドラゴンボールがあればきっと元に戻るよ
チチ,うっ、うううう悟空さああああああああああああああああああああ！！
喪黒,人間だけではなく、野生動物にも戦いや殺しはあります。しかし、彼らの戦いは徹頭徹尾生きていくためのものであり。人間と違って、必要以上は決してしないのです。そんな彼らの目には・・・快楽や欲望で戦う人間とは・・・。さぞかし奇妙に映るのでしょうね。オーッホッホッホ・・・
